iso3,submission_date,source,update_to_view,accessed_on,targets,comments
ARE,20201229,https://climateactiontracker.org/climate-target-update-tracker/uae/2020-12-29,20201229,20210422,"{""ABS"": {""exclLU"": {""unconditional"": {""best"": {""2030"": ""246 MtCO2eq_AR4""}}}}}",
ARG,20161117,https://climateactiontracker.org/countries/argentina/2020-07-30,20200730,20210421,"{""ABS"": {""exclLU"": {""unconditional"": {""best"": {""2030"": ""422 MtCO2eq_AR4""}}, ""conditional"": {""best"": {""2030"": ""322 MtCO2eq_AR4""}}}}}",
ARG,20201230,https://climateactiontracker.org/climate-target-update-tracker/argentina/2020-12-30,20201230,20210421,"{""ABS"": {""exclLU"": {""unconditional"": {""best"": {""2030"": ""313 MtCO2eq_AR4""}}}}}",
AUS,20161109,https://climateactiontracker.org/countries/australia/2020-09-22,20200922,20210421,"{""ABS"": {""exclLU"": {""unconditional"": {""best"": {""2030"": ""445 MtCO2eq_AR4""}, ""worst"": {""2030"": ""467 MtCO2eq_AR4""}}}}}",
AUS,20201231,https://climateactiontracker.org/climate-target-update-tracker/australia/2020-12-31,20201231,20210421,"{""ABS"": {""exclLU"": {""unconditional"": {""best"": {""2030"": ""445 MtCO2eq_AR4""}, ""worst"": {""2030"": ""467 MtCO2eq_AR4""}}}}}",
BRA,20160921,https://climateactiontracker.org/countries/brazil/2020-09-22,20200922,20210421,"{""ABS"": {""exclLU"": {""unconditional"": {""best"": {""2025"": ""991 MtCO2eq_AR4"", ""2030"": ""890 MtCO2eq_AR4""}}}}}","2030: only indicative, but we include it... "
BRA,20201209,https://climateactiontracker.org/climate-target-update-tracker/brazil/2020-12-09,20201209,20210421,"{""ABS"": {""exclLU"": {""unconditional"": {""best"": {""2025"": ""1453 MtCO2eq_AR4"", ""2030"": ""1307 MtCO2eq_AR4""}}}}}",
BTN,20170919,https://climateactiontracker.org/countries/bhutan/2020-11-27,20201127,20210421,"{""ABS"": {""exclLU"": {""unconditional"": {""best"": {""2030"": ""6 MtCO2eq_AR4""}}}}}",
CAN,20170511,https://climateactiontracker.org/countries/canada/2020-09-21,20200921,20210421,"{""ABS"": {""exclLU"": {""unconditional"": {""best"": {""2030"": ""526 MtCO2eq_AR4""}}}}}",NDC quantified excl. LULUCF credits.
CHE,20200219,https://climateactiontracker.org/countries/switzerland/2020-11-27,20201127,20210421,"{""ABS"": {""exclLU"": {""unconditional"": {""best"": {""2025"": ""35 MtCO2eq_AR4"", ""2030"": ""27 MtCO2eq_AR4""}, ""worst"": {""2025"": ""36 MtCO2eq_AR4"", ""2030"": ""28 MtCO2eq_AR4""}}}}}","Additionally given: ""NDC (Domestic target), Other"" as 34 MtCO2eq in 2030."
CHE,20201209,https://climateactiontracker.org/climate-target-update-tracker/switzerland/2020-12-09,20201209,20210422,"{""ABS"": {""exclLU"": {""unconditional"": {""best"": {""2030"": ""27 MtCO2eq_AR4""}, ""worst"": {""2030"": ""28 MtCO2eq_AR4""}}}}}",
CHL,20170210,https://climateactiontracker.org/countries/chile/2019-12-02/2019-12-02,20191202,20210421,"{""ABS"": {""exclLU"": {""unconditional"": {""best"": {""2030"": ""131 MtCO2eq_AR4""}}, ""conditional"": {""best"": {""2030"": ""103 MtCO2eq_AR4""}, ""worst"": {""2030"": ""122 MtCO2eq_AR4""}}}}}",
CHL,20200409,https://climateactiontracker.org/countries/chile/2020-07-30,20200730,20210421,"{""ABS"": {""exclLU"": {""unconditional"": {""best"": {""2030"": ""95 MtCO2eq_AR4""}}, ""conditional"": {""best"": {""2030"": ""88.1 MtCO2eq_AR4""}, ""worst"": {""2030"": ""95 MtCO2eq_AR4""}}}}}",
CHN,20160903,https://climateactiontracker.org/countries/china/2020-09-22,20200922,20210421,"{""ABS"": {""exclLU"": {""unconditional"": {""best"": {""2030"": ""13743.6 MtCO2eq_AR4""}, ""worst"": {""2030"": ""15194.3 MtCO2eq_AR4""}}}}}","Additionally give ""NDC range average / Conditional, Max"": 14468.9 MtCO2eq_AR4, and ""Carbon intensity targets (2030) (min/max), Other, Min/Max"": 14438.9-16883.0 MtCO2eq_AR4."
CRI,20161013,https://climateactiontracker.org/countries/costa-rica/2020-07-30,20200730,20210421,"{""ABS"": {""exclLU"": {""unconditional"": {""best"": {""2030"": ""11.5 MtCO2eq_AR4""}, ""worst"": {""2030"": ""12.6 MtCO2eq_AR4""}}}}}","Additionally give ""NDC 2021 Trajectory / Other Min/Max"" as 13.5 MtCO2eq_AR4 for 2021."
CRI,20201211,https://climateactiontracker.org/climate-target-update-tracker/costa-rica/2020-12-30,20201230,20210422,"{""ABS"": {""exclLU"": {""unconditional"": {""best"": {""2030"": ""12.3 MtCO2eq_AR4""}, ""worst"": {""2030"": ""12.9 MtCO2eq_AR4""}}}}}",
ETH,20170309,https://climateactiontracker.org/countries/ethiopia/2020-07-30,20200730,20210421,"{""ABS"": {""exclLU"": {""conditional"": {""best"": {""2030"": ""185 MtCO2eq_AR4""}}}}}",
EU27,20201218,https://climateactiontracker.org/climate-target-update-tracker/eu/2020-12-18,20201218,20210422,"{""ABS"": {""exclLU"": {""unconditional"": {""best"": {""2030"": ""2194 MtCO2eq_AR4""}, ""worst"": {""2030"": ""2329 MtCO2eq_AR4""}}}}}",
EU28,20161005,https://climateactiontracker.org/countries/eu/2020-09-22,20200922,20210421,"{""ABS"": {""exclLU"": {""unconditional"": {""best"": {""2030"": ""3391 MtCO2eq_AR4""}, ""worst"": {""2030"": ""3419 MtCO2eq_AR4""}}}}}",
GBR,20201212,https://climateactiontracker.org/climate-target-update-tracker/united-kingdom/2020-12-12,20201212,20210422,"{""ABS"": {""exclLU"": {""unconditional"": {""best"": {""2030"": ""251 MtCO2eq_AR4""}}}}}",
GMB,20161107,https://climateactiontracker.org/countries/gambia/2020-11-27,20201127,20210421,"{""ABS"": {""exclLU"": {""unconditional"": {""best"": {""2025"": ""3.2 MtCO2eq_AR4"", ""2030"": ""3.8 MtCO2eq_AR4""}}, ""conditional"": {""best"": {""2025"": ""1.5 MtCO2eq_AR4"", ""2030"": ""1.7 MtCO2eq_AR4""}}}}}",We included the indicative 2030 target...
IDN,20161106,https://climateactiontracker.org/countries/indonesia/2020-09-22,20200922,20210421,"{""ABS"": {""exclLU"": {""unconditional"": {""best"": {""2030"": ""1817.0 MtCO2eq_AR4""}}, ""conditional"": {""best"": {""2030"": ""1628.7 MtCO2eq_AR4""}, ""worst"": {""2030"": ""1723.0 MtCO2eq_AR4""}}}}}",
IND,20161002,https://climateactiontracker.org/countries/india/2020-09-22,20200922,20210421,"{""ABS"": {""exclLU"": {""unconditional"": {""best"": {""2030"": ""5350 MtCO2eq_AR4""}, ""worst"": {""2030"": ""5682 MtCO2eq_AR4""}}}}}","What is included here is marked as ""NDC: emissions intensity of GDP, Unconditional, Min/Max"". Additionally have ""NDC: 40% non-fossil capacity, Other, Min/Max"" as 4912-4935 MtCO2eq_AR4."
JPN,20200331,https://climateactiontracker.org/countries/japan/2020-09-22,20200922,20210421,"{""ABS"": {""exclLU"": {""unconditional"": {""best"": {""2030"": ""1078.7 MtCO2eq_AR4""}}}}}",
KAZ,20161206,https://climateactiontracker.org/countries/kazakhstan/2020-11-27,20201127,20210421,"{""ABS"": {""exclLU"": {""unconditional"": {""best"": {""2030"": ""335 MtCO2eq_AR4""}}, ""conditional"": {""best"": {""2030"": ""296 MtCO2eq_AR4""}}}}}",
KEN,20201228,https://climateactiontracker.org/climate-target-update-tracker/kenya/2020-12-28,20201228,20210422,"{""ABS"": {""exclLU"": {""unconditional"": {""best"": {""2030"": ""126 MtCO2eq_AR4""}}, ""conditional"": {""best"": {""2030"": ""108 MtCO2eq_AR4""}}}}}",
KEN,20161228,https://climateactiontracker.org/countries/kenya/2020-11-27,20201127,20210421,"{""ABS"": {""exclLU"": {""conditional"": {""best"": {""2030"": ""110 MtCO2eq_AR4""}}}}}",
KOR,20161103,https://climateactiontracker.org/countries/south-korea/2020-07-30,20200730,20210421,"{""ABS"": {""exclLU"": {""unconditional"": {""best"": {""2030"": ""539.3 MtCO2eq_AR4""}}}}}","Additionally given: ""NDC, domestic reduction, Other"" as 577.8 MtCO2eq_AR4."
