Country_Main,Country_Dependent,DataInfo
AUS,NFK,DataIncluded
AUS,CXR,DataIncluded
AUS,CCK,DataIncluded
AUS,HMD,DataIncluded
CHN,HKG,IndependentData
CHN,MAC,IndependentData
CHN,TWN,IndependentData
DNK,FRO,DataIncluded
DNK,GRL,DataIncluded
ISR,PSE,DataIncluded
FRA,BLM,DataIncluded
FRA,GLP,DataIncluded
FRA,GUF,DataIncluded
FRA,MAF,DataIncluded
FRA,MTQ,DataIncluded
FRA,MYT,DataIncluded
FRA,NCL,DataIncluded
FRA,PYF,DataIncluded
FRA,REU,DataIncluded
FRA,SPM,DataIncluded
FRA,WLF,DataIncluded
FRA,ATF,DataIncluded
FIN,ALA,DataIncluded
MAR,ESH,DataIncluded
NLD,ABW,IndependentData
NLD,ANT,IndependentData
NLD,BES,IndependentData
NLD,CUW,IndependentData
NLD,SXM,IndependentData
NZL,TKL,NoData
NOR,SJM,DataIncluded
GBR,BMU,DataIncluded
GBR,CYM,DataIncluded
GBR,FLK,DataIncluded
GBR,GIB,DataIncluded
GBR,GGY,DataIncluded
GBR,IMN,DataIncluded
GBR,JEY,DataIncluded
GBR,AIA,IndependentData
GBR,IOT,IndependentData
GBR,PCN,IndependentData
GBR,SHN,IndependentData
GBR,TCA,IndependentData
GBR,VGB,IndependentData
USA,GUM,DataIncluded
USA,MNP,DataIncluded
USA,PRI,DataIncluded
USA,ASM,DataIncluded
USA,VIR,DataIncluded
