code,CH4AR4_IPC1_TOTAL_NET_HISTCR_PRIMAPHIST21
entity,CH4
category,IPC1
name_category,Energy
type,NET
class,TOTAL
source,PRIMAPHIST21
descr,Result of CH4_IPC1B3+IPC1B2+IPC1B1_TOTAL_NET_HISTCR_PRIMAPHIST21X+CH4_IPC1A_TOTAL_NET_HISTCR_PRIMAPHIST21X - regarding information just missing in one of the tables as zero | built by Johannes Guetschow
note,calculated by the function combine_tables_varying_in_one_sheet_as by CC and JN from PRIMAP | built by Johannes Guetschow
scenario,HISTCR
datatype,CountryYearMatrix
tablekind,usr
family,emi
subsource,Summary1.As1; Table1.A(a)s1; Table1.B.1; Table1.B.2; Table10s3; Table1s1
unit,MtCO2eq
gwp,AR4
iso3,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ABW,9.6808e-06,9.9983e-06,1.0322e-05,1.0652e-05,1.0987e-05,1.1328e-05,1.1675e-05,1.2028e-05,1.2386e-05,1.2749e-05,1.3118e-05,1.3492e-05,1.387e-05,1.4254e-05,1.4642e-05,1.5035e-05,1.5433e-05,1.5835e-05,1.6241e-05,1.6651e-05,1.7066e-05,1.7484e-05,1.7906e-05,1.8332e-05,1.8762e-05,1.9194e-05,1.9631e-05,2.007e-05,2.0513e-05,2.0959e-05,2.1408e-05,2.1859e-05,2.2313e-05,2.277e-05,2.3229e-05,2.369e-05,2.4154e-05,2.462e-05,2.5088e-05,2.5557e-05,2.8397e-05,2.9379e-05,3.0447e-05,3.1597e-05,3.2823e-05,3.412e-05,3.5485e-05,3.691e-05,3.8392e-05,3.9926e-05,4.1506e-05,4.3306e-05,4.5448e-05,4.785e-05,5.0434e-05,5.3116e-05,5.5818e-05,5.8458e-05,6.0955e-05,6.3229e-05,6.52e-05,6.698e-05,6.8731e-05,7.0438e-05,7.2088e-05,7.3667e-05,7.5162e-05,7.6559e-05,7.7846e-05,7.9007e-05,8.003e-05,8.0929e-05,8.1741e-05,8.2485e-05,8.3182e-05,8.3851e-05,8.4513e-05,8.5186e-05,8.5891e-05,8.6648e-05,8.7477e-05,8.8368e-05,8.93e-05,9.0272e-05,9.1281e-05,9.2328e-05,9.3412e-05,9.4531e-05,9.5684e-05,9.6871e-05,9.8091e-05,9.9365e-05,0.00010073,0.00010219,0.00010376,0.00010545,0.00010727,0.00010924,0.00011137,0.00011367,0.00011615,0.00011953,0.00012438,0.00013047,0.00013756,0.00014543,0.00015384,0.00016256,0.00017137,0.00018002,0.0001883,0.0001969,0.00020643,0.0002166,0.00022707,0.00023752,0.00024765,0.00025713,0.00026564,0.00027286,0.00027891,0.00027842,0.00027712,0.00028495,0.00028207,0.0003528,0.00071001,0.00073026,0.0017053,0.0022504,0.0029943,0.0022941,0.0026901,0.0024789,0.002808,0.0032217,0.0025961,0.0031031,0.0031208,0.0032211,0.0033463,0.0035753,0.0041246,0.0042157,0.0044756,0.0047171,0.0013841,0.0018515,0.0024987,0.0026978,0.0066443,0.0066831,0.0066782,0.0066726,0.0066058,0.0067675,0.0073382,0.0081915,0.0086274,0.0089861,0.0088409,0.0089345,0.0089405,0.010216,0.010618,0.011019,0.01142,0.011821
AFG,0.0028716,0.0028877,0.0029041,0.0029206,0.0029373,0.0029542,0.0029712,0.0029885,0.003006,0.0030236,0.0030414,0.0030594,0.0030775,0.0030958,0.0031143,0.003133,0.0031518,0.0031708,0.0031899,0.0032092,0.0032287,0.0032482,0.003268,0.0032879,0.0033079,0.0033281,0.0033484,0.0033688,0.0033894,0.0034101,0.0034309,0.0034519,0.003473,0.0034942,0.0035155,0.0035369,0.0035585,0.0035801,0.0036019,0.0036237,0.0049767,0.0056347,0.0063176,0.0070243,0.007754,0.0085057,0.0092784,0.010071,0.010883,0.011713,0.01256,0.013522,0.014656,0.015899,0.017189,0.018463,0.019659,0.020713,0.021564,0.022148,0.022404,0.022446,0.022437,0.022391,0.02232,0.022235,0.022151,0.022078,0.02203,0.022019,0.022058,0.022772,0.024656,0.027528,0.031202,0.035496,0.040224,0.045203,0.050249,0.055179,0.059807,0.064187,0.068572,0.073076,0.077816,0.082908,0.088468,0.09461,0.10145,0.10911,0.11769,0.12908,0.14476,0.16429,0.18722,0.21311,0.24151,0.27197,0.30406,0.33732,0.3713,0.40676,0.44504,0.48659,0.53185,0.58128,0.63532,0.69442,0.75904,0.82963,0.90662,0.98257,1.0553,1.1332,1.2246,1.3378,1.4812,1.6632,1.8921,2.1763,2.1901,2.2276,2.6193,1.913,2.6379,1.9815,1.8228,2.2392,1.7795,1.6872,2.0981,1.73,1.6656,1.7283,1.8484,1.8983,1.8899,1.3209,1.1414,0.37299,0.36054,0.36577,0.31059,0.31867,0.31946,0.38577,0.4431,0.44346,0.44767,0.45837,0.45302,0.44252,0.43474,0.45143,0.46539,0.49186,0.50808,0.54919,0.5715,0.6045,0.61708,0.64161,0.64808,0.65097,0.66747,0.68397,0.70046,0.71696
AGO,0.0654,0.066181,0.06697,0.067768,0.068573,0.069386,0.070207,0.071036,0.071872,0.072716,0.073567,0.074425,0.07529,0.076162,0.07704,0.077925,0.078817,0.079715,0.080619,0.08153,0.082446,0.083368,0.084296,0.085229,0.086168,0.087112,0.088062,0.089016,0.089976,0.09094,0.091908,0.092882,0.09386,0.094842,0.095828,0.096818,0.097812,0.09881,0.099811,0.10082,0.10802,0.11336,0.12424,0.14032,0.16126,0.18671,0.21633,0.2498,0.28676,0.32687,0.36981,0.44144,0.56141,0.71997,0.90741,1.114,1.33,1.5457,1.7513,1.9372,2.0936,2.2312,2.3666,2.4989,2.6269,2.7499,2.8667,2.9764,3.078,3.1705,3.253,3.3241,3.3849,3.4382,3.4868,3.5335,3.5809,3.6318,3.6891,3.7553,3.8334,3.9276,4.0395,4.1678,4.3113,4.4687,4.6388,4.8202,5.0118,5.2122,5.4201,5.648,5.9063,6.191,6.4982,6.8239,7.1642,7.5151,7.8726,8.2328,8.5917,8.9378,9.2693,9.5969,9.9312,10.2829,10.6624,11.0805,11.5478,12.0749,12.6724,13.5102,14.7026,16.1766,17.8593,19.6777,21.5589,23.4301,25.2182,26.8503,31.5757,29.5632,33.8164,38.5681,40.0774,37.343,23.8859,45.1337,49.413,49.6898,49.9702,45.9923,45.7672,47.2918,48.318,48.8461,49.6187,50.8989,51.1821,51.7197,33.2621,35.3195,37.3793,36.1899,31.7302,36.0492,41.6467,40.2292,40.0651,36.1548,29.4971,27.9954,26.9742,26.6969,26.5298,26.7307,24.4628,23.5399,24.066,23.5191,26.3484,26.2217,26.1234,21.7204,20.9778,20.2351,19.4924,18.7498
AIA,0.00014501,0.00014536,0.00014635,0.00014798,0.00015022,0.00015307,0.00015649,0.00016048,0.00016502,0.00017009,0.00017569,0.00018178,0.00018836,0.00019541,0.00020292,0.00021086,0.00021922,0.00022799,0.00023715,0.00024668,0.00025657,0.0002668,0.00027735,0.00028821,0.00029937,0.0003108,0.0003225,0.00033443,0.0003466,0.00035898,0.00037155,0.0003843,0.00039722,0.00041029,0.00042349,0.0004368,0.00045021,0.00046371,0.00047727,0.00049089,0.00050454,0.00051927,0.00053597,0.00055442,0.0005744,0.00059568,0.00061804,0.00064124,0.00066507,0.00068929,0.00071369,0.00074092,0.00077275,0.00080764,0.00084402,0.00088035,0.00091506,0.00094662,0.00097345,0.00099402,0.0010068,0.0010146,0.0010215,0.0010276,0.001033,0.0010378,0.0010421,0.001046,0.0010497,0.0010531,0.0010564,0.0010597,0.0010627,0.0010656,0.0010684,0.001071,0.0010735,0.001076,0.0010784,0.0010807,0.0010831,0.0010859,0.0010895,0.0010936,0.001098,0.0011023,0.0011065,0.0011101,0.0011131,0.001115,0.0011157,0.0011147,0.001112,0.0011079,0.001103,0.0010977,0.0010923,0.0010874,0.0010834,0.0010807,0.0010797,0.0010797,0.0010795,0.0010792,0.0010788,0.0010786,0.0010784,0.0010784,0.0010786,0.0010792,0.0010802,0.0010819,0.0010848,0.0010885,0.0010929,0.0010977,0.0011028,0.0011079,0.0011128,0.0011173,0.0010968,0.0010893,0.0010743,0.0011265,0.0010724,0.0011015,0.00093062,0.0009453,0.0011605,0.001207,0.0012021,0.0013183,0.0013827,0.00092606,0.00066745,0.00083511,0.00085266,0.00065193,0.00048131,0.00044446,0.00041213,0.00040126,0.00029788,0.00026909,0.00043895,0.00045274,0.00044066,0.00041413,0.00038762,0.00034344,0.00035016,0.00020737,0.00032757,0.00037058,0.0012387,0.0013077,0.0013693,0.0013498,0.0012536,0.0013429,0.0013516,0.0013558,0.0013559,0.0017066,0.001804,0.0019013,0.0019987,0.0020961
ALB,0.0017748,0.0017842,0.001812,0.0018578,0.0019212,0.0020019,0.0020992,0.002213,0.0023426,0.0024878,0.0026481,0.0028231,0.0030123,0.0032154,0.0034319,0.0036615,0.0039036,0.0041579,0.004424,0.0047014,0.0049898,0.0052886,0.0055976,0.0059162,0.0062441,0.0065808,0.006926,0.0072791,0.0076399,0.0080078,0.0083825,0.0087635,0.0091504,0.0095428,0.0099404,0.010343,0.010749,0.011159,0.011573,0.01199,0.013172,0.013642,0.014149,0.014691,0.015265,0.015871,0.016505,0.017165,0.017851,0.018559,0.019288,0.020105,0.021052,0.022091,0.023182,0.024286,0.025363,0.026374,0.02728,0.028042,0.028619,0.029032,0.029343,0.029575,0.029755,0.029908,0.030058,0.030232,0.030454,0.030749,0.031143,0.031665,0.03231,0.033055,0.033875,0.034747,0.035646,0.036549,0.037432,0.03827,0.03904,0.039781,0.040547,0.041338,0.042151,0.042987,0.043845,0.044722,0.045618,0.046532,0.047463,0.048917,0.051302,0.054475,0.058288,0.062598,0.067257,0.072122,0.077046,0.081883,0.086489,0.09158,0.097723,0.10455,0.11171,0.11881,0.12551,0.13143,0.13621,0.13949,0.14089,0.14031,0.13816,0.13486,0.1308,0.12639,0.12203,0.11813,0.1151,0.11333,0.13101,0.13101,0.13527,0.13755,0.13788,0.14188,0.14426,0.14628,0.15544,0.16333,0.16272,0.16063,0.16463,0.17063,0.1793,0.18183,0.18782,0.18808,0.19307,0.18319,0.20475,0.28125,0.28025,0.276,0.1685,0.04275,0.15075,0.13275,0.1255,0.10975,0.11813,0.11865,0.12293,0.1282,0.13573,0.11525,0.13453,0.1363,0.13758,0.1376,0.13602,0.13407,0.13386,0.14052,0.14205,0.14358,0.14511,0.14664
AND,0.0019356,0.0019403,0.0019536,0.0019754,0.0020053,0.0020432,0.0020889,0.0021422,0.0022028,0.0022705,0.0023452,0.0024266,0.0025144,0.0026085,0.0027087,0.0028147,0.0029263,0.0030434,0.0031656,0.0032928,0.0034248,0.0035614,0.0037023,0.0038473,0.0039962,0.0041488,0.0043049,0.0044642,0.0046266,0.0047919,0.0049597,0.00513,0.0053024,0.0054768,0.005653,0.0058307,0.0060097,0.0061899,0.006371,0.0065527,0.0068136,0.0070492,0.0072853,0.0075219,0.0077588,0.0079959,0.0082331,0.0084704,0.0087076,0.0089446,0.0091814,0.0094375,0.0097242,0.010029,0.010338,0.010639,0.01092,0.011167,0.011368,0.011509,0.011579,0.011565,0.011478,0.011335,0.011156,0.010958,0.01076,0.010581,0.010438,0.01035,0.010336,0.01041,0.010561,0.010769,0.011016,0.011281,0.011544,0.011787,0.011989,0.012131,0.012193,0.012208,0.012221,0.012233,0.012243,0.012251,0.012257,0.012261,0.012263,0.012263,0.012261,0.012215,0.012095,0.011919,0.011707,0.011476,0.011246,0.011034,0.01086,0.010742,0.010699,0.010714,0.010755,0.010816,0.01089,0.010971,0.011051,0.011125,0.011186,0.011227,0.011242,0.011242,0.011242,0.011242,0.011242,0.011242,0.011242,0.011242,0.011242,0.011242,0.012115,0.011385,0.010861,0.010077,0.0095358,0.010119,0.010267,0.01037,0.0099886,0.010012,0.009908,0.01001,0.0097844,0.0098142,0.010097,0.010083,0.010129,0.010088,0.0091724,0.00934,0.0092406,0.0098162,0.0098681,0.0093224,0.0087501,0.0085419,0.008577,0.0082189,0.0080776,0.0079367,0.0079458,0.0079725,0.0078816,0.0082507,0.0084153,0.0083512,0.0082199,0.008047,0.0080548,0.0077904,0.0076989,0.0073697,0.0071547,0.0076824,0.0077012,0.0077701,0.0077389,0.0077577
ANNEXI,56.1718,56.3125,56.714,57.3698,58.2734,59.4184,60.7984,62.4069,64.2374,66.2836,68.5389,70.997,73.6513,76.4954,79.5229,82.7273,86.1022,89.6412,93.3377,97.1853,101.1776,105.3082,109.5705,113.9581,118.4647,123.0837,127.8087,132.6332,137.5508,142.5551,147.6396,152.7978,158.0233,163.3097,168.6504,174.0392,179.4694,184.9347,190.4286,195.9446,220.0815,228.187,237.2302,247.1318,257.8124,269.1928,281.1937,293.7358,306.7399,320.1266,333.8166,349.2036,367.2615,387.2814,408.5544,430.3719,452.0249,472.8046,492.0023,508.909,522.8159,534.6628,545.7937,556.1064,565.4985,573.8677,581.1116,587.128,591.8145,595.0688,596.7886,597.1999,596.7479,595.6595,594.1614,592.4806,590.8438,589.4778,588.6094,588.4654,589.2727,591.2814,594.415,598.4101,603.0035,607.9319,612.9319,617.7404,622.0938,625.7291,628.3828,631.1122,634.9757,639.7123,645.0607,650.7598,656.5485,662.1654,667.3496,671.8397,675.3747,678.1751,680.7601,683.3166,686.0315,689.0918,692.6843,696.9959,702.2136,708.5242,716.1147,727.6621,744.9581,766.8614,792.2306,819.9245,848.8016,877.7207,905.5405,931.1196,957.072,930.441,913.7091,927.368,890.5562,884.5092,899.3498,904.4819,1046.4007,1042.4143,1030.5787,1006.5438,1002.0589,982.222,983.8351,994.6842,1000.4693,1003.6395,1059.4317,1068.5121,1051.9601,1017.3604,988.3042,952.1183,914.1851,896.0811,889.6233,884.9209,861.9143,854.2565,832.7684,829.8375,803.4706,812.8007,810.471,809.3798,814.6407,810.831,821.892,774.9165,792.2341,785.1854,776.4458,770.3652,758.2319,739.0424,735.3556,743.5742
ANT,0.002873,0.0029672,0.0030632,0.003161,0.0032606,0.0033619,0.0034649,0.0035695,0.0036758,0.0037836,0.003893,0.0040039,0.0041163,0.0042301,0.0043454,0.004462,0.0045799,0.0046992,0.0048198,0.0049415,0.0050645,0.0051887,0.005314,0.0054404,0.0055678,0.0056963,0.0058258,0.0059563,0.0060877,0.00622,0.0063531,0.0064871,0.0066219,0.0067574,0.0068936,0.0070306,0.0071682,0.0073064,0.0074452,0.0075846,0.0084756,0.0085428,0.0086159,0.0086946,0.0087785,0.0088673,0.0089606,0.0090582,0.0091596,0.0092645,0.0093727,0.0097316,0.010537,0.011712,0.013179,0.014859,0.016676,0.018552,0.020408,0.022167,0.023753,0.025245,0.02677,0.028319,0.029883,0.031454,0.033023,0.03458,0.036116,0.037623,0.039091,0.040514,0.041898,0.043254,0.044595,0.04593,0.047272,0.048633,0.050023,0.051454,0.052938,0.054409,0.055819,0.057208,0.058615,0.06008,0.061643,0.063342,0.065217,0.067309,0.069655,0.072507,0.076034,0.080159,0.084803,0.089889,0.095338,0.10107,0.10701,0.11308,0.1192,0.12566,0.13274,0.14034,0.1484,0.15682,0.16551,0.1744,0.1834,0.19242,0.20137,0.20953,0.21656,0.22301,0.22945,0.23641,0.24445,0.25412,0.26596,0.28054,0.28103,0.28121,0.26603,0.30484,0.27883,0.17988,0.19026,0.19132,0.19359,0.18746,0.19957,0.18275,0.16458,0.16669,0.14038,0.064182,0.06218,0.072412,0.073942,0.072985,0.076562,0.075379,0.086487,0.089137,0.089839,0.090446,0.090685,0.088634,0.092842,0.079411,0.082093,0.09123,0.076392,0.070584,0.081313,0.08474,0.078939,0.0836,0.078407,0.072114,0.035173,0.064929,0.065208,0.059738,0.05773,0.055722,0.053715,0.051707
AOSIS,0.080817,0.083254,0.085739,0.088271,0.09085,0.093473,0.096142,0.098853,0.10161,0.1044,0.10724,0.11012,0.11303,0.11599,0.11898,0.122,0.12506,0.12816,0.13129,0.13445,0.13765,0.14087,0.14413,0.14741,0.15072,0.15406,0.15743,0.16082,0.16423,0.16767,0.17113,0.17461,0.17811,0.18164,0.18518,0.18874,0.19231,0.19591,0.19951,0.20314,0.22637,0.23089,0.23582,0.24112,0.24677,0.25275,0.25905,0.26562,0.27246,0.27953,0.28682,0.29858,0.31813,0.34404,0.37487,0.4092,0.44557,0.48257,0.51876,0.55271,0.58298,0.61115,0.63965,0.66834,0.69706,0.72565,0.75397,0.78185,0.80915,0.83571,0.86138,0.88611,0.91013,0.9337,0.95706,0.98049,1.0042,1.0286,1.0537,1.08,1.1076,1.1373,1.1695,1.204,1.2404,1.2784,1.3177,1.358,1.3989,1.4401,1.4814,1.526,1.577,1.6343,1.6978,1.7672,1.8423,1.923,2.009,2.1002,2.1964,2.3043,2.4292,2.5685,2.7197,2.8803,3.0479,3.2198,3.3936,3.5668,3.7369,3.8952,4.0399,4.1784,4.3179,4.4659,4.6299,4.8171,5.0349,5.2908,6.127,5.9892,5.8964,6.8614,8.0665,8.4053,8.5873,8.8318,8.4549,8.4542,9.9675,9.9441,12.1931,12.6584,13.0986,13.9391,12.9808,12.6217,11.5265,9.9005,8.5793,8.7747,8.895,8.5851,8.3098,7.2387,8.3586,10.033,10.8806,10.2304,12.2962,12.6515,13.7464,16.2754,17.8278,21.3134,24.3115,25.4118,26.234,25.1831,24.2104,24.1914,24.1728,29.2297,30.4745,31.7205,32.9665,34.2125
ARE,0.016576,0.016774,0.016974,0.017176,0.01738,0.017587,0.017795,0.018005,0.018217,0.018431,0.018646,0.018864,0.019083,0.019304,0.019527,0.019751,0.019977,0.020205,0.020434,0.020664,0.020897,0.02113,0.021366,0.021602,0.02184,0.022079,0.02232,0.022562,0.022805,0.02305,0.023295,0.023542,0.02379,0.024038,0.024288,0.024539,0.024791,0.025044,0.025298,0.025553,0.037464,0.043468,0.049669,0.05606,0.062636,0.06939,0.076315,0.083405,0.090654,0.098055,0.1056,0.11419,0.12433,0.13545,0.14696,0.15829,0.16886,0.17809,0.1854,0.19022,0.19195,0.19172,0.19105,0.19007,0.18888,0.18758,0.18628,0.18509,0.18411,0.18344,0.1832,0.18951,0.20721,0.23448,0.26952,0.31051,0.35564,0.4031,0.45107,0.49774,0.5413,0.58124,0.61928,0.65688,0.69553,0.73671,0.7819,0.83257,0.8902,0.95628,1.0323,1.1359,1.281,1.4634,1.6788,1.923,2.1917,2.4808,2.786,3.1031,3.4278,3.7675,4.1353,4.5352,4.9715,5.4482,5.9696,6.5396,7.1625,7.8424,8.5834,9.3079,9.9912,10.7171,11.5692,12.6313,13.9869,15.7198,17.9136,20.6521,25.0256,33.8142,37.0435,48.2549,48.3472,47.1847,58.3087,52.6655,60.203,35.189,33.1443,22.2096,18.8978,18.1839,25.007,22.2248,14.8751,11.2916,8.1856,7.7278,7.6356,8.7005,9.0576,9.4518,9.9039,11.9047,14.4401,15.1697,15.9967,17.1365,19.9302,19.9433,20.9695,23.1161,24.2023,25.2806,26.4695,26.2175,26.2057,24.7529,25.9418,27.1311,28.0799,29.6003,30.3669,31.1637,31.9365,32.7094
