code,CH4AR4_IPC1_TOTAL_NET_HISTORY_UNFCCC2019BI
entity,CH4
category,IPC1
name_category,Energy
type,NET
class,TOTAL
descr,GHG data submitted to the UNFCCC by Parties: non-AnnexI Parties only. See http://unfccc.int/di/DetailedByParty.do
note,Read in by JG and RG
source,UNFCCC2019BI
scenario,HISTORY
datatype,CountryYearMatrix
tablekind,usr
family,emi
subsource,UNFCCC_2019B.csv
unit,MtCO2eq
gwp,AR4
iso3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
ALB,0.20475,0.28125,0.28025,0.276,0.1685,0.04275,0.15075,0.13275,0.1255,0.10975,0.11813,0.11865,0.12293,0.1282,0.13573,0.11525,0.13453,0.1363,0.13758,0.1376,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ARE,NaN,NaN,NaN,NaN,9.9,NaN,NaN,NaN,NaN,NaN,19.925,NaN,NaN,NaN,NaN,25.275,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.19275,NaN,NaN
ARG,10.6151,NaN,NaN,NaN,13.0575,NaN,NaN,14.7102,NaN,NaN,14.572,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.4685,NaN,9.5958,NaN,NaN,NaN,NaN
ARM,2.0536,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.60193,NaN,NaN,NaN,NaN,NaN,0.74318,NaN,NaN,NaN,0.89102,NaN,NaN,NaN,NaN,NaN,NaN
AZE,10.855,9.6973,7.7287,6.6457,6.1355,6.5048,5.648,5.2935,4.7498,5.063,4.825,5.533,5.338,5.2915,5.2748,5.7875,6.6525,9.365,13.575,13.23,13.3675,12.9875,13.7,13.3038,NaN,NaN,NaN
BGD,NaN,NaN,NaN,NaN,0.01565,NaN,NaN,NaN,NaN,NaN,NaN,0.4975,NaN,NaN,NaN,0.65075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BIH,1.9378,1.897,0.572,0.20125,0.20675,0.205,0.39075,0.578,0.70225,0.67025,0.67175,0.682,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.9,0.75,NaN,NaN
BOL,1.0993,NaN,NaN,NaN,2.3493,NaN,NaN,NaN,1.2968,NaN,0.96425,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BRA,15.25,15.53,15.21,14.275,14.2625,13.9,13.8475,14.25,14.46,14.57,14.7225,15.415,16.13,16.105,16.91,18.7975,17.6775,17.2575,17.285,18.4025,17.075,16.14,16.5225,16.8475,17.415,17.2025,NaN
CHL,2.9525,NaN,NaN,NaN,2.4375,NaN,NaN,NaN,NaN,NaN,2.5575,NaN,NaN,NaN,NaN,NaN,2.7489,NaN,NaN,NaN,1.91,NaN,NaN,1.93,NaN,NaN,1.885
CHN,NaN,NaN,NaN,NaN,234.275,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,385.72,NaN,NaN,NaN,NaN,NaN,NaN,689.625,NaN,NaN,NaN,NaN
COL,6.7418,NaN,NaN,NaN,7.1793,NaN,NaN,NaN,NaN,NaN,8.633,NaN,NaN,NaN,10.3123,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CRI,0.13314,NaN,NaN,NaN,NaN,NaN,0.0125,NaN,NaN,NaN,0.041825,NaN,NaN,NaN,NaN,0.12375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CUB,0.7935,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.956,NaN,2.8055,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DMA,NaN,NaN,NaN,NaN,0.00034372,NaN,NaN,NaN,NaN,NaN,0.001215,0.0029125,0.0028125,0.0026625,0.0028125,0.0026875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DOM,0.26875,NaN,NaN,NaN,0.39333,NaN,NaN,NaN,0.439,NaN,0.41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.26122,NaN,NaN,NaN,NaN,NaN,NaN
EARTH,237.9863,185.9412,183.3582,217.1063,595.7309,150.8745,158.4974,185.6752,169.8319,171.7554,430.2923,196.3326,209.3865,200.9324,244.7917,622.2112,219.1343,221.1876,242.0565,217.4519,363.802,209.0782,890.2173,117.6887,25.6548,17.3042,1.885
EGY,5.8195,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.1702,NaN,NaN,NaN,NaN,9.6596,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ETH,4.15,4.325,4.525,4.725,5.9821,6.6615,6.6629,22.0744,22.3103,22.7007,23.0906,23.4042,23.7201,24.0405,24.3638,8.7042,9.257,9.2674,9.5409,9.816,10.0923,13.5667,11.8124,11.6687,NaN,NaN,NaN
GEO,2.65,1.945,1.5043,0.8925,0.43,0.1625,0.1625,0.18,NaN,NaN,2.845,1.858,1.8083,2.131,1.8838,1.4463,2.9674,2.9971,2.5634,1.7489,1.9685,2.5155,2.852,2.4578,NaN,NaN,NaN
GHA,0.7281,0.7514,0.77825,0.882,0.89175,0.93525,0.936,0.94682,0.94356,1.0152,1.0415,1.5353,1.5963,1.6528,1.6907,1.6978,1.7115,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GTM,0.86003,NaN,NaN,NaN,0.86003,NaN,NaN,NaN,NaN,NaN,1.0403,NaN,NaN,NaN,NaN,1.1124,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IDN,47.1945,52.7763,55.557,57.252,59.8933,NaN,NaN,NaN,NaN,NaN,35.922,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IND,NaN,NaN,NaN,NaN,72.4,NaN,NaN,NaN,NaN,NaN,74.7855,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63.3575,NaN,NaN,NaN,NaN,NaN,NaN
ISR,NaN,NaN,NaN,NaN,NaN,NaN,0.088775,NaN,NaN,NaN,0.086568,NaN,NaN,0.084504,0.08337,0.083883,0.085746,0.089479,0.090868,0.089919,0.093184,0.094933,0.10104,0.095604,0.096419,0.1017,NaN
JOR,NaN,NaN,NaN,NaN,0.038446,NaN,NaN,NaN,NaN,NaN,0.15397,NaN,NaN,NaN,NaN,NaN,0.025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
