code,CH4AR4_IPC2_TOTAL_NET_HISTCR_PRIMAPHIST21
entity,CH4
category,IPC2
name_category,IndustrialProcessesAndProductUse
type,NET
class,TOTAL
source,PRIMAPHIST21
descr,Result of CH4_IPC2H+IPC2G+IPC2D+IPC2C_TOTAL_NET_HISTCR_PRIMAPHIST21X+CH4_IPC2B_TOTAL_NET_HISTCR_PRIMAPHIST21X - regarding information just missing in one of the tables as zero | built by Johannes Guetschow
note,calculated by the function combine_tables_varying_in_one_sheet_as by CC and JN from PRIMAP | built by Johannes Guetschow
scenario,HISTCR
datatype,CountryYearMatrix
tablekind,usr
family,emi
subsource,Summary1.As1; Table10s3; Table2(I)s1; Table2(I)s2
unit,MtCO2eq
gwp,AR4
iso3,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ALB,8.1995e-06,8.8912e-06,9.6805e-06,1.0565e-05,1.1543e-05,1.2611e-05,1.3768e-05,1.5011e-05,1.6338e-05,1.7746e-05,1.9234e-05,2.0798e-05,2.2438e-05,2.415e-05,2.5931e-05,2.7781e-05,2.9696e-05,3.1675e-05,3.3714e-05,3.5812e-05,3.7966e-05,4.0174e-05,4.2434e-05,4.4744e-05,4.7101e-05,4.9502e-05,5.1946e-05,5.4431e-05,5.6953e-05,5.9511e-05,6.2103e-05,6.4725e-05,6.7377e-05,7.0055e-05,7.2757e-05,7.5481e-05,7.8225e-05,8.0986e-05,8.3762e-05,8.6551e-05,0.00013513,0.00014462,0.0001563,0.00016998,0.00018548,0.00020264,0.00022125,0.00024116,0.00026216,0.0002841,0.00030678,0.00033337,0.00036607,0.00040328,0.00044339,0.0004848,0.00052589,0.00056506,0.00060069,0.00063119,0.00065495,0.00067334,0.00068921,0.00070313,0.00071566,0.00072738,0.00073885,0.00075065,0.00076336,0.00077752,0.00079373,0.00081144,0.00082986,0.0008492,0.00086967,0.00089146,0.00091479,0.00093985,0.00096685,0.00099598,0.0010275,0.0010647,0.0011099,0.0011616,0.0012181,0.001278,0.0013396,0.0014015,0.001462,0.0015196,0.0015729,0.0016202,0.0016627,0.001702,0.00174,0.0017785,0.0018194,0.0018644,0.0019154,0.0019743,0.0020428,0.0021345,0.0022584,0.0024092,0.0025815,0.0027702,0.00297,0.0031755,0.0033815,0.0035827,0.0037739,0.0039554,0.0041332,0.00431,0.0044884,0.0046711,0.004861,0.0050607,0.005273,0.0055005,0.004875,0.004275,0.004225,0.005125,0.005225,0.002975,0.003225,0.00325,0.002625,0.003525,0.002875,0.002725,0.0014325,0.0004375,0.001145,0.001315,0.001265,0.001265,0.001265,0.0012925,0.0012925,0.000945,0.000595,0.00098,0.0009275,0.0011825,0.0008575,0.000845,0.0008325,0.0007725,0.000345,0.0003275,0.0006075,0.00104,0.0009525,0.000945,0.0004675,0.00038697,0.0003275,0.00020775,0.00064,0.00079,0.0007975,0.0005786,0.00057226,0.00056592,0.00055958,0.00055324
AND,2.2367e-07,2.5578e-07,2.883e-07,3.2123e-07,3.5455e-07,3.8826e-07,4.2235e-07,4.5681e-07,4.9164e-07,5.2683e-07,5.6237e-07,5.9825e-07,6.3447e-07,6.7102e-07,7.0788e-07,7.4507e-07,7.8256e-07,8.2035e-07,8.5843e-07,8.968e-07,9.3544e-07,9.7436e-07,1.0135e-06,1.053e-06,1.0927e-06,1.1326e-06,1.1727e-06,1.2131e-06,1.2537e-06,1.2945e-06,1.3355e-06,1.3767e-06,1.4181e-06,1.4597e-06,1.5015e-06,1.5434e-06,1.5855e-06,1.6277e-06,1.6701e-06,1.7126e-06,2.6719e-06,2.8624e-06,3.0956e-06,3.3679e-06,3.6759e-06,4.016e-06,4.3849e-06,4.779e-06,5.1948e-06,5.6289e-06,6.0777e-06,6.6028e-06,7.2468e-06,7.9787e-06,8.7671e-06,9.5807e-06,1.0388e-05,1.1159e-05,1.1861e-05,1.2463e-05,1.2934e-05,1.33e-05,1.3617e-05,1.3896e-05,1.4148e-05,1.4384e-05,1.4614e-05,1.4851e-05,1.5105e-05,1.5387e-05,1.5708e-05,1.6057e-05,1.6417e-05,1.6794e-05,1.7191e-05,1.7613e-05,1.8064e-05,1.855e-05,1.9075e-05,1.9643e-05,2.0259e-05,2.0993e-05,2.189e-05,2.2919e-05,2.4048e-05,2.5244e-05,2.6476e-05,2.7712e-05,2.8919e-05,3.0067e-05,3.1123e-05,3.206e-05,3.2898e-05,3.3673e-05,3.442e-05,3.5178e-05,3.598e-05,3.6865e-05,3.7867e-05,3.9024e-05,4.0371e-05,4.2503e-05,4.5776e-05,4.9867e-05,5.4455e-05,5.9219e-05,6.3838e-05,6.799e-05,7.1354e-05,7.3608e-05,7.443e-05,7.443e-05,7.443e-05,7.443e-05,7.443e-05,7.443e-05,7.443e-05,7.443e-05,7.443e-05,7.443e-05,6.7723e-05,6.6378e-05,7.4491e-05,7.664e-05,7.3503e-05,6.8839e-05,7.0114e-05,6.3983e-05,6.0557e-05,6.9055e-05,5.7347e-05,5.6922e-05,4.7637e-05,4.563e-05,5.4841e-05,4.0325e-05,3.8659e-05,4.0383e-05,4.6211e-05,4.8143e-05,4.8121e-05,4.9388e-05,5.2729e-05,5.194e-05,5.7129e-05,5.9525e-05,6.006e-05,6.089e-05,6.103e-05,6.207e-05,6.3495e-05,6.6001e-05,6.5247e-05,6.7353e-05,6.2003e-05,6.1888e-05,6.5715e-05,6.6729e-05,6.011e-05,5.4051e-05,5.831e-05,5.9331e-05,5.7404e-05,5.8378e-05,5.7919e-05,5.746e-05,5.7001e-05,5.6542e-05
ANNEXI,0.024147,0.026761,0.029563,0.032551,0.03572,0.039065,0.042582,0.046266,0.050115,0.054122,0.058283,0.062596,0.067054,0.071653,0.07639,0.08126,0.086258,0.091381,0.096623,0.10198,0.10745,0.11303,0.1187,0.12448,0.13035,0.13631,0.14235,0.14848,0.15468,0.16095,0.16729,0.1737,0.18016,0.18668,0.19325,0.19986,0.20651,0.21321,0.21993,0.22668,0.35271,0.37796,0.40881,0.4448,0.48547,0.53038,0.57906,0.63105,0.68591,0.74318,0.8024,0.87168,0.95667,1.0532,1.1573,1.2645,1.371,1.4725,1.5648,1.6438,1.7055,1.7533,1.7945,1.8306,1.8632,1.8936,1.9234,1.9541,1.9872,2.024,2.0662,2.1123,2.1603,2.2107,2.264,2.3209,2.3818,2.4472,2.5177,2.5938,2.6761,2.7736,2.8922,3.028,3.1766,3.334,3.4959,3.6583,3.817,3.9679,4.1067,4.23,4.3401,4.4419,4.5402,4.6396,4.7451,4.8613,4.993,5.1451,5.3223,5.571,5.9205,6.3496,6.8372,7.3623,7.9038,8.4404,8.9512,9.415,9.8107,10.1669,10.5267,10.8908,11.26,11.635,12.0167,12.4057,12.8029,13.2054,12.0752,11.1751,11.9622,11.6147,10.2969,9.6309,9.1201,7.8252,7.236,8.1004,6.4222,6.1677,4.2842,3.5237,4.6548,4.408,3.9979,4.1313,4.2203,4.2039,4.2425,3.8933,3.7744,3.5528,3.5174,3.397,3.306,3.4872,3.4194,3.5622,3.7072,4.3557,5.1051,5.8759,6.6965,6.0186,5.9463,5.9376,4.4645,3.1446,3.7892,5.2273,4.8021,3.6024,3.4835,3.397,3.5221,4.4537
AOSIS,0,1.1071e-06,2.4032e-06,3.8838e-06,5.5444e-06,7.3805e-06,9.3876e-06,1.1561e-05,1.3897e-05,1.639e-05,1.9036e-05,2.183e-05,2.4769e-05,2.7847e-05,3.106e-05,3.4404e-05,3.7873e-05,4.1464e-05,4.5172e-05,4.8992e-05,5.2921e-05,5.6953e-05,6.1084e-05,6.5309e-05,6.9624e-05,7.4025e-05,7.8507e-05,8.3065e-05,8.7695e-05,9.2393e-05,9.7154e-05,0.00010197,0.00010685,0.00011177,0.00011674,0.00012174,0.00012679,0.00013186,0.00013697,0.00014209,0.00022188,0.00023741,0.00025653,0.00027896,0.00030438,0.00033251,0.00036305,0.00039571,0.00043018,0.00046616,0.00050338,0.00054704,0.00060081,0.00066201,0.000728,0.0007961,0.00086365,0.000928,0.00098647,0.0010364,0.0010752,0.0011051,0.0011308,0.0011533,0.0011735,0.0011924,0.0012109,0.00123,0.0012506,0.0012736,0.0013,0.001329,0.0013593,0.0013912,0.001425,0.0014611,0.0014998,0.0015413,0.001586,0.0016341,0.0016861,0.0017473,0.0018216,0.0019063,0.001999,0.0020971,0.002198,0.0022994,0.0023986,0.0024931,0.0025804,0.0026583,0.0027281,0.0027928,0.0028553,0.0029187,0.002986,0.00306,0.0031438,0.0032403,0.0033526,0.003502,0.0037027,0.0039462,0.0042243,0.0045289,0.0048515,0.005184,0.0055181,0.0058454,0.0061578,0.0064433,0.006704,0.0069526,0.0072021,0.0074651,0.0077545,0.0080831,0.0084638,0.0089092,0.00805,0.00825,0.0098,0.010775,0.010525,0.007975,0.00995,0.009825,0.01015,0.01145,0.011341,0.01108,0.01077,0.010509,0.013961,0.024325,0.0229,0.02875,0.027325,0.0276,0.0277,0.0308,0.032875,0.033125,0.063875,0.063625,0.09455,0.093625,0.12162,0.1275,0.14535,0.14628,0.14833,0.1504,0.21345,0.27653,0.34108,0.3519,0.33815,0.35398,0.3548,0.35563,0.35645,0.42326,0.44465,0.46605,0.48744,0.50884
ARE,0,1.1335e-07,2.256e-07,3.3676e-07,4.4683e-07,5.5583e-07,6.6377e-07,7.7067e-07,8.7653e-07,9.8137e-07,1.0852e-06,1.188e-06,1.2899e-06,1.3907e-06,1.4906e-06,1.5896e-06,1.6876e-06,1.7847e-06,1.8809e-06,1.9761e-06,2.0705e-06,2.164e-06,2.2566e-06,2.3484e-06,2.4394e-06,2.5295e-06,2.6187e-06,2.7072e-06,2.7949e-06,2.8818e-06,2.9679e-06,3.0532e-06,3.1378e-06,3.2217e-06,3.3048e-06,3.3873e-06,3.469e-06,3.5501e-06,3.6304e-06,3.7101e-06,5.7984e-06,6.2139e-06,6.7211e-06,7.3127e-06,7.981e-06,8.7187e-06,9.5183e-06,1.0372e-05,1.1273e-05,1.2214e-05,1.3186e-05,1.4323e-05,1.5715e-05,1.7296e-05,1.8998e-05,2.0755e-05,2.2499e-05,2.4164e-05,2.5681e-05,2.6985e-05,2.8008e-05,2.8806e-05,2.9497e-05,3.0105e-05,3.0654e-05,3.1168e-05,3.1672e-05,3.2189e-05,3.2744e-05,3.3361e-05,3.4064e-05,3.4828e-05,3.562e-05,3.6449e-05,3.7324e-05,3.8254e-05,3.9248e-05,4.0316e-05,4.1467e-05,4.2711e-05,4.4056e-05,4.5647e-05,4.758e-05,4.9787e-05,5.2202e-05,5.4761e-05,5.7395e-05,6.0039e-05,6.2627e-05,6.5093e-05,6.737e-05,6.9399e-05,7.1216e-05,7.2899e-05,7.4526e-05,7.6177e-05,7.7928e-05,7.9858e-05,8.2045e-05,8.4569e-05,8.7506e-05,9.1445e-05,9.6772e-05,0.00010326,0.00011068,0.0001188,0.0001274,0.00013624,0.00014511,0.00015377,0.00016199,0.00017079,0.00018096,0.00019196,0.00020325,0.00021429,0.00022454,0.00023346,0.00024049,0.00024511,0.00024677,0.00024288,0.00023783,0.00025637,0.00024659,0.00029679,0.00078876,0.00062333,0.00045514,0.0005646,0.00041488,0.00040234,0.00049484,0.00055816,0.00045734,0.00053388,0.00057535,0.00065199,0.00069721,0.00056169,0.00074838,0.00079589,0.00079763,0.00078123,0.0007786,0.000825,0.0017175,0.002625,0.0035,0.0044,0.0053,0.0062,0.007075,0.007975,0.008875,0.00975,0.01065,0.01155,0.01245,0.01335,0.014225,0.015125,0.016025,0.016915,0.017809,0.018703,0.019597,0.02049
ARG,0,3.0417e-06,6.6026e-06,1.067e-05,1.5233e-05,2.0277e-05,2.5792e-05,3.1764e-05,3.818e-05,4.503e-05,5.23e-05,5.9978e-05,6.8051e-05,7.6508e-05,8.5336e-05,9.4522e-05,0.00010405,0.00011392,0.00012411,0.0001346,0.0001454,0.00015647,0.00016782,0.00017943,0.00019129,0.00020338,0.00021569,0.00022822,0.00024094,0.00025384,0.00026692,0.00028016,0.00029355,0.00030708,0.00032072,0.00033448,0.00034834,0.00036229,0.0003763,0.00039038,0.00060959,0.00065227,0.00070481,0.00076642,0.00083627,0.00091356,0.00099747,0.0010872,0.0011819,0.0012808,0.001383,0.001503,0.0016507,0.0018188,0.0020001,0.0021872,0.0023728,0.0025496,0.0027103,0.0028475,0.002954,0.0030361,0.0031067,0.0031686,0.0032241,0.0032761,0.0033269,0.0033793,0.0034358,0.0034991,0.0035716,0.0036512,0.0037345,0.0038222,0.0039152,0.0040144,0.0041206,0.0042346,0.0043574,0.0044897,0.0046324,0.0048007,0.0050047,0.0052375,0.0054921,0.0057616,0.006039,0.0063174,0.00659,0.0068497,0.0070896,0.0073035,0.0074952,0.0076729,0.0078448,0.008019,0.0082038,0.0084072,0.0086374,0.0089026,0.0092111,0.0096216,0.010173,0.010842,0.011606,0.012443,0.013329,0.014243,0.015161,0.01606,0.016918,0.017703,0.018419,0.019102,0.019787,0.02051,0.021305,0.022208,0.023254,0.024477,0.022277,0.020615,0.023455,0.023893,0.022817,0.019265,0.020929,0.02096,0.020732,0.022735,0.019492,0.018798,0.015235,0.015045,0.017232,0.016319,0.016741,0.017504,0.017339,0.017217,0.019459,0.021584,0.020984,0.019986,0.023201,0.023703,0.031536,0.025736,0.025132,0.027114,0.034967,0.046297,0.043381,0.053492,0.056362,0.055723,0.058419,0.067008,0.048323,0.042216,0.055418,0.063259,0.0572,0.067466,0.069611,0.067139,0.068707,0.070275
AUS,0.00091374,0.0010449,0.0011778,0.0013123,0.0014484,0.0015861,0.0017254,0.0018662,0.0020085,0.0021522,0.0022974,0.002444,0.0025919,0.0027412,0.0028919,0.0030438,0.0031969,0.0033513,0.0035069,0.0036636,0.0038215,0.0039805,0.0041405,0.0043016,0.0044637,0.0046268,0.0047908,0.0049558,0.0051217,0.0052884,0.0054559,0.0056243,0.0057934,0.0059633,0.0061339,0.0063051,0.0064771,0.0066496,0.0068227,0.0069964,0.010934,0.011713,0.012668,0.013783,0.015044,0.016438,0.01795,0.019564,0.021269,0.023048,0.024887,0.02704,0.029684,0.032689,0.035927,0.039268,0.042583,0.045743,0.048619,0.051081,0.053002,0.054491,0.055776,0.056902,0.057916,0.058865,0.059795,0.060752,0.061782,0.062932,0.064248,0.065689,0.067191,0.068771,0.070444,0.072226,0.074132,0.076177,0.078377,0.080748,0.083304,0.08631,0.089939,0.094072,0.098588,0.10337,0.10829,0.11324,0.1181,0.12273,0.12704,0.13089,0.13436,0.13758,0.1407,0.14388,0.14724,0.15095,0.15514,0.15997,0.16557,0.17302,0.18303,0.19518,0.20905,0.22423,0.24029,0.25683,0.27342,0.28965,0.3051,0.3194,0.33276,0.34569,0.35868,0.37223,0.38681,0.40293,0.42109,0.44177,0.40474,0.36666,0.38468,0.34827,0.29265,0.28966,0.24984,0.1882,0.16637,0.19079,0.13938,0.13466,0.072968,0.037835,0.071254,0.072299,0.057651,0.063486,0.071036,0.073606,0.081646,0.075137,0.082306,0.083292,0.093006,0.098387,0.10048,0.098385,0.10283,0.096,0.08679,0.081024,0.080382,0.086472,0.086311,0.081794,0.08866,0.089279,0.08932,0.077148,0.092362,0.097592,0.075327,0.068478,0.065018,0.068675,0.070578,0.073485
AUT,6.5807e-05,7.5255e-05,8.4823e-05,9.451e-05,0.00010431,0.00011423,0.00012426,0.0001344,0.00014465,0.000155,0.00016546,0.00017601,0.00018667,0.00019742,0.00020827,0.00021921,0.00023024,0.00024136,0.00025256,0.00026385,0.00027522,0.00028667,0.0002982,0.0003098,0.00032147,0.00033322,0.00034503,0.00035691,0.00036886,0.00038087,0.00039293,0.00040506,0.00041724,0.00042947,0.00044176,0.00045409,0.00046647,0.0004789,0.00049137,0.00050388,0.0007861,0.00084216,0.00091077,0.00099089,0.0010815,0.0011816,0.0012901,0.001406,0.0015284,0.0016561,0.0017882,0.0019426,0.0021321,0.0023474,0.0025794,0.0028188,0.0030564,0.003283,0.0034895,0.0036667,0.0038052,0.0039131,0.0040064,0.0040885,0.0041626,0.0042319,0.0042997,0.0043694,0.004444,0.004527,0.0046216,0.0047242,0.0048303,0.004941,0.0050578,0.0051819,0.0053148,0.0054578,0.0056122,0.0057793,0.0059605,0.0061764,0.0064404,0.0067431,0.0070752,0.0074271,0.0077896,0.0081531,0.0085085,0.0088461,0.0091567,0.0094325,0.009679,0.009907,0.010127,0.01035,0.010586,0.010846,0.011141,0.011481,0.011878,0.012505,0.013468,0.014671,0.016021,0.017423,0.018782,0.020004,0.020993,0.021656,0.021898,0.021898,0.021898,0.021898,0.021898,0.021898,0.021898,0.021898,0.021898,0.021898,0.02283,0.023693,0.025444,0.027349,0.029281,0.024733,0.028318,0.029212,0.031262,0.034721,0.03341,0.03317,0.029811,0.033358,0.036987,0.036375,0.037329,0.039009,0.040734,0.043203,0.042769,0.042616,0.0394,0.040122,0.040885,0.040824,0.040815,0.040978,0.041607,0.041075,0.041083,0.041278,0.042591,0.0424,0.042771,0.044989,0.057316,0.057766,0.05797,0.057656,0.058945,0.058887,0.059224,0.062051,0.060237,0.060829,0.060955,0.061397
AZE,3.2201e-07,3.4917e-07,3.8016e-07,4.149e-07,4.533e-07,4.9525e-07,5.4068e-07,5.895e-07,6.416e-07,6.9691e-07,7.5534e-07,8.1678e-07,8.8116e-07,9.4838e-07,1.0184e-06,1.091e-06,1.1662e-06,1.2439e-06,1.324e-06,1.4064e-06,1.491e-06,1.5777e-06,1.6665e-06,1.7572e-06,1.8497e-06,1.944e-06,2.04e-06,2.1376e-06,2.2366e-06,2.3371e-06,2.4389e-06,2.5418e-06,2.646e-06,2.7511e-06,2.8573e-06,2.9642e-06,3.072e-06,3.1804e-06,3.2894e-06,3.399e-06,5.2789e-06,5.6582e-06,6.1208e-06,6.6601e-06,7.2693e-06,7.9415e-06,8.67e-06,9.448e-06,1.0269e-05,1.1125e-05,1.2011e-05,1.3048e-05,1.4319e-05,1.5763e-05,1.7317e-05,1.8921e-05,2.0511e-05,2.2027e-05,2.3405e-05,2.4584e-05,2.5502e-05,2.6212e-05,2.6824e-05,2.7359e-05,2.7841e-05,2.8292e-05,2.8734e-05,2.9189e-05,2.968e-05,3.0228e-05,3.0857e-05,3.1546e-05,3.2266e-05,3.3025e-05,3.3829e-05,3.4686e-05,3.5605e-05,3.6592e-05,3.7654e-05,3.88e-05,4.0038e-05,4.1502e-05,4.3283e-05,4.5318e-05,4.7545e-05,4.9902e-05,5.2327e-05,5.4757e-05,5.7131e-05,5.9385e-05,6.1459e-05,6.3299e-05,6.4942e-05,6.6459e-05,6.7921e-05,6.9401e-05,7.097e-05,7.2699e-05,7.4661e-05,7.6925e-05,7.9565e-05,8.3107e-05,8.7893e-05,9.372e-05,0.00010039,0.00010769,0.00011542,0.00012339,0.00013138,0.0001392,0.00014664,0.00015386,0.00016117,0.00016858,0.0001761,0.00018373,0.00019148,0.00019937,0.0002074,0.00021557,0.0002625,0.0002775,0.000315,0.00034,0.000355,0.0002925,0.0003425,0.0003775,0.00041,0.00044,0.0004275,0.0005,0.00051,0.0006675,0.00057,0.00048,0.0004275,0.000435,0.00107,0.0012075,0.0007075,0.00087,7.825e-05,0.0002525,0.000189,0.000255,0.00032,0.00015225,0.00020375,0.0002475,0.00033,0.0002625,0.0003825,0.0004175,0.0004175,0.0004175,0.0004175,0.0004175,0.0004175,0.0003325,0.00025,0.00016675,8.325e-05,0.00027921,0.00027442,0.00026962,0.00026482,0.00026003
BASIC,0.00018402,0.00093342,0.0017826,0.0027292,0.0037709,0.0049052,0.0061298,0.0074424,0.0088406,0.010322,0.011884,0.013525,0.015242,0.017032,0.018894,0.020825,0.022823,0.024885,0.027009,0.029192,0.031433,0.033728,0.036076,0.038474,0.040919,0.04341,0.045944,0.048519,0.051131,0.05378,0.056462,0.059176,0.061918,0.064686,0.067479,0.070293,0.073127,0.075977,0.078843,0.08172,0.12758,0.13653,0.14754,0.16044,0.17507,0.19124,0.20881,0.22758,0.2474,0.26809,0.28949,0.31459,0.34548,0.38065,0.41855,0.45767,0.49647,0.53344,0.56704,0.59575,0.61803,0.63522,0.65003,0.66298,0.67463,0.68551,0.69617,0.70715,0.719,0.73225,0.74745,0.76412,0.78155,0.79992,0.81939,0.84016,0.8624,0.88627,0.91197,0.93966,0.96952,1.0047,1.0474,1.0961,1.1493,1.2057,1.2637,1.3219,1.3789,1.4332,1.4833,1.5281,1.5681,1.6053,1.6413,1.6777,1.7163,1.7589,1.807,1.8625,1.9271,2.013,2.1284,2.2685,2.4286,2.6039,2.7895,2.9809,3.173,3.3613,3.541,3.7053,3.8556,3.9993,4.1433,4.2951,4.4618,4.6505,4.8686,5.1233,4.5755,4.1178,4.3352,4.3664,3.971,3.445,3.2206,2.8104,2.5938,2.9778,2.4794,2.3082,1.2373,0.81016,1.357,1.2958,1.0984,1.1171,1.2931,1.3791,1.4105,1.3459,1.2839,1.3827,1.4272,1.404,1.3916,1.4426,1.4422,1.5867,1.7483,1.7282,1.8331,2.0934,2.4712,2.7003,3.2731,3.6917,4.3174,4.2703,4.9162,5.5079,5.7341,5.463,5.7783,6.0791,6.4535,6.7494
