code,CH4AR4_IPC4_TOTAL_NET_HISTORY_UNFCCC2019BI
entity,CH4
category,IPC4
name_category,Waste
type,NET
class,TOTAL
descr,GHG data submitted to the UNFCCC by Parties: non-AnnexI Parties only. See http://unfccc.int/di/DetailedByParty.do
note,Read in by JG and RG
source,UNFCCC2019BI
scenario,HISTORY
datatype,CountryYearMatrix
tablekind,usr
family,emi
subsource,UNFCCC_2019B.csv
unit,MtCO2eq
gwp,AR4
iso3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
ALB,0.1185,0.127,0.1585,0.19175,0.2795,0.326,0.44425,0.4975,0.4945,0.58225,0.6035,0.606,0.60475,0.61625,0.66725,0.674,0.7575,0.7665,0.727,0.882,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ARE,NaN,NaN,NaN,NaN,2.7075,NaN,NaN,NaN,NaN,NaN,3.025,NaN,NaN,NaN,NaN,8.475,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.3725,NaN,NaN
ARG,10.2643,NaN,NaN,NaN,11.1779,NaN,NaN,12.7215,NaN,NaN,15.5345,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.3925,NaN,23.4025,NaN,NaN,NaN,NaN
ARM,0.60953,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.65733,NaN,NaN,NaN,NaN,NaN,0.68633,NaN,NaN,NaN,0.6942,NaN,NaN,NaN,NaN,NaN,NaN
AZE,1.9393,1.9463,1.9587,1.9808,1.9945,2.0198,2.0368,2.0493,2.0547,2.061,2.0869,2.1135,2.1405,2.1707,2.2383,2.2798,2.3476,2.4036,2.4583,2.4738,2.5464,2.5726,2.6,0.87213,NaN,NaN,NaN
BGD,NaN,NaN,NaN,NaN,1.5623,NaN,NaN,NaN,NaN,NaN,NaN,13.9607,NaN,NaN,NaN,15.9395,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BIH,1.1815,1.1815,0.81,0.4475,0.54,0.605,0.8875,0.88,0.975,1.0825,1.1475,1.1767,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.275,1.125,NaN,NaN
BOL,0.10675,NaN,NaN,NaN,0.5065,NaN,NaN,NaN,1.1678,NaN,1.3225,NaN,1.772,NaN,1.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BRA,31.2275,32.4275,33.7525,34.9125,36.1525,37.6575,39.0125,40.55,42.0275,43.73,45.2275,46.39,48.345,50.225,51.38,53.1025,54.6325,55.8,56.52,57.81,60.0625,63.855,64.76,69.8275,71.1075,71.52,NaN
CAF,NaN,NaN,NaN,NaN,0.1015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0014,0.00145,0.001475,0.0015,0.001525,0.001875,0.0037,0.003325,NaN,NaN,NaN,NaN,NaN,NaN
CHL,2.7875,NaN,NaN,NaN,3.0425,NaN,NaN,NaN,NaN,NaN,3.585,NaN,NaN,NaN,NaN,NaN,2.8037,NaN,NaN,NaN,4.175,NaN,NaN,4.9775,NaN,NaN,5.4375
CHN,NaN,NaN,NaN,NaN,193,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95.6,NaN,NaN,NaN,NaN,NaN,NaN,135.575,NaN,NaN,NaN,NaN
COL,8.1625,NaN,NaN,NaN,9.36,NaN,NaN,NaN,NaN,NaN,10.2715,NaN,NaN,NaN,11.3168,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CRI,0.5125,NaN,NaN,NaN,NaN,NaN,1.0361,NaN,NaN,NaN,1.4725,NaN,NaN,NaN,NaN,1.5725,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CUB,2.9635,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.3023,NaN,2.399,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DOM,1.5545,NaN,NaN,NaN,2.9992,NaN,NaN,NaN,1.7808,NaN,1.8455,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.1383,NaN,NaN,NaN,NaN,NaN,NaN
EARTH,123.1267,96.6889,99.1729,106.9965,371.6315,105.1964,111.6606,121.7981,115.362,116.2165,477.7107,139.9478,134.8429,137.2183,154.5019,293.1007,157.6721,151.5175,159.5263,163.5045,325.3933,177.2803,345.8472,148.9731,101.3195,78.8739,5.4375
EGY,6.7715,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.8,NaN,NaN,NaN,NaN,22.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ETH,1.1,1.075,1.1,1.125,1.1703,1.3249,1.4682,1.6217,1.7937,1.9523,2.2185,2.2443,2.3925,2.5271,2.6507,2.8001,3.235,3.4421,3.8931,4.2691,4.616,5.1412,5.5451,5.7816,NaN,NaN,NaN
GEO,NaN,3.25,2.2475,1.8625,1.79,1.7975,1.83,NaN,NaN,NaN,1.369,1.35,1.35,1.35,1.35,1.3538,1.206,1.2165,1.2213,1.2332,1.3375,1.3575,1.375,1.38,NaN,NaN,NaN
GHA,0.63375,0.6755,0.6855,0.71175,0.7935,0.86825,0.892,1.3555,1.4268,1.4495,1.694,1.7558,1.9278,2.1138,2.3125,2.409,2.4988,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GTM,0.75968,NaN,NaN,NaN,0.84362,NaN,NaN,NaN,NaN,NaN,1.0373,NaN,NaN,NaN,NaN,1.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IDN,9.2835,9.464,9.6513,9.8458,10.048,NaN,NaN,NaN,NaN,NaN,182.3383,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IND,NaN,NaN,NaN,NaN,25.075,NaN,NaN,NaN,NaN,NaN,57.6798,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,61.3275,NaN,NaN,NaN,NaN,NaN,NaN
ISR,NaN,NaN,NaN,NaN,NaN,NaN,3.0447,NaN,NaN,NaN,3.442,NaN,NaN,4.7526,5.0816,5.3977,5.6962,5.9743,6.2024,6.3825,6.7426,6.9629,7.1975,7.2129,7.3652,7.3539,NaN
