code,CH4AR4_IPCM0EL_TOTAL_NET_HISTCR_PRIMAPHIST21
entity,CH4
category,IPCM0EL
name_category,NatTotalExclLULUCF
type,NET
class,TOTAL
source,PRIMAPHIST21
descr,Result of CH4_IPC5+IPC4+IPCMAG+IPC2_TOTAL_NET_HISTCR_PRIMAPHIST21X+CH4_IPC1_TOTAL_NET_HISTCR_PRIMAPHIST21X - regarding information just missing in one of the tables as zero | built by Johannes Guetschow
note,calculated by the function combine_tables_varying_in_one_sheet_as by CC and JN from PRIMAP | built by Johannes Guetschow
scenario,HISTCR
datatype,CountryYearMatrix
tablekind,usr
family,emi
subsource,Summary1.As1; Summary1.As2; Table1.A(a)s1; Table1.B.1; Table1.B.2; Table10s3; Table1s1; Table2(I)s1; Table2(I)s2; Table3s1; Table3s2; Table5
unit,MtCO2eq
gwp,AR4
iso3,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ABW,0.00017916,0.00018139,0.00018362,0.00018585,0.00018808,0.00019031,0.00019253,0.00019476,0.00019697,0.00019919,0.0002014,0.00020358,0.00020572,0.00020785,0.00020996,0.00021208,0.00021422,0.0002164,0.00021863,0.00022094,0.00022333,0.00022574,0.00022813,0.00023054,0.00023299,0.00023552,0.00023816,0.00024095,0.00024392,0.00024709,0.00025051,0.00025441,0.00025893,0.00026396,0.00026939,0.00027511,0.000281,0.00028696,0.00029288,0.00029865,0.0003232,0.00032541,0.00033003,0.00033681,0.00034556,0.00035603,0.00036801,0.00038127,0.0003956,0.00041076,0.00042654,0.00044706,0.00047559,0.00051059,0.00055053,0.00059389,0.00063915,0.00068477,0.00072922,0.00077099,0.00080853,0.00084393,0.00088051,0.00091861,0.00095857,0.0010008,0.0010455,0.0010931,0.001144,0.0011985,0.0012569,0.0013223,0.001397,0.0014807,0.0015731,0.0016738,0.0017823,0.0018983,0.0020214,0.0021513,0.0022875,0.002436,0.0026021,0.0027843,0.0029814,0.0031919,0.0034144,0.0036477,0.0038902,0.0041407,0.0043978,0.0046687,0.0049604,0.0052707,0.0055975,0.0059387,0.0062923,0.0066562,0.0070281,0.0074061,0.0077881,0.0081839,0.0086031,0.0090433,0.0095021,0.0099771,0.010466,0.010966,0.011475,0.01199,0.01251,0.013053,0.013634,0.014246,0.014881,0.01553,0.016186,0.016841,0.017487,0.018116,0.017686,0.018338,0.018387,0.018472,0.018495,0.01859,0.018898,0.018865,0.019765,0.020258,0.021002,0.020379,0.020953,0.021794,0.022275,0.022717,0.021989,0.021421,0.021261,0.021339,0.022571,0.022145,0.023362,0.024248,0.026126,0.027007,0.024059,0.024782,0.026484,0.02681,0.030909,0.031108,0.031261,0.032265,0.032256,0.0324,0.032926,0.033662,0.033955,0.034144,0.033853,0.034677,0.034606,0.036158,0.036667,0.037176,0.037684,0.038193
AFG,0.61633,0.67205,0.7268,0.78059,0.83341,0.88527,0.93618,0.98613,1.0351,1.0832,1.1304,1.1765,1.2217,1.2658,1.3088,1.3508,1.3918,1.4317,1.4705,1.5083,1.545,1.5808,1.6156,1.6495,1.6824,1.7144,1.7453,1.7751,1.8039,1.8315,1.858,1.8834,1.9078,1.9311,1.9533,1.9745,1.9945,2.0133,2.031,2.0475,2.0841,2.0856,2.0883,2.0921,2.0968,2.1023,2.1086,2.1154,2.1226,2.1302,2.138,2.1472,2.1591,2.173,2.1887,2.2056,2.2234,2.2416,2.2597,2.2774,2.2942,2.3098,2.3244,2.3386,2.3531,2.3683,2.3848,2.4032,2.424,2.4479,2.4754,2.5275,2.62,2.7447,2.894,3.0599,3.2346,3.41,3.5785,3.7321,3.863,3.9759,4.082,4.1831,4.2808,4.3768,4.4729,4.5707,4.672,4.7783,4.8915,5.0104,5.1335,5.2616,5.3956,5.5365,5.685,5.8422,6.0088,6.1858,6.3741,6.5978,6.8716,7.1823,7.5164,7.8607,8.2019,8.5265,8.8212,9.0728,9.2678,9.0274,9.2764,9.6861,9.9551,10.3013,10.8122,11.0765,11.5863,11.8652,11.875,11.8826,10.9082,10.5605,11.7814,11.6579,11.6934,11.9487,11.5018,11.2453,11.6178,11.2391,11.0989,10.6826,9.8783,9.1367,8.0132,7.8059,7.905,7.0756,7.1001,7.4285,7.5445,7.717,8.0469,8.5339,9.4555,10.1928,10.7641,11.604,10.399,9.1881,11.0856,11.5096,11.4966,11.7787,12.0236,12.2926,13.4225,13.7047,15.3474,15.4696,15.4284,15.4364,15.7359,15.2458,15.1388,14.9553
AGO,2.629,2.7151,2.8004,2.8848,2.9683,3.0509,3.1328,3.2138,3.294,3.3735,3.4522,3.5301,3.6074,3.684,3.7599,3.8352,3.9098,3.9839,4.0573,4.1302,4.2025,4.2744,4.3457,4.4165,4.4869,4.5569,4.6264,4.6955,4.7642,4.8325,4.9005,4.9682,5.0355,5.1026,5.1694,5.236,5.3023,5.3684,5.4343,5.5001,5.549,5.5661,5.5901,5.6208,5.6575,5.7,5.7478,5.8004,5.8573,5.9181,5.9825,6.0772,6.2229,6.4094,6.6265,6.8641,7.1119,7.36,7.598,7.8158,8.0034,8.1739,8.3462,8.5189,8.6901,8.8584,9.0219,9.1792,9.3286,9.4683,9.5969,9.7235,9.8572,9.9961,10.1382,10.2817,10.4246,10.5649,10.7008,10.8304,10.9517,11.0719,11.2003,11.3383,11.4872,11.6484,11.8231,12.0128,12.2188,12.4423,12.6849,12.9944,13.4044,13.894,14.4426,15.0294,15.6338,16.2349,16.8122,17.3449,17.8122,18.2124,18.5698,18.9028,19.2297,19.5689,19.9388,20.3578,20.8442,21.4164,22.0928,22.7949,24.0668,25.6433,27.4919,29.492,31.4895,33.5652,35.398,37.1912,48.5792,38.3424,43.4992,49.1441,49.0692,48.4164,33.4658,56.4015,61.3747,65.9814,63.1747,57.2817,58.7422,60.154,57.8685,58.6751,59.1499,64.586,60.2392,62.1562,50.8021,52.9757,55.1677,53.9801,49.6225,53.9214,57.4988,56.0338,57.3808,52.5245,46.4007,46.184,46.4069,48.2742,48.1239,48.6708,44.8503,45.6944,45.331,44.9914,48.7857,49.3735,48.5733,44.8269,43.4744,43.7077,43.004,42.1241
AIA,0.00059036,0.00059638,0.00060301,0.00061023,0.00061803,0.0006264,0.00063531,0.00064476,0.00065471,0.00066516,0.0006761,0.00068739,0.00069898,0.00071092,0.00072325,0.00073603,0.0007493,0.00076314,0.00077757,0.00079266,0.00080846,0.00082504,0.00084239,0.00086043,0.00087907,0.00089821,0.00091777,0.00093767,0.00095781,0.00097811,0.00099848,0.001019,0.0010396,0.0010605,0.0010815,0.0011027,0.001124,0.0011455,0.0011671,0.0011889,0.0012107,0.0012337,0.0012586,0.0012853,0.0013136,0.0013432,0.0013741,0.001406,0.0014387,0.001472,0.0015058,0.0015429,0.0015851,0.0016309,0.0016784,0.0017259,0.0017719,0.0018145,0.0018521,0.001883,0.0019054,0.0019222,0.0019377,0.001952,0.0019653,0.0019779,0.00199,0.0020018,0.0020137,0.0020257,0.0020381,0.0020511,0.0020646,0.0020785,0.0020926,0.0021067,0.0021207,0.0021344,0.0021478,0.0021605,0.0021726,0.0021843,0.0021961,0.0022078,0.0022196,0.0022313,0.0022428,0.0022542,0.0022653,0.0022761,0.0022866,0.0022964,0.0023055,0.0023141,0.0023226,0.0023314,0.0023407,0.002351,0.0023624,0.0023755,0.0023904,0.0024067,0.0024238,0.0024415,0.0024597,0.0024783,0.0024974,0.0025167,0.0025361,0.0025557,0.0025753,0.0025957,0.0026173,0.00264,0.0026633,0.002687,0.0027108,0.0027343,0.0027572,0.0027792,0.0026952,0.0027402,0.0027303,0.0027827,0.0027261,0.0027554,0.0025821,0.0025918,0.0028022,0.0028363,0.002819,0.0029227,0.0029722,0.0025031,0.0022471,0.0024399,0.0025101,0.0023846,0.0023067,0.0023626,0.0024205,0.0024874,0.0024618,0.0025007,0.0027383,0.0028149,0.0028656,0.0028968,0.002928,0.0029416,0.0030161,0.0029462,0.0031417,0.0032651,0.0042085,0.0043479,0.0044749,0.0045132,0.0044722,0.0046094,0.0046659,0.0047152,0.0047579,0.0052224,0.0053835,0.0055445,0.0057056,0.0058667
ALB,0.12505,0.12515,0.12528,0.12543,0.12562,0.12584,0.12608,0.12635,0.12664,0.12696,0.1273,0.12767,0.12806,0.12847,0.1289,0.12935,0.12983,0.13033,0.13086,0.13142,0.132,0.1326,0.13324,0.1339,0.13458,0.13529,0.13602,0.13676,0.13752,0.13829,0.13908,0.13988,0.1407,0.14153,0.14237,0.14323,0.1441,0.14498,0.14586,0.14676,0.15705,0.14894,0.14119,0.13395,0.12734,0.12151,0.11659,0.11271,0.11,0.10861,0.10867,0.1097,0.1111,0.11282,0.11481,0.11701,0.11939,0.12189,0.12446,0.12705,0.12961,0.13489,0.1452,0.15979,0.17795,0.19894,0.22202,0.24648,0.27158,0.29659,0.32077,0.3483,0.38235,0.42074,0.46128,0.50179,0.54007,0.57395,0.60124,0.61974,0.62729,0.62106,0.60188,0.57301,0.5377,0.49918,0.46073,0.42558,0.39698,0.3782,0.37247,0.38193,0.40468,0.43785,0.47861,0.52412,0.57153,0.61799,0.66067,0.69671,0.72328,0.74418,0.76493,0.78529,0.805,0.82381,0.84148,0.85776,0.8724,0.88514,0.89574,0.89026,0.89592,0.8901,0.89266,0.94027,0.93522,0.94114,0.88428,0.87343,0.88564,0.86771,0.85787,0.87757,0.90712,0.92017,0.96819,1.006,1.0712,1.1192,1.1466,1.1668,1.1794,1.2022,1.2147,1.1834,1.2317,1.306,1.3671,1.3814,1.363,1.4099,1.3836,1.4967,1.5602,1.5647,1.8739,1.9091,1.9261,2.0813,2.5665,2.5192,2.4678,2.4985,2.5434,2.4567,2.5255,2.4272,2.2952,2.3623,2.3678,2.3567,2.3862,2.4422,2.4877,2.5249,2.5474,2.5446
AND,0.002764,0.0027718,0.0027889,0.0028152,0.0028503,0.002894,0.0029462,0.0030066,0.003075,0.003151,0.0032346,0.0033254,0.0034231,0.0035276,0.0036386,0.003756,0.0038795,0.004009,0.0041443,0.0042851,0.0044312,0.0045825,0.0047387,0.0048996,0.005065,0.0052344,0.0054077,0.0055846,0.0057649,0.0059482,0.0061343,0.006323,0.0065141,0.0067074,0.0069027,0.0070996,0.0072981,0.0074979,0.0076986,0.0079002,0.0080321,0.0083752,0.0087122,0.0090419,0.0093634,0.0096754,0.0099769,0.010267,0.010544,0.010807,0.011056,0.011308,0.011577,0.011854,0.012129,0.012392,0.012635,0.012848,0.013021,0.013145,0.013211,0.013202,0.013121,0.012987,0.012817,0.01263,0.012444,0.012278,0.012149,0.012077,0.012079,0.012175,0.012356,0.012601,0.012888,0.013197,0.013505,0.013792,0.014036,0.014215,0.014309,0.014352,0.014395,0.014436,0.014474,0.01451,0.014542,0.01457,0.014592,0.01461,0.014621,0.014587,0.014483,0.014327,0.014136,0.013928,0.013721,0.013533,0.013381,0.013284,0.013259,0.0133,0.013379,0.013487,0.013613,0.013748,0.013882,0.014003,0.014102,0.01417,0.014194,0.014194,0.014194,0.014194,0.014194,0.014194,0.014194,0.014194,0.014194,0.014194,0.015209,0.014694,0.014337,0.013757,0.013422,0.01411,0.014381,0.014633,0.014396,0.014568,0.014625,0.014882,0.01483,0.015068,0.01563,0.015746,0.016018,0.016036,0.015265,0.015668,0.01582,0.016517,0.016625,0.016061,0.015546,0.015216,0.015299,0.014934,0.014684,0.014575,0.014674,0.014961,0.015173,0.015786,0.016308,0.016514,0.01598,0.015399,0.014963,0.014166,0.013465,0.013053,0.012673,0.013391,0.013299,0.013143,0.013208,0.013137
ANNEXI,405.4165,406.5057,408.1133,410.2264,412.8322,415.9182,419.4714,423.4791,427.9287,432.8073,438.1023,443.7862,449.8386,456.2567,463.038,470.1798,477.6797,485.5349,493.743,502.3013,511.2071,520.4619,530.0533,539.9582,550.1535,560.616,571.3226,582.2502,593.3758,604.6761,616.1281,627.7275,639.4774,651.3653,663.3789,675.506,687.7342,700.0512,712.4448,724.9025,737.3207,759.7614,782.6059,805.6157,828.5524,851.1775,873.2526,894.5393,914.799,933.7933,951.2838,968.8396,987.9354,1008.1913,1029.2276,1050.6643,1072.1215,1093.2193,1113.578,1132.8176,1150.5582,1169.0546,1190.257,1213.3293,1237.4352,1261.7385,1285.403,1307.5923,1327.4704,1344.2008,1356.9474,1366.838,1375.6988,1383.7413,1391.1768,1398.2167,1405.0725,1411.9556,1419.0775,1426.6494,1434.8829,1443.737,1452.9817,1462.5446,1472.3536,1482.3363,1492.4205,1502.5338,1512.6041,1522.5591,1532.3264,1544.1801,1559.9288,1578.8023,1600.0302,1622.8424,1646.4686,1670.1384,1693.0817,1714.5281,1733.7075,1753.4456,1776.6035,1802.4636,1830.3083,1859.4197,1889.0805,1918.5728,1947.1792,1974.1818,1998.8632,2021.2017,2065.3354,2102.8854,2132.4052,2172.6038,2214.2833,2266.4375,2309.104,2342.4755,2341.2341,2364.0177,2365.8867,2399.4137,2393.7057,2401.347,2412.1494,2407.3478,2546.3886,2542.0508,2541.3519,2520.6639,2516.924,2483.302,2499.4668,2500.8462,2498.0295,2485.3989,2537.73,2545.6876,2513.2975,2466.7286,2417.6323,2363.7039,2319.9226,2286.3907,2259.7012,2224.2994,2175.5564,2148.1328,2117.8719,2102.4338,2068.0293,2066.5831,2049.3648,2041.3016,2033.8555,2030.6893,2019.9075,1959.5376,1967.1078,1946.9514,1935.8979,1917.9974,1905.0249,1887.6131,1884.4349,1900.2898
ANT,0.0029368,0.0030323,0.0031297,0.003229,0.0033301,0.0034331,0.0035379,0.0036444,0.0037527,0.0038627,0.0039743,0.0040875,0.0042023,0.0043186,0.0044365,0.0045558,0.0046766,0.0047988,0.0049224,0.0050473,0.0051736,0.0053011,0.0054299,0.0055598,0.005691,0.0058232,0.0059566,0.0060911,0.0062267,0.0063633,0.006501,0.0066397,0.0067794,0.0069202,0.0070619,0.0072045,0.0073478,0.0074919,0.0076366,0.0077819,0.0086787,0.0087523,0.0088441,0.0089523,0.0090756,0.0092124,0.0093611,0.0095202,0.0096883,0.0098636,0.010045,0.010508,0.01147,0.012839,0.014524,0.016435,0.01848,0.020567,0.022607,0.024507,0.026177,0.02772,0.029294,0.030889,0.032497,0.034109,0.035714,0.037304,0.03887,0.040402,0.041892,0.043325,0.044705,0.046047,0.047366,0.048679,0.050002,0.05135,0.052738,0.054182,0.055699,0.057234,0.058745,0.060265,0.06183,0.063472,0.065227,0.067126,0.069205,0.071497,0.074037,0.077074,0.080785,0.085096,0.089933,0.095221,0.10089,0.10685,0.11305,0.1194,0.12582,0.13273,0.14048,0.14894,0.15797,0.16744,0.1772,0.18712,0.19706,0.20688,0.21645,0.22358,0.23109,0.2378,0.24443,0.25142,0.25976,0.26993,0.28205,0.29611,0.296,0.29663,0.28151,0.32023,0.29403,0.19354,0.20401,0.20506,0.2072,0.20109,0.21337,0.19666,0.17864,0.18027,0.15371,0.075404,0.073048,0.083502,0.084854,0.083905,0.087605,0.086377,0.097519,0.1001,0.10144,0.10211,0.10233,0.1002,0.10454,0.090681,0.093398,0.10256,0.087994,0.081971,0.093036,0.096607,0.091161,0.0964,0.091847,0.086117,0.049713,0.079882,0.080558,0.074602,0.07284,0.071043,0.069281,0.067519
AOSIS,0.58598,0.60614,0.6279,0.65123,0.67613,0.70258,0.73056,0.76005,0.79103,0.82349,0.85741,0.89276,0.9295,0.96763,1.0071,1.048,1.0902,1.1338,1.1786,1.2248,1.2723,1.321,1.3711,1.4223,1.4748,1.5285,1.5834,1.6395,1.6967,1.7551,1.8147,1.8754,1.9374,2.0005,2.0648,2.1302,2.1966,2.2639,2.3322,2.4013,2.4537,2.4682,2.4946,2.5319,2.579,2.6347,2.698,2.7678,2.8429,2.9225,3.0052,3.1192,3.2849,3.4898,3.7214,3.9672,4.2146,4.4514,4.6648,4.8425,4.9719,5.0751,5.1817,5.2904,5.3998,5.5087,5.6157,5.7195,5.8187,5.9122,5.9985,6.0865,6.1846,6.2904,6.4017,6.5163,6.6318,6.746,6.8566,6.9615,7.0582,7.1582,7.2736,7.4036,7.5471,7.7034,7.8713,8.0501,8.2388,8.4365,8.6422,8.8695,9.1303,9.4211,9.7384,10.0786,10.4383,10.8139,11.2019,11.5989,12.0013,12.5171,13.2285,14.0928,15.0676,16.1104,17.1785,18.2296,19.221,20.1103,20.8549,20.0271,21.051,21.325,23.0178,23.2989,24.0913,24.4012,25.04,25.3877,26.2185,26.1111,25.8134,27.2788,29.1283,30.0644,30.1745,31.0254,30.3682,30.1804,32.1208,32.0599,35.2364,35.6505,36.6747,37.335,36.6186,36.3353,35.2485,34.0659,32.3654,33.436,34.5659,34.4494,35.0815,33.9671,35.681,37.7288,38.9069,38.7178,41.3854,43.0498,44.5761,48.1303,50.6165,54.2675,58.4043,60.76,62.3961,62.4677,62.3171,62.8886,63.2379,69.5364,71.6524,73.5592,75.3654,77.1139
ARE,0.064676,0.066213,0.06774,0.069257,0.070765,0.072264,0.073753,0.075233,0.076705,0.078168,0.079622,0.081069,0.082509,0.083942,0.085369,0.08679,0.088205,0.089615,0.091019,0.092417,0.093811,0.095201,0.096589,0.097976,0.099359,0.10074,0.10212,0.10349,0.10486,0.10622,0.10758,0.10893,0.11029,0.11164,0.11298,0.11433,0.11567,0.11701,0.11835,0.11968,0.13289,0.13895,0.14529,0.15188,0.15873,0.16581,0.1731,0.1806,0.18828,0.19614,0.20415,0.2133,0.22415,0.23611,0.24857,0.26093,0.27259,0.28295,0.29139,0.29733,0.30015,0.30092,0.3012,0.30114,0.30087,0.30054,0.3003,0.30029,0.30065,0.30152,0.30305,0.31275,0.33646,0.37187,0.41663,0.46842,0.5249,0.58375,0.64263,0.69922,0.75118,0.79834,0.84314,0.88717,0.93199,0.97921,1.0304,1.0871,1.151,1.2236,1.3065,1.4172,1.5693,1.7587,1.9813,2.233,2.5095,2.8068,3.1206,3.447,3.7816,4.1336,4.5167,4.9343,5.3895,5.8854,6.4254,7.0126,7.6502,8.3413,9.0893,9.8135,10.5038,11.244,12.1141,13.1902,14.5637,16.3051,18.5153,21.2698,25.8274,34.6809,37.9594,49.2749,49.3875,48.2307,59.3054,53.8434,61.5666,36.6651,34.7743,23.9497,20.7428,20.1309,27.1582,24.5246,17.4178,14.0159,11.0557,10.7707,10.8267,12.075,12.5961,13.1759,13.8222,15.9939,18.6635,19.6154,20.6136,22.0054,24.9605,25.9264,27.8281,30.9286,32.9956,35.6404,37.0563,37.0364,37.2643,36.2373,37.3506,38.7311,39.8909,41.7156,42.7442,45.0474,46.4051,47.7667
