code,CH4AR4_IPCM0EL_TOTAL_NET_SSP2BLMESGB_PMSSPBIE
entity,CH4
scenario,SSP2BLMESGB
datatype,CountryYearMatrix
note,Scenario based on RCPSSP IAM scenario dowscaled to country level using GDP data from SSP scenarios. For methodology see Guetschow et al. 2017
type,NET
class,TOTAL
tablekind,raw
descr,SSPV2IB. SSP2BLMESGB downscaled using SSPV2MIDH. SSP2BLMESGB. and historic shares from PRIMAPHIST21. NON COMMERCIAL USE ALLOWED ONLY
source,PMSSPBIE
category,IPCM0EL
name_category,NatTotalExclLULUCF
family,emi
subsource,NaN
unit,MtCO2eq
gwp,AR4
iso3,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
AFG,0.61633,0.67205,0.7268,0.78059,0.83341,0.88527,0.93618,0.98613,1.0351,1.0832,1.1304,1.1765,1.2217,1.2658,1.3088,1.3508,1.3918,1.4317,1.4705,1.5083,1.545,1.5808,1.6156,1.6495,1.6824,1.7144,1.7453,1.7751,1.8039,1.8315,1.858,1.8834,1.9078,1.9311,1.9533,1.9745,1.9945,2.0133,2.031,2.0475,2.0841,2.0856,2.0883,2.0921,2.0968,2.1023,2.1086,2.1154,2.1226,2.1302,2.138,2.1472,2.1591,2.173,2.1887,2.2056,2.2234,2.2416,2.2597,2.2774,2.2942,2.3098,2.3244,2.3386,2.3531,2.3683,2.3848,2.4032,2.424,2.4479,2.4754,2.5275,2.62,2.7447,2.894,3.0599,3.2346,3.41,3.5785,3.7321,3.863,3.9759,4.082,4.1831,4.2808,4.3768,4.4729,4.5707,4.672,4.7783,4.8915,5.0104,5.1335,5.2616,5.3956,5.5365,5.685,5.8422,6.0088,6.1858,6.3741,6.5978,6.8716,7.1823,7.5164,7.8607,8.2019,8.5265,8.8212,9.0728,9.2678,9.0274,9.2764,9.6861,9.9551,10.3013,10.8122,11.0765,11.5863,11.8652,11.875,11.8826,10.9082,10.5605,11.7814,11.6579,11.6934,11.9487,11.5018,11.2453,11.6178,11.2391,11.0989,10.6826,9.8783,9.1367,8.0132,7.8059,7.905,7.0756,7.1001,7.4285,7.5445,7.717,8.0469,8.5339,9.4555,10.1928,10.7641,11.604,10.399,9.1881,11.0856,11.5096,11.4966,11.7787,12.0236,12.2926,13.4225,13.7047,15.3474,15.4696,15.4284,15.4364,15.7359,15.2458,15.1388,14.9553,16.3511,16.1365,16.011,15.9811,16.0293,16.146,16.3219,16.5483,16.8186,17.1244,17.4549,17.7996,18.1479,18.5116,18.9072,19.3317,19.7824,20.2569,20.7624,21.3061,21.8862,22.5016,23.152,23.8414,24.5725,25.3438,26.1545,27.0042,27.9017,28.8522,29.8508,30.8934,31.9766,33.0129,34.1043,35.2401,36.4105,37.6058,38.8337,40.1034,41.4085,42.743,44.101,45.5014,46.9597,48.4656,50.0086,51.5782,53.1768,54.8047,56.4483,58.094,59.7278,61.3582,62.9966,64.6347,66.2654,67.8829,69.5019,71.1367,72.7835,74.44,76.1057,77.7651,79.3961,80.9908,82.5432,84.0489,85.5241,86.9846,88.428,89.8539,91.2636,92.6546,94.0169,95.3423,96.6235,97.8543,99.043,100.1965,101.3072,102.3684,103.3739
AGO,2.629,2.7151,2.8004,2.8848,2.9683,3.0509,3.1328,3.2138,3.294,3.3735,3.4522,3.5301,3.6074,3.684,3.7599,3.8352,3.9098,3.9839,4.0573,4.1302,4.2025,4.2744,4.3457,4.4165,4.4869,4.5569,4.6264,4.6955,4.7642,4.8325,4.9005,4.9682,5.0355,5.1026,5.1694,5.236,5.3023,5.3684,5.4343,5.5001,5.549,5.5661,5.5901,5.6208,5.6575,5.7,5.7478,5.8004,5.8573,5.9181,5.9825,6.0772,6.2229,6.4094,6.6265,6.8641,7.1119,7.36,7.598,7.8158,8.0034,8.1739,8.3462,8.5189,8.6901,8.8584,9.0219,9.1792,9.3286,9.4683,9.5969,9.7235,9.8572,9.9961,10.1382,10.2817,10.4246,10.5649,10.7008,10.8304,10.9517,11.0719,11.2003,11.3383,11.4872,11.6484,11.8231,12.0128,12.2188,12.4423,12.6849,12.9944,13.4044,13.894,14.4426,15.0294,15.6338,16.2349,16.8122,17.3449,17.8122,18.2124,18.5698,18.9028,19.2297,19.5689,19.9388,20.3578,20.8442,21.4164,22.0928,22.7949,24.0668,25.6433,27.4919,29.492,31.4895,33.5652,35.398,37.1912,48.5792,38.3424,43.4992,49.1441,49.0692,48.4164,33.4658,56.4015,61.3747,65.9814,63.1747,57.2817,58.7422,60.154,57.8685,58.6751,59.1499,64.586,60.2392,62.1562,50.8021,52.9757,55.1677,53.9801,49.6225,53.9214,57.4988,56.0338,57.3808,52.5245,46.4007,46.184,46.4069,48.2742,48.1239,48.6708,44.8503,45.6944,45.331,44.9914,48.7857,49.3735,48.5733,44.8269,43.4744,43.7077,43.004,42.1241,49.7704,50.1966,50.0383,49.4146,48.59,47.6145,46.5296,45.3693,44.1452,42.8542,41.5022,40.0931,38.6295,37.1134,35.5814,34.0799,32.6471,31.3142,30.0685,28.884,27.7642,26.7105,25.723,24.8081,23.9661,23.1873,22.4625,21.7835,21.1619,20.604,20.0971,19.6299,19.1935,19.163,19.1928,19.2638,19.3584,19.4596,19.558,19.6451,19.7062,19.727,19.6937,19.6195,19.5296,19.4286,19.3213,19.2125,19.1088,19.0169,18.9416,18.8882,18.8618,18.8526,18.8466,18.8431,18.8414,18.841,18.8421,18.8449,18.8488,18.8533,18.858,18.875,18.9132,18.9669,19.0307,19.0993,19.1671,19.2288,19.2793,19.3136,19.3264,19.3189,19.2967,19.2608,19.2121,19.1515,19.0795,18.9963,18.9027,18.7996,18.6877
ALB,0.12505,0.12515,0.12528,0.12543,0.12562,0.12584,0.12608,0.12635,0.12664,0.12696,0.1273,0.12767,0.12806,0.12847,0.1289,0.12935,0.12983,0.13033,0.13086,0.13142,0.132,0.1326,0.13324,0.1339,0.13458,0.13529,0.13602,0.13676,0.13752,0.13829,0.13908,0.13988,0.1407,0.14153,0.14237,0.14323,0.1441,0.14498,0.14586,0.14676,0.15705,0.14894,0.14119,0.13395,0.12734,0.12151,0.11659,0.11271,0.11,0.10861,0.10867,0.1097,0.1111,0.11282,0.11481,0.11701,0.11939,0.12189,0.12446,0.12705,0.12961,0.13489,0.1452,0.15979,0.17795,0.19894,0.22202,0.24648,0.27158,0.29659,0.32077,0.3483,0.38235,0.42074,0.46128,0.50179,0.54007,0.57395,0.60124,0.61974,0.62729,0.62106,0.60188,0.57301,0.5377,0.49918,0.46073,0.42558,0.39698,0.3782,0.37247,0.38193,0.40468,0.43785,0.47861,0.52412,0.57153,0.61799,0.66067,0.69671,0.72328,0.74418,0.76493,0.78529,0.805,0.82381,0.84148,0.85776,0.8724,0.88514,0.89574,0.89026,0.89592,0.8901,0.89266,0.94027,0.93522,0.94114,0.88428,0.87343,0.88564,0.86771,0.85787,0.87757,0.90712,0.92017,0.96819,1.006,1.0712,1.1192,1.1466,1.1668,1.1794,1.2022,1.2147,1.1834,1.2317,1.306,1.3671,1.3814,1.363,1.4099,1.3836,1.4967,1.5602,1.5647,1.8739,1.9091,1.9261,2.0813,2.5665,2.5192,2.4678,2.4985,2.5434,2.4567,2.5255,2.4272,2.2952,2.3623,2.3678,2.3567,2.3862,2.4422,2.4877,2.5249,2.5474,2.5446,2.557,2.5486,2.5437,2.5426,2.5442,2.5476,2.5519,2.5563,2.5611,2.5667,2.5727,2.5788,2.5845,2.5923,2.6043,2.62,2.6389,2.6605,2.684,2.7085,2.7333,2.7574,2.7802,2.8025,2.8256,2.8492,2.8728,2.8961,2.919,2.9417,2.964,2.9859,3.0073,3.0119,3.0159,3.0194,3.0224,3.0252,3.028,3.0308,3.0338,3.0369,3.0402,3.0437,3.0477,3.052,3.0566,3.0614,3.0661,3.0708,3.0754,3.0801,3.0852,3.0913,3.0988,3.1071,3.1156,3.1239,3.1316,3.1385,3.1444,3.1487,3.151,3.1518,3.1518,3.1509,3.1493,3.147,3.1438,3.1399,3.1354,3.1305,3.1251,3.1194,3.1132,3.1068,3.1004,3.0941,3.0879,3.0816,3.0754,3.0691,3.0627
ANNEXI,405.4031,406.4923,408.0999,410.2129,412.8187,415.9045,419.4576,423.4652,427.9146,432.7931,438.0879,443.7716,449.8237,456.2416,463.0226,470.1642,477.6638,485.5188,493.7265,502.2844,511.19,520.4444,530.0355,539.94,550.1349,560.597,571.3032,582.2304,593.3556,604.6555,616.1071,627.7061,639.4555,651.3429,663.3561,675.4828,687.7105,700.0271,712.4202,724.8774,737.2984,759.7365,782.5787,805.5863,828.521,851.1444,873.218,894.5033,914.7621,933.7557,951.2458,968.8015,987.8976,1008.154,1029.1908,1050.6281,1072.086,1093.1845,1113.5437,1132.7836,1150.5244,1169.0207,1190.2232,1213.2955,1237.4015,1261.7048,1285.3693,1307.5586,1327.4366,1344.1669,1356.9133,1366.8036,1375.6639,1383.7058,1391.1406,1398.1799,1405.035,1411.9174,1419.0385,1426.6099,1434.8428,1443.6964,1452.9405,1462.5028,1472.3112,1482.2932,1492.3768,1502.4897,1512.5596,1522.5142,1532.2815,1544.1353,1559.8842,1578.758,1599.9863,1622.799,1646.4255,1670.0958,1693.0394,1714.486,1733.6654,1753.4034,1776.5609,1802.4203,1830.2641,1859.3747,1889.0346,1918.5261,1947.1318,1974.134,1998.8151,2021.1538,2065.288,2102.8384,2132.3585,2172.5572,2214.2364,2266.3904,2309.0573,2342.4291,2341.1868,2363.9716,2365.8414,2399.3684,2393.66,2401.3002,2412.1021,2407.2996,2546.3407,2542.001,2541.302,2520.6144,2516.8747,2483.252,2499.4157,2500.7953,2497.9786,2485.3489,2537.6821,2545.6397,2513.2493,2466.6806,2417.5855,2363.6591,2319.8779,2286.3461,2259.6557,2224.2546,2175.512,2148.0883,2117.8275,2102.3885,2067.9845,2066.5384,2049.3198,2041.2557,2033.8085,2030.6419,2019.8599,1959.4919,1967.0617,1946.9057,1935.8511,1917.9516,1904.9793,1887.5674,1884.3894,1900.2451,1879.8776,1882.6936,1887.0646,1892.1664,1897.1507,1902.2401,1907.6133,1913.4126,1919.5932,1926.0187,1932.6709,1939.5314,1946.5819,1955.5687,1967.9416,1983.2283,2000.9444,2020.5938,2041.6516,2063.5741,2085.8206,2107.84,2129.071,2150.4365,2173.0678,2196.7085,2221.1031,2245.9977,2271.054,2295.9447,2320.4345,2344.2892,2367.2737,2379.226,2390.5066,2401.3834,2412.1218,2422.9855,2434.2626,2446.177,2458.8991,2472.6068,2487.4841,2503.47,2520.3202,2537.9477,2556.2649,2575.1838,2594.6112,2614.4519,2634.6142,2655.0062,2675.5359,2696.7119,2718.9266,2741.9134,2765.4054,2789.1353,2812.8278,2836.213,2859.0309,2881.021,2901.9224,2922.0073,2941.7163,2961.0412,2979.974,2998.5062,3016.6277,3034.325,3051.5852,3068.3952,3084.7424,3100.6462,3116.1279,3131.1783,3145.7883,3159.9494,3173.6599,3186.9223,3199.7344,3212.0942,3223.9996
AOSIS,0.56747,0.58691,0.60796,0.6306,0.6548,0.68056,0.70786,0.73667,0.76698,0.79877,0.83202,0.86671,0.9028,0.94029,0.97915,1.0194,1.061,1.1039,1.1482,1.1938,1.2406,1.2888,1.3382,1.3889,1.4408,1.494,1.5483,1.6038,1.6605,1.7183,1.7773,1.8375,1.8989,1.9615,2.0253,2.0901,2.1559,2.2227,2.2905,2.3591,2.4083,2.4232,2.4498,2.487,2.5339,2.5892,2.6519,2.721,2.7954,2.874,2.9557,3.068,3.2309,3.4321,3.6595,3.9006,4.1432,4.3751,4.584,4.7575,4.8836,4.9838,5.0874,5.1931,5.2995,5.4053,5.5092,5.61,5.7063,5.7969,5.8803,5.9656,6.0609,6.164,6.2726,6.3844,6.4971,6.6083,6.716,6.8176,6.911,7.0074,7.119,7.2448,7.384,7.5355,7.6985,7.872,8.0551,8.2468,8.4463,8.6667,8.9193,9.2008,9.5078,9.8371,10.1852,10.5488,10.9245,11.3089,11.6988,12.2009,12.8963,13.7428,14.6983,15.7208,16.7681,17.7981,18.7688,19.638,20.3635,19.5241,20.5302,20.7895,22.4672,22.7332,23.504,23.7921,24.4125,24.7379,25.5708,25.443,25.1587,26.5751,28.4467,29.4744,29.5645,30.3962,29.7138,29.5136,31.4347,31.3748,34.5673,34.9868,36.0388,36.7619,36.0432,35.7348,34.6254,33.4476,31.7508,32.8129,33.9238,33.799,34.4267,33.3051,35.0104,37.0487,38.2154,38.0243,40.6366,42.2929,43.8254,47.378,49.845,53.4851,57.6264,59.9602,61.5869,61.6569,61.5557,62.0838,62.4317,68.7177,70.8261,72.7248,74.5205,76.2602,73.4932,74.2827,75.0487,75.8336,76.6887,77.6018,78.561,79.5553,80.5844,81.6479,82.735,83.8346,84.9362,86.0771,87.2885,88.5503,89.8428,91.1459,92.4536,93.754,95.0182,96.2178,97.3245,98.3962,99.4983,100.6156,101.7344,102.842,103.9461,105.058,106.1717,107.2815,108.3823,108.9914,109.4793,109.8635,110.1624,110.3953,110.5912,110.7813,110.9894,111.2398,111.5576,111.9309,112.3249,112.7313,113.1416,113.5481,113.9508,114.3472,114.726,115.0761,115.3869,115.657,115.8934,116.0988,116.2763,116.4291,116.5662,116.6951,116.8176,116.9365,117.0546,117.1641,117.2523,117.3165,117.3541,117.3631,117.3444,117.2988,117.2252,117.1226,116.9907,116.828,116.6343,116.4105,116.1576,115.8767,115.5694,115.2367,114.879,114.4966,114.09
ARE,0.064676,0.066213,0.06774,0.069257,0.070765,0.072264,0.073753,0.075233,0.076705,0.078168,0.079622,0.081069,0.082509,0.083942,0.085369,0.08679,0.088205,0.089615,0.091019,0.092417,0.093811,0.095201,0.096589,0.097976,0.099359,0.10074,0.10212,0.10349,0.10486,0.10622,0.10758,0.10893,0.11029,0.11164,0.11298,0.11433,0.11567,0.11701,0.11835,0.11968,0.13289,0.13895,0.14529,0.15188,0.15873,0.16581,0.1731,0.1806,0.18828,0.19614,0.20415,0.2133,0.22415,0.23611,0.24857,0.26093,0.27259,0.28295,0.29139,0.29733,0.30015,0.30092,0.3012,0.30114,0.30087,0.30054,0.3003,0.30029,0.30065,0.30152,0.30305,0.31275,0.33646,0.37187,0.41663,0.46842,0.5249,0.58375,0.64263,0.69922,0.75118,0.79834,0.84314,0.88717,0.93199,0.97921,1.0304,1.0871,1.151,1.2236,1.3065,1.4172,1.5693,1.7587,1.9813,2.233,2.5095,2.8068,3.1206,3.447,3.7816,4.1336,4.5167,4.9343,5.3895,5.8854,6.4254,7.0126,7.6502,8.3413,9.0893,9.8135,10.5038,11.244,12.1141,13.1902,14.5637,16.3051,18.5153,21.2698,25.8274,34.6809,37.9594,49.2749,49.3875,48.2307,59.3054,53.8434,61.5666,36.6651,34.7743,23.9497,20.7428,20.1309,27.1582,24.5246,17.4178,14.0159,11.0557,10.7707,10.8267,12.075,12.5961,13.1759,13.8222,15.9939,18.6635,19.6154,20.6136,22.0054,24.9605,25.9264,27.8281,30.9286,32.9956,35.6404,37.0563,37.0364,37.2643,36.2373,37.3506,38.7311,39.8909,41.7156,42.7442,45.0474,46.4051,47.7667,46.3816,46.091,45.8186,45.5769,45.3224,45.0577,44.7836,44.4998,44.1923,43.8448,43.452,43.0084,42.5085,41.959,41.3721,40.7508,40.0983,39.4176,38.705,37.9561,37.1724,36.3555,35.5063,34.6179,33.6945,32.7511,31.8004,30.8529,29.9039,28.9556,28.0247,27.1245,26.2657,25.7862,25.3443,24.9323,24.5424,24.1671,23.7896,23.3892,22.9535,22.4709,21.931,21.3477,20.75,20.1492,19.5552,18.9762,18.4155,17.8761,17.3646,16.886,16.4447,16.0277,15.6211,15.2265,14.8453,14.4781,14.123,13.7783,13.4448,13.1226,12.8121,12.5195,12.2489,11.9967,11.7596,11.5342,11.3163,11.1019,10.8882,10.6727,10.4529,10.23,10.0072,9.7849,9.5632,9.3424,9.1231,8.9063,8.6918,8.4798,8.2701
ARG,0.27457,0.28767,0.30289,0.32019,0.33956,0.36097,0.3844,0.40983,0.43724,0.46662,0.49792,0.53114,0.56624,0.6032,0.64202,0.68267,0.72515,0.76942,0.81548,0.86332,0.91291,0.96422,1.0172,1.0719,1.1282,1.1861,1.2457,1.3069,1.3698,1.4342,1.5003,1.568,1.6374,1.7084,1.781,1.8551,1.9307,2.0076,2.0859,2.1654,2.1731,2.2173,2.3252,2.4906,2.7073,2.9689,3.2693,3.6022,3.9615,4.3409,4.7341,5.2952,6.134,7.1778,8.3538,9.5894,10.8118,11.9483,12.9263,13.673,14.1157,14.3759,14.6222,14.8524,15.0646,15.2568,15.4269,15.5729,15.6929,15.7846,15.8462,15.8487,15.7771,15.6505,15.4882,15.3091,15.1323,14.9771,14.8625,14.8075,14.8314,14.9901,15.3101,15.7668,16.3353,16.9908,17.7084,18.4633,19.2307,19.9858,20.7038,21.3763,22.026,22.6739,23.3413,24.0493,24.8191,25.672,26.6291,27.7117,28.9408,30.9576,34.1993,38.3815,43.2199,48.4299,53.7273,58.8277,63.4465,67.2994,70.1021,70.4855,70.8135,67.3912,70.7508,76.7404,79.5529,83.0544,83.4137,79.534,80.5522,81.1242,84.7088,87.5847,88.0858,90.6285,94.1194,96.69,93.6789,93.2549,91.5616,88.7734,87.6706,89.0452,90.9056,89.8234,87.627,86.242,88.1074,89.0609,89.1694,90.6889,92.174,93.9845,95.6009,94.8311,95.2096,94.0944,93.6507,94.2955,99.634,102.4745,106.2954,112.5079,115.3312,116.3105,118.5733,119.1669,115.5892,110.8841,85.9987,87.3416,90.1582,91.7571,92.9018,93.5025,95.4811,96.7055,85.4913,86.6702,87.8055,88.9199,90.0311,91.1461,92.271,93.4112,94.5619,95.7132,96.8623,98.0068,99.1439,100.3251,101.5726,102.8409,104.0851,105.2613,106.3428,107.3155,108.1545,108.8347,109.3308,109.6945,110.0047,110.2763,110.5224,110.7554,110.9701,111.1531,111.3031,111.4186,111.4981,110.9543,110.219,109.334,108.3404,107.2785,106.1847,105.0954,104.0499,103.0864,102.2424,101.4871,100.761,100.0581,99.3723,98.6981,98.0327,97.3722,96.7091,96.0362,95.3467,94.6358,93.9097,93.178,92.4494,91.7323,91.0275,90.3349,89.6604,89.0098,88.3885,87.7933,87.2165,86.6569,86.1131,85.5835,85.0662,84.5581,84.0559,83.5564,83.0566,82.5581,82.0644,81.5751,81.0897,80.6078,80.1292,79.654,79.1822,78.7138,78.2489
ARM,0.34482,0.34518,0.34558,0.34601,0.34647,0.34697,0.3475,0.34805,0.34864,0.34926,0.3499,0.35057,0.35125,0.35195,0.35268,0.35344,0.35423,0.35506,0.35594,0.35687,0.35785,0.3589,0.36,0.36116,0.36237,0.36362,0.36491,0.36623,0.36758,0.36895,0.37034,0.37174,0.37318,0.37464,0.37614,0.37765,0.37918,0.38074,0.38231,0.38389,0.37772,0.38634,0.3948,0.40295,0.41064,0.41775,0.42413,0.42964,0.43413,0.43747,0.43951,0.44086,0.44219,0.44351,0.44481,0.44607,0.4473,0.44848,0.4496,0.45067,0.45167,0.45694,0.46971,0.4883,0.51107,0.53635,0.56248,0.58779,0.61062,0.62932,0.64221,0.65191,0.66204,0.67242,0.68287,0.69321,0.70327,0.71286,0.72183,0.72998,0.73714,0.74345,0.74931,0.75494,0.76054,0.76632,0.7725,0.77929,0.7869,0.79554,0.80542,0.81658,0.82895,0.84254,0.85739,0.87354,0.89102,0.90987,0.9301,0.95176,0.97488,1.0025,1.037,1.077,1.1213,1.1688,1.2181,1.2681,1.3174,1.365,1.4095,1.403,1.4757,1.5356,1.5321,1.5595,1.63,1.6872,1.7172,1.7405,1.7545,1.8336,1.9028,1.9643,2.0323,2.0734,2.0807,2.0536,2.0188,1.982,1.9375,1.9005,1.8915,1.9097,1.9427,1.9561,1.9615,1.9655,3.5185,3.8201,3.773,3.5919,3.2749,2.9866,3.0112,2.738,2.737,2.6522,2.4198,2.3277,2.1971,2.1872,2.2853,2.3835,2.4402,2.5073,2.5771,2.6191,2.6953,2.6543,2.6918,2.7245,2.8339,2.8823,2.9398,2.9842,3.0351,2.965,2.7952,2.7554,2.7242,2.697,2.669,2.6418,2.6169,2.5953,2.5765,2.5594,2.5441,2.5306,2.5191,2.511,2.5074,2.5081,2.5124,2.5199,2.53,2.542,2.5553,2.5693,2.5834,2.6007,2.6233,2.6496,2.6781,2.7071,2.7351,2.7603,2.7809,2.795,2.8006,2.7975,2.7894,2.7774,2.7627,2.7464,2.729,2.7113,2.6952,2.6823,2.6743,2.6702,2.6677,2.6661,2.6648,2.6634,2.6615,2.6593,2.6572,2.655,2.653,2.6511,2.6493,2.6477,2.6468,2.6469,2.6477,2.649,2.6507,2.6529,2.6553,2.6581,2.6614,2.665,2.6688,2.673,2.6773,2.6818,2.6864,2.6908,2.6951,2.6988,2.7019,2.7043,2.7064,2.7082,2.7098,2.7111,2.7121,2.7131,2.7139
AUS,18.6654,18.6906,18.7385,18.8084,18.8998,19.0123,19.1451,19.2979,19.47,19.6609,19.8701,20.0968,20.3403,20.6001,20.8761,21.1677,21.4745,21.7963,22.1325,22.4829,22.847,23.2246,23.615,24.0176,24.4317,24.8565,25.2913,25.7355,26.1882,26.6488,27.1166,27.5912,28.0722,28.5591,29.0514,29.5486,30.0501,30.5554,31.064,31.5754,33.8638,32.8003,31.917,31.2042,30.6521,30.2509,29.9907,29.8619,29.8546,29.959,30.1653,30.6277,31.4564,32.5759,33.9107,35.3851,36.9237,38.4508,39.891,41.1687,42.2083,43.095,43.9609,44.8007,45.6091,46.3809,47.1107,47.7933,48.4235,48.9959,49.5053,49.9377,50.2926,50.5853,50.8309,51.0446,51.2416,51.437,51.646,51.8838,52.1656,52.4796,52.8056,53.1461,53.5031,53.8792,54.2766,54.6975,55.1444,55.6194,56.125,56.6952,57.3578,58.1058,58.9321,59.8294,60.7908,61.8092,62.8774,63.9883,65.1349,66.3876,67.8098,69.3839,71.092,72.9166,74.8398,76.8439,78.9112,81.0241,83.1647,85.6748,88.8795,91.0628,94.2425,96.5293,94.2174,97.6854,101.2763,106.4731,108.4793,111.5402,117.901,116.0887,118.3348,118.5348,119.0294,115.2411,110.4927,109.7201,107.9152,108.8567,109.3957,113.2147,114.2177,115.0672,116.443,116.2629,114.6414,121.9324,120.0809,120.0422,119.5777,116.0879,112.852,111.4156,111.5484,114.3694,113.3176,109.2468,112.7607,111.2018,109.4372,104.2855,106.24,107.9326,107.4041,107.1176,105.4587,104.5349,102.5007,104.3779,103.7412,102.9668,100.8887,101.3482,102.0485,103.6023,103.3535,103.618,103.9025,104.2003,104.4764,104.7274,104.9503,105.1427,105.3003,105.4271,105.5321,105.6237,105.7095,105.8839,106.2232,106.7065,107.3121,108.0176,108.7861,109.581,110.3803,111.1615,111.9018,112.6413,113.424,114.2328,115.0512,115.8639,116.6682,117.4693,118.2635,119.0468,119.8155,119.9294,120.0181,120.0968,120.1803,120.2826,120.4126,120.57,120.7549,120.9675,121.2084,121.4832,121.7954,122.1423,122.5211,122.9296,123.3671,123.8279,124.3016,124.7783,125.2485,125.7423,126.2832,126.8532,127.434,128.0083,128.5634,129.0887,129.5699,129.9932,130.345,130.6401,130.9035,131.1371,131.3431,131.5232,131.6774,131.8055,131.9096,131.9916,132.0535,132.0978,132.1267,132.1412,132.1423,132.1311,132.1073,132.07,132.0194,131.9554,131.8781
AUT,2.4605,2.471,2.4838,2.4987,2.5158,2.5349,2.556,2.579,2.604,2.6308,2.6593,2.6894,2.721,2.754,2.7885,2.8246,2.8624,2.9018,2.943,2.9861,3.031,3.0779,3.1267,3.1772,3.2294,3.2829,3.3377,3.3935,3.4503,3.5077,3.5657,3.6242,3.6834,3.7433,3.8038,3.8648,3.9263,3.9883,4.0507,4.1135,3.7272,4.0852,4.4224,4.7355,5.0213,5.2768,5.4986,5.6837,5.8288,5.9307,5.9863,5.9933,5.9585,5.8923,5.8049,5.7067,5.6081,5.5193,5.4507,5.4127,5.4155,5.4443,5.4771,5.5138,5.5543,5.5983,5.6458,5.6966,5.7505,5.8075,5.8674,5.9364,6.0193,6.1133,6.2156,6.3234,6.434,6.5447,6.6527,6.7552,6.8494,6.9443,7.048,7.1571,7.2681,7.3774,7.4815,7.577,7.6604,7.728,7.7765,7.8198,7.8731,7.9342,8.0013,8.0722,8.145,8.2176,8.288,8.3542,8.4142,8.4936,8.612,8.7581,8.9208,9.0891,9.2518,9.3977,9.5157,9.5947,9.6235,9.6213,9.7163,9.6409,9.4657,9.5098,9.5575,9.6958,9.6819,9.6003,9.6805,9.881,9.8266,9.9467,10.0523,9.9784,9.9318,9.9799,10.3513,10.4777,10.4764,10.4239,10.5273,10.5026,10.6753,10.794,10.7292,10.5777,10.5964,10.3615,10.3707,10.2505,9.9653,9.8824,9.5955,9.5245,9.2219,8.9228,8.7453,8.5682,8.4018,8.2435,8.1028,8.0409,8.0424,7.7566,7.6572,7.5525,7.4287,7.358,7.2681,7.0723,6.9611,6.9042,6.7636,6.6915,6.6318,6.6122,6.6224,6.6906,6.7675,6.8517,6.9372,7.0248,7.115,7.2083,7.3042,7.402,7.5024,7.606,7.7134,7.8319,7.9673,8.1182,8.2831,8.4604,8.6486,8.8454,9.0479,9.2527,9.4566,9.6627,9.8759,10.0949,10.3181,10.5444,10.7733,11.0054,11.2402,11.4769,11.7151,11.8889,12.062,12.2344,12.4065,12.5783,12.7501,12.9226,13.0968,13.274,13.4551,13.6408,13.8309,14.0251,14.2234,14.4257,14.6311,14.8389,15.049,15.2614,15.4759,15.6964,15.9254,16.1599,16.3972,16.6345,16.8698,17.102,17.3291,17.5492,17.7604,17.9645,18.1645,18.3604,18.5519,18.7388,18.9211,19.0987,19.2717,19.4402,19.6042,19.764,19.9198,20.0717,20.22,20.3647,20.5058,20.643,20.7761,20.9052,21.0301
