code,CH4AR4_IPCM0EL_TOTAL_NET_SSP4BLGCAM4_PMSSPBIE
entity,CH4
scenario,SSP4BLGCAM4
datatype,CountryYearMatrix
note,Scenario based on RCPSSP IAM scenario dowscaled to country level using GDP data from SSP scenarios. For methodology see Guetschow et al. 2017
type,NET
class,TOTAL
tablekind,raw
descr,SSPV2IB. SSP4BLGCAM4 downscaled using SSPV2MIDH. SSP4BLGCAM4. and historic shares from PRIMAPHIST21. NON COMMERCIAL USE ALLOWED ONLY
source,PMSSPBIE
category,IPCM0EL
name_category,NatTotalExclLULUCF
family,emi
subsource,NaN
unit,MtCO2eq
gwp,AR4
iso3,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
ABW,0.00017916,0.00018139,0.00018362,0.00018585,0.00018808,0.00019031,0.00019253,0.00019476,0.00019697,0.00019919,0.0002014,0.00020358,0.00020572,0.00020785,0.00020996,0.00021208,0.00021422,0.0002164,0.00021863,0.00022094,0.00022333,0.00022574,0.00022813,0.00023054,0.00023299,0.00023552,0.00023816,0.00024095,0.00024392,0.00024709,0.00025051,0.00025441,0.00025893,0.00026396,0.00026939,0.00027511,0.000281,0.00028696,0.00029288,0.00029865,0.0003232,0.00032541,0.00033003,0.00033681,0.00034556,0.00035603,0.00036801,0.00038127,0.0003956,0.00041076,0.00042654,0.00044706,0.00047559,0.00051059,0.00055053,0.00059389,0.00063915,0.00068477,0.00072922,0.00077099,0.00080853,0.00084393,0.00088051,0.00091861,0.00095857,0.0010008,0.0010455,0.0010931,0.001144,0.0011985,0.0012569,0.0013223,0.001397,0.0014807,0.0015731,0.0016738,0.0017823,0.0018983,0.0020214,0.0021513,0.0022875,0.002436,0.0026021,0.0027843,0.0029814,0.0031919,0.0034144,0.0036477,0.0038902,0.0041407,0.0043978,0.0046687,0.0049604,0.0052707,0.0055975,0.0059387,0.0062923,0.0066562,0.0070281,0.0074061,0.0077881,0.0081839,0.0086031,0.0090433,0.0095021,0.0099771,0.010466,0.010966,0.011475,0.01199,0.01251,0.013053,0.013634,0.014246,0.014881,0.01553,0.016186,0.016841,0.017487,0.018116,0.017686,0.018338,0.018387,0.018472,0.018495,0.01859,0.018898,0.018865,0.019765,0.020258,0.021002,0.020379,0.020953,0.021794,0.022275,0.022717,0.021989,0.021421,0.021261,0.021339,0.022571,0.022145,0.023362,0.024248,0.026126,0.027007,0.024059,0.024782,0.026484,0.02681,0.030909,0.031108,0.031261,0.032265,0.032256,0.0324,0.032926,0.033662,0.033955,0.034144,0.033853,0.034677,0.034606,0.036158,0.036667,0.037176,0.037684,0.038193,0.03599,0.038091,0.040455,0.043216,0.046428,0.050083,0.054169,0.058666,0.063627,0.0691,0.075045,0.081409,0.088124,0.09535,0.10328,0.1119,0.12114,0.13097,0.14145,0.15266,0.1645,0.17688,0.18968,0.20308,0.21734,0.23244,0.24838,0.26512,0.2828,0.30154,0.32127,0.34194,0.3635,0.38322,0.40361,0.42463,0.44624,0.46838,0.49117,0.5147,0.53892,0.56383,0.5894,0.6157,0.64274,0.67043,0.69866,0.72735,0.75657,0.78635,0.81656,0.84704,0.87764,0.90803,0.938,0.96751,0.99659,1.0253,1.0539,1.0826,1.1113,1.1402,1.1693,1.1983,1.2272,1.2559,1.2843,1.3126,1.3406,1.3685,1.3961,1.4233,1.45,1.4762,1.5021,1.5276,1.5526,1.5771,1.6011,1.6247,1.6477,1.6704,1.6926
AFG,0.61633,0.67205,0.7268,0.78059,0.83341,0.88527,0.93618,0.98613,1.0351,1.0832,1.1304,1.1765,1.2217,1.2658,1.3088,1.3508,1.3918,1.4317,1.4705,1.5083,1.545,1.5808,1.6156,1.6495,1.6824,1.7144,1.7453,1.7751,1.8039,1.8315,1.858,1.8834,1.9078,1.9311,1.9533,1.9745,1.9945,2.0133,2.031,2.0475,2.0841,2.0856,2.0883,2.0921,2.0968,2.1023,2.1086,2.1154,2.1226,2.1302,2.138,2.1472,2.1591,2.173,2.1887,2.2056,2.2234,2.2416,2.2597,2.2774,2.2942,2.3098,2.3244,2.3386,2.3531,2.3683,2.3848,2.4032,2.424,2.4479,2.4754,2.5275,2.62,2.7447,2.894,3.0599,3.2346,3.41,3.5785,3.7321,3.863,3.9759,4.082,4.1831,4.2808,4.3768,4.4729,4.5707,4.672,4.7783,4.8915,5.0104,5.1335,5.2616,5.3956,5.5365,5.685,5.8422,6.0088,6.1858,6.3741,6.5978,6.8716,7.1823,7.5164,7.8607,8.2019,8.5265,8.8212,9.0728,9.2678,9.0274,9.2764,9.6861,9.9551,10.3013,10.8122,11.0765,11.5863,11.8652,11.875,11.8826,10.9082,10.5605,11.7814,11.6579,11.6934,11.9487,11.5018,11.2453,11.6178,11.2391,11.0989,10.6826,9.8783,9.1367,8.0132,7.8059,7.905,7.0756,7.1001,7.4285,7.5445,7.717,8.0469,8.5339,9.4555,10.1928,10.7641,11.604,10.399,9.1881,11.0856,11.5096,11.4966,11.7787,12.0236,12.2926,13.4225,13.7047,15.3474,15.4696,15.4284,15.4364,15.7359,15.2458,15.1388,14.9553,16.473,16.3809,16.3849,16.4807,16.6389,16.8529,17.1164,17.4236,17.7667,18.139,18.5363,18.9544,19.389,19.843,20.3235,20.8327,21.3721,21.9432,22.543,23.1657,23.8082,24.4672,25.1392,25.8321,26.5559,27.3108,28.097,28.9152,29.765,30.6433,31.5474,32.4748,33.4232,34.1772,34.956,35.7541,36.5658,37.3858,38.2095,39.0369,39.8701,40.7108,41.561,42.4129,43.2604,44.1077,44.9599,45.8221,46.6954,47.5757,48.4611,49.3501,50.2415,51.0903,51.8549,52.5416,53.159,53.7175,54.2449,54.7766,55.3395,55.9627,56.6781,57.4749,58.313,59.1811,60.0673,60.9591,61.8482,62.7278,63.5857,64.4089,65.1839,65.908,66.5888,67.228,67.8271,68.3882,68.9114,69.3962,69.8435,70.2544,70.63
AGO,2.629,2.7151,2.8004,2.8848,2.9683,3.0509,3.1328,3.2138,3.294,3.3735,3.4522,3.5301,3.6074,3.684,3.7599,3.8352,3.9098,3.9839,4.0573,4.1302,4.2025,4.2744,4.3457,4.4165,4.4869,4.5569,4.6264,4.6955,4.7642,4.8325,4.9005,4.9682,5.0355,5.1026,5.1694,5.236,5.3023,5.3684,5.4343,5.5001,5.549,5.5661,5.5901,5.6208,5.6575,5.7,5.7478,5.8004,5.8573,5.9181,5.9825,6.0772,6.2229,6.4094,6.6265,6.8641,7.1119,7.36,7.598,7.8158,8.0034,8.1739,8.3462,8.5189,8.6901,8.8584,9.0219,9.1792,9.3286,9.4683,9.5969,9.7235,9.8572,9.9961,10.1382,10.2817,10.4246,10.5649,10.7008,10.8304,10.9517,11.0719,11.2003,11.3383,11.4872,11.6484,11.8231,12.0128,12.2188,12.4423,12.6849,12.9944,13.4044,13.894,14.4426,15.0294,15.6338,16.2349,16.8122,17.3449,17.8122,18.2124,18.5698,18.9028,19.2297,19.5689,19.9388,20.3578,20.8442,21.4164,22.0928,22.7949,24.0668,25.6433,27.4919,29.492,31.4895,33.5652,35.398,37.1912,48.5792,38.3424,43.4992,49.1441,49.0692,48.4164,33.4658,56.4015,61.3747,65.9814,63.1747,57.2817,58.7422,60.154,57.8685,58.6751,59.1499,64.586,60.2392,62.1562,50.8021,52.9757,55.1677,53.9801,49.6225,53.9214,57.4988,56.0338,57.3808,52.5245,46.4007,46.184,46.4069,48.2742,48.1239,48.6708,44.8503,45.6944,45.331,44.9914,48.7857,49.3735,48.5733,44.8269,43.4744,43.7077,43.004,42.1241,49.7747,50.4218,50.76,50.837,50.793,50.6704,50.5046,50.325,50.1208,49.8584,49.5293,49.1241,48.6321,48.0492,47.4085,46.752,46.1182,45.542,44.9978,44.4623,43.9695,43.5495,43.2299,43.0181,42.9009,42.8735,42.9312,43.0697,43.3171,43.6857,44.1492,44.683,45.264,46.2093,47.2659,48.4154,49.6399,50.9227,52.286,53.7537,55.3128,56.9512,58.6575,60.4663,62.4047,64.4507,66.582,68.7765,71.0356,73.359,75.7212,78.0963,80.4581,82.8148,85.1881,87.5738,89.9693,92.3739,94.8116,97.3067,99.8613,102.4795,105.1667,107.9452,110.8167,113.7579,116.7454,119.7556,122.7787,125.8094,128.8305,131.8244,134.773,137.6962,140.6194,143.5333,146.4292,149.2988,152.1433,154.9669,157.7663,160.5387,163.2812
ALB,0.12505,0.12515,0.12528,0.12543,0.12562,0.12584,0.12608,0.12635,0.12664,0.12696,0.1273,0.12767,0.12806,0.12847,0.1289,0.12935,0.12983,0.13033,0.13086,0.13142,0.132,0.1326,0.13324,0.1339,0.13458,0.13529,0.13602,0.13676,0.13752,0.13829,0.13908,0.13988,0.1407,0.14153,0.14237,0.14323,0.1441,0.14498,0.14586,0.14676,0.15705,0.14894,0.14119,0.13395,0.12734,0.12151,0.11659,0.11271,0.11,0.10861,0.10867,0.1097,0.1111,0.11282,0.11481,0.11701,0.11939,0.12189,0.12446,0.12705,0.12961,0.13489,0.1452,0.15979,0.17795,0.19894,0.22202,0.24648,0.27158,0.29659,0.32077,0.3483,0.38235,0.42074,0.46128,0.50179,0.54007,0.57395,0.60124,0.61974,0.62729,0.62106,0.60188,0.57301,0.5377,0.49918,0.46073,0.42558,0.39698,0.3782,0.37247,0.38193,0.40468,0.43785,0.47861,0.52412,0.57153,0.61799,0.66067,0.69671,0.72328,0.74418,0.76493,0.78529,0.805,0.82381,0.84148,0.85776,0.8724,0.88514,0.89574,0.89026,0.89592,0.8901,0.89266,0.94027,0.93522,0.94114,0.88428,0.87343,0.88564,0.86771,0.85787,0.87757,0.90712,0.92017,0.96819,1.006,1.0712,1.1192,1.1466,1.1668,1.1794,1.2022,1.2147,1.1834,1.2317,1.306,1.3671,1.3814,1.363,1.4099,1.3836,1.4967,1.5602,1.5647,1.8739,1.9091,1.9261,2.0813,2.5665,2.5192,2.4678,2.4985,2.5434,2.4567,2.5255,2.4272,2.2952,2.3623,2.3678,2.3567,2.3862,2.4422,2.4877,2.5249,2.5474,2.5446,2.5793,2.5972,2.6168,2.6415,2.6735,2.7115,2.754,2.7995,2.8471,2.8958,2.9438,2.9897,3.0317,3.0725,3.1154,3.1595,3.2043,3.2489,3.292,3.3318,3.3668,3.3956,3.4165,3.4231,3.4123,3.388,3.354,3.3145,3.274,3.2372,3.2087,3.1931,3.1952,3.1895,3.184,3.1784,3.1726,3.1663,3.1595,3.1522,3.1441,3.1348,3.124,3.1069,3.0801,3.0459,3.0063,2.9635,2.9194,2.8761,2.8359,2.8009,2.7732,2.7508,2.7301,2.7105,2.6913,2.6719,2.6522,2.6319,2.6106,2.5878,2.563,2.5324,2.494,2.4498,2.4021,2.3528,2.3041,2.258,2.2166,2.1815,2.1547,2.1327,2.1111,2.09,2.0694,2.0496,2.0304,2.012,1.9943,1.9773,1.961
ANNEXI,405.4031,406.4923,408.0999,410.2129,412.8187,415.9045,419.4576,423.4652,427.9146,432.7931,438.0879,443.7716,449.8237,456.2416,463.0226,470.1642,477.6638,485.5188,493.7265,502.2844,511.19,520.4444,530.0355,539.94,550.1349,560.597,571.3032,582.2304,593.3556,604.6555,616.1071,627.7061,639.4555,651.3429,663.3561,675.4828,687.7105,700.0271,712.4202,724.8774,737.2984,759.7365,782.5787,805.5863,828.521,851.1444,873.218,894.5033,914.7621,933.7557,951.2458,968.8015,987.8976,1008.154,1029.1908,1050.6281,1072.086,1093.1845,1113.5437,1132.7836,1150.5244,1169.0207,1190.2232,1213.2955,1237.4015,1261.7048,1285.3693,1307.5586,1327.4366,1344.1669,1356.9133,1366.8036,1375.6639,1383.7058,1391.1406,1398.1799,1405.035,1411.9174,1419.0385,1426.6099,1434.8428,1443.6964,1452.9405,1462.5028,1472.3112,1482.2932,1492.3768,1502.4897,1512.5596,1522.5142,1532.2815,1544.1353,1559.8842,1578.758,1599.9863,1622.799,1646.4255,1670.0958,1693.0394,1714.486,1733.6654,1753.4034,1776.5609,1802.4203,1830.2641,1859.3747,1889.0346,1918.5261,1947.1318,1974.134,1998.8151,2021.1538,2065.288,2102.8384,2132.3585,2172.5572,2214.2364,2266.3904,2309.0573,2342.4291,2341.1868,2363.9716,2365.8414,2399.3684,2393.66,2401.3002,2412.1021,2407.2996,2546.3407,2542.001,2541.302,2520.6144,2516.8747,2483.252,2499.4157,2500.7953,2497.9786,2485.3489,2537.6821,2545.6397,2513.2493,2466.6806,2417.5855,2363.6591,2319.8779,2286.3461,2259.6557,2224.2546,2175.512,2148.0883,2117.8275,2102.3885,2067.9845,2066.5384,2049.3198,2041.2557,2033.8085,2030.6419,2019.8599,1959.4919,1967.0617,1946.9057,1935.8511,1917.9516,1904.9793,1887.5674,1884.3894,1900.2451,1919.9781,1959.2832,1996.3078,2034.0003,2075.5139,2120.1363,2167.1168,2215.6648,2264.7533,2313.2,2359.9192,2403.7843,2443.6281,2482.1209,2522.2415,2563.2359,2604.3256,2644.708,2683.5953,2720.1733,2753.5642,2782.8673,2807.1581,2822.4316,2826.9709,2823.3071,2814.0275,2801.7774,2789.0283,2778.3672,2772.706,2775.0222,2788.3582,2783.9013,2775.7214,2764.8251,2752.1946,2738.787,2725.5238,2713.1467,2702.3359,2693.7885,2688.2161,2681.2508,2668.8949,2652.4205,2633.0969,2612.1913,2590.923,2570.4995,2552.1681,2537.175,2526.7657,2519.7938,2514.0466,2509.1702,2504.8118,2500.6191,2496.2793,2491.4933,2485.9296,2479.2567,2471.1427,2458.0951,2437.9936,2412.5659,2383.5412,2352.6507,2321.6356,2292.237,2266.1893,2245.2287,2231.094,2221.0991,2211.3905,2201.9593,2192.7981,2183.9017,2175.3369,2167.1814,2159.4482,2152.1505,2145.3026
AOSIS,0.56769,0.58713,0.60819,0.63083,0.65504,0.6808,0.7081,0.73692,0.76723,0.79903,0.83229,0.86698,0.90308,0.94057,0.97944,1.0197,1.0613,1.1042,1.1485,1.1941,1.241,1.2892,1.3386,1.3893,1.4412,1.4943,1.5487,1.6042,1.6609,1.7187,1.7777,1.8379,1.8994,1.962,2.0257,2.0905,2.1564,2.2232,2.291,2.3596,2.4088,2.4237,2.4504,2.4877,2.5345,2.5899,2.6527,2.7219,2.7964,2.875,2.9568,3.0693,3.2324,3.4339,3.6615,3.9029,4.1459,4.378,4.5872,4.7609,4.8871,4.9874,5.0911,5.1969,5.3033,5.4092,5.5133,5.6141,5.7105,5.8011,5.8847,5.97,6.0654,6.1685,6.2771,6.389,6.5017,6.6131,6.7208,6.8225,6.9161,7.0127,7.1245,7.2506,7.3901,7.542,7.7053,7.8792,8.0628,8.2549,8.4548,8.6756,8.9286,9.2106,9.5181,9.8478,10.1965,10.5606,10.9369,11.3219,11.7124,12.2154,12.9118,13.7597,14.7167,15.7407,16.7897,17.8213,18.7934,19.6639,20.3906,19.5506,20.556,20.8176,22.496,22.763,23.5349,23.8229,24.4444,24.7694,25.6023,25.4761,25.1902,26.6073,28.478,29.5048,29.5965,30.4293,29.7482,29.5478,31.4685,31.4091,34.602,35.0211,36.0733,36.7954,36.0759,35.7667,34.6565,33.4778,31.7816,32.8438,33.9549,33.8303,34.4595,33.3382,35.0439,37.0826,38.2488,38.0581,40.6788,42.3332,43.8663,47.4189,49.8871,53.529,57.6717,60.0052,61.6318,61.7018,61.6003,62.1294,62.4775,68.7658,70.875,72.7744,74.5709,76.3113,73.0615,73.3765,73.7633,74.3313,75.1477,76.1627,77.327,78.5911,79.9172,81.2637,82.5754,83.7971,84.8738,85.865,86.8634,87.8621,88.8537,89.8301,90.7754,91.6651,92.4766,93.1877,93.776,94.3075,94.8549,95.4064,95.9509,96.478,96.9947,97.5126,98.0292,98.5422,99.0494,98.9895,98.905,98.7992,98.6748,98.5346,98.3786,98.2097,98.0335,97.8557,97.6814,97.5054,97.3196,97.1245,96.9205,96.7078,96.4797,96.2294,95.9573,95.6638,95.349,94.9608,94.4631,93.8793,93.2329,92.5474,91.8446,91.146,90.4747,89.854,89.3073,88.8187,88.3536,87.9073,87.4748,87.0513,86.6324,86.2134,85.7887,85.3531,84.901,84.4329,83.9541,83.4666,82.9726,82.4741,81.9702,81.4593,80.9426,80.4211,79.8958
ARE,0.064676,0.066213,0.06774,0.069257,0.070765,0.072264,0.073753,0.075233,0.076705,0.078168,0.079622,0.081069,0.082509,0.083942,0.085369,0.08679,0.088205,0.089615,0.091019,0.092417,0.093811,0.095201,0.096589,0.097976,0.099359,0.10074,0.10212,0.10349,0.10486,0.10622,0.10758,0.10893,0.11029,0.11164,0.11298,0.11433,0.11567,0.11701,0.11835,0.11968,0.13289,0.13895,0.14529,0.15188,0.15873,0.16581,0.1731,0.1806,0.18828,0.19614,0.20415,0.2133,0.22415,0.23611,0.24857,0.26093,0.27259,0.28295,0.29139,0.29733,0.30015,0.30092,0.3012,0.30114,0.30087,0.30054,0.3003,0.30029,0.30065,0.30152,0.30305,0.31275,0.33646,0.37187,0.41663,0.46842,0.5249,0.58375,0.64263,0.69922,0.75118,0.79834,0.84314,0.88717,0.93199,0.97921,1.0304,1.0871,1.151,1.2236,1.3065,1.4172,1.5693,1.7587,1.9813,2.233,2.5095,2.8068,3.1206,3.447,3.7816,4.1336,4.5167,4.9343,5.3895,5.8854,6.4254,7.0126,7.6502,8.3413,9.0893,9.8135,10.5038,11.244,12.1141,13.1902,14.5637,16.3051,18.5153,21.2698,25.8274,34.6809,37.9594,49.2749,49.3875,48.2307,59.3054,53.8434,61.5666,36.6651,34.7743,23.9497,20.7428,20.1309,27.1582,24.5246,17.4178,14.0159,11.0557,10.7707,10.8267,12.075,12.5961,13.1759,13.8222,15.9939,18.6635,19.6154,20.6136,22.0054,24.9605,25.9264,27.8281,30.9286,32.9956,35.6404,37.0563,37.0364,37.2643,36.2373,37.3506,38.7311,39.8909,41.7156,42.7442,45.0474,46.4051,47.7667,46.7974,47.0928,47.6142,48.3518,49.19,50.124,51.1483,52.2569,53.4351,54.6627,55.9246,57.2049,58.4877,59.7944,61.1372,62.4877,63.8196,65.1088,66.3758,67.6419,68.8858,70.0876,71.228,72.3215,73.3849,74.4036,75.363,76.2486,77.0615,77.8143,78.5102,79.1522,79.7433,80.4269,81.0516,81.6414,82.2199,82.8103,83.4221,84.0416,84.656,85.2526,85.8188,86.3796,86.9561,87.5306,88.0857,88.6044,89.075,89.4826,89.8064,90.026,90.1217,90.0969,89.9785,89.7826,89.5241,89.217,88.8842,88.5433,88.1989,87.8547,87.514,87.199,86.9147,86.6385,86.3483,86.0228,85.6683,85.2995,84.9086,84.4886,84.0326,83.5219,82.9531,82.3423,81.7055,81.0581,80.3842,79.6634,78.904,78.1138,77.3003
ARG,0.27457,0.28767,0.30289,0.32019,0.33956,0.36097,0.3844,0.40983,0.43724,0.46662,0.49792,0.53114,0.56624,0.6032,0.64202,0.68267,0.72515,0.76942,0.81548,0.86332,0.91291,0.96422,1.0172,1.0719,1.1282,1.1861,1.2457,1.3069,1.3698,1.4342,1.5003,1.568,1.6374,1.7084,1.781,1.8551,1.9307,2.0076,2.0859,2.1654,2.1731,2.2173,2.3252,2.4906,2.7073,2.9689,3.2693,3.6022,3.9615,4.3409,4.7341,5.2952,6.134,7.1778,8.3538,9.5894,10.8118,11.9483,12.9263,13.673,14.1157,14.3759,14.6222,14.8524,15.0646,15.2568,15.4269,15.5729,15.6929,15.7846,15.8462,15.8487,15.7771,15.6505,15.4882,15.3091,15.1323,14.9771,14.8625,14.8075,14.8314,14.9901,15.3101,15.7668,16.3353,16.9908,17.7084,18.4633,19.2307,19.9858,20.7038,21.3763,22.026,22.6739,23.3413,24.0493,24.8191,25.672,26.6291,27.7117,28.9408,30.9576,34.1993,38.3815,43.2199,48.4299,53.7273,58.8277,63.4465,67.2994,70.1021,70.4855,70.8135,67.3912,70.7508,76.7404,79.5529,83.0544,83.4137,79.534,80.5522,81.1242,84.7088,87.5847,88.0858,90.6285,94.1194,96.69,93.6789,93.2549,91.5616,88.7734,87.6706,89.0452,90.9056,89.8234,87.627,86.242,88.1074,89.0609,89.1694,90.6889,92.174,93.9845,95.6009,94.8311,95.2096,94.0944,93.6507,94.2955,99.634,102.4745,106.2954,112.5079,115.3312,116.3105,118.5733,119.1669,115.5892,110.8841,85.9987,87.3416,90.1582,91.7571,92.9018,93.5025,95.4811,96.7055,84.7087,85.0927,85.5463,86.2093,87.1491,88.3168,89.6622,91.1334,92.6747,94.2266,95.7295,97.1227,98.3446,99.4953,100.6876,101.8786,103.0257,104.0869,105.0396,105.8717,106.557,107.069,107.3813,107.5555,107.6852,107.7908,107.8914,108.0049,108.1307,108.2548,108.3741,108.4857,108.5871,108.0568,107.4867,106.8823,106.249,105.5919,104.9154,104.2252,103.5282,102.8307,102.139,101.4492,100.751,100.0406,99.3143,98.5683,97.8056,97.0266,96.2242,95.3917,94.5231,93.5794,92.5429,91.4387,90.2911,89.1233,87.9493,86.7814,85.6387,84.5397,83.5022,82.511,81.5394,80.5872,79.6544,78.7409,77.8456,76.9666,76.1025,75.2521,74.4142,73.5891,72.7772,71.9771,71.1877,70.4076,69.6367,68.8756,68.1245,67.3835,66.6528
ARM,0.34482,0.34518,0.34558,0.34601,0.34647,0.34697,0.3475,0.34805,0.34864,0.34926,0.3499,0.35057,0.35125,0.35195,0.35268,0.35344,0.35423,0.35506,0.35594,0.35687,0.35785,0.3589,0.36,0.36116,0.36237,0.36362,0.36491,0.36623,0.36758,0.36895,0.37034,0.37174,0.37318,0.37464,0.37614,0.37765,0.37918,0.38074,0.38231,0.38389,0.37772,0.38634,0.3948,0.40295,0.41064,0.41775,0.42413,0.42964,0.43413,0.43747,0.43951,0.44086,0.44219,0.44351,0.44481,0.44607,0.4473,0.44848,0.4496,0.45067,0.45167,0.45694,0.46971,0.4883,0.51107,0.53635,0.56248,0.58779,0.61062,0.62932,0.64221,0.65191,0.66204,0.67242,0.68287,0.69321,0.70327,0.71286,0.72183,0.72998,0.73714,0.74345,0.74931,0.75494,0.76054,0.76632,0.7725,0.77929,0.7869,0.79554,0.80542,0.81658,0.82895,0.84254,0.85739,0.87354,0.89102,0.90987,0.9301,0.95176,0.97488,1.0025,1.037,1.077,1.1213,1.1688,1.2181,1.2681,1.3174,1.365,1.4095,1.403,1.4757,1.5356,1.5321,1.5595,1.63,1.6872,1.7172,1.7405,1.7545,1.8336,1.9028,1.9643,2.0323,2.0734,2.0807,2.0536,2.0188,1.982,1.9375,1.9005,1.8915,1.9097,1.9427,1.9561,1.9615,1.9655,3.5185,3.8201,3.773,3.5919,3.2749,2.9866,3.0112,2.738,2.737,2.6522,2.4198,2.3277,2.1971,2.1872,2.2853,2.3835,2.4402,2.5073,2.5771,2.6191,2.6953,2.6543,2.6918,2.7245,2.8339,2.8823,2.9398,2.9842,3.0351,2.965,3.0023,3.1605,3.2992,3.4259,3.5523,3.6785,3.8038,3.9281,4.0488,4.1625,4.2666,4.3584,4.4351,4.5022,4.5683,4.6342,4.7009,4.7693,4.8389,4.9095,4.982,5.0573,5.1364,5.2205,5.3101,5.4048,5.504,5.6071,5.7122,5.8164,5.9181,6.0154,6.1063,6.083,6.0255,5.9417,5.8398,5.7278,5.6119,5.4994,5.3993,5.3206,5.2718,5.2445,5.2234,5.2066,5.1923,5.1788,5.165,5.1511,5.1365,5.121,5.1041,5.0868,5.0706,5.0555,5.0414,5.0284,5.0157,5.0025,4.9879,4.9714,4.9524,4.9263,4.8902,4.8462,4.7959,4.7415,4.6845,4.6267,4.5699,4.5159,4.4667,4.4204,4.3741,4.328,4.2825,4.2378,4.1934,4.1488,4.1042,4.0596,4.0152
AUS,18.6654,18.6906,18.7385,18.8084,18.8998,19.0123,19.1451,19.2979,19.47,19.6609,19.8701,20.0968,20.3403,20.6001,20.8761,21.1677,21.4745,21.7963,22.1325,22.4829,22.847,23.2246,23.615,24.0176,24.4317,24.8565,25.2913,25.7355,26.1882,26.6488,27.1166,27.5912,28.0722,28.5591,29.0514,29.5486,30.0501,30.5554,31.064,31.5754,33.8638,32.8003,31.917,31.2042,30.6521,30.2509,29.9907,29.8619,29.8546,29.959,30.1653,30.6277,31.4564,32.5759,33.9107,35.3851,36.9237,38.4508,39.891,41.1687,42.2083,43.095,43.9609,44.8007,45.6091,46.3809,47.1107,47.7933,48.4235,48.9959,49.5053,49.9377,50.2926,50.5853,50.8309,51.0446,51.2416,51.437,51.646,51.8838,52.1656,52.4796,52.8056,53.1461,53.5031,53.8792,54.2766,54.6975,55.1444,55.6194,56.125,56.6952,57.3578,58.1058,58.9321,59.8294,60.7908,61.8092,62.8774,63.9883,65.1349,66.3876,67.8098,69.3839,71.092,72.9166,74.8398,76.8439,78.9112,81.0241,83.1647,85.6748,88.8795,91.0628,94.2425,96.5293,94.2174,97.6854,101.2763,106.4731,108.4793,111.5402,117.901,116.0887,118.3348,118.5348,119.0294,115.2411,110.4927,109.7201,107.9152,108.8567,109.3957,113.2147,114.2177,115.0672,116.443,116.2629,114.6414,121.9324,120.0809,120.0422,119.5777,116.0879,112.852,111.4156,111.5484,114.3694,113.3176,109.2468,112.7607,111.2018,109.4372,104.2855,106.24,107.9326,107.4041,107.1176,105.4587,104.5349,102.5007,104.3779,103.7412,102.9668,100.8887,101.3482,102.0485,103.6023,104.3154,105.7747,107.2717,108.9297,110.8292,112.9352,115.2098,117.6135,120.0843,122.5653,125.0209,127.4138,129.7043,132.0192,134.4781,137.0287,139.6169,142.1877,144.6746,147.0129,149.1469,151.0189,152.5684,153.5024,153.6693,153.225,152.3348,151.1739,149.9484,148.8792,148.1766,148.0583,148.7483,149.0767,149.3983,149.7184,150.0412,150.3701,150.7033,151.029,151.3351,151.6099,151.8425,151.7884,151.2784,150.4147,149.3002,148.0383,146.7318,145.4769,144.3677,143.4993,142.9678,142.6769,142.45,142.2625,142.09,141.908,141.6989,141.4472,141.1316,140.7314,140.2257,139.3948,138.1088,136.4823,134.6297,132.6652,130.704,128.861,127.2479,125.9758,125.1543,124.5961,124.0436,123.499,122.9646,122.4428,121.9367,121.449,120.981,120.5343,120.11
