code,CH4AR4_IPCM0EL_TOTAL_NET_SSP5BLREMMP_PMSSPBIE
entity,CH4
scenario,SSP5BLREMMP
datatype,CountryYearMatrix
note,Scenario based on RCPSSP IAM scenario dowscaled to country level using GDP data from SSP scenarios. For methodology see Guetschow et al. 2017
type,NET
class,TOTAL
tablekind,raw
descr,SSPV2IB. SSP5BLREMMP downscaled using SSPV2MIDH. SSP5BLREMMP. and historic shares from PRIMAPHIST21. NON COMMERCIAL USE ALLOWED ONLY
source,PMSSPBIE
category,IPCM0EL
name_category,NatTotalExclLULUCF
family,emi
subsource,NaN
unit,MtCO2eq
gwp,AR4
iso3,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
AFG,0.61633,0.67205,0.7268,0.78059,0.83341,0.88527,0.93618,0.98613,1.0351,1.0832,1.1304,1.1765,1.2217,1.2658,1.3088,1.3508,1.3918,1.4317,1.4705,1.5083,1.545,1.5808,1.6156,1.6495,1.6824,1.7144,1.7453,1.7751,1.8039,1.8315,1.858,1.8834,1.9078,1.9311,1.9533,1.9745,1.9945,2.0133,2.031,2.0475,2.0841,2.0856,2.0883,2.0921,2.0968,2.1023,2.1086,2.1154,2.1226,2.1302,2.138,2.1472,2.1591,2.173,2.1887,2.2056,2.2234,2.2416,2.2597,2.2774,2.2942,2.3098,2.3244,2.3386,2.3531,2.3683,2.3848,2.4032,2.424,2.4479,2.4754,2.5275,2.62,2.7447,2.894,3.0599,3.2346,3.41,3.5785,3.7321,3.863,3.9759,4.082,4.1831,4.2808,4.3768,4.4729,4.5707,4.672,4.7783,4.8915,5.0104,5.1335,5.2616,5.3956,5.5365,5.685,5.8422,6.0088,6.1858,6.3741,6.5978,6.8716,7.1823,7.5164,7.8607,8.2019,8.5265,8.8212,9.0728,9.2678,9.0274,9.2764,9.6861,9.9551,10.3013,10.8122,11.0765,11.5863,11.8652,11.875,11.8826,10.9082,10.5605,11.7814,11.6579,11.6934,11.9487,11.5018,11.2453,11.6178,11.2391,11.0989,10.6826,9.8783,9.1367,8.0132,7.8059,7.905,7.0756,7.1001,7.4285,7.5445,7.717,8.0469,8.5339,9.4555,10.1928,10.7641,11.604,10.399,9.1881,11.0856,11.5096,11.4966,11.7787,12.0236,12.2926,13.4225,13.7047,15.3474,15.4696,15.4284,15.4364,15.7359,15.2458,15.1388,14.9553,16.1802,15.7817,15.4594,15.2075,15.0067,14.8586,14.7622,14.7157,14.7254,14.7951,14.9191,15.0919,15.3091,15.606,16.0079,16.4982,17.0627,17.6886,18.3816,19.1383,19.9343,20.7457,21.5488,22.3738,23.259,24.1945,25.1728,26.1883,27.257,28.3875,29.5666,30.7834,32.0287,33.116,34.0772,34.9117,35.6259,36.2332,36.7765,37.3034,37.8458,38.4428,39.1411,39.9334,40.7672,41.6269,42.4972,43.3627,44.2173,45.0531,45.8513,46.5933,47.2594,47.8324,48.3092,48.6932,48.9901,49.2079,49.3661,49.4856,49.5806,49.6677,49.7657,49.8612,49.9266,49.9613,49.9655,49.9401,49.8929,49.8315,49.7578,49.6741,49.5833,49.482,49.3651,49.2336,49.0887,48.9321,48.7672,48.5975,48.4253,48.2528,48.0821
AGO,2.629,2.7151,2.8004,2.8848,2.9683,3.0509,3.1328,3.2138,3.294,3.3735,3.4522,3.5301,3.6074,3.684,3.7599,3.8352,3.9098,3.9839,4.0573,4.1302,4.2025,4.2744,4.3457,4.4165,4.4869,4.5569,4.6264,4.6955,4.7642,4.8325,4.9005,4.9682,5.0355,5.1026,5.1694,5.236,5.3023,5.3684,5.4343,5.5001,5.549,5.5661,5.5901,5.6208,5.6575,5.7,5.7478,5.8004,5.8573,5.9181,5.9825,6.0772,6.2229,6.4094,6.6265,6.8641,7.1119,7.36,7.598,7.8158,8.0034,8.1739,8.3462,8.5189,8.6901,8.8584,9.0219,9.1792,9.3286,9.4683,9.5969,9.7235,9.8572,9.9961,10.1382,10.2817,10.4246,10.5649,10.7008,10.8304,10.9517,11.0719,11.2003,11.3383,11.4872,11.6484,11.8231,12.0128,12.2188,12.4423,12.6849,12.9944,13.4044,13.894,14.4426,15.0294,15.6338,16.2349,16.8122,17.3449,17.8122,18.2124,18.5698,18.9028,19.2297,19.5689,19.9388,20.3578,20.8442,21.4164,22.0928,22.7949,24.0668,25.6433,27.4919,29.492,31.4895,33.5652,35.398,37.1912,48.5792,38.3424,43.4992,49.1441,49.0692,48.4164,33.4658,56.4015,61.3747,65.9814,63.1747,57.2817,58.7422,60.154,57.8685,58.6751,59.1499,64.586,60.2392,62.1562,50.8021,52.9757,55.1677,53.9801,49.6225,53.9214,57.4988,56.0338,57.3808,52.5245,46.4007,46.184,46.4069,48.2742,48.1239,48.6708,44.8503,45.6944,45.331,44.9914,48.7857,49.3735,48.5733,44.8269,43.4744,43.7077,43.004,42.1241,51.088,53.1049,54.8223,56.1995,57.3591,58.3949,59.3919,60.4266,61.3698,62.09,62.6474,63.0908,63.4577,63.6986,63.8248,63.936,64.1072,64.3924,64.6837,64.8877,65.0571,65.2307,65.4356,65.6994,66.0423,66.4677,66.9732,67.552,68.1805,68.8207,69.4416,70.0123,70.5024,71.0192,71.5758,72.1556,72.7432,73.3244,73.9021,74.4764,75.0316,75.5533,76.0287,76.4948,76.9856,77.4862,77.9824,78.4611,78.9154,79.3386,79.7183,80.0422,80.2989,80.4975,80.6525,80.7615,80.8233,80.8376,80.812,80.756,80.6728,80.5661,80.4401,80.2336,79.8959,79.4462,78.9039,78.2886,77.6202,76.9182,76.2022,75.4916,74.8063,74.1276,73.4246,72.6987,71.951,71.1827,70.3939,69.5848,68.7564,67.9096,67.0452
ALB,0.12505,0.12515,0.12528,0.12543,0.12562,0.12584,0.12608,0.12635,0.12664,0.12696,0.1273,0.12767,0.12806,0.12847,0.1289,0.12935,0.12983,0.13033,0.13086,0.13142,0.132,0.1326,0.13324,0.1339,0.13458,0.13529,0.13602,0.13676,0.13752,0.13829,0.13908,0.13988,0.1407,0.14153,0.14237,0.14323,0.1441,0.14498,0.14586,0.14676,0.15705,0.14894,0.14119,0.13395,0.12734,0.12151,0.11659,0.11271,0.11,0.10861,0.10867,0.1097,0.1111,0.11282,0.11481,0.11701,0.11939,0.12189,0.12446,0.12705,0.12961,0.13489,0.1452,0.15979,0.17795,0.19894,0.22202,0.24648,0.27158,0.29659,0.32077,0.3483,0.38235,0.42074,0.46128,0.50179,0.54007,0.57395,0.60124,0.61974,0.62729,0.62106,0.60188,0.57301,0.5377,0.49918,0.46073,0.42558,0.39698,0.3782,0.37247,0.38193,0.40468,0.43785,0.47861,0.52412,0.57153,0.61799,0.66067,0.69671,0.72328,0.74418,0.76493,0.78529,0.805,0.82381,0.84148,0.85776,0.8724,0.88514,0.89574,0.89026,0.89592,0.8901,0.89266,0.94027,0.93522,0.94114,0.88428,0.87343,0.88564,0.86771,0.85787,0.87757,0.90712,0.92017,0.96819,1.006,1.0712,1.1192,1.1466,1.1668,1.1794,1.2022,1.2147,1.1834,1.2317,1.306,1.3671,1.3814,1.363,1.4099,1.3836,1.4967,1.5602,1.5647,1.8739,1.9091,1.9261,2.0813,2.5665,2.5192,2.4678,2.4985,2.5434,2.4567,2.5255,2.4272,2.2952,2.3623,2.3678,2.3567,2.3862,2.4422,2.4877,2.5249,2.5474,2.5446,2.5148,2.4795,2.4582,2.4525,2.4599,2.4783,2.5053,2.5391,2.5791,2.6248,2.6739,2.7242,2.7736,2.8262,2.8864,2.9521,3.0214,3.0925,3.1646,3.2374,3.3091,3.3783,3.4433,3.5076,3.5741,3.6408,3.7055,3.7663,3.8218,3.8713,3.9134,3.9465,3.9696,3.973,3.9745,3.9731,3.9679,3.958,3.943,3.9223,3.8949,3.8599,3.8165,3.767,3.7143,3.6587,3.6007,3.5407,3.4793,3.4177,3.3567,3.2969,3.239,3.1825,3.1264,3.0707,3.0155,2.9608,2.9068,2.8537,2.8011,2.7489,2.697,2.6491,2.6077,2.5714,2.5384,2.5075,2.4775,2.4473,2.4159,2.3824,2.3458,2.3077,2.2698,2.2319,2.1937,2.155,2.116,2.0771,2.0382,1.9993,1.9602
ANNEXI,405.4031,406.4923,408.0999,410.2129,412.8187,415.9045,419.4576,423.4652,427.9146,432.7931,438.0879,443.7716,449.8237,456.2416,463.0226,470.1642,477.6638,485.5188,493.7265,502.2844,511.19,520.4444,530.0355,539.94,550.1349,560.597,571.3032,582.2304,593.3556,604.6555,616.1071,627.7061,639.4555,651.3429,663.3561,675.4828,687.7105,700.0271,712.4202,724.8774,737.2984,759.7365,782.5787,805.5863,828.521,851.1444,873.218,894.5033,914.7621,933.7557,951.2458,968.8015,987.8976,1008.154,1029.1908,1050.6281,1072.086,1093.1845,1113.5437,1132.7836,1150.5244,1169.0207,1190.2232,1213.2955,1237.4015,1261.7048,1285.3693,1307.5586,1327.4366,1344.1669,1356.9133,1366.8036,1375.6639,1383.7058,1391.1406,1398.1799,1405.035,1411.9174,1419.0385,1426.6099,1434.8428,1443.6964,1452.9405,1462.5028,1472.3112,1482.2932,1492.3768,1502.4897,1512.5596,1522.5142,1532.2815,1544.1353,1559.8842,1578.758,1599.9863,1622.799,1646.4255,1670.0958,1693.0394,1714.486,1733.6654,1753.4034,1776.5609,1802.4203,1830.2641,1859.3747,1889.0346,1918.5261,1947.1318,1974.134,1998.8151,2021.1538,2065.288,2102.8384,2132.3585,2172.5572,2214.2364,2266.3904,2309.0573,2342.4291,2341.1868,2363.9716,2365.8414,2399.3684,2393.66,2401.3002,2412.1021,2407.2996,2546.3407,2542.001,2541.302,2520.6144,2516.8747,2483.252,2499.4157,2500.7953,2497.9786,2485.3489,2537.6821,2545.6397,2513.2493,2466.6806,2417.5855,2363.6591,2319.8779,2286.3461,2259.6557,2224.2546,2175.512,2148.0883,2117.8275,2102.3885,2067.9845,2066.5384,2049.3198,2041.2557,2033.8085,2030.6419,2019.8599,1959.4919,1967.0617,1946.9057,1935.8511,1917.9516,1904.9793,1887.5674,1884.3894,1900.2451,1876.9128,1889.3714,1908.2997,1934.2313,1966.1273,2003.3034,2045.0667,2090.717,2139.5015,2190.6575,2243.4588,2297.1724,2351.0581,2407.8312,2470.2411,2537.5654,2609.0451,2683.885,2761.2084,2840.1113,2919.7052,2999.0662,3077.2348,3156.2232,3238.1699,3322.2694,3407.7039,3493.6431,3579.2126,3663.5244,3745.708,3824.8794,3900.14,3942.7857,3985.6865,4028.3156,4070.1444,4110.6422,4149.2577,4185.4467,4218.6849,4248.4441,4274.1922,4297.9195,4321.8821,4345.9437,4369.9682,4393.82,4417.3542,4440.4207,4462.8779,4484.5867,4505.4105,4525.7462,4545.9919,4566.014,4585.6794,4604.8556,4623.4119,4641.2179,4658.1419,4674.0526,4688.8189,4706.9256,4731.8995,4762.1694,4796.1598,4832.2907,4868.9769,4904.6303,4937.6604,4966.473,4989.4695,5008.6209,5026.8765,5044.1029,5060.1664,5074.9329,5088.2636,5100.017,5110.055,5118.2395,5124.4324
AOSIS,0.532,0.55138,0.57233,0.59484,0.61887,0.64443,0.67148,0.70002,0.73002,0.76147,0.79436,0.82865,0.86431,0.90135,0.93973,0.97946,1.0205,1.0629,1.1066,1.1516,1.1978,1.2453,1.2941,1.344,1.3952,1.4476,1.5012,1.5559,1.6118,1.6689,1.727,1.7864,1.847,1.9088,1.9716,2.0356,2.1005,2.1665,2.2333,2.3011,2.3463,2.3634,2.3919,2.4308,2.4789,2.5353,2.5989,2.6685,2.7432,2.8219,2.9036,3.0154,3.1773,3.377,3.6024,3.8413,4.0816,4.3112,4.5178,4.6894,4.8138,4.9126,5.0148,5.119,5.2241,5.3286,5.4314,5.531,5.6262,5.7156,5.7981,5.8824,5.9767,6.0789,6.1866,6.2975,6.4093,6.5198,6.6266,6.7276,6.8204,6.9162,7.0274,7.1528,7.2916,7.4429,7.6056,7.7788,7.9616,8.153,8.3521,8.5719,8.8239,9.1047,9.411,9.7394,10.0865,10.449,10.8236,11.2069,11.5955,12.0962,12.7901,13.6351,14.5889,15.6095,16.6549,17.6828,18.6512,19.5179,20.2408,19.3933,20.3893,20.6315,22.3023,22.5612,23.3217,23.5989,24.2083,24.5241,25.3523,25.2079,24.9195,26.3164,28.1741,29.1863,29.267,30.1073,29.4289,29.2313,31.1468,31.083,34.2662,34.6767,35.7238,36.427,35.69,35.3628,34.2545,33.0702,31.3593,32.4122,33.5119,33.3652,33.9877,32.8667,34.5692,36.606,37.7687,37.5757,40.2095,41.8675,43.3995,46.9363,49.3967,53.032,57.167,59.4538,61.0763,61.1648,61.0433,61.5568,61.8982,68.1799,70.2786,72.1612,73.9681,75.7053,74.1594,76.0948,78.0119,80.013,82.1748,84.4465,86.775,89.1046,91.4259,93.7245,95.9346,97.9899,99.8239,101.5811,103.4274,105.3318,107.2672,109.2104,111.1812,113.1894,115.2017,117.1875,119.119,120.5593,121.1663,121.0671,120.4065,119.3471,118.1034,116.9012,115.9466,115.4619,115.6849,115.3373,115.0289,114.7399,114.4539,114.1573,113.8517,113.5423,113.2241,112.8934,112.5477,112.2193,111.9277,111.6522,111.3729,111.0703,110.735,110.3556,109.9106,109.3787,108.7396,108.0027,107.1951,106.3225,105.3897,104.4014,103.3587,102.2605,101.1076,99.9011,98.6426,97.2464,95.6583,93.9261,92.0975,90.2199,88.3392,86.5006,84.7499,83.1321,81.6919,80.3638,79.0577,77.7807,76.5394,75.3406,74.1893,73.0902,72.0484,71.0692,70.1575
ARE,0.064676,0.066213,0.06774,0.069257,0.070765,0.072264,0.073753,0.075233,0.076705,0.078168,0.079622,0.081069,0.082509,0.083942,0.085369,0.08679,0.088205,0.089615,0.091019,0.092417,0.093811,0.095201,0.096589,0.097976,0.099359,0.10074,0.10212,0.10349,0.10486,0.10622,0.10758,0.10893,0.11029,0.11164,0.11298,0.11433,0.11567,0.11701,0.11835,0.11968,0.13289,0.13895,0.14529,0.15188,0.15873,0.16581,0.1731,0.1806,0.18828,0.19614,0.20415,0.2133,0.22415,0.23611,0.24857,0.26093,0.27259,0.28295,0.29139,0.29733,0.30015,0.30092,0.3012,0.30114,0.30087,0.30054,0.3003,0.30029,0.30065,0.30152,0.30305,0.31275,0.33646,0.37187,0.41663,0.46842,0.5249,0.58375,0.64263,0.69922,0.75118,0.79834,0.84314,0.88717,0.93199,0.97921,1.0304,1.0871,1.151,1.2236,1.3065,1.4172,1.5693,1.7587,1.9813,2.233,2.5095,2.8068,3.1206,3.447,3.7816,4.1336,4.5167,4.9343,5.3895,5.8854,6.4254,7.0126,7.6502,8.3413,9.0893,9.8135,10.5038,11.244,12.1141,13.1902,14.5637,16.3051,18.5153,21.2698,25.8274,34.6809,37.9594,49.2749,49.3875,48.2307,59.3054,53.8434,61.5666,36.6651,34.7743,23.9497,20.7428,20.1309,27.1582,24.5246,17.4178,14.0159,11.0557,10.7707,10.8267,12.075,12.5961,13.1759,13.8222,15.9939,18.6635,19.6154,20.6136,22.0054,24.9605,25.9264,27.8281,30.9286,32.9956,35.6404,37.0563,37.0364,37.2643,36.2373,37.3506,38.7311,39.8909,41.7156,42.7442,45.0474,46.4051,47.7667,47.8188,49.093,50.5412,52.1809,53.9199,55.7397,57.6219,59.5475,61.4291,63.1982,64.8622,66.424,67.8819,69.2304,70.4979,71.7186,72.9125,74.0875,75.1594,76.0517,76.7715,77.3188,77.6884,77.9182,78.0583,78.1118,78.0762,77.9438,77.6494,77.1595,76.5046,75.7084,74.7881,73.5452,72.2505,70.9447,69.6595,68.4198,67.2026,65.979,64.7566,63.5395,62.329,61.1381,59.9836,58.8679,57.7908,56.7502,55.7329,54.7257,53.7237,52.7213,51.7122,50.695,49.6802,48.6771,47.6936,46.7365,45.8034,44.8919,44.0075,43.1546,42.3368,41.5179,40.6684,39.8008,38.9263,38.0553,37.1961,36.3557,35.5409,34.7582,34.0138,33.303,32.6111,31.9298,31.2513,30.5683,29.8897,29.2264,28.5752,27.9328,27.2965
ARG,0.27457,0.28767,0.30289,0.32019,0.33956,0.36097,0.3844,0.40983,0.43724,0.46662,0.49792,0.53114,0.56624,0.6032,0.64202,0.68267,0.72515,0.76942,0.81548,0.86332,0.91291,0.96422,1.0172,1.0719,1.1282,1.1861,1.2457,1.3069,1.3698,1.4342,1.5003,1.568,1.6374,1.7084,1.781,1.8551,1.9307,2.0076,2.0859,2.1654,2.1731,2.2173,2.3252,2.4906,2.7073,2.9689,3.2693,3.6022,3.9615,4.3409,4.7341,5.2952,6.134,7.1778,8.3538,9.5894,10.8118,11.9483,12.9263,13.673,14.1157,14.3759,14.6222,14.8524,15.0646,15.2568,15.4269,15.5729,15.6929,15.7846,15.8462,15.8487,15.7771,15.6505,15.4882,15.3091,15.1323,14.9771,14.8625,14.8075,14.8314,14.9901,15.3101,15.7668,16.3353,16.9908,17.7084,18.4633,19.2307,19.9858,20.7038,21.3763,22.026,22.6739,23.3413,24.0493,24.8191,25.672,26.6291,27.7117,28.9408,30.9576,34.1993,38.3815,43.2199,48.4299,53.7273,58.8277,63.4465,67.2994,70.1021,70.4855,70.8135,67.3912,70.7508,76.7404,79.5529,83.0544,83.4137,79.534,80.5522,81.1242,84.7088,87.5847,88.0858,90.6285,94.1194,96.69,93.6789,93.2549,91.5616,88.7734,87.6706,89.0452,90.9056,89.8234,87.627,86.242,88.1074,89.0609,89.1694,90.6889,92.174,93.9845,95.6009,94.8311,95.2096,94.0944,93.6507,94.2955,99.634,102.4745,106.2954,112.5079,115.3312,116.3105,118.5733,119.1669,115.5892,110.8841,85.9987,87.3416,90.1582,91.7571,92.9018,93.5025,95.4811,96.7055,87.1485,89.8681,92.5229,95.2085,97.9626,100.732,103.4615,106.0941,108.5635,110.8071,112.7712,114.4005,115.6377,116.6021,117.4574,118.2103,118.8657,119.4266,119.8849,120.2414,120.5094,120.7001,120.8226,120.2665,118.5876,116.0435,112.8917,109.3881,105.7657,102.2586,99.124,96.6195,95.0037,93.0331,91.2293,89.5758,88.0558,86.652,85.3365,84.0833,82.8772,81.7025,80.5436,79.4243,78.3715,77.3737,76.4196,75.4983,74.6014,73.7173,72.8306,71.9263,70.9906,70.0349,69.0791,68.1215,67.1601,66.193,65.2144,64.2176,63.1988,62.1538,61.0788,59.913,58.6238,57.2491,55.8262,54.3914,52.9789,51.622,50.3547,49.2107,48.223,47.3393,46.4881,45.6735,44.8995,44.1703,43.4894,42.8605,42.2874,41.7739,41.3237
ARM,0.34482,0.34518,0.34558,0.34601,0.34647,0.34697,0.3475,0.34805,0.34864,0.34926,0.3499,0.35057,0.35125,0.35195,0.35268,0.35344,0.35423,0.35506,0.35594,0.35687,0.35785,0.3589,0.36,0.36116,0.36237,0.36362,0.36491,0.36623,0.36758,0.36895,0.37034,0.37174,0.37318,0.37464,0.37614,0.37765,0.37918,0.38074,0.38231,0.38389,0.37772,0.38634,0.3948,0.40295,0.41064,0.41775,0.42413,0.42964,0.43413,0.43747,0.43951,0.44086,0.44219,0.44351,0.44481,0.44607,0.4473,0.44848,0.4496,0.45067,0.45167,0.45694,0.46971,0.4883,0.51107,0.53635,0.56248,0.58779,0.61062,0.62932,0.64221,0.65191,0.66204,0.67242,0.68287,0.69321,0.70327,0.71286,0.72183,0.72998,0.73714,0.74345,0.74931,0.75494,0.76054,0.76632,0.7725,0.77929,0.7869,0.79554,0.80542,0.81658,0.82895,0.84254,0.85739,0.87354,0.89102,0.90987,0.9301,0.95176,0.97488,1.0025,1.037,1.077,1.1213,1.1688,1.2181,1.2681,1.3174,1.365,1.4095,1.403,1.4757,1.5356,1.5321,1.5595,1.63,1.6872,1.7172,1.7405,1.7545,1.8336,1.9028,1.9643,2.0323,2.0734,2.0807,2.0536,2.0188,1.982,1.9375,1.9005,1.8915,1.9097,1.9427,1.9561,1.9615,1.9655,3.5185,3.8201,3.773,3.5919,3.2749,2.9866,3.0112,2.738,2.737,2.6522,2.4198,2.3277,2.1971,2.1872,2.2853,2.3835,2.4402,2.5073,2.5771,2.6191,2.6953,2.6543,2.6918,2.7245,2.8339,2.8823,2.9398,2.9842,3.0351,2.965,2.9452,2.9978,3.0586,3.1289,3.2062,3.2895,3.3778,3.4701,3.5623,3.6509,3.7358,3.8164,3.8921,3.9644,4.0354,4.1043,4.1699,4.2305,4.2816,4.3205,4.3477,4.3634,4.3676,4.3627,4.3517,4.3351,4.3128,4.2845,4.2474,4.1998,4.1431,4.0782,4.0059,3.9116,3.8151,3.7187,3.6241,3.5327,3.4426,3.3524,3.2636,3.1774,3.0947,3.0165,2.9425,2.8719,2.8038,2.7374,2.6719,2.6075,2.544,2.4811,2.4186,2.3564,2.2949,2.2348,2.1766,2.1208,2.067,2.0151,1.9651,1.9174,1.8721,1.8272,1.7816,1.7358,1.6906,1.6467,1.6041,1.5631,1.5238,1.4866,1.4517,1.4186,1.3865,1.3553,1.3252,1.2959,1.2674,1.2397,1.2127,1.1862,1.1603
AUS,18.6654,18.6906,18.7385,18.8084,18.8998,19.0123,19.1451,19.2979,19.47,19.6609,19.8701,20.0968,20.3403,20.6001,20.8761,21.1677,21.4745,21.7963,22.1325,22.4829,22.847,23.2246,23.615,24.0176,24.4317,24.8565,25.2913,25.7355,26.1882,26.6488,27.1166,27.5912,28.0722,28.5591,29.0514,29.5486,30.0501,30.5554,31.064,31.5754,33.8638,32.8003,31.917,31.2042,30.6521,30.2509,29.9907,29.8619,29.8546,29.959,30.1653,30.6277,31.4564,32.5759,33.9107,35.3851,36.9237,38.4508,39.891,41.1687,42.2083,43.095,43.9609,44.8007,45.6091,46.3809,47.1107,47.7933,48.4235,48.9959,49.5053,49.9377,50.2926,50.5853,50.8309,51.0446,51.2416,51.437,51.646,51.8838,52.1656,52.4796,52.8056,53.1461,53.5031,53.8792,54.2766,54.6975,55.1444,55.6194,56.125,56.6952,57.3578,58.1058,58.9321,59.8294,60.7908,61.8092,62.8774,63.9883,65.1349,66.3876,67.8098,69.3839,71.092,72.9166,74.8398,76.8439,78.9112,81.0241,83.1647,85.6748,88.8795,91.0628,94.2425,96.5293,94.2174,97.6854,101.2763,106.4731,108.4793,111.5402,117.901,116.0887,118.3348,118.5348,119.0294,115.2411,110.4927,109.7201,107.9152,108.8567,109.3957,113.2147,114.2177,115.0672,116.443,116.2629,114.6414,121.9324,120.0809,120.0422,119.5777,116.0879,112.852,111.4156,111.5484,114.3694,113.3176,109.2468,112.7607,111.2018,109.4372,104.2855,106.24,107.9326,107.4041,107.1176,105.4587,104.5349,102.5007,104.3779,103.7412,102.9668,100.8887,101.3482,102.0485,103.6023,102.2238,101.9466,102.0815,102.6538,103.5702,104.7959,106.2927,108.0203,109.9107,111.8943,113.9252,115.9564,117.9404,120.0159,122.3317,124.8533,127.5463,130.3758,133.2973,136.2618,139.2265,142.1483,144.9836,147.8711,150.9241,154.0613,157.2023,160.2677,163.2019,165.9593,168.4754,170.6857,172.526,173.5939,174.6223,175.5834,176.4483,177.188,177.7703,178.1535,178.295,178.1534,177.6889,176.9767,176.1393,175.2089,174.217,173.1948,172.1761,171.1862,170.2432,169.3661,168.5745,167.8436,167.1274,166.4156,165.699,164.9695,164.2285,163.4824,162.7318,161.9773,161.2194,160.6691,160.483,160.5815,160.8863,161.3209,161.8069,162.2694,162.6396,162.8502,162.8356,162.6707,162.4742,162.248,161.9938,161.7129,161.403,161.0609,160.6861,160.2782,159.8366
AUT,2.4605,2.471,2.4838,2.4987,2.5158,2.5349,2.556,2.579,2.604,2.6308,2.6593,2.6894,2.721,2.754,2.7885,2.8246,2.8624,2.9018,2.943,2.9861,3.031,3.0779,3.1267,3.1772,3.2294,3.2829,3.3377,3.3935,3.4503,3.5077,3.5657,3.6242,3.6834,3.7433,3.8038,3.8648,3.9263,3.9883,4.0507,4.1135,3.7272,4.0852,4.4224,4.7355,5.0213,5.2768,5.4986,5.6837,5.8288,5.9307,5.9863,5.9933,5.9585,5.8923,5.8049,5.7067,5.6081,5.5193,5.4507,5.4127,5.4155,5.4443,5.4771,5.5138,5.5543,5.5983,5.6458,5.6966,5.7505,5.8075,5.8674,5.9364,6.0193,6.1133,6.2156,6.3234,6.434,6.5447,6.6527,6.7552,6.8494,6.9443,7.048,7.1571,7.2681,7.3774,7.4815,7.577,7.6604,7.728,7.7765,7.8198,7.8731,7.9342,8.0013,8.0722,8.145,8.2176,8.288,8.3542,8.4142,8.4936,8.612,8.7581,8.9208,9.0891,9.2518,9.3977,9.5157,9.5947,9.6235,9.6213,9.7163,9.6409,9.4657,9.5098,9.5575,9.6958,9.6819,9.6003,9.6805,9.881,9.8266,9.9467,10.0523,9.9784,9.9318,9.9799,10.3513,10.4777,10.4764,10.4239,10.5273,10.5026,10.6753,10.794,10.7292,10.5777,10.5964,10.3615,10.3707,10.2505,9.9653,9.8824,9.5955,9.5245,9.2219,8.9228,8.7453,8.5682,8.4018,8.2435,8.1028,8.0409,8.0424,7.7566,7.6572,7.5525,7.4287,7.358,7.2681,7.0723,6.9611,6.9042,6.7636,6.6915,6.6318,6.6122,6.4913,6.4663,6.4747,6.5182,6.5879,6.6812,6.7953,6.9273,7.073,7.2285,7.3911,7.5579,7.7259,7.9036,8.1008,8.3167,8.5502,8.8002,9.0638,9.3375,9.6184,9.9034,10.1893,10.4851,10.7991,11.1269,11.4639,11.8052,12.1465,12.4832,12.8105,13.1231,13.4155,13.6519,13.8919,14.1321,14.3688,14.5983,14.8168,15.0206,15.2064,15.3707,15.5098,15.629,15.7376,15.8382,15.9333,16.0254,16.1164,16.2084,16.3043,16.4075,16.5211,16.6423,16.7658,16.8905,17.0156,17.1403,17.2646,17.3887,17.5121,17.6343,17.7551,17.8975,18.0801,18.2949,18.5335,18.7877,19.0484,19.3068,19.5543,19.7823,19.9819,20.1612,20.334,20.5011,20.6629,20.8198,20.9713,21.1164,21.2547,21.3861,21.5104
