code,CH4AR4_IPCMAG_TOTAL_NET_HISTORY_UNFCCC2019BI
entity,CH4
category,IPCMAG
name_category,Agriculture
type,NET
class,TOTAL
descr,GHG data submitted to the UNFCCC by Parties: non-AnnexI Parties only. See http://unfccc.int/di/DetailedByParty.do
note,Read in by JG and RG
source,UNFCCC2019BI
scenario,HISTORY
datatype,CountryYearMatrix
tablekind,usr
family,emi
subsource,UNFCCC_2019B.csv
unit,MtCO2eq
gwp,AR4
iso3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
ALB,1.0385,1.0008,0.94425,1.028,1.1113,1.1947,1.278,1.278,1.3053,1.3885,1.8445,1.7942,1.7395,1.753,1.7395,1.6665,1.633,1.524,1.4303,1.3425,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ARE,NaN,NaN,NaN,NaN,1.21,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,1.875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.987,NaN,NaN
ARG,70.5138,NaN,NaN,NaN,74.2206,NaN,NaN,70.2731,NaN,NaN,70.8729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,57.4572,NaN,58.7787,NaN,NaN,NaN,NaN
ARM,1.1099,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.9378,NaN,NaN,NaN,NaN,NaN,1.1476,NaN,NaN,NaN,1.1066,NaN,NaN,NaN,NaN,NaN,NaN
AZE,3.2288,3.2118,3.0858,3.128,2.8615,2.9245,3.0788,3.2127,3.3438,3.4398,3.6115,3.7792,3.9458,4.0737,4.207,4.3065,4.542,4.665,4.94,4.8483,4.8888,4.7745,4.645,4.8631,NaN,NaN,NaN
BGD,NaN,NaN,NaN,NaN,28.1931,NaN,NaN,NaN,NaN,NaN,NaN,27.6178,NaN,NaN,NaN,30.3923,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BIH,2.1827,2.0948,2.2335,0.606,0.676,0.83375,0.94275,1.0185,1.0357,1.0673,1.017,1.0208,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1,1.075,NaN,NaN
BOL,9.927,NaN,NaN,NaN,11.0415,NaN,NaN,NaN,12.165,NaN,12.9095,NaN,11.3519,NaN,12.4036,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BRA,229.64,236.8525,240.975,242.0325,246.6275,251.455,243.555,247.1975,249.0975,252.7975,259.5575,268.94,278.0325,291.67,304.8925,308.9425,307.325,292.6775,298.885,304.155,310.39,316.51,312.7925,315.345,317.3,322.1875,NaN
CAF,NaN,NaN,NaN,NaN,6.8935,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.0707,35.0707,35.0707,11.25,11.25,11.25,5.794,5.794,NaN,NaN,NaN,NaN,NaN,NaN
CHL,7.1,NaN,NaN,NaN,7.8675,NaN,NaN,NaN,NaN,NaN,8.31,NaN,NaN,NaN,NaN,NaN,7.2985,NaN,NaN,NaN,7.245,NaN,NaN,7.2975,NaN,NaN,6.59
CHN,NaN,NaN,NaN,NaN,429.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,629.225,NaN,NaN,NaN,NaN,NaN,NaN,572.15,NaN,NaN,NaN,NaN
COL,37.9318,NaN,NaN,NaN,40.8565,NaN,NaN,NaN,NaN,NaN,39.5118,NaN,NaN,NaN,42.4845,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CRI,3.113,NaN,NaN,NaN,NaN,NaN,3.3424,NaN,NaN,NaN,2.4899,NaN,NaN,NaN,NaN,2.5093,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CUB,4.9558,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.887,NaN,4.754,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DMA,NaN,NaN,NaN,NaN,0.0059112,NaN,NaN,NaN,NaN,NaN,0.019488,0.019488,0.019488,0.019488,0.019488,0.019488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
