code,CH4AR4_IPCMLULUCF_TOTAL_NET_HISTORY_CRF2019
entity,CH4
category,IPCMLULUCF
name_category,LULUCF
type,NET
class,TOTAL
source,CRF2019
descr,Data read in by JG. LJ
note,
scenario,HISTORY
datatype,CountryYearMatrix
tablekind,raw
family,emi
subsource,Table4; Table10s3; Summary1.As2
unit,MtCO2eq
gwp,AR4
iso3,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
AUS,NaN,NaN,NaN,NaN,14.7572,13.9487,12.5814,12.054,11.6682,11.8194,12.2279,12.2604,12.3979,12.9299,14.1669,13.6616,13.8561,13.718,12.8631,12.9906,14.045,14.4734,13.7587,13.552,13.2934,13.1155,12.0934,12.1418,12.3855,11.7429,11.5604,11.9303
AUT,NaN,NaN,NaN,NaN,0.024252,0.02391,0.024094,0.024047,0.023922,0.023861,0.023854,0.023833,0.024003,0.023805,0.023884,0.023843,0.024233,0.024213,0.023826,0.023859,0.023959,0.023873,0.023903,0.023917,0.023901,0.023889,0.023915,0.023997,0.023918,0.024109,0.023832,0.023871
BEL,NaN,NaN,NaN,NaN,0.00057141,0.00057547,0.00048805,0.00056867,0.00047345,3.1152e-05,0.027224,0.00028721,0.0004365,8.778e-05,2.233e-06,2.7925e-05,0.00026181,0.00016072,NaN,8.4565e-07,3.4168e-06,3.9343e-05,NaN,NaN,NaN,0.0087649,NaN,NaN,NaN,NaN,NaN,NaN
BGR,NaN,NaN,0.0010748,0.00051881,0.0024219,0.0011888,0.012198,0.042259,0.04211,0.0012772,0.005002,0.0018077,0.016209,0.019289,0.13474,0.046933,0.015152,0.011878,0.002652,0.0033646,0.0086233,0.10105,0.012654,0.005283,0.015191,0.016668,0.030351,0.0077182,0.0021504,0.012772,0.014751,0.01063
BLR,NaN,NaN,NaN,NaN,0.0079225,0.0036625,0.14283,0.0083375,0.010795,0.021147,0.027017,0.0041775,0.004765,0.015865,0.009175,0.0036825,0.059262,0.01958,0.0048,0.0040825,0.011498,0.0054125,0.005225,0.010418,0.0053875,0.0049825,0.0051825,0.005375,0.00684,0.056208,0.0046733,0.0047548
CAN,NaN,NaN,NaN,NaN,0.86913,0.76649,1.0245,1.1526,1.0704,1.2016,1.1312,0.99616,0.99004,1.0209,1.0111,0.86295,0.85,0.88353,0.87763,0.92115,0.79655,0.7826,0.71176,0.61754,0.69975,0.65275,0.69614,0.70163,0.6383,0.66143,0.61617,0.585
CHE,NaN,NaN,NaN,NaN,0.029623,0.016411,0.015713,0.015447,0.018143,0.019559,0.017737,0.032453,0.017026,0.014484,0.014796,0.014202,0.019366,0.0205,0.013905,0.013979,0.014725,0.016235,0.013513,0.013495,0.01304,0.014864,0.012973,0.012959,0.013179,0.013149,0.015965,0.013865
CYP,NaN,NaN,NaN,NaN,5.2758e-05,0.00016124,5.1563e-05,0.00041006,0.0010554,0.00041236,0.00068774,0.00098748,0.0033546,2.0133e-05,0.0072024,0.0024224,7.0558e-05,0.0003079,0.00059824,0.00020257,0.00050808,0.0048534,0.00017426,0.0002888,0.0011261,0.00094046,0.0010492,0.00036468,0.0004077,0.00014422,0.012007,0.00038093
CZE,NaN,NaN,NaN,NaN,0.044151,0.032784,0.037761,0.042704,0.042985,0.039344,0.056149,0.064375,0.050799,0.044796,0.041329,0.042083,0.045551,0.06019,0.05264,0.049949,0.062262,0.080261,0.062888,0.053459,0.0565,0.025825,0.028631,0.024885,0.029124,0.031663,0.032865,0.038082
DEU,NaN,NaN,NaN,NaN,0.87564,0.87277,0.89019,0.87536,0.87371,0.87135,0.87502,0.87137,0.87039,0.87045,0.87125,0.86827,0.86755,0.87295,0.8669,0.86572,0.86728,0.86611,0.8676,0.86896,0.86792,0.86647,0.86695,0.866,0.86499,0.86668,0.86475,0.86482
DNK,NaN,NaN,NaN,NaN,0.19329,0.19216,0.19168,0.1912,0.19072,0.19024,0.18975,0.18926,0.1888,0.18828,0.18778,0.18729,0.1868,0.18629,0.18646,0.18582,0.18585,0.18585,0.18586,0.18588,0.18475,0.18727,0.18955,0.19,0.18825,0.19031,0.19351,0.19176
EARTH,0.026433,0.025424,0.069733,0.068999,53.4515,50.7048,50.0861,49.1104,54.3779,49.2142,54.6376,48.4316,55.7195,51.0865,59.0521,51.2863,58.8332,59.439,54.0457,56.146,60.9018,63.7245,59.5322,58.115,53.5897,54.7817,59.0865,53.0389,55.108,61.1284,53.6141,56.329
ESP,NaN,NaN,NaN,NaN,0.31369,0.42335,0.18133,0.14008,0.65097,0.23567,0.09704,0.16747,0.21146,0.13323,0.29245,0.14169,0.17035,0.24154,0.2355,0.30606,0.28578,0.12403,0.080911,0.18702,0.087616,0.1602,0.3467,0.1003,0.078519,0.18038,0.16166,0.16365
EST,NaN,NaN,NaN,NaN,0.059666,0.059489,0.062064,0.060463,0.06025,0.059936,0.060616,0.06155,0.059973,0.060917,0.061307,0.06031,0.062984,0.060707,0.061211,0.060731,0.066941,0.0609,0.061794,0.061082,0.061122,0.061205,0.061241,0.061299,0.061401,0.061791,0.061984,0.061608
EU28,0.026433,0.025424,0.069733,0.068999,7.4427,6.8243,6.5991,7.4767,9.5892,8.9528,7.9869,7.9471,8.3349,6.8636,7.8415,6.7322,6.2338,7.4928,6.2075,6.733,5.9264,7.504,5.5442,5.8361,5.7776,5.6889,6.6725,5.292,5.2303,5.3863,5.811,8.0326
FIN,NaN,NaN,NaN,NaN,1.5341,1.5165,1.5016,1.4842,1.4691,1.4529,1.4361,1.4202,1.4025,1.3761,1.3475,1.321,1.2926,1.2633,1.2337,1.2062,1.1784,1.1502,1.093,1.0358,0.97782,0.92099,0.92082,0.92152,0.92167,0.9209,0.92055,0.91994
FRA,NaN,NaN,NaN,NaN,1.0176,1.0942,1.1187,1.0994,3.532,3.7769,3.0368,2.5575,2.1885,1.9053,1.7722,1.567,1.4781,1.3968,1.291,1.2904,1.236,1.2219,1.1791,1.1994,1.2144,1.1938,1.1721,1.1184,1.1683,1.1771,1.1925,1.2157
GBR,NaN,NaN,NaN,NaN,0.015947,0.017946,0.014153,0.015185,0.014897,0.027564,0.020992,0.02439,0.019603,0.015688,0.029304,0.028347,0.028673,0.056055,0.029518,0.036128,0.031024,0.041337,0.030599,0.034307,0.034907,0.033488,0.058941,0.025039,0.031114,0.019943,0.033394,0.028367
GRC,NaN,NaN,NaN,NaN,0.062677,0.031094,0.091811,0.081945,0.07642,0.043378,0.026208,0.057791,0.15763,0.012002,0.20803,0.027939,0.0038059,0.0053468,0.013532,0.010537,0.020962,0.32127,0.04355,0.046161,0.016414,0.017811,0.043706,0.016004,0.0093971,0.010809,0.03167,0.018553
HRV,NaN,NaN,NaN,NaN,0.0012304,0.0031825,0.015149,0.034393,0.011505,0.0075447,0.016532,0.017628,0.045113,0.0059112,0.096909,0.018996,0.0063949,0.039551,0.0029171,0.0027353,0.0060586,0.031764,0.00958,0.0050956,0.0017601,0.018628,0.038881,0.0019277,0.00032148,0.013964,0.0089164,0.069234
HUN,0.025237,0.02449,0.024087,0.024058,0.022856,0.022232,0.020791,0.018722,0.018766,0.019358,0.020418,0.020265,0.022884,0.012969,0.025857,0.018857,0.020167,0.018379,0.013221,0.023911,0.0075112,0.019989,0.012183,0.018189,0.0092148,0.023285,0.035534,0.011845,0.017311,0.018082,0.0090837,0.018965
IRL,NaN,NaN,NaN,NaN,0.46087,0.43732,0.40888,0.47281,0.4472,0.45768,0.48284,0.41336,0.39095,0.37072,0.42907,0.51225,0.38097,0.55359,0.50967,0.49939,0.43937,0.41154,0.39921,0.4024,0.6259,0.45141,0.36934,0.42409,0.4213,0.4205,0.38139,0.63727
ISL,NaN,NaN,NaN,NaN,3.72,3.7227,3.7221,3.7214,3.7203,3.7187,3.7191,3.7165,3.7128,3.7084,3.7025,3.6988,3.6936,3.6904,3.6868,3.6819,3.6781,3.6644,3.6562,3.6547,3.653,3.6513,3.6494,3.6476,3.6459,3.6442,3.6424,3.6408
ITA,NaN,NaN,NaN,NaN,1.4833,0.67127,0.79529,1.748,0.94541,0.3462,0.40159,0.95382,1.2204,0.57517,0.93285,0.60937,0.32762,0.72534,0.42855,0.35932,0.29434,1.8342,0.49437,0.59629,0.35691,0.56988,1.2116,0.19011,0.34355,0.29075,0.3959,1.4811
JPN,NaN,NaN,NaN,NaN,0.085432,0.082388,0.07958,0.10246,0.09441,0.083113,0.10604,0.11243,0.083905,0.077074,0.079683,0.084675,0.093954,0.074021,0.083425,0.079738,0.071172,0.070675,0.093742,0.0785,0.072335,0.073934,0.069396,0.071013,0.089999,0.073159,0.067285,0.08913
KAZ,NaN,NaN,NaN,NaN,0.00575,0.01075,0.006,0.00525,0.0195,0.09175,0.039,0.37575,0.05475,0.092,0.057,0.08325,0.0655,0.152,0.09925,0.0575,0.1015,0.12375,0.018,0.01,0.02225,0.0105,0.0095,0.001925,0.01375,0.033325,0.003475,0.003475
LTU,NaN,NaN,NaN,NaN,0.0030045,0.002749,0.0060606,0.0038114,0.0038114,0.0038114,0.0038114,0.0038114,0.0027124,0.0037673,0.0037095,0.0029211,0.0052406,0.0041078,0.003947,0.00099375,0.012098,0.00086918,0.0016096,0.0039613,0.001396,0.0023866,0.0010828,0.0008871,0.0028782,0.0013029,0.00068799,0.00030695
LVA,NaN,NaN,NaN,NaN,0.49905,0.49185,0.56969,0.49242,0.48816,0.49544,0.49531,0.49572,0.4941,0.52055,0.50532,0.46813,0.49278,0.46981,0.4617,0.43612,0.47523,0.42919,0.42469,0.4402,0.4446,0.45362,0.4646,0.47822,0.49739,0.50728,0.51957,0.53324
