code,CO2AR4_IPC1_TOTAL_NET_HISTCR_PRIMAPHIST21
entity,CO2
category,IPC1
name_category,Energy
type,NET
class,TOTAL
source,PRIMAPHIST21
descr,Result of CO2_IPC1B3+IPC1B2+IPC1B1_TOTAL_NET_HISTCR_PRIMAPHIST21X+CO2_IPC1A_TOTAL_NET_HISTCR_PRIMAPHIST21X - regarding information just missing in one of the tables as zero | built by Johannes Guetschow
note,calculated by the function combine_tables_varying_in_one_sheet_as by CC and JN from PRIMAP | built by Johannes Guetschow
scenario,HISTCR
datatype,CountryYearMatrix
tablekind,usr
family,emi
subsource,Summary1.As1; Table1.A(a)s1; Table1.B.1; Table1.B.2; Table10s2; Table1s1
unit,MtCO2eq
gwp,AR4
iso3,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ABW,0.040331,0.042459,0.044752,0.047201,0.049798,0.052532,0.055396,0.05838,0.061476,0.064674,0.067966,0.071382,0.074962,0.078712,0.082633,0.086732,0.091012,0.095476,0.10013,0.10498,0.11002,0.11536,0.12106,0.12709,0.13343,0.14005,0.14692,0.154,0.16127,0.1687,0.17626,0.18398,0.19191,0.20007,0.2085,0.21721,0.22623,0.23559,0.2453,0.25539,0.28585,0.297,0.30945,0.32312,0.33793,0.35379,0.37061,0.3883,0.40679,0.42599,0.44582,0.46727,0.49113,0.51696,0.54433,0.5728,0.60193,0.63129,0.66044,0.68894,0.71637,0.74268,0.7683,0.79352,0.81858,0.84376,0.86932,0.89552,0.92264,0.95093,0.98066,1.0117,1.0439,1.0772,1.1116,1.3662,1.762,1.7354,4.5476,5.7052,6.9815,5.9468,5.7721,6.1573,6.8609,7.921,8.4591,10.2268,10.9645,10.3203,8.5433,10.5573,6.1515,9.935,12.4565,14.4509,15.8853,17.4851,17.8162,9.4857,1.1552,1.8219,1.052,1.2175,2.4627,2.0371,2.6346,1.7994,1.5762,2.029,1.7447,1.8208,1.9996,1.9154,1.8623,1.6708,1.5624,1.9246,1.7896,2.3422,2.6196,2.2799,2.2107,2.4523,2.2228,1.6097,3.4385,1.796,1.5295,1.6045,1.6512,1.5728,1.7585,0.90376,2.2568,2.6415,0.17967,0.44734,0.61235,0.64903,1.639,1.683,1.463,1.595,1.6134,1.6684,1.6904,1.7454,1.7967,1.8077,2.3797,2.4091,2.4384,2.5633,2.6182,2.7209,2.7171,2.8236,2.6586,2.6292,2.5081,2.5009,1.3495,0.86192,0.87293,0.89141,0.91728,0.91232
AFG,0.00014704,0.0001548,0.00016316,0.00017209,0.00018155,0.00019152,0.00020196,0.00021284,0.00022413,0.00023579,0.00024779,0.00026025,0.0002733,0.00028697,0.00030127,0.00031621,0.00033181,0.00034809,0.00036506,0.00038273,0.00040112,0.00042058,0.00044136,0.00046336,0.00048648,0.0005106,0.00053563,0.00056145,0.00058796,0.00061505,0.00064262,0.00067075,0.00069966,0.00072943,0.00076016,0.00079192,0.00082481,0.00085891,0.00089432,0.00093111,0.0010582,0.0011018,0.0011511,0.0012057,0.0012652,0.0013293,0.0013975,0.0014694,0.0015447,0.001623,0.0017038,0.0017908,0.0018867,0.0019905,0.0021007,0.0022162,0.0023356,0.0024577,0.0025813,0.0027051,0.0028277,0.0029591,0.0031059,0.0032626,0.0034233,0.0035825,0.0037343,0.0038732,0.0039934,0.0040892,0.0041549,0.0041975,0.0042297,0.0042543,0.0042741,0.0042921,0.0043111,0.0043339,0.0043634,0.0044024,0.0044538,0.0048184,0.0057219,0.0070549,0.008708,0.010572,0.012537,0.014494,0.016333,0.017945,0.01922,0.020195,0.021012,0.021718,0.022361,0.022991,0.023655,0.024401,0.026191,0.014667,0.088001,0.091667,0.095334,0.10267,0.11,0.154,0.18333,0.29334,0.33,0.36667,0.39967,0.46934,0.66001,0.65634,0.77734,0.92401,1.0047,1.2173,1.1807,0.89101,1.6207,1.8517,1.485,1.573,1.8407,2.057,1.903,2.321,2.0937,2.1707,1.7307,1.947,2.057,2.5154,2.772,3.4687,3.0984,3.0764,2.816,2.7244,2.5594,2.3834,1.3347,1.287,1.232,1.1843,1.1183,1.034,0.97901,0.76267,0.74801,0.79201,1.0413,1.1587,0.91301,1.298,1.628,2.255,4.1874,6.7541,8.4407,12.2211,10.7361,9.9881,10.9124,11.4136,12.9683,13.3738
AGO,0.0011353,0.0011952,0.0012597,0.0013287,0.0014018,0.0014787,0.0015593,0.0016433,0.0017305,0.0018205,0.0019132,0.0020093,0.0021101,0.0022156,0.002326,0.0024414,0.0025619,0.0026876,0.0028186,0.002955,0.003097,0.0032472,0.0034077,0.0035776,0.003756,0.0039423,0.0041355,0.0043349,0.0045396,0.0047487,0.0049616,0.0051788,0.005402,0.0056319,0.0058691,0.0061143,0.0063683,0.0066316,0.0069049,0.007189,0.0078529,0.0081389,0.0084487,0.008781,0.0091345,0.0095078,0.0098996,0.010308,0.010733,0.011172,0.011625,0.012127,0.012703,0.013332,0.013994,0.014666,0.015329,0.015962,0.016543,0.017052,0.017468,0.017808,0.018107,0.018375,0.01862,0.018851,0.019076,0.019304,0.019545,0.019806,0.020096,0.020397,0.02069,0.020985,0.021289,0.021612,0.021962,0.022348,0.022778,0.023261,0.023806,0.024503,0.025416,0.026516,0.027773,0.029157,0.030638,0.032188,0.033775,0.035371,0.036946,0.038509,0.040102,0.041742,0.043446,0.04523,0.047113,0.04911,0.051239,0.053516,0.18333,0.24934,0.31167,0.26034,0.33,0.37767,0.45834,0.55367,0.50967,0.54267,0.473,0.374,1.1,1.056,1.1183,1.067,1.4227,0.85434,1.5217,2.5924,3.3624,3.1497,4.1984,4.4954,4.499,4.0884,3.135,3.3844,5.214,5.3057,5.2214,5.1554,4.5284,5.005,4.829,4.5247,4.4844,5.6394,4.631,4.5064,4.9904,4.9647,5.0454,5.6504,3.7694,10.8754,10.3218,7.2307,7.1317,9.0531,9.4418,9.4564,12.3678,8.7157,18.4142,18.4985,21.5785,24.4532,24.8199,26.8916,28.3069,29.5903,32.597,31.6143,33.5136,35.6146,37.0125,37.8134
AIA,0.0003279,0.0003452,0.00036384,0.00038375,0.00040486,0.00042709,0.00045037,0.00047464,0.0004998,0.00052581,0.00055257,0.00058034,0.00060945,0.00063993,0.00067182,0.00070514,0.00073993,0.00077623,0.00081407,0.00085348,0.00089449,0.00093787,0.00098422,0.0010333,0.0010848,0.0011386,0.0011944,0.001252,0.0013111,0.0013715,0.001433,0.0014958,0.0015602,0.0016266,0.0016951,0.001766,0.0018393,0.0019154,0.0019943,0.0020764,0.0021617,0.0022505,0.0023429,0.0024393,0.0025398,0.0026446,0.002754,0.0028683,0.0029877,0.0031123,0.0032425,0.0033899,0.0035614,0.00375,0.003949,0.0041513,0.0043502,0.0045387,0.0047099,0.004857,0.0049731,0.0050655,0.0051475,0.0052211,0.005288,0.0053503,0.0054099,0.0054686,0.0055285,0.0055914,0.0056592,0.0057284,0.005795,0.0058602,0.0059255,0.0059922,0.0060616,0.0061352,0.0062142,0.0063,0.006394,0.0065002,0.0066206,0.0067535,0.0068971,0.0070498,0.0072097,0.0073752,0.0075445,0.007716,0.0078877,0.008056,0.0082208,0.0083861,0.008556,0.0087346,0.0089257,0.0091336,0.0093622,0.0096155,0.0098976,0.010236,0.010651,0.011134,0.011674,0.012264,0.012895,0.013557,0.014243,0.014943,0.015648,0.016399,0.017231,0.018127,0.01907,0.021853,0.022853,0.02384,0.024528,0.026069,0.027987,0.041273,0.042571,0.04658,0.046222,0.044451,0.04602,0.047484,0.048901,0.051569,0.056138,0.056764,0.051659,0.05121,0.051653,0.04782,0.047641,0.049426,0.048992,0.051226,0.051801,0.051801,0.055501,0.066602,0.066602,0.066602,0.070302,0.070302,0.077702,0.081402,0.088802,0.096202,0.096202,0.10347,0.12166,0.12902,0.14368,0.15101,0.15095,0.14703,0.15069,0.14336,0.14336,0.13602,0.14332,0.14631,0.15051,0.14966
ALB,0.00063193,0.00066527,0.00070119,0.00073957,0.00078025,0.0008231,0.00086797,0.00091473,0.00096323,0.0010133,0.0010649,0.0011184,0.0011745,0.0012333,0.0012947,0.001359,0.001426,0.001496,0.0015689,0.0016448,0.0017239,0.0018075,0.0018968,0.0019914,0.0020907,0.0021944,0.0023019,0.0024129,0.0025268,0.0026433,0.0027618,0.0028827,0.0030069,0.0031348,0.0032669,0.0034034,0.0035447,0.0036913,0.0038434,0.0040016,0.0043837,0.0045476,0.0047314,0.0049338,0.0051537,0.0053898,0.0056408,0.0059055,0.0061826,0.0064709,0.0067692,0.0071277,0.0075806,0.008102,0.0086658,0.0092463,0.0098176,0.010354,0.010829,0.011217,0.011493,0.011668,0.011784,0.011855,0.011896,0.011923,0.011949,0.011991,0.012063,0.01218,0.012357,0.012664,0.013136,0.013735,0.014423,0.015163,0.015916,0.016645,0.017313,0.017881,0.018311,0.018636,0.018921,0.0067955,0.0068186,0.011554,0.057156,0.12791,0.15307,0.18923,0.30083,0.26938,0.32279,0.2017,0.069599,0.055383,0.21093,0.40107,0.30513,0.43871,0.12903,0.17315,0.16242,0.17857,0.21682,0.28031,0.35168,0.63685,0.50542,0.61128,0.86007,0.96256,1.0398,0.87334,0.84675,0.91134,1.0719,1.1114,1.2627,1.3278,1.536,1.7985,2.3533,2.1771,1.7652,1.855,1.9952,2.3175,2.6356,3.0972,2.0267,3.0047,2.9788,3.1178,3.199,3.2233,3.3026,3.0353,3.0122,3.8444,3.0719,4.9233,3.0984,2.9956,3.3009,3.1792,3.0944,3.2704,3.9979,4.3288,2.9887,3.3729,3.4789,3.6497,3.8972,3.8364,3.7506,3.9265,3.9848,4.3209,4.4621,4.9056,4.3096,4.4252,5.2204,4.5284,4.7457,4.8399
AND,0.0055157,0.0058067,0.0061203,0.0064552,0.0068103,0.0071843,0.0075759,0.0079841,0.0084074,0.0088448,0.0092949,0.0097621,0.010252,0.010765,0.011301,0.011861,0.012447,0.013057,0.013694,0.014357,0.015047,0.015776,0.016556,0.017381,0.018248,0.019153,0.020092,0.021061,0.022055,0.023071,0.024106,0.025161,0.026245,0.027362,0.028515,0.029706,0.03094,0.032219,0.033547,0.034927,0.038299,0.03971,0.041246,0.042899,0.044663,0.046529,0.048491,0.050542,0.052674,0.054881,0.057154,0.059672,0.06255,0.065691,0.068996,0.072368,0.075708,0.078918,0.0819,0.084557,0.08679,0.088654,0.090306,0.091793,0.093165,0.094471,0.095761,0.097084,0.098488,0.10002,0.10174,0.10378,0.10619,0.10884,0.11163,0.11446,0.1172,0.11974,0.12198,0.12381,0.1251,0.12609,0.12704,0.12795,0.1288,0.12956,0.13023,0.13078,0.13121,0.13148,0.13159,0.13139,0.13077,0.12986,0.12875,0.12754,0.12633,0.12523,0.12433,0.12374,0.12356,0.12439,0.12665,0.13014,0.13466,0.14,0.14597,0.15237,0.15901,0.16567,0.17217,0.17972,0.18926,0.20023,0.21203,0.22408,0.2358,0.24661,0.25592,0.26314,0.23638,0.25102,0.27205,0.30584,0.30625,0.29326,0.32996,0.32701,0.34872,0.36421,0.36175,0.33504,0.33329,0.33178,0.3341,0.33778,0.33902,0.34374,0.35535,0.38484,0.39303,0.39987,0.40719,0.41784,0.42004,0.44712,0.47694,0.48843,0.51515,0.53836,0.5495,0.55065,0.55782,0.55954,0.58533,0.60037,0.56875,0.56211,0.5621,0.53812,0.53772,0.50756,0.50673,0.49626,0.4821,0.48288,0.48882,0.49083
ANNEXI,197.8865,200.3945,209.1131,218.8193,256.7727,261.5026,279.0731,281.7224,285.028,302.2333,330.903,347.8838,353.9367,377.8049,406.981,431.8012,444.9252,477.1411,490.3318,520.7675,531.9414,565.0997,625.5573,664.7245,622.5475,674.6378,683.2511,697.2071,699.402,750.3762,847.7345,876.6681,926.2969,984.6007,995.4863,1002.9537,1018.6446,1068.4708,1184.4344,1180.7118,1288.7429,1348.0935,1357.8724,1337.5747,1383.2282,1464.194,1510.0738,1579.7258,1663.8133,1818.6513,1920.0748,1977.9218,2028.2418,2213.4684,2232.1916,2381.2578,2481.2117,2809.8412,2686.222,2801.7751,2941.356,2979.8943,3138.1196,3386.7806,3075.4801,3035.1896,3275.1591,3424.1478,3383.3558,2902.0278,3359.9594,2907.758,3065.8619,3510.2758,3503.3545,3542.554,3488.9595,3823.7047,3785.335,4069.8792,3742.5057,3347.6425,3012.5639,3169.7152,3421.9528,3570.0544,3918.2598,4174.619,3906.3852,4129.2786,4504.2656,4619.3058,4705.8198,4861.6765,4826.2587,4031.8593,4315.9952,4814.782,5086.7661,4839.3167,5327.2858,5672.7325,5699.2937,5843.1002,5873.9452,6385.5802,6778.7751,6907.7093,6810.4237,6966.2996,7296.4809,7457.2751,7787.7085,8243.6869,8629.8403,8962.535,9328.2616,9694.1996,10165.6701,10757.1149,11490.7787,11692.8612,12195.6352,12780.2746,12602.3747,12370.8822,13010.8507,13221.9213,13599.1516,13891.5511,13713.0505,13208.0401,12893.6397,12896.9997,13173.5909,13492.9308,13502.0104,13908.9034,14304.0681,14435.674,14115.8826,13890.27,13435.7313,13314.0804,13134.2454,13225.6618,13506.0426,13407.5339,13422.894,13481.3047,13680.6311,13713.3901,13747.6259,13957.499,14084.3429,14135.5744,14099.3326,14207.4803,13879.2331,13015.8427,13429.4125,13281.8897,13111.2677,13096.4089,12892.5814,12744.1064,12620.0813,12629.9035
ANT,0.21608,0.22748,0.23976,0.25289,0.2668,0.28145,0.29679,0.31278,0.32936,0.3465,0.36413,0.38243,0.40162,0.4217,0.44272,0.46467,0.4876,0.51152,0.53646,0.56243,0.58945,0.61804,0.64858,0.68092,0.71489,0.75034,0.78711,0.82506,0.86401,0.90383,0.94434,0.98568,1.0282,1.0719,1.1171,1.1637,1.2121,1.2622,1.3142,1.3683,1.5315,1.5912,1.6579,1.7312,1.8105,1.8954,1.9855,2.0804,2.1794,2.2823,2.3885,2.5034,2.6313,2.7697,2.9163,3.0688,3.2249,3.3822,3.5384,3.6911,3.838,3.979,4.1163,4.2513,4.3856,4.5205,4.6574,4.7978,4.9431,5.0947,5.254,5.4205,5.5929,5.7713,5.9556,7.3197,9.4398,9.2977,24.3643,30.5658,37.4039,31.8605,30.9243,32.9884,36.7581,42.4375,45.3204,54.7911,58.7432,55.2917,45.7715,56.5617,32.9575,53.2276,66.7369,77.4219,85.1067,93.6782,95.4518,50.4994,5.5442,8.7338,5.053,5.8487,11.8083,9.7794,12.6406,9.6407,8.4449,10.8705,9.3471,9.755,10.7129,10.2618,9.9775,8.9516,8.3707,10.3112,9.5882,12.5483,14.0346,12.2146,11.8438,13.1385,11.9087,8.6241,18.4223,9.6221,8.1946,8.5963,8.8466,8.4263,9.4213,4.842,12.091,14.152,3.0397,2.7024,2.662,5.0674,5.4267,4.3304,3.5677,5.5074,5.2801,5.2251,4.8877,5.1151,0.28235,2.1157,5.6137,5.7164,5.5111,5.5147,5.7861,5.7347,5.9767,6.7284,6.4717,6.6221,4.5614,5.8191,7.0071,6.2517,6.9374,7.0842,7.2898,7.2503
AOSIS,0.28657,0.30169,0.31798,0.33538,0.35383,0.37326,0.39361,0.41482,0.43681,0.45953,0.48292,0.5072,0.53264,0.55928,0.58714,0.61626,0.64667,0.6784,0.71146,0.74591,0.78175,0.81967,0.86017,0.90305,0.9481,0.99512,1.0439,1.0942,1.1459,1.1987,1.2524,1.3072,1.3636,1.4216,1.4815,1.5434,1.6075,1.6739,1.7429,1.8147,2.0285,2.1061,2.1928,2.2884,2.3916,2.5023,2.6197,2.7433,2.8724,3.0061,3.1444,3.296,3.4639,3.6485,3.8429,4.045,4.2503,4.4565,4.6585,4.8794,5.1039,5.3369,5.5769,5.7662,5.9936,6.1992,6.4442,6.7265,7.1435,7.2065,7.6215,7.9619,8.1659,8.6293,9.3237,11.0447,13.2494,13.3188,29.5912,36.2305,43.1924,37.1465,36.4732,39.4413,44.0159,50.0965,53.7243,64.7902,69.9131,67.6476,59.4583,69.4394,46.6017,66.4822,80.4632,91.3693,98.9549,108.6093,111.0327,66.978,16.2942,21.2063,18.25,19.4286,25.4311,24.7544,27.3011,31.3432,35.0725,35.4544,31.3506,33.358,39.7873,33.1248,39.325,39.3035,38.375,44.515,45.6808,51.8023,66.3717,69.3308,74.4351,83.5498,82.8664,86.9921,102.3251,98.5202,98.8385,103.9979,102.5557,95.2796,97.9124,90.1148,98.4921,104.2917,91.4113,93.6169,94.5737,103.089,103.9897,101.9356,108.0227,110.2792,118.0239,109.6418,120.2557,124.0608,117.2634,128.3463,139.6962,142.7795,142.3892,133.3966,131.3355,137.859,146.2803,141.2167,154.9577,167.9465,176.3003,175.5486,177.5213,203.7773,205.2622,211.3941,219.4826,222.5755
ARE,2.6235e-05,2.7619e-05,2.9111e-05,3.0704e-05,3.2393e-05,3.4172e-05,3.6035e-05,3.7976e-05,3.999e-05,4.207e-05,4.4211e-05,4.6433e-05,4.8762e-05,5.1201e-05,5.3752e-05,5.6418e-05,5.9202e-05,6.2106e-05,6.5134e-05,6.8287e-05,7.1568e-05,7.504e-05,7.8748e-05,8.2673e-05,8.6798e-05,9.1102e-05,9.5567e-05,0.00010017,0.0001049,0.00010974,0.00011466,0.00011968,0.00012483,0.00013015,0.00013563,0.0001413,0.00014716,0.00015325,0.00015957,0.00016613,0.0001888,0.00019658,0.00020538,0.00021512,0.00022574,0.00023717,0.00024934,0.00026217,0.00027561,0.00028957,0.000304,0.00031951,0.00033663,0.00035514,0.00037481,0.00039541,0.00041672,0.00043851,0.00046056,0.00048264,0.00050453,0.00052796,0.00055416,0.00058211,0.00061079,0.00063919,0.00066628,0.00069106,0.0007125,0.0007296,0.00074132,0.00074893,0.00075467,0.00075906,0.0007626,0.0007658,0.00076919,0.00077325,0.00077851,0.00078548,0.00079466,0.0008597,0.0010209,0.0012587,0.0015537,0.0018862,0.0022368,0.0025859,0.0029141,0.0032017,0.0034293,0.0036033,0.003749,0.0038749,0.0039897,0.004102,0.0042205,0.0043537,0.0045102,0.0046988,0.0049279,0.0052632,0.0057518,0.0063747,0.007113,0.0079478,0.0088602,0.0098312,0.010842,0.0094832,0.0094832,0.0094832,0.015805,0.018966,0.015805,0.018966,0.022128,0.79343,1.0716,20.3471,15.1111,20.9448,23.1636,30.2401,30.8439,30.5128,38.7215,37.4857,42.8507,33.6984,33.5925,32.6535,32.1916,30.8923,40.1293,42.8445,40.5163,40.4373,40.672,45.813,43.7118,47.7913,48.7013,55.2776,60.9987,59.1048,48.6095,50.1188,69.7155,67.1182,98.7234,94.6803,82.7407,109.6315,121.8177,130.6143,130.0145,134.3587,147.8963,153.6587,140.9902,140.4636,147.1667,138.783,167.8381,182.7379,189.1174,184.2525
