code,CO2AR4_IPC2_TOTAL_NET_HISTCR_PRIMAPHIST21
entity,CO2
category,IPC2
name_category,IndustrialProcessesAndProductUse
type,NET
class,TOTAL
source,PRIMAPHIST21
descr,Result of CO2_IPC2H+IPC2G+IPC2D+IPC2C+IPC2B_TOTAL_NET_HISTCR_PRIMAPHIST21X+CO2_IPC2A_TOTAL_NET_HISTCR_PRIMAPHIST21X - regarding information just missing in one of the tables as zero | built by Johannes Guetschow
note,calculated by the function combine_tables_varying_in_one_sheet_as by CC and JN from PRIMAP | built by Johannes Guetschow
scenario,HISTCR
datatype,CountryYearMatrix
tablekind,usr
family,emi
subsource,Summary1.As1; Table10s2; Table2(I)s1; Table2(I)s2
unit,MtCO2eq
gwp,AR4
iso3,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ABW,7.4656e-05,7.8595e-05,8.2839e-05,8.7373e-05,9.2179e-05,9.7241e-05,0.00010254,0.00010807,0.0001138,0.00011972,0.00012581,0.00013213,0.00013876,0.0001457,0.00015296,0.00016055,0.00016847,0.00017673,0.00018535,0.00019432,0.00020366,0.00021354,0.00022409,0.00023526,0.000247,0.00025924,0.00027195,0.00028506,0.00029852,0.00031228,0.00032627,0.00034056,0.00035523,0.00037035,0.00038595,0.00040208,0.00041878,0.00043609,0.00045407,0.00047275,0.00046544,0.00046544,0.00046544,0.00046544,0.00046544,0.00046544,0.00046544,0.00046544,0.00046544,0.00046544,0.00046544,0.00046549,0.0004656,0.00046577,0.00046597,0.00046619,0.00046641,0.00046661,0.00046678,0.00046689,0.00046694,0.00046694,0.00046694,0.00046694,0.00046694,0.00046694,0.00046694,0.00046694,0.00046694,0.00046694,0.00046694,0.00048164,0.00052338,0.00058859,0.00067369,0.00077513,0.00088932,0.0010127,0.0011417,0.0012728,0.0014023,0.0015363,0.0016833,0.0018442,0.0020195,0.0022098,0.0024157,0.002638,0.0028771,0.0031339,0.0034088,0.0037179,0.0040749,0.0044766,0.00492,0.0054018,0.005919,0.0064685,0.0070471,0.0076519,0.0082795,0.0089469,0.0096725,0.010456,0.011297,0.012195,0.01315,0.014161,0.015228,0.016351,0.017529,0.018771,0.020093,0.021505,0.02302,0.024646,0.026395,0.028278,0.030304,0.032486,0.031035,0.031317,0.031603,0.031873,0.032102,0.032265,0.032379,0.032423,0.032474,0.032565,0.032747,0.033075,0.03351,0.034,0.034427,0.034746,0.034865,0.034894,0.034976,0.035409,0.036337,0.037869,0.039899,0.042166,0.044335,0.046127,0.047404,0.048346,0.049034,0.04965,0.050342,0.05115,0.052011,0.052882,0.05368,0.054377,0.055119,0.055845,0.056574,0.057282,0.057991,0.058793,0.059518,0.060331,0.061086,0.061841,0.062596,0.063352
AFG,0.00014758,0.00015536,0.00016375,0.00017271,0.00018221,0.00019222,0.0002027,0.00021362,0.00022495,0.00023665,0.00024869,0.00026119,0.00027429,0.00028801,0.00030236,0.00031736,0.00033302,0.00034936,0.00036638,0.00038412,0.00040258,0.00042211,0.00044296,0.00046505,0.00048825,0.00051246,0.00053758,0.00056349,0.0005901,0.00061729,0.00064496,0.00067319,0.00070221,0.00073209,0.00076292,0.0007948,0.00082781,0.00086204,0.00089757,0.0009345,0.00092288,0.00092422,0.00092567,0.0009272,0.00092883,0.00093053,0.00093232,0.00093417,0.0009361,0.00093809,0.00094013,0.00094224,0.00094443,0.00094672,0.00094911,0.00095161,0.00095423,0.00095696,0.00095984,0.00096285,0.000966,0.00096909,0.000972,0.0009749,0.00097795,0.00098134,0.00098522,0.00098977,0.00099516,0.0010016,0.0010091,0.0010283,0.0010679,0.001126,0.0012006,0.0012896,0.001391,0.0015027,0.0016229,0.0017494,0.0018803,0.0020231,0.0021885,0.0023791,0.0025974,0.0028459,0.0031273,0.003444,0.0037986,0.0041936,0.0046316,0.005199,0.0059749,0.0069512,0.0081199,0.0094728,0.011002,0.012699,0.014556,0.016564,0.018716,0.021342,0.024731,0.028816,0.03353,0.038805,0.044574,0.05077,0.057325,0.082342,0.089413,0.1005,0.11582,0.1464,0.16686,0.1991,0.21412,0.20475,0.20014,0.19617,0.19493,0.19424,0.19175,0.21413,0.22681,0.22692,0.28874,0.25772,0.24093,0.24421,0.20783,0.21967,0.22607,0.18752,0.22632,0.2168,0.2293,0.23278,0.22872,0.22811,0.22226,0.19507,0.20256,0.18087,0.17582,0.17317,0.16649,0.16624,0.16439,0.16414,0.17804,0.17075,0.1764,0.18465,0.17502,0.17509,0.17459,0.17032,0.17684,0.17943,0.19543,0.18968,0.24222,0.21725,0.24173,0.23894,0.25781,0.2627
AGO,2.5169e-05,2.6496e-05,2.7927e-05,2.9456e-05,3.1076e-05,3.2782e-05,3.457e-05,3.6432e-05,3.8364e-05,4.036e-05,4.2414e-05,4.4545e-05,4.678e-05,4.912e-05,5.1567e-05,5.4125e-05,5.6795e-05,5.9582e-05,6.2486e-05,6.5511e-05,6.8659e-05,7.1989e-05,7.5546e-05,7.9312e-05,8.3269e-05,8.7398e-05,9.1682e-05,9.6101e-05,0.00010064,0.00010528,0.00011,0.00011481,0.00011976,0.00012486,0.00013011,0.00013555,0.00014118,0.00014702,0.00015308,0.00015938,0.00015691,0.00015691,0.00015691,0.00015691,0.00015691,0.00015691,0.00015691,0.00015691,0.00015691,0.00015691,0.00015691,0.00015692,0.00015695,0.000157,0.00015706,0.00015715,0.00015726,0.00015738,0.00015753,0.00015769,0.00015788,0.00016163,0.00017192,0.0001879,0.00020872,0.00023352,0.00026145,0.00029166,0.0003233,0.0003555,0.00038743,0.00042096,0.00045848,0.00049987,0.00054505,0.00059388,0.00064626,0.00070209,0.00076125,0.00082364,0.00088914,0.00095712,0.0010281,0.0011036,0.0011854,0.0012751,0.0013743,0.0014845,0.0016076,0.001745,0.0018984,0.0021004,0.0023758,0.0027144,0.0031059,0.0035401,0.0040069,0.004496,0.0049973,0.0055005,0.0059954,0.0064871,0.0069905,0.02205,0.029861,0.044958,0.052826,0.075269,0.094113,0.087562,0.09196,0.08914,0.097259,0.10906,0.12095,0.13651,0.14857,0.15715,0.17306,0.21101,0.244,0.28443,0.33218,0.40533,0.39869,0.34866,0.17304,0.17203,0.21703,0.21557,0.14231,0.14529,0.1449,0.13138,0.19002,0.18911,0.18807,0.18692,0.45876,0.45402,0.14451,0.14564,0.1648,0.14495,0.14302,0.12616,0.1572,0.17002,0.19173,0.13311,0.13126,0.27413,0.29244,0.33408,0.35804,0.57981,0.59977,0.60255,0.74771,0.75747,0.64264,0.63829,0.67614,0.8462,1.0378,1.058,1.0213,1.0226
AIA,4.2271e-09,4.4501e-09,4.6905e-09,4.9472e-09,5.2193e-09,5.5059e-09,5.8061e-09,6.1189e-09,6.4433e-09,6.7785e-09,7.1235e-09,7.4815e-09,7.8568e-09,8.2498e-09,8.6608e-09,9.0904e-09,9.5389e-09,1.0007e-08,1.0495e-08,1.1003e-08,1.1531e-08,1.2091e-08,1.2688e-08,1.3321e-08,1.3985e-08,1.4679e-08,1.5398e-08,1.6141e-08,1.6903e-08,1.7682e-08,1.8474e-08,1.9283e-08,2.0114e-08,2.097e-08,2.1853e-08,2.2766e-08,2.3712e-08,2.4692e-08,2.571e-08,2.6768e-08,2.7868e-08,2.9012e-08,3.0204e-08,3.1446e-08,3.2742e-08,3.4093e-08,3.5504e-08,3.6977e-08,3.8516e-08,4.0123e-08,4.1802e-08,4.3702e-08,4.5912e-08,4.8344e-08,5.0909e-08,5.3517e-08,5.6081e-08,5.8511e-08,6.0719e-08,6.2615e-08,6.4111e-08,6.5303e-08,6.636e-08,6.7308e-08,6.8171e-08,6.8974e-08,6.9742e-08,7.05e-08,7.1271e-08,7.2082e-08,7.2957e-08,7.3849e-08,7.4707e-08,7.5548e-08,7.6389e-08,7.7249e-08,7.8144e-08,7.9093e-08,8.0111e-08,8.1217e-08,8.2429e-08,8.3798e-08,8.535e-08,8.7063e-08,8.8915e-08,9.0883e-08,9.2945e-08,9.5078e-08,9.7261e-08,9.9471e-08,1.0169e-07,1.0386e-07,1.0598e-07,1.0811e-07,1.103e-07,1.126e-07,1.1507e-07,1.1775e-07,1.2069e-07,1.2396e-07,1.276e-07,1.3196e-07,1.3731e-07,1.4353e-07,1.505e-07,1.581e-07,1.6624e-07,1.7478e-07,1.8362e-07,1.9264e-07,2.0173e-07,2.1141e-07,2.2214e-07,2.3369e-07,2.4584e-07,2.8173e-07,2.9461e-07,3.0734e-07,3.1621e-07,3.3607e-07,3.2e-07,3.23e-07,3.25e-07,3.28e-07,3.3e-07,3.32e-07,3.33e-07,3.35e-07,3.36e-07,3.36e-07,3.35e-07,3.33e-07,3.29e-07,3.27e-07,3.28e-07,3.33e-07,3.44e-07,3.6e-07,3.79e-07,3.98e-07,4.17e-07,4.33e-07,4.49e-07,4.63e-07,4.77e-07,4.9e-07,5.03e-07,5.15e-07,5.27e-07,5.4e-07,5.54e-07,5.69e-07,5.85e-07,6.01e-07,6.17e-07,6.32e-07,6.45e-07,6.57e-07,6.68e-07,6.79e-07,6.88e-07,6.98e-07,7.07e-07,7.3038e-07,7.4362e-07,7.5686e-07,7.701e-07,7.8334e-07
ALB,0.0056076,0.0059034,0.0062222,0.0065628,0.0069238,0.007304,0.0077022,0.0081171,0.0085475,0.0089922,0.0094498,0.0099248,0.010423,0.010944,0.011489,0.012059,0.012654,0.013275,0.013922,0.014596,0.015297,0.016039,0.016832,0.017671,0.018552,0.019472,0.020427,0.021412,0.022423,0.023456,0.024507,0.02558,0.026683,0.027818,0.02899,0.030201,0.031455,0.032756,0.034106,0.035509,0.035053,0.035064,0.035082,0.035105,0.035133,0.035165,0.035201,0.035241,0.035283,0.035326,0.035372,0.035422,0.03548,0.035546,0.035619,0.035699,0.035784,0.035874,0.035969,0.036067,0.036168,0.036274,0.036387,0.036508,0.036637,0.036774,0.03692,0.037076,0.037241,0.037416,0.037602,0.037803,0.038022,0.038261,0.038518,0.038795,0.039091,0.039406,0.039741,0.040096,0.04047,0.040854,0.041248,0.039569,0.039997,0.040471,0.044666,0.048933,0.04229,0.043071,0.04396,0.052502,0.046907,0.049141,0.051856,0.055034,0.058654,0.062697,0.067145,0.071978,0.084504,0.091368,0.10094,0.1128,0.12653,0.15638,0.18363,0.20418,0.22496,0.23822,0.25455,0.29246,0.30858,0.33233,0.34551,0.3739,0.38832,0.44748,0.50758,0.54313,0.54557,0.52277,0.55798,0.65868,0.68878,0.62769,0.66139,0.6877,0.7702,0.82611,0.89751,0.78492,0.75122,0.69683,0.75394,0.75897,0.78382,0.79608,0.73244,0.78756,0.7633,0.61469,0.23315,0.24907,0.20121,0.26306,0.25506,0.19494,0.18739,0.19698,0.21292,0.28182,0.35982,0.45084,0.44557,0.40611,0.39964,0.56448,0.59662,0.65409,0.76775,1.0265,1.2262,1.2703,1.2177,1.3683,1.3807,1.3811
AND,0.00028951,0.00030478,0.00032124,0.00033882,0.00035746,0.00037709,0.00039764,0.00041907,0.00044129,0.00046424,0.00048787,0.00051239,0.00053809,0.00056501,0.00059316,0.00062258,0.0006533,0.00068535,0.00071875,0.00075355,0.00078976,0.00082807,0.00086898,0.0009123,0.00095782,0.0010053,0.0010546,0.0011054,0.0011576,0.001211,0.0012652,0.0013206,0.0013776,0.0014362,0.0014967,0.0015592,0.001624,0.0016911,0.0017608,0.0018332,0.0018205,0.0018241,0.0018286,0.0018338,0.0018397,0.0018462,0.0018532,0.0018607,0.0018687,0.0018769,0.0018855,0.0018946,0.0019045,0.0019153,0.0019269,0.0019394,0.0019528,0.0019671,0.0019823,0.0019984,0.0020155,0.0020332,0.0020514,0.0020707,0.0020918,0.0021151,0.0021412,0.0021706,0.002204,0.0022419,0.0022849,0.0023506,0.0024522,0.0025832,0.0027371,0.0029075,0.0030879,0.0032718,0.0034528,0.0036245,0.0037803,0.0039266,0.0040737,0.0042209,0.0043676,0.0045132,0.004657,0.0047983,0.0049366,0.0050711,0.0052013,0.0053196,0.0054227,0.005516,0.0056051,0.0056956,0.005793,0.0059028,0.0060306,0.0061819,0.0063623,0.0066313,0.0070324,0.0075475,0.0081585,0.008847,0.009595,0.010384,0.011197,0.012014,0.012818,0.013673,0.014638,0.015686,0.01679,0.017921,0.019052,0.020157,0.021207,0.022175,0.020507,0.021165,0.023104,0.024573,0.02567,0.02364,0.025774,0.026078,0.026228,0.027506,0.027586,0.027248,0.025865,0.026083,0.027839,0.02781,0.028083,0.029956,0.03157,0.032265,0.033272,0.033667,0.034452,0.033732,0.035017,0.035206,0.035264,0.03584,0.036166,0.035768,0.036753,0.036525,0.036931,0.037703,0.038878,0.039391,0.04019,0.041579,0.038738,0.040193,0.043491,0.043446,0.038856,0.042646,0.043066,0.0435,0.043983,0.044443
ANNEXI,23.4227,28.4569,30.9265,34.5679,38.1856,43.4861,45.7279,46.9769,47.8407,51.7641,54.41,53.4945,55.6418,63.466,67.903,68.7496,69.6618,83.7266,93.1381,105.3188,110.8483,116.4726,140.3638,154.473,148.2742,151.1799,148.9068,163.1656,159.8184,192.2561,218.2665,230.1731,257.3408,278.2962,293.1071,298.2958,313.7437,335.3341,405.165,368.7158,379.9968,379.8085,379.5797,379.3137,379.0137,378.6831,378.3251,377.9428,377.5397,377.1189,378.8785,378.8442,379.1151,379.1835,378.9091,379.4773,380.3486,379.9611,379.3349,380.4616,381.198,380.5374,380.1072,380.4176,378.6454,377.1198,376.6642,375.4443,370.9251,370.8633,371.9897,370.4381,371.7066,374.0349,374.8651,375.2904,374.7385,390.5717,399.2418,400.0731,394.8942,382.2703,366.4616,357.6555,355.3381,350.4338,351.2381,347.4234,343.097,342.0714,337.8613,348.6007,356.5306,366.1985,374.2898,395.7292,436.0917,471.3354,509.4002,542.7851,576.7101,613.1947,651.1119,698.8436,747.1646,802.1022,854.0424,900.0461,944.585,995.7763,1034.8675,1064.4774,1083.8842,1089.3428,1101.4713,1098.3689,1103.3671,1104.5323,1117.5638,1137.0181,1180.2895,1168.8043,1225.3396,1278.4939,1258.2418,1181.0819,1227.203,1236.773,1351.6474,1378.499,1322.6904,1294.4187,1192.939,1178.8516,1205.959,1165.3039,1159.7221,1170.5951,1202.2684,1193.916,1193.6552,1119.0303,1090.955,1043.0562,1040.0654,1054.1409,1026.336,1039.9124,1012.1732,1019.6773,1042.2356,1010.9468,999.7796,1019.0367,1057.5877,1047.1852,1069.724,1083.1596,1027.7181,862.9792,945.8201,962.8038,949.7887,940.9057,935.8861,917.3428,907.6806,910.6775
ANT,0.00010131,0.00010666,0.00011242,0.00011857,0.00012509,0.00013196,0.00013915,0.00014665,0.00015443,0.00016246,0.00017073,0.00017931,0.0001883,0.00019772,0.00020757,0.00021787,0.00022862,0.00023984,0.00025153,0.0002637,0.00027637,0.00028978,0.0003041,0.00031926,0.00033518,0.00035181,0.00036905,0.00038684,0.00040511,0.00042377,0.00044277,0.00046215,0.00048207,0.00050258,0.00052375,0.00054564,0.0005683,0.00059179,0.00061619,0.00064154,0.00063163,0.00063163,0.00063163,0.00063163,0.00063163,0.00063163,0.00063163,0.00063163,0.00063163,0.00063163,0.00063163,0.00063169,0.00063184,0.00063207,0.00063234,0.00063264,0.00063294,0.00063322,0.00063344,0.0006336,0.00063365,0.00063365,0.00063365,0.00063365,0.00063365,0.00063365,0.00063365,0.00063365,0.00063365,0.00063365,0.00063365,0.00065361,0.00071026,0.00079875,0.00091424,0.0010519,0.0012068,0.0013743,0.0015493,0.0017272,0.001903,0.0020848,0.0022844,0.0025027,0.0027405,0.0029988,0.0032782,0.0035798,0.0039044,0.0042528,0.0046259,0.0050454,0.0055299,0.006075,0.0066766,0.0073305,0.0080324,0.008778,0.0095633,0.010384,0.011236,0.012141,0.013126,0.014189,0.01533,0.016549,0.017845,0.019217,0.020665,0.022189,0.023787,0.025473,0.027267,0.029184,0.031239,0.033446,0.035819,0.038374,0.041125,0.044085,0.042323,0.04281,0.043211,0.043551,0.043878,0.044219,0.044582,0.044972,0.045386,0.045798,0.046211,0.04662,0.047017,0.047434,0.047879,0.048382,0.04891,0.049485,0.050023,0.050462,0.050719,0.078562,0.072339,0.091232,0.085967,0.086081,0.086759,0.087826,0.088998,0.090228,0.091832,0.092469,0.092782,0.093284,0.095024,0.096793,0.099113,0.1015,0.10321,0.10177,0.10293,0.10281,0.103,0.1056,0.10664,0.10769,0.10873,0.10978
AOSIS,0.0043021,0.0045291,0.0047737,0.0050349,0.0053119,0.0056036,0.0059091,0.0062274,0.0065576,0.0068987,0.0072498,0.0076142,0.0079962,0.0083961,0.0088144,0.0092516,0.0097081,0.010184,0.010681,0.011198,0.011736,0.012305,0.012913,0.013557,0.014233,0.014939,0.015671,0.016427,0.017202,0.017995,0.018802,0.019625,0.020471,0.021342,0.022241,0.02317,0.024132,0.02513,0.026166,0.027242,0.03214,0.032146,0.032152,0.032159,0.032166,0.032174,0.032183,0.032192,0.032201,0.032211,0.032221,0.032235,0.032253,0.032276,0.032303,0.032331,0.032361,0.03239,0.032419,0.032446,0.03247,0.032502,0.032555,0.032625,0.03271,0.032808,0.032916,0.033031,0.033151,0.033274,0.033397,0.034423,0.037112,0.041246,0.046608,0.052978,0.060141,0.067877,0.075968,0.084198,0.092348,0.10078,0.11004,0.12016,0.13119,0.14316,0.15612,0.1701,0.18515,0.20132,0.21863,0.25059,0.27448,0.29106,0.31409,0.36198,0.41142,0.43545,0.48001,0.52201,0.56096,0.64629,0.75682,0.81454,0.8592,1.0222,1.1992,1.2901,1.3995,1.3741,1.2834,1.6305,1.7366,1.8392,2.0257,2.0715,2.6361,2.8019,3.0296,3.2967,3.3591,3.3439,4.2889,4.1691,4.4652,4.4195,5.1391,5.3703,6.0092,6.0957,6.5127,6.5229,7.3787,8.6858,8.9732,9.7327,9.7404,9.8284,10.6718,11.0782,10.6974,10.6239,10.6404,10.0628,11.2001,11.6552,12.5496,12.7787,14.1496,14.9658,14.826,15.7955,17.2534,18.5344,20.8325,25.7193,27.5144,28.1943,28.5019,28.3891,30.3216,30.4205,28.2159,33.6305,35.1175,36.4051,37.5723,38.7882
ARE,6.5634e-06,6.9096e-06,7.2828e-06,7.6813e-06,8.1039e-06,8.5489e-06,9.0149e-06,9.5006e-06,1.0004e-05,1.0525e-05,1.106e-05,1.1616e-05,1.2199e-05,1.2809e-05,1.3447e-05,1.4114e-05,1.4811e-05,1.5537e-05,1.6295e-05,1.7084e-05,1.7905e-05,1.8773e-05,1.9701e-05,2.0683e-05,2.1715e-05,2.2791e-05,2.3908e-05,2.5061e-05,2.6244e-05,2.7454e-05,2.8684e-05,2.994e-05,3.123e-05,3.2559e-05,3.3931e-05,3.5349e-05,3.6817e-05,3.8339e-05,3.9919e-05,4.1561e-05,4.1045e-05,4.1104e-05,4.1169e-05,4.1237e-05,4.1309e-05,4.1385e-05,4.1464e-05,4.1547e-05,4.1633e-05,4.1721e-05,4.1812e-05,4.1906e-05,4.2003e-05,4.2105e-05,4.2211e-05,4.2322e-05,4.2439e-05,4.2561e-05,4.2688e-05,4.2822e-05,4.2963e-05,4.31e-05,4.3229e-05,4.3358e-05,4.3494e-05,4.3644e-05,4.3817e-05,4.402e-05,4.4259e-05,4.4544e-05,4.4881e-05,4.5732e-05,4.7494e-05,5.0079e-05,5.3395e-05,5.7352e-05,6.1862e-05,6.6834e-05,7.2178e-05,7.7805e-05,8.3624e-05,8.9974e-05,9.7331e-05,0.00010581,0.00011552,0.00012657,0.00013908,0.00015317,0.00016894,0.00018651,0.00020599,0.00023122,0.00026573,0.00030915,0.00036113,0.0004213,0.0004893,0.00056477,0.00064735,0.00073668,0.0008324,0.00094917,0.0010999,0.0012816,0.0014912,0.0017258,0.0019824,0.002258,0.0025495,0.002854,0.0031685,0.0034995,0.0038582,0.0042482,0.0046734,0.0051373,0.0056439,0.0061967,0.0067996,0.0074563,0.015295,0.018133,0.021647,0.025758,0.030658,0.036116,0.12004,0.12595,0.53251,0.54546,0.71497,0.71377,0.8958,0.83551,2.461,2.4826,1.9271,2.1227,2.103,2.2469,2.7169,3.0341,3.1295,3.2465,3.5672,4.4163,4.6791,5.1358,6.3752,7.0771,6.6402,6.5043,7.0494,7.6369,8.3476,8.8711,12.0445,15.4776,20.5898,19.8894,20.3323,21.3156,20.3446,21.6873,23.0211,22.7624,23.4716,24.1809
