code,CO2AR4_IPC4_TOTAL_NET_HISTCR_PRIMAPHIST21
entity,CO2
category,IPC4
name_category,Waste
type,NET
class,TOTAL
source,PRIMAPHIST21
descr,Data read in by JG. LJ; interpolation of NaN values by 'perform_interpolation_on_table' Extrapolated with growthrates from CO2_IPC1A_TOTAL_NET_HISTCR_PRIMAPHIST21 | built by Johannes Guetschow
note,Renamed as composite source from CO2_IPC4_TOTAL_NET_HISTORY_CRF2019! | Renamed as composite source from CO2_IPC4_TOTAL_NET_PMHTHISTCR_TEMPSRC1! | Add the countries {AND.NAM} from CO2_IPC4_TOTAL_NET_HISTORY_BUR3IPCC2006I || Renamed as composite source from CO2_IPC4_TOTAL_NET_PMHTHISTCR_TEMPSRC2! | Add the countries {ARG.COL.IDN.MDA.MEX.MKD} from CO2_IPC4_TOTAL_NET_HISTORY_BUR2IPCC2006I || Renamed as composite source from CO2_IPC4_TOTAL_NET_PMHTHISTCR_TEMPSRC3! | Add the countries {MRT.TGO} from CO2_IPC4_TOTAL_NET_HISTORY_BUR1IPCC2006I || Pad values of country IDN... || Renamed as composite source from CO2_IPC4_TOTAL_NET_PMHTHISTCR_TEMPSRC4! | Add the countries {BRA.CHL.ETH.KEN.KOR.LBN.MUS.PRK} from CO2_IPC4_TOTAL_NET_HISTORY_UNFCCC2019BI || Renamed as composite source from CO2_IPC4_TOTAL_NET_PMHTHISTCR_TEMPSRC5! | Renamed as composite source from CO2_IPC4_TOTAL_NET_PMHTHISTCR_TEMPSRC6! | Renamed as composite source from CO2_IPC4_TOTAL_NET_PMHTHISTCR_TEMPSRC7! | Renamed as composite source from CO2_IPC4_TOTAL_NET_PMHTHISTCR_TEMPSRC8! | Renamed as composite source from CO2_IPC4_TOTAL_NET_PMHTHISTCR_TEMPSRC9! | Add the countries {ALB.BIH.BRN.CHN.DOM.GUY.HKG.KHM.MAC.MCO.MNE.MNG.MYS.PNG.SGP.SMR.SRB.SUR.THA.TLS.TWN.VAT} from CO2_IPC4_TOTAL_NET_HISTORY_EDGAR432I || Pad values of country AND... || Pad values of country AUS... || Pad values of country AUT... || Pad values of country BEL... || Pad values of country BGR... || Pad values of country BRA... || Pad values of country CAN... || Pad values of country CHE... || Pad values of country CZE... || Pad values of country DNK... || Pad values of country ESP... || Pad values of country FRA... || Pad values of country GBR... || Pad values of country GRC... || Pad values of country HRV... || Pad values of country IDN... || Pad values of country IRL... || Pad values of country ISL... || Pad values of country ITA... || Pad values of country JPN... || Pad values of country LIE... || Pad values of country LTU... || Pad values of country MDA... || Pad values of country MKD... || Pad values of country MLT... || Pad values of country NOR... || Pad values of country NZL... || Pad values of country POL... || Pad values of country PRK... || Pad values of country PRT... || Pad values of country ROU... || Pad values of country SVK... || Pad values of country SVN... || Pad values of country SWE... || Pad values of country UKR... || Renamed as composite source from CO2_IPC4_TOTAL_NET_PMHTHISTCR_TEMPSRC10! | Pad values of country HUN... || Pad values of country LVA... ||  | built by Johannes Guetschow
scenario,HISTCR
datatype,CountryYearMatrix
tablekind,csg
family,emi
subsource,Table5; Table10s2; Summary1.As2
unit,MtCO2eq
gwp,AR4
iso3,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ALB,1.9719e-07,2.0759e-07,2.188e-07,2.3077e-07,2.4347e-07,2.5684e-07,2.7084e-07,2.8543e-07,3.0056e-07,3.162e-07,3.3229e-07,3.49e-07,3.665e-07,3.8483e-07,4.0401e-07,4.2405e-07,4.4497e-07,4.668e-07,4.8955e-07,5.1325e-07,5.3791e-07,5.64e-07,5.9187e-07,6.2138e-07,6.5238e-07,6.8473e-07,7.1829e-07,7.5292e-07,7.8847e-07,8.248e-07,8.6177e-07,8.995e-07,9.3827e-07,9.7819e-07,1.0194e-06,1.062e-06,1.1061e-06,1.1518e-06,1.1993e-06,1.2486e-06,1.3708e-06,1.422e-06,1.4776e-06,1.5374e-06,1.6011e-06,1.6685e-06,1.7394e-06,1.8134e-06,1.8903e-06,1.9698e-06,2.0518e-06,2.1429e-06,2.2475e-06,2.3618e-06,2.482e-06,2.6045e-06,2.7253e-06,2.8407e-06,2.947e-06,3.0403e-06,3.117e-06,3.1789e-06,3.232e-06,3.2786e-06,3.3208e-06,3.3608e-06,3.4009e-06,3.4433e-06,3.4901e-06,3.5436e-06,3.6059e-06,3.6821e-06,3.7736e-06,3.8775e-06,3.9907e-06,4.1102e-06,4.233e-06,4.3561e-06,4.4765e-06,4.5913e-06,4.6973e-06,4.7906e-06,4.872e-06,1.0014e-06,1.0014e-06,2.5035e-06,1.7024e-05,3.9556e-05,4.7567e-05,5.9083e-05,9.4633e-05,8.4619e-05,0.00010164,6.3089e-05,2.103e-05,1.6523e-05,6.6093e-05,0.00012668,9.6135e-05,0.0001387,4.0056e-05,5.4076e-05,5.0571e-05,5.5578e-05,6.7595e-05,8.7623e-05,0.00011016,0.00020078,0.00015872,0.00019227,0.00027138,0.00030393,0.00032846,0.00027539,0.00026688,0.0002874,0.00033848,0.00035099,0.00039906,0.00042059,0.000465,0.000491,0.000528,0.000571,0.00059,0.000627,0.000668,0.00071,0.000755,0.000799,0.00083,0.000878,0.000919,0.000955,0.000985,0.00103,0.00109,0.00113,0.00117,0.00125,0.00124,0.00114,0.00113,0.0012,0.00126,0.00133,0.00141,0.00139,0.00149,0.00158,0.00167,0.00176,0.00183,0.00192,0.00202,0.00212,0.00218,0.00225,0.00232,0.00239,0.00246,0.00253,0.0026,0.0027098,0.0027892,0.0028686,0.002948,0.0030274
AND,4.8983e-05,5.1567e-05,5.4352e-05,5.7327e-05,6.048e-05,6.3801e-05,6.728e-05,7.0904e-05,7.4664e-05,7.8548e-05,8.2545e-05,8.6694e-05,9.1043e-05,9.5597e-05,0.00010036,0.00010534,0.00011054,0.00011596,0.00012161,0.0001275,0.00013362,0.00014011,0.00014703,0.00015436,0.00016206,0.00017009,0.00017843,0.00018703,0.00019586,0.00020489,0.00021407,0.00022345,0.00023308,0.00024299,0.00025323,0.00026381,0.00027477,0.00028613,0.00029792,0.00031018,0.0003401,0.00035263,0.00036627,0.00038095,0.0003966,0.00041317,0.00043059,0.0004488,0.00046773,0.00048731,0.0005075,0.00052985,0.00055539,0.00058327,0.0006126,0.00064253,0.00067217,0.00070066,0.00072714,0.00075072,0.00077054,0.00078711,0.00080178,0.00081499,0.00082719,0.0008388,0.00085027,0.00086202,0.0008745,0.00088815,0.0009034,0.00092152,0.00094286,0.00096643,0.00099122,0.0010163,0.0010406,0.0010632,0.001083,0.0010992,0.0011106,0.0011193,0.0011277,0.0011356,0.0011429,0.0011495,0.0011552,0.0011599,0.0011635,0.0011657,0.0011664,0.0011644,0.0011587,0.0011504,0.0011403,0.0011292,0.0011182,0.0011081,0.0010998,0.0010941,0.001092,0.0010987,0.0011176,0.001147,0.0011853,0.0012308,0.0012819,0.001337,0.0013943,0.0014523,0.0015092,0.0015757,0.00166,0.0017569,0.0018613,0.001968,0.0020717,0.0021674,0.0022499,0.0023139,0.0023653,0.0024377,0.0025097,0.0025961,0.0027136,0.002766,0.0028274,0.0028618,0.0029133,0.0029946,0.0030665,0.0031503,0.0032456,0.0033733,0.0034806,0.003589,0.0036958,0.0038007,0.0038759,0.0040107,0.0041807,0.0042233,0.0043771,0.0043068,0.0047033,0.0045895,0.0044019,0.0038743,0.0038288,0.0036922,0.0037168,0.0029734,0.0022301,0.0014867,0.00074335,0,0.00063123,0.0012625,0.0018937,0.0025249,0.0031562,0.0029907,0.0027221,0.0027933,0.0028914,0.003027,0.0031577,0.0034846
ANNEXI,0.37301,0.36728,0.38035,0.40536,0.47579,0.48777,0.51715,0.51922,0.51446,0.54336,0.59731,0.63469,0.64275,0.67011,0.7158,0.7568,0.79795,0.81928,0.82031,0.85246,0.82927,0.85576,0.95697,1.0144,0.99637,1.0671,1.0709,1.0616,1.085,1.1249,1.2436,1.2799,1.3238,1.3905,1.3641,1.352,1.351,1.4287,1.5099,1.5867,1.6878,1.7494,1.732,1.6726,1.8802,1.9353,2.0111,2.0917,2.2472,2.3465,2.4946,2.5743,2.6113,2.7351,2.8231,2.8852,3.0965,3.2936,3.3818,3.4272,3.4901,3.7142,3.876,4.2243,3.864,3.58,3.8757,4.202,4.1476,4.2556,4.5205,3.9183,4.4341,4.796,5.1031,5.1819,4.8634,5.522,5.4641,5.7918,5.4665,4.9882,4.7046,5.1728,5.5792,5.7012,6.0723,6.5635,6.6236,6.4788,7.1386,6.997,6.847,6.9274,6.1859,4.1844,4.0213,4.7855,5.4549,5.9988,5.992,6.9283,7.0969,7.5069,7.5224,7.689,8.4871,9.3811,9.0557,9.3789,10.7136,12.3654,12.8191,14.126,15.2784,16.2579,17.2209,19.5103,21.9156,24.9982,22.0894,21.579,21.1101,21.1318,20.8684,20.6202,20.407,20.1309,19.9079,19.7857,19.6752,19.5639,19.4938,19.3623,19.1822,19.1183,19.1006,18.8773,18.723,18.5345,18.7745,18.7628,19.8751,19.5185,21.7717,21.8736,22.1182,22.0623,21.9142,21.3874,21.5121,20.3337,19.9663,20.1228,19.2809,18.7875,17.9758,18.1327,19.1468,16.519,16.8577,15.8931,16.4607,16.271,15.8146,15.4587,14.9274,14.907
AOSIS,0.0012659,0.0013327,0.0014047,0.0014816,0.0015631,0.0016489,0.0017388,0.0018325,0.0019296,0.00203,0.0021333,0.0022406,0.0023529,0.0024706,0.0025937,0.0027224,0.0028567,0.0029968,0.0031429,0.0032951,0.0034534,0.0036209,0.0037998,0.0039893,0.0041883,0.004396,0.0046114,0.0048337,0.005062,0.0052952,0.0055326,0.0057748,0.0060237,0.00628,0.0065445,0.006818,0.0071011,0.0073948,0.0076996,0.0080163,0.0088795,0.0091909,0.0095374,0.0099173,0.010327,0.010766,0.01123,0.011718,0.012227,0.012755,0.0133,0.013912,0.014615,0.015396,0.016219,0.017063,0.017901,0.018711,0.019464,0.020138,0.020704,0.021174,0.021575,0.021933,0.022261,0.022576,0.022897,0.023239,0.023619,0.024056,0.024566,0.025205,0.026002,0.026935,0.027975,0.029099,0.03028,0.0315,0.032729,0.033947,0.035111,0.036376,0.037858,0.039488,0.041201,0.042925,0.044603,0.046167,0.047541,0.048666,0.049467,0.049805,0.049619,0.049151,0.048394,0.047561,0.046779,0.046184,0.045914,0.04129,0.04588,0.046261,0.057094,0.058809,0.061203,0.055974,0.068476,0.047106,0.051295,0.048353,0.038582,0.045947,0.059011,0.059799,0.077068,0.065707,0.043977,0.096038,0.13717,0.14499,0.10876,0.095766,0.13908,0.13943,0.14303,0.13038,0.13625,0.14119,0.1417,0.14814,0.14177,0.13756,0.1346,0.15017,0.15723,0.16947,0.18362,0.20531,0.19882,0.22995,0.28999,0.30208,0.33101,0.34626,0.33119,0.44495,0.33833,0.253,0.18558,0.14876,0.14015,0.14041,0.14471,0.14678,0.15303,0.15753,0.15915,0.16247,0.1667,0.17002,0.17325,0.17757,0.1809,0.18502,0.18873,0.19244,0.19616,0.19987
ARG,2.3385e-05,2.4619e-05,2.5948e-05,2.7368e-05,2.8874e-05,3.0459e-05,3.212e-05,3.385e-05,3.5645e-05,3.7499e-05,3.9408e-05,4.1388e-05,4.3465e-05,4.5638e-05,4.7912e-05,5.0289e-05,5.277e-05,5.5359e-05,5.8057e-05,6.0868e-05,6.3793e-05,6.6887e-05,7.0192e-05,7.3691e-05,7.7368e-05,8.1204e-05,8.5184e-05,8.9291e-05,9.3507e-05,9.7816e-05,0.0001022,0.00010667,0.00011127,0.00011601,0.00012089,0.00012594,0.00016436,0.00016867,0.00013847,0.00027295,0.00021312,0.00014588,0.0002154,0.00024161,0.00030999,0.00035216,0.00035842,0.00032366,0.00036526,0.00045416,0.00032195,0.00038749,0.00043763,0.00044504,0.00059034,0.00061941,0.0009727,0.0009727,0.0011847,0.0009237,0.0013858,0.0015465,0.0014742,0.0015773,0.0013482,0.0010787,0.00077497,0.00034703,0.00039204,0.00057952,0.00091629,0.00086158,0.0011357,0.0013129,0.0017044,0.0017477,0.0017505,0.0020793,0.0019631,0.0020149,0.0019562,0.0019562,0.001999,0.0020178,0.0021711,0.0021209,0.0022839,0.0025198,0.0024463,0.0026161,0.0023836,0.0020782,0.0020132,0.0021164,0.0020867,0.0020417,0.0020434,0.0021523,0.0026087,0.0022782,0.0045324,0.0053177,0.0054943,0.005337,0.0055849,0.0060089,0.0067303,0.007222,0.006683,0.0074306,0.007381,0.007728,0.0081172,0.0075862,0.0084346,0.0088916,0.0091766,0.009474,0.0099641,0.011239,0.012052,0.01295,0.013161,0.013729,0.013957,0.013722,0.014241,0.014357,0.014488,0.01566,0.015387,0.014542,0.014765,0.015106,0.015036,0.014311,0.015017,0.01663,0.017494,0.016875,0.017651,0.018289,0.0188,0.019531,0.020172,0.021128,0.021934,0.022763,0.023385,0.024353,0.024904,0.026111,0.026756,0.027813,0.028772,0.029704,0.03052,0.030708,0.030449,0.029889,0.030509,0.030739,0.030659,0.030748,0.031,0.032349,0.032732,0.033115
AUS,0,0,0,0,0,0,0,0,0,0,0.0001228,0.00022459,0.00015673,0.00017612,0.00011795,0.00018581,0.00030699,0.00039424,0.00032315,0.00028275,0.00026498,0.00030538,0.00031184,0.00038293,0.00039263,0.00036516,0.0004104,0.00047018,0.00042656,0.00064145,0.00097268,0.00077879,0.00088704,0.0010696,0.0011343,0.0012813,0.0012732,0.0013378,0.001556,0.0015107,0.001564,0.0017676,0.0018306,0.0017482,0.0019227,0.0020245,0.0019857,0.0021942,0.0024753,0.0025513,0.0044837,0.0050443,0.0050233,0.0049474,0.0050928,0.0053142,0.0063321,0.0068249,0.0073888,0.0064177,0.0076893,0.0084843,0.0091661,0.0098738,0.010795,0.0096104,0.0084988,0.0091548,0.010116,0.0095862,0.011347,0.01021,0.010735,0.010958,0.011937,0.012451,0.012283,0.012742,0.011425,0.010273,0.0095603,0.0085327,0.0089157,0.0094456,0.0099174,0.011003,0.011785,0.012566,0.012283,0.014025,0.012653,0.015083,0.015973,0.015345,0.014989,0.014264,0.015459,0.016568,0.016718,0.016367,0.02386,0.025761,0.026251,0.02586,0.029499,0.030731,0.031738,0.032354,0.033688,0.036343,0.038249,0.039285,0.041176,0.04383,0.047223,0.052465,0.052213,0.056116,0.058454,0.061734,0.060394,0.060926,0.061459,0.06217,0.063058,0.063413,0.063946,0.064479,0.06519,0.065722,0.066433,0.067321,0.067676,0.068209,0.06892,0.06963,0.070341,0.071051,0.071762,0.072472,0.07336,0.0735,0.073632,0.073759,0.073893,0.079577,0.058117,0.027968,0.028085,0.028783,0.027663,0.027806,0.027957,0.028115,0.028265,0.028428,0.028704,0.029048,0.029493,0.029909,0.029706,0.029812,0.029959,0.030388,0.030785,0.030483,0.030625,0.030745
AUT,0.001234,0.0012379,0.0014905,0.0017101,0.0016848,0.0019627,0.0022445,0.0025846,0.0038419,0.0031112,0.0032609,0.0033833,0.0033697,0.0031171,0.0026934,0.0028392,0.0019064,0.002606,0.003222,0.0034396,0.003906,0.0053771,0.0053072,0.00569,0.0048544,0.0041664,0.0042908,0.0038633,0.00384,0.0047028,0.012542,0.0054704,0.005622,0.006238,0.0060787,0.0063896,0.006032,0.0064984,0.0063391,0.0068268,0.0069143,0.0079267,0.0076722,0.0093881,0.0096155,0.010805,0.011296,0.01221,0.012972,0.013162,0.014689,0.015043,0.013628,0.01363,0.014431,0.015173,0.018127,0.022645,0.031839,0.023147,0.031178,0.026064,0.027414,0.032344,0.026336,0.018745,0.0048194,0.0018306,0.0017703,0.0015993,0.0077052,0.010257,0.0098564,0.0094289,0.010657,0.010072,0.0098759,0.010673,0.0111,0.01267,0.0098467,0.0095222,0.0079539,0.0074759,0.0072135,0.0072874,0.0071125,0.0079792,0.0028975,0.0031676,0.0036806,0.004009,0.004353,0.0048952,0.0049807,0.0024214,0.0066636,0.0092773,0.012797,0.013807,0.010745,0.011949,0.011341,0.011151,0.012571,0.01493,0.01445,0.014917,0.014332,0.014169,0.015585,0.016071,0.017157,0.01873,0.019639,0.019169,0.019614,0.019979,0.021238,0.022478,0.021632,0.021966,0.022348,0.022682,0.022969,0.023064,0.023375,0.023685,0.023805,0.024115,0.024354,0.024354,0.024593,0.024831,0.02507,0.025309,0.025548,0.025786,0.026025,0.026264,0.02792,0.024365,0.011127,0.010796,0.010788,0.01111,0.011433,0.011755,0.012078,0.0124,0.0124,0.0124,0.0124,0.0124,0.0124,0.0124,0.01026,0.008208,0.006156,0.004104,0.002052,0.002052,0.002052,0.002052,0.002052,0.002052,0.002052,0.002052
BASIC,9.8894e-06,1.0411e-05,1.0973e-05,1.1574e-05,1.2211e-05,1.2881e-05,1.3583e-05,1.4315e-05,1.5074e-05,1.5858e-05,1.6666e-05,1.7503e-05,1.8381e-05,1.93e-05,2.0262e-05,2.1267e-05,2.2317e-05,2.3411e-05,2.4552e-05,2.5741e-05,2.6978e-05,2.8287e-05,2.9684e-05,3.1164e-05,3.2719e-05,3.4341e-05,3.6024e-05,3.7761e-05,3.9544e-05,4.1366e-05,4.3221e-05,4.5113e-05,4.7057e-05,4.9059e-05,5.1126e-05,5.3262e-05,5.5474e-05,5.7768e-05,6.0149e-05,6.2623e-05,8.9346e-05,9.2821e-05,9.6691e-05,0.00010093,0.00010552,0.00011042,0.00011562,0.00012109,0.0001268,0.0001322,0.00016062,0.00017639,0.00020818,0.00040882,0.0004367,0.00047387,0.0021377,0.0021272,0.0027875,0.00258,0.0023965,0.0034307,0.0015191,0.001661,0.001988,0.0020202,0.002206,0.0023838,0.0025011,0.002914,0.0032363,0.0030137,0.0032321,0.0039058,0.0042683,0.0040835,0.0036916,0.0041726,0.0042173,0.0044324,0.0045994,0.0047441,0.0045646,0.0049997,0.0057668,0.0067474,0.0074951,0.0070725,0.0065471,0.0078098,0.0099314,0.012254,0.012891,0.011116,0.011149,0.0060524,0.0039905,0.0043475,0.0031919,0.00704,0.010115,0.012785,0.01587,0.016466,0.019745,0.023347,0.026228,0.030552,0.06027,0.081657,0.088667,0.063972,0.05202,0.051656,0.051719,0.055956,0.061706,0.052143,0.056856,0.069222,0.083847,0.086048,0.088547,0.092529,0.095027,0.10054,0.10301,0.10916,0.11777,0.12532,0.13401,0.14112,0.15043,0.16264,0.17716,0.19378,0.20851,0.22703,0.24634,0.26086,0.279,0.31,0.357,0.39,0.422,0.459,0.486,0.514,0.546,0.578,0.616,0.648,0.687,0.745,0.789,0.841,0.882,0.94,0.982,1.03,1.075,1.125,1.173,1.2154,1.262,1.3086,1.3559,1.4027
BEL,0.017316,0.018866,0.02117,0.021871,0.02423,0.024821,0.024515,0.025521,0.026813,0.027642,0.028227,0.030539,0.030328,0.031966,0.03355,0.035365,0.038092,0.041253,0.037296,0.040172,0.045917,0.044006,0.04748,0.052151,0.048085,0.049968,0.048833,0.046481,0.05054,0.051457,0.056454,0.056835,0.060187,0.063797,0.062845,0.061383,0.059568,0.063028,0.066897,0.068345,0.073892,0.070099,0.070003,0.066937,0.073906,0.074463,0.078447,0.081167,0.083655,0.087441,0.092153,0.086666,0.09065,0.097653,0.093424,0.093268,0.10668,0.10822,0.10733,0.10718,0.11372,0.11446,0.12019,0.1262,0.075286,0.063864,0.084967,0.067257,0.062573,0.083254,0.10234,0.093764,0.10374,0.13338,0.14149,0.1448,0.14413,0.16787,0.16094,0.17692,0.17101,0.15382,0.12371,0.13302,0.13734,0.13091,0.13701,0.16479,0.144,0.13443,0.11504,0.12037,0.11285,0.10692,0.060941,0.071316,0.10294,0.14981,0.15477,0.14719,0.13812,0.16194,0.1511,0.1486,0.15507,0.16644,0.1753,0.17471,0.15897,0.15978,0.16464,0.16764,0.17749,0.19177,0.18678,0.19002,0.1897,0.19387,0.21449,0.22339,0.21197,0.21608,0.22086,0.22497,0.22975,0.23386,0.23796,0.24274,0.24685,0.25095,0.25574,0.25984,0.26463,0.26873,0.27283,0.27762,0.28172,0.28582,0.29061,0.29471,0.2995,0.30119,0.31257,0.31649,0.19119,0.1715,0.17303,0.17795,0.15189,0.15556,0.20395,0.20952,0.41683,0.45208,0.50101,0.54473,0.60826,0.73501,0.69755,0.59986,0.68152,0.52808,0.51758,0.31007,0.2203,0.29163,0.2481,0.27491
BGR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1257e-06,1.1257e-06,2.2513e-06,3.377e-06,2.2513e-06,2.2513e-06,3.377e-06,5.6284e-06,7.8797e-06,1.0131e-05,1.2382e-05,1.4634e-05,1.9136e-05,2.4765e-05,2.5891e-05,3.2645e-05,3.377e-05,4.5027e-05,4.5027e-05,6.6415e-05,8.33e-05,7.3169e-05,7.2043e-05,9.2305e-05,0.00011032,9.6808e-05,0.00013958,0.00018348,0.00018574,0.00019474,0.00027579,0.00027579,0.00024202,0.00036359,0.00023414,0.00028367,0.00035008,0.00043676,0.00025665,0.0003377,0.00041988,0.00046378,0.00049305,0.00056621,0.00055608,0.00054708,0.00055833,0.00064051,0.00073957,0.00071143,0.00068328,0.0007891,0.00070242,0.00073281,0.00074407,0.00075533,0.00083638,0.00094669,0.0010424,0.0012596,0.0013587,0.0016435,0.0017853,0.0013294,0.0015636,0.0015287,0.0018157,0.0018619,0.0022896,0.0022108,0.0024134,0.0027939,0.0031463,0.0033815,0.003592,0.0038543,0.0042866,0.0046592,0.0058107,0.0065998,0.0077052,0.0091461,0.010226,0.012763,0.013806,0.014534,0.01642,0.017736,0.019832,0.018464,0.018464,0.018464,0.018464,0.018464,0.018464,0.018464,0.018464,0.018464,0.018464,0.018464,0.018464,0.018464,0.018464,0.018464,0.018464,0.018464,0.018464,0.018514,0.019013,0.019835,0.020179,0.018857,0.020341,0.020676,0.020906,0.020596,0.02077,0.034884,0.028326,0.06258,0.039705,0.038752,0.043793,0.069657,0.054826,0.051571,0.034222,0.042393,0.033278,0.013454,0.0097075,0.020089,0.038902,0.011264,0.010102,0.012272,0.014716
