code,CO2AR4_IPCM0EL_TOTAL_NET_HISTORY_UNFCCC2019BI
entity,CO2
category,IPCM0EL
name_category,NatTotalExclLULUCF
type,NET
class,TOTAL
descr,GHG data submitted to the UNFCCC by Parties: non-AnnexI Parties only. See http://unfccc.int/di/DetailedByParty.do
note,Read in by JG and RG
source,UNFCCC2019BI
scenario,HISTORY
datatype,CountryYearMatrix
tablekind,usr
family,emi
subsource,UNFCCC_2019B.csv
unit,MtCO2eq
gwp,AR4
iso3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
ALB,3.1017,5.1667,3.3111,3.2355,3.5005,3.4774,3.3416,3.4266,4.1391,4.4783,3.5079,4.2241,4.2839,4.6147,4.9391,4.9533,4.9444,5.3951,5.5303,5.9426,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ARE,NaN,NaN,NaN,NaN,63.69,NaN,NaN,NaN,NaN,NaN,102.707,NaN,NaN,NaN,NaN,158.438,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,188.8849,NaN,NaN
ARG,100.8675,NaN,NaN,NaN,117.596,NaN,NaN,125.5639,NaN,NaN,128.3239,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,181.9395,NaN,188.2652,NaN,NaN,NaN,NaN
ARM,21.616,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.1996,NaN,NaN,NaN,NaN,NaN,4.1739,NaN,NaN,NaN,4.457,NaN,NaN,NaN,NaN,NaN,NaN
AZE,55.8937,51.9015,44.5467,39.1364,34.2727,36.5613,29.9658,28.935,28.567,27.8693,29.0102,28.2431,28.0314,30.7332,33.0108,35.4725,34.3106,29.2846,32.2833,26.8931,26.4118,28.0839,29.8478,39.2289,NaN,NaN,NaN
BGD,NaN,NaN,NaN,NaN,16.4597,NaN,NaN,NaN,NaN,NaN,NaN,33.1485,NaN,NaN,NaN,40.8623,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BHS,1.8942,NaN,NaN,NaN,1.8662,NaN,NaN,NaN,NaN,NaN,0.66044,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BIH,26.4611,23.8503,5.9333,2.2085,2.4261,2.1406,4.4296,7.0225,10.7769,10.968,11.6332,12.2396,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.418,21.712,NaN,NaN
BOL,5.3862,NaN,NaN,NaN,8.1463,NaN,NaN,NaN,8.9309,NaN,7.7828,NaN,9.0733,NaN,9.786,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BRA,213.555,224.675,226.821,235.656,245.012,263.283,282.44,299.443,310.259,320.522,331.466,338.212,337.959,333.001,349.853,356.897,361.457,380.822,402.09,381.38,429.844,450.956,482.697,511.858,532.094,504.747,NaN
CAF,NaN,NaN,NaN,NaN,0.212,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.18046,0.19334,0.20736,0.21471,0.23221,0.23591,0.23295,0.25259,NaN,NaN,NaN,NaN,NaN,NaN
CHL,33.2897,NaN,NaN,NaN,38.4858,NaN,NaN,NaN,NaN,NaN,54.7505,NaN,NaN,NaN,NaN,NaN,60.0567,NaN,NaN,NaN,69.667,NaN,NaN,80.4984,NaN,NaN,87.444
CHN,NaN,NaN,NaN,NaN,3073.47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5975.568,NaN,NaN,NaN,NaN,NaN,NaN,9893.257,NaN,NaN,NaN,NaN
COL,49.7065,NaN,NaN,NaN,60.9173,NaN,NaN,NaN,NaN,NaN,63.8138,NaN,NaN,NaN,63.9073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CRI,2.7493,NaN,NaN,NaN,NaN,NaN,4.5547,NaN,NaN,NaN,5.1047,NaN,NaN,NaN,NaN,5.9891,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CUB,33.8996,NaN,21.5988,NaN,22.1935,NaN,26.3821,NaN,27.9738,NaN,26.5862,NaN,24.893,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DMA,NaN,NaN,NaN,NaN,0.07653,NaN,NaN,NaN,NaN,NaN,0.1058,0.11792,0.11327,0.11108,0.11089,0.11906,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DOM,8.7629,NaN,NaN,NaN,15.003,NaN,NaN,NaN,16.4239,NaN,18.4168,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.5724,NaN,NaN,NaN,NaN,NaN,NaN
EARTH,1977.1992,1354.3289,1358.4307,1371.2425,5946.3369,1282.6688,1428.04,1548.4579,1429.4214,1406.3587,4047.5359,1572.6348,1663.2115,1643.7114,1812.5782,8118.459,1886.1094,1836.5824,1919.42,1850.6294,4656.7617,2041.0378,12649.279,2034.1544,1443.5984,571.7883,87.444
EGY,84.235,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,128.2279,NaN,NaN,NaN,NaN,169.2497,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ETH,2.307,1.879,2.073,2.401,2.3591,2.2383,2.4573,2.896,2.9954,3.1648,3.4379,4.251,4.4648,5.0275,5.2893,6.5895,6.352,9.0669,8.3392,9.0041,11.1343,9.522,9.6554,10.1431,NaN,NaN,NaN
GEO,35.52,28.1318,17.1194,9.7753,6.5258,4.5604,7.4911,8.48,NaN,NaN,3.7052,3.875,3.681,3.931,4.844,5.045,6.233,7.16,7.062,6.562,6.6347,9.151,9.7864,9.4782,NaN,NaN,NaN
GHA,2.8618,2.3771,2.8977,3.1239,3.243,3.5567,3.8441,3.9778,4.3642,4.9254,6.2977,5.585,5.9654,6.4108,5.7894,6.4311,7.8472,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GTM,4.2451,NaN,NaN,NaN,10.1165,NaN,NaN,NaN,NaN,NaN,10.5787,NaN,NaN,NaN,NaN,12.5537,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GUY,1.439,1.439,1.439,1.439,1.439,1.465,1.534,1.68,1.769,1.718,1.688,2.094,1.657,1.657,1.657,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IDN,142.6882,155.1004,165.5055,175.6818,189.1463,NaN,NaN,NaN,NaN,NaN,289.5271,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IND,NaN,NaN,NaN,NaN,779.348,NaN,NaN,NaN,NaN,NaN,1024.7729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1574.3622,NaN,NaN,NaN,NaN,NaN,NaN
ISR,NaN,NaN,NaN,NaN,NaN,NaN,52.2323,NaN,NaN,NaN,61.0678,NaN,NaN,64.0565,64.0931,64.3234,65.3932,68.1264,67.7452,64.8967,66.5843,68.4494,73.6232,67.1102,65.2669,67.0413,NaN
JOR,NaN,NaN,NaN,NaN,13.3894,NaN,NaN,NaN,NaN,NaN,16.3083,NaN,NaN,NaN,NaN,NaN,23.136,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
KEN,NaN,NaN,NaN,NaN,NaN,7.0569,NaN,NaN,NaN,NaN,7.9276,NaN,NaN,NaN,NaN,9.2812,NaN,NaN,NaN,NaN,13.8883,NaN,NaN,NaN,NaN,NaN,NaN
KGZ,20.5316,17.599,14.6013,11.7193,8.6688,5.5568,5.7389,6.543,5.5196,5.0522,4.9571,4.7288,4.9445,5.0946,5.3194,5.3922,5.5276,6.5045,7.3577,6.9345,6.3634,NaN,NaN,NaN,NaN,NaN,NaN
KIR,NaN,NaN,NaN,NaN,0.018556,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.029659,0.03123,0.062782,0.067717,0.063784,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
KOR,252.3287,275.2303,299.0017,334.4037,356.3781,385.1951,417.7499,443.6049,377.3574,409.6146,441.5893,456.9623,475.7882,484.1397,490.1822,494.4459,501.0892,522.4863,536.0629,540.6885,593.8297,623.4612,626.4609,635.5381,628.8161,NaN,NaN
LBN,NaN,NaN,NaN,NaN,13.6028,NaN,NaN,NaN,NaN,NaN,15.5701,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.6564,22.2943,23.0965,NaN,NaN,NaN
LCA,NaN,NaN,NaN,NaN,0.26824,NaN,NaN,NaN,NaN,NaN,0.34019,NaN,NaN,NaN,NaN,0.39528,NaN,NaN,NaN,NaN,0.48943,NaN,NaN,NaN,NaN,NaN,NaN
