code,CO2AR4_IPCM0EL_TOTAL_NET_SSP1BLIMAGE_PMSSPBIE
entity,CO2
scenario,SSP1BLIMAGE
datatype,CountryYearMatrix
note,Scenario based on RCPSSP IAM scenario dowscaled to country level using GDP data from SSP scenarios. For methodology see Guetschow et al. 2017
type,NET
class,TOTAL
tablekind,raw
descr,SSPV2IB. SSP1BLIMAGE downscaled using SSPV2MIDH. SSP1BLIMAGE. and historic shares from PRIMAPHIST21. NON COMMERCIAL USE ALLOWED ONLY
source,PMSSPBIE
category,IPCM0EL
name_category,NatTotalExclLULUCF
family,emi
subsource,NaN
unit,MtCO2eq
gwp,AR4
iso3,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
ABW,0.040406,0.042538,0.044835,0.047289,0.04989,0.052629,0.055499,0.058488,0.06159,0.064794,0.068091,0.071514,0.075101,0.078857,0.082786,0.086893,0.09118,0.095653,0.10032,0.10517,0.11023,0.11557,0.12128,0.12733,0.13368,0.14031,0.14719,0.15428,0.16157,0.16901,0.17659,0.18432,0.19226,0.20044,0.20889,0.21762,0.22665,0.23602,0.24575,0.25586,0.28632,0.29746,0.30992,0.32359,0.3384,0.35425,0.37107,0.38877,0.40726,0.42646,0.44628,0.46774,0.4916,0.51743,0.5448,0.57327,0.6024,0.63176,0.6609,0.68941,0.71683,0.74314,0.76877,0.79398,0.81905,0.84423,0.86978,0.89599,0.9231,0.95139,0.98112,1.0122,1.0444,1.0778,1.1123,1.367,1.7628,1.7364,4.5488,5.7064,6.9829,5.9483,5.7737,6.1592,6.863,7.9232,8.4615,10.2295,10.9674,10.3234,8.5467,10.561,6.1556,9.9395,12.4614,14.4563,15.8912,17.4916,17.8232,9.4934,1.1635,1.8309,1.0617,1.228,2.474,2.0493,2.6477,1.8136,1.5915,2.0453,1.7622,1.8396,2.0197,1.9369,1.8853,1.6955,1.5888,1.9529,1.8199,2.3746,2.6506,2.3112,2.2423,2.4842,2.2549,1.642,3.4709,1.8284,1.562,1.6371,1.684,1.6059,1.792,0.93776,2.2912,2.6762,0.21454,0.48224,0.64733,0.68444,1.6754,1.7209,1.5029,1.6372,1.6577,1.7145,1.7378,1.7937,1.8457,1.8574,2.4301,2.4602,2.4904,2.6161,2.6719,2.7753,2.7722,2.8795,2.7152,2.6865,2.5661,2.5597,1.4091,0.92225,0.93401,0.95325,0.97988,0.97567,0.54148,0.56483,0.58835,0.61274,0.63842,0.66532,0.69336,0.72246,0.75336,0.78653,0.82155,0.85808,0.89581,0.93497,0.97578,1.0181,1.0619,1.1071,1.1544,1.2043,1.2566,1.3113,1.3681,1.4282,1.4922,1.5596,1.63,1.7028,1.7781,1.8556,1.9346,2.014,2.0927,2.1703,2.2509,2.3336,2.4178,2.5028,2.5882,2.6738,2.7584,2.8408,2.9201,2.9919,3.0533,3.1049,3.1475,3.1823,3.2106,3.234,3.2537,3.2711,3.2881,3.2983,3.2952,3.2802,3.2551,3.2218,3.1834,3.1429,3.1023,3.0643,3.0319,3.0026,2.972,2.9403,2.9078,2.8749,2.8418,2.8087,2.7758,2.7433,2.7115,2.6798,2.6474,2.6146,2.5816,2.5486,2.516,2.4841,2.4533,2.424,2.3966
AFG,0.00029737,0.00031306,0.00032997,0.00034803,0.00036717,0.00038733,0.00040845,0.00043045,0.00045328,0.00047686,0.00050113,0.00052631,0.00055272,0.00058036,0.00060928,0.0006395,0.00067105,0.00070397,0.00073828,0.00077402,0.00081122,0.00085057,0.00089259,0.00093709,0.00098384,0.0010326,0.0010832,0.0011355,0.0011891,0.0012439,0.0012996,0.0013565,0.001415,0.0014752,0.0015373,0.0016016,0.0016681,0.0017371,0.0018087,0.0018831,0.0020009,0.0020467,0.0020983,0.0021555,0.0022178,0.0022847,0.002356,0.0024311,0.0025097,0.0025915,0.0026759,0.0027666,0.0028665,0.0029745,0.0030892,0.0032093,0.0033336,0.0034607,0.0035895,0.0037186,0.0038467,0.0039836,0.0041361,0.0042986,0.0044654,0.004631,0.0047895,0.0049356,0.0050634,0.0051674,0.0052419,0.0053045,0.0053769,0.00546,0.0055548,0.0056621,0.0057828,0.0059178,0.006068,0.0062343,0.0064176,0.0069317,0.0080176,0.0095662,0.011469,0.013616,0.015899,0.018209,0.020437,0.022475,0.024212,0.025773,0.027381,0.029076,0.0309,0.032894,0.0351,0.037557,0.041237,0.031506,0.10837,0.11473,0.12185,0.13341,0.14559,0.19569,0.23135,0.3496,0.39351,0.45588,0.49657,0.57863,0.7882,0.81504,0.95877,1.1404,1.2376,1.4449,1.4029,1.1039,1.8395,2.0678,1.7162,1.8133,2.1037,2.3256,2.2372,2.6335,2.387,2.4638,1.996,2.2096,2.342,2.7584,3.0771,3.7649,3.4051,3.3864,3.1217,3.0297,2.8506,2.6443,1.5968,1.5308,1.4078,1.3614,1.2927,1.2081,1.152,0.93467,0.93391,0.99606,1.2504,1.3794,1.1289,1.5077,1.8248,2.4326,4.3642,6.9335,8.6362,12.4108,10.9863,10.2124,11.1601,11.6575,13.2302,13.6396,14.9954,14.8818,14.8449,14.8862,14.983,15.1318,15.3287,15.5696,15.8613,16.2094,16.6088,17.0548,17.5432,18.0933,18.7201,19.4158,20.1737,20.9887,21.8732,22.8322,23.8513,24.917,26.0171,27.1783,28.4296,29.7645,31.1788,32.6701,34.2529,35.9347,37.7054,39.5571,41.4838,43.6813,46.0099,48.4563,51.0087,53.6567,56.4127,59.2911,62.2863,65.3948,68.6149,71.873,75.0874,78.2496,81.3554,84.4059,87.4235,90.4229,93.4008,96.3592,99.3051,102.0797,104.5142,106.6141,108.3967,109.893,111.1893,112.3965,113.6069,114.9306,116.4961,118.1985,119.8448,121.4478,123.0248,124.5971,126.202,127.8825,129.6759,131.6239,133.773,136.0328,138.2921,140.572,142.8972,145.2955,147.7922,150.4174,153.211,156.2156,159.4767
AGO,0.0011605,0.0012217,0.0012877,0.0013581,0.0014328,0.0015115,0.0015939,0.0016798,0.0017688,0.0018609,0.0019556,0.0020539,0.0021569,0.0022648,0.0023776,0.0024955,0.0026187,0.0027471,0.002881,0.0030205,0.0031657,0.0033192,0.0034832,0.0036569,0.0038393,0.0040297,0.0042272,0.004431,0.0046402,0.004854,0.0050716,0.0052936,0.0055218,0.0057567,0.0059992,0.0062499,0.0065095,0.0067786,0.007058,0.0073484,0.0080098,0.0082958,0.0086056,0.0089379,0.0092914,0.0096647,0.010056,0.010465,0.01089,0.011329,0.011782,0.012284,0.01286,0.013489,0.014151,0.014823,0.015487,0.016119,0.016701,0.01721,0.017626,0.017969,0.018279,0.018563,0.018829,0.019084,0.019337,0.019596,0.019868,0.020161,0.020483,0.020818,0.021149,0.021485,0.021835,0.022206,0.022608,0.02305,0.023539,0.024085,0.024695,0.02546,0.026444,0.027619,0.028958,0.030432,0.032012,0.033672,0.035383,0.037116,0.038844,0.040609,0.042478,0.044456,0.046552,0.048771,0.05112,0.053606,0.056236,0.059017,0.18933,0.25582,0.31866,0.28239,0.35986,0.42263,0.51116,0.62894,0.60378,0.63023,0.56496,0.46314,1.1973,1.1651,1.2393,1.2035,1.5712,1.0115,1.6947,2.8034,3.6064,3.4341,4.5306,4.9007,4.8977,4.437,3.3081,3.5564,5.4311,5.5213,5.3637,5.3007,4.6733,5.1364,5.0191,4.7138,4.6724,5.8263,5.0898,4.9604,5.1349,5.1104,5.2102,5.7953,3.9124,11.0016,10.479,7.4008,7.3235,9.1862,9.573,9.7305,12.6602,9.0498,18.7722,19.0783,22.1783,25.0558,25.5676,27.649,28.9496,30.2286,33.2731,32.4605,34.5514,36.6726,38.0338,38.836,45.8677,47.4077,48.4798,49.0833,49.3864,49.4724,49.4183,49.2942,49.0789,48.7535,48.3798,48.0111,47.6921,47.3604,46.979,46.6178,46.3368,46.1874,46.1486,46.1752,46.2756,46.456,46.7214,47.0972,47.5936,48.1931,48.8791,49.6365,50.4902,51.4508,52.4848,53.5619,54.6542,56.2643,57.9705,59.7469,61.5692,63.4144,65.2928,67.2154,69.1619,71.1136,73.0533,75.0537,77.1664,79.3428,81.5336,83.6887,85.7674,87.7255,89.5064,91.0533,92.3087,93.3865,94.4302,95.4274,96.3672,97.2402,98.0499,98.8016,99.4902,100.1115,100.6617,100.9937,100.9902,100.6951,100.1535,99.4125,98.523,97.5363,96.5019,95.47,94.4911,93.5209,92.4842,91.3855,90.229,89.0189,87.7573,86.4464,85.0899,83.6911,82.2535
ALB,0.0062556,0.0065856,0.0069413,0.0073211,0.0077238,0.008148,0.0085922,0.0090551,0.0095352,0.010031,0.010542,0.011072,0.011627,0.012209,0.012817,0.013453,0.014116,0.014809,0.015531,0.016282,0.017065,0.017893,0.018777,0.019713,0.020696,0.021723,0.022787,0.023886,0.025014,0.026166,0.027339,0.028536,0.029766,0.031032,0.03234,0.033691,0.03509,0.036541,0.038047,0.039612,0.039548,0.039728,0.039933,0.040164,0.040417,0.040691,0.040984,0.041294,0.041619,0.041958,0.042308,0.042724,0.043244,0.04384,0.044487,0.045157,0.045824,0.046459,0.047038,0.047532,0.047915,0.048201,0.048434,0.04863,0.048804,0.048971,0.049147,0.049347,0.049588,0.049885,0.050253,0.050767,0.051465,0.052311,0.053266,0.054292,0.055352,0.056406,0.057419,0.05835,0.059164,0.05988,0.060565,0.046446,0.046897,0.052229,0.10321,0.18006,0.19923,0.23711,0.3525,0.32877,0.37798,0.25598,0.12317,0.11176,0.27497,0.47408,0.38011,0.52198,0.2168,0.26892,0.26748,0.29589,0.34886,0.44382,0.54429,0.85738,0.7433,0.86516,1.1367,1.2798,1.3751,1.2281,1.214,1.3086,1.4877,1.5875,1.8028,1.9052,2.1245,2.3699,2.9621,2.8933,2.5119,2.5398,2.7286,3.0848,3.5195,4.0351,3.0321,3.9045,3.8419,3.9306,4.072,4.1013,4.2055,3.9365,3.8548,4.7582,3.9514,5.5741,3.356,3.2693,3.5228,3.4595,3.3593,3.4731,4.214,4.5359,3.2125,3.6697,3.8748,4.1228,4.3882,4.2662,4.18,4.5196,4.6033,5.0085,5.2591,5.961,5.5644,5.7283,6.4718,5.9312,6.1617,6.2572,6.5126,6.4716,6.4358,6.4021,6.3661,6.328,6.2886,6.2488,6.2128,6.1848,6.1662,6.1589,6.1649,6.1828,6.208,6.2381,6.2712,6.3052,6.34,6.3755,6.4095,6.4403,6.466,6.4875,6.5064,6.5219,6.5332,6.54,6.5434,6.545,6.5453,6.5443,6.5424,6.5464,6.5507,6.5543,6.5562,6.5554,6.5518,6.5451,6.534,6.5171,6.4931,6.4631,6.4286,6.3892,6.3447,6.2947,6.2397,6.1804,6.1172,6.0506,5.9807,5.9061,5.8256,5.7399,5.6498,5.556,5.4608,5.3659,5.2718,5.1786,5.087,4.9976,4.9099,4.8226,4.7345,4.6445,4.5543,4.4662,4.3801,4.296,4.2138,4.1316,4.0487,3.966,3.8844,3.8048,3.7263,3.648,3.5701,3.4931,3.4174
ANNEXI,221.9627,229.5151,240.7421,254.1354,295.8276,305.8985,325.7693,329.6844,333.8708,355.0391,386.4457,402.5891,410.834,442.6081,476.3279,502.0927,516.1981,562.5773,585.23,627.9395,644.6571,683.5469,768.1167,821.5398,773.0784,828.258,834.7172,862.9353,861.8481,945.4221,1069.0925,1110.0246,1186.9734,1266.4448,1292.167,1304.8632,1336.0497,1407.6503,1593.78,1553.7443,1673.3855,1732.7576,1742.2988,1721.7264,1767.3571,1848.2427,1893.9761,1963.5253,2047.5809,2202.4044,2305.9548,2363.9942,2414.6661,2600.4336,2619.0347,2769.0201,2870.2815,3199.4376,3075.1854,3192.1047,3332.6857,3370.8897,3529.3394,3779.1585,3464.8568,3422.5714,3662.9601,3811.2796,3765.4012,3282.3744,3743.0681,3288.1745,3448.1707,3895.7273,3890.2024,3929.9354,3875.576,4227.4733,4197.7527,4484.1632,4150.574,3741.9527,3390.0098,3539.1243,3790.0222,3933.7158,4283.8436,4537.5811,4264.862,4486.9889,4860.1696,4985.8344,5080.1481,5246.4432,5218.0145,4439.6731,4765.3901,5301.2844,5612.6476,5399.1035,5922.1058,6305.8814,6370.8904,6563.3135,6643.0036,7211.0634,7658.065,7834.5699,7781.7414,7989.7688,8361.2553,8553.9113,8905.3025,9369.4221,9770.0537,10101.4213,10474.0821,10844.2217,11332.3835,11947.899,12721.6797,12912.2475,13471.7244,14110.2162,13912.0879,13604.5011,14291.0558,14511.958,15004.8304,15324.5576,15090.8324,14558.0603,14142.5941,14132.7464,14436.4545,14716.2765,14720.5706,15138.4307,15564.5728,15688.336,15368.8425,15063.775,14578.7872,14405.733,14221.9176,14327.8238,14578.8933,14493.6782,14482.0961,14547.2213,14769.1779,14769.2548,14793.1824,15023.1755,15186.8078,15227.2983,15212.1229,15334.7669,14952.383,13920.0418,14418.4128,14286.8864,14106.6179,14081.2139,13872.7123,13705.5002,13571.7359,13584.9685,13377.3364,13304.8045,13223.7755,13127.9627,13014.4875,12888.3674,12754.5009,12617.6802,12482.048,12351.1965,12229.0135,12119.3835,12026.191,11946.7181,11874.6011,11808.2627,11746.1327,11686.6484,11628.2783,11569.6267,11509.3285,11446.0059,11378.2714,11303.7244,11222.0055,11134.7687,11043.6482,10950.2606,10855.9786,10762.1852,10670.494,10582.5099,10499.83,10424.161,10351.4965,10280.9951,10211.8138,10143.1082,10074.0417,10003.6605,9930.9493,9854.9021,9774.5216,9689.6098,9600.8752,9508.6845,9413.4015,9315.3865,9214.9928,9112.5825,9008.5229,8903.1759,8796.8985,8686.6022,8569.9644,8448.49,8323.6871,8197.0672,8070.245,7944.8589,7822.4579,7704.5911,7592.8076,7486.3916,7383.222,7282.7429,7184.4024,7087.6522,6991.9503,6896.7589,6801.5409,6705.7623,6608.8919,6509.8209,6408.0221,6303.8374,6197.6063,6089.6657,5980.2965,5869.7993,5758.5366,5646.8656,5535.1383
AOSIS,0.074783,0.078729,0.082981,0.087522,0.092336,0.097407,0.10272,0.10825,0.11399,0.11992,0.12602,0.13236,0.139,0.14595,0.15322,0.16082,0.16876,0.17704,0.18566,0.19465,0.20401,0.2139,0.22447,0.23566,0.24742,0.25969,0.27241,0.28555,0.29903,0.31281,0.32683,0.34114,0.35584,0.37098,0.38661,0.40276,0.41949,0.43684,0.45484,0.47355,0.5294,0.54735,0.56746,0.58982,0.61381,0.63974,0.66711,0.69605,0.72628,0.75725,0.7895,0.8263,0.8666,0.91307,0.96114,1.0109,1.0605,1.1096,1.1558,1.2244,1.3027,1.3956,1.4991,1.5537,1.6476,1.7189,1.828,1.9714,2.2461,2.1567,2.4154,2.5924,2.6274,2.92,3.4414,3.8091,3.9022,4.1241,5.3517,5.8028,5.9364,5.4369,5.712,6.6361,7.4607,7.8781,8.6437,10.2699,11.468,12.6823,14.0441,13.2566,14.0536,13.6739,14.1713,14.4397,14.3859,15.5016,16.1998,17.1394,11.4424,13.2535,14.1014,14.5463,14.6289,16.1531,16.0135,23.239,28.3543,26.225,23.4711,25.3447,30.9634,24.761,31.5071,32.4721,32.4412,36.6311,38.3383,41.4273,55.3838,60.086,66.5541,74.3088,75.0068,82.0868,88.7953,94.0144,96.4028,101.2846,100.2557,93.4852,95.6946,93.895,95.3491,99.6886,97.9736,100.3731,102.0592,108.7348,108.804,107.6826,114.4911,113.7972,122.7827,114.877,126.6094,130.2305,129.401,139.1889,146.7485,150.503,151.8182,143.911,143.6291,155.1289,165.041,159.8074,174.1072,186.8599,199.3474,197.6199,195.9649,228.4215,230.5348,237.7771,246.6712,251.0186,252.0995,252.6529,252.6697,252.2418,251.591,250.7904,249.8928,248.936,247.897,246.7832,245.6547,244.5568,243.5229,242.5144,241.5128,240.5641,239.703,238.9559,238.3184,237.7652,237.2855,236.868,236.5012,236.3083,236.3653,236.5923,236.9125,237.2519,237.5805,237.8918,238.1494,238.3171,238.3594,238.7659,239.2837,239.8732,240.496,241.1143,241.696,242.2092,242.6176,242.8864,242.9821,242.617,241.5974,240.029,238.015,235.6568,233.0195,230.1675,227.1969,224.2022,221.2758,218.0342,214.131,209.7132,204.9287,199.9257,194.8537,189.8646,185.1134,180.7573,176.9564,173.5038,170.0981,166.7604,163.5126,160.3772,157.3753,154.5295,151.8661,149.412,147.1951,145.1263,143.1115,141.1712,139.326,137.5961,135.9871,134.5042,133.168,131.9989,131.0177
ARE,3.2802e-05,3.4532e-05,3.6397e-05,3.8389e-05,4.0501e-05,4.2725e-05,4.5054e-05,4.7481e-05,4.9999e-05,5.26e-05,5.5277e-05,5.8056e-05,6.0968e-05,6.4017e-05,6.7207e-05,7.054e-05,7.4021e-05,7.7652e-05,8.1437e-05,8.5379e-05,8.9482e-05,9.3822e-05,9.8458e-05,0.00010337,0.00010852,0.00011391,0.00011949,0.00012525,0.00013116,0.00013721,0.00014336,0.00014963,0.00015608,0.00016272,0.00016958,0.00017666,0.000184,0.00019161,0.0001995,0.00020771,0.00022987,0.00023771,0.00024658,0.00025639,0.00026708,0.00027859,0.00029083,0.00030375,0.00031727,0.00033133,0.00034585,0.00036146,0.00037868,0.00039729,0.00041707,0.00043778,0.00045921,0.00048113,0.00050331,0.00052552,0.00054756,0.00057113,0.00059747,0.00062555,0.00065437,0.00068292,0.00071019,0.00073517,0.00075685,0.00077424,0.0007863,0.00079476,0.00080226,0.00080923,0.00081609,0.00082326,0.00083115,0.00084019,0.00085079,0.00086339,0.00087838,0.00094979,0.0011184,0.0013647,0.0016694,0.002013,0.0023762,0.0027395,0.0030834,0.0033886,0.0036357,0.003835,0.0040152,0.0041845,0.0043513,0.0045238,0.0047103,0.004919,0.0051582,0.0054361,0.005761,0.0062131,0.0068524,0.0076571,0.0086052,0.0096747,0.010844,0.01209,0.013393,0.012338,0.012653,0.012984,0.019666,0.023217,0.020481,0.024106,0.027774,0.79973,1.0785,20.3547,15.1265,20.963,23.1854,30.266,30.8747,30.5491,38.8417,37.6118,43.3833,34.2444,34.3081,33.3679,33.0881,31.7285,42.5908,45.3279,42.4437,42.5606,42.7755,48.0622,46.4314,50.8296,51.8366,58.5302,64.5729,63.5289,53.2963,55.2624,76.0988,74.2037,105.3716,101.1926,89.7982,117.2766,130.1735,139.4931,142.0681,149.8433,168.4951,173.5612,161.3364,161.7895,167.5222,160.4818,190.871,205.5124,212.6015,208.4461,207.4617,210.0862,212.9063,215.8542,218.5108,220.8898,223.0092,224.8913,226.5697,228.0977,229.527,230.9053,232.2749,233.5656,234.7085,235.7359,236.6706,237.5265,238.2593,238.7898,239.0742,239.0702,238.7371,238.1139,237.2666,236.1938,234.8912,233.3519,231.535,229.4479,227.15,224.6962,222.1362,220.2903,218.2922,216.1978,214.0586,211.9221,209.7743,207.5566,205.2462,202.8209,200.2587,197.7286,195.3429,193.001,190.6088,188.0796,185.3459,182.3323,178.9524,175.1287,170.7931,166.2277,161.7458,157.3339,152.9798,148.6726,144.4427,140.3172,136.2813,132.3209,128.4227,124.4034,120.1574,115.7807,111.3586,106.9663,102.6313,98.3828,94.2852,90.3941,86.7573,83.3041,79.9414,76.6767,73.5155,70.4618,67.5007,64.6181,61.8169,59.0995,56.4678
ARG,0.15013,0.15805,0.16659,0.17571,0.18537,0.19555,0.20621,0.21732,0.22885,0.24075,0.253,0.26572,0.27905,0.29301,0.3076,0.32286,0.33879,0.35541,0.37274,0.39078,0.40956,0.42942,0.45064,0.47311,0.49671,0.52134,0.54689,0.57326,0.60033,0.62799,0.65614,0.68487,0.71438,0.74478,0.77615,0.80858,1.0552,1.0829,0.88899,1.7524,1.3526,0.96087,1.3659,1.5186,1.9171,2.1628,2.1993,1.9968,2.2391,2.7571,1.9868,2.3686,2.6608,2.7041,3.5508,3.7202,5.7787,5.7788,7.014,5.4935,8.1861,9.1228,8.7023,9.3048,7.9719,6.4036,4.636,2.1444,2.4082,3.5016,5.4641,5.1489,6.7558,7.8038,10.1049,10.3813,10.425,12.5516,11.9042,12.3277,12.0393,12.1899,12.4459,12.6054,13.5802,13.4526,14.5366,16.1228,15.9104,16.8714,15.5493,13.9123,13.5469,14.155,14.1859,14.0465,14.2216,15.1586,17.8739,16.2477,29.6302,34.3561,35.5558,34.9088,36.5968,39.4091,43.996,47.3377,44.5343,49.0824,49.2875,51.8126,54.4148,51.363,56.959,60.3132,63.8214,66.3033,70.1684,78.2267,82.2361,87.7175,89.4867,93.1709,94.0308,92.7815,96.975,98.2891,99.9953,108.4508,105.971,99.1466,99.2024,100.8395,101.6047,96.1193,102.7142,112.613,117.7969,113.4938,111.4888,118.959,122.7467,123.1349,128.9349,124.2789,134.3393,138.464,142.9959,144.2806,148.5934,137.9574,131.7326,139.8665,152.7073,160.3816,170.8908,184.2527,187.9495,181.513,189.5523,199.0266,198.4083,203.1436,203.3095,206.1787,205.9359,204.3052,208.0132,212.7977,216.9487,220.6421,224.0841,227.2781,230.2293,232.9453,235.4364,237.7374,239.893,241.9462,243.9381,245.8043,247.4652,248.9387,250.2438,251.3996,252.4425,253.4105,254.3255,255.2089,256.081,257.0163,258.0456,259.1218,260.1967,261.2216,262.1148,262.7923,263.2023,263.2944,263.0193,262.8254,262.6381,262.4139,262.1099,261.6837,261.075,260.2247,259.0933,257.642,255.8325,253.328,249.9216,245.7666,241.0111,235.7987,230.28,224.5876,218.8337,213.1291,207.5836,201.794,195.4026,188.5818,181.4984,174.3132,167.1756,160.2273,153.6102,147.4617,141.915,136.8074,131.8907,127.166,122.6337,118.2937,114.1439,110.1812,106.404,102.8107,99.3996,96.1383,92.9952,89.9705,87.0642,84.277,81.6202,79.1046,76.7296,74.4949,72.4007
ARM,6.0412e-05,7.3208e-05,9.6272e-05,0.00012521,0.00015565,0.00018319,0.00020924,0.00023533,0.00025724,0.00027283,0.0004292,0.00052859,0.00048182,0.00054709,0.00064549,0.00064695,0.0016715,0.0019774,0.0019486,0.0024246,0.0025864,0.0032159,0.0033357,0.0037555,0.0049485,0.0064449,0.009066,0.011037,0.013776,0.015815,0.018175,0.02265,0.024326,0.027141,0.035366,0.043156,0.044682,0.054325,0.058379,0.059304,0.071222,0.085499,0.089178,0.10526,0.098224,0.13018,0.12981,0.14822,0.16718,0.18146,0.2106,0.23287,0.2208,0.20226,0.21352,0.16337,0.18601,0.19914,0.19962,0.21291,0.21769,0.21036,0.21992,0.22023,0.2205,0.23099,0.24698,0.2214,0.093197,0.10472,0.093077,0.093092,0.1137,0.12711,0.13717,0.14519,0.17997,0.22548,0.2272,0.26974,0.45682,0.55262,0.54486,0.56242,0.65065,0.70279,0.78224,0.81231,0.85885,0.86623,0.94108,0.88057,0.78116,0.75593,0.92962,0.64619,0.73926,0.89541,0.98582,1.1298,1.2797,1.3876,1.5322,1.673,1.8549,2.1541,2.4925,2.8958,3.3393,3.7243,4.1624,4.6571,5.2896,5.9443,6.6074,7.242,7.8353,8.4953,9.056,9.6479,9.8854,10.7128,11.4495,12.1816,12.9495,13.8226,14.5163,15.2008,16.0676,16.4805,17.0148,17.544,18.0047,18.5784,19.0267,20.0464,19.7678,21.3019,22.0277,21.906,21.8219,20.3702,25.2376,10.088,9.9368,11.0158,7.5614,7.852,6.6048,4.6796,3.3413,3.3991,2.9985,3.362,3.6236,4.293,4.3433,5.1427,5.7591,4.6792,4.6662,5.4504,6.2958,6.0609,6.096,6.7028,6.7019,6.5722,6.2995,6.3557,6.4135,6.4776,6.5524,6.6372,6.731,6.8326,6.9388,7.0452,7.1489,7.2469,7.3356,7.4223,7.5153,7.6136,7.716,7.8218,7.9302,8.041,8.154,8.2689,8.3857,8.4945,8.5867,8.6646,8.7303,8.7866,8.8364,8.8819,8.9243,8.9653,9.0068,9.0128,9.0127,9.0057,8.9914,8.9691,8.9376,8.8975,8.8516,8.8021,8.7514,8.6967,8.6342,8.5645,8.488,8.4057,8.3189,8.2303,8.1425,8.0579,7.9793,7.9027,7.8238,7.7445,7.6666,7.592,7.5208,7.4522,7.3869,7.3259,7.2698,7.2222,7.1839,7.152,7.1232,7.0944,7.0625,7.0242,6.9753,6.9117,6.8293,6.7226,6.5892,6.4298,6.2452,6.0364,5.8075,5.5623,5.3014,5.0256,4.7361
AUS,0,0,0,0,0,0,0,0,0,0,0.38804,0.7097,0.49526,0.55653,0.37272,0.58716,0.97009,1.2458,1.0212,0.89351,0.83734,0.96499,0.98541,1.2101,1.2407,1.1539,1.2969,1.4858,1.3479,2.027,3.0737,2.461,2.8031,3.38,3.5842,4.0489,4.0233,4.2276,4.9168,4.7739,4.9604,5.4133,5.5567,5.3801,5.7703,6.0007,5.9215,6.3877,7.0145,7.1892,11.4567,12.7006,12.6625,12.5039,12.8337,13.3317,15.5863,16.684,17.9392,15.8114,18.6284,20.3961,21.9162,23.4951,25.5457,22.9568,20.5296,22.0007,24.1464,23.0058,26.9173,24.4406,25.6317,26.1595,28.357,29.5314,29.2056,30.2648,28.0115,25.4909,23.9651,21.5214,22.3236,23.6307,24.8336,27.4295,29.3247,31.2065,30.388,34.5785,31.6662,37.0999,39.046,37.606,36.9348,35.6237,38.37,41.0374,41.5825,40.9706,57.7947,62.1573,63.6245,63.3071,71.9914,75.2272,78.0411,80.029,83.5577,89.9973,94.7622,97.6117,102.539,109.3698,118.1564,130.775,131.0069,140.5167,146.3857,154.3384,159.9705,164.8959,168.741,182.4025,180.8431,184.1776,182.3991,194.8103,209.2032,212.7095,228.687,237.2577,240.4135,234.0582,245.4195,252.3684,250.5797,266.0217,272.8243,292.1234,279.3354,280.8104,285.8531,290.1939,294.9886,306.3978,313.3712,321.8247,335.7141,345.1133,351.2146,358.6987,363.2791,370.7756,384.2647,387.5849,393.7719,401.5254,406.1585,409.4549,407.6059,405.4437,408.187,399.2383,394.4872,403.7482,414.3801,418.2759,415.2412,414.5358,413.482,411.7627,409.1188,405.7761,401.9583,397.8863,393.7155,389.6244,385.8625,382.6749,380.3026,378.5619,377.0796,375.8101,374.7077,373.7264,372.7983,371.8586,370.8648,369.7733,368.5389,367.1886,365.7632,364.2419,362.6111,360.8633,359.039,357.1991,355.3707,353.5814,351.8592,350.5794,349.3593,348.1896,347.0576,345.9474,344.8323,343.6583,342.3676,340.9043,339.2136,337.3136,335.2607,333.0596,330.7153,328.2335,325.6265,322.8925,320.0169,316.9872,313.7926,310.3339,306.5515,302.4965,298.2215,293.7804,289.2426,284.6827,280.1644,275.7509,271.5053,267.3755,263.2713,259.1981,255.1608,251.1638,247.2076,243.2951,239.4337,235.6302,231.8908,228.2075,224.5726,220.9915,217.4693,214.0108,210.617,207.2876,204.0243,200.8292,197.704
