code,CO2AR4_IPCM0EL_TOTAL_NET_SSP2BLMESGB_PMSSPBIE
entity,CO2
scenario,SSP2BLMESGB
datatype,CountryYearMatrix
note,Scenario based on RCPSSP IAM scenario dowscaled to country level using GDP data from SSP scenarios. For methodology see Guetschow et al. 2017
type,NET
class,TOTAL
tablekind,raw
descr,SSPV2IB. SSP2BLMESGB downscaled using SSPV2MIDH. SSP2BLMESGB. and historic shares from PRIMAPHIST21. NON COMMERCIAL USE ALLOWED ONLY
source,PMSSPBIE
category,IPCM0EL
name_category,NatTotalExclLULUCF
family,emi
subsource,NaN
unit,MtCO2eq
gwp,AR4
iso3,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
AFG,0.00029737,0.00031306,0.00032997,0.00034803,0.00036717,0.00038733,0.00040845,0.00043045,0.00045328,0.00047686,0.00050113,0.00052631,0.00055272,0.00058036,0.00060928,0.0006395,0.00067105,0.00070397,0.00073828,0.00077402,0.00081122,0.00085057,0.00089259,0.00093709,0.00098384,0.0010326,0.0010832,0.0011355,0.0011891,0.0012439,0.0012996,0.0013565,0.001415,0.0014752,0.0015373,0.0016016,0.0016681,0.0017371,0.0018087,0.0018831,0.0020009,0.0020467,0.0020983,0.0021555,0.0022178,0.0022847,0.002356,0.0024311,0.0025097,0.0025915,0.0026759,0.0027666,0.0028665,0.0029745,0.0030892,0.0032093,0.0033336,0.0034607,0.0035895,0.0037186,0.0038467,0.0039836,0.0041361,0.0042986,0.0044654,0.004631,0.0047895,0.0049356,0.0050634,0.0051674,0.0052419,0.0053045,0.0053769,0.00546,0.0055548,0.0056621,0.0057828,0.0059178,0.006068,0.0062343,0.0064176,0.0069317,0.0080176,0.0095662,0.011469,0.013616,0.015899,0.018209,0.020437,0.022475,0.024212,0.025773,0.027381,0.029076,0.0309,0.032894,0.0351,0.037557,0.041237,0.031506,0.10837,0.11473,0.12185,0.13341,0.14559,0.19569,0.23135,0.3496,0.39351,0.45588,0.49657,0.57863,0.7882,0.81504,0.95877,1.1404,1.2376,1.4449,1.4029,1.1039,1.8395,2.0678,1.7162,1.8133,2.1037,2.3256,2.2372,2.6335,2.387,2.4638,1.996,2.2096,2.342,2.7584,3.0771,3.7649,3.4051,3.3864,3.1217,3.0297,2.8506,2.6443,1.5968,1.5308,1.4078,1.3614,1.2927,1.2081,1.152,0.93467,0.93391,0.99606,1.2504,1.3794,1.1289,1.5077,1.8248,2.4326,4.3642,6.9335,8.6362,12.4108,10.9863,10.2124,11.1601,11.6575,13.2302,13.6396,14.9882,14.9086,14.9534,15.1147,15.3532,15.6633,16.0393,16.4764,16.9702,17.515,18.1034,18.7285,19.3829,20.0705,20.8001,21.5719,22.3869,23.2461,24.1628,25.1504,26.2114,27.3499,28.5709,29.8878,31.3086,32.8317,34.4556,36.1791,38.0116,39.9573,42.0068,44.1507,46.379,49.0685,51.9222,54.9322,58.0906,61.3894,64.8502,68.5006,72.3419,76.3763,80.6069,85.0554,89.7394,94.6568,99.8064,105.1875,110.8278,116.754,122.9659,129.4641,136.2504,143.4507,151.1543,159.3031,167.8296,176.6563,185.7474,195.059,204.4844,213.9048,223.1885,232.4987,242.0723,251.8805,261.8955,272.0914,282.5053,293.1738,304.0723,315.1786,326.4723,338.0008,349.8037,361.8504,374.1114,386.5579,399.22,412.1231,425.2319,438.5108,451.9241
AGO,0.0011605,0.0012217,0.0012877,0.0013581,0.0014328,0.0015115,0.0015939,0.0016798,0.0017688,0.0018609,0.0019556,0.0020539,0.0021569,0.0022648,0.0023776,0.0024955,0.0026187,0.0027471,0.002881,0.0030205,0.0031657,0.0033192,0.0034832,0.0036569,0.0038393,0.0040297,0.0042272,0.004431,0.0046402,0.004854,0.0050716,0.0052936,0.0055218,0.0057567,0.0059992,0.0062499,0.0065095,0.0067786,0.007058,0.0073484,0.0080098,0.0082958,0.0086056,0.0089379,0.0092914,0.0096647,0.010056,0.010465,0.01089,0.011329,0.011782,0.012284,0.01286,0.013489,0.014151,0.014823,0.015487,0.016119,0.016701,0.01721,0.017626,0.017969,0.018279,0.018563,0.018829,0.019084,0.019337,0.019596,0.019868,0.020161,0.020483,0.020818,0.021149,0.021485,0.021835,0.022206,0.022608,0.02305,0.023539,0.024085,0.024695,0.02546,0.026444,0.027619,0.028958,0.030432,0.032012,0.033672,0.035383,0.037116,0.038844,0.040609,0.042478,0.044456,0.046552,0.048771,0.05112,0.053606,0.056236,0.059017,0.18933,0.25582,0.31866,0.28239,0.35986,0.42263,0.51116,0.62894,0.60378,0.63023,0.56496,0.46314,1.1973,1.1651,1.2393,1.2035,1.5712,1.0115,1.6947,2.8034,3.6064,3.4341,4.5306,4.9007,4.8977,4.437,3.3081,3.5564,5.4311,5.5213,5.3637,5.3007,4.6733,5.1364,5.0191,4.7138,4.6724,5.8263,5.0898,4.9604,5.1349,5.1104,5.2102,5.7953,3.9124,11.0016,10.479,7.4008,7.3235,9.1862,9.573,9.7305,12.6602,9.0498,18.7722,19.0783,22.1783,25.0558,25.5676,27.649,28.9496,30.2286,33.2731,32.4605,34.5514,36.6726,38.0338,38.836,45.8418,47.4202,48.648,49.5578,50.2954,50.8908,51.371,51.7606,52.0766,52.318,52.4798,52.5558,52.5384,52.414,52.2165,52.0064,51.8415,51.7774,51.81,51.9051,52.0703,52.3125,52.6379,53.0774,53.6488,54.3384,55.1325,56.0182,57.0486,58.2649,59.6378,61.1402,62.746,64.8132,67.1625,69.7353,72.4729,75.3153,78.2453,81.2478,84.2644,87.235,90.0984,92.8418,95.5102,98.13,100.7302,103.3429,106.0248,108.8304,111.7937,114.9523,118.3466,122.0745,126.1681,130.5709,135.2249,140.0707,145.0665,150.1675,155.3076,160.4198,165.4362,170.4346,175.5203,180.666,185.8445,191.0287,196.2011,201.3461,206.4399,211.4589,216.3799,221.2193,226.0086,230.7474,235.4357,240.0737,244.6613,249.1968,253.6793,258.1081,262.4824
ALB,0.0062556,0.0065856,0.0069413,0.0073211,0.0077238,0.008148,0.0085922,0.0090551,0.0095352,0.010031,0.010542,0.011072,0.011627,0.012209,0.012817,0.013453,0.014116,0.014809,0.015531,0.016282,0.017065,0.017893,0.018777,0.019713,0.020696,0.021723,0.022787,0.023886,0.025014,0.026166,0.027339,0.028536,0.029766,0.031032,0.03234,0.033691,0.03509,0.036541,0.038047,0.039612,0.039548,0.039728,0.039933,0.040164,0.040417,0.040691,0.040984,0.041294,0.041619,0.041958,0.042308,0.042724,0.043244,0.04384,0.044487,0.045157,0.045824,0.046459,0.047038,0.047532,0.047915,0.048201,0.048434,0.04863,0.048804,0.048971,0.049147,0.049347,0.049588,0.049885,0.050253,0.050767,0.051465,0.052311,0.053266,0.054292,0.055352,0.056406,0.057419,0.05835,0.059164,0.05988,0.060565,0.046446,0.046897,0.052229,0.10321,0.18006,0.19923,0.23711,0.3525,0.32877,0.37798,0.25598,0.12317,0.11176,0.27497,0.47408,0.38011,0.52198,0.2168,0.26892,0.26748,0.29589,0.34886,0.44382,0.54429,0.85738,0.7433,0.86516,1.1367,1.2798,1.3751,1.2281,1.214,1.3086,1.4877,1.5875,1.8028,1.9052,2.1245,2.3699,2.9621,2.8933,2.5119,2.5398,2.7286,3.0848,3.5195,4.0351,3.0321,3.9045,3.8419,3.9306,4.072,4.1013,4.2055,3.9365,3.8548,4.7582,3.9514,5.5741,3.356,3.2693,3.5228,3.4595,3.3593,3.4731,4.214,4.5359,3.2125,3.6697,3.8748,4.1228,4.3882,4.2662,4.18,4.5196,4.6033,5.0085,5.2591,5.961,5.5644,5.7283,6.4718,5.9312,6.1617,6.2572,6.5686,6.5868,6.6143,6.6532,6.7017,6.7576,6.8188,6.8833,6.9516,7.0245,7.1011,7.1804,7.2612,7.3468,7.4405,7.5418,7.65,7.7645,7.884,8.0068,8.1313,8.2557,8.3784,8.5023,8.6304,8.7612,8.8928,9.0236,9.1529,9.2804,9.4053,9.5264,9.6427,9.7462,9.8458,9.9421,10.0354,10.1265,10.216,10.3048,10.3928,10.4805,10.568,10.6538,10.7369,10.818,10.8979,10.9774,11.0568,11.1365,11.2182,11.3033,11.3935,11.4947,11.6094,11.7338,11.8644,11.9972,12.1296,12.2591,12.3823,12.4957,12.5958,12.691,12.7895,12.8882,12.9836,13.0725,13.151,13.2159,13.2641,13.2927,13.2988,13.2916,13.2825,13.272,13.2602,13.2476,13.2335,13.2171,13.1978,13.1751,13.1486
ANNEXI,221.9627,229.5151,240.7421,254.1354,295.8276,305.8985,325.7693,329.6844,333.8708,355.0391,386.4457,402.5891,410.834,442.6081,476.3279,502.0927,516.1981,562.5773,585.23,627.9395,644.6571,683.5469,768.1167,821.5398,773.0784,828.258,834.7172,862.9353,861.8481,945.4221,1069.0925,1110.0246,1186.9734,1266.4448,1292.167,1304.8632,1336.0497,1407.6503,1593.78,1553.7443,1673.3855,1732.7576,1742.2988,1721.7264,1767.3571,1848.2427,1893.9761,1963.5253,2047.5809,2202.4044,2305.9548,2363.9942,2414.6661,2600.4336,2619.0347,2769.0201,2870.2815,3199.4376,3075.1854,3192.1047,3332.6857,3370.8897,3529.3394,3779.1585,3464.8568,3422.5714,3662.9601,3811.2796,3765.4012,3282.3744,3743.0681,3288.1745,3448.1707,3895.7273,3890.2024,3929.9354,3875.576,4227.4733,4197.7527,4484.1632,4150.574,3741.9527,3390.0098,3539.1243,3790.0222,3933.7158,4283.8436,4537.5811,4264.862,4486.9889,4860.1696,4985.8344,5080.1481,5246.4432,5218.0145,4439.6731,4765.3901,5301.2844,5612.6476,5399.1035,5922.1058,6305.8814,6370.8904,6563.3135,6643.0036,7211.0634,7658.065,7834.5699,7781.7414,7989.7688,8361.2553,8553.9113,8905.3025,9369.4221,9770.0537,10101.4213,10474.0821,10844.2217,11332.3835,11947.899,12721.6797,12912.2475,13471.7244,14110.2162,13912.0879,13604.5011,14291.0558,14511.958,15004.8304,15324.5576,15090.8324,14558.0603,14142.5941,14132.7464,14436.4545,14716.2765,14720.5706,15138.4307,15564.5728,15688.336,15368.8425,15063.775,14578.7872,14405.733,14221.9176,14327.8238,14578.8933,14493.6782,14482.0961,14547.2213,14769.1779,14769.2548,14793.1824,15023.1755,15186.8078,15227.2983,15212.1229,15334.7669,14952.383,13920.0418,14418.4128,14286.8864,14106.6179,14081.2139,13872.7123,13705.5002,13571.7359,13584.9685,13433.1015,13424.6162,13419.2157,13418.3849,13421.883,13430.3191,13444.1651,13463.7789,13488.7513,13518.1809,13551.6229,13588.6429,13628.8157,13677.775,13740.0755,13813.6674,13896.484,13986.4437,14081.3552,14179.0205,14277.3246,14374.1372,14467.3136,14561.2663,14660.8113,14764.3896,14870.4322,14977.3614,15083.196,15185.9265,15283.9257,15375.562,15459.1975,15518.7073,15574.4968,15627.2978,15677.8446,15726.8725,15775.2503,15823.668,15872.6,15922.531,15973.9567,16024.6174,16072.7929,16119.7953,16166.9319,16215.5059,16266.762,16321.9238,16382.2572,16449.026,16523.4912,16613.596,16723.5813,16849.1551,16986.0274,17129.9098,17276.5097,17421.5668,17560.8433,17690.103,17805.1107,17916.0783,18033.4433,18153.3093,18271.7779,18384.9485,18488.9012,18579.7056,18653.4418,18706.1877,18734.0191,18750.4363,18770.9009,18794.4293,18820.0382,18846.745,18873.5904,18899.6306,18923.908,18945.466,18963.3498
AOSIS,0.07467,0.07861,0.082855,0.08739,0.092197,0.09726,0.10256,0.10809,0.11382,0.11974,0.12583,0.13216,0.13879,0.14573,0.15299,0.16058,0.1685,0.17677,0.18538,0.19436,0.2037,0.21358,0.22413,0.23531,0.24704,0.25929,0.272,0.28512,0.29858,0.31234,0.32634,0.34062,0.3553,0.37042,0.38603,0.40216,0.41886,0.43618,0.45415,0.47284,0.5286,0.54652,0.5666,0.58893,0.61287,0.63876,0.66608,0.69498,0.72516,0.75607,0.78827,0.82501,0.86524,0.91165,0.95964,1.0094,1.0588,1.1079,1.1539,1.2225,1.3008,1.3935,1.497,1.5515,1.6454,1.7166,1.8257,1.9689,2.2436,2.1541,2.4127,2.5896,2.6245,2.9171,3.4384,3.806,3.8989,4.1208,5.3482,5.7992,5.9326,5.433,5.708,6.632,7.4565,7.8738,8.6392,10.2653,11.4632,12.6773,14.0389,13.2513,14.0481,13.6682,14.1654,14.4336,14.3795,15.495,16.1929,17.1302,11.4347,13.2421,14.0899,14.5348,14.6174,16.1415,16.0019,23.2274,28.3389,26.2096,23.4484,25.3255,30.9368,24.7454,31.4841,32.449,32.4107,36.5931,38.2966,41.3781,55.3384,60.037,66.505,74.2524,74.9687,82.0377,88.7463,93.9654,96.3501,101.2356,100.2067,93.4252,95.6309,93.8313,95.2854,99.6249,97.9062,100.2984,101.9625,108.6307,108.6962,107.5711,114.3723,113.6747,122.6382,114.7251,126.4539,130.0604,129.2235,138.993,146.5563,150.3071,151.6114,143.6917,143.4211,154.9098,164.8084,159.5663,173.8515,186.6046,199.0855,197.3647,195.6914,228.1146,230.2902,237.5274,246.4142,250.7629,249.4225,248.4542,247.9301,247.8566,248.1918,248.8998,249.9366,251.2539,252.7435,254.3079,255.9123,257.5219,259.1013,260.8138,262.7843,264.9264,267.1608,269.4146,271.6308,273.7458,275.6841,277.3745,278.7495,279.9667,281.2143,282.4738,283.7281,284.961,286.1651,287.3529,288.5376,289.7305,290.9414,293.0434,295.1397,297.2531,299.4042,301.6122,303.9113,306.3343,308.8971,311.6157,314.5057,317.5508,320.7411,324.1026,327.6614,331.4438,335.4772,339.7817,344.3731,349.2673,354.4805,360.4683,367.5474,375.5253,384.2097,393.4077,402.9453,412.653,422.3427,431.8247,440.9073,450.2511,460.4684,471.2931,482.4597,493.7025,504.737,515.2777,525.0575,533.8087,541.2627,547.9256,554.4485,560.78,566.8681,572.6603,578.0956,583.1061,587.6292,591.6018,594.9605
ARE,3.2802e-05,3.4532e-05,3.6397e-05,3.8389e-05,4.0501e-05,4.2725e-05,4.5054e-05,4.7481e-05,4.9999e-05,5.26e-05,5.5277e-05,5.8056e-05,6.0968e-05,6.4017e-05,6.7207e-05,7.054e-05,7.4021e-05,7.7652e-05,8.1437e-05,8.5379e-05,8.9482e-05,9.3822e-05,9.8458e-05,0.00010337,0.00010852,0.00011391,0.00011949,0.00012525,0.00013116,0.00013721,0.00014336,0.00014963,0.00015608,0.00016272,0.00016958,0.00017666,0.000184,0.00019161,0.0001995,0.00020771,0.00022987,0.00023771,0.00024658,0.00025639,0.00026708,0.00027859,0.00029083,0.00030375,0.00031727,0.00033133,0.00034585,0.00036146,0.00037868,0.00039729,0.00041707,0.00043778,0.00045921,0.00048113,0.00050331,0.00052552,0.00054756,0.00057113,0.00059747,0.00062555,0.00065437,0.00068292,0.00071019,0.00073517,0.00075685,0.00077424,0.0007863,0.00079476,0.00080226,0.00080923,0.00081609,0.00082326,0.00083115,0.00084019,0.00085079,0.00086339,0.00087838,0.00094979,0.0011184,0.0013647,0.0016694,0.002013,0.0023762,0.0027395,0.0030834,0.0033886,0.0036357,0.003835,0.0040152,0.0041845,0.0043513,0.0045238,0.0047103,0.004919,0.0051582,0.0054361,0.005761,0.0062131,0.0068524,0.0076571,0.0086052,0.0096747,0.010844,0.01209,0.013393,0.012338,0.012653,0.012984,0.019666,0.023217,0.020481,0.024106,0.027774,0.79973,1.0785,20.3547,15.1265,20.963,23.1854,30.266,30.8747,30.5491,38.8417,37.6118,43.3833,34.2444,34.3081,33.3679,33.0881,31.7285,42.5908,45.3279,42.4437,42.5606,42.7755,48.0622,46.4314,50.8296,51.8366,58.5302,64.5729,63.5289,53.2963,55.2624,76.0988,74.2037,105.3716,101.1926,89.7982,117.2766,130.1735,139.4931,142.0681,149.8433,168.4951,173.5612,161.3364,161.7895,167.5222,160.4818,190.871,205.5124,212.6015,208.4461,207.3505,210.2728,214.0121,218.4425,222.9854,227.636,232.388,237.2337,242.1611,247.1331,252.1053,257.0334,261.8735,266.6287,271.3317,275.9818,280.5778,285.1176,289.5831,293.9249,298.0945,302.0445,305.7276,309.0764,312.0925,314.8303,317.3405,319.67,321.8077,323.7761,325.6669,327.5682,329.565,331.8787,334.5823,337.5324,340.6001,343.6716,346.5836,349.0991,351.0141,352.1393,352.3002,351.4336,349.7463,347.4661,344.8013,341.9416,339.0279,336.1799,333.5295,331.1937,329.275,327.9386,327.1743,326.8196,326.7249,326.7531,326.7554,326.5953,326.171,325.3913,324.1745,322.6803,321.1073,319.4406,317.6668,315.7739,313.7359,311.5252,309.1293,306.5367,303.7362,300.7777,297.7207,294.5686,291.3225,287.9823,284.575,281.1269,277.6354,274.0976,270.5105
ARG,0.15013,0.15805,0.16659,0.17571,0.18537,0.19555,0.20621,0.21732,0.22885,0.24075,0.253,0.26572,0.27905,0.29301,0.3076,0.32286,0.33879,0.35541,0.37274,0.39078,0.40956,0.42942,0.45064,0.47311,0.49671,0.52134,0.54689,0.57326,0.60033,0.62799,0.65614,0.68487,0.71438,0.74478,0.77615,0.80858,1.0552,1.0829,0.88899,1.7524,1.3526,0.96087,1.3659,1.5186,1.9171,2.1628,2.1993,1.9968,2.2391,2.7571,1.9868,2.3686,2.6608,2.7041,3.5508,3.7202,5.7787,5.7788,7.014,5.4935,8.1861,9.1228,8.7023,9.3048,7.9719,6.4036,4.636,2.1444,2.4082,3.5016,5.4641,5.1489,6.7558,7.8038,10.1049,10.3813,10.425,12.5516,11.9042,12.3277,12.0393,12.1899,12.4459,12.6054,13.5802,13.4526,14.5366,16.1228,15.9104,16.8714,15.5493,13.9123,13.5469,14.155,14.1859,14.0465,14.2216,15.1586,17.8739,16.2477,29.6302,34.3561,35.5558,34.9088,36.5968,39.4091,43.996,47.3377,44.5343,49.0824,49.2875,51.8126,54.4148,51.363,56.959,60.3132,63.8214,66.3033,70.1684,78.2267,82.2361,87.7175,89.4867,93.1709,94.0308,92.7815,96.975,98.2891,99.9953,108.4508,105.971,99.1466,99.2024,100.8395,101.6047,96.1193,102.7142,112.613,117.7969,113.4938,111.4888,118.959,122.7467,123.1349,128.9349,124.2789,134.3393,138.464,142.9959,144.2806,148.5934,137.9574,131.7326,139.8665,152.7073,160.3816,170.8908,184.2527,187.9495,181.513,189.5523,199.0266,198.4083,203.1436,203.3095,206.1787,205.9359,204.3052,205.569,208.6434,211.8183,215.2268,218.9206,222.8747,227.0627,231.4576,236.0167,240.6854,245.4192,250.1744,254.909,259.9483,265.4918,271.3133,277.1904,282.9045,288.2897,293.2108,297.5032,301.0073,303.569,305.4,306.856,308.0004,308.8935,309.5923,310.1089,310.4343,310.5907,310.5997,310.4819,310.7171,310.6968,310.4943,310.1813,309.8276,309.4971,309.2517,309.1553,309.2704,309.6579,310.3072,311.179,312.29,313.6565,315.294,317.2282,319.4789,322.0524,324.9549,328.1923,332.3727,337.9582,344.7388,352.5092,361.07,370.202,379.6856,389.3295,398.9473,408.3579,418.5224,430.1779,442.8196,455.9545,469.101,481.7871,493.5442,503.9104,512.4331,518.6686,523.5117,528.0844,532.2917,536.0406,539.2399,541.8017,543.6422,544.6784,544.8293,544.0153
ARM,6.0412e-05,7.3208e-05,9.6272e-05,0.00012521,0.00015565,0.00018319,0.00020924,0.00023533,0.00025724,0.00027283,0.0004292,0.00052859,0.00048182,0.00054709,0.00064549,0.00064695,0.0016715,0.0019774,0.0019486,0.0024246,0.0025864,0.0032159,0.0033357,0.0037555,0.0049485,0.0064449,0.009066,0.011037,0.013776,0.015815,0.018175,0.02265,0.024326,0.027141,0.035366,0.043156,0.044682,0.054325,0.058379,0.059304,0.071222,0.085499,0.089178,0.10526,0.098224,0.13018,0.12981,0.14822,0.16718,0.18146,0.2106,0.23287,0.2208,0.20226,0.21352,0.16337,0.18601,0.19914,0.19962,0.21291,0.21769,0.21036,0.21992,0.22023,0.2205,0.23099,0.24698,0.2214,0.093197,0.10472,0.093077,0.093092,0.1137,0.12711,0.13717,0.14519,0.17997,0.22548,0.2272,0.26974,0.45682,0.55262,0.54486,0.56242,0.65065,0.70279,0.78224,0.81231,0.85885,0.86623,0.94108,0.88057,0.78116,0.75593,0.92962,0.64619,0.73926,0.89541,0.98582,1.1298,1.2797,1.3876,1.5322,1.673,1.8549,2.1541,2.4925,2.8958,3.3393,3.7243,4.1624,4.6571,5.2896,5.9443,6.6074,7.242,7.8353,8.4953,9.056,9.6479,9.8854,10.7128,11.4495,12.1816,12.9495,13.8226,14.5163,15.2008,16.0676,16.4805,17.0148,17.544,18.0047,18.5784,19.0267,20.0464,19.7678,21.3019,22.0277,21.906,21.8219,20.3702,25.2376,10.088,9.9368,11.0158,7.5614,7.852,6.6048,4.6796,3.3413,3.3991,2.9985,3.362,3.6236,4.293,4.3433,5.1427,5.7591,4.6792,4.6662,5.4504,6.2958,6.0609,6.096,6.7028,6.7019,6.5722,6.3093,6.3738,6.4378,6.4996,6.5607,6.6245,6.6942,6.7727,6.859,6.9505,7.0475,7.15,7.2583,7.3721,7.4913,7.6161,7.7467,7.8831,8.025,8.1716,8.3229,8.4789,8.6396,8.8088,8.9886,9.1764,9.3696,9.5651,9.7608,9.9532,10.1375,10.3088,10.4621,10.567,10.6682,10.7647,10.8556,10.94,11.0143,11.0773,11.1322,11.1817,11.2287,11.2724,11.3101,11.3418,11.3677,11.388,11.4041,11.4195,11.4375,11.4614,11.4944,11.5413,11.6043,11.6821,11.7733,11.8767,11.9895,12.1078,12.2287,12.3493,12.4667,12.5809,12.6954,12.8117,12.9311,13.0553,13.1861,13.3252,13.474,13.6339,13.8064,14.0002,14.2223,14.4714,14.7466,15.0467,15.3697,15.7136,16.0763,16.456,16.8507
AUS,0,0,0,0,0,0,0,0,0,0,0.38804,0.7097,0.49526,0.55653,0.37272,0.58716,0.97009,1.2458,1.0212,0.89351,0.83734,0.96499,0.98541,1.2101,1.2407,1.1539,1.2969,1.4858,1.3479,2.027,3.0737,2.461,2.8031,3.38,3.5842,4.0489,4.0233,4.2276,4.9168,4.7739,4.9604,5.4133,5.5567,5.3801,5.7703,6.0007,5.9215,6.3877,7.0145,7.1892,11.4567,12.7006,12.6625,12.5039,12.8337,13.3317,15.5863,16.684,17.9392,15.8114,18.6284,20.3961,21.9162,23.4951,25.5457,22.9568,20.5296,22.0007,24.1464,23.0058,26.9173,24.4406,25.6317,26.1595,28.357,29.5314,29.2056,30.2648,28.0115,25.4909,23.9651,21.5214,22.3236,23.6307,24.8336,27.4295,29.3247,31.2065,30.388,34.5785,31.6662,37.0999,39.046,37.606,36.9348,35.6237,38.37,41.0374,41.5825,40.9706,57.7947,62.1573,63.6245,63.3071,71.9914,75.2272,78.0411,80.029,83.5577,89.9973,94.7622,97.6117,102.539,109.3698,118.1564,130.775,131.0069,140.5167,146.3857,154.3384,159.9705,164.8959,168.741,182.4025,180.8431,184.1776,182.3991,194.8103,209.2032,212.7095,228.687,237.2577,240.4135,234.0582,245.4195,252.3684,250.5797,266.0217,272.8243,292.1234,279.3354,280.8104,285.8531,290.1939,294.9886,306.3978,313.3712,321.8247,335.7141,345.1133,351.2146,358.6987,363.2791,370.7756,384.2647,387.5849,393.7719,401.5254,406.1585,409.4549,407.6059,405.4437,408.187,399.2383,394.4872,403.7482,414.3801,418.2759,416.7895,417.9607,419.2082,420.6053,422.0574,423.5556,425.0904,426.6514,428.2095,429.766,431.3528,432.9985,434.7285,436.7242,439.1272,441.8981,444.994,448.3689,451.9174,455.5347,459.1727,462.7817,466.3103,469.929,473.7758,477.7519,481.7611,485.7099,489.5608,493.3056,496.8966,500.2852,503.4225,505.9338,508.2258,510.3736,512.4501,514.5258,516.648,518.8245,521.0655,523.383,525.7903,528.215,530.6015,532.9899,535.4204,537.9337,540.5815,543.3901,546.3644,549.5104,552.8358,556.6177,561.0211,565.8862,571.0528,576.3605,581.6701,586.8496,591.7494,596.2201,600.1128,603.8211,607.7335,611.6942,615.5474,619.1376,622.2995,624.8693,626.6938,627.6205,627.4971,626.7832,626.0287,625.218,624.3348,623.3631,622.2811,621.0645,619.6927,618.1456,616.4028
AUT,2.3683,2.3757,2.8606,3.282,3.2335,3.7668,4.3076,4.9603,7.3733,5.971,6.2582,6.4931,6.467,5.9822,5.1691,5.4489,3.6587,5.0013,6.1836,6.6013,7.4964,10.3196,10.1854,10.9201,9.3164,7.9961,8.2348,7.4143,7.3696,9.0255,24.0705,10.4987,10.7896,11.9718,11.666,12.2627,11.5765,12.4716,12.1658,13.1019,13.2868,15.1588,14.6898,17.8624,18.2845,20.4844,21.3953,23.0856,24.496,24.8507,27.6762,28.3329,25.7224,25.7301,27.2141,28.5907,34.054,42.4083,59.4028,43.3451,58.1919,48.745,51.2455,60.3608,49.2624,35.2415,9.5145,3.999,3.8964,3.5906,14.8856,19.6191,18.9083,18.1557,20.4694,19.4376,19.1271,20.6528,21.9081,24.9066,19.7524,18.9597,16.1507,15.2601,14.8512,15.0884,14.8201,16.5233,7.3617,7.9902,9.0484,9.7268,10.2785,11.3914,11.4897,6.7023,14.4873,19.2824,26.1947,28.4226,23.002,25.5065,24.5077,24.4114,27.5089,32.3762,31.8858,33.2471,32.5175,32.7375,35.9577,37.3273,39.6197,43.0451,45.4282,45.116,46.6357,47.6721,50.3119,52.8864,58.4007,59.8596,65.0217,68.9332,66.721,62.7996,67.3813,64.8986,66.2057,70.9386,61.2458,64.4715,61.5765,60.2839,63.616,63.2469,62.2021,65.8293,62.2357,62.9658,63.8076,67.1964,61.5277,61.9109,62.2822,65.4433,68.9724,69.0033,68.6031,66.9486,67.5911,71.6258,73.5407,79.1823,79.1261,80.7803,78.5728,75.8193,74.9145,68.6248,73.2434,71.2178,68.7793,69.2366,65.5187,67.7602,68.3182,70.9582,67.3475,67.202,67.1453,67.1761,67.2435,67.3529,67.5094,67.7181,67.9701,68.2572,68.5841,68.9555,69.3757,69.8753,70.4753,71.1661,71.938,72.7813,73.688,74.644,75.6297,76.6251,77.6102,78.6129,79.6639,80.7472,81.8465,82.9455,84.0379,85.1217,86.1867,87.2226,88.2186,89.0872,89.9252,90.7359,91.5227,92.2891,93.0376,93.775,94.5107,95.2544,96.0159,96.7809,97.5337,98.2825,99.0352,99.7997,100.5801,101.381,102.2111,103.0792,103.9943,105.0106,106.1545,107.3928,108.6919,110.0175,111.3422,112.6428,113.891,115.0586,116.1169,117.1421,118.2086,119.2841,120.3363,121.3323,122.2398,123.0267,123.6615,124.1122,124.347,124.4555,124.5468,124.6183,124.6673,124.6909,124.6848,124.6438,124.5635,124.4396,124.2679
