code,CO2AR4_IPCMAG_TOTAL_NET_HISTCR_PRIMAPHIST21
entity,CO2
category,IPCMAG
name_category,Agriculture
type,NET
class,TOTAL
source,PRIMAPHIST21
descr,Result of CO2_IPCM3D2AG_TOTAL_NET_HISTORY_CRF2019+CO2_IPCM3CAG_TOTAL_NET_HISTORY_CRF2019 - regarding information just missing in one of the tables as zero; interpolation of NaN values by 'perform_interpolation_on_table' Extrapolated with growthrates from CO2_IPC1A_TOTAL_NET_HISTCR_PRIMAPHIST21 | built by Johannes Guetschow
note,calculated by the function combine_tables_varying_in_one_sheet_as by CC and JN from PRIMAP | built by Johannes Guetschow
scenario,HISTCR
datatype,CountryYearMatrix
tablekind,usr
family,emi
subsource,Summary1.As2; Table3s2
unit,MtCO2eq
gwp,AR4
iso3,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
AFG,2.7559e-06,2.9013e-06,3.058e-06,3.2253e-06,3.4027e-06,3.5896e-06,3.7853e-06,3.9892e-06,4.2007e-06,4.4192e-06,4.6442e-06,4.8776e-06,5.1223e-06,5.3784e-06,5.6464e-06,5.9265e-06,6.2189e-06,6.524e-06,6.842e-06,7.1732e-06,7.5179e-06,7.8826e-06,8.2721e-06,8.6845e-06,9.1177e-06,9.5698e-06,1.0039e-05,1.0523e-05,1.102e-05,1.1527e-05,1.2044e-05,1.2571e-05,1.3113e-05,1.3671e-05,1.4247e-05,1.4842e-05,1.5459e-05,1.6098e-05,1.6762e-05,1.7451e-05,1.9832e-05,2.065e-05,2.1574e-05,2.2598e-05,2.3713e-05,2.4914e-05,2.6192e-05,2.754e-05,2.8951e-05,3.0418e-05,3.1933e-05,3.3563e-05,3.5362e-05,3.7306e-05,3.9372e-05,4.1536e-05,4.3774e-05,4.6063e-05,4.838e-05,5.0699e-05,5.2998e-05,5.546e-05,5.8212e-05,6.1148e-05,6.4161e-05,6.7144e-05,6.999e-05,7.2593e-05,7.4845e-05,7.6641e-05,7.7873e-05,7.8672e-05,7.9275e-05,7.9735e-05,8.0107e-05,8.0444e-05,8.08e-05,8.1227e-05,8.1779e-05,8.2511e-05,8.3475e-05,9.0308e-05,0.00010724,0.00013223,0.00016321,0.00019814,0.00023497,0.00027164,0.00030611,0.00033632,0.00036023,0.00037851,0.00039381,0.00040704,0.0004191,0.0004309,0.00044334,0.00045733,0.00049087,0.00027489,0.0016493,0.0017181,0.0017868,0.0019242,0.0020617,0.0028863,0.0034361,0.0054978,0.006185,0.0068722,0.0074907,0.0087965,0.01237,0.012301,0.014569,0.017318,0.01883,0.022816,0.022129,0.0167,0.0239,0.0219,0.0394,0.0262,0.0362,0.0417,0.0454,0.0548,0.0524,0.0489,0.0575,0.0429,0.0589,0.0555,0.0788,0.0794,0.0774,0.0773,0.077,0.0772,0.069,0.0659,0.0596,0.0629,1.01e-05,0.0039351,0.00786,0.00786,0.00864,0.00786,0.00786,0.0333,0.0327,0.0361,0.0409,0.0346,0.02218,0.0072535,1.26e-05,3.01e-05,4.76e-05,3.6e-06,0.0080203,0.0070283,0.0060363,0.0050442,0.0040522,0.0030602
ALB,1.5859e-05,1.6696e-05,1.7598e-05,1.8561e-05,1.9582e-05,2.0657e-05,2.1783e-05,2.2957e-05,2.4174e-05,2.5431e-05,2.6726e-05,2.8069e-05,2.9477e-05,3.0951e-05,3.2493e-05,3.4105e-05,3.5788e-05,3.7544e-05,3.9374e-05,4.128e-05,4.3263e-05,4.5362e-05,4.7603e-05,4.9976e-05,5.247e-05,5.5071e-05,5.7771e-05,6.0556e-05,6.3415e-05,6.6337e-05,6.9311e-05,7.2345e-05,7.5463e-05,7.8674e-05,8.1988e-05,8.5414e-05,8.8961e-05,9.2639e-05,9.6458e-05,0.00010043,0.00011025,0.00011437,0.00011884,0.00012365,0.00012878,0.0001342,0.00013989,0.00014584,0.00015203,0.00015843,0.00016502,0.00017235,0.00018076,0.00018995,0.00019963,0.00020947,0.00021919,0.00022847,0.00023702,0.00024453,0.00025069,0.00025567,0.00025994,0.00026369,0.00026708,0.0002703,0.00027353,0.00027693,0.0002807,0.000285,0.00029002,0.00029615,0.00030351,0.00031186,0.00032096,0.00033057,0.00034045,0.00035035,0.00036004,0.00036927,0.00037779,0.0003853,0.00039185,8.0542e-05,8.0542e-05,0.00020135,0.0013692,0.0031814,0.0038257,0.004752,0.0076112,0.0068058,0.008175,0.0050741,0.0016914,0.0013289,0.0053157,0.010189,0.007732,0.011155,0.0032217,0.0043492,0.0040673,0.0044701,0.0054366,0.0070474,0.0088596,0.016149,0.012766,0.015464,0.021827,0.024444,0.026418,0.022149,0.021464,0.023115,0.027223,0.02823,0.032096,0.033827,0.0424,0.0481,0.0503,0.0569,0.0573,0.0565,0.0714,0.0788,0.113,0.111,0.107,0.114,0.111,0.115,0.118,0.118,0.118,0.104,0.109,0.125,0.115,0.035,0.0233,0.0234,0.0195,0.0159,0.00849,0.00632,0.0272,0.00855,0.00924,0.0132,0.0343,0.0204,0.0434,0.0216,0.0275,0.0264,0.0196,0.0311,0.0268,0.0264,0.026,0.030116,0.030866,0.031616,0.032367,0.033117
AND,4.936e-06,5.1964e-06,5.477e-06,5.7768e-06,6.0945e-06,6.4292e-06,6.7797e-06,7.1449e-06,7.5238e-06,7.9152e-06,8.318e-06,8.7361e-06,9.1744e-06,9.6332e-06,1.0113e-05,1.0615e-05,1.1139e-05,1.1685e-05,1.2255e-05,1.2848e-05,1.3465e-05,1.4118e-05,1.4816e-05,1.5555e-05,1.633e-05,1.714e-05,1.798e-05,1.8847e-05,1.9737e-05,2.0647e-05,2.1572e-05,2.2516e-05,2.3487e-05,2.4486e-05,2.5518e-05,2.6584e-05,2.7688e-05,2.8833e-05,3.0021e-05,3.1256e-05,3.4272e-05,3.5535e-05,3.6909e-05,3.8388e-05,3.9965e-05,4.1635e-05,4.339e-05,4.5225e-05,4.7132e-05,4.9106e-05,5.114e-05,5.3392e-05,5.5966e-05,5.8776e-05,6.1732e-05,6.4747e-05,6.7734e-05,7.0605e-05,7.3273e-05,7.565e-05,7.7647e-05,7.9316e-05,8.0795e-05,8.2126e-05,8.3355e-05,8.4525e-05,8.5681e-05,8.6865e-05,8.8123e-05,8.9498e-05,9.1035e-05,9.2861e-05,9.5012e-05,9.7386e-05,9.9885e-05,0.00010241,0.00010486,0.00010713,0.00010914,0.00011076,0.00011192,0.00011279,0.00011364,0.00011444,0.00011517,0.00011584,0.00011641,0.00011689,0.00011724,0.00011746,0.00011754,0.00011733,0.00011676,0.00011592,0.0001149,0.00011379,0.00011268,0.00011166,0.00011082,0.00011025,0.00011004,0.00011072,0.00011262,0.00011558,0.00011944,0.00012403,0.00012918,0.00013473,0.0001405,0.00014635,0.00015208,0.00015878,0.00016728,0.00017704,0.00018756,0.00019831,0.00020877,0.00021841,0.00022672,0.00023317,0.00031771,0.00034287,0.00037558,0.00040748,0.00042975,0.00046513,0.00050818,0.00053093,0.00057907,0.00065488,0.00068214,0.00076819,0.00083316,0.00088088,0.00088459,0.0010237,0.0011709,0.0011959,0.0012562,0.0013278,0.0013735,0.0014416,0.0014507,0.0015173,0.0014887,0.0014337,0.0015174,0.0015002,0.0015011,0.0015436,0.0014602,0.0015623,0.0015903,0.0016732,0.0017303,0.0018547,0.00184,0.0019475,0.0019644,0.001914,0.0021313,0.0018113,0.0019415,0.0020853,0.0021254,0.0021656,0.0022057,0.0022458
ANNEXI,0.28631,0.30233,0.32837,0.3501,0.40175,0.43127,0.46078,0.47569,0.49746,0.50849,0.54696,0.58914,0.62662,0.68107,0.74334,0.80161,0.83084,0.90787,0.95823,1.0193,1.0557,1.1376,1.2612,1.3516,1.2826,1.3968,1.5131,1.5248,1.5664,1.6897,1.8764,1.9317,2.0422,2.1899,2.2412,2.2929,2.3417,2.45,2.7051,2.7663,2.9983,3.1501,3.1583,3.2052,3.2799,3.4769,3.6157,3.817,4.0353,4.3457,4.5702,4.7132,4.7556,5.1097,5.1745,5.4654,5.6962,6.4216,6.3267,6.5221,6.7214,6.8297,7.3238,7.8291,6.9419,6.7555,7.3337,7.548,7.0297,5.2803,6.675,6.1177,6.2416,6.7081,6.9708,7.004,7.1091,7.7758,7.8122,8.5326,7.8179,7.1597,6.3822,6.6838,7.2557,7.6284,8.3772,9.0887,8.8645,9.2762,10.984,10.9964,11.0135,11.7064,11.3244,7.936,9.3551,10.4791,11.1313,11.1072,12.2245,13.1505,13.5067,13.9735,14.4982,15.8282,16.9239,17.6037,17.8386,18.4763,19.3743,19.9814,21.1051,22.5194,23.7134,24.5256,25.5048,26.2658,27.5439,29.0973,28.8678,29.3611,30.0091,30.713,30.9701,32.2564,32.959,33.4929,34.4957,35.0888,35.781,36.3795,36.8457,37.8722,38.0531,39.2559,40.0786,40.3821,39.8422,40.5374,40.8493,36.037,32.5563,29.4138,26.1584,26.4706,24.7238,24.5074,25.4636,25.1976,25.1328,24.9158,26.1475,26.8584,25.9336,26.0876,25.4231,26.2964,26.6033,25.0014,26.6101,26.5697,29.3802,27.9172,28.6856,28.8476,29.291,29.7295
AOSIS,0.00054854,0.00057748,0.00060867,0.00064198,0.00067729,0.00071448,0.00075343,0.00079402,0.00083612,0.00087962,0.00092439,0.00097085,0.0010195,0.0010705,0.0011239,0.0011796,0.0012378,0.0012986,0.0013619,0.0014278,0.0014964,0.001569,0.0016465,0.0017286,0.0018148,0.0019048,0.0019982,0.0020945,0.0021934,0.0022945,0.0023973,0.0025023,0.0026101,0.0027212,0.0028358,0.0029543,0.003077,0.0032042,0.0033363,0.0034735,0.0038305,0.0039738,0.0041311,0.0043014,0.004484,0.0046779,0.0048824,0.0050966,0.0053197,0.0055507,0.005789,0.0060506,0.0063469,0.0066693,0.0070093,0.0073584,0.0077081,0.0080499,0.0083753,0.0089593,0.009672,0.010559,0.011592,0.012088,0.013022,0.013709,0.014801,0.016261,0.019147,0.018034,0.020703,0.02241,0.02246,0.025229,0.030437,0.033915,0.034369,0.036215,0.049057,0.053416,0.05436,0.048461,0.050939,0.060488,0.068957,0.073053,0.08096,0.098335,0.11116,0.12424,0.13919,0.13068,0.13997,0.13644,0.14278,0.14638,0.1464,0.15948,0.16739,0.17841,0.17261,0.18538,0.19968,0.20251,0.19575,0.21819,0.21175,0.37107,0.4646,0.42034,0.36946,0.35623,0.44329,0.35515,0.43956,0.45264,0.45355,0.49611,0.54223,0.55768,0.63777,0.58614,0.58488,0.62712,0.60304,0.63213,0.74268,0.86416,0.86553,0.94078,0.94759,1.0313,0.95138,0.84435,0.94153,0.95542,1.0133,0.84553,0.76243,0.98602,0.86757,0.82674,0.75018,0.40968,0.38581,0.33133,0.38421,0.4307,0.40361,0.31119,0.29899,0.29594,0.26447,0.20027,0.21721,0.21747,0.28489,0.23287,0.2726,0.29251,0.29342,0.34119,0.29815,0.27134,0.27044,0.26956,0.27514,0.28103
ARE,3.3915e-09,3.5705e-09,3.7633e-09,3.9692e-09,4.1876e-09,4.4175e-09,4.6584e-09,4.9093e-09,5.1696e-09,5.4386e-09,5.7154e-09,6.0026e-09,6.3037e-09,6.619e-09,6.9488e-09,7.2935e-09,7.6533e-09,8.0288e-09,8.4201e-09,8.8278e-09,9.252e-09,9.7007e-09,1.018e-08,1.0688e-08,1.1221e-08,1.1777e-08,1.2354e-08,1.295e-08,1.3561e-08,1.4186e-08,1.4822e-08,1.5471e-08,1.6138e-08,1.6825e-08,1.7533e-08,1.8266e-08,1.9025e-08,1.9811e-08,2.0628e-08,2.1476e-08,2.4407e-08,2.5413e-08,2.655e-08,2.781e-08,2.9183e-08,3.066e-08,3.2233e-08,3.3892e-08,3.5629e-08,3.7434e-08,3.9299e-08,4.1304e-08,4.3518e-08,4.5911e-08,4.8453e-08,5.1116e-08,5.3871e-08,5.6688e-08,5.9538e-08,6.2393e-08,6.5223e-08,6.8252e-08,7.1639e-08,7.5252e-08,7.896e-08,8.2631e-08,8.6133e-08,8.9336e-08,9.2109e-08,9.4318e-08,9.5834e-08,9.6817e-08,9.7559e-08,9.8126e-08,9.8584e-08,9.8999e-08,9.9436e-08,9.9962e-08,1.0064e-07,1.0154e-07,1.0273e-07,1.1114e-07,1.3198e-07,1.6272e-07,2.0085e-07,2.4384e-07,2.8916e-07,3.343e-07,3.7672e-07,4.139e-07,4.4332e-07,4.6581e-07,4.8464e-07,5.0092e-07,5.1577e-07,5.3029e-07,5.456e-07,5.6282e-07,5.8306e-07,6.0743e-07,6.3706e-07,6.804e-07,7.4356e-07,8.2408e-07,9.1953e-07,1.0274e-06,1.1454e-06,1.2709e-06,1.4016e-06,1.2259e-06,1.2259e-06,1.2259e-06,2.0432e-06,2.4519e-06,2.0432e-06,2.4519e-06,2.8605e-06,0.00010257,0.00013853,0.0001418,8.51e-05,8.51e-05,0.000106,0.000106,0.000127,0.000179,0.000219,0.000112,0.000162,0.000516,0.00058,0.000627,0.00064,0.000707,0.000539,0.000804,0.000295,0.00057,0.000589,0.00229,0.0027,0.00417,0.00577,0.00609,0.00704,0.00775,0.00766,0.00777,0.00815,0.00838,0.00801,0.00805,0.00811,0.0082,0.00823,0.00761,0.00901,0.00706,0.00905,0.0131,0.0138,0.0103,0.0109,0.011518,0.011809,0.012099,0.012389,0.012679
ARG,0.0029016,0.0030547,0.0032196,0.0033958,0.0035826,0.0037794,0.0039854,0.0042001,0.0044228,0.0046529,0.0048897,0.0051355,0.0053931,0.0056628,0.005945,0.0062398,0.0065477,0.0068689,0.0072037,0.0075525,0.0079154,0.0082993,0.0087094,0.0091436,0.0095998,0.010076,0.01057,0.011079,0.011602,0.012137,0.012681,0.013236,0.013807,0.014394,0.015,0.015627,0.020393,0.020929,0.017181,0.033867,0.026444,0.0181,0.026726,0.029979,0.038463,0.043695,0.044473,0.04016,0.045322,0.056352,0.039948,0.048079,0.054301,0.05522,0.07325,0.076856,0.12069,0.12069,0.14699,0.11461,0.17195,0.19189,0.18291,0.19571,0.16729,0.13384,0.096158,0.043059,0.048645,0.071907,0.11369,0.10691,0.14091,0.1629,0.21148,0.21685,0.2172,0.258,0.24358,0.25001,0.24273,0.24273,0.24803,0.25036,0.26938,0.26316,0.28338,0.31266,0.30353,0.3246,0.29576,0.25786,0.2498,0.2626,0.25892,0.25333,0.25355,0.26705,0.32369,0.28268,0.56238,0.65981,0.68173,0.66222,0.69298,0.74558,0.83509,0.89611,0.82922,0.92199,0.91584,0.9589,1.0072,0.94129,1.0466,1.1033,1.1386,1.1755,1.2363,1.3946,1.1912,1.3184,1.4341,1.3184,0.93678,0.74133,0.76562,0.95528,1.1565,1.1681,1.1415,0.70895,0.82344,0.77487,0.96338,0.80494,0.87317,0.8431,0.95991,0.80378,0.91596,0.92735,0.92769,0.96065,0.90404,0.89105,0.92592,0.89088,0.8991,0.9019,1.0502,1.1591,1.0597,1.1398,1.051,1.0663,1.1064,1.1126,1.0233,1.0451,0.83521,0.80657,0.7975,0.88177,0.894,0.82549,0.80344,0.78139
ARM,1.4867e-07,1.8016e-07,2.3691e-07,3.0814e-07,3.8304e-07,4.508e-07,5.1491e-07,5.7912e-07,6.3304e-07,6.7141e-07,1.0562e-06,1.3008e-06,1.1857e-06,1.3463e-06,1.5885e-06,1.5921e-06,4.1134e-06,4.8663e-06,4.7954e-06,5.9668e-06,6.3648e-06,7.9139e-06,8.2088e-06,9.2419e-06,1.2178e-05,1.586e-05,2.2311e-05,2.716e-05,3.3902e-05,3.892e-05,4.4728e-05,5.5739e-05,5.9863e-05,6.6791e-05,8.7032e-05,0.0001062,0.00010996,0.00013369,0.00014367,0.00014594,0.00017527,0.00021041,0.00021946,0.00025902,0.00024172,0.00032035,0.00031946,0.00036476,0.00041141,0.00044656,0.00051827,0.00057306,0.00054335,0.00049773,0.00052544,0.00040204,0.00045774,0.00049006,0.00049126,0.00052394,0.00053571,0.0005176,0.00054094,0.00054141,0.00054165,0.000567,0.00060581,0.00054226,0.00022615,0.00025386,0.00022458,0.00022393,0.00027386,0.00030599,0.00032979,0.00034848,0.00043295,0.00052344,0.00052811,0.00062706,0.0010789,0.001311,0.0012893,0.0013377,0.001545,0.0016623,0.0018423,0.0019173,0.0020267,0.0020424,0.0022253,0.0020741,0.0018366,0.0017817,0.0022162,0.0015256,0.0017371,0.0021053,0.0023075,0.0026446,0.0029852,0.0032251,0.0035516,0.0038627,0.0042604,0.0049395,0.0057235,0.0066503,0.0076719,0.0085401,0.0095285,0.010669,0.012136,0.013681,0.015245,0.016704,0.018059,0.019605,0.020926,0.022328,0.022,0.0247,0.0269,0.0295,0.0321,0.0352,0.0348,0.0357,0.0366,0.0356,0.0396,0.04,0.0431,0.0492,0.0489,0.0523,0.0545,0.0563,0.0554,0.0471,0.0409,0.0378,0.0238,0.0238,0.011,0.011,0.0128,0.0128,0.015,0.00968,0.011,0.00792,0.00704,0.0022,0.0246,0.0246,0.0359,0.0641,0.0612,0.0723,0.0777,0.1,0.123,0.10489,0.1127,0.12051,0.12831,0.13612
AUS,0,0,0,0,0,0,0,0,0,0,0.00048055,0.00087891,0.00061334,0.00068922,0.00046159,0.00072715,0.0012014,0.0015428,0.0012646,0.0011065,0.001037,0.0011951,0.0012204,0.0014986,0.0015365,0.001429,0.0016061,0.00184,0.0016693,0.0025103,0.0038065,0.0030477,0.0034714,0.0041859,0.0044388,0.0050142,0.0049826,0.0052355,0.0060891,0.0059121,0.0061207,0.0069175,0.0071641,0.0068416,0.0075245,0.0079228,0.0077711,0.0085867,0.009687,0.0099842,0.017547,0.019741,0.019658,0.019361,0.01993,0.020797,0.02478,0.026709,0.028915,0.025115,0.030092,0.033203,0.035871,0.03864,0.042245,0.03761,0.033259,0.035827,0.039589,0.037515,0.044407,0.039956,0.042011,0.042883,0.046715,0.048726,0.048068,0.049864,0.044711,0.040202,0.037414,0.033392,0.034891,0.036965,0.038811,0.04306,0.046121,0.049175,0.048068,0.054884,0.049516,0.059026,0.06251,0.06005,0.058659,0.05582,0.060499,0.064837,0.065425,0.064053,0.093373,0.10082,0.10273,0.1012,0.11544,0.12027,0.1242,0.12661,0.13184,0.14223,0.14969,0.15374,0.16114,0.17153,0.1848,0.20532,0.20433,0.21961,0.22876,0.24159,0.2615,0.26382,0.28927,0.29506,0.29621,0.29737,0.30316,0.29506,0.34018,0.35754,0.3587,0.36911,0.37721,0.41424,0.47325,0.47672,0.45821,0.49176,0.5068,0.56234,0.58201,0.6349,0.68981,0.76703,0.86878,0.9194,0.94555,1.1537,1.3287,1.5129,1.7011,1.8186,1.9304,1.9259,2.0351,1.9635,1.8297,1.8158,1.8304,1.9432,2.1891,2.2006,2.0451,2.0381,2.4909,2.5766,2.6633,2.8617
AUT,0.0049873,0.005003,0.006024,0.0069115,0.0068094,0.0079325,0.0090713,0.010446,0.015527,0.012574,0.013179,0.013674,0.013619,0.012598,0.010886,0.011475,0.0077047,0.010532,0.013022,0.013902,0.015786,0.021732,0.021449,0.022996,0.019619,0.016839,0.017342,0.015614,0.015519,0.019007,0.050689,0.022109,0.022722,0.025211,0.024567,0.025824,0.024379,0.026264,0.02562,0.027591,0.027944,0.032036,0.031007,0.037942,0.038861,0.043668,0.045655,0.049346,0.052425,0.053195,0.059368,0.060797,0.05508,0.055088,0.058323,0.061324,0.073262,0.091522,0.12868,0.093549,0.12601,0.10534,0.1108,0.13072,0.10644,0.075759,0.019478,0.0073984,0.007155,0.0064638,0.031141,0.041453,0.039835,0.038107,0.043071,0.040707,0.039914,0.043134,0.044862,0.051208,0.039796,0.038484,0.032146,0.030214,0.029154,0.029452,0.028745,0.032248,0.01171,0.012802,0.014875,0.016203,0.017593,0.019784,0.02013,0.009786,0.026931,0.037495,0.051718,0.055802,0.043425,0.048294,0.045836,0.045066,0.050807,0.060342,0.058402,0.060287,0.057923,0.057263,0.062989,0.064952,0.069343,0.075696,0.079372,0.077471,0.07927,0.080747,0.085836,0.090847,0.088467,0.087654,0.088061,0.089077,0.088976,0.088569,0.089077,0.089281,0.089891,0.088569,0.091315,0.090196,0.091213,0.091315,0.091823,0.092636,0.092636,0.092535,0.094365,0.094162,0.094383,0.096888,0.097255,0.096601,0.097984,0.099801,0.10019,0.10076,0.10157,0.10128,0.098559,0.095742,0.096189,0.098717,0.10201,0.10295,0.10476,0.10697,0.10489,0.11001,0.10724,0.1056,0.10842,0.10786,0.11136,0.11191,0.11607,0.11449
