code,CO2AR4_IPCMLULUCF_TOTAL_NET_HISTCR_PRIMAPHIST21
entity,CO2
category,IPCMLULUCF
name_category,LULUCF
type,NET
class,TOTAL
source,PRIMAPHIST21
descr,Data read in by JG. LJ; interpolation of NaN values by 'perform_interpolation_on_table'; interpolation of NaN values by 'perform_interpolation_on_table'; interpolation of NaN values by 'perform_interpolation_on_table'; interpolation of NaN values by 'perform_interpolation_on_table'; interpolation of NaN values by 'perform_interpolation_on_table'; interpolation of NaN values by 'perform_interpolation_on_table'; interpolation of NaN values by 'perform_interpolation_on_table'; interpolation of NaN values by 'perform_interpolation_on_table' | built by Louise Jeffery and Johannes Guetschow
note,emissions/removalsRenamed as composite source from CO2_IPCMLULUCF_TOTAL_NET_HISTORY_CRF2019! | Renamed as composite source from CO2_IPCMLULUCF_TOTAL_NET_PMHTHISTCR_TEMPSRC1! | Add the countries {AND.NAM} from CO2_IPCMLULUCF_TOTAL_NET_HISTORY_BUR3IPCC2006I || Renamed as composite source from CO2_IPCMLULUCF_TOTAL_NET_PMHTHISTCR_TEMPSRC2! | Add the countries {ARG.COL.IDN.MDA.MEX.MKD.ZAF} from CO2_IPCMLULUCF_TOTAL_NET_HISTORY_BUR2IPCC2006I || Renamed as composite source from CO2_IPCMLULUCF_TOTAL_NET_PMHTHISTCR_TEMPSRC3! | Add the countries {MNG.MRT.TGO} from CO2_IPCMLULUCF_TOTAL_NET_HISTORY_BUR1IPCC2006I || Renamed as composite source from CO2_IPCMLULUCF_TOTAL_NET_PMHTHISTCR_TEMPSRC4! | Add the countries {ALB.ARE.ARM.AZE.BGD.BIH.BOL.BRA.CAF.CHL.CHN.CRI.CUB.DMA.DOM.ETH.GEO.GHA.GTM.GUY.IND.ISR.JOR.KEN.KGZ.KOR.LBN.LCA.MAR.MDG.MLI.MNE.MUS.MYS.NER.PER.PRK.PRY.SAU.TCD.TJK.URY.UZB.VCT.VNM.YEM.ZWE} from CO2_IPCMLULUCF_TOTAL_NET_HISTORY_UNFCCC2019BI || Renamed as composite source from CO2_IPCMLULUCF_TOTAL_NET_PMHTHISTCR_TEMPSRC5! | Add the countries {AGO.AIA.ANT.ATG.BDI.BEN.BFA.BHR.BHS.BLZ.BRB.BRN.BTN.BWA.CIV.CMR.COD.COG.COK.COM.CPV.DZA.ECU.EGY.ERI.FJI.FSM.GAB.GIN.GMB.GNB.GNQ.GRD.HTI.IRN.IRQ.JAM.KHM.KIR.KNA.KWT.LAO.LBR.LKA.LSO.MDV.MMR.MOZ.MWI.NGA.NIC.NIU.NPL.OMN.PAK.PAN.PCN.PHL.PLW.PNG.RWA.SDN.SEN.SGP.SLB.SLE.SLV.SOM.SRB.SSD.STP.SUR.SWZ.SYR.TCA.THA.TKM.TLS.TON.TTO.TUN.TUV.TZA.UGA.VEN.VGB.VUT.WSM.ZMB} from CO2_IPCMLULUCF_TOTAL_NET_HISTORY_FAO2019BIPMH || Renamed as composite source from CO2_IPCMLULUCF_TOTAL_NET_PMHTHISTCR_TEMPSRC6! | Add the countries {ABW.AFG.DJI.HKG.HND.IOT.LBY.MAC.MHL.NRU.QAT.SHN.SMR.SYC.TKL.VAT} from CO2_IPCMLULUCF_TOTAL_NET_HISTORY_HOUGHTONDWNI ||  | built by Louise Jeffery and Johannes Guetschow
scenario,HISTCR
datatype,CountryYearMatrix
tablekind,csg
family,emi
subsource,Table4; Table10s2; Summary1.As2
unit,MtCO2eq
gwp,AR4
iso3,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ABW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,0.080067,0.080065,0.080062,0.080058,0.080054,0.080048,0.080048,0.080048,0.080048,0.080048,0.080047,0.17497,0.19283,0.20916,0.21731,0.22458,0.23118,0.23725,0.24288,0.24815,0.25313,0.25786,0.26237,0.26668,0.27082,0.27481,0.27793,0.28101,0.28405,0.28673,0.28938,0.29202,0.29465,0.29726,0.29987,0.30248,0.30503,0.30754,0.31,0.31241,0.31479,0.31711,0.3194,0.32164,0.32384,0.326,0.32813,0.33021,0.33225,0.33425,0.33622,0.3837,0.39327,0.40202,0.40684,0.41115,0.41482,0.41813,0.42113,0.42386,0.42634,0.42918,0.4313,0.43329,0.43514,0.43687,0.43774,0.43851,0.43918,0.43961,0.43996,0.44023,0.44044,0.44058,0.44065,0.44067,0.60335,0.63972,0.67232,0.68053,0.68679,0.69851,0.70911,0.71884,0.7279,0.73643,0.74449,0.75217,0.75951,0.76657,0.77337,0.7795,0.78543,0.79119,0.79572,0.8001,0.80425,0.80827,0.81218,0.81597,0.81966,0.6542,0.62097,0.58691,0.54496,0.50311,0.49017,0.47764,0.46557,0.45401,0.44294,0.43217,0.42174,0.41162,0.40177,0.39217,0.4131,0.41674,0.41945,0.41512,0.41038,0.41119,0.41207,0.41296,0.41384,0.41469,0.41545,0.41611,0.41666,0.4171,0.41743,0.32572,0.31745,0.3153,0.34544,0.37868,0.38942,0.40163,0.41491,0.429,0.44367,0.44367,0.44367,0.44367,0.44367,0.44367,0.44367,0.44367,0.44367,0.44367,0.44367,0.44367,0.44367,0.44367,0.44367,0.44367,0.44367,0.44367,0.44367,0.44367,0.44367,0.44367,0.44367,0.44367,0.44367,0.44367,0.44367,0.44367
AGO,-0.61206,-0.48561,-0.42167,-0.44815,-0.41185,-0.49692,-0.47772,-0.49554,-0.63473,-0.75732,-0.87985,-1.0024,-0.93954,-0.78976,-0.55656,-0.23409,-0.11658,0.0010946,0.016597,-0.09981,-0.21611,-0.33009,-0.44412,-0.31541,-0.11018,-0.0070705,0.096041,0.11353,0.13107,0.14851,0.044458,-0.04922,-0.1429,-0.24943,-0.11305,0.023217,0.15938,0.20175,0.12263,0.020349,0.03861,-0.10169,-0.24204,-0.4658,-0.65266,-0.56086,-0.57344,-0.39828,-0.22311,-0.17462,-0.23977,-0.30841,-0.01027,0.67532,1.5973,2.794,4.2398,5.7495,7.2641,8.7069,10.0036,11.2923,12.6483,13.9062,15.1216,16.3241,17.5196,18.9485,20.2276,21.4995,22.799,23.8761,24.895,25.8931,26.7094,27.5006,28.2591,28.9867,29.9605,30.9265,31.7899,32.7465,33.662,34.7731,35.8024,37.3873,38.3158,39.3786,40.4311,41.6911,42.916,44.0094,45.2311,46.4933,47.7694,49.0365,50.4488,51.7364,53.8349,55.9401,58.1577,60.4079,58.5473,60.2327,61.8955,63.7367,65.5533,67.4201,68.9601,70.5516,72.1069,73.3514,73.8524,76.7454,77.7739,79.2638,78.742,79.3352,77.0531,80.9658,77.2557,79.0759,81.1395,83.3247,85.455,79.8457,87.8499,78.6727,82.3455,83.0617,79.9138,92.108,100.4688,107.9024,113.4838,108.8503,106.8335,106.7775,111.9938,108.8978,86.7784,86.7784,86.7784,86.7784,86.7784,86.7784,82.2243,79.4018,84.018,79.4618,82.6412,70.8279,86.9615,92.6066,99.475,98.412,79.5601,95.8138,79.1672,81.0107,82.8599,106.4438,80.6893,91.0993,77.272,92.2666,73.8063,83.611
AIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.036667,0,-0.036667,0,-0.036667,0,0,-0.036667,0,0,-0.036667,0,0,0.036667,0.073333,0.036667,0.036667,0.073333,0,0,0,0,0,0,0
ALB,2.0993,2.0985,2.0977,2.0969,2.0961,2.0953,2.0945,2.0937,2.0928,2.092,2.0912,2.0921,2.0942,2.0968,2.0998,2.1031,2.1068,2.1108,2.1152,2.1198,2.1247,1.9715,1.9467,1.9232,1.9005,1.8787,1.8609,1.8443,1.8289,1.8145,1.8011,1.7884,1.7765,1.7654,1.7549,1.7451,1.7497,1.7546,1.7597,1.7652,1.7708,1.7765,1.7821,1.7877,1.7932,1.7986,1.8039,1.8091,1.8141,1.819,1.8235,1.8303,1.8377,1.8456,1.854,1.8628,1.872,1.8815,1.8914,1.9015,1.9118,1.9222,1.9327,1.9433,1.9538,1.9644,1.9767,1.9887,2.0005,2.0119,2.0231,2.0356,2.0477,2.0595,2.0709,2.0819,2.0724,2.0595,2.0434,2.0241,2.0018,1.9765,1.9484,1.9176,1.8842,1.8482,1.8113,1.7734,1.7345,1.6947,1.6542,1.6134,1.5726,1.5318,1.4909,1.4501,1.4094,1.3689,1.3286,1.2885,1.2486,1.2169,1.1894,1.1659,1.1463,1.1304,1.1181,1.1092,1.1037,1.1015,1.1024,1.0257,1.0151,1.0066,0.99995,0.99513,0.99157,0.98917,0.98784,0.98748,0.938,0.87116,0.80014,0.72517,0.64645,0.56415,0.48435,0.4003,0.31215,0.22005,0.16373,0.12863,0.099442,0.075888,0.057715,0.044685,0.036886,0.034069,0.036051,0.04265,3.4773,3.5178,1.9996,1.4944,1.7818,1.5011,1.431,1.3021,1.08,0.89452,3.303,2.507,2.056,1.719,1.789,1.715,1.638,1.618,1.179,0.911,-0.24954,-0.34462,-0.39671,-0.39678,-0.39678,-0.38704,-0.39684,-0.39436
AND,-0.001807,-0.0018092,-0.0018113,-0.0018135,-0.0018157,-0.001818,-0.0018202,-0.0018225,-0.0018247,-0.001827,-0.0018293,-0.0018269,-0.0018209,-0.0018138,-0.0018056,-0.0017965,-0.0017862,-0.0017751,-0.0017632,-0.0017504,-0.0017369,-0.0021595,-0.0022277,-0.0022927,-0.0023551,-0.0024154,-0.0024645,-0.0025102,-0.0025527,-0.0025924,-0.0026293,-0.0026644,-0.0026972,-0.0027279,-0.0027567,-0.0027837,-0.0027712,-0.0027577,-0.0027435,-0.0027285,-0.0027129,-0.0026973,-0.0026818,-0.0026663,-0.0026511,-0.0026362,-0.0026215,-0.0026073,-0.0025934,-0.0025801,-0.0025676,-0.0025488,-0.0025285,-0.0025066,-0.0024835,-0.0024592,-0.0024339,-0.0024076,-0.0023804,-0.0023526,-0.0023241,-0.0022953,-0.0022663,-0.0022372,-0.0022081,-0.002179,-0.0021451,-0.002112,-0.0020795,-0.0020478,-0.002017,-0.0019826,-0.0019492,-0.0019167,-0.0018853,-0.0018549,-0.0018811,-0.0019166,-0.0019611,-0.0020143,-0.0020759,-0.0021456,-0.0022231,-0.002308,-0.0024002,-0.0024994,-0.0026012,-0.0027058,-0.0028131,-0.0029227,-0.0030346,-0.003147,-0.0032595,-0.0033722,-0.0034849,-0.0035974,-0.0037096,-0.0038214,-0.0039326,-0.0040433,-0.0041531,-0.0042405,-0.0043164,-0.0043812,-0.0044353,-0.0044792,-0.0045132,-0.0045376,-0.0045528,-0.0045589,-0.0045564,-0.004768,-0.0047973,-0.0048208,-0.004839,-0.0048523,-0.0048621,-0.0048687,-0.0048724,-0.0048734,-0.0050099,-0.0051942,-0.0053901,-0.0055969,-0.005814,-0.006041,-0.0062611,-0.0064929,-0.006736,-0.00699,-0.0071454,-0.0072422,-0.0073227,-0.0073876,-0.0074378,-0.0074737,-0.0074952,-0.007503,-0.0074975,-0.0074793,-0.13001,-0.13015,-0.13029,-0.13044,-0.13058,-0.13072,-0.12739,-0.12406,-0.12074,-0.11741,-0.11408,-0.11451,-0.11494,-0.11537,-0.11579,-0.11622,-0.1203,-0.12437,-0.12845,-0.13253,-0.13661,-0.13576,-0.13587,-0.13526,-0.13527,-0.13538,-0.13545,-0.1356
ANNEXI,1007.852,1013.038,1252.081,1281.7991,1310.9417,1339.0787,1365.7135,1391.4553,1415.8091,1439.4084,1462.2535,1494.8906,1280.7275,1282.6446,1283.4583,1284.6636,1286.2617,1281.1434,1277.001,1273.127,1269.4709,1264.5921,1563.4932,1588.9551,1610.5353,1630.6293,1651.7992,1672.5039,1693.2375,1713.1655,1732.4481,1747.2616,1545.2175,1539.3391,1534.7161,1530.774,1528.1946,1517.2214,1506.3095,1495.6687,1485.3212,1472.3832,1520.2226,1523.5114,1530.9496,1538.4831,1538.9249,1543.931,1541.8327,1539.7174,1537.6231,1544.6491,1428.671,1411.1029,1388.9292,1368.1473,1353.9603,1338.4906,1330.8297,1323.1895,1315.0435,1309.9422,1227.6018,1233.9323,1232.1388,1229.9425,1226.5527,1222.6933,1217.2163,1219.5097,1206.5665,1193.2103,1103.0816,1078.3831,1052.9648,1022.0469,1025.7872,1156.7853,1154.9757,1238.8204,1508.113,1489.2692,1108.4939,1076.3359,1037.2942,1015.4003,970.6746,858.8478,845.9185,816.6227,749.6644,679.5377,698.818,620.1553,579.0389,521.5627,486.103,509.0556,452.8547,419.0907,407.619,925.3432,860.5087,861.2975,937.6515,971.0493,1075.2813,1138.8841,1338.465,951.1912,945.9511,865.3197,859.7006,824.73,801.8389,772.032,851.5776,826.4291,789.8271,794.1757,667.7699,364.2078,298.1637,168.3246,129.277,129.0527,164.0491,146.0282,132.7393,108.7725,75.7808,72.4242,90.3579,72.7414,48.6776,50.9114,48.2925,51.4369,62.275,31.8848,-1333.3497,-1401.6466,-1424.3619,-1411.785,-1571.4595,-1618.321,-1776.6932,-1818.1594,-1955.2386,-1960.7573,-1944.6484,-1971.7576,-1983.4003,-1901.9777,-1892.9889,-1920.8837,-1944.1771,-1882.8304,-1936.7159,-2046.4119,-2055.5774,-2060.5756,-2059.5972,-2023.2937,-1929.4598,-1981.2284,-1982.8785,-1916.0802
ANT,-1.929e-18,-3.3916e-05,-6.7832e-05,-0.00010175,-0.00013566,-0.00016958,-0.00020349,-0.00023741,-0.00027133,-0.00030524,-0.00033916,-0.00037307,-0.00040699,-0.0004409,-0.00047482,-0.00050874,-0.00054265,-0.00057657,-0.00061048,-0.0006444,-0.00067832,-0.00071223,-0.00074615,-0.00078006,-0.00081398,-0.00084789,-0.00088181,-0.00091573,-0.00094964,-0.00098356,-0.0010175,-0.0010514,-0.0010853,-0.0011192,-0.0011531,-0.0011871,-0.001221,-0.0012549,-0.0012888,-0.0013227,-0.0013566,-0.0013905,-0.0014245,-0.0014584,-0.0014923,-0.0015262,-0.0015601,-0.001594,-0.001628,-0.0016619,-0.0016958,-0.0017297,-0.0017636,-0.0017975,-0.0018315,-0.0018654,-0.0018993,-0.0019332,-0.0019671,-0.002001,-0.0020349,-0.0020689,-0.0021028,-0.0021367,-0.0021706,-0.0022045,-0.0022384,-0.0022724,-0.0023063,-0.0023402,-0.0023741,-0.002408,-0.0024419,-0.0024759,-0.0025098,-0.0025437,-0.0025776,-0.0026115,-0.0026454,-0.0026793,-0.0027133,-0.0027472,-0.0027811,-0.002815,-0.0028489,-0.0028828,-0.0029168,-0.0029507,-0.0029846,-0.0030185,-0.0030524,-0.0030863,-0.0031202,-0.0031542,-0.0031881,-0.003222,-0.0032559,-0.0032898,-0.0033237,-0.0033577,-0.0033916,-0.0034255,-0.0034594,-0.0034933,-0.0035272,-0.0035612,-0.0035951,-0.003629,-0.0036629,-0.0036968,-0.0037307,-0.0037646,-0.0037986,-0.0038325,-0.0038664,-0.0039003,-0.0039342,-0.0039681,-0.0040021,-0.004036,-0.0040699,-0.0041038,-0.0041377,-0.0041716,-0.0042056,-0.0042395,-0.0042734,-0.0043073,-0.0043412,-0.0043751,-0.004409,-0.004443,-0.0044769,-0.0045108,-0.0045447,-0.0045786,-0.0046125,-0.0046465,-0.0046804,-0.0047143,0,0,0,0,0,0,0,0,-0.036667,0,0,0,0,0,0,0,0,0.036667,0,0,0,0.0091667,0.0091667,0.0091667,0.0091667,0.0091667,0.0091667,0.0091667
AOSIS,4.7655,4.7223,4.6856,4.6523,4.623,4.596,4.5726,4.5514,4.5317,4.5141,4.4535,4.5663,4.607,4.6334,4.6538,4.6731,4.6314,4.5911,4.5518,4.5134,4.5214,5.2212,5.4113,5.5756,5.6459,5.7005,5.766,5.8665,5.9597,6.047,6.1286,10.2202,11.3768,12.3152,13.0991,13.7701,14.1726,14.4672,14.7139,14.9202,15.099,13.0284,12.6301,12.3279,12.0982,11.9247,11.8127,11.7327,11.676,11.6361,11.6089,19.4571,21.7265,23.5831,25.1462,26.498,27.1837,27.7224,28.1734,28.5572,28.8582,20.9994,18.7681,16.8159,15.2354,13.859,13.3923,13.0005,12.6829,12.4201,12.1695,17.8858,19.5014,20.8153,21.9184,22.8772,23.1393,23.3618,23.5349,23.6681,23.8287,25.356,25.7908,26.1374,26.4159,26.6468,26.9929,27.2813,27.539,27.7743,27.9906,27.8546,27.8285,27.8199,27.8311,27.8412,28.6814,29.2089,29.7384,30.2637,30.7927,41.2659,44.4993,46.8805,48.6918,50.2364,51.1632,51.9242,52.5226,53.0611,53.5357,68.2075,72.5533,76.0836,78.8851,81.3508,82.63,83.7389,84.3511,85.1307,85.7923,75.4493,72.9793,71.1382,70.0218,69.0249,69.1025,69.1337,69.2268,69.2856,69.3766,70.1503,98.0743,105.471,111.2775,116.1291,119.7175,121.4307,122.5685,123.2621,-18.3713,-18.3371,-18.4873,-18.2199,-19.6505,-22.4889,-36.9082,36.6073,-40.4503,-40.14,-39.8946,-32.2676,-11.6244,-35.0302,-8.6711,35.6513,118.0473,108.6257,115.8806,114.8364,132.2245,49.2239,51.4136,53.9155,64.2735,115.8332,58.1876,73.0524
ARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.21,-1.21,-1.1733,-1.21,-4.227,-5.1333,-6.0397,-6.946,-7.8523,-8.7587,-9.665,-10.3766,-11.0882,-11.7998,-12.5114,-13.223,-12.6909,-12.1589,-11.6268,-11.0947,-10.5627,-10.0306,-9.4985,-8.9664,-8.4344,-0.22,-0.22,-4.4602
