code,CO2AR4_IPCMLULUCF_TOTAL_NET_HISTORY_UNFCCC2019BI
entity,CO2
category,IPCMLULUCF
name_category,LULUCF
type,NET
class,TOTAL
descr,GHG data submitted to the UNFCCC by Parties: non-AnnexI Parties only. See http://unfccc.int/di/DetailedByParty.do
note,Read in by JG and RG
source,UNFCCC2019BI
scenario,HISTORY
datatype,CountryYearMatrix
tablekind,usr
family,emi
subsource,UNFCCC_2019B.csv
unit,MtCO2eq
gwp,AR4
iso3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
ALB,3.4773,3.5178,1.9996,1.4944,1.7818,1.5011,1.431,1.3021,1.08,0.89452,3.303,2.507,2.056,1.719,1.789,1.715,1.638,1.618,1.179,0.911,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ARE,NaN,NaN,NaN,NaN,-4.227,NaN,NaN,NaN,NaN,NaN,-9.665,NaN,NaN,NaN,NaN,-13.223,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-8.4344,NaN,NaN
ARG,-15.3343,NaN,NaN,NaN,-34.8067,NaN,NaN,-30.2655,NaN,NaN,-43.9409,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,108.2401,NaN,85.275,NaN,NaN,NaN,NaN
ARM,-0.79342,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.45669,NaN,NaN,NaN,NaN,NaN,-0.50907,NaN,NaN,NaN,-0.53857,NaN,NaN,NaN,NaN,NaN,NaN
AZE,-3.69,-3.65,-3.621,-3.618,-3.715,-3.79,-3.855,-4.068,-4.556,-4.618,-4.87,-4.893,-5.089,-5.225,-5.276,-5.349,-5.353,-5.438,-5.383,-5.36,-5.41,-5.435,-5.442,-6.2001,NaN,NaN,NaN
BGD,NaN,NaN,NaN,NaN,7.838,NaN,NaN,NaN,NaN,NaN,NaN,28.419,NaN,NaN,NaN,18.2055,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BIH,-7.4235,-7.689,-10.147,-10.568,-10.081,-10.24,-9.367,-8.483,-8.307,-7.297,-7.302,-7.212,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.141,-6.398,NaN,NaN
BOL,22.0967,NaN,NaN,NaN,24.997,NaN,NaN,NaN,25.6651,NaN,26.2092,NaN,31.9504,NaN,36.2034,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BRA,756.97,616.425,761.554,821.046,821.387,1837.508,1191.467,898.942,1145.47,1137.736,1197.175,1192.787,1401.764,2311.652,2501.327,1797.842,1399.63,1193.617,1294.043,379.257,310.736,247.427,215.312,348.643,198.723,293.093,NaN
CAF,NaN,NaN,NaN,NaN,-139.336,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1766.5816,-1766.5816,-1766.5816,-1766.5816,-1766.5816,-1766.5816,-1766.5816,-1766.5816,NaN,NaN,NaN,NaN,NaN,NaN
