code,HFCSAR4_IPC2_TOTAL_NET_HISTCR_PRIMAPHIST21
entity,HFCSAR4
category,IPC2
name_category,IndustrialProcessesAndProductUse
type,NET
class,TOTAL
source,PRIMAPHIST21
descr,Data read in by JG. LJ; interpolation of NaN values by 'perform_interpolation_on_table' Extrapolated with growthrates from HFCSAR4_IPC2_TOTAL_NET_HISTORY_RCPI | built by Johannes Guetschow
note,Renamed as composite source from HFCSAR4_IPC2_TOTAL_NET_HISTORY_CRF2019! | Pad values of country DEU... || Renamed as composite source from HFCSAR4_IPC2_TOTAL_NET_PMHTHISTCR_TEMPSRC1! | Add the countries {AND} from HFCSAR4_IPC2_TOTAL_NET_HISTORY_BUR3IPCC2006I || Renamed as composite source from HFCSAR4_IPC2_TOTAL_NET_PMHTHISTCR_TEMPSRC2! | Add the countries {ARG.COL.MDA.MEX.MKD} from HFCSAR4_IPC2_TOTAL_NET_HISTORY_BUR2IPCC2006I || Renamed as composite source from HFCSAR4_IPC2_TOTAL_NET_PMHTHISTCR_TEMPSRC3! | Add the countries {MNG.MRT} from HFCSAR4_IPC2_TOTAL_NET_HISTORY_BUR1IPCC2006I || Renamed as composite source from HFCSAR4_IPC2_TOTAL_NET_PMHTHISTCR_TEMPSRC4! | Add the countries {AZE.BOL.BRA.CHL.GEO.KEN.KOR.LCA.MUS.MYS.SGP.URY.UZB} from HFCSAR4_IPC2_TOTAL_NET_HISTORY_UNFCCC2019BI || Renamed as composite source from HFCSAR4_IPC2_TOTAL_NET_PMHTHISTCR_TEMPSRC5! | Add the countries {AGO.ALB.ARM.ATG.BIH.BLR.BRN.CHN.COG.COM.CRI.CUB.DZA.ECU.EGY.ETH.GAB.GHA.GTM.IND.ISR.JAM.JOR.KGZ.KNA.KWT.LBR.MDG.MNE.MOZ.NGA.OMN.PER.PNG.PRK.RWA.SAU.SLE.SLV.SMR.SOM.SRB.TJK.TKM.TWN.VAT.VCT.VEN.ZAF.ZMB} from HFCSAR4_IPC2_TOTAL_NET_HISTORY_EDGAR42COMPI || Pad values of country ARG... || Pad values of country AUS... || Pad values of country AUT... || Pad values of country AZE... || Pad values of country BEL... || Pad values of country BGR... || Pad values of country BRA... || Pad values of country CAN... || Pad values of country CHE... || Pad values of country CZE... || Pad values of country DEU... || Pad values of country DNK... || Pad values of country ESP... || Pad values of country EST... || Pad values of country FIN... || Pad values of country FRA... || Pad values of country GBR... || Pad values of country GEO... || Pad values of country GRC... || Pad values of country HRV... || Pad values of country HUN... || Pad values of country IRL... || Pad values of country ISL... || Pad values of country ITA... || Pad values of country JPN... || Pad values of country KAZ... || Pad values of country KOR... || Pad values of country LIE... || Pad values of country LTU... || Pad values of country LUX... || Pad values of country LVA... || Pad values of country MCO... || Pad values of country MDA... || Pad values of country MEX... || Pad values of country MKD... || Pad values of country MLT... || Pad values of country MUS... || Pad values of country MYS... || Pad values of country NLD... || Pad values of country NOR... || Pad values of country NZL... || Pad values of country POL... || Pad values of country PRT... || Pad values of country ROU... || Pad values of country RUS... || Pad values of country SGP... || Pad values of country SVK... || Pad values of country SVN... || Pad values of country SWE... || Pad values of country TUR... || Pad values of country UKR... || Pad values of country URY... || Pad values of country USA... || Pad values of country UZB... ||  | built by Johannes Guetschow
scenario,HISTCR
datatype,CountryYearMatrix
tablekind,csg
family,emi
subsource,Table2(I)s1; Summary1.As1
unit,MtCO2eq
gwp,AR4
iso3,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
AGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0011e-10,1.4861e-09,3.0865e-09,5.0299e-09,7.1448e-09,9.2596e-09,1.1203e-08,1.2803e-08,1.3889e-08,1.429e-08,1.3966e-08,1.3089e-08,1.1796e-08,1.0225e-08,8.5163e-09,6.8074e-09,5.2371e-09,3.9439e-09,3.0663e-09,2.743e-09,2.7982e-09,2.9552e-09,3.201e-09,3.5225e-09,3.9069e-09,4.341e-09,4.812e-09,5.3068e-09,5.8124e-09,6.3159e-09,6.8464e-09,7.4415e-09,8.1015e-09,8.8262e-09,9.6158e-09,1.047e-08,1.1389e-08,1.2373e-08,1.3422e-08,1.4536e-08,1.5795e-08,1.7273e-08,1.8959e-08,2.0844e-08,2.2918e-08,2.5171e-08,2.7594e-08,3.0175e-08,3.2906e-08,3.5776e-08,3.9132e-08,4.3234e-08,4.7942e-08,5.3114e-08,5.861e-08,6.4289e-08,7.001e-08,7.5633e-08,8.1016e-08,8.602e-08,9.068e-08,9.5179e-08,9.9593e-08,1.04e-07,1.0847e-07,1.1309e-07,1.1793e-07,1.2307e-07,1.2859e-07,1.2827e-07,4.8231e-07,1.1368e-06,2.463e-06,5.6949e-06,1.3725e-05,6.358e-05,0.00013516,0.0002463,0.00038195,0.00074485,0.0020107,0.0045273,0.0070734,0.011903,0.022218,0.022382,0.026428,0.030474,0.033226,0.035978,0.036557,0.039478,0.042399,0.04532,0.048242,0.051163,0.054084
ALB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4471e-08,1.6518e-07,3.4306e-07,5.5906e-07,7.9412e-07,1.0292e-06,1.2452e-06,1.4231e-06,1.5438e-06,1.5882e-06,1.5523e-06,1.4548e-06,1.311e-06,1.1365e-06,9.4656e-07,7.5662e-07,5.8209e-07,4.3835e-07,3.4081e-07,3.0488e-07,3.1102e-07,3.2846e-07,3.5578e-07,3.9152e-07,4.3424e-07,4.8249e-07,5.3484e-07,5.8983e-07,6.4603e-07,7.0199e-07,7.6095e-07,8.271e-07,9.0046e-07,9.8101e-07,1.0688e-06,1.1637e-06,1.2659e-06,1.3753e-06,1.4918e-06,1.6156e-06,1.7556e-06,1.9198e-06,2.1072e-06,2.3168e-06,2.5473e-06,2.7977e-06,3.0669e-06,3.3539e-06,3.6574e-06,3.9763e-06,4.3494e-06,4.8053e-06,5.3286e-06,5.9035e-06,6.5143e-06,7.1455e-06,7.7814e-06,8.4064e-06,9.0047e-06,9.5608e-06,1.0079e-05,1.0579e-05,1.1069e-05,1.1559e-05,1.2057e-05,1.257e-05,1.3108e-05,1.3679e-05,1.4292e-05,1.4257e-05,3.565e-05,7.9206e-05,0.00042368,0.0011982,0.0029583,0.005382,0.0052854,0.0083859,0.012676,0.017534,0.024423,0.031218,0.041532,0.05523,0.071082,0.078835,0.089665,0.1005,0.1103,0.1201,0.12299,0.13193,0.14086,0.1498,0.15874,0.16768,0.17662
AND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9188e-05,0.00025522,0.00052582,0.00084868,0.0011915,0.0016101,0.002158,0.0027995,0.003499,0.0042207,0.0050125,0.0059088,0.0068543,0.0077938,0.008672,0.0094663,0.010116,0.010457,0.011309,0.011038,0.012292,0.013278
ANNEXI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41211,1.5307,3.1792,5.1809,7.3592,9.5375,11.5392,13.1876,14.3062,14.7183,14.3853,13.4815,12.1494,10.532,8.7718,7.0117,5.3942,4.0622,3.1583,2.8253,2.8822,3.0439,3.297,3.6282,4.0241,4.4713,4.9564,5.466,5.9868,6.5054,7.0518,7.6648,8.3446,9.0911,9.9043,10.7843,11.731,12.7446,13.825,14.9722,16.2689,17.7908,19.5278,21.4696,23.606,25.9267,28.4216,31.0804,33.893,39.6885,42.6199,44.2156,51.6373,57.5253,51.377,61.684,68.3939,74.7369,78.2683,83.1428,85.5905,80.4149,93.0173,97.9503,97.9133,104.6096,109.1887,127.4369,136.5872,129.8489,125.2113,127.2777,121.2929,131.3077,158.3814,171.8424,194.8418,219.7253,211.1309,221.3481,213.2046,215.6867,211.8912,227.7003,240.2735,251.0306,272.0404,285.8492,283.3327,302.4083,309.0226,321.0501,330.879,346.1536,347.0467,352.3268,368.3319
AOSIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1378e-05,0.00019083,0.00039635,0.0006459,0.00091747,0.001189,0.0014386,0.0016441,0.0017836,0.0018349,0.0017934,0.0016807,0.0015147,0.001313,0.0010936,0.00087415,0.0006725,0.00050644,0.00039375,0.00035224,0.00035933,0.00037948,0.00041104,0.00045233,0.00050168,0.00055743,0.00061791,0.00068145,0.00074638,0.00081103,0.00087915,0.00095558,0.0010403,0.0011334,0.0012348,0.0013445,0.0014625,0.0015889,0.0017236,0.0018666,0.0020282,0.002218,0.0024345,0.0026766,0.002943,0.0032323,0.0035433,0.0038748,0.0042254,0.0045938,0.0050239,0.0055518,0.0061605,0.0068276,0.0075363,0.0082704,0.009006,0.0097341,0.010435,0.011085,0.011684,0.012264,0.012844,0.013438,0.013998,0.014609,0.015254,0.01596,0.016686,0.017445,0.019117,0.022055,0.029009,0.039749,0.056085,0.076307,0.089585,0.1065,0.13206,0.2145,0.31139,0.30087,0.304,0.3508,0.36406,0.89714,0.99795,1.0987,1.1986,1.2985,1.354,1.4412,1.539,1.6563,1.7641,1.8718,1.9796
ARG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00068604,0.0025481,0.0052923,0.0086245,0.012251,0.015877,0.019209,0.021953,0.023815,0.024501,0.023947,0.022442,0.020225,0.017532,0.014602,0.011672,0.0089797,0.0067623,0.0052576,0.0047033,0.004798,0.0050671,0.0054885,0.0060398,0.0066988,0.0074433,0.0082508,0.0090992,0.0099662,0.010829,0.011739,0.01276,0.013891,0.015134,0.016487,0.017952,0.019528,0.021216,0.023014,0.024924,0.027083,0.029616,0.032508,0.03574,0.039296,0.04316,0.047313,0.051739,0.056421,0.069367,0.076083,0.080656,0.096288,0.10972,0.10025,0.12325,0.14005,0.15688,0.16848,0.1837,0.19362,0.1863,0.22086,0.23828,0.24458,0.26817,0.28731,0.34433,0.37913,0.42333,0.37173,0.3684,0.39542,0.43132,0.41392,0.43646,0.48039,0.46224,0.44543,0.48301,0.4693,0.49729,0.54127,0.58328,0.64296,0.67118,0.69944,0.67074,0.56647,0.66727,0.71919,0.68258,0.72673,0.7356,0.76802,0.78606,0.80409
ARM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5659e-14,5.816e-14,1.2079e-13,1.9685e-13,2.7962e-13,3.6238e-13,4.3844e-13,5.0107e-13,5.4358e-13,5.5923e-13,5.4658e-13,5.1224e-13,4.6163e-13,4.0017e-13,3.3329e-13,2.6641e-13,2.0496e-13,1.5435e-13,1.2e-13,1.0735e-13,1.0951e-13,1.1566e-13,1.2527e-13,1.3786e-13,1.529e-13,1.6989e-13,1.8832e-13,2.0769e-13,2.2747e-13,2.4718e-13,2.6794e-13,2.9123e-13,3.1706e-13,3.4542e-13,3.7632e-13,4.0976e-13,4.4573e-13,4.8424e-13,5.2529e-13,5.6888e-13,6.1815e-13,6.7598e-13,7.4197e-13,8.1575e-13,8.9693e-13,9.8511e-13,1.0799e-12,1.1809e-12,1.2878e-12,1.2816e-12,3.1527e-12,7.7555e-12,1.9078e-11,4.6931e-11,1.1545e-10,2.8399e-10,6.986e-10,1.7185e-09,4.2274e-09,1.0399e-08,2.5581e-08,6.2928e-08,1.548e-07,3.8079e-07,9.3672e-07,2.3043e-06,5.6684e-06,1.3944e-05,3.4301e-05,7.1093e-05,0.00029135,0.00034161,0.0012147,0.0031864,0.0075772,0.013137,0.017507,0.025738,0.034851,0.047691,0.070477,0.11055,0.17321,0.25312,0.38234,0.40881,0.47527,0.54173,0.59486,0.64799,0.656,0.70635,0.75671,0.80706,0.85742,0.90777,0.95813
ATG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2702e-08,4.7178e-08,9.7985e-08,1.5968e-07,2.2682e-07,2.9396e-07,3.5565e-07,4.0646e-07,4.4093e-07,4.5364e-07,4.4337e-07,4.1551e-07,3.7446e-07,3.2461e-07,2.7036e-07,2.1611e-07,1.6626e-07,1.252e-07,9.7344e-08,8.708e-08,8.8833e-08,9.3816e-08,1.0162e-07,1.1183e-07,1.2403e-07,1.3781e-07,1.5276e-07,1.6847e-07,1.8452e-07,2.005e-07,2.1734e-07,2.3624e-07,2.5719e-07,2.802e-07,3.0526e-07,3.3238e-07,3.6156e-07,3.928e-07,4.261e-07,4.6146e-07,5.0142e-07,5.4833e-07,6.0187e-07,6.6172e-07,7.2756e-07,7.9909e-07,8.7599e-07,9.5793e-07,1.0446e-06,1.1357e-06,1.2423e-06,1.3725e-06,1.522e-06,1.6862e-06,1.8606e-06,2.0409e-06,2.2225e-06,2.401e-06,2.5719e-06,2.7308e-06,2.8787e-06,3.0215e-06,3.1617e-06,3.3016e-06,3.4436e-06,3.5903e-06,3.7439e-06,3.9071e-06,4.0821e-06,4.0721e-06,1.0015e-05,2.2036e-05,9.7846e-05,0.00024505,0.00048218,0.00088289,0.0012232,0.0017331,0.002408,0.0031107,0.0036553,0.0042834,0.0050716,0.0061299,0.0072013,0.0079558,0.008803,0.0096502,0.010467,0.011283,0.011788,0.012562,0.013337,0.014112,0.014886,0.015661,0.016435
AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0050276,0.018674,0.038784,0.063204,0.089778,0.11635,0.14077,0.16088,0.17453,0.17956,0.17549,0.16447,0.14822,0.12849,0.10701,0.085539,0.065807,0.049557,0.03853,0.034468,0.035162,0.037134,0.040222,0.044263,0.049092,0.054547,0.060465,0.066683,0.073036,0.079363,0.086028,0.093507,0.1018,0.11091,0.12083,0.13156,0.14311,0.15548,0.16866,0.18265,0.19847,0.21704,0.23823,0.26192,0.28798,0.31629,0.34673,0.37917,0.41348,0.4789,0.51171,0.5281,0.6134,0.67938,0.60294,0.71929,0.79233,0.85958,0.89329,0.94124,0.96195,0.89664,1.0287,1.0731,1.0637,1.1253,1.1622,1.3416,1.423,1.4247,1.4247,1.3332,1.8299,1.0273,1.004,0.41417,0.70523,0.99829,1.3745,1.614,2.3071,2.9259,3.5789,4.2671,5.0028,5.1667,6.0662,6.859,8.1091,8.6107,9.1487,9.0601,9.8673,10.7848,11.8017,11.9826,12.2529
AUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2357e-07,1.5733e-06,3.2675e-06,5.3249e-06,7.5638e-06,9.8026e-06,1.186e-05,1.3554e-05,1.4704e-05,1.5128e-05,1.4785e-05,1.3856e-05,1.2487e-05,1.0825e-05,9.0157e-06,7.2066e-06,5.5442e-06,4.1751e-06,3.2461e-06,2.9039e-06,2.9623e-06,3.1285e-06,3.3887e-06,3.7291e-06,4.136e-06,4.5956e-06,5.0942e-06,5.618e-06,6.1533e-06,6.6863e-06,7.2478e-06,7.8779e-06,8.5766e-06,9.3438e-06,1.018e-05,1.1084e-05,1.2057e-05,1.3099e-05,1.4209e-05,1.5388e-05,1.6721e-05,1.8285e-05,2.0071e-05,2.2066e-05,2.4262e-05,2.6647e-05,2.9212e-05,3.1945e-05,3.4835e-05,3.4669e-05,3.3369e-05,5.1817e-05,0.0001087,0.00015522,0.00019488,0.00026604,0.00028505,0.00037397,0.00049798,0.00060487,0.00062503,0.00065976,0.00083145,0.0012035,0.001017,0.0012609,0.0015663,0.0021823,0.0024082,0.0024376,0.0038894,0.0056365,0.23526,0.26111,0.35345,0.4172,0.49814,0.60855,0.70092,0.71363,0.8631,0.96936,1.0734,1.1602,1.1483,1.1552,1.1984,1.2497,1.3104,1.4857,1.4139,1.4924,1.5196,1.5866,1.6159,1.6322,1.7248
