code,KYOTOGHGAR2_IPCM0EL_TOTAL_NET_HISTCR_PRIMAPHIST21
entity,KYOTOGHGAR2
category,IPCM0EL
name_category,NatTotalExclLULUCF
type,NET
class,TOTAL
source,PRIMAPHIST21
descr,Result of NF3+SF6+PFCS+HFCS+CH4+N2O_IPCM0EL_TOTAL_NET_HISTCR_PRIMAPHIST21X+CO2_IPCM0EL_TOTAL_NET_HISTCR_PRIMAPHIST21X - regarding information just missing in one of the tables as zero | built by Johannes Guetschow
note,calculated by the function combine_tables_varying_in_one_sheet_as by CC and JN from PRIMAP | built by Johannes Guetschow
scenario,HISTCR
datatype,CountryYearMatrix
tablekind,usr
family,emi
subsource,Summary1.As1; Summary1.As2; Table1.A(a)s1; Table1.B.1; Table1.B.2; Table10s2; Table10s3; Table10s4; Table1s1; Table2(I)s1; Table2(I)s2; Table2(II); Table3.D; Table3s1; Table3s2; Table5; v432_N2O_1970_2012__v4.3.2_EM_N2O_final.csv
unit,MtCO2eq
gwp,AR2
iso3,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ABW,0.040607,0.042744,0.045047,0.047506,0.050112,0.052857,0.055731,0.058726,0.061832,0.065041,0.068343,0.07177,0.075361,0.079121,0.083055,0.087165,0.091457,0.095934,0.1006,0.10546,0.11052,0.11587,0.12159,0.12764,0.134,0.14064,0.14753,0.15463,0.16193,0.16938,0.17697,0.1847,0.19265,0.20084,0.20929,0.21803,0.22708,0.23645,0.24619,0.25631,0.28679,0.29795,0.31041,0.32409,0.33891,0.35478,0.37161,0.38933,0.40784,0.42706,0.4469,0.46838,0.49227,0.51814,0.54555,0.57407,0.60325,0.63265,0.66185,0.6904,0.71786,0.74421,0.76987,0.79513,0.82023,0.84545,0.87105,0.8973,0.92446,0.9528,0.98259,1.0137,1.046,1.0795,1.114,1.3688,1.7648,1.7385,4.5509,5.7087,6.9853,5.9509,5.7764,6.162,6.866,7.9264,8.4649,10.233,10.9711,10.3274,8.5509,10.5655,6.1604,9.9445,12.4668,14.462,15.8972,17.498,17.83,9.5004,1.1709,1.8387,1.0698,1.2365,2.483,2.0587,2.6576,1.824,1.6023,2.0566,1.7739,1.8518,2.0325,1.9502,1.8993,1.7101,1.604,1.9687,1.8364,2.3917,2.6673,2.3284,2.2595,2.5016,2.2723,1.6595,3.4893,1.8469,1.583,1.6588,1.7068,1.6283,1.8152,0.96212,2.3165,2.7018,0.2383,0.50688,0.6717,0.70906,1.702,1.7457,1.5294,1.6645,1.6868,1.7448,1.7604,1.8173,1.8715,1.884,2.4635,2.4943,2.5242,2.6507,2.7062,2.8096,2.8067,2.9157,2.7518,2.7234,2.6044,2.5987,1.4481,0.96287,0.97541,0.99541,1.0228,1.0194
AFG,0.76945,0.82168,0.87295,0.92318,0.97231,1.0202,1.0669,1.1122,1.1561,1.1984,1.2392,1.2786,1.317,1.3545,1.391,1.4266,1.4614,1.4952,1.5283,1.5606,1.5921,1.6272,1.669,1.7157,1.7655,1.8168,1.8678,1.9167,1.9618,2.0014,2.0336,2.0607,2.086,2.1097,2.1319,2.1529,2.1728,2.1917,2.2097,2.2272,2.2815,2.2838,2.2875,2.2923,2.2983,2.3052,2.3129,2.3212,2.3301,2.3394,2.3489,2.3601,2.3741,2.3903,2.4084,2.4279,2.4484,2.4693,2.4902,2.5107,2.5303,2.5485,2.5654,2.5819,2.5985,2.616,2.635,2.6563,2.6806,2.7085,2.7407,2.8014,2.9081,3.0518,3.2236,3.4145,3.6155,3.8176,4.0119,4.1893,4.3409,4.4724,4.5969,4.716,4.8316,4.9455,5.0595,5.1754,5.295,5.42,5.5523,5.7095,5.9033,6.127,6.3735,6.6362,6.908,7.1821,7.4526,7.6979,8.0111,8.2752,8.596,8.9614,9.3523,9.7902,10.2073,10.685,11.0508,11.3819,11.6228,11.4946,11.884,12.3125,12.7538,13.3077,13.9231,14.4464,14.9975,14.92,15.6837,15.8791,13.8692,13.995,15.6021,16.0189,16.0715,16.6089,15.954,15.6915,15.5781,15.4395,15.5042,15.3416,14.7953,14.6014,12.835,12.8738,12.8137,12.0087,11.8079,11.9612,10.9576,11.0809,11.0646,11.574,12.5271,13.3843,14.1087,14.8772,13.3197,11.9408,14.3216,15.0198,14.6609,15.4372,15.793,16.5523,19.7736,22.8622,26.4327,30.3992,28.9823,28.2613,29.79,29.4,31.3378,31.8451
AGO,2.776,2.861,2.9449,3.0276,3.1089,3.1886,3.2665,3.3425,3.4164,3.488,3.5571,3.6245,3.691,3.7567,3.8217,3.8861,3.95,4.0135,4.0767,4.1396,4.2024,4.2746,4.3631,4.4641,4.5737,4.688,4.8033,4.9155,5.0209,5.1156,5.1957,5.266,5.3339,5.4,5.4646,5.5283,5.5913,5.6542,5.7174,5.7813,5.8831,5.9099,5.9431,5.9825,6.0276,6.078,6.1334,6.1933,6.2573,6.3251,6.3962,6.4927,6.6316,6.8047,7.0042,7.2217,7.4494,7.679,7.9026,8.1121,8.2993,8.4855,8.6938,8.9192,9.1568,9.4015,9.6484,9.8923,10.1283,10.3514,10.5566,10.7625,10.9864,11.2215,11.4611,11.6983,11.9263,12.1384,12.3277,12.4875,12.6109,12.704,12.7816,12.8506,12.9177,12.9899,13.0738,13.1762,13.3041,13.4641,13.663,14.2208,15.3589,16.9372,18.8152,20.8526,22.9089,24.8438,26.517,27.788,28.6438,28.9501,28.969,28.6826,28.3811,28.0136,27.6979,27.515,27.3701,27.5351,27.9442,28.937,30.7976,32.1311,33.8481,35.5846,37.6932,38.9942,41.2363,43.9712,61.6179,43.5384,49.9365,55.9753,54.1321,55.3808,40.0188,61.467,68.2622,77.0152,70.966,63.7034,66.1293,67.6017,61.7787,62.4885,62.389,72.7993,63.2123,66.2611,64.7905,66.6355,68.6328,68.1788,62.5928,73.2947,73.4045,68.8621,71.3944,68.0356,63.7173,64.9798,69.4638,69.7503,79.3267,80.163,78.2105,83.632,82.671,84.5856,90.0621,92.4528,93.8466,90.6502,90.8728,94.1562,94.7851,94.5396
AIA,0.00082804,0.00085086,0.00087553,0.00090197,0.00093008,0.00095979,0.00099099,0.0010236,0.0010576,0.0010927,0.0011291,0.0011667,0.0012059,0.0012468,0.0012895,0.0013339,0.0013802,0.0014285,0.0014788,0.0015313,0.001586,0.0016437,0.0017052,0.0017701,0.0018381,0.0019087,0.0019818,0.0020568,0.0021336,0.0022117,0.0022908,0.0023712,0.0024535,0.0025379,0.0026245,0.0027135,0.0028052,0.0028997,0.0029973,0.003098,0.0032021,0.0033107,0.0034245,0.0035437,0.0036684,0.0037986,0.0039345,0.004076,0.0042233,0.0043764,0.0045355,0.0047145,0.004922,0.0051496,0.005389,0.0056319,0.0058699,0.0060948,0.0062982,0.0064719,0.0066073,0.0067145,0.00681,0.0068961,0.0069748,0.0070483,0.0071186,0.0071878,0.0072582,0.0073317,0.0074106,0.0074913,0.0075698,0.0076472,0.0077249,0.0078041,0.0078858,0.0079715,0.0080623,0.0081594,0.008264,0.0083806,0.0085113,0.0086546,0.0088086,0.0089716,0.0091417,0.0093173,0.0094965,0.0096776,0.0098588,0.010036,0.01021,0.010385,0.010564,0.010752,0.010954,0.011172,0.011413,0.011679,0.011975,0.012329,0.01276,0.013258,0.013814,0.014421,0.015069,0.015748,0.016452,0.017169,0.017892,0.018662,0.019514,0.020432,0.021397,0.024203,0.025225,0.026234,0.026944,0.028506,0.030366,0.043689,0.044981,0.049033,0.048631,0.046891,0.048304,0.049777,0.05139,0.054087,0.058675,0.059447,0.054391,0.053511,0.053727,0.050007,0.049878,0.051603,0.051083,0.053371,0.053996,0.054086,0.057769,0.068925,0.069199,0.069358,0.073095,0.073065,0.080439,0.084132,0.091653,0.098997,0.09906,0.10648,0.12545,0.13293,0.14769,0.15505,0.15502,0.1513,0.15508,0.14782,0.14786,0.14086,0.1483,0.15145,0.1558,0.1551
ALB,0.14242,0.1438,0.14521,0.14664,0.14808,0.14952,0.15094,0.15233,0.15368,0.15498,0.15622,0.15742,0.15866,0.15993,0.16124,0.16259,0.16398,0.16543,0.16695,0.16852,0.17017,0.17242,0.17568,0.17971,0.1843,0.18924,0.1943,0.19926,0.20391,0.20802,0.21138,0.21425,0.21705,0.21981,0.22256,0.22531,0.2281,0.23096,0.23389,0.23694,0.2523,0.24193,0.23208,0.22291,0.21458,0.20729,0.2012,0.19648,0.19331,0.19187,0.19232,0.19407,0.19638,0.19915,0.20232,0.2058,0.20953,0.21343,0.21741,0.22141,0.22534,0.23268,0.24634,0.26543,0.28904,0.31627,0.34624,0.37803,0.41075,0.44349,0.47537,0.51201,0.55766,0.60936,0.66413,0.71898,0.77096,0.81707,0.85434,0.87981,0.89048,0.88277,0.85792,0.80545,0.75903,0.71325,0.71319,0.74334,0.72445,0.73719,0.84467,0.84007,0.93792,0.88741,0.8422,0.92784,1.1908,1.4857,1.4769,1.6866,1.4251,1.506,1.532,1.5865,1.6643,1.7827,1.9053,2.2391,2.1444,2.2844,2.5726,2.7747,2.8785,2.718,2.7162,2.8944,3.0793,3.2204,3.4115,3.4712,3.7362,3.9956,4.5823,4.5574,4.2213,4.266,4.6046,5.0504,5.7206,6.3068,5.3473,6.2638,6.2158,6.3666,6.5425,6.513,6.6929,6.4836,6.5207,7.5292,6.6225,7.9054,5.6201,5.6988,6.2517,6.195,6.1948,6.261,7.0593,7.4767,6.6643,7.0496,7.3714,7.6675,7.9456,7.7611,7.6805,7.922,7.8523,8.3129,8.568,9.3016,8.941,9.153,9.9609,9.5025,9.7976,9.8618
AND,0.0084493,0.0087811,0.0091446,0.0095383,0.0099604,0.01041,0.010884,0.011382,0.011903,0.012444,0.013004,0.013587,0.0142,0.014844,0.015518,0.016222,0.016959,0.017727,0.018527,0.019361,0.020228,0.021146,0.022129,0.02317,0.024264,0.025405,0.026584,0.027798,0.029038,0.0303,0.031576,0.032872,0.0342,0.035563,0.036965,0.03841,0.039901,0.041441,0.043035,0.044684,0.048246,0.049999,0.051873,0.053862,0.055956,0.058148,0.060428,0.062788,0.06522,0.067715,0.070266,0.073068,0.076253,0.079712,0.083338,0.087023,0.09066,0.094139,0.097354,0.1002,0.10256,0.10449,0.10613,0.10757,0.10886,0.11007,0.11127,0.11252,0.11389,0.11545,0.11726,0.11951,0.12223,0.12529,0.12856,0.13189,0.13514,0.13818,0.14087,0.14307,0.14464,0.14586,0.14708,0.14829,0.14946,0.15056,0.15156,0.15245,0.1532,0.15378,0.15417,0.15418,0.1537,0.15288,0.15182,0.15066,0.14952,0.14852,0.14779,0.14745,0.14763,0.14907,0.15224,0.15691,0.16282,0.16973,0.17738,0.18553,0.19393,0.20233,0.21048,0.21974,0.23122,0.24428,0.25827,0.27256,0.28649,0.29944,0.31075,0.31979,0.29091,0.30761,0.33196,0.36926,0.37249,0.35728,0.39631,0.395,0.4173,0.43455,0.43246,0.40588,0.40362,0.40495,0.41165,0.41683,0.41941,0.42605,0.43948,0.47051,0.47579,0.48456,0.49406,0.50479,0.50913,0.53735,0.56897,0.57966,0.59329,0.61149,0.62404,0.62425,0.63115,0.63444,0.66105,0.67656,0.64543,0.64087,0.63921,0.61708,0.62112,0.59263,0.58705,0.57999,0.56633,0.56686,0.57383,0.57723
ANNEXI,633.2906,643.8132,658.4076,675.5316,721.2824,735.7056,760.1872,768.9376,778.1494,804.4992,841.2097,862.8403,876.8446,914.6574,954.7043,987.0909,1008.1197,1061.73,1091.931,1142.5115,1167.4298,1216.0443,1312.7143,1380.104,1346.9725,1418.347,1441.3596,1485.9842,1500.6561,1598.8384,1735.4645,1788.2749,1876.9759,1968.1117,2005.4487,2029.7539,2072.5852,2155.9086,2353.8769,2325.8385,2460.6056,2542.4931,2574.8395,2577.1288,2645.4564,2748.6276,2816.0063,2906.3251,3010.0413,3183.183,3303.477,3378.094,3446.5665,3651.0646,3689.0168,3858.682,3979.6569,4328.2608,4222.8823,4357.8127,4515.2405,4571.616,4751.5889,5025.3357,4736.3803,4719.945,4985.714,5157.9776,5133.6644,4668.8637,5143.5149,4700.0918,4871.6061,5330.6408,5336.4952,5387.4684,5344.1555,5706.8658,5687.6604,5984.2582,5660.4483,5261.3901,4919.0471,5077.8802,5338.6812,5492.5325,5853.1506,6117.7877,5856.4267,6090.4706,6476.1423,6622.8993,6752.6678,6965.5616,6991.6334,6272.5187,6659.009,7253.952,7619.4225,7451.841,8009.4597,8424.6139,8527.2368,8762.4437,8889.0261,9506.9687,10005.781,10234.8987,10234.4026,10493.4195,10913.4742,11178.2503,11611.434,12149.2791,12613.083,13029.3318,13490.6569,13957.1472,14520.382,15197.9825,15953.897,16194.3443,16790.902,17525.3449,17352.8124,17055.6686,17792.0129,18025.5393,18667.9762,19010.2571,18756.1331,18180.8501,17712.9835,17703.5452,18062.485,18324.7152,18310.9033,18724.4384,19192.6161,19334.8047,18932.0769,18541.1921,17977.4755,17745.2192,17503.5788,17612.1254,17862.0873,17743.3632,17680.3674,17644.4189,17844.7501,17804.5685,17786.7236,18005.8152,18197.0456,18205.3743,18186.0065,18328.1812,17917.0788,16794.428,17314.3997,17174.9187,16966.3809,16955.1628,16742.7593,16571.7041,16438.3951,16482.092
ANT,0.21976,0.23249,0.24611,0.26057,0.27582,0.2918,0.30848,0.32581,0.34373,0.3622,0.38116,0.4008,0.42131,0.44273,0.46508,0.48837,0.51264,0.5379,0.56417,0.59149,0.61986,0.64982,0.68176,0.71552,0.75094,0.78785,0.82609,0.86549,0.9059,0.94714,0.98906,1.0318,1.0757,1.1208,1.1673,1.2154,1.2651,1.3166,1.37,1.4254,1.591,1.6521,1.7203,1.7949,1.8757,1.9621,2.0538,2.1501,2.2507,2.3551,2.4629,2.5796,2.7097,2.8508,3.0003,3.156,3.3153,3.4758,3.6352,3.791,3.9408,4.0844,4.2245,4.3623,4.4993,4.637,4.7767,4.9198,5.0678,5.222,5.3839,5.5531,5.7281,5.909,6.096,7.4626,9.5854,9.446,24.5153,30.7196,37.5606,32.0201,31.0868,33.1538,36.9266,42.6091,45.4953,54.9695,58.9252,55.4775,45.9614,56.7562,33.1573,53.4334,66.9492,77.6413,85.3335,93.9128,95.6944,50.7502,5.8032,9.0017,5.3311,6.138,12.1095,10.0932,12.9673,9.9806,8.798,11.2366,9.726,10.1435,11.1119,10.6703,10.3955,9.3796,8.8103,10.7647,10.0577,13.0358,14.5035,12.6838,12.2959,13.6381,12.3681,8.9551,18.7699,9.9729,8.5393,8.9318,9.191,8.7466,9.7163,5.1327,12.3581,14.3238,3.2061,2.8754,2.832,5.2304,5.5892,4.5212,3.7633,5.7162,5.4907,5.4366,5.0996,5.3527,0.52626,2.3476,5.8505,5.962,5.7409,5.7409,6.0256,5.9812,6.2209,6.9842,6.726,6.8597,4.7625,6.0612,7.2496,6.4888,7.1743,7.3208,7.5261,7.4863
AOSIS,1.1065,1.1516,1.199,1.2486,1.3002,1.3536,1.4086,1.465,1.5227,1.5814,1.641,1.7021,1.7653,1.8309,1.8987,1.9689,2.0416,2.1168,2.1946,2.275,2.3581,2.45,2.555,2.6709,2.7951,2.9252,3.0588,3.1934,3.3268,3.4563,3.5797,3.6998,3.8212,3.9445,4.0699,4.1979,4.3287,4.4627,4.6003,4.7419,5.1322,5.2334,5.3593,5.5081,5.6772,5.8652,6.0695,6.2885,6.5199,6.7615,7.0117,7.3124,7.6907,8.1322,8.6149,9.122,9.6342,10.1342,10.6023,11.0467,11.4374,11.8087,12.1967,12.5404,12.9269,13.2927,13.6971,14.135,14.7024,14.9023,15.4457,15.9114,16.2476,16.8523,17.6946,19.5643,21.9147,22.1294,38.5542,45.3315,52.42,46.5014,45.9866,49.1408,53.9183,60.2128,64.0712,75.3875,80.7642,78.7581,70.8329,81.2038,58.9994,79.6751,94.5971,106.5436,115.1929,125.8716,129.2555,86.0256,35.9717,41.5985,39.6272,41.9006,49.1089,49.8606,53.8711,59.4051,64.5368,65.9233,62.5771,63.8248,71.9074,65.8308,74.193,74.8114,75.6636,82.7593,85.0071,91.8014,107.1708,109.7346,115.5442,126.2542,127.5748,132.3393,149.1639,146.6896,147.9583,154.2564,154.5339,147.5341,152.683,145.9253,156.7679,163.7002,150.5093,152.0201,152.6965,161.6968,160.2359,158.5658,165.4121,165.8959,175.4918,167.8061,181.6793,189.1578,185.6239,196.6029,213.1373,220.8388,217.0322,212.1785,214.5733,228.7908,243.555,241.3081,256.8887,269.2477,279.704,279.8989,279.8011,316.5442,321.6874,331.1061,342.0733,348.2205
ARE,0.078657,0.080596,0.082514,0.084402,0.086252,0.088058,0.08981,0.0915,0.093121,0.094664,0.096122,0.097525,0.098909,0.10028,0.10164,0.10299,0.10433,0.10568,0.10703,0.10838,0.10974,0.11152,0.11402,0.11707,0.1205,0.12415,0.12785,0.13143,0.13473,0.13758,0.13981,0.14163,0.14336,0.14501,0.14662,0.14818,0.14973,0.15127,0.15284,0.15443,0.16723,0.17271,0.17845,0.18444,0.19066,0.19709,0.20374,0.21058,0.21761,0.22481,0.23217,0.24054,0.25045,0.26137,0.27278,0.28415,0.29497,0.3047,0.31282,0.31882,0.32217,0.32376,0.32491,0.32577,0.32645,0.3271,0.32784,0.32881,0.33014,0.33195,0.33439,0.34411,0.36628,0.39882,0.43964,0.48664,0.53773,0.59083,0.64384,0.69468,0.74124,0.78363,0.82422,0.86429,0.90518,0.94819,0.99462,1.0458,1.103,1.1676,1.2408,1.3391,1.4752,1.645,1.8443,2.069,2.315,2.578,2.854,3.1388,3.4282,3.7313,4.0614,4.421,4.8127,5.2388,5.702,6.2047,6.7495,7.3363,7.9715,8.6242,9.2209,9.8597,10.6033,11.5256,12.6999,14.9648,17.1326,38.7582,37.3148,50.6477,55.6936,72.4117,73.1815,71.9636,89.599,83.9439,96.398,66.5277,65.5124,55.6137,52.7965,50.9892,68.047,68.6622,59.8694,57.3363,55.1662,60.6026,59.5598,65.4542,67.0721,74.3505,81.1523,82.3869,74.9645,78.0386,99.9799,99.749,134.0401,130.7242,121.4676,151.7064,166.1514,177.6012,180.7802,188.0174,206.4977,210.1855,198.3092,199.3031,205.4595,199.3815,230.0853,246.9797,255.0422,252.1145
