code,KYOTOGHGAR4_IPC1A_TOTAL_NET_HISTCR_PRIMAPHIST21
entity,KYOTOGHGAR4
category,IPC1A
name_category,FuelCombustionActivities
type,NET
class,TOTAL
source,PRIMAPHIST21
descr,Result of CH4+N2O_IPC1A_TOTAL_NET_HISTCR_PRIMAPHIST21X+CO2_IPC1A_TOTAL_NET_HISTCR_PRIMAPHIST21X - regarding information just missing in one of the tables as zero | built by Johannes Guetschow
note,calculated by the function combine_tables_varying_in_one_sheet_as by CC and JN from PRIMAP | built by Johannes Guetschow
scenario,HISTCR
datatype,CountryYearMatrix
tablekind,usr
family,emi
subsource,Summary1.As1; Table1.A(a)s1; Table10s2; Table10s3; Table10s4; Table1s1
unit,MtCO2eq
gwp,AR4
iso3,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ABW,0.040348,0.042477,0.04477,0.04722,0.049816,0.052551,0.055416,0.058401,0.061497,0.064695,0.067987,0.071404,0.074984,0.078734,0.082656,0.086755,0.091035,0.0955,0.10015,0.105,0.11005,0.11538,0.12109,0.12712,0.13346,0.14008,0.14695,0.15403,0.1613,0.16873,0.1763,0.18401,0.19194,0.20011,0.20854,0.21725,0.22627,0.23563,0.24534,0.25543,0.2859,0.29705,0.3095,0.32317,0.33798,0.35384,0.37066,0.38836,0.40686,0.42606,0.44588,0.46734,0.49121,0.51704,0.54441,0.57289,0.60202,0.63138,0.66054,0.68904,0.71647,0.74278,0.76841,0.79363,0.8187,0.84388,0.86944,0.89564,0.92276,0.95105,0.98079,1.0119,1.0441,1.0773,1.1118,1.3664,1.7621,1.7356,4.5478,5.7053,6.9816,5.947,5.7722,6.1575,6.8611,7.9212,8.4593,10.227,10.9646,10.3204,8.5435,10.5575,6.1517,9.9352,12.4567,14.4511,15.8854,17.4853,17.8164,9.4859,1.1554,1.8222,1.0522,1.2178,2.463,2.0373,2.6349,1.7998,1.5766,2.0294,1.745,1.8212,2,1.9158,1.8628,1.6713,1.5629,1.9251,1.7902,2.3427,2.6201,2.2804,2.2112,2.4529,2.2233,1.6103,3.4398,1.7972,1.5324,1.6081,1.6558,1.5765,1.7627,0.90832,2.262,2.6469,0.1838,0.45246,0.61713,0.65381,1.644,1.6883,1.469,1.6009,1.6197,1.6751,1.6915,1.7468,1.7992,1.8107,2.389,2.419,2.4479,2.5727,2.6271,2.7297,2.7259,2.834,2.6694,2.6403,2.5209,2.5136,1.3623,0.8758,0.88738,0.90643,0.93287,0.92847
AFG,0.00099424,0.0010076,0.0010216,0.0010361,0.0010512,0.0010667,0.0010827,0.001099,0.0011157,0.0011326,0.0011497,0.0011673,0.0011854,0.0012042,0.0012236,0.0012438,0.0012646,0.0012862,0.0013085,0.0013316,0.0013554,0.0013814,0.0014103,0.0014417,0.0014751,0.00151,0.001546,0.0015826,0.0016193,0.0016556,0.001691,0.0017261,0.0017619,0.0017984,0.0018357,0.001874,0.0019135,0.0019542,0.0019963,0.0020398,0.0023118,0.0024,0.0024989,0.002608,0.0027265,0.0028536,0.0029886,0.0031309,0.0032796,0.0034341,0.0035937,0.0037679,0.0039639,0.0041773,0.0044038,0.0046388,0.004878,0.0051171,0.0053517,0.0055773,0.0057895,0.0059998,0.0062194,0.0064441,0.0066694,0.0068911,0.0071048,0.0073062,0.007491,0.0076549,0.0077934,0.007908,0.0080069,0.0080964,0.008183,0.0082729,0.0083725,0.0084882,0.0086262,0.0087928,0.0089945,0.0096603,0.011112,0.013193,0.01575,0.018627,0.02167,0.024722,0.02763,0.030238,0.03239,0.034171,0.035797,0.037309,0.038751,0.040166,0.041596,0.043085,0.045587,0.034739,0.10871,0.11297,0.11719,0.12506,0.13294,0.17751,0.20746,0.31814,0.35557,0.39311,0.42711,0.49842,0.6917,0.69141,0.8163,0.96715,1.0521,1.2688,1.2358,0.94919,1.4009,1.6274,1.193,1.4321,1.5666,1.8276,1.6851,2.0273,1.9136,1.9924,1.5815,1.8125,1.9246,2.3721,2.6025,3.2659,2.8884,2.9784,2.7534,2.8065,2.6625,2.4787,1.4219,1.379,1.333,1.3474,1.3123,1.2351,1.1866,0.97284,0.95543,0.98365,1.2833,1.4149,1.1743,1.5717,1.9061,2.5323,4.4929,7.0873,8.7925,12.5909,11.1152,10.362,11.2978,11.8104,13.3767,13.7936
AGO,0.048997,0.049664,0.05034,0.051022,0.051708,0.052398,0.053089,0.053779,0.054468,0.055152,0.055831,0.05651,0.057197,0.057891,0.058594,0.059305,0.060027,0.060758,0.0615,0.062253,0.063017,0.063864,0.064843,0.065927,0.067086,0.068294,0.06952,0.070737,0.071916,0.07303,0.074049,0.075007,0.07596,0.076911,0.077863,0.078821,0.079787,0.080764,0.081758,0.08277,0.091855,0.095058,0.098538,0.10228,0.10626,0.11048,0.11491,0.11954,0.12435,0.12932,0.13445,0.14018,0.14683,0.15411,0.16178,0.16957,0.17721,0.18444,0.19099,0.19662,0.20104,0.20455,0.20767,0.21046,0.213,0.21536,0.21761,0.21983,0.2221,0.22447,0.22704,0.22959,0.23195,0.23421,0.23645,0.23879,0.24129,0.24406,0.24719,0.25077,0.25489,0.26032,0.26762,0.27651,0.28675,0.29808,0.31025,0.32301,0.3361,0.34926,0.36225,0.37538,0.38916,0.40356,0.41858,0.43422,0.45045,0.46727,0.48467,0.50265,0.64856,0.73211,0.81411,0.78395,0.87567,0.94563,1.0482,1.1645,1.1398,1.1898,1.1344,1.0478,1.7859,1.7535,1.8268,1.7857,2.1507,1.5907,2.2651,3.3417,2.6774,2.56,3.4054,3.4715,3.4057,3.1353,2.887,2.0645,3.6902,3.7976,3.7128,3.8583,3.2672,3.6869,3.4854,3.1738,3.1222,4.2489,3.2544,3.1314,4.5833,4.4846,4.499,5.1862,3.4608,10.6948,9.3538,5.696,5.1765,6.1297,6.1651,6.7525,7.692,9.6318,8.1169,7.6705,10.8112,12.2076,13.3732,15.5367,16.7646,17.8332,20.6966,20.2967,22.2643,20.9358,21.6189,21.705
AIA,0.00033069,0.0003479,0.00036645,0.00038627,0.00040728,0.00042942,0.00045261,0.00047677,0.00050183,0.00052772,0.00055437,0.00058202,0.00061101,0.00064136,0.00067312,0.00070631,0.00074096,0.00077712,0.0008148,0.00085406,0.00089491,0.00093817,0.00098445,0.0010335,0.001085,0.0011389,0.0011947,0.0012522,0.0013113,0.0013716,0.0014329,0.0014954,0.0015596,0.0016257,0.0016939,0.0017644,0.0018374,0.0019131,0.0019916,0.0020733,0.0021581,0.0022465,0.0023385,0.0024344,0.0025344,0.0026388,0.0027478,0.0028616,0.0029804,0.0031045,0.0032341,0.0033808,0.0035515,0.0037393,0.0039373,0.0041387,0.0043366,0.0045242,0.0046946,0.004841,0.0049564,0.0050483,0.0051298,0.0052029,0.0052695,0.0053314,0.0053907,0.0054491,0.0055086,0.0055712,0.0056386,0.0057073,0.0057735,0.0058383,0.0059032,0.0059695,0.0060385,0.0061116,0.00619,0.0062752,0.0063685,0.0064739,0.0065934,0.0067252,0.0068677,0.0070192,0.0071778,0.007342,0.00751,0.00768,0.0078504,0.0080175,0.0081815,0.0083462,0.0085157,0.0086938,0.0088844,0.0090916,0.0093193,0.0095713,0.0098516,0.010188,0.0106,0.011078,0.011614,0.012199,0.012824,0.013481,0.014161,0.014855,0.015555,0.0163,0.017126,0.018015,0.018951,0.021711,0.022703,0.023683,0.024366,0.025894,0.027812,0.040978,0.042265,0.046237,0.045885,0.04413,0.045681,0.047131,0.048548,0.051189,0.055742,0.056395,0.051339,0.050874,0.051306,0.047479,0.047298,0.049092,0.048646,0.050866,0.051441,0.051462,0.055132,0.066143,0.066192,0.06625,0.069912,0.069883,0.077181,0.080836,0.088193,0.095539,0.095478,0.10285,0.12116,0.1285,0.14316,0.1505,0.15054,0.14695,0.15066,0.14334,0.14334,0.13598,0.14332,0.14636,0.15061,0.14981
ALB,0.0024012,0.0024476,0.002512,0.0025939,0.0026926,0.0028076,0.0029383,0.0030841,0.0032445,0.0034187,0.0036064,0.0038078,0.0040237,0.0042538,0.0044979,0.0047558,0.0050271,0.0053116,0.0056091,0.0059193,0.006242,0.0065828,0.006946,0.0073287,0.0077285,0.0081424,0.0085679,0.0090022,0.0094428,0.0098867,0.010331,0.010779,0.011234,0.011697,0.012167,0.012646,0.013132,0.013627,0.01413,0.014642,0.016154,0.016742,0.01738,0.018064,0.018793,0.019563,0.020371,0.021216,0.022093,0.023,0.023934,0.024976,0.026177,0.027491,0.028873,0.030278,0.031659,0.03297,0.034167,0.035204,0.036035,0.036692,0.037251,0.037738,0.038176,0.038588,0.038998,0.03943,0.039907,0.040453,0.041091,0.041874,0.042814,0.04388,0.045038,0.046256,0.0475,0.048738,0.049937,0.051065,0.052087,0.052969,0.053725,0.042017,0.042433,0.047569,0.093608,0.16486,0.19063,0.22752,0.34003,0.31012,0.36609,0.24841,0.12042,0.11085,0.27142,0.46679,0.37614,0.51491,0.21016,0.25951,0.25481,0.27745,0.32238,0.39239,0.46985,0.76033,0.63317,0.74192,0.99193,1.0938,1.1689,0.99923,0.9688,1.0293,1.186,1.2224,1.3716,1.4392,1.6611,1.9236,2.4717,2.2964,1.8816,1.9729,2.1144,2.4389,2.7655,3.2377,2.1669,3.1437,3.1235,3.2668,3.3552,3.3826,3.4653,3.1992,3.1788,3.8783,3.1221,5.0871,3.3726,3.2628,3.4017,3.2509,3.2594,3.4162,4.1339,4.4533,3.121,3.5087,3.6188,3.7948,4.0497,3.9654,3.9017,4.0791,4.1416,4.4778,4.617,5.061,4.4627,4.5864,5.3837,4.6937,4.913,5.0093
AND,0.0058484,0.0061435,0.0064617,0.0068019,0.0071626,0.0075426,0.0079406,0.0083552,0.0087853,0.0092294,0.0096862,0.01016,0.010657,0.011178,0.011722,0.012292,0.012886,0.013506,0.014153,0.014826,0.015527,0.016271,0.017071,0.017921,0.018815,0.01975,0.020718,0.021716,0.022739,0.023779,0.024834,0.025907,0.027009,0.028142,0.029311,0.030519,0.031769,0.033065,0.03441,0.035807,0.039292,0.040745,0.042325,0.044025,0.045837,0.047756,0.049772,0.05188,0.05407,0.056337,0.058673,0.061259,0.064215,0.06744,0.070834,0.074295,0.077723,0.081018,0.084078,0.086803,0.089092,0.091002,0.092694,0.094216,0.095621,0.096958,0.098279,0.099633,0.10107,0.10265,0.10441,0.10651,0.10899,0.11173,0.11461,0.11753,0.12036,0.12298,0.12528,0.12715,0.12846,0.12945,0.13039,0.13129,0.13212,0.13287,0.13351,0.13404,0.13444,0.13468,0.13477,0.13452,0.13385,0.13287,0.13168,0.13038,0.12908,0.12789,0.12691,0.12624,0.126,0.12675,0.1289,0.13225,0.1366,0.14178,0.14759,0.15384,0.16034,0.16692,0.17336,0.18089,0.19042,0.20139,0.21319,0.22525,0.23698,0.24779,0.25711,0.26434,0.23693,0.25218,0.27305,0.30706,0.30689,0.29427,0.33102,0.32928,0.35198,0.36671,0.36303,0.33597,0.33423,0.33313,0.33542,0.33913,0.34122,0.347,0.3577,0.38756,0.39667,0.4046,0.41159,0.42206,0.42464,0.45082,0.48224,0.49391,0.52146,0.54474,0.55663,0.55563,0.56226,0.56557,0.59155,0.60603,0.57487,0.56669,0.56649,0.54308,0.54282,0.51264,0.51128,0.50043,0.48623,0.48701,0.49285,0.49481
ANNEXI,212.7167,215.3252,224.2106,234.1018,272.2732,277.2231,295.0732,298.0323,301.6683,319.1831,348.1876,365.5653,372.0018,396.2117,425.7957,451.095,464.6957,497.2764,510.9185,541.7902,553.5083,587.3355,648.4704,688.6081,647.7205,701.1031,711.0746,726.1972,729.6657,781.4273,879.4955,909.1977,959.4087,1018.3418,1029.9453,1038.22,1054.6022,1105.0664,1221.1183,1218.726,1330.6317,1391.7387,1403.3787,1385.042,1432.7515,1515.8635,1563.9749,1635.939,1722.4145,1879.7113,1983.6598,2044.0857,2096.989,2284.7433,2305.8781,2457.1795,2559.132,2889.4631,2767.1884,2883.6683,3023.6982,3062.3193,3220.3999,3468.669,3156.7093,3115.4727,3354.1892,3501.5983,3458.88,2975.2595,3430.5124,2975.2346,3129.8885,3570.5124,3559.4949,3594.3255,3536.123,3866.0548,3822.6999,4102.1208,3769.5196,3369.1116,3028.0038,3178.7426,3424.2856,3565.5113,3906.7612,4156.1859,3881.1402,4097.4451,4466.1682,4575.5216,4656.986,4808.2426,4768.4866,3969.8231,4249.5815,4743.6896,5010.5065,4757.2133,5254.7158,5601.0398,5610.5491,5757.1073,5808.9754,6296.9738,6658.0532,6793.7901,6737.4682,6908.108,7237.611,7404.4853,7756.1649,8220.8784,8616.3565,8953.235,9302.9176,9638.4053,10102.2438,10690.0807,11411.0435,11663.6863,12177.6846,12743.6003,12597.0378,12387.7532,13013.3811,13237.0366,13576.0026,13867.4108,13703.4511,13220.1704,12919.2145,12922.4624,13190.7373,13516.586,13531.2287,13933.2765,14305.407,14444.6874,14105.5508,13883.5828,13424.1022,13318.4705,13147.1307,13222.0553,13525.0466,13416.4218,13430.5356,13483.6056,13685.5551,13720.5544,13750.3058,13964.8872,14075.3727,14127.0378,14095.7215,14189.6172,13884.3252,13010.4609,13411.1669,13250.3615,13062.0691,13056.527,12853.4998,12704.3381,12587.1786,12589.6836
ANT,0.21764,0.22908,0.24141,0.25457,0.26852,0.28321,0.29859,0.31461,0.33123,0.34839,0.36606,0.38438,0.40359,0.42371,0.44474,0.46673,0.48968,0.51363,0.53859,0.56459,0.59164,0.62028,0.65089,0.68332,0.7174,0.75297,0.78987,0.82793,0.86699,0.90689,0.94748,0.98887,1.0314,1.0752,1.1204,1.1671,1.2155,1.2656,1.3177,1.3718,1.5355,1.5954,1.6622,1.7357,1.8152,1.9004,1.9907,2.0857,2.185,2.2881,2.3946,2.5098,2.6379,2.7767,2.9237,3.0765,3.233,3.3906,3.5471,3.7002,3.8474,3.9886,4.1262,4.2615,4.396,4.5312,4.6683,4.8089,4.9544,5.1062,5.2657,5.4324,5.605,5.7836,5.9681,7.3323,9.4526,9.3107,24.3775,30.5793,37.4175,31.8744,30.9384,33.0027,36.7727,42.4524,45.3356,54.8066,58.759,55.3078,45.788,56.5785,32.9746,53.2451,66.7547,77.4402,85.1253,93.6973,95.4714,50.5196,5.5651,8.7555,5.0761,5.8735,11.8351,9.8083,12.6718,9.6742,8.4806,10.9084,9.387,9.7965,10.7558,10.3059,10.0229,8.9983,8.4188,10.361,9.64,12.6028,14.0835,12.2638,11.892,13.1915,11.9571,8.6609,18.4619,9.6621,8.2331,8.6338,8.882,8.4591,9.4495,4.868,12.1175,14.1721,3.0588,2.7206,2.6788,5.0819,5.4404,4.3447,3.5825,5.5182,5.2933,5.2385,4.9013,5.1399,0.30774,2.1408,5.639,5.7421,5.5334,5.5378,5.8109,5.7607,6.0025,6.7561,6.4999,6.6444,4.5818,5.8461,7.0341,6.2772,6.9629,7.1097,7.3154,7.2759
AOSIS,0.3444,0.36108,0.37895,0.39794,0.41799,0.43903,0.46099,0.4838,0.5074,0.53171,0.55666,0.5825,0.60952,0.63776,0.66724,0.69799,0.73005,0.76344,0.7982,0.83436,0.87194,0.91183,0.95467,1.0002,1.0481,1.098,1.1498,1.2031,1.2576,1.313,1.3691,1.426,1.4845,1.5446,1.6065,1.6705,1.7366,1.8052,1.8762,1.95,2.18,2.2632,2.356,2.458,2.5681,2.6862,2.8112,2.9428,3.0803,3.2226,3.3698,3.5311,3.7101,3.9067,4.1137,4.3285,4.5467,4.7652,4.9789,5.2103,5.4441,5.6852,5.9328,6.1293,6.3635,6.5754,6.8264,7.1142,7.5365,7.6045,8.0241,8.3688,8.5768,9.0438,9.7415,11.4659,13.6739,13.7466,30.0226,36.6658,43.632,37.5909,36.9231,39.8972,44.4782,50.5653,54.1995,65.2716,70.4002,68.1398,59.9549,69.9383,47.1001,66.9783,80.9558,91.8578,99.4398,109.0917,111.5146,67.4619,16.7836,21.7092,18.7772,19.989,26.0316,25.4,27.995,32.0865,35.8645,36.2924,32.2299,34.2755,40.7424,34.1172,40.3544,40.3699,39.4786,45.656,46.8598,53.0199,65.7295,68.8237,74.2563,82.6292,80.5761,84.2165,99.6017,95.9664,97.0332,101.8741,99.8844,92.4657,93.4056,85.2521,93.1391,97.5999,85.365,87.7605,90.0483,100.1262,102.5104,100.2286,106.0239,108.5456,116.7244,108.4801,118.6567,123.2974,117.7399,129.4266,140.5122,143.8585,143.4353,134.4097,132.0646,138.5312,146.8172,142.1087,155.7122,169.3253,177.7214,177.3741,179.4111,205.3211,206.8722,213.0628,221.2143,224.3702
ARE,0.00037688,0.00038497,0.00039304,0.00040097,0.00040866,0.00041601,0.00042293,0.00042931,0.00043506,0.00044007,0.00044425,0.00044794,0.00045161,0.00045528,0.000459,0.00046281,0.00046675,0.00047086,0.00047518,0.00047975,0.0004846,0.00049452,0.00051296,0.00053799,0.00056767,0.00060007,0.00063323,0.00066524,0.00069415,0.00071802,0.00073491,0.00074717,0.00075856,0.0007693,0.00077962,0.00078972,0.00079983,0.00081016,0.00082094,0.00083239,0.00096783,0.0010061,0.0010488,0.0010957,0.0011465,0.0012009,0.0012586,0.0013193,0.0013827,0.0014486,0.0015166,0.0015903,0.0016726,0.0017617,0.0018562,0.0019543,0.0020546,0.0021553,0.002255,0.002352,0.0024447,0.0025371,0.0026332,0.0027312,0.0028295,0.0029265,0.0030204,0.0031096,0.0031924,0.0032672,0.0033323,0.0033861,0.0034301,0.0034677,0.0035021,0.0035365,0.0035742,0.0036185,0.0036726,0.0037397,0.0038231,0.004108,0.0047324,0.0056291,0.0067309,0.0079704,0.0092805,0.010594,0.011843,0.012961,0.013881,0.014624,0.015276,0.015865,0.016419,0.016964,0.017529,0.01814,0.018827,0.019615,0.020533,0.021712,0.023242,0.025093,0.027231,0.029624,0.03224,0.035048,0.038015,0.03872,0.040875,0.042921,0.051121,0.056194,0.055184,0.060939,0.067339,0.84273,1.126,1.1577,0.8988,1.5184,1.8934,2.513,3.1382,3.6374,5.4223,7.7716,8.7277,14.6234,16.0815,21.7775,23.2734,22.3348,27.7713,32.273,34.5978,36.894,39.129,45.0157,43.121,48.306,48.6265,56.0673,61.9216,60.4436,50.1776,49.7062,69.5932,67.5999,99.769,97.0527,85.8363,112.5564,124.0106,132.701,131.6622,135.571,148.6916,154.0774,141.0029,140.0556,146.2904,137.5044,166.1681,181.2189,187.2954,182.3683
