code,KYOTOGHGAR4_IPC1_TOTAL_NET_HISTCR_PRIMAPHIST21
entity,KYOTOGHGAR4
category,IPC1
name_category,Energy
type,NET
class,TOTAL
source,PRIMAPHIST21
descr,Result of CH4+N2O_IPC1_TOTAL_NET_HISTCR_PRIMAPHIST21X+CO2_IPC1_TOTAL_NET_HISTCR_PRIMAPHIST21X - regarding information just missing in one of the tables as zero | built by Johannes Guetschow
note,calculated by the function combine_tables_varying_in_one_sheet_as by CC and JN from PRIMAP | built by Johannes Guetschow
scenario,HISTCR
datatype,CountryYearMatrix
tablekind,usr
family,emi
subsource,Summary1.As1; Table1.A(a)s1; Table1.B.1; Table1.B.2; Table10s2; Table10s3; Table10s4; Table1s1; v432_N2O_1970_2012__v4.3.2_EM_N2O_final.csv
unit,MtCO2eq
gwp,AR4
iso3,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ABW,0.040349,0.042477,0.044771,0.04722,0.049817,0.052552,0.055417,0.058401,0.061497,0.064696,0.067988,0.071404,0.074985,0.078735,0.082657,0.086756,0.091036,0.095501,0.10016,0.105,0.11005,0.11539,0.12109,0.12712,0.13346,0.14008,0.14695,0.15403,0.1613,0.16874,0.1763,0.18402,0.19195,0.20011,0.20854,0.21725,0.22627,0.23563,0.24534,0.25543,0.2859,0.29705,0.3095,0.32318,0.33798,0.35384,0.37066,0.38836,0.40686,0.42606,0.44589,0.46734,0.49121,0.51704,0.54442,0.57289,0.60202,0.63139,0.66054,0.68905,0.71648,0.74279,0.76842,0.79364,0.8187,0.84388,0.86944,0.89565,0.92277,0.95106,0.98079,1.0119,1.0441,1.0774,1.1118,1.3664,1.7621,1.7356,4.5478,5.7053,6.9816,5.947,5.7722,6.1575,6.8611,7.9212,8.4593,10.227,10.9647,10.3204,8.5435,10.5575,6.1517,9.9352,12.4567,14.4511,15.8855,17.4854,17.8164,9.4859,1.1555,1.8222,1.0522,1.2178,2.463,2.0374,2.6349,1.7998,1.5766,2.0294,1.7451,1.8212,2,1.9159,1.8628,1.6713,1.5629,1.9252,1.7902,2.3428,2.6202,2.2805,2.2113,2.4529,2.2234,1.6104,3.4399,1.7973,1.5326,1.6083,1.6559,1.5767,1.7629,0.90841,2.2621,2.647,0.18402,0.45267,0.61768,0.65452,1.6447,1.689,1.4699,1.6018,1.6206,1.676,1.6924,1.7481,1.8005,1.8121,2.3909,2.4208,2.4497,2.5746,2.6293,2.7321,2.7285,2.8369,2.6724,2.6435,2.5237,2.5166,1.3653,0.87926,0.89098,0.91016,0.93674,0.93248
AFG,0.0032227,0.0032508,0.0032797,0.0033091,0.003339,0.0033693,0.0033999,0.0034306,0.0034614,0.0034921,0.0035228,0.0035536,0.0035851,0.0036173,0.0036503,0.003684,0.0037186,0.003754,0.0037903,0.0038276,0.0038659,0.0039089,0.0039594,0.0040159,0.0040769,0.0041409,0.0042064,0.0042719,0.0043358,0.0043967,0.0044531,0.0045067,0.0045604,0.0046146,0.0046694,0.004725,0.0047818,0.0048399,0.0048995,0.0049609,0.0064625,0.0071718,0.0079122,0.0086824,0.009481,0.010307,0.011158,0.012034,0.012933,0.013854,0.014795,0.015858,0.017104,0.018469,0.019888,0.021298,0.022633,0.02383,0.024825,0.025553,0.025951,0.026142,0.0263,0.026429,0.026538,0.026631,0.026717,0.026802,0.026891,0.026993,0.027113,0.027884,0.029814,0.032723,0.036429,0.040752,0.045511,0.050526,0.055616,0.0606,0.065298,0.070085,0.075458,0.081414,0.087951,0.095069,0.10276,0.11104,0.11988,0.1293,0.13929,0.15177,0.16839,0.18875,0.21246,0.23911,0.26832,0.29968,0.33371,0.35561,0.46309,0.50241,0.54457,0.59371,0.64659,0.74033,0.82405,0.99353,1.0952,1.2029,1.3133,1.4594,1.7231,1.7977,2.0105,2.2709,2.4957,2.8911,3.0844,3.0802,3.826,4.0949,4.1204,3.5026,4.4973,4.0546,3.7419,4.578,3.8995,3.8806,3.858,3.7077,3.7517,4.2733,4.6494,5.3941,5.0154,4.4254,3.9848,3.1236,2.9482,2.7762,1.6697,1.631,1.5791,1.6084,1.6039,1.5211,1.471,1.2658,1.243,1.2741,1.52,1.6566,1.4267,1.8399,2.1876,2.8554,4.8178,7.4255,9.1316,12.9413,11.4658,10.7165,11.6601,12.1806,13.7547,14.1795
AGO,0.074265,0.075268,0.07628,0.077297,0.078317,0.079337,0.080354,0.081364,0.082366,0.083355,0.08433,0.085299,0.086276,0.087261,0.088257,0.089262,0.09028,0.09131,0.092354,0.093413,0.094488,0.09571,0.097178,0.098835,0.10063,0.10251,0.10441,0.10629,0.1081,0.10977,0.11125,0.11261,0.11395,0.11529,0.11661,0.11794,0.11928,0.12063,0.122,0.12339,0.13251,0.13854,0.15016,0.16703,0.1888,0.21514,0.24569,0.28013,0.3181,0.35927,0.40329,0.47613,0.59749,0.75759,0.94664,1.1549,1.3725,1.5897,1.7968,1.984,2.1414,2.28,2.4162,2.5492,2.6779,2.8015,2.919,3.0293,3.1316,3.2249,3.3081,3.38,3.4416,3.4957,3.545,3.5925,3.6407,3.6926,3.7508,3.8182,3.8975,3.9932,4.1071,4.2377,4.3839,4.5442,4.7173,4.902,5.0969,5.3007,5.512,5.7435,6.0059,6.2952,6.6074,6.9384,7.2842,7.6408,8.0042,8.3702,8.8623,9.2779,9.6758,9.9564,10.3648,10.7687,11.2334,11.7512,12.1786,12.7423,13.2733,14.0149,15.9358,17.3683,19.1158,20.8856,23.1253,24.4313,26.8903,29.5971,35.0988,32.8715,38.1811,43.2342,44.7493,41.6019,27.1797,48.6989,54.8177,55.1881,55.3872,51.341,50.4901,52.4947,53.3545,53.5819,54.3167,56.7549,56.033,56.4493,38.4606,40.4972,42.6435,42.0626,35.7228,47.1593,52.2195,47.7188,47.4637,45.4848,39.2153,37.7332,39.6299,35.7184,45.2623,45.5493,46.3684,48.3302,49.2423,50.7808,55.0511,56.2175,59.1282,53.749,54.9163,56.2853,56.9512,57.0201
AIA,0.00047698,0.00049471,0.00051443,0.00053605,0.00055948,0.00058462,0.00061139,0.00063969,0.00066944,0.00070055,0.00073292,0.00076679,0.00080249,0.00084003,0.00087942,0.00092069,0.00096385,0.0010089,0.0010559,0.0011049,0.0011558,0.0012095,0.0012666,0.0013268,0.0013898,0.0014555,0.0015234,0.0015933,0.0016649,0.0017379,0.0018122,0.0018877,0.0019652,0.0020447,0.0021265,0.0022107,0.0022975,0.0023871,0.0024796,0.0025753,0.0026744,0.002778,0.0028872,0.0030021,0.0031226,0.0032488,0.0033807,0.0035183,0.0036615,0.0038105,0.0039652,0.00414,0.0043434,0.0045671,0.0048026,0.0050415,0.0052753,0.0054955,0.0056938,0.0058617,0.0059907,0.0060911,0.0061802,0.00626,0.0063326,0.0063999,0.0064639,0.0065268,0.0065904,0.006657,0.0067283,0.0068009,0.0068707,0.0069391,0.0070073,0.0070768,0.007149,0.0072252,0.0073068,0.0073951,0.0074916,0.0076008,0.0077249,0.007862,0.0080101,0.0081672,0.0083314,0.0085007,0.0086731,0.0088467,0.0090194,0.0091872,0.0093503,0.0095131,0.0096798,0.0098549,0.010043,0.010248,0.010474,0.010726,0.011008,0.011348,0.011763,0.012246,0.012787,0.013377,0.014008,0.014671,0.015358,0.016059,0.016766,0.01752,0.018357,0.019258,0.020208,0.022998,0.024005,0.025,0.025695,0.027242,0.029147,0.042425,0.043709,0.04777,0.047359,0.045618,0.047011,0.048489,0.050133,0.052846,0.057423,0.058185,0.053146,0.052222,0.052399,0.048721,0.048558,0.050153,0.049535,0.051735,0.05228,0.05228,0.055877,0.066953,0.067153,0.067207,0.070897,0.070855,0.07821,0.08186,0.089287,0.096552,0.096634,0.10397,0.12304,0.13047,0.14519,0.15251,0.15239,0.14861,0.15232,0.14501,0.14501,0.138,0.14541,0.14851,0.15282,0.15208
ALB,0.0026935,0.0027423,0.0028118,0.0029016,0.003011,0.0031393,0.0032858,0.0034499,0.003631,0.0038284,0.0040414,0.0042704,0.0045162,0.0047783,0.0050565,0.0053505,0.0056598,0.0059844,0.0063237,0.0066775,0.0070455,0.0074335,0.0078458,0.0082796,0.008732,0.0092001,0.0096811,0.010172,0.010671,0.011173,0.011678,0.012186,0.012702,0.013227,0.013761,0.014303,0.014854,0.015414,0.015983,0.016562,0.018211,0.018868,0.019584,0.020355,0.021179,0.022051,0.022968,0.023928,0.024925,0.025958,0.027023,0.02824,0.029688,0.031301,0.033011,0.034751,0.036454,0.038055,0.039484,0.040676,0.041564,0.04218,0.04263,0.042954,0.043194,0.043391,0.043586,0.04382,0.044134,0.04457,0.045168,0.046029,0.047186,0.048574,0.05013,0.051793,0.053498,0.055182,0.056783,0.058238,0.059483,0.060587,0.061672,0.050368,0.051234,0.056836,0.10333,0.17499,0.20109,0.23822,0.35082,0.32092,0.37686,0.25915,0.1311,0.12147,0.28198,0.47731,0.38662,0.52537,0.22063,0.27016,0.26592,0.28924,0.33503,0.40601,0.48452,0.77607,0.64994,0.75963,1.0104,1.1129,1.1885,1.0192,0.98907,1.05,1.2071,1.2442,1.3942,1.4599,1.6847,1.9473,2.5072,2.3326,1.9214,2.0155,2.1588,2.4838,2.8126,3.2844,2.2136,3.1871,3.1658,3.312,3.404,3.4298,3.5148,3.2485,3.2307,4.0519,3.3065,5.2195,3.4115,3.3015,3.4996,3.2578,3.272,3.4271,4.1444,4.4625,3.131,3.5184,3.6291,3.8067,4.0618,3.9775,3.914,4.0918,4.1544,4.4906,4.6324,5.0769,4.4799,4.6025,5.4003,4.7107,4.9305,5.0272
AND,0.0076278,0.0079271,0.0082577,0.0086178,0.009006,0.0094209,0.0098609,0.010325,0.01081,0.011317,0.011842,0.012391,0.012969,0.013576,0.014213,0.014879,0.015576,0.016304,0.017063,0.017853,0.018676,0.019545,0.020474,0.021457,0.022489,0.023564,0.024676,0.02582,0.026992,0.028185,0.029394,0.030623,0.031883,0.033177,0.034508,0.035879,0.037294,0.038756,0.040267,0.041831,0.045518,0.047179,0.048968,0.050875,0.052894,0.055017,0.057237,0.059547,0.061939,0.064405,0.06694,0.06974,0.072936,0.076414,0.080064,0.083773,0.087429,0.09092,0.094134,0.09696,0.099285,0.10115,0.10273,0.10409,0.1053,0.10642,0.10753,0.10868,0.10996,0.11142,0.11314,0.11528,0.11786,0.12075,0.12383,0.12695,0.12998,0.1328,0.13527,0.13725,0.13862,0.13963,0.1406,0.14153,0.14239,0.14316,0.14384,0.1444,0.14483,0.14511,0.14522,0.14496,0.14422,0.14312,0.14178,0.14032,0.13886,0.13753,0.13645,0.13573,0.1355,0.13636,0.13868,0.14225,0.14687,0.15233,0.15842,0.16493,0.17167,0.17841,0.18496,0.19254,0.20213,0.21315,0.225,0.2371,0.24886,0.25971,0.26905,0.27629,0.25044,0.26439,0.28508,0.31834,0.31821,0.30581,0.34282,0.34006,0.36157,0.37718,0.37463,0.348,0.34612,0.34475,0.34744,0.35124,0.3526,0.35741,0.36827,0.39814,0.40644,0.41425,0.42169,0.43179,0.43341,0.46043,0.49061,0.50186,0.52889,0.55204,0.5634,0.56448,0.57158,0.57385,0.5999,0.61498,0.58297,0.57599,0.57605,0.55159,0.55108,0.52059,0.51955,0.5093,0.49517,0.49601,0.50192,0.50395
ANNEXI,260.6388,263.4255,272.6799,283.1704,322.148,328.1333,347.1818,351.5229,356.7256,376.0246,406.9758,426.4276,435.1443,461.8635,494.0724,522.1016,538.605,574.3655,591.2601,625.5536,640.7336,678.1505,743.1931,787.22,750.1258,807.4709,821.4592,840.859,848.5151,904.9162,1007.6157,1041.8529,1096.8289,1160.5218,1176.8366,1189.7719,1210.9674,1266.3335,1387.8705,1389.7531,1523.9247,1591.9397,1611.3697,1601.6276,1658.6593,1751.7437,1810.4004,1893.4054,1991.34,2160.4371,2276.4496,2350.6789,2420.1944,2626.6822,2667.9846,2840.2005,2963.1272,3313.8049,3210.5619,3344.0716,3498.4419,3549.5941,3719.6795,3979.3441,3678.088,3646.78,3894.5674,4050.1067,4014.4952,3536.8752,3996.9393,3545.5831,3703.7391,4147.6177,4139.78,4177.8877,4123.2322,4457.1531,4418.4019,4703.2133,4376.9618,3984.2961,3652.4206,3813.5501,4070.3102,4223.2482,4576.3736,4837.5055,4573.6669,4800.3472,5178.2825,5296.707,5388.2192,5550.3118,5521.9914,4735.1745,5027.002,5533.2132,5811.9784,5570.2903,6062.625,6411.5968,6441.7306,6589.2804,6624.1624,7140.251,7538.4393,7673.0296,7582.186,7745.4127,8083.9767,8257.0795,8605.7838,9084.8314,9497.6888,9859.5583,10255.7669,10652.3303,11153.4058,11772.2716,12529.7406,12707.1626,13199.4474,13804.7733,13591.544,13357.6225,14019.0144,14240.8097,14765.1183,15056.5699,14864.9067,14335.128,14017.9415,14002.4559,14282.7183,14614.0501,14631.1736,15044.6887,15500.2755,15642.8271,15302.286,15041.7219,14558.8714,14402.6531,14186.9015,14264.5029,14541.1565,14439.9381,14433.1624,14481.3027,14658.598,14685.7658,14691.0745,14910.4834,15033.773,15082.2458,15048.6967,15149.5595,14829.0426,13911.3867,14343.4103,14186.2254,13999.8147,13978.5861,13760.6431,13589.9,13460.4004,13476.9782
ANT,0.21989,0.23141,0.24381,0.25704,0.27107,0.28584,0.3013,0.3174,0.33411,0.35135,0.3691,0.38752,0.40681,0.42702,0.44814,0.47022,0.49327,0.51731,0.54236,0.56845,0.59561,0.62434,0.65505,0.68758,0.72176,0.75743,0.79442,0.83259,0.87175,0.91176,0.95245,0.99394,1.0366,1.0805,1.1258,1.1726,1.2211,1.2713,1.3235,1.3777,1.5421,1.602,1.6689,1.7423,1.8218,1.907,1.9973,2.0924,2.1917,2.2948,2.4012,2.5167,2.6455,2.7853,2.9336,3.088,3.246,3.4054,3.5636,3.7183,3.867,4.0096,4.1486,4.2854,4.4214,4.558,4.6967,4.8388,4.9857,5.139,5.2999,5.468,5.6419,5.8218,6.0076,7.3732,9.4948,9.3542,24.4224,30.6255,37.4653,31.9236,30.9889,33.0546,36.826,42.507,45.3918,54.8644,58.8186,55.3695,45.852,56.6453,33.0449,53.3195,66.8337,77.5242,85.2148,93.7925,95.5725,50.6267,5.6782,8.875,5.2024,6.0072,11.9764,9.9577,12.8294,9.8402,8.6552,11.0915,9.5787,9.9959,10.9616,10.5176,10.2404,9.2221,8.6501,10.6015,9.892,12.8691,14.3516,12.5318,12.1451,13.482,12.2226,8.83,18.6405,9.8416,8.4141,8.8091,9.0702,8.6314,9.6055,5.027,12.2497,14.2293,3.1143,2.7866,2.7468,5.1497,5.5119,4.4149,3.6638,5.6037,5.3787,5.3244,4.9875,5.2225,0.39453,2.2143,5.7153,5.8277,5.6047,5.6034,5.887,5.84,6.0761,6.8339,6.5725,6.7115,4.6125,5.9053,7.0936,6.3317,7.0154,7.1603,7.364,7.3225
AOSIS,0.3813,0.39914,0.41821,0.43841,0.45969,0.48198,0.50521,0.5293,0.55419,0.57981,0.60609,0.63326,0.66164,0.69125,0.72212,0.75428,0.78776,0.82259,0.8588,0.89643,0.93549,0.97691,1.0213,1.0685,1.1181,1.1698,1.2233,1.2783,1.3346,1.3917,1.4494,1.508,1.5681,1.6299,1.6935,1.7591,1.827,1.8972,1.97,2.0455,2.2864,2.3697,2.4626,2.5647,2.675,2.7932,2.9185,3.0503,3.188,3.3306,3.478,3.6434,3.8331,4.0461,4.2739,4.5129,4.7573,5.0031,5.2439,5.5012,5.7584,6.0217,6.2922,6.5122,6.7704,7.0066,7.2819,7.5939,8.0402,8.1317,8.5744,8.9416,9.1716,9.6606,10.3804,12.127,14.3576,14.4535,30.7533,37.4212,44.4133,38.3997,37.7614,40.7669,45.381,51.5028,55.1732,66.2828,71.4501,69.2295,61.0852,71.1145,48.3317,68.2735,82.3222,93.3022,100.9679,110.7084,113.224,69.2672,18.687,23.7172,20.9001,22.2355,28.4093,27.9151,30.6523,34.8896,38.8154,39.3919,35.4775,37.6588,44.2443,37.7294,44.0775,44.2135,43.4612,49.805,51.2115,57.6195,73.0422,75.8632,80.8785,91.0046,91.5256,96.0021,111.527,107.99,107.9652,113.1357,113.2148,105.9357,110.8227,103.4976,112.3525,118.9581,105.1126,106.9715,106.8585,113.7921,113.4082,111.5178,117.7165,119.6013,127.0763,117.6405,129.4397,134.9573,129.0124,139.594,153.0707,156.5908,157.3453,150.9326,150.4477,160.5717,172.0827,168.1425,182.8493,194.7387,202.1819,201.5421,203.5657,234.9293,237.7253,245.1694,254.5701,258.9751
ARE,0.026776,0.027189,0.027598,0.028001,0.028393,0.028771,0.029133,0.029474,0.029791,0.03008,0.030338,0.030578,0.030814,0.031048,0.031282,0.031516,0.031752,0.031991,0.032234,0.032484,0.032741,0.033176,0.033914,0.034884,0.036017,0.037244,0.038494,0.039698,0.040786,0.041689,0.042336,0.042813,0.043254,0.043667,0.044059,0.044438,0.044811,0.045185,0.045568,0.045967,0.058156,0.064363,0.070772,0.077379,0.084181,0.091172,0.098348,0.10571,0.11324,0.12095,0.12882,0.13779,0.14837,0.15997,0.17202,0.18391,0.19506,0.20487,0.21277,0.21815,0.22043,0.22072,0.22058,0.22013,0.21947,0.21869,0.21792,0.21725,0.21679,0.21664,0.21691,0.22372,0.24192,0.26971,0.30526,0.34676,0.39239,0.44035,0.48881,0.53597,0.58,0.62057,0.65948,0.69818,0.7381,0.78068,0.82735,0.87955,0.93872,1.0063,1.0837,1.1893,1.3376,1.524,1.7441,1.9934,2.2674,2.5618,2.8719,3.1934,3.5218,3.8647,4.2357,4.6391,5.0788,5.5592,6.0844,6.6587,7.2861,7.9685,8.7139,9.4433,10.1385,10.8739,11.7299,12.8028,14.1701,16.6835,19.1656,41.1903,40.2543,54.9007,60.3685,78.7074,79.4227,77.9791,97.3974,90.5753,103.5367,69.3898,67.5068,55.7198,52.0299,50.0277,66.2438,66.1682,56.4982,52.9053,50.0763,54.8376,52.6898,57.9152,59.2027,66.26,72.4684,72.9044,65.2162,67.6346,88.2896,87.0336,121.9452,118.0794,107.442,136.5656,149.6933,159.4816,159.6844,163.3895,176.528,180.4506,168.5847,168.8612,176.1265,168.8753,198.31,214.2021,221.0885,216.9711
