code,KYOTOGHGAR4_IPC1_TOTAL_NET_HISTORY_UNFCCC2019BI
entity,KYOTOGHGAR4
category,IPC1
name_category,Energy
type,NET
class,TOTAL
descr,Result of N2O+CH4_CAT1_TOTAL_NET_HISTORY_UNFCCC2019BTX+CO2_CAT1_TOTAL_NET_HISTORY_UNFCCC2019BTX - regarding information just missing in one of the tables as zero
note,calculated by the function combine_tables_varying_in_one_sheet_as by CC and JN from PRIMAP
source,UNFCCC2019BI
scenario,HISTORY
datatype,CountryYearMatrix
tablekind,usr
family,emi
subsource,UNFCCC_2019B.csv
unit,MtCO2eq
gwp,AR4
iso3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
ALB,3.1375,5.1082,3.3936,3.2835,3.4143,3.2541,3.2707,3.4261,4.1434,4.4616,3.1299,3.5176,3.6277,3.8038,4.0587,3.9744,3.9107,4.0882,4.1507,4.4869,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ARE,NaN,NaN,NaN,NaN,71.6966,NaN,NaN,NaN,NaN,NaN,119.444,NaN,NaN,NaN,NaN,178.66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,166.4971,NaN,NaN
ARG,105.2855,NaN,NaN,NaN,124.035,NaN,NaN,131.917,NaN,NaN,134.2534,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,178.5974,NaN,184.842,NaN,NaN,NaN,NaN
ARM,23.103,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.6967,NaN,NaN,NaN,NaN,NaN,4.6118,NaN,NaN,NaN,5.1498,NaN,NaN,NaN,NaN,NaN,NaN
AZE,65.606,60.5656,51.2948,45.1725,40.1584,43.0107,35.5475,34.1253,33.2636,32.8907,33.7512,33.5489,32.9406,35.4868,37.4963,40.1343,39.7163,37.1908,44.7528,39.3699,38.8064,39.6504,41.6799,51.3552,NaN,NaN,NaN
BGD,NaN,NaN,NaN,NaN,15.2118,NaN,NaN,NaN,NaN,NaN,NaN,30.8523,NaN,NaN,NaN,38.7434,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BHS,1.8942,NaN,NaN,NaN,1.8662,NaN,NaN,NaN,NaN,NaN,0.69982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BIH,25.1936,23.5723,6.4961,2.4246,2.6478,2.3364,4.7642,7.4486,11.2196,11.2974,11.9089,12.4352,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.32,20.274,NaN,NaN
BOL,6.237,NaN,NaN,NaN,10.1125,NaN,NaN,NaN,9.6571,NaN,8.2201,NaN,8.4784,NaN,9.0345,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BRA,188.9958,194.9156,198.2978,203.0229,212.0737,227.2765,243.6128,259.2206,269.4984,281.4086,288.4577,298.7795,297.3547,292.2161,308.2177,318.8072,322.8406,336.2796,355.7001,344.53,377.0138,391.584,424.2874,454.1712,477.0998,451.593,NaN
CAF,NaN,NaN,NaN,NaN,19.58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.18038,0.19326,0.20727,0.21461,0.23211,0.2358,0.23283,0.25246,NaN,NaN,NaN,NaN,NaN,NaN
CHL,33.686,NaN,NaN,NaN,37.457,NaN,NaN,NaN,NaN,NaN,52.5205,NaN,NaN,NaN,NaN,NaN,58.2446,NaN,NaN,NaN,68.6331,NaN,NaN,79.9914,NaN,NaN,87.1086
CHN,NaN,NaN,NaN,NaN,3044.664,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5829.962,NaN,NaN,NaN,NaN,NaN,NaN,9444.963,NaN,NaN,NaN,NaN
COL,52.115,NaN,NaN,NaN,63.3789,NaN,NaN,NaN,NaN,NaN,66.8763,NaN,NaN,NaN,67.6092,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CRI,2.5503,NaN,NaN,NaN,NaN,NaN,4.1799,NaN,NaN,NaN,4.8108,NaN,NaN,NaN,NaN,5.7092,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CUB,32.8535,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.5097,NaN,26.5552,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DMA,NaN,NaN,NaN,NaN,0.077072,NaN,NaN,NaN,NaN,NaN,0.1074,0.12136,0.11649,0.11415,0.11432,0.12212,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DOM,8.5573,NaN,NaN,NaN,14.8486,NaN,NaN,NaN,15.9412,NaN,18.3009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.8043,NaN,NaN,NaN,NaN,NaN,NaN
EARTH,2044.9573,1416.3135,1397.3151,1458.3136,5984.3779,1312.1492,1432.1042,1595.8323,1446.5744,1453.4598,4129.7406,1614.8681,1715.9924,1691.9428,1887.8747,8022.1644,1934.8133,1887.1603,1987.5989,1910.1929,4625.9989,2067.3023,12151.82,1967.035,1333.7874,516.5446,87.1086
EGY,83.5621,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,117.9733,NaN,NaN,NaN,NaN,158.5414,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
