code,KYOTOGHGAR4_IPCM0EL_TOTAL_NET_SSP1BLIMAGE_PMSSPBIE
entity,KYOTOGHGAR4
scenario,SSP1BLIMAGE
datatype,CountryYearMatrix
note,calculated by the function combine_tables_varying_in_one_sheet_as by CC and JN from PRIMAP
type,NET
class,TOTAL
tablekind,usr
descr,Result of FGASESAR4+CH4+N2O_IPCM0EL_TOTAL_NET_SSP1BLIMAGE_PMSSPBIEX+CO2_IPCM0EL_TOTAL_NET_SSP1BLIMAGE_PMSSPBIEX - regarding information just missing in one of the tables as zero
source,PMSSPBIE
category,IPCM0EL
name_category,NatTotalExclLULUCF
family,emi
subsource,NaN
unit,MtCO2eq
gwp,AR4
iso3,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
ABW,0.040634,0.042771,0.045074,0.047533,0.05014,0.052885,0.055759,0.058754,0.061861,0.065069,0.068372,0.071799,0.075391,0.079151,0.083085,0.087195,0.091487,0.095965,0.10063,0.10549,0.11055,0.1159,0.12162,0.12768,0.13404,0.14068,0.14756,0.15467,0.16196,0.16942,0.177,0.18474,0.19269,0.20088,0.20933,0.21807,0.22711,0.23649,0.24623,0.25635,0.28684,0.29799,0.31045,0.32414,0.33896,0.35483,0.37166,0.38938,0.40789,0.42711,0.44696,0.46844,0.49234,0.51821,0.54563,0.57415,0.60334,0.63275,0.66195,0.69051,0.71798,0.74433,0.77,0.79526,0.82037,0.84559,0.8712,0.89746,0.92463,0.95298,0.98277,1.0139,1.0462,1.0797,1.1143,1.3691,1.765,1.7388,4.5512,5.709,6.9856,5.9512,5.7768,6.1624,6.8664,7.9269,8.4654,10.2336,10.9717,10.328,8.5516,10.5662,6.1611,9.9453,12.4677,14.4629,15.8982,17.499,17.8311,9.5016,1.1721,1.8399,1.0712,1.2379,2.4845,2.0602,2.6592,1.8257,1.6041,2.0585,1.7759,1.8538,2.0346,1.9525,1.9016,1.7125,1.6065,1.9713,1.8391,2.3945,2.67,2.3313,2.2624,2.5044,2.2752,1.6624,3.4923,1.8498,1.586,1.6619,1.7099,1.6313,1.8184,0.96537,2.3198,2.7052,0.24161,0.51005,0.67485,0.71221,1.7053,1.749,1.5329,1.6681,1.6907,1.7488,1.7642,1.8211,1.8756,1.8881,2.4681,2.499,2.5289,2.6556,2.7111,2.8145,2.8117,2.9208,2.7569,2.7285,2.6095,2.6039,1.4532,0.96826,0.98086,1.0009,1.0284,1.025,0.58945,0.61685,0.64482,0.6741,0.70512,0.73779,0.77205,0.80786,0.84606,0.8872,0.93087,0.9767,1.0244,1.0744,1.1272,1.1827,1.2407,1.3011,1.3648,1.4321,1.5026,1.576,1.652,1.7318,1.8166,1.9058,1.999,2.0958,2.1961,2.3001,2.4067,2.5149,2.6236,2.7286,2.8369,2.9478,3.0606,3.1744,3.2894,3.4053,3.521,3.6356,3.7481,3.8543,3.9513,4.0396,4.1201,4.1938,4.2625,4.3275,4.3902,4.4519,4.5143,4.5717,4.6175,4.6532,4.6802,4.7001,4.7161,4.7308,4.7458,4.7629,4.7845,4.808,4.8297,4.8498,4.8684,4.8858,4.9023,4.9178,4.9326,4.9467,4.9603,4.973,4.9844,4.9946,5.0038,5.0121,5.0196,5.0268,5.0341,5.0419,5.0506
AFG,0.85833,0.91926,0.97909,1.0377,1.0951,1.1512,1.2058,1.259,1.3106,1.3606,1.4088,1.4556,1.5012,1.5457,1.5891,1.6315,1.6727,1.713,1.7523,1.7906,1.828,1.8686,1.9154,1.9668,2.0211,2.0766,2.1315,2.1843,2.2332,2.2765,2.3126,2.3435,2.3726,2.3998,2.4255,2.4498,2.4727,2.4945,2.5153,2.5352,2.5945,2.597,2.601,2.6064,2.6131,2.6208,2.6294,2.6387,2.6487,2.659,2.6697,2.6822,2.6979,2.7162,2.7367,2.7587,2.7817,2.8054,2.829,2.8521,2.8742,2.8946,2.9138,2.9323,2.9511,2.9708,2.9923,3.0163,3.0437,3.0751,3.1114,3.1797,3.3001,3.4623,3.6562,3.8716,4.0985,4.3266,4.5457,4.7459,4.9168,5.065,5.2051,5.3391,5.4692,5.5972,5.7254,5.8557,5.9902,6.131,6.28,6.454,6.6641,6.9039,7.1668,7.4464,7.7364,8.0303,8.3225,8.592,8.9323,9.2295,9.5908,10.0024,10.4429,10.9321,11.4001,11.9264,12.3364,12.7056,12.9763,12.81,13.2404,13.7322,14.2137,14.8198,15.5135,16.0755,16.7018,16.6695,17.434,17.632,15.4988,15.5565,17.3476,17.7332,17.7872,18.3682,17.6431,17.3444,17.2889,17.0911,17.1315,16.9111,16.2434,15.9409,14.0127,14.0093,13.9604,13.0233,12.8281,13.0307,12.0476,12.1969,12.24,12.8216,13.9125,14.8752,15.6795,16.5714,14.8423,13.286,15.9498,16.7076,16.3504,17.1656,17.567,18.3722,21.7611,24.884,28.6984,32.6811,31.2559,30.5344,32.0983,31.6482,33.5513,34.0195,36.7842,36.2271,35.847,35.6507,35.5918,35.6588,35.8399,36.1235,36.5235,37.051,37.692,38.4341,39.2668,40.2094,41.2759,42.4525,43.729,45.0988,46.5926,48.226,49.9763,51.8252,53.7585,55.8136,58.0226,60.3698,62.8444,65.4397,68.1847,71.0935,74.1446,77.3207,80.6089,84.064,87.6991,91.4833,95.3894,99.3935,103.5156,107.7774,112.1621,116.6569,121.2528,125.878,130.4504,134.9521,139.3719,143.7053,147.9822,152.2188,156.3992,160.5141,164.561,168.371,171.7659,174.7439,177.3178,179.5168,181.4489,183.2527,185.0318,186.91,189.0315,191.2793,193.4352,195.5116,197.5261,199.5015,201.4828,203.5224,205.6619,207.948,210.4328,213.0171,215.5784,218.1411,220.7335,223.3873,226.129,228.9913,232.0202,235.2647,238.7767
AGO,3.1747,3.273,3.3701,3.4658,3.56,3.6526,3.7432,3.8319,3.9184,4.0025,4.0841,4.1639,4.2427,4.3206,4.3977,4.4741,4.5499,4.6252,4.7001,4.7746,4.8489,4.9321,5.0309,5.1417,5.2606,5.384,5.5081,5.6294,5.7439,5.8481,5.9382,6.0188,6.0971,6.1735,6.2485,6.3225,6.3959,6.4691,6.5426,6.6166,6.724,6.753,6.7896,6.8334,6.8838,6.9405,7.0029,7.0706,7.1431,7.22,7.3008,7.4118,7.5734,7.7758,8.0093,8.2642,8.5308,8.7993,9.0601,9.3034,9.5195,9.7313,9.9647,10.2147,10.4761,10.7437,11.0125,11.2773,11.5329,11.7743,11.9964,12.2186,12.4596,12.7124,12.97,13.2257,13.4724,13.7033,13.9115,14.0901,14.2321,14.3447,14.4441,14.537,14.6303,14.7307,14.8451,14.9802,15.1428,15.3397,15.5777,16.1735,17.3466,18.9581,20.8691,22.9407,25.0338,27.0097,28.7293,30.0538,30.9715,31.3455,31.4349,31.2223,30.9985,30.7129,30.4841,30.3934,30.3468,30.6166,31.1376,32.2231,34.285,35.8692,37.8784,39.9314,42.3572,43.9857,46.5203,49.5375,68.7246,49.3675,56.5531,63.4593,61.6729,62.7297,45.0404,70.0835,77.6456,86.9501,80.5887,72.4703,75.0591,76.7643,70.7221,71.5479,71.5422,82.6406,72.5594,75.8543,72.2615,74.4525,76.7984,76.156,69.8744,81.2641,82.0381,77.2704,79.961,75.8694,70.5544,71.7326,76.1997,76.6953,86.2492,87.1718,84.6794,90.1656,89.1923,91.0484,97.0942,99.5551,100.8591,97.0342,97.0693,100.353,100.8752,100.5013,117.9271,119.5678,120.1394,119.6949,118.6361,117.1619,115.4428,113.6232,111.5835,109.2295,106.7046,104.1241,101.5783,98.9578,96.249,93.6332,91.2491,89.2004,87.413,85.784,84.3425,83.1056,82.0819,81.293,80.7425,80.406,80.2591,80.2786,80.4898,80.9007,81.466,82.1445,82.8992,84.5491,86.3545,88.2808,90.2952,92.3668,94.5042,96.7168,98.978,101.2631,103.549,105.9208,108.443,111.0628,113.7269,116.381,118.9824,121.4848,123.828,125.9515,127.794,129.4707,131.124,132.7342,134.2825,135.751,137.1372,138.4405,139.6465,140.7414,141.7113,142.4353,142.8239,142.9119,142.7354,142.332,141.7431,141.0104,140.1731,139.2706,138.3429,137.3748,136.3281,135.2082,134.02,132.7687,131.4565,130.0856,128.6602,127.1845,125.6623
ALB,0.16122,0.16258,0.16397,0.16539,0.16683,0.16827,0.1697,0.17111,0.17248,0.17381,0.17508,0.17634,0.17762,0.17894,0.18031,0.18171,0.18318,0.1847,0.18628,0.18793,0.18965,0.19197,0.19525,0.19929,0.20388,0.2088,0.21385,0.2188,0.22346,0.22761,0.23103,0.23399,0.23689,0.23975,0.2426,0.24547,0.24837,0.25134,0.25439,0.25756,0.2743,0.26278,0.25182,0.24162,0.23236,0.22423,0.21744,0.21217,0.20862,0.20697,0.20743,0.20933,0.21184,0.21486,0.21831,0.22211,0.22618,0.23043,0.23478,0.23914,0.24342,0.25151,0.26663,0.2878,0.314,0.34423,0.37748,0.41276,0.44905,0.48535,0.52066,0.5612,0.61168,0.6688,0.72929,0.78986,0.84723,0.89812,0.93924,0.96732,0.97907,0.97048,0.94292,0.88638,0.83498,0.78377,0.77827,0.80346,0.78054,0.79064,0.89733,0.89381,0.99415,0.94726,0.90651,0.99715,1.2654,1.5656,1.5616,1.7756,1.5176,1.6014,1.6303,1.6878,1.7683,1.8895,2.0146,2.3508,2.2582,2.3998,2.6895,2.8882,2.9927,2.8317,2.8299,3.014,3.1977,3.3384,3.5195,3.5787,3.8443,4.0997,4.6847,4.662,4.3298,4.3764,4.7183,5.1679,5.8416,6.4343,5.4785,6.3971,6.3509,6.5037,6.6807,6.6474,6.8337,6.6364,6.6807,7.6879,6.7815,8.0866,5.7988,5.8929,6.4466,6.3907,6.4465,6.5214,7.3211,7.7653,7.0273,7.4074,7.7159,8.0177,8.3061,8.11,8.0436,8.2718,8.1844,8.6573,8.9149,9.6455,9.2906,9.513,10.3286,9.8756,10.174,10.2403,10.5295,10.4878,10.4574,10.4359,10.4175,10.4013,10.3865,10.3729,10.3657,10.3701,10.3868,10.4164,10.4604,10.5185,10.5867,10.6616,10.7401,10.8193,10.8992,10.9799,11.0586,11.1324,11.1986,11.2554,11.3021,11.3383,11.3641,11.3796,11.3882,11.3938,11.3982,11.403,11.41,11.3952,11.3795,11.3616,11.3403,11.3141,11.2836,11.2485,11.2069,11.1574,11.098,11.0306,10.9575,10.8779,10.7914,10.6974,10.5965,10.49,10.3785,10.2624,10.1423,10.0163,9.8829,9.7426,9.5964,9.4451,9.2918,9.139,8.9869,8.8353,8.6846,8.5365,8.3912,8.2465,8.1001,7.9503,7.7999,7.653,7.5093,7.3688,7.2311,7.0935,6.9544,6.8156,6.6786,6.5449,6.413,6.2811,6.1499,6.0198,5.8917
ANNEXI,695.4056,706.0228,720.7958,738.181,784.2752,799.1228,824.1094,833.4438,843.3173,870.4052,907.928,930.4388,945.3841,984.1983,1025.3043,1058.8078,1081.011,1135.8533,1167.341,1219.2639,1245.5797,1295.598,1393.6418,1462.3961,1430.6347,1503.3945,1527.8257,1573.9192,1590.1224,1689.9131,1828.2382,1882.8216,1973.327,2066.2973,2105.4976,2131.6881,2176.4222,2261.6603,2461.5547,2435.4477,2572.019,2657.3514,2693.2179,2699.0643,2770.9355,2877.6121,2948.4151,3042.0411,3148.9091,3325.0089,3448.0282,3525.3966,3596.867,3804.5431,3845.8038,4018.8406,4143.1858,4495.0991,4392.9181,4530.8636,4691.0662,4750.3043,4933.5363,5210.8054,4925.5406,4912.7984,5182.1561,5357.7896,5336.4896,4874.2251,5350.7842,4908.987,5082.1181,5542.787,5550.2911,5602.9086,5561.2284,5925.5386,5907.9036,6206.0115,5883.6704,5486.0093,5145.0008,5305.1134,5567.1633,5722.2524,6084.1091,6349.9989,6089.9451,6325.3403,6712.4821,6860.8479,6992.4311,7207.327,7235.5932,6518.8034,6907.6914,7505.1389,7873.2001,7708.2616,8268.5398,8686.5997,8792.6075,9031.5582,9162.1195,9784.2086,10287.212,10520.5058,10524.0676,10786.9016,11210.4253,11477.3882,11916.6689,12459.733,12927.7302,13349.4237,13816.3793,14290.2322,14859.8222,15542.4812,16301.1619,16544.9549,17141.2448,17881.4451,17709.2685,17410.2806,18149.6926,18384.5037,19049.8898,19391.4722,19138.0849,18560.7446,18091.3859,18078.7087,18441.3497,18703.4444,18691.0616,19104.3768,19585.949,19731.1713,19323.3387,18924.8834,18353.4759,18110.3856,17863.1842,17969.3278,18215.5125,18094.0916,18028.0044,17986.9168,18182.6702,18135.8761,18112.8123,18329.0113,18517.9188,18527.5913,18507.6033,18652.048,18241.5134,17107.9175,17632.1358,17490.565,17282.9586,17269.7209,17057.4184,16882.6872,16749.2409,16797.8916,16581.3838,16539.1558,16486.0336,16416.6589,16329.7672,16230.5498,16124.0506,16015.1846,15908.0134,15805.9178,15712.7003,15632.1645,15568.12,15519.1048,15479.6137,15447.3986,15420.2137,15395.8145,15371.9886,15346.7344,15318.1031,15284.1205,15242.7897,15190.6157,15127.1322,15054.863,14976.3251,14894.0312,14810.1831,14727.0343,14647.1813,14573.2299,14507.7969,14424.017,14340.794,14257.7963,14174.6818,14091.097,14006.6698,13920.8305,13832.9343,13742.3554,13648.4879,13550.6292,13448.7572,13343.2989,13234.6792,13123.3207,13009.6528,12894.1175,12777.1522,12659.1898,12540.6594,12417.7971,12287.6421,12151.828,12011.9941,11869.7843,11726.9928,11585.4483,11446.8503,11312.8984,11185.2929,11063.3162,10944.699,10828.8169,10715.0489,10602.7778,10491.3901,10380.2759,10268.8273,10156.4386,10042.5066,9925.9516,9806.329,9683.9887,9559.2784,9432.5435,9304.0429,9174.0651,9042.994,8911.208,8779.0794
AOSIS,0.94672,0.98096,1.0169,1.0545,1.0936,1.134,1.1756,1.2183,1.2619,1.3063,1.3514,1.3975,1.4451,1.4944,1.5453,1.5978,1.652,1.708,1.7657,1.8252,1.8866,1.9551,2.0344,2.1226,2.2173,2.3166,2.4181,2.5199,2.6196,2.7152,2.8046,2.8903,2.9765,3.0635,3.1515,3.2406,3.3311,3.4232,3.5171,3.613,3.8371,3.8794,3.9408,4.0198,4.1142,4.2229,4.3437,4.4751,4.6154,4.7624,4.9151,5.1132,5.3824,5.7089,6.0717,6.4546,6.8391,7.2087,7.5444,7.8553,8.1121,8.352,8.6126,8.8311,9.0933,9.334,9.611,9.9178,10.3486,10.405,10.7964,11.1037,11.2776,11.7156,12.3864,12.9055,13.1495,13.5198,14.8908,15.4782,15.7387,15.3734,15.8065,16.9097,17.9321,18.5634,19.5562,21.4205,22.8649,24.3312,25.9481,25.5481,26.9623,27.3789,28.8011,30.0722,31.0484,33.1708,34.8017,36.5495,31.4855,33.9737,35.7583,37.3436,38.7143,41.6182,42.8939,51.5144,57.9481,57.005,55.2488,55.8877,63.0751,57.4623,66.322,67.8978,69.1862,74.0778,76.6262,80.1231,94.9242,99.2824,105.4181,115.0166,117.7729,125.7637,133.1093,139.408,141.9609,147.723,148.3002,141.6779,146.1975,144.3112,147.9695,152.8614,150.6344,152.2961,152.7721,159.0972,157.0122,156.5452,164.3118,162.7559,172.5765,164.6258,178.9946,186.3112,187.6261,196.5887,209.7357,217.4043,214.4022,209.9694,212.2185,227.0984,242.2641,239.5825,255.6508,267.8184,280.5225,279.6259,278.2003,316.8285,321.469,331.0112,341.9077,348.3663,345.347,346.6662,347.562,348.133,348.5769,348.9552,349.3103,349.67,350.0357,350.4339,350.9098,351.4959,352.2149,353.1473,354.3496,355.7951,357.4472,359.2626,361.2018,363.1927,365.1381,366.9413,368.506,370.0884,371.9339,373.9359,375.9949,378.0185,379.9991,381.953,383.8308,385.5858,387.1743,388.3157,389.43,390.4841,391.4485,392.2976,393.0278,393.6386,394.1134,394.4387,394.6033,394.3054,393.322,391.7613,389.73,387.3336,384.64,381.7128,378.6487,375.5431,372.4902,369.1193,365.0861,360.5241,355.5683,350.3556,345.0262,339.7228,334.5897,329.7749,325.43,321.3518,317.2522,313.1587,309.1003,305.1069,301.205,297.4229,293.7952,290.3571,287.1443,284.0612,281.0081,278.0154,275.1135,272.3323,269.6698,267.1227,264.7195,262.4884,260.4575
ARE,0.088065,0.090225,0.092362,0.094469,0.096539,0.098563,0.10053,0.10244,0.10429,0.10605,0.10773,0.10936,0.11097,0.11256,0.11414,0.11571,0.11728,0.11884,0.12041,0.12198,0.12356,0.12554,0.12821,0.1314,0.13497,0.13874,0.14256,0.14627,0.14971,0.15271,0.15512,0.15712,0.15905,0.1609,0.1627,0.16446,0.16621,0.16795,0.16971,0.1715,0.18635,0.19279,0.19953,0.20655,0.21384,0.22139,0.22919,0.23721,0.24544,0.25388,0.26249,0.27231,0.28392,0.29673,0.31009,0.3234,0.33604,0.34739,0.35683,0.36374,0.3675,0.36918,0.37035,0.37116,0.37176,0.37232,0.37299,0.37392,0.37527,0.37718,0.37982,0.39103,0.41691,0.45501,0.50286,0.55801,0.618,0.68038,0.74267,0.80243,0.8572,0.90703,0.95467,1.0017,1.0496,1.1001,1.1546,1.2147,1.282,1.3581,1.4444,1.5602,1.7204,1.9201,2.1546,2.419,2.7087,3.0188,3.3445,3.6811,4.0238,4.3829,4.774,5.2001,5.6643,6.1695,6.7187,7.3151,7.9615,8.6587,9.4133,10.1801,10.8869,11.6435,12.5258,13.6197,15.0131,17.5555,20.0757,42.1406,41.4281,56.1752,61.7429,80.2661,81.0511,79.6445,99.0501,92.5145,106.1964,72.3341,70.996,59.3605,56.0243,54.1168,72.2873,72.4776,62.5451,59.4596,56.812,62.1874,61.2097,67.2973,68.9758,76.3247,83.2046,84.7661,77.7487,80.9749,103.0591,103.0369,137.7742,134.6088,125.6334,156.3638,171.1557,183.0349,186.4729,193.729,212.261,215.8088,204.1377,205.3739,211.7397,205.9782,236.8704,254.1235,262.4122,259.7016,256.4465,258.7256,261.35,264.2261,266.8126,269.112,271.1321,272.8856,274.3675,275.6029,276.6492,277.5571,278.3705,279.0241,279.4803,279.8034,280.0391,280.2163,280.2688,280.0988,279.6745,278.9609,277.9201,276.5946,275.0646,273.3413,271.4279,269.3208,266.9624,264.356,261.5778,258.6946,255.7648,253.5191,251.1453,248.7088,246.2686,243.8778,241.5117,239.0957,236.6034,234.0075,231.2811,228.6013,226.0912,223.6475,221.1732,218.5781,215.7914,212.7332,209.3102,205.4381,201.0419,196.4315,191.9377,187.526,183.1647,178.8252,174.5292,170.2965,166.0989,161.9099,157.7049,153.3424,148.7612,144.051,139.2914,134.5525,129.8464,125.1895,120.6449,116.2672,112.1033,108.1079,104.2153,100.4346,96.7727,93.2348,89.8013,86.4533,83.1943,80.0275,76.9554
ARG,0.92789,0.96572,1.006,1.0485,1.093,1.1393,1.1871,1.2363,1.2866,1.3378,1.3896,1.4427,1.4982,1.5559,1.6159,1.6784,1.7435,1.811,1.8812,1.9542,2.0298,2.1171,2.2222,2.3416,2.4719,2.6093,2.7505,2.8917,3.0294,3.1601,3.2802,3.394,3.5084,3.624,3.741,3.8598,4.1939,4.3105,4.2072,5.1632,5.2514,4.9315,5.4945,5.8828,6.586,7.1971,7.6512,7.91,8.6491,9.6905,9.4621,10.6091,12.0355,13.4848,15.9124,17.7404,21.4381,22.9608,25.5049,24.9825,28.2654,29.5476,29.454,30.3623,29.3116,27.999,26.4581,24.1617,24.5864,25.8037,27.8508,27.5398,29.0487,29.9228,31.9999,32.0283,31.8262,33.735,32.924,33.2643,32.999,33.3539,34.0309,34.7946,36.523,37.2652,39.3015,41.8891,42.6936,44.6535,44.2788,43.7952,45.014,47.5549,49.785,52.0286,54.6886,58.1299,63.2867,63.9567,79.4081,86.9801,92.6168,97.6282,105.8268,115.6324,127.3262,137.519,140.9417,150.7214,154.7945,158.7481,161.1172,153.5718,164.1912,175.6041,183.3877,190.9475,194.5802,197.3227,203.2202,209.1265,216.009,223.8111,224.7898,227.0156,236.3008,240.1758,237.9442,245.8925,241.183,231.114,229.7726,233.2717,235.8512,228.9612,232.674,240.8961,247.9026,244.0737,242.8383,252.4021,257.77,261.462,266.6969,260.6655,272.747,274.4033,278.8986,280.945,296.9296,293.5946,287.0193,304.9927,317.2126,326.7034,341.3797,355.7947,352.1372,341.5865,315.8042,325.657,327.4683,337.4221,339.2946,342.361,347.167,348.1714,334.1811,340.0827,345.4722,350.497,355.2623,359.7621,363.9944,367.9612,371.6638,375.1445,378.4674,381.6938,384.8818,388.1196,391.4076,394.6702,397.8309,400.813,403.5561,406.0071,408.0998,409.7669,410.9406,411.8385,412.7113,413.5369,414.2892,414.939,415.3992,415.5772,415.4331,414.927,414.0197,412.6766,411.2008,409.5876,407.8307,405.922,403.8194,401.4821,398.9014,396.0674,392.9687,389.2639,384.7221,379.4932,373.722,367.5485,361.1257,354.5816,348.0141,341.5208,335.1985,328.6766,321.6276,314.2079,306.5685,298.8547,291.1952,283.709,276.5195,269.7454,263.5016,257.6222,251.8744,246.2689,240.8156,235.5241,230.3996,225.4453,220.6673,216.0715,211.6638,207.4204,203.3098,199.3275,195.469,191.7302,188.1322,184.6951,181.4136,178.2831,175.2994
ARM,0.36222,0.36335,0.36451,0.36569,0.36689,0.36809,0.36929,0.37048,0.37165,0.3728,0.37406,0.37524,0.37629,0.37747,0.3787,0.37986,0.38208,0.38362,0.38488,0.3867,0.38827,0.39066,0.39312,0.39632,0.40062,0.40542,0.41142,0.41673,0.42262,0.42753,0.43233,0.43898,0.44281,0.44774,0.45808,0.46798,0.47163,0.48341,0.48963,0.49276,0.49962,0.52347,0.53658,0.56179,0.56345,0.60348,0.61044,0.63525,0.65955,0.67794,0.70981,0.73406,0.72397,0.70739,0.72058,0.67234,0.69685,0.71181,0.71409,0.72911,0.73559,0.73458,0.7586,0.7797,0.80526,0.84377,0.88867,0.89111,0.78821,0.82052,0.82336,0.83481,0.86808,0.89503,0.91918,0.9415,0.99044,1.0496,1.0642,1.1185,1.3158,1.4205,1.4209,1.4461,1.5419,1.6016,1.6891,1.7279,1.7843,1.8028,1.8904,1.8449,1.7631,1.7579,1.9538,1.6945,1.8133,1.9967,2.1156,2.2891,2.4693,2.6121,2.7993,2.9889,3.2246,3.581,3.9787,4.442,4.9447,5.3868,5.8785,6.3807,7.1036,7.8309,8.4697,9.1524,9.8348,10.5605,11.1527,11.773,12.0442,12.979,13.8098,14.627,15.4896,16.437,17.1417,17.8154,18.6675,19.0654,19.5646,20.0645,20.5277,21.0779,21.3887,22.3496,22.0786,23.6214,25.897,26.0743,25.9566,24.3446,28.934,13.3996,13.2646,14.0969,10.6776,10.904,9.4562,7.4859,6.072,6.1206,5.9108,6.4129,6.825,7.6766,8.0107,8.826,9.5409,8.4695,8.5031,9.3504,10.4292,10.3439,10.4658,11.2202,11.5894,11.2487,10.8148,10.9463,11.0764,11.2132,11.3651,11.5317,11.7119,11.9045,12.1047,12.3068,12.5072,12.702,12.8872,13.0772,13.2856,13.5071,13.7365,13.9686,14.199,14.4236,14.6386,14.8403,15.0248,15.1886,15.3321,15.4574,15.5672,15.664,15.7516,15.8318,15.9048,15.9715,16.0328,15.9954,15.9285,15.8348,15.7173,15.5793,15.4223,15.2516,15.0753,14.9014,14.7373,14.5759,14.4056,14.2269,14.0408,13.8484,13.6523,13.4567,13.2658,13.0836,12.9141,12.7515,12.5889,12.4289,12.274,12.1264,11.9858,11.8508,11.7219,11.5997,11.4851,11.3816,11.2901,11.2072,11.1291,11.0523,10.9736,10.8889,10.7935,10.6825,10.5508,10.3936,10.2091,9.9978,9.7601,9.4966,9.2129,8.9138,8.5995,8.2706,7.9275
AUS,20.6583,20.7349,20.8331,20.9515,21.0891,21.2446,21.4168,21.6044,21.8063,22.0212,22.636,23.1979,23.2394,23.5723,23.6757,24.1927,24.8935,25.5023,25.6258,25.8612,26.183,26.7366,27.2547,28.0345,28.6632,29.2033,29.9874,30.8176,31.3066,32.5838,34.1856,34.1011,34.9707,36.0753,36.8082,37.8036,38.3118,39.0535,40.2851,40.6901,43.6328,42.8454,41.9546,40.9389,40.6739,40.4221,40.0229,40.32,40.9177,41.1924,45.6781,47.4352,48.3318,49.4413,51.2852,53.4551,57.4521,60.2747,63.1497,62.4487,66.4119,69.1428,71.597,74.0771,76.9925,75.2281,73.5817,75.7859,78.6136,78.0999,82.5798,80.6136,82.2655,83.2118,85.7931,87.324,87.3347,88.7181,86.7842,84.5854,83.3915,81.2878,82.4343,84.0951,85.6659,88.6488,90.9552,93.2772,92.9326,97.636,95.2803,101.4338,104.3508,104.0909,104.7668,104.9281,109.2295,113.4931,115.6333,116.5733,134.8641,140.7371,143.9022,145.4508,156.1497,161.5294,166.5968,170.9284,176.8715,185.7768,193.0391,198.4301,207.0452,216.455,228.9466,244.2342,242.1379,255.5876,265.6344,279.3028,286.0533,293.5362,307.3013,315.9109,318.1183,323.4188,325.0747,333.5397,339.9855,345.7814,361.0651,365.5691,372.5214,366.6628,380.2625,393.915,390.454,403.3681,409.1781,437.4701,423.1711,424.2326,428.5787,429.1679,429.2794,437.9366,445.5559,457.6026,471.375,476.9807,487.9023,495.3852,499.2842,500.9888,518.8514,524.7326,529.4055,536.1612,540.0882,543.9627,540.3462,541.371,543.7739,533.5425,528.081,538.3126,549.9258,557.2955,555.1151,555.7705,556.0333,555.5869,554.1552,551.9762,549.2844,546.3112,543.2008,540.129,537.3673,535.1815,533.8327,533.1491,532.7542,532.5988,532.6337,532.8089,533.0409,533.2512,533.3957,533.4284,533.3016,532.9159,532.209,531.195,529.8981,528.3516,526.659,524.9542,523.3242,521.8564,520.6389,518.8132,517.0416,515.3228,513.6513,512.0174,510.3957,508.7214,506.9242,504.9367,502.6936,500.2231,497.5969,494.8176,491.8884,488.813,485.6049,482.2564,478.7418,475.0381,471.1253,466.8783,462.2222,457.2152,451.9172,446.3893,440.7152,434.987,429.2794,423.6663,418.2212,412.8878,407.5664,402.2647,396.99,391.7486,386.5405,381.3694,376.2466,371.1821,366.1852,361.2476,356.3611,351.5333,346.7716,342.0827,337.4675,332.9246,328.4561,324.0644,319.7513
