code,KYOTOGHGAR4_IPCM0EL_TOTAL_NET_SSP2BLMESGB_PMSSPBIE
entity,KYOTOGHGAR4
scenario,SSP2BLMESGB
datatype,CountryYearMatrix
note,calculated by the function combine_tables_varying_in_one_sheet_as by CC and JN from PRIMAP
type,NET
class,TOTAL
tablekind,usr
descr,Result of FGASESAR4+CH4+N2O_IPCM0EL_TOTAL_NET_SSP2BLMESGB_PMSSPBIEX+CO2_IPCM0EL_TOTAL_NET_SSP2BLMESGB_PMSSPBIEX - regarding information just missing in one of the tables as zero
source,PMSSPBIE
category,IPCM0EL
name_category,NatTotalExclLULUCF
family,emi
subsource,NaN
unit,MtCO2eq
gwp,AR4
iso3,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
AFG,0.85833,0.91926,0.97909,1.0377,1.0951,1.1512,1.2058,1.259,1.3106,1.3606,1.4088,1.4556,1.5012,1.5457,1.5891,1.6315,1.6727,1.713,1.7523,1.7906,1.828,1.8686,1.9154,1.9668,2.0211,2.0766,2.1315,2.1843,2.2332,2.2765,2.3126,2.3435,2.3726,2.3998,2.4255,2.4498,2.4727,2.4945,2.5153,2.5352,2.5945,2.597,2.601,2.6064,2.6131,2.6208,2.6294,2.6387,2.6487,2.659,2.6697,2.6822,2.6979,2.7162,2.7367,2.7587,2.7817,2.8054,2.829,2.8521,2.8742,2.8946,2.9138,2.9323,2.9511,2.9708,2.9923,3.0163,3.0437,3.0751,3.1114,3.1797,3.3001,3.4623,3.6562,3.8716,4.0985,4.3266,4.5457,4.7459,4.9168,5.065,5.2051,5.3391,5.4692,5.5972,5.7254,5.8557,5.9902,6.131,6.28,6.454,6.6641,6.9039,7.1668,7.4464,7.7364,8.0303,8.3225,8.592,8.9323,9.2295,9.5908,10.0024,10.4429,10.9321,11.4001,11.9264,12.3364,12.7056,12.9763,12.81,13.2404,13.7322,14.2137,14.8198,15.5135,16.0755,16.7018,16.6695,17.434,17.632,15.4988,15.5565,17.3476,17.7332,17.7872,18.3682,17.6431,17.3444,17.2889,17.0911,17.1315,16.9111,16.2434,15.9409,14.0127,14.0093,13.9604,13.0233,12.8281,13.0307,12.0476,12.1969,12.24,12.8216,13.9125,14.8752,15.6795,16.5714,14.8423,13.286,15.9498,16.7076,16.3504,17.1656,17.567,18.3722,21.7611,24.884,28.6984,32.6811,31.2559,30.5344,32.0983,31.6482,33.5513,34.0195,36.8883,36.505,36.3738,36.4907,36.7885,37.2491,37.8554,38.5917,39.4453,40.3998,41.4349,42.5304,43.6663,44.8608,46.1419,47.5052,48.9476,50.4666,52.0847,53.8242,55.6847,57.6678,59.7772,62.0329,64.448,67.0185,69.7412,72.6141,75.6575,78.8815,82.2696,85.8059,89.4748,93.6043,97.9705,102.5515,107.3261,112.2734,117.4258,122.8243,128.462,134.3335,140.4347,146.8086,153.4905,160.4664,167.7232,175.2489,183.0774,191.2394,199.7202,208.506,217.5847,227.093,237.1322,247.6332,258.5191,269.7049,281.1751,292.9061,304.7862,316.6939,328.4971,340.3522,352.4794,364.8367,377.3849,390.0887,403.0039,416.1847,429.5987,443.2171,457.0151,471.0438,485.3403,499.8632,514.5731,529.4326,544.4847,559.7659,575.2301,590.8325,606.5287
AGO,3.1747,3.273,3.3701,3.4658,3.56,3.6526,3.7432,3.8319,3.9184,4.0025,4.0841,4.1639,4.2427,4.3206,4.3977,4.4741,4.5499,4.6252,4.7001,4.7746,4.8489,4.9321,5.0309,5.1417,5.2606,5.384,5.5081,5.6294,5.7439,5.8481,5.9382,6.0188,6.0971,6.1735,6.2485,6.3225,6.3959,6.4691,6.5426,6.6166,6.724,6.753,6.7896,6.8334,6.8838,6.9405,7.0029,7.0706,7.1431,7.22,7.3008,7.4118,7.5734,7.7758,8.0093,8.2642,8.5308,8.7993,9.0601,9.3034,9.5195,9.7313,9.9647,10.2147,10.4761,10.7437,11.0125,11.2773,11.5329,11.7743,11.9964,12.2186,12.4596,12.7124,12.97,13.2257,13.4724,13.7033,13.9115,14.0901,14.2321,14.3447,14.4441,14.537,14.6303,14.7307,14.8451,14.9802,15.1428,15.3397,15.5777,16.1735,17.3466,18.9581,20.8691,22.9407,25.0338,27.0097,28.7293,30.0538,30.9715,31.3455,31.4349,31.2223,30.9985,30.7129,30.4841,30.3934,30.3468,30.6166,31.1376,32.2231,34.285,35.8692,37.8784,39.9314,42.3572,43.9857,46.5203,49.5375,68.7246,49.3675,56.5531,63.4593,61.6729,62.7297,45.0404,70.0835,77.6456,86.9501,80.5887,72.4703,75.0591,76.7643,70.7221,71.5479,71.5422,82.6406,72.5594,75.8543,72.2615,74.4525,76.7984,76.156,69.8744,81.2641,82.0381,77.2704,79.961,75.8694,70.5544,71.7326,76.1997,76.6953,86.2492,87.1718,84.6794,90.1656,89.1923,91.0484,97.0942,99.5551,100.8591,97.0342,97.0693,100.353,100.8752,100.5013,118.1128,119.8607,120.4913,120.1912,119.445,118.3607,117.0287,115.5246,113.8816,112.0944,110.1672,108.0999,105.8888,103.5215,101.0801,98.6882,96.455,94.4769,92.7311,91.1464,89.7347,88.5047,87.4617,86.6464,86.077,85.7245,85.5613,85.5621,85.7941,86.3066,87.0525,87.9893,89.0779,91.1801,93.6415,96.3829,99.326,102.3926,105.5576,108.7993,112.0439,115.2163,118.2408,121.1205,123.9284,126.6945,129.4521,132.2373,135.1141,138.1441,141.3654,144.8194,148.5508,152.6544,157.1541,161.9896,167.0987,172.4181,177.9036,183.5079,189.1603,194.7889,200.3208,205.8446,211.4771,217.1873,222.9446,228.7187,234.4895,240.2393,245.9423,251.5726,257.1051,262.5571,267.9631,273.3235,278.6393,283.9113,289.1394,294.3218,299.4581,304.5479,309.5909
ALB,0.16122,0.16258,0.16397,0.16539,0.16683,0.16827,0.1697,0.17111,0.17248,0.17381,0.17508,0.17634,0.17762,0.17894,0.18031,0.18171,0.18318,0.1847,0.18628,0.18793,0.18965,0.19197,0.19525,0.19929,0.20388,0.2088,0.21385,0.2188,0.22346,0.22761,0.23103,0.23399,0.23689,0.23975,0.2426,0.24547,0.24837,0.25134,0.25439,0.25756,0.2743,0.26278,0.25182,0.24162,0.23236,0.22423,0.21744,0.21217,0.20862,0.20697,0.20743,0.20933,0.21184,0.21486,0.21831,0.22211,0.22618,0.23043,0.23478,0.23914,0.24342,0.25151,0.26663,0.2878,0.314,0.34423,0.37748,0.41276,0.44905,0.48535,0.52066,0.5612,0.61168,0.6688,0.72929,0.78986,0.84723,0.89812,0.93924,0.96732,0.97907,0.97048,0.94292,0.88638,0.83498,0.78377,0.77827,0.80346,0.78054,0.79064,0.89733,0.89381,0.99415,0.94726,0.90651,0.99715,1.2654,1.5656,1.5616,1.7756,1.5176,1.6014,1.6303,1.6878,1.7683,1.8895,2.0146,2.3508,2.2582,2.3998,2.6895,2.8882,2.9927,2.8317,2.8299,3.014,3.1977,3.3384,3.5195,3.5787,3.8443,4.0997,4.6847,4.662,4.3298,4.3764,4.7183,5.1679,5.8416,6.4343,5.4785,6.3971,6.3509,6.5037,6.6807,6.6474,6.8337,6.6364,6.6807,7.6879,6.7815,8.0866,5.7988,5.8929,6.4466,6.3907,6.4465,6.5214,7.3211,7.7653,7.0273,7.4074,7.7159,8.0177,8.3061,8.11,8.0436,8.2718,8.1844,8.6573,8.9149,9.6455,9.2906,9.513,10.3286,9.8756,10.174,10.2403,10.588,10.6076,10.6414,10.6919,10.7563,10.8309,10.9124,10.9976,11.0873,11.1833,11.2838,11.3875,11.4927,11.605,11.7301,11.867,12.0145,12.1714,12.3357,12.5044,12.6751,12.845,13.0114,13.1787,13.3514,13.5272,13.7037,13.8786,14.0511,14.2212,14.3876,14.5494,14.7051,14.8223,14.9347,15.0427,15.1468,15.2477,15.3464,15.4437,15.5396,15.6343,15.7279,15.8193,15.9081,15.995,16.0807,16.166,16.2507,16.3353,16.4218,16.5118,16.6073,16.7155,16.8395,16.9748,17.1167,17.2607,17.4038,17.5433,17.675,17.7951,17.8993,17.9968,18.097,18.1966,18.292,18.3801,18.4568,18.5187,18.563,18.5868,18.5873,18.5738,18.5578,18.5399,18.5208,18.5012,18.4803,18.4571,18.4309,18.4015,18.3681
ANNEXI,695.4056,706.0228,720.7958,738.181,784.2752,799.1228,824.1094,833.4438,843.3173,870.4052,907.928,930.4388,945.3841,984.1983,1025.3043,1058.8078,1081.011,1135.8533,1167.341,1219.2639,1245.5797,1295.598,1393.6418,1462.3961,1430.6347,1503.3945,1527.8257,1573.9192,1590.1224,1689.9131,1828.2382,1882.8216,1973.327,2066.2973,2105.4976,2131.6881,2176.4222,2261.6603,2461.5547,2435.4477,2572.019,2657.3514,2693.2179,2699.0643,2770.9355,2877.6121,2948.4151,3042.0411,3148.9091,3325.0089,3448.0282,3525.3966,3596.867,3804.5431,3845.8038,4018.8406,4143.1858,4495.0991,4392.9181,4530.8636,4691.0662,4750.3043,4933.5363,5210.8054,4925.5406,4912.7984,5182.1561,5357.7896,5336.4896,4874.2251,5350.7842,4908.987,5082.1181,5542.787,5550.2911,5602.9086,5561.2284,5925.5386,5907.9036,6206.0115,5883.6704,5486.0093,5145.0008,5305.1134,5567.1633,5722.2524,6084.1091,6349.9989,6089.9451,6325.3403,6712.4821,6860.8479,6992.4311,7207.327,7235.5932,6518.8034,6907.6914,7505.1389,7873.2001,7708.2616,8268.5398,8686.5997,8792.6075,9031.5582,9162.1195,9784.2086,10287.212,10520.5058,10524.0676,10786.9016,11210.4253,11477.3882,11916.6689,12459.733,12927.7302,13349.4237,13816.3793,14290.2322,14859.8222,15542.4812,16301.1619,16544.9549,17141.2448,17881.4451,17709.2685,17410.2806,18149.6926,18384.5037,19049.8898,19391.4722,19138.0849,18560.7446,18091.3859,18078.7087,18441.3497,18703.4444,18691.0616,19104.3768,19585.949,19731.1713,19323.3387,18924.8834,18353.4759,18110.3856,17863.1842,17969.3278,18215.5125,18094.0916,18028.0044,17986.9168,18182.6702,18135.8761,18112.8123,18329.0113,18517.9188,18527.5913,18507.6033,18652.048,18241.5134,17107.9175,17632.1358,17490.565,17282.9586,17269.7209,17057.4184,16882.6872,16749.2409,16797.8916,16629.2634,16645.4683,16665.4555,16689.9765,16718.3187,16751.4678,16790.2255,16835.2412,16886.1486,16941.9678,17002.3475,17066.9532,17135.4672,17215.3653,17312.585,17424.4879,17548.4038,17681.6332,17821.3327,17964.6341,18108.7571,18250.8925,18388.2028,18526.25,18671.2636,18821.377,18974.7134,19129.3877,19282.9987,19433.1288,19577.8611,19715.2753,19843.4431,19925.9929,20003.9054,20078.1806,20149.8188,20219.8199,20289.3483,20359.3128,20430.3399,20503.0732,20578.1744,20653.54,20727.4178,20801.0076,20875.5042,20952.0971,21031.9091,21116.0375,21205.6285,21301.8257,21405.7701,21526.3071,21668.4082,21827.4034,21998.6237,22177.4021,22359.0577,22538.9497,22712.4721,22875.0198,23021.9885,23164.1536,23312.6886,23463.5857,23612.8348,23756.4238,23890.3179,24010.4677,24112.8358,24193.3831,24248.0682,24290.561,24336.5568,24385.0519,24435.0436,24485.5298,24535.5413,24584.1303,24630.3283,24673.1683,24711.685
AOSIS,0.94622,0.98044,1.0164,1.054,1.093,1.1334,1.175,1.2177,1.2613,1.3057,1.3507,1.3968,1.4444,1.4936,1.5445,1.597,1.6512,1.7071,1.7648,1.8243,1.8857,1.9541,2.0334,2.1216,2.2163,2.3155,2.417,2.5186,2.6183,2.7139,2.8033,2.8889,2.9751,3.062,3.1499,3.239,3.3294,3.4215,3.5154,3.6112,3.8351,3.8774,3.9387,4.0176,4.112,4.2205,4.3411,4.4724,4.6125,4.7593,4.9118,5.1097,5.3786,5.7047,6.0671,6.4495,6.8335,7.2027,7.538,7.8486,8.1051,8.3449,8.6052,8.8236,9.0856,9.3262,9.603,9.9096,10.3402,10.3964,10.7877,11.0949,11.2686,11.7065,12.3772,12.8961,13.1399,13.5101,14.8808,15.468,15.7282,15.3626,15.7953,16.8981,17.92,18.5507,19.543,21.4067,22.8504,24.3161,25.9323,25.5317,26.945,27.3607,28.7819,30.0519,31.027,33.1482,34.7779,36.5225,31.4592,33.9426,35.7259,37.3095,38.6783,41.5802,42.8539,51.4724,57.9006,56.9558,55.1908,55.834,63.0149,57.4101,66.2618,67.8362,69.116,74.0002,76.5434,80.0332,94.8376,99.1904,105.3281,114.9182,117.6941,125.6752,133.0183,139.3152,141.8625,147.6283,148.2057,141.5719,146.0873,144.2017,147.8597,152.7529,150.5231,152.1783,152.6331,158.9516,156.8616,156.3907,164.1496,162.59,172.3861,164.4276,178.7919,186.0928,187.4007,196.344,209.4799,217.147,214.1332,209.6882,211.9471,226.813,241.9633,239.2728,255.3267,267.4941,280.1895,279.2977,277.8535,316.4452,321.1465,330.6821,341.5697,348.0282,343.095,343.3731,344.0864,345.2902,346.992,349.1428,351.6864,354.5631,357.664,360.8894,364.1922,367.5254,370.8421,374.3442,378.1886,382.2674,386.4802,390.7326,394.9615,399.0905,403.0132,406.6281,409.8377,412.8636,415.9639,419.1019,422.2432,425.3558,428.439,431.5143,434.5853,437.6542,440.7224,444.097,447.3458,450.5055,453.612,456.7008,459.8362,463.0847,466.4852,470.0771,473.9005,477.9332,482.136,486.5247,491.1156,495.9261,500.9819,506.2982,511.8776,517.7234,523.8393,530.686,538.5921,547.365,556.8127,566.7433,576.9925,587.3996,597.7774,607.9382,617.6928,627.6963,638.5506,649.9866,661.7358,673.5302,685.0827,696.1062,706.3313,715.4883,723.307,730.2932,737.1002,743.6788,749.9795,755.9523,761.5375,766.667,771.2784,775.309,778.6957
ARE,0.088065,0.090225,0.092362,0.094469,0.096539,0.098563,0.10053,0.10244,0.10429,0.10605,0.10773,0.10936,0.11097,0.11256,0.11414,0.11571,0.11728,0.11884,0.12041,0.12198,0.12356,0.12554,0.12821,0.1314,0.13497,0.13874,0.14256,0.14627,0.14971,0.15271,0.15512,0.15712,0.15905,0.1609,0.1627,0.16446,0.16621,0.16795,0.16971,0.1715,0.18635,0.19279,0.19953,0.20655,0.21384,0.22139,0.22919,0.23721,0.24544,0.25388,0.26249,0.27231,0.28392,0.29673,0.31009,0.3234,0.33604,0.34739,0.35683,0.36374,0.3675,0.36918,0.37035,0.37116,0.37176,0.37232,0.37299,0.37392,0.37527,0.37718,0.37982,0.39103,0.41691,0.45501,0.50286,0.55801,0.618,0.68038,0.74267,0.80243,0.8572,0.90703,0.95467,1.0017,1.0496,1.1001,1.1546,1.2147,1.282,1.3581,1.4444,1.5602,1.7204,1.9201,2.1546,2.419,2.7087,3.0188,3.3445,3.6811,4.0238,4.3829,4.774,5.2001,5.6643,6.1695,6.7187,7.3151,7.9615,8.6587,9.4133,10.1801,10.8869,11.6435,12.5258,13.6197,15.0131,17.5555,20.0757,42.1406,41.4281,56.1752,61.7429,80.2661,81.0511,79.6445,99.0501,92.5145,106.1964,72.3341,70.996,59.3605,56.0243,54.1168,72.2873,72.4776,62.5451,59.4596,56.812,62.1874,61.2097,67.2973,68.9758,76.3247,83.2046,84.7661,77.7487,80.9749,103.0591,103.0369,137.7742,134.6088,125.6334,156.3638,171.1557,183.0349,186.4729,193.729,212.261,215.8088,204.1377,205.3739,211.7397,205.9782,236.8704,254.1235,262.4122,259.7016,256.771,259.6676,263.3966,267.8441,272.388,277.028,281.7609,286.5814,291.4658,296.3626,301.2239,306.0022,310.65,315.1769,319.6257,323.9989,328.2981,332.5244,336.6553,340.6356,344.4176,347.9536,351.1962,354.0732,356.5933,358.8257,360.8336,362.6735,364.3262,365.8147,367.2491,368.7331,370.364,372.4702,375.0031,377.8153,380.7743,383.7622,386.5994,389.0245,390.8189,391.7795,391.7187,390.594,388.6476,386.1155,383.213,380.135,377.0213,373.9901,371.1766,368.7003,366.6651,365.2398,364.4121,364.0123,363.8838,363.8827,363.8499,363.6392,363.1438,362.2678,360.9248,359.2803,357.5444,355.7064,353.7569,351.6871,349.4715,347.0827,344.5099,341.7429,338.7716,335.6459,332.4246,329.1097,325.7011,322.197,318.6263,315.0169,311.3648,307.6656,303.9149
ARG,0.92789,0.96572,1.006,1.0485,1.093,1.1393,1.1871,1.2363,1.2866,1.3378,1.3896,1.4427,1.4982,1.5559,1.6159,1.6784,1.7435,1.811,1.8812,1.9542,2.0298,2.1171,2.2222,2.3416,2.4719,2.6093,2.7505,2.8917,3.0294,3.1601,3.2802,3.394,3.5084,3.624,3.741,3.8598,4.1939,4.3105,4.2072,5.1632,5.2514,4.9315,5.4945,5.8828,6.586,7.1971,7.6512,7.91,8.6491,9.6905,9.4621,10.6091,12.0355,13.4848,15.9124,17.7404,21.4381,22.9608,25.5049,24.9825,28.2654,29.5476,29.454,30.3623,29.3116,27.999,26.4581,24.1617,24.5864,25.8037,27.8508,27.5398,29.0487,29.9228,31.9999,32.0283,31.8262,33.735,32.924,33.2643,32.999,33.3539,34.0309,34.7946,36.523,37.2652,39.3015,41.8891,42.6936,44.6535,44.2788,43.7952,45.014,47.5549,49.785,52.0286,54.6886,58.1299,63.2867,63.9567,79.4081,86.9801,92.6168,97.6282,105.8268,115.6324,127.3262,137.519,140.9417,150.7214,154.7945,158.7481,161.1172,153.5718,164.1912,175.6041,183.3877,190.9475,194.5802,197.3227,203.2202,209.1265,216.009,223.8111,224.7898,227.0156,236.3008,240.1758,237.9442,245.8925,241.183,231.114,229.7726,233.2717,235.8512,228.9612,232.674,240.8961,247.9026,244.0737,242.8383,252.4021,257.77,261.462,266.6969,260.6655,272.747,274.4033,278.8986,280.945,296.9296,293.5946,287.0193,304.9927,317.2126,326.7034,341.3797,355.7947,352.1372,341.5865,315.8042,325.657,327.4683,337.4221,339.2946,342.361,347.167,348.1714,332.4422,337.3456,342.3366,347.566,353.0819,358.8632,364.8883,371.1342,377.5477,384.0568,390.6115,397.1632,403.6644,410.5053,417.9141,425.6057,433.3006,440.7246,447.6823,454.0289,459.5733,464.1297,467.517,470.0057,472.0408,473.7032,475.0688,476.2086,477.123,477.7788,478.1928,478.3809,478.3585,478.2902,477.7735,476.9241,475.8546,474.6752,473.4846,472.38,471.4651,470.841,470.6062,470.7352,471.1414,471.8292,472.803,474.0664,475.6383,477.5291,479.7301,482.2325,485.0276,488.7241,493.8027,500.0652,507.318,515.372,524.0061,532.9975,542.1616,551.319,560.2946,570.0446,581.2973,593.5485,606.3058,619.0883,631.4238,642.841,652.8755,661.0718,666.984,671.5075,675.766,679.6636,683.1067,686.003,688.2643,689.807,690.5482,690.4067,689.3031
ARM,0.36222,0.36335,0.36451,0.36569,0.36689,0.36809,0.36929,0.37048,0.37165,0.3728,0.37406,0.37524,0.37629,0.37747,0.3787,0.37986,0.38208,0.38362,0.38488,0.3867,0.38827,0.39066,0.39312,0.39632,0.40062,0.40542,0.41142,0.41673,0.42262,0.42753,0.43233,0.43898,0.44281,0.44774,0.45808,0.46798,0.47163,0.48341,0.48963,0.49276,0.49962,0.52347,0.53658,0.56179,0.56345,0.60348,0.61044,0.63525,0.65955,0.67794,0.70981,0.73406,0.72397,0.70739,0.72058,0.67234,0.69685,0.71181,0.71409,0.72911,0.73559,0.73458,0.7586,0.7797,0.80526,0.84377,0.88867,0.89111,0.78821,0.82052,0.82336,0.83481,0.86808,0.89503,0.91918,0.9415,0.99044,1.0496,1.0642,1.1185,1.3158,1.4205,1.4209,1.4461,1.5419,1.6016,1.6891,1.7279,1.7843,1.8028,1.8904,1.8449,1.7631,1.7579,1.9538,1.6945,1.8133,1.9967,2.1156,2.2891,2.4693,2.6121,2.7993,2.9889,3.2246,3.581,3.9787,4.442,4.9447,5.3868,5.8785,6.3807,7.1036,7.8309,8.4697,9.1524,9.8348,10.5605,11.1527,11.773,12.0442,12.979,13.8098,14.627,15.4896,16.437,17.1417,17.8154,18.6675,19.0654,19.5646,20.0645,20.5277,21.0779,21.3887,22.3496,22.0786,23.6214,25.897,26.0743,25.9566,24.3446,28.934,13.3996,13.2646,14.0969,10.6776,10.904,9.4562,7.4859,6.072,6.1206,5.9108,6.4129,6.825,7.6766,8.0107,8.826,9.5409,8.4695,8.5031,9.3504,10.4292,10.3439,10.4658,11.2202,11.5894,11.2487,10.7523,10.8191,10.8822,10.9379,10.9874,11.0374,11.0935,11.1609,11.2384,11.3227,11.4148,11.5158,11.6265,11.7482,11.8809,12.0242,12.1773,12.3398,12.51,12.6863,12.8678,13.0536,13.2429,13.4427,13.6577,13.8838,14.1166,14.3515,14.5849,14.8117,15.0249,15.2174,15.382,15.4819,15.5721,15.6529,15.7245,15.7874,15.8379,15.8756,15.9064,15.9355,15.9682,16.0031,16.0347,16.0619,16.0838,16.0994,16.1096,16.1183,16.1289,16.1448,16.1695,16.2078,16.2622,16.3318,16.416,16.5139,16.6228,16.7382,16.8571,16.9767,17.0937,17.2087,17.3251,17.4442,17.5673,17.6958,17.8313,17.9754,18.1291,18.2936,18.47,18.6671,18.8919,19.1435,19.4212,19.7238,20.0496,20.3962,20.7618,21.1445,21.5423
AUS,20.6583,20.7349,20.8331,20.9515,21.0891,21.2446,21.4168,21.6044,21.8063,22.0212,22.636,23.1979,23.2394,23.5723,23.6757,24.1927,24.8935,25.5023,25.6258,25.8612,26.183,26.7366,27.2547,28.0345,28.6632,29.2033,29.9874,30.8176,31.3066,32.5838,34.1856,34.1011,34.9707,36.0753,36.8082,37.8036,38.3118,39.0535,40.2851,40.6901,43.6328,42.8454,41.9546,40.9389,40.6739,40.4221,40.0229,40.32,40.9177,41.1924,45.6781,47.4352,48.3318,49.4413,51.2852,53.4551,57.4521,60.2747,63.1497,62.4487,66.4119,69.1428,71.597,74.0771,76.9925,75.2281,73.5817,75.7859,78.6136,78.0999,82.5798,80.6136,82.2655,83.2118,85.7931,87.324,87.3347,88.7181,86.7842,84.5854,83.3915,81.2878,82.4343,84.0951,85.6659,88.6488,90.9552,93.2772,92.9326,97.636,95.2803,101.4338,104.3508,104.0909,104.7668,104.9281,109.2295,113.4931,115.6333,116.5733,134.8641,140.7371,143.9022,145.4508,156.1497,161.5294,166.5968,170.9284,176.8715,185.7768,193.0391,198.4301,207.0452,216.455,228.9466,244.2342,242.1379,255.5876,265.6344,279.3028,286.0533,293.5362,307.3013,315.9109,318.1183,323.4188,325.0747,333.5397,339.9855,345.7814,361.0651,365.5691,372.5214,366.6628,380.2625,393.915,390.454,403.3681,409.1781,437.4701,423.1711,424.2326,428.5787,429.1679,429.2794,437.9366,445.5559,457.6026,471.375,476.9807,487.9023,495.3852,499.2842,500.9888,518.8514,524.7326,529.4055,536.1612,540.0882,543.9627,540.3462,541.371,543.7739,533.5425,528.081,538.3126,549.9258,557.2955,556.3348,558.5862,560.924,563.4158,565.9287,568.4521,570.9754,573.4875,575.9556,578.3886,580.8349,583.3388,585.9409,588.9162,592.4774,596.565,601.1148,606.0591,611.2488,616.5365,621.8517,627.1218,632.2723,637.5246,643.0662,648.7725,654.5224,660.1984,665.7588,671.2028,676.4761,681.5235,686.289,689.3761,692.2019,694.8625,697.4504,700.055,702.7341,705.4921,708.3364,711.2761,714.3227,717.4157,720.5111,723.6467,726.8607,730.1918,733.693,737.3834,741.2532,745.2944,749.5012,754.1949,759.5769,765.4633,771.6703,778.0143,784.3406,790.5046,796.3379,801.6731,806.3435,810.7657,815.3637,819.9819,824.4646,828.6562,832.3879,835.4925,837.817,839.2089,839.5158,839.2029,838.8271,838.3741,837.8293,837.1779,836.3979,835.4633,834.3536,833.0485,831.5273
AUT,5.0194,5.0441,5.5483,5.991,5.9657,6.524,7.0914,7.7722,10.2147,8.8432,9.1624,9.4305,9.4388,8.9898,8.2142,8.5328,6.7831,8.1681,9.3944,9.8581,10.8012,13.6777,13.6042,14.4058,12.8736,11.6279,11.9428,11.1987,11.229,12.9573,28.0703,14.5639,14.9202,16.168,15.9278,16.5905,15.9706,16.9325,16.6941,17.6982,17.4641,19.7394,19.6505,23.1763,23.9211,26.4097,27.5716,29.4715,31.0466,31.5174,34.4067,35.0728,32.4249,32.36,33.7478,35.0162,40.3708,48.6275,65.5469,49.4484,64.3002,54.8874,57.4264,66.5845,55.5331,41.5632,15.891,10.4339,10.3933,10.1528,21.5162,26.3305,25.7191,25.0811,27.5208,26.6225,26.4494,28.1127,29.5021,32.6273,27.5887,26.9147,24.2407,23.4963,23.2398,23.6301,23.5109,25.3538,16.3174,17.0516,18.1908,18.9767,19.7064,21.0514,21.4194,16.9231,25.0043,30.0842,37.2536,39.6947,34.4269,37.0851,36.3031,36.4724,39.8692,45.0552,44.8881,46.5628,46.122,46.5913,50.0071,51.6118,54.2559,57.774,60.1437,60.1471,61.9289,63.3848,66.2524,68.925,74.1125,76.0272,81.175,85.5035,83.5414,79.3802,84.0947,81.6772,83.4622,88.403,78.6688,81.6752,78.6266,77.2549,81.1803,80.6373,79.3257,82.6397,79.3421,79.4709,80.4576,83.9334,77.1334,77.3347,77.5754,81.0456,84.4512,84.2258,83.5248,81.5883,81.9584,85.9521,87.8089,93.4656,92.8841,94.2608,91.923,89.113,88.2875,81.4958,86.0418,83.8026,81.2778,81.7035,78.006,80.1987,80.8729,83.5135,79.9173,79.9622,80.1092,80.3548,80.6387,80.968,81.3495,81.7897,82.2794,82.8092,83.386,84.0165,84.7071,85.4958,86.4085,87.4342,88.5614,89.7785,91.0763,92.4375,93.8381,95.2537,96.6593,98.0878,99.5766,101.107,102.6596,104.215,105.7666,107.313,108.8427,110.344,111.8048,112.9956,114.1527,115.279,116.3778,117.4526,118.5057,119.5444,120.5798,121.6233,122.686,123.7555,124.8166,125.8774,126.9461,128.0305,129.1335,130.2585,131.4145,132.6104,133.8552,135.2101,136.7057,138.3043,139.9677,141.6573,143.343,145.0003,146.5984,148.1061,149.4922,150.8367,152.2188,153.6055,154.9636,156.2596,157.4601,158.5329,159.4458,160.1666,160.6628,161.025,161.3636,161.6761,161.9602,162.2134,162.4312,162.6079,162.739,162.8202,162.8468
