code,KYOTOGHGAR4_IPCM0EL_TOTAL_NET_SSP3BLAIMCGE_PMSSPBIE
entity,KYOTOGHGAR4
scenario,SSP3BLAIMCGE
datatype,CountryYearMatrix
note,calculated by the function combine_tables_varying_in_one_sheet_as by CC and JN from PRIMAP
type,NET
class,TOTAL
tablekind,usr
descr,Result of FGASESAR4+CH4+N2O_IPCM0EL_TOTAL_NET_SSP3BLAIMCGE_PMSSPBIEX+CO2_IPCM0EL_TOTAL_NET_SSP3BLAIMCGE_PMSSPBIEX - regarding information just missing in one of the tables as zero
source,PMSSPBIE
category,IPCM0EL
name_category,NatTotalExclLULUCF
family,emi
subsource,NaN
unit,MtCO2eq
gwp,AR4
iso3,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
ABW,0.040634,0.042771,0.045074,0.047533,0.05014,0.052885,0.055759,0.058754,0.061861,0.065069,0.068372,0.071799,0.075391,0.079151,0.083085,0.087195,0.091487,0.095965,0.10063,0.10549,0.11055,0.1159,0.12162,0.12768,0.13404,0.14068,0.14756,0.15467,0.16196,0.16942,0.177,0.18474,0.19269,0.20088,0.20933,0.21807,0.22711,0.23649,0.24623,0.25635,0.28684,0.29799,0.31045,0.32414,0.33896,0.35483,0.37166,0.38938,0.40789,0.42711,0.44696,0.46844,0.49234,0.51821,0.54563,0.57415,0.60334,0.63275,0.66195,0.69051,0.71798,0.74433,0.77,0.79526,0.82037,0.84559,0.8712,0.89746,0.92463,0.95298,0.98277,1.0139,1.0462,1.0797,1.1143,1.3691,1.765,1.7388,4.5512,5.709,6.9856,5.9512,5.7768,6.1624,6.8664,7.9269,8.4654,10.2336,10.9717,10.328,8.5516,10.5662,6.1611,9.9453,12.4677,14.4629,15.8982,17.499,17.8311,9.5016,1.1721,1.8399,1.0712,1.2379,2.4845,2.0602,2.6592,1.8257,1.6041,2.0585,1.7759,1.8538,2.0346,1.9525,1.9016,1.7125,1.6065,1.9713,1.8391,2.3945,2.67,2.3313,2.2624,2.5044,2.2752,1.6624,3.4923,1.8498,1.586,1.6619,1.7099,1.6313,1.8184,0.96537,2.3198,2.7052,0.24161,0.51005,0.67485,0.71221,1.7053,1.749,1.5329,1.6681,1.6907,1.7488,1.7642,1.8211,1.8756,1.8881,2.4681,2.499,2.5289,2.6556,2.7111,2.8145,2.8117,2.9208,2.7569,2.7285,2.6095,2.6039,1.4532,0.96826,0.98086,1.0009,1.0284,1.025,0.58728,0.61345,0.64174,0.67259,0.70557,0.74056,0.77743,0.81607,0.85655,0.89877,0.94229,0.98669,1.0315,1.0765,1.1221,1.1687,1.2166,1.2664,1.3181,1.3715,1.4268,1.4841,1.5436,1.6053,1.6691,1.735,1.8031,1.8733,1.9458,2.0208,2.0985,2.1791,2.2627,2.3418,2.4233,2.5072,2.5937,2.6831,2.7755,2.8713,2.9704,3.0729,3.1789,3.2888,3.4027,3.5203,3.6413,3.7655,3.8931,4.0243,4.1592,4.2974,4.4388,4.5839,4.7331,4.8863,5.0435,5.2046,5.3699,5.5391,5.7116,5.8863,6.0624,6.2401,6.4204,6.6033,6.7891,6.9779,7.1696,7.3639,7.5607,7.7597,7.9607,8.1643,8.371,8.58,8.791,9.0031,9.2165,9.4314,9.6478,9.8655,10.0843
AFG,0.85833,0.91926,0.97909,1.0377,1.0951,1.1512,1.2058,1.259,1.3106,1.3606,1.4088,1.4556,1.5012,1.5457,1.5891,1.6315,1.6727,1.713,1.7523,1.7906,1.828,1.8686,1.9154,1.9668,2.0211,2.0766,2.1315,2.1843,2.2332,2.2765,2.3126,2.3435,2.3726,2.3998,2.4255,2.4498,2.4727,2.4945,2.5153,2.5352,2.5945,2.597,2.601,2.6064,2.6131,2.6208,2.6294,2.6387,2.6487,2.659,2.6697,2.6822,2.6979,2.7162,2.7367,2.7587,2.7817,2.8054,2.829,2.8521,2.8742,2.8946,2.9138,2.9323,2.9511,2.9708,2.9923,3.0163,3.0437,3.0751,3.1114,3.1797,3.3001,3.4623,3.6562,3.8716,4.0985,4.3266,4.5457,4.7459,4.9168,5.065,5.2051,5.3391,5.4692,5.5972,5.7254,5.8557,5.9902,6.131,6.28,6.454,6.6641,6.9039,7.1668,7.4464,7.7364,8.0303,8.3225,8.592,8.9323,9.2295,9.5908,10.0024,10.4429,10.9321,11.4001,11.9264,12.3364,12.7056,12.9763,12.81,13.2404,13.7322,14.2137,14.8198,15.5135,16.0755,16.7018,16.6695,17.434,17.632,15.4988,15.5565,17.3476,17.7332,17.7872,18.3682,17.6431,17.3444,17.2889,17.0911,17.1315,16.9111,16.2434,15.9409,14.0127,14.0093,13.9604,13.0233,12.8281,13.0307,12.0476,12.1969,12.24,12.8216,13.9125,14.8752,15.6795,16.5714,14.8423,13.286,15.9498,16.7076,16.3504,17.1656,17.567,18.3722,21.7611,24.884,28.6984,32.6811,31.2559,30.5344,32.0983,31.6482,33.5513,34.0195,37.524,37.7407,38.1719,38.8004,39.5634,40.4679,41.5205,42.7284,44.0668,45.5086,47.0582,48.721,50.5032,52.406,54.4251,56.5594,58.807,61.1654,63.6468,66.2652,69.021,71.9154,74.9514,78.1383,81.4846,84.9938,88.6713,92.5251,96.5554,100.7548,105.1228,109.6606,114.372,119.4446,124.7015,130.1317,135.7249,141.4714,147.3988,153.5367,159.8794,166.4218,173.1587,180.1166,187.3152,194.7396,202.3746,210.2045,218.2545,226.5474,235.0628,243.7804,252.6799,261.7989,271.1646,280.7419,290.4962,300.394,310.4649,320.7484,331.2265,341.8833,352.7044,363.7314,374.9874,386.43,398.015,409.6962,421.4868,433.408,445.4231,457.4937,469.5802,481.719,493.9508,506.2406,518.5527,530.8502,543.1478,555.4757,567.8199,580.1663,592.501
AGO,3.1747,3.273,3.3701,3.4658,3.56,3.6526,3.7432,3.8319,3.9184,4.0025,4.0841,4.1639,4.2427,4.3206,4.3977,4.4741,4.5499,4.6252,4.7001,4.7746,4.8489,4.9321,5.0309,5.1417,5.2606,5.384,5.5081,5.6294,5.7439,5.8481,5.9382,6.0188,6.0971,6.1735,6.2485,6.3225,6.3959,6.4691,6.5426,6.6166,6.724,6.753,6.7896,6.8334,6.8838,6.9405,7.0029,7.0706,7.1431,7.22,7.3008,7.4118,7.5734,7.7758,8.0093,8.2642,8.5308,8.7993,9.0601,9.3034,9.5195,9.7313,9.9647,10.2147,10.4761,10.7437,11.0125,11.2773,11.5329,11.7743,11.9964,12.2186,12.4596,12.7124,12.97,13.2257,13.4724,13.7033,13.9115,14.0901,14.2321,14.3447,14.4441,14.537,14.6303,14.7307,14.8451,14.9802,15.1428,15.3397,15.5777,16.1735,17.3466,18.9581,20.8691,22.9407,25.0338,27.0097,28.7293,30.0538,30.9715,31.3455,31.4349,31.2223,30.9985,30.7129,30.4841,30.3934,30.3468,30.6166,31.1376,32.2231,34.285,35.8692,37.8784,39.9314,42.3572,43.9857,46.5203,49.5375,68.7246,49.3675,56.5531,63.4593,61.6729,62.7297,45.0404,70.0835,77.6456,86.9501,80.5887,72.4703,75.0591,76.7643,70.7221,71.5479,71.5422,82.6406,72.5594,75.8543,72.2615,74.4525,76.7984,76.156,69.8744,81.2641,82.0381,77.2704,79.961,75.8694,70.5544,71.7326,76.1997,76.6953,86.2492,87.1718,84.6794,90.1656,89.1923,91.0484,97.0942,99.5551,100.8591,97.0342,97.0693,100.353,100.8752,100.5013,119.2719,122.4175,124.7216,126.3076,127.5203,128.4158,129.0416,129.4377,129.7288,129.9141,129.8452,129.3818,128.3895,127.0433,125.6161,124.124,122.5829,121.0079,119.3791,117.7168,116.09,114.5621,113.1906,112.0137,111.0233,110.204,109.5403,109.0165,108.7179,108.6919,108.8696,109.1848,109.5744,110.5634,111.7548,113.1024,114.5612,116.0871,117.7166,119.4961,121.398,123.3958,125.4636,127.6134,129.8643,132.2023,134.6141,137.0869,139.6403,142.2935,145.0341,147.8502,150.731,153.6807,156.7045,159.7937,162.94,166.1361,169.3918,172.7195,176.1157,179.5776,183.1031,186.719,190.4419,194.2545,198.1395,202.0796,206.0599,210.0754,214.1238,218.2021,222.3074,226.4581,230.6708,234.9391,239.257,243.6185,248.0204,252.4633,256.9464,261.4691,266.0306
ALB,0.16122,0.16258,0.16397,0.16539,0.16683,0.16827,0.1697,0.17111,0.17248,0.17381,0.17508,0.17634,0.17762,0.17894,0.18031,0.18171,0.18318,0.1847,0.18628,0.18793,0.18965,0.19197,0.19525,0.19929,0.20388,0.2088,0.21385,0.2188,0.22346,0.22761,0.23103,0.23399,0.23689,0.23975,0.2426,0.24547,0.24837,0.25134,0.25439,0.25756,0.2743,0.26278,0.25182,0.24162,0.23236,0.22423,0.21744,0.21217,0.20862,0.20697,0.20743,0.20933,0.21184,0.21486,0.21831,0.22211,0.22618,0.23043,0.23478,0.23914,0.24342,0.25151,0.26663,0.2878,0.314,0.34423,0.37748,0.41276,0.44905,0.48535,0.52066,0.5612,0.61168,0.6688,0.72929,0.78986,0.84723,0.89812,0.93924,0.96732,0.97907,0.97048,0.94292,0.88638,0.83498,0.78377,0.77827,0.80346,0.78054,0.79064,0.89733,0.89381,0.99415,0.94726,0.90651,0.99715,1.2654,1.5656,1.5616,1.7756,1.5176,1.6014,1.6303,1.6878,1.7683,1.8895,2.0146,2.3508,2.2582,2.3998,2.6895,2.8882,2.9927,2.8317,2.8299,3.014,3.1977,3.3384,3.5195,3.5787,3.8443,4.0997,4.6847,4.662,4.3298,4.3764,4.7183,5.1679,5.8416,6.4343,5.4785,6.3971,6.3509,6.5037,6.6807,6.6474,6.8337,6.6364,6.6807,7.6879,6.7815,8.0866,5.7988,5.8929,6.4466,6.3907,6.4465,6.5214,7.3211,7.7653,7.0273,7.4074,7.7159,8.0177,8.3061,8.11,8.0436,8.2718,8.1844,8.6573,8.9149,9.6455,9.2906,9.513,10.3286,9.8756,10.174,10.2403,10.8035,11.029,11.2519,11.4767,11.7081,11.9436,12.181,12.418,12.6556,12.8949,13.1344,13.373,13.6091,13.8401,14.0661,14.2897,14.5135,14.7403,14.9697,15.2,15.4323,15.6672,15.9058,16.1478,16.3924,16.6399,16.8905,17.1446,17.4001,17.6556,17.9117,18.1691,18.4285,18.5835,18.7386,18.8942,19.0506,19.2084,19.3673,19.5274,19.6891,19.8529,20.0193,20.1865,20.3544,20.5263,20.7057,20.8962,21.0924,21.2874,21.4822,21.6779,21.8753,22.0819,22.3012,22.5282,22.758,22.9852,23.2109,23.4391,23.6688,23.8991,24.1293,24.3598,24.5919,24.8253,25.0598,25.2949,25.5299,25.7647,26.0002,26.2374,26.477,26.7181,26.9611,27.2083,27.4623,27.7257,27.9989,28.2806,28.5703,28.8678,29.1727
ANNEXI,695.4056,706.0228,720.7958,738.181,784.2752,799.1228,824.1094,833.4438,843.3173,870.4052,907.928,930.4388,945.3841,984.1983,1025.3043,1058.8078,1081.011,1135.8533,1167.341,1219.2639,1245.5797,1295.598,1393.6418,1462.3961,1430.6347,1503.3945,1527.8257,1573.9192,1590.1224,1689.9131,1828.2382,1882.8216,1973.327,2066.2973,2105.4976,2131.6881,2176.4222,2261.6603,2461.5547,2435.4477,2572.019,2657.3514,2693.2179,2699.0643,2770.9355,2877.6121,2948.4151,3042.0411,3148.9091,3325.0089,3448.0282,3525.3966,3596.867,3804.5431,3845.8038,4018.8406,4143.1858,4495.0991,4392.9181,4530.8636,4691.0662,4750.3043,4933.5363,5210.8054,4925.5406,4912.7984,5182.1561,5357.7896,5336.4896,4874.2251,5350.7842,4908.987,5082.1181,5542.787,5550.2911,5602.9086,5561.2284,5925.5386,5907.9036,6206.0115,5883.6704,5486.0093,5145.0008,5305.1134,5567.1633,5722.2524,6084.1091,6349.9989,6089.9451,6325.3403,6712.4821,6860.8479,6992.4311,7207.327,7235.5932,6518.8034,6907.6914,7505.1389,7873.2001,7708.2616,8268.5398,8686.5997,8792.6075,9031.5582,9162.1195,9784.2086,10287.212,10520.5058,10524.0676,10786.9016,11210.4253,11477.3882,11916.6689,12459.733,12927.7302,13349.4237,13816.3793,14290.2322,14859.8222,15542.4812,16301.1619,16544.9549,17141.2448,17881.4451,17709.2685,17410.2806,18149.6926,18384.5037,19049.8898,19391.4722,19138.0849,18560.7446,18091.3859,18078.7087,18441.3497,18703.4444,18691.0616,19104.3768,19585.949,19731.1713,19323.3387,18924.8834,18353.4759,18110.3856,17863.1842,17969.3278,18215.5125,18094.0916,18028.0044,17986.9168,18182.6702,18135.8761,18112.8123,18329.0113,18517.9188,18527.5913,18507.6033,18652.048,18241.5134,17107.9175,17632.1358,17490.565,17282.9586,17269.7209,17057.4184,16882.6872,16749.2409,16797.8916,16909.1703,17187.6728,17445.3066,17687.9322,17924.9299,18157.6828,18387.4749,18615.5104,18841.9635,19066.3681,19288.9289,19509.8614,19729.3927,19947.9976,20165.6987,20382.045,20596.5748,20808.8161,21018.2002,21224.1806,21426.2881,21624.0237,21816.8596,22006.0074,22193.49,22379.9489,22565.994,22752.2119,22937.8279,23121.9481,23304.9761,23487.3232,23669.4091,23712.7149,23755.1699,23796.8058,23837.6722,23877.8351,23918.4211,23960.3269,24003.2952,24047.086,24091.4791,24138.5508,24189.547,24243.0209,24297.5292,24351.6334,24403.9005,24453.1036,24498.1126,24537.7919,24571.0008,24599.5574,24626.1258,24650.8296,24673.792,24695.1357,24714.8971,24733.0381,24749.5697,24764.5028,24777.8484,24790.0107,24801.4044,24812.0543,24821.9829,24831.2107,24839.6044,24846.8791,24852.8269,24857.2412,24859.916,24861.5953,24863.047,24864.1029,24864.5953,24864.3572,24863.3032,24861.4088,24858.5979,24854.7943,24849.9215
AOSIS,0.94672,0.98096,1.0169,1.0545,1.0936,1.134,1.1756,1.2183,1.2619,1.3063,1.3514,1.3975,1.4451,1.4944,1.5453,1.5978,1.652,1.708,1.7657,1.8252,1.8866,1.9551,2.0344,2.1226,2.2173,2.3166,2.4181,2.5199,2.6196,2.7152,2.8046,2.8903,2.9765,3.0635,3.1515,3.2406,3.3311,3.4232,3.5171,3.613,3.8371,3.8794,3.9408,4.0198,4.1142,4.2229,4.3437,4.4751,4.6154,4.7624,4.9151,5.1132,5.3824,5.7089,6.0717,6.4546,6.8391,7.2087,7.5444,7.8553,8.1121,8.352,8.6126,8.8311,9.0933,9.334,9.611,9.9178,10.3486,10.405,10.7964,11.1037,11.2776,11.7156,12.3864,12.9055,13.1495,13.5198,14.8908,15.4782,15.7387,15.3734,15.8065,16.9097,17.9321,18.5634,19.5562,21.4205,22.8649,24.3312,25.9481,25.5481,26.9623,27.3789,28.8011,30.0722,31.0484,33.1708,34.8017,36.5495,31.4855,33.9737,35.7583,37.3436,38.7143,41.6182,42.8939,51.5144,57.9481,57.005,55.2488,55.8877,63.0751,57.4623,66.322,67.8978,69.1862,74.0778,76.6262,80.1231,94.9242,99.2824,105.4181,115.0166,117.7729,125.7637,133.1093,139.408,141.9609,147.723,148.3002,141.6779,146.1975,144.3112,147.9695,152.8614,150.6344,152.2961,152.7721,159.0972,157.0122,156.5452,164.3118,162.7559,172.5765,164.6258,178.9946,186.3112,187.6261,196.5887,209.7357,217.4043,214.4022,209.9694,212.2185,227.0984,242.2641,239.5825,255.6508,267.8184,280.5225,279.6259,278.2003,316.8285,321.469,331.0112,341.9077,348.3663,347.2374,350.9551,354.8787,359.0885,363.6159,368.4176,373.4416,378.6315,383.8508,388.9929,394.0421,398.98,403.7866,408.4791,413.1035,417.6838,422.2464,426.8194,431.4216,436.0562,440.7287,445.4448,450.2112,455.0478,459.96,464.9327,469.9511,475.0012,480.0634,485.1554,490.319,495.5944,501.0211,506.251,511.4788,516.7217,521.9964,527.3189,532.725,538.2376,543.8523,549.5647,555.3704,561.2698,567.2664,573.361,579.5548,585.8488,592.2587,598.7862,605.4124,612.1183,618.885,625.745,632.7282,639.8127,646.977,654.1998,661.4832,668.8299,676.2202,683.6343,691.0531,698.492,705.9706,713.4751,720.9915,728.5058,735.9883,743.4124,750.7678,758.0443,765.2314,772.3447,779.4098,786.4322,793.4171,800.3697,807.2981,814.2023,821.0751,827.9094,834.6981
ARE,0.088065,0.090225,0.092362,0.094469,0.096539,0.098563,0.10053,0.10244,0.10429,0.10605,0.10773,0.10936,0.11097,0.11256,0.11414,0.11571,0.11728,0.11884,0.12041,0.12198,0.12356,0.12554,0.12821,0.1314,0.13497,0.13874,0.14256,0.14627,0.14971,0.15271,0.15512,0.15712,0.15905,0.1609,0.1627,0.16446,0.16621,0.16795,0.16971,0.1715,0.18635,0.19279,0.19953,0.20655,0.21384,0.22139,0.22919,0.23721,0.24544,0.25388,0.26249,0.27231,0.28392,0.29673,0.31009,0.3234,0.33604,0.34739,0.35683,0.36374,0.3675,0.36918,0.37035,0.37116,0.37176,0.37232,0.37299,0.37392,0.37527,0.37718,0.37982,0.39103,0.41691,0.45501,0.50286,0.55801,0.618,0.68038,0.74267,0.80243,0.8572,0.90703,0.95467,1.0017,1.0496,1.1001,1.1546,1.2147,1.282,1.3581,1.4444,1.5602,1.7204,1.9201,2.1546,2.419,2.7087,3.0188,3.3445,3.6811,4.0238,4.3829,4.774,5.2001,5.6643,6.1695,6.7187,7.3151,7.9615,8.6587,9.4133,10.1801,10.8869,11.6435,12.5258,13.6197,15.0131,17.5555,20.0757,42.1406,41.4281,56.1752,61.7429,80.2661,81.0511,79.6445,99.0501,92.5145,106.1964,72.3341,70.996,59.3605,56.0243,54.1168,72.2873,72.4776,62.5451,59.4596,56.812,62.1874,61.2097,67.2973,68.9758,76.3247,83.2046,84.7661,77.7487,80.9749,103.0591,103.0369,137.7742,134.6088,125.6334,156.3638,171.1557,183.0349,186.4729,193.729,212.261,215.8088,204.1377,205.3739,211.7397,205.9782,236.8704,254.1235,262.4122,259.7016,257.8048,261.8257,266.6386,272.1705,277.8681,283.7629,289.8826,296.252,302.828,309.4951,316.1679,322.7608,329.1887,335.4916,341.7357,347.8744,353.8604,359.6458,365.2977,370.8258,376.0959,380.9733,385.323,389.3094,393.0956,396.5433,399.5134,401.8661,403.7244,405.2744,406.4701,407.2674,407.6238,407.6188,407.2674,406.6811,405.9701,405.2433,404.5351,403.7844,402.9557,402.0144,400.9263,399.6161,398.0828,396.4009,394.6403,392.8663,391.0865,389.2815,387.4718,385.6761,383.9119,382.1285,380.2893,378.4298,376.5827,374.7773,373.0018,371.2511,369.5596,367.9594,366.4797,365.1476,363.9599,362.8995,361.9508,361.0993,360.3212,359.5799,358.844,358.0832,357.2683,356.435,355.6281,354.8342,354.0395,353.2302,352.4047,351.5682,350.7169,349.8472,348.9553
ARG,0.92789,0.96572,1.006,1.0485,1.093,1.1393,1.1871,1.2363,1.2866,1.3378,1.3896,1.4427,1.4982,1.5559,1.6159,1.6784,1.7435,1.811,1.8812,1.9542,2.0298,2.1171,2.2222,2.3416,2.4719,2.6093,2.7505,2.8917,3.0294,3.1601,3.2802,3.394,3.5084,3.624,3.741,3.8598,4.1939,4.3105,4.2072,5.1632,5.2514,4.9315,5.4945,5.8828,6.586,7.1971,7.6512,7.91,8.6491,9.6905,9.4621,10.6091,12.0355,13.4848,15.9124,17.7404,21.4381,22.9608,25.5049,24.9825,28.2654,29.5476,29.454,30.3623,29.3116,27.999,26.4581,24.1617,24.5864,25.8037,27.8508,27.5398,29.0487,29.9228,31.9999,32.0283,31.8262,33.735,32.924,33.2643,32.999,33.3539,34.0309,34.7946,36.523,37.2652,39.3015,41.8891,42.6936,44.6535,44.2788,43.7952,45.014,47.5549,49.785,52.0286,54.6886,58.1299,63.2867,63.9567,79.4081,86.9801,92.6168,97.6282,105.8268,115.6324,127.3262,137.519,140.9417,150.7214,154.7945,158.7481,161.1172,153.5718,164.1912,175.6041,183.3877,190.9475,194.5802,197.3227,203.2202,209.1265,216.009,223.8111,224.7898,227.0156,236.3008,240.1758,237.9442,245.8925,241.183,231.114,229.7726,233.2717,235.8512,228.9612,232.674,240.8961,247.9026,244.0737,242.8383,252.4021,257.77,261.462,266.6969,260.6655,272.747,274.4033,278.8986,280.945,296.9296,293.5946,287.0193,304.9927,317.2126,326.7034,341.3797,355.7947,352.1372,341.5865,315.8042,325.657,327.4683,337.4221,339.2946,342.361,347.167,348.1714,334.9989,342.1609,349.3769,356.7441,364.2216,371.7825,379.3983,387.0394,394.612,402.0206,409.2327,416.2155,422.936,429.4427,435.782,441.9192,447.8201,453.4515,458.8179,463.9656,468.9237,473.7202,478.3828,482.8126,486.9732,490.9823,494.9547,499.0025,503.1245,507.2587,511.4243,515.6394,519.9217,522.9778,526.0036,529.0393,532.1239,535.2958,538.5557,541.8951,545.3369,548.9036,552.6172,556.4724,560.4431,564.5193,568.6915,572.9505,577.3133,581.781,586.3202,590.8981,595.4827,600.1046,604.8052,609.5689,614.3802,619.2237,624.0703,628.8864,633.6508,638.3423,642.9397,647.4736,651.983,656.459,660.893,665.2767,669.5988,673.846,678.0066,682.0693,686.0227,689.881,693.6673,697.3836,701.0317,704.6135,708.1258,711.5643,714.9287,718.2191,721.4353
ARM,0.36222,0.36335,0.36451,0.36569,0.36689,0.36809,0.36929,0.37048,0.37165,0.3728,0.37406,0.37524,0.37629,0.37747,0.3787,0.37986,0.38208,0.38362,0.38488,0.3867,0.38827,0.39066,0.39312,0.39632,0.40062,0.40542,0.41142,0.41673,0.42262,0.42753,0.43233,0.43898,0.44281,0.44774,0.45808,0.46798,0.47163,0.48341,0.48963,0.49276,0.49962,0.52347,0.53658,0.56179,0.56345,0.60348,0.61044,0.63525,0.65955,0.67794,0.70981,0.73406,0.72397,0.70739,0.72058,0.67234,0.69685,0.71181,0.71409,0.72911,0.73559,0.73458,0.7586,0.7797,0.80526,0.84377,0.88867,0.89111,0.78821,0.82052,0.82336,0.83481,0.86808,0.89503,0.91918,0.9415,0.99044,1.0496,1.0642,1.1185,1.3158,1.4205,1.4209,1.4461,1.5419,1.6016,1.6891,1.7279,1.7843,1.8028,1.8904,1.8449,1.7631,1.7579,1.9538,1.6945,1.8133,1.9967,2.1156,2.2891,2.4693,2.6121,2.7993,2.9889,3.2246,3.581,3.9787,4.442,4.9447,5.3868,5.8785,6.3807,7.1036,7.8309,8.4697,9.1524,9.8348,10.5605,11.1527,11.773,12.0442,12.979,13.8098,14.627,15.4896,16.437,17.1417,17.8154,18.6675,19.0654,19.5646,20.0645,20.5277,21.0779,21.3887,22.3496,22.0786,23.6214,25.897,26.0743,25.9566,24.3446,28.934,13.3996,13.2646,14.0969,10.6776,10.904,9.4562,7.4859,6.072,6.1206,5.9108,6.4129,6.825,7.6766,8.0107,8.826,9.5409,8.4695,8.5031,9.3504,10.4292,10.3439,10.4658,11.2202,11.5894,11.2487,10.9283,11.174,11.4186,11.6611,11.9028,12.1469,12.3959,12.6522,12.9155,13.1825,13.4509,13.7185,13.9831,14.2463,14.5122,14.7822,15.0573,15.3388,15.6198,15.8945,16.1649,16.4325,16.6992,16.9631,17.2255,17.4921,17.7689,18.0619,18.3657,18.6704,18.9754,19.2798,19.583,19.7235,19.8628,19.9999,20.1335,20.2626,20.3823,20.4919,20.5962,20.6997,20.807,20.9218,21.0427,21.1672,21.2929,21.4173,21.537,21.652,21.7645,21.8769,21.9912,22.108,22.2271,22.3499,22.4778,22.612,22.75,22.8896,23.0324,23.1801,23.3343,23.4961,23.6648,23.8392,24.018,24.2,24.3852,24.5748,24.7687,24.9672,25.1703,25.3776,25.5889,25.8053,26.0276,26.2568,26.4931,26.7357,26.9847,27.2399,27.5012
AUS,20.6583,20.7349,20.8331,20.9515,21.0891,21.2446,21.4168,21.6044,21.8063,22.0212,22.636,23.1979,23.2394,23.5723,23.6757,24.1927,24.8935,25.5023,25.6258,25.8612,26.183,26.7366,27.2547,28.0345,28.6632,29.2033,29.9874,30.8176,31.3066,32.5838,34.1856,34.1011,34.9707,36.0753,36.8082,37.8036,38.3118,39.0535,40.2851,40.6901,43.6328,42.8454,41.9546,40.9389,40.6739,40.4221,40.0229,40.32,40.9177,41.1924,45.6781,47.4352,48.3318,49.4413,51.2852,53.4551,57.4521,60.2747,63.1497,62.4487,66.4119,69.1428,71.597,74.0771,76.9925,75.2281,73.5817,75.7859,78.6136,78.0999,82.5798,80.6136,82.2655,83.2118,85.7931,87.324,87.3347,88.7181,86.7842,84.5854,83.3915,81.2878,82.4343,84.0951,85.6659,88.6488,90.9552,93.2772,92.9326,97.636,95.2803,101.4338,104.3508,104.0909,104.7668,104.9281,109.2295,113.4931,115.6333,116.5733,134.8641,140.7371,143.9022,145.4508,156.1497,161.5294,166.5968,170.9284,176.8715,185.7768,193.0391,198.4301,207.0452,216.455,228.9466,244.2342,242.1379,255.5876,265.6344,279.3028,286.0533,293.5362,307.3013,315.9109,318.1183,323.4188,325.0747,333.5397,339.9855,345.7814,361.0651,365.5691,372.5214,366.6628,380.2625,393.915,390.454,403.3681,409.1781,437.4701,423.1711,424.2326,428.5787,429.1679,429.2794,437.9366,445.5559,457.6026,471.375,476.9807,487.9023,495.3852,499.2842,500.9888,518.8514,524.7326,529.4055,536.1612,540.0882,543.9627,540.3462,541.371,543.7739,533.5425,528.081,538.3126,549.9258,557.2955,564.3849,574.0858,583.0074,591.4001,599.4919,607.2782,614.756,621.9241,628.7746,635.3499,641.724,647.971,654.1651,660.2495,666.1269,671.8099,677.3104,682.6396,687.7974,692.8087,697.7225,702.587,707.4507,712.3542,717.2642,722.1185,726.8563,731.4173,735.7917,740.0102,744.0741,747.9842,751.7411,751.122,750.3609,749.5518,748.7871,748.1567,747.6756,747.2923,746.9968,746.7796,746.6316,746.5446,746.5366,746.6373,746.876,747.2815,747.7803,748.1931,748.3913,748.2481,747.638,746.8751,746.256,745.6319,744.8552,743.7796,742.5273,741.2789,739.9771,738.5652,736.9869,735.3254,733.693,732.0774,730.4665,728.8484,727.1878,725.47,723.7138,721.9376,720.1599,718.4056,716.6828,714.9842,713.303,711.6325,709.9373,708.1931,706.4095,704.5961,702.7625
