code,KYOTOGHGAR4_IPCM0EL_TOTAL_NET_SSP4BLGCAM4_PMSSPBIE
entity,KYOTOGHGAR4
scenario,SSP4BLGCAM4
datatype,CountryYearMatrix
note,calculated by the function combine_tables_varying_in_one_sheet_as by CC and JN from PRIMAP
type,NET
class,TOTAL
tablekind,usr
descr,Result of FGASESAR4+CH4+N2O_IPCM0EL_TOTAL_NET_SSP4BLGCAM4_PMSSPBIEX+CO2_IPCM0EL_TOTAL_NET_SSP4BLGCAM4_PMSSPBIEX - regarding information just missing in one of the tables as zero
source,PMSSPBIE
category,IPCM0EL
name_category,NatTotalExclLULUCF
family,emi
subsource,NaN
unit,MtCO2eq
gwp,AR4
iso3,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
ABW,0.040634,0.042771,0.045074,0.047533,0.05014,0.052885,0.055759,0.058754,0.061861,0.065069,0.068372,0.071799,0.075391,0.079151,0.083085,0.087195,0.091487,0.095965,0.10063,0.10549,0.11055,0.1159,0.12162,0.12768,0.13404,0.14068,0.14756,0.15467,0.16196,0.16942,0.177,0.18474,0.19269,0.20088,0.20933,0.21807,0.22711,0.23649,0.24623,0.25635,0.28684,0.29799,0.31045,0.32414,0.33896,0.35483,0.37166,0.38938,0.40789,0.42711,0.44696,0.46844,0.49234,0.51821,0.54563,0.57415,0.60334,0.63275,0.66195,0.69051,0.71798,0.74433,0.77,0.79526,0.82037,0.84559,0.8712,0.89746,0.92463,0.95298,0.98277,1.0139,1.0462,1.0797,1.1143,1.3691,1.765,1.7388,4.5512,5.709,6.9856,5.9512,5.7768,6.1624,6.8664,7.9269,8.4654,10.2336,10.9717,10.328,8.5516,10.5662,6.1611,9.9453,12.4677,14.4629,15.8982,17.499,17.8311,9.5016,1.1721,1.8399,1.0712,1.2379,2.4845,2.0602,2.6592,1.8257,1.6041,2.0585,1.7759,1.8538,2.0346,1.9525,1.9016,1.7125,1.6065,1.9713,1.8391,2.3945,2.67,2.3313,2.2624,2.5044,2.2752,1.6624,3.4923,1.8498,1.586,1.6619,1.7099,1.6313,1.8184,0.96537,2.3198,2.7052,0.24161,0.51005,0.67485,0.71221,1.7053,1.749,1.5329,1.6681,1.6907,1.7488,1.7642,1.8211,1.8756,1.8881,2.4681,2.499,2.5289,2.6556,2.7111,2.8145,2.8117,2.9208,2.7569,2.7285,2.6095,2.6039,1.4532,0.96826,0.98086,1.0009,1.0284,1.025,0.59153,0.62296,0.65782,0.69736,0.7416,0.79019,0.84274,0.89883,0.95919,1.0246,1.0944,1.168,1.2449,1.3264,1.4142,1.5076,1.6062,1.7092,1.818,1.9333,2.0544,2.1804,2.3106,2.4461,2.5884,2.7371,2.8917,3.0517,3.2183,3.3926,3.5737,3.7607,3.9528,4.1334,4.321,4.5143,4.7123,4.9139,5.1191,5.3279,5.5389,5.7504,5.9609,6.1726,6.3887,6.608,6.8297,7.0528,7.2782,7.5061,7.7351,7.9639,8.1912,8.4157,8.6371,8.8549,9.069,9.2791,9.4876,9.6959,9.9029,10.1078,10.3101,10.509,10.7043,10.8957,11.0832,11.2668,11.4471,11.6242,11.7976,11.9667,12.1309,12.2904,12.4457,12.5965,12.7426,12.8838,13.0201,13.1519,13.2793,13.4024,13.5212
AFG,0.85833,0.91926,0.97909,1.0377,1.0951,1.1512,1.2058,1.259,1.3106,1.3606,1.4088,1.4556,1.5012,1.5457,1.5891,1.6315,1.6727,1.713,1.7523,1.7906,1.828,1.8686,1.9154,1.9668,2.0211,2.0766,2.1315,2.1843,2.2332,2.2765,2.3126,2.3435,2.3726,2.3998,2.4255,2.4498,2.4727,2.4945,2.5153,2.5352,2.5945,2.597,2.601,2.6064,2.6131,2.6208,2.6294,2.6387,2.6487,2.659,2.6697,2.6822,2.6979,2.7162,2.7367,2.7587,2.7817,2.8054,2.829,2.8521,2.8742,2.8946,2.9138,2.9323,2.9511,2.9708,2.9923,3.0163,3.0437,3.0751,3.1114,3.1797,3.3001,3.4623,3.6562,3.8716,4.0985,4.3266,4.5457,4.7459,4.9168,5.065,5.2051,5.3391,5.4692,5.5972,5.7254,5.8557,5.9902,6.131,6.28,6.454,6.6641,6.9039,7.1668,7.4464,7.7364,8.0303,8.3225,8.592,8.9323,9.2295,9.5908,10.0024,10.4429,10.9321,11.4001,11.9264,12.3364,12.7056,12.9763,12.81,13.2404,13.7322,14.2137,14.8198,15.5135,16.0755,16.7018,16.6695,17.434,17.632,15.4988,15.5565,17.3476,17.7332,17.7872,18.3682,17.6431,17.3444,17.2889,17.0911,17.1315,16.9111,16.2434,15.9409,14.0127,14.0093,13.9604,13.0233,12.8281,13.0307,12.0476,12.1969,12.24,12.8216,13.9125,14.8752,15.6795,16.5714,14.8423,13.286,15.9498,16.7076,16.3504,17.1656,17.567,18.3722,21.7611,24.884,28.6984,32.6811,31.2559,30.5344,32.0983,31.6482,33.5513,34.0195,37.2642,37.2074,37.3479,37.6786,38.1362,38.7066,39.3761,40.1317,40.9553,41.8304,42.7468,43.6942,44.6621,45.6621,46.717,47.8319,49.011,50.2576,51.5651,52.9203,54.3154,55.7427,57.1937,58.6908,60.2618,61.9078,63.6305,65.4323,67.3092,69.2515,71.2538,73.3112,75.4193,77.4088,79.466,81.5803,83.7415,85.9398,88.1661,90.4237,92.7218,95.0701,97.4791,99.9181,102.3557,104.8031,107.2728,109.7787,112.3224,114.8918,117.481,120.0851,122.6999,125.2364,127.6062,129.809,131.8488,133.7349,135.5223,137.2894,139.0899,140.9844,143.0403,145.2254,147.4488,149.6948,151.9476,154.1909,156.423,158.6469,160.8531,163.0316,165.1723,167.2658,169.3123,171.3163,173.2833,175.2187,177.1247,179.0013,180.8514,182.6785,184.4862
AGO,3.1747,3.273,3.3701,3.4658,3.56,3.6526,3.7432,3.8319,3.9184,4.0025,4.0841,4.1639,4.2427,4.3206,4.3977,4.4741,4.5499,4.6252,4.7001,4.7746,4.8489,4.9321,5.0309,5.1417,5.2606,5.384,5.5081,5.6294,5.7439,5.8481,5.9382,6.0188,6.0971,6.1735,6.2485,6.3225,6.3959,6.4691,6.5426,6.6166,6.724,6.753,6.7896,6.8334,6.8838,6.9405,7.0029,7.0706,7.1431,7.22,7.3008,7.4118,7.5734,7.7758,8.0093,8.2642,8.5308,8.7993,9.0601,9.3034,9.5195,9.7313,9.9647,10.2147,10.4761,10.7437,11.0125,11.2773,11.5329,11.7743,11.9964,12.2186,12.4596,12.7124,12.97,13.2257,13.4724,13.7033,13.9115,14.0901,14.2321,14.3447,14.4441,14.537,14.6303,14.7307,14.8451,14.9802,15.1428,15.3397,15.5777,16.1735,17.3466,18.9581,20.8691,22.9407,25.0338,27.0097,28.7293,30.0538,30.9715,31.3455,31.4349,31.2223,30.9985,30.7129,30.4841,30.3934,30.3468,30.6166,31.1376,32.2231,34.285,35.8692,37.8784,39.9314,42.3572,43.9857,46.5203,49.5375,68.7246,49.3675,56.5531,63.4593,61.6729,62.7297,45.0404,70.0835,77.6456,86.9501,80.5887,72.4703,75.0591,76.7643,70.7221,71.5479,71.5422,82.6406,72.5594,75.8543,72.2615,74.4525,76.7984,76.156,69.8744,81.2641,82.0381,77.2704,79.961,75.8694,70.5544,71.7326,76.1997,76.6953,86.2492,87.1718,84.6794,90.1656,89.1923,91.0484,97.0942,99.5551,100.8591,97.0342,97.0693,100.353,100.8752,100.5013,118.1646,120.3105,121.7864,122.7247,123.4476,124.0239,124.5083,124.9459,125.2936,125.4519,125.3743,125.0142,124.3247,123.3076,122.0844,120.7799,119.5077,118.3713,117.2992,116.2232,115.2379,114.4289,113.8741,113.5864,113.5287,113.6981,114.0922,114.7082,115.6296,116.8953,118.4406,120.2048,122.1311,125.0101,128.2313,131.7384,135.4768,139.3933,143.5435,147.9888,152.6867,157.5953,162.6741,167.9897,173.6083,179.4897,185.595,191.8863,198.3936,205.1422,212.0891,219.1922,226.4106,233.7716,241.3096,248.9967,256.8085,264.724,272.7928,281.0658,289.5294,298.1734,306.9908,316.0252,325.2907,334.7391,344.3229,353.9955,363.751,373.5993,383.5181,393.4847,403.4765,413.5296,423.679,433.9015,444.1752,454.4793,464.8188,475.2069,485.6361,496.0996,506.5913
ALB,0.16122,0.16258,0.16397,0.16539,0.16683,0.16827,0.1697,0.17111,0.17248,0.17381,0.17508,0.17634,0.17762,0.17894,0.18031,0.18171,0.18318,0.1847,0.18628,0.18793,0.18965,0.19197,0.19525,0.19929,0.20388,0.2088,0.21385,0.2188,0.22346,0.22761,0.23103,0.23399,0.23689,0.23975,0.2426,0.24547,0.24837,0.25134,0.25439,0.25756,0.2743,0.26278,0.25182,0.24162,0.23236,0.22423,0.21744,0.21217,0.20862,0.20697,0.20743,0.20933,0.21184,0.21486,0.21831,0.22211,0.22618,0.23043,0.23478,0.23914,0.24342,0.25151,0.26663,0.2878,0.314,0.34423,0.37748,0.41276,0.44905,0.48535,0.52066,0.5612,0.61168,0.6688,0.72929,0.78986,0.84723,0.89812,0.93924,0.96732,0.97907,0.97048,0.94292,0.88638,0.83498,0.78377,0.77827,0.80346,0.78054,0.79064,0.89733,0.89381,0.99415,0.94726,0.90651,0.99715,1.2654,1.5656,1.5616,1.7756,1.5176,1.6014,1.6303,1.6878,1.7683,1.8895,2.0146,2.3508,2.2582,2.3998,2.6895,2.8882,2.9927,2.8317,2.8299,3.014,3.1977,3.3384,3.5195,3.5787,3.8443,4.0997,4.6847,4.662,4.3298,4.3764,4.7183,5.1679,5.8416,6.4343,5.4785,6.3971,6.3509,6.5037,6.6807,6.6474,6.8337,6.6364,6.6807,7.6879,6.7815,8.0866,5.7988,5.8929,6.4466,6.3907,6.4465,6.5214,7.3211,7.7653,7.0273,7.4074,7.7159,8.0177,8.3061,8.11,8.0436,8.2718,8.1844,8.6573,8.9149,9.6455,9.2906,9.513,10.3286,9.8756,10.174,10.2403,10.6782,10.7936,10.9077,11.0297,11.1676,11.3174,11.4755,11.6379,11.8024,11.9664,12.1251,12.2739,12.4082,12.5334,12.6589,12.785,12.9121,13.0403,13.1677,13.2903,13.4056,13.5108,13.6032,13.6798,13.7406,13.7885,13.8263,13.8572,13.8857,13.9173,13.9561,14.0066,14.073,14.1019,14.1299,14.1562,14.1802,14.2011,14.2195,14.2354,14.2475,14.2545,14.255,14.2424,14.2127,14.1682,14.1114,14.0447,13.9702,13.891,13.8105,13.7322,13.6593,13.5852,13.5017,13.4094,13.3088,13.2007,13.0879,12.9734,12.8583,12.7438,12.6313,12.5164,12.3948,12.2682,12.1379,12.0055,11.8729,11.7424,11.6154,11.4934,11.3776,11.2651,11.1525,11.04,10.9281,10.8172,10.7075,10.599,10.4916,10.3852,10.2796
ANNEXI,695.4056,706.0228,720.7958,738.181,784.2752,799.1228,824.1094,833.4438,843.3173,870.4052,907.928,930.4388,945.3841,984.1983,1025.3043,1058.8078,1081.011,1135.8533,1167.341,1219.2639,1245.5797,1295.598,1393.6418,1462.3961,1430.6347,1503.3945,1527.8257,1573.9192,1590.1224,1689.9131,1828.2382,1882.8216,1973.327,2066.2973,2105.4976,2131.6881,2176.4222,2261.6603,2461.5547,2435.4477,2572.019,2657.3514,2693.2179,2699.0643,2770.9355,2877.6121,2948.4151,3042.0411,3148.9091,3325.0089,3448.0282,3525.3966,3596.867,3804.5431,3845.8038,4018.8406,4143.1858,4495.0991,4392.9181,4530.8636,4691.0662,4750.3043,4933.5363,5210.8054,4925.5406,4912.7984,5182.1561,5357.7896,5336.4896,4874.2251,5350.7842,4908.987,5082.1181,5542.787,5550.2911,5602.9086,5561.2284,5925.5386,5907.9036,6206.0115,5883.6704,5486.0093,5145.0008,5305.1134,5567.1633,5722.2524,6084.1091,6349.9989,6089.9451,6325.3403,6712.4821,6860.8479,6992.4311,7207.327,7235.5932,6518.8034,6907.6914,7505.1389,7873.2001,7708.2616,8268.5398,8686.5997,8792.6075,9031.5582,9162.1195,9784.2086,10287.212,10520.5058,10524.0676,10786.9016,11210.4253,11477.3882,11916.6689,12459.733,12927.7302,13349.4237,13816.3793,14290.2322,14859.8222,15542.4812,16301.1619,16544.9549,17141.2448,17881.4451,17709.2685,17410.2806,18149.6926,18384.5037,19049.8898,19391.4722,19138.0849,18560.7446,18091.3859,18078.7087,18441.3497,18703.4444,18691.0616,19104.3768,19585.949,19731.1713,19323.3387,18924.8834,18353.4759,18110.3856,17863.1842,17969.3278,18215.5125,18094.0916,18028.0044,17986.9168,18182.6702,18135.8761,18112.8123,18329.0113,18517.9188,18527.5913,18507.6033,18652.048,18241.5134,17107.9175,17632.1358,17490.565,17282.9586,17269.7209,17057.4184,16882.6872,16749.2409,16797.8916,16831.5543,17034.289,17221.8222,17406.6881,17602.316,17805.6873,18013.5621,18222.4909,18428.0515,18625.1041,18808.8856,18974.5197,19117.0173,19247.5432,19379.3556,19510.4808,19638.8962,19762.5348,19879.236,19986.8461,20083.2446,20166.2681,20233.7126,20284.9846,20323.0777,20351.1516,20372.3853,20389.9846,20406.141,20423.251,20444.8805,20474.6353,20516.1642,20494.0651,20466.5127,20434.7676,20400.0561,20363.5678,20326.447,20289.4143,20253.0206,20217.8507,20184.5197,20145.3076,20093.3284,20030.4594,19958.5698,19879.5213,19795.0219,19706.7415,19616.4769,19526.0225,19437.1706,19340.0555,19225.8396,19097.8595,18959.456,18813.9732,18664.8834,18515.6944,18369.806,18230.6183,18101.5309,17976.8303,17849.1632,17719.4706,17588.6961,17457.7854,17327.6884,17199.3613,17073.7639,16951.8576,16834.6061,16719.9491,16605.1572,16490.1945,16375.0276,16259.6257,16144.1215,16028.6729,15913.2893,15797.9809,15682.7589
AOSIS,0.94672,0.98096,1.0169,1.0545,1.0936,1.134,1.1756,1.2183,1.2619,1.3063,1.3514,1.3975,1.4451,1.4944,1.5453,1.5978,1.652,1.708,1.7657,1.8252,1.8866,1.9551,2.0344,2.1226,2.2173,2.3166,2.4181,2.5199,2.6196,2.7152,2.8046,2.8903,2.9765,3.0635,3.1515,3.2406,3.3311,3.4232,3.5171,3.613,3.8371,3.8794,3.9408,4.0198,4.1142,4.2229,4.3437,4.4751,4.6154,4.7624,4.9151,5.1132,5.3824,5.7089,6.0717,6.4546,6.8391,7.2087,7.5444,7.8553,8.1121,8.352,8.6126,8.8311,9.0933,9.334,9.611,9.9178,10.3486,10.405,10.7964,11.1037,11.2776,11.7156,12.3864,12.9055,13.1495,13.5198,14.8908,15.4782,15.7387,15.3734,15.8065,16.9097,17.9321,18.5634,19.5562,21.4205,22.8649,24.3312,25.9481,25.5481,26.9623,27.3789,28.8011,30.0722,31.0484,33.1708,34.8017,36.5495,31.4855,33.9737,35.7583,37.3436,38.7143,41.6182,42.8939,51.5144,57.9481,57.005,55.2488,55.8877,63.0751,57.4623,66.322,67.8978,69.1862,74.0778,76.6262,80.1231,94.9242,99.2824,105.4181,115.0166,117.7729,125.7637,133.1093,139.408,141.9609,147.723,148.3002,141.6779,146.1975,144.3112,147.9695,152.8614,150.6344,152.2961,152.7721,159.0972,157.0122,156.5452,164.3118,162.7559,172.5765,164.6258,178.9946,186.3112,187.6261,196.5887,209.7357,217.4043,214.4022,209.9694,212.2185,227.0984,242.2641,239.5825,255.6508,267.8184,280.5225,279.6259,278.2003,316.8285,321.469,331.0112,341.9077,348.3663,346.81,350.0809,353.5485,357.4327,361.8475,366.6701,371.7694,377.0079,382.2245,387.2534,391.9435,396.1415,399.6919,402.8167,405.8351,408.7375,411.5152,414.1602,416.6501,418.9372,420.9764,422.7232,424.1341,425.3931,426.6829,427.9587,429.1773,430.2974,431.3281,432.3125,433.2607,434.1813,435.0822,434.6298,434.2155,433.816,433.4089,432.9719,432.4744,431.8854,431.1828,430.3447,429.3494,428.2208,427.0069,425.7219,424.3792,422.9916,421.5364,419.9895,418.36,416.6565,414.8868,412.8589,410.4299,407.6811,404.6932,401.5466,398.3119,395.0621,391.8814,388.8541,386.0642,383.4295,380.8143,378.2223,375.6574,373.123,370.6167,368.1343,365.6774,363.2475,360.846,358.4612,356.0848,353.7234,351.3833,349.0705,346.7813,344.5102,342.2602,340.0344,337.8358
ARE,0.088065,0.090225,0.092362,0.094469,0.096539,0.098563,0.10053,0.10244,0.10429,0.10605,0.10773,0.10936,0.11097,0.11256,0.11414,0.11571,0.11728,0.11884,0.12041,0.12198,0.12356,0.12554,0.12821,0.1314,0.13497,0.13874,0.14256,0.14627,0.14971,0.15271,0.15512,0.15712,0.15905,0.1609,0.1627,0.16446,0.16621,0.16795,0.16971,0.1715,0.18635,0.19279,0.19953,0.20655,0.21384,0.22139,0.22919,0.23721,0.24544,0.25388,0.26249,0.27231,0.28392,0.29673,0.31009,0.3234,0.33604,0.34739,0.35683,0.36374,0.3675,0.36918,0.37035,0.37116,0.37176,0.37232,0.37299,0.37392,0.37527,0.37718,0.37982,0.39103,0.41691,0.45501,0.50286,0.55801,0.618,0.68038,0.74267,0.80243,0.8572,0.90703,0.95467,1.0017,1.0496,1.1001,1.1546,1.2147,1.282,1.3581,1.4444,1.5602,1.7204,1.9201,2.1546,2.419,2.7087,3.0188,3.3445,3.6811,4.0238,4.3829,4.774,5.2001,5.6643,6.1695,6.7187,7.3151,7.9615,8.6587,9.4133,10.1801,10.8869,11.6435,12.5258,13.6197,15.0131,17.5555,20.0757,42.1406,41.4281,56.1752,61.7429,80.2661,81.0511,79.6445,99.0501,92.5145,106.1964,72.3341,70.996,59.3605,56.0243,54.1168,72.2873,72.4776,62.5451,59.4596,56.812,62.1874,61.2097,67.2973,68.9758,76.3247,83.2046,84.7661,77.7487,80.9749,103.0591,103.0369,137.7742,134.6088,125.6334,156.3638,171.1557,183.0349,186.4729,193.729,212.261,215.8088,204.1377,205.3739,211.7397,205.9782,236.8704,254.1235,262.4122,259.7016,256.4287,259.5101,263.9753,269.9788,276.9634,284.756,293.1822,302.0655,311.2342,320.4794,329.5657,338.2555,346.3096,353.9061,361.3401,368.5499,375.4782,382.0715,388.4174,394.5799,400.4772,406.032,411.1713,415.9155,420.3138,424.3384,427.9617,431.1552,433.9744,436.5183,438.8224,440.9218,442.8507,444.785,446.5161,448.1223,449.6805,451.2667,452.9029,454.489,455.9199,457.094,457.9132,458.4136,458.6995,458.7767,458.6496,458.3211,457.8147,457.1304,456.2343,455.0926,453.6715,451.9596,449.9886,447.7883,445.3866,442.8089,440.1305,437.4044,434.6209,431.7689,428.8364,425.9078,423.028,420.126,417.1329,413.9825,410.7369,407.4982,404.2608,401.0195,397.769,394.3846,390.7991,387.0915,383.3376,379.6102,375.8318,371.9035,367.862,363.7423,359.5782
ARG,0.92789,0.96572,1.006,1.0485,1.093,1.1393,1.1871,1.2363,1.2866,1.3378,1.3896,1.4427,1.4982,1.5559,1.6159,1.6784,1.7435,1.811,1.8812,1.9542,2.0298,2.1171,2.2222,2.3416,2.4719,2.6093,2.7505,2.8917,3.0294,3.1601,3.2802,3.394,3.5084,3.624,3.741,3.8598,4.1939,4.3105,4.2072,5.1632,5.2514,4.9315,5.4945,5.8828,6.586,7.1971,7.6512,7.91,8.6491,9.6905,9.4621,10.6091,12.0355,13.4848,15.9124,17.7404,21.4381,22.9608,25.5049,24.9825,28.2654,29.5476,29.454,30.3623,29.3116,27.999,26.4581,24.1617,24.5864,25.8037,27.8508,27.5398,29.0487,29.9228,31.9999,32.0283,31.8262,33.735,32.924,33.2643,32.999,33.3539,34.0309,34.7946,36.523,37.2652,39.3015,41.8891,42.6936,44.6535,44.2788,43.7952,45.014,47.5549,49.785,52.0286,54.6886,58.1299,63.2867,63.9567,79.4081,86.9801,92.6168,97.6282,105.8268,115.6324,127.3262,137.519,140.9417,150.7214,154.7945,158.7481,161.1172,153.5718,164.1912,175.6041,183.3877,190.9475,194.5802,197.3227,203.2202,209.1265,216.009,223.8111,224.7898,227.0156,236.3008,240.1758,237.9442,245.8925,241.183,231.114,229.7726,233.2717,235.8512,228.9612,232.674,240.8961,247.9026,244.0737,242.8383,252.4021,257.77,261.462,266.6969,260.6655,272.747,274.4033,278.8986,280.945,296.9296,293.5946,287.0193,304.9927,317.2126,326.7034,341.3797,355.7947,352.1372,341.5865,315.8042,325.657,327.4683,337.4221,339.2946,342.361,347.167,348.1714,334.8027,341.7995,348.8963,356.3556,364.2392,372.4385,380.8416,389.333,397.7867,406.0632,414.0238,421.5284,428.436,434.9778,441.4098,447.6292,453.5354,459.0303,464.0929,468.7386,472.9246,476.6087,479.7485,482.4177,484.7771,486.9118,488.9028,490.8274,492.6809,494.4016,495.9779,497.3994,498.6558,498.3049,497.9456,497.5311,497.0156,496.354,495.5024,494.4215,493.0748,491.4258,489.4383,487.2388,484.9688,482.6144,480.1618,477.5976,474.9362,472.1785,469.2918,466.2454,463.0101,459.4844,455.6427,451.5686,447.3427,443.0425,438.7049,434.3592,430.0674,425.8893,421.8823,417.9941,414.139,410.3233,406.5528,402.8333,399.1655,395.5456,391.9726,388.4456,384.9638,381.5257,378.1261,374.7595,371.4203,368.103,364.807,361.5352,358.2882,355.0662,351.8697
ARM,0.36222,0.36335,0.36451,0.36569,0.36689,0.36809,0.36929,0.37048,0.37165,0.3728,0.37406,0.37524,0.37629,0.37747,0.3787,0.37986,0.38208,0.38362,0.38488,0.3867,0.38827,0.39066,0.39312,0.39632,0.40062,0.40542,0.41142,0.41673,0.42262,0.42753,0.43233,0.43898,0.44281,0.44774,0.45808,0.46798,0.47163,0.48341,0.48963,0.49276,0.49962,0.52347,0.53658,0.56179,0.56345,0.60348,0.61044,0.63525,0.65955,0.67794,0.70981,0.73406,0.72397,0.70739,0.72058,0.67234,0.69685,0.71181,0.71409,0.72911,0.73559,0.73458,0.7586,0.7797,0.80526,0.84377,0.88867,0.89111,0.78821,0.82052,0.82336,0.83481,0.86808,0.89503,0.91918,0.9415,0.99044,1.0496,1.0642,1.1185,1.3158,1.4205,1.4209,1.4461,1.5419,1.6016,1.6891,1.7279,1.7843,1.8028,1.8904,1.8449,1.7631,1.7579,1.9538,1.6945,1.8133,1.9967,2.1156,2.2891,2.4693,2.6121,2.7993,2.9889,3.2246,3.581,3.9787,4.442,4.9447,5.3868,5.8785,6.3807,7.1036,7.8309,8.4697,9.1524,9.8348,10.5605,11.1527,11.773,12.0442,12.979,13.8098,14.627,15.4896,16.437,17.1417,17.8154,18.6675,19.0654,19.5646,20.0645,20.5277,21.0779,21.3887,22.3496,22.0786,23.6214,25.897,26.0743,25.9566,24.3446,28.934,13.3996,13.2646,14.0969,10.6776,10.904,9.4562,7.4859,6.072,6.1206,5.9108,6.4129,6.825,7.6766,8.0107,8.826,9.5409,8.4695,8.5031,9.3504,10.4292,10.3439,10.4658,11.2202,11.5894,11.2487,10.8665,11.0948,11.3014,11.4954,11.6912,11.8907,12.0946,12.3035,12.5126,12.7134,12.9003,13.0673,13.2084,13.3331,13.4568,13.5819,13.7109,13.8454,13.9832,14.122,14.2643,14.4124,14.5685,14.7275,14.8848,15.0423,15.2022,15.3661,15.5316,15.6942,15.8525,16.0053,16.1513,16.1139,16.0326,15.9165,15.7747,15.6165,15.447,15.2747,15.1135,14.9768,14.8777,14.8088,14.7507,14.699,14.649,14.5967,14.54,14.4797,14.4155,14.347,14.2737,14.1932,14.1054,14.0132,13.9193,13.8265,13.7356,13.6464,13.5599,13.4773,13.3996,13.3206,13.2346,13.1433,13.0485,12.9519,12.8546,12.7577,12.6627,12.5709,12.4838,12.3994,12.3151,12.232,12.1512,12.0735,11.9975,11.9216,11.8461,11.7713,11.6977
AUS,20.6583,20.7349,20.8331,20.9515,21.0891,21.2446,21.4168,21.6044,21.8063,22.0212,22.636,23.1979,23.2394,23.5723,23.6757,24.1927,24.8935,25.5023,25.6258,25.8612,26.183,26.7366,27.2547,28.0345,28.6632,29.2033,29.9874,30.8176,31.3066,32.5838,34.1856,34.1011,34.9707,36.0753,36.8082,37.8036,38.3118,39.0535,40.2851,40.6901,43.6328,42.8454,41.9546,40.9389,40.6739,40.4221,40.0229,40.32,40.9177,41.1924,45.6781,47.4352,48.3318,49.4413,51.2852,53.4551,57.4521,60.2747,63.1497,62.4487,66.4119,69.1428,71.597,74.0771,76.9925,75.2281,73.5817,75.7859,78.6136,78.0999,82.5798,80.6136,82.2655,83.2118,85.7931,87.324,87.3347,88.7181,86.7842,84.5854,83.3915,81.2878,82.4343,84.0951,85.6659,88.6488,90.9552,93.2772,92.9326,97.636,95.2803,101.4338,104.3508,104.0909,104.7668,104.9281,109.2295,113.4931,115.6333,116.5733,134.8641,140.7371,143.9022,145.4508,156.1497,161.5294,166.5968,170.9284,176.8715,185.7768,193.0391,198.4301,207.0452,216.455,228.9466,244.2342,242.1379,255.5876,265.6344,279.3028,286.0533,293.5362,307.3013,315.9109,318.1183,323.4188,325.0747,333.5397,339.9855,345.7814,361.0651,365.5691,372.5214,366.6628,380.2625,393.915,390.454,403.3681,409.1781,437.4701,423.1711,424.2326,428.5787,429.1679,429.2794,437.9366,445.5559,457.6026,471.375,476.9807,487.9023,495.3852,499.2842,500.9888,518.8514,524.7326,529.4055,536.1612,540.0882,543.9627,540.3462,541.371,543.7739,533.5425,528.081,538.3126,549.9258,557.2955,563.126,572.6398,581.793,590.9967,600.5908,610.4994,620.6357,630.9027,641.0706,650.9347,660.4219,669.4492,677.9234,686.2367,694.7862,703.4764,712.2116,720.8952,729.3859,737.5523,745.3093,752.5675,759.2336,765.2463,770.645,775.4954,779.8791,783.893,787.76,791.7492,796.0435,800.8324,806.3121,809.8289,813.2062,816.4945,819.7389,822.9793,826.2243,829.4226,832.5231,835.4772,838.2391,840.411,841.719,842.3073,842.322,841.9109,841.2244,840.3708,839.4394,838.5244,837.7237,836.5727,834.6063,831.9279,828.6442,824.8656,820.7427,816.4403,812.0948,807.8454,803.8335,799.7569,795.2739,790.4676,785.42,780.2128,774.9358,769.6782,764.5189,759.5356,754.8049,750.1751,745.4473,740.6258,735.715,730.7198,725.6559,720.5365,715.3624,710.1345,704.8536
