code,KYOTOGHGAR4_IPCM0EL_TOTAL_NET_SSP5BLREMMP_PMSSPBIE
entity,KYOTOGHGAR4
scenario,SSP5BLREMMP
datatype,CountryYearMatrix
note,calculated by the function combine_tables_varying_in_one_sheet_as by CC and JN from PRIMAP
type,NET
class,TOTAL
tablekind,usr
descr,Result of FGASESAR4+CH4+N2O_IPCM0EL_TOTAL_NET_SSP5BLREMMP_PMSSPBIEX+CO2_IPCM0EL_TOTAL_NET_SSP5BLREMMP_PMSSPBIEX - regarding information just missing in one of the tables as zero
source,PMSSPBIE
category,IPCM0EL
name_category,NatTotalExclLULUCF
family,emi
subsource,NaN
unit,MtCO2eq
gwp,AR4
iso3,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
AFG,0.85833,0.91926,0.97909,1.0377,1.0951,1.1512,1.2058,1.259,1.3106,1.3606,1.4088,1.4556,1.5012,1.5457,1.5891,1.6315,1.6727,1.713,1.7523,1.7906,1.828,1.8686,1.9154,1.9668,2.0211,2.0766,2.1315,2.1843,2.2332,2.2765,2.3126,2.3435,2.3726,2.3998,2.4255,2.4498,2.4727,2.4945,2.5153,2.5352,2.5945,2.597,2.601,2.6064,2.6131,2.6208,2.6294,2.6387,2.6487,2.659,2.6697,2.6822,2.6979,2.7162,2.7367,2.7587,2.7817,2.8054,2.829,2.8521,2.8742,2.8946,2.9138,2.9323,2.9511,2.9708,2.9923,3.0163,3.0437,3.0751,3.1114,3.1797,3.3001,3.4623,3.6562,3.8716,4.0985,4.3266,4.5457,4.7459,4.9168,5.065,5.2051,5.3391,5.4692,5.5972,5.7254,5.8557,5.9902,6.131,6.28,6.454,6.6641,6.9039,7.1668,7.4464,7.7364,8.0303,8.3225,8.592,8.9323,9.2295,9.5908,10.0024,10.4429,10.9321,11.4001,11.9264,12.3364,12.7056,12.9763,12.81,13.2404,13.7322,14.2137,14.8198,15.5135,16.0755,16.7018,16.6695,17.434,17.632,15.4988,15.5565,17.3476,17.7332,17.7872,18.3682,17.6431,17.3444,17.2889,17.0911,17.1315,16.9111,16.2434,15.9409,14.0127,14.0093,13.9604,13.0233,12.8281,13.0307,12.0476,12.1969,12.24,12.8216,13.9125,14.8752,15.6795,16.5714,14.8423,13.286,15.9498,16.7076,16.3504,17.1656,17.567,18.3722,21.7611,24.884,28.6984,32.6811,31.2559,30.5344,32.0983,31.6482,33.5513,34.0195,36.8493,36.3735,36.0918,35.9944,36.0331,36.216,36.5459,37.0227,37.6668,38.4944,39.4967,40.6657,41.9954,43.5611,45.4177,47.5356,49.8908,52.4644,55.2974,58.4064,61.7429,65.2612,68.9177,72.7867,76.9545,81.4018,86.1163,91.0923,96.3992,102.085,108.1217,114.4872,121.1652,128.4464,136.059,143.9629,152.1232,160.51,169.2052,178.3019,187.7953,197.6874,207.9859,218.7719,230.0794,241.8496,254.0233,266.5407,279.3971,292.5826,306.0266,319.657,333.3995,347.4409,361.9484,376.8074,391.8914,407.0617,422.2438,437.3584,452.2409,466.7158,480.5961,494.0306,507.2786,520.3144,533.1194,545.6814,558.068,570.3539,582.5481,594.6666,606.7321,618.5377,629.8441,640.6365,650.9062,660.6511,669.8991,678.6854,687.0264,694.9429,702.4599
AGO,3.1747,3.273,3.3701,3.4658,3.56,3.6526,3.7432,3.8319,3.9184,4.0025,4.0841,4.1639,4.2427,4.3206,4.3977,4.4741,4.5499,4.6252,4.7001,4.7746,4.8489,4.9321,5.0309,5.1417,5.2606,5.384,5.5081,5.6294,5.7439,5.8481,5.9382,6.0188,6.0971,6.1735,6.2485,6.3225,6.3959,6.4691,6.5426,6.6166,6.724,6.753,6.7896,6.8334,6.8838,6.9405,7.0029,7.0706,7.1431,7.22,7.3008,7.4118,7.5734,7.7758,8.0093,8.2642,8.5308,8.7993,9.0601,9.3034,9.5195,9.7313,9.9647,10.2147,10.4761,10.7437,11.0125,11.2773,11.5329,11.7743,11.9964,12.2186,12.4596,12.7124,12.97,13.2257,13.4724,13.7033,13.9115,14.0901,14.2321,14.3447,14.4441,14.537,14.6303,14.7307,14.8451,14.9802,15.1428,15.3397,15.5777,16.1735,17.3466,18.9581,20.8691,22.9407,25.0338,27.0097,28.7293,30.0538,30.9715,31.3455,31.4349,31.2223,30.9985,30.7129,30.4841,30.3934,30.3468,30.6166,31.1376,32.2231,34.285,35.8692,37.8784,39.9314,42.3572,43.9857,46.5203,49.5375,68.7246,49.3675,56.5531,63.4593,61.6729,62.7297,45.0404,70.0835,77.6456,86.9501,80.5887,72.4703,75.0591,76.7643,70.7221,71.5479,71.5422,82.6406,72.5594,75.8543,72.2615,74.4525,76.7984,76.156,69.8744,81.2641,82.0381,77.2704,79.961,75.8694,70.5544,71.7326,76.1997,76.6953,86.2492,87.1718,84.6794,90.1656,89.1923,91.0484,97.0942,99.5551,100.8591,97.0342,97.0693,100.353,100.8752,100.5013,121.0242,126.2708,130.6309,133.8948,136.3282,138.2487,139.9481,141.6892,143.2823,144.5154,145.5735,146.611,147.754,148.8432,149.8301,150.9436,152.3611,154.2185,156.3122,158.4557,160.7667,163.3386,166.2451,169.5523,173.3024,177.5145,182.201,187.3696,193.0315,199.1414,205.6202,212.3902,219.3748,226.7041,234.6513,243.1094,251.9717,261.1322,270.6015,280.382,290.3564,300.4091,310.4265,320.5919,331.1018,341.8659,352.7954,363.8031,374.8542,385.9047,396.8546,407.605,418.0581,428.4468,438.9718,449.4893,459.8572,469.935,479.6492,488.9375,497.6787,505.7532,513.0431,519.6833,525.886,531.6524,536.9853,541.8891,546.3817,550.4809,554.1931,557.5262,560.4886,563.1508,565.5735,567.7509,569.677,571.3452,572.7383,573.8387,574.6387,575.1299,575.3036
ALB,0.16122,0.16258,0.16397,0.16539,0.16683,0.16827,0.1697,0.17111,0.17248,0.17381,0.17508,0.17634,0.17762,0.17894,0.18031,0.18171,0.18318,0.1847,0.18628,0.18793,0.18965,0.19197,0.19525,0.19929,0.20388,0.2088,0.21385,0.2188,0.22346,0.22761,0.23103,0.23399,0.23689,0.23975,0.2426,0.24547,0.24837,0.25134,0.25439,0.25756,0.2743,0.26278,0.25182,0.24162,0.23236,0.22423,0.21744,0.21217,0.20862,0.20697,0.20743,0.20933,0.21184,0.21486,0.21831,0.22211,0.22618,0.23043,0.23478,0.23914,0.24342,0.25151,0.26663,0.2878,0.314,0.34423,0.37748,0.41276,0.44905,0.48535,0.52066,0.5612,0.61168,0.6688,0.72929,0.78986,0.84723,0.89812,0.93924,0.96732,0.97907,0.97048,0.94292,0.88638,0.83498,0.78377,0.77827,0.80346,0.78054,0.79064,0.89733,0.89381,0.99415,0.94726,0.90651,0.99715,1.2654,1.5656,1.5616,1.7756,1.5176,1.6014,1.6303,1.6878,1.7683,1.8895,2.0146,2.3508,2.2582,2.3998,2.6895,2.8882,2.9927,2.8317,2.8299,3.014,3.1977,3.3384,3.5195,3.5787,3.8443,4.0997,4.6847,4.662,4.3298,4.3764,4.7183,5.1679,5.8416,6.4343,5.4785,6.3971,6.3509,6.5037,6.6807,6.6474,6.8337,6.6364,6.6807,7.6879,6.7815,8.0866,5.7988,5.8929,6.4466,6.3907,6.4465,6.5214,7.3211,7.7653,7.0273,7.4074,7.7159,8.0177,8.3061,8.11,8.0436,8.2718,8.1844,8.6573,8.9149,9.6455,9.2906,9.513,10.3286,9.8756,10.174,10.2403,10.5317,10.5287,10.5536,10.6284,10.7639,10.9511,11.181,11.445,11.7418,12.0688,12.4156,12.7717,13.1262,13.4921,13.885,14.2989,14.7283,15.1677,15.6181,16.0814,16.5534,17.03,17.5072,17.9899,18.4822,18.9796,19.4776,19.9715,20.4614,20.9491,21.4333,21.9126,22.3857,22.8149,23.2608,23.7156,24.1715,24.6204,25.0562,25.4718,25.8572,26.2031,26.5,26.7584,26.9935,27.203,27.3844,27.5358,27.6582,27.7558,27.8304,27.884,27.9182,27.9484,27.9823,28.0106,28.0241,28.014,27.9735,27.8947,27.7681,27.5844,27.335,27.0503,26.7646,26.4761,26.1829,25.8836,25.578,25.2665,24.9483,24.6225,24.2882,23.9499,23.6105,23.267,22.9171,22.5583,22.1938,21.8278,21.4598,21.0891,20.7152
ANNEXI,695.4056,706.0228,720.7958,738.181,784.2752,799.1228,824.1094,833.4438,843.3173,870.4052,907.928,930.4388,945.3841,984.1983,1025.3043,1058.8078,1081.011,1135.8533,1167.341,1219.2639,1245.5797,1295.598,1393.6418,1462.3961,1430.6347,1503.3945,1527.8257,1573.9192,1590.1224,1689.9131,1828.2382,1882.8216,1973.327,2066.2973,2105.4976,2131.6881,2176.4222,2261.6603,2461.5547,2435.4477,2572.019,2657.3514,2693.2179,2699.0643,2770.9355,2877.6121,2948.4151,3042.0411,3148.9091,3325.0089,3448.0282,3525.3966,3596.867,3804.5431,3845.8038,4018.8406,4143.1858,4495.0991,4392.9181,4530.8636,4691.0662,4750.3043,4933.5363,5210.8054,4925.5406,4912.7984,5182.1561,5357.7896,5336.4896,4874.2251,5350.7842,4908.987,5082.1181,5542.787,5550.2911,5602.9086,5561.2284,5925.5386,5907.9036,6206.0115,5883.6704,5486.0093,5145.0008,5305.1134,5567.1633,5722.2524,6084.1091,6349.9989,6089.9451,6325.3403,6712.4821,6860.8479,6992.4311,7207.327,7235.5932,6518.8034,6907.6914,7505.1389,7873.2001,7708.2616,8268.5398,8686.5997,8792.6075,9031.5582,9162.1195,9784.2086,10287.212,10520.5058,10524.0676,10786.9016,11210.4253,11477.3882,11916.6689,12459.733,12927.7302,13349.4237,13816.3793,14290.2322,14859.8222,15542.4812,16301.1619,16544.9549,17141.2448,17881.4451,17709.2685,17410.2806,18149.6926,18384.5037,19049.8898,19391.4722,19138.0849,18560.7446,18091.3859,18078.7087,18441.3497,18703.4444,18691.0616,19104.3768,19585.949,19731.1713,19323.3387,18924.8834,18353.4759,18110.3856,17863.1842,17969.3278,18215.5125,18094.0916,18028.0044,17986.9168,18182.6702,18135.8761,18112.8123,18329.0113,18517.9188,18527.5913,18507.6033,18652.048,18241.5134,17107.9175,17632.1358,17490.565,17282.9586,17269.7209,17057.4184,16882.6872,16749.2409,16797.8916,16670.4163,16765.8409,16873.3431,17027.4617,17253.4468,17540.9247,17879.4579,18258.5538,18667.3027,19094.7189,19530.1119,19962.7304,20381.7618,20800.804,21239.7105,21696.9538,22170.9401,22660.0135,23162.0468,23674.9453,24197.0182,24726.5238,25261.6709,25804.3215,26357.7502,26922.2364,27498.0455,28085.4305,28684.367,29294.814,29916.9849,30551.0853,31197.3126,31790.4901,32421.7766,33081.1144,33758.4327,34443.6453,35126.4761,35796.7221,36444.3711,37059.3784,37631.6651,38174.9321,38708.8958,39232.4674,39744.552,40244.0497,40729.7513,41200.3686,41654.6842,42091.4874,42509.5737,42932.5752,43376.0052,43826.4635,44270.5189,44694.7089,45085.5552,45429.5463,45713.1247,45922.7045,46044.6719,46115.293,46179.6118,46237.1596,46287.4652,46330.0544,46364.4359,46390.1325,46406.6848,46413.6287,46410.495,46397.932,46376.8978,46347.3819,46309.3698,46262.8436,46207.73,46143.9255,46071.3662,45989.9898,45899.7361
AOSIS,0.90284,0.93681,0.97249,1.0097,1.0484,1.0885,1.1296,1.1719,1.215,1.2589,1.3035,1.3491,1.3962,1.4449,1.4952,1.5471,1.6007,1.656,1.713,1.7717,1.8323,1.8999,1.9781,2.0648,2.1581,2.2557,2.3556,2.4557,2.5539,2.648,2.7361,2.8206,2.9057,2.9915,3.0783,3.1662,3.2555,3.3464,3.4391,3.5338,3.7517,3.7966,3.8602,3.9411,4.037,4.1466,4.2681,4.3999,4.5402,4.6869,4.8391,5.0361,5.3032,5.6269,5.9863,6.3655,6.7462,7.112,7.4441,7.7518,8.0061,8.2439,8.5025,8.7191,8.9793,9.2183,9.4936,9.7987,10.228,10.283,10.6731,10.9792,11.1519,11.5887,12.2584,12.7764,13.0193,13.3886,14.7586,15.3452,15.6048,15.2387,15.6709,16.7732,17.7945,18.4245,19.4161,21.279,22.722,24.1867,25.8021,25.4,26.8114,27.2246,28.6429,29.9097,30.8814,32.9992,34.6255,36.3681,31.2984,33.7824,35.5586,37.1387,38.5,41.3978,42.6672,51.2776,57.7084,56.755,54.9922,55.6295,62.7959,57.1566,65.9797,67.5513,68.7981,73.6672,76.2173,79.7199,94.5183,98.8257,104.9544,114.5317,117.2659,125.2177,132.5696,138.8383,141.3628,147.1363,147.7057,141.0839,145.5824,143.6815,147.3329,152.1347,149.948,151.5968,152.0558,158.3704,156.2789,155.795,163.5446,161.9583,171.7669,163.8088,178.1479,185.4587,186.7689,195.7154,208.8609,216.5275,213.5493,209.088,211.3553,226.2155,241.3785,238.5698,254.6288,266.7877,279.466,278.5212,277.1088,315.735,320.2903,329.7908,340.6505,347.0911,347.7813,353.256,358.823,364.738,371.2277,378.2081,385.5657,393.1656,400.7828,408.2803,415.6176,422.7254,429.5138,436.2043,443.1216,450.301,457.7599,465.5033,473.4729,481.5599,489.6895,497.7897,505.7919,513.1894,519.6087,525.2006,530.141,534.6333,538.9557,543.4276,548.3517,554.0536,560.8812,567.5413,574.4799,581.6269,588.9145,596.2763,603.6813,611.1001,618.4705,625.731,632.8212,639.9699,647.3572,654.8539,662.3357,669.6828,676.8025,683.5979,689.9479,695.7339,700.8403,705.6532,710.5513,715.4087,720.0982,724.4916,728.4633,731.8746,734.5756,736.4151,737.2412,737.1584,736.4351,735.1658,733.4453,731.3695,729.059,726.6416,724.224,721.9133,719.8171,717.7059,715.3047,712.6525,709.7881,706.7497,703.55,700.1923,696.6998,693.096,689.4048
ARE,0.088065,0.090225,0.092362,0.094469,0.096539,0.098563,0.10053,0.10244,0.10429,0.10605,0.10773,0.10936,0.11097,0.11256,0.11414,0.11571,0.11728,0.11884,0.12041,0.12198,0.12356,0.12554,0.12821,0.1314,0.13497,0.13874,0.14256,0.14627,0.14971,0.15271,0.15512,0.15712,0.15905,0.1609,0.1627,0.16446,0.16621,0.16795,0.16971,0.1715,0.18635,0.19279,0.19953,0.20655,0.21384,0.22139,0.22919,0.23721,0.24544,0.25388,0.26249,0.27231,0.28392,0.29673,0.31009,0.3234,0.33604,0.34739,0.35683,0.36374,0.3675,0.36918,0.37035,0.37116,0.37176,0.37232,0.37299,0.37392,0.37527,0.37718,0.37982,0.39103,0.41691,0.45501,0.50286,0.55801,0.618,0.68038,0.74267,0.80243,0.8572,0.90703,0.95467,1.0017,1.0496,1.1001,1.1546,1.2147,1.282,1.3581,1.4444,1.5602,1.7204,1.9201,2.1546,2.419,2.7087,3.0188,3.3445,3.6811,4.0238,4.3829,4.774,5.2001,5.6643,6.1695,6.7187,7.3151,7.9615,8.6587,9.4133,10.1801,10.8869,11.6435,12.5258,13.6197,15.0131,17.5555,20.0757,42.1406,41.4281,56.1752,61.7429,80.2661,81.0511,79.6445,99.0501,92.5145,106.1964,72.3341,70.996,59.3605,56.0243,54.1168,72.2873,72.4776,62.5451,59.4596,56.812,62.1874,61.2097,67.2973,68.9758,76.3247,83.2046,84.7661,77.7487,80.9749,103.0591,103.0369,137.7742,134.6088,125.6334,156.3638,171.1557,183.0349,186.4729,193.729,212.261,215.8088,204.1377,205.3739,211.7397,205.9782,236.8704,254.1235,262.4122,259.7016,263.2493,273.3559,283.6089,293.8127,303.4543,312.7021,321.7236,330.6843,339.5919,348.4727,357.5119,366.8836,376.7485,387.0506,397.7032,408.7814,420.3244,432.3399,444.5628,456.6899,468.6419,480.3264,491.6391,502.7299,513.8099,524.8466,535.7924,546.5868,556.9761,566.8046,576.145,585.0628,593.6183,599.047,604.4082,609.68,614.8456,619.8953,624.6253,628.754,632.1654,634.7502,636.4071,637.4283,638.1425,638.5055,638.4697,637.9855,636.9469,635.225,632.7372,629.4045,625.1523,620.3676,615.4267,610.2508,604.7719,598.9322,592.6106,585.6999,578.1736,570.0087,561.1857,551.9519,542.5935,533.147,523.6444,514.1133,504.5736,495.0301,485.4836,475.9332,466.3769,456.9773,447.8168,438.7785,429.753,420.638,411.5516,402.6423,393.8619,385.1665,376.5161
ARG,0.92789,0.96572,1.006,1.0485,1.093,1.1393,1.1871,1.2363,1.2866,1.3378,1.3896,1.4427,1.4982,1.5559,1.6159,1.6784,1.7435,1.811,1.8812,1.9542,2.0298,2.1171,2.2222,2.3416,2.4719,2.6093,2.7505,2.8917,3.0294,3.1601,3.2802,3.394,3.5084,3.624,3.741,3.8598,4.1939,4.3105,4.2072,5.1632,5.2514,4.9315,5.4945,5.8828,6.586,7.1971,7.6512,7.91,8.6491,9.6905,9.4621,10.6091,12.0355,13.4848,15.9124,17.7404,21.4381,22.9608,25.5049,24.9825,28.2654,29.5476,29.454,30.3623,29.3116,27.999,26.4581,24.1617,24.5864,25.8037,27.8508,27.5398,29.0487,29.9228,31.9999,32.0283,31.8262,33.735,32.924,33.2643,32.999,33.3539,34.0309,34.7946,36.523,37.2652,39.3015,41.8891,42.6936,44.6535,44.2788,43.7952,45.014,47.5549,49.785,52.0286,54.6886,58.1299,63.2867,63.9567,79.4081,86.9801,92.6168,97.6282,105.8268,115.6324,127.3262,137.519,140.9417,150.7214,154.7945,158.7481,161.1172,153.5718,164.1912,175.6041,183.3877,190.9475,194.5802,197.3227,203.2202,209.1265,216.009,223.8111,224.7898,227.0156,236.3008,240.1758,237.9442,245.8925,241.183,231.114,229.7726,233.2717,235.8512,228.9612,232.674,240.8961,247.9026,244.0737,242.8383,252.4021,257.77,261.462,266.6969,260.6655,272.747,274.4033,278.8986,280.945,296.9296,293.5946,287.0193,304.9927,317.2126,326.7034,341.3797,355.7947,352.1372,341.5865,315.8042,325.657,327.4683,337.4221,339.2946,342.361,347.167,348.1714,339.0243,350.2043,361.3369,372.9652,385.4156,398.4554,411.8511,425.3677,438.7571,451.7911,464.266,475.9797,486.7314,496.8399,506.7246,516.3342,525.6143,534.5071,542.9315,550.8375,558.2081,565.0232,571.2602,575.856,578.1088,578.5358,577.6515,575.9657,573.8797,571.7924,570.2069,569.6276,570.5606,571.5141,572.582,573.7468,574.9881,576.2826,577.5474,578.6993,579.7118,580.556,581.2013,581.8569,582.691,583.6115,584.5278,585.3514,586.0184,586.4378,586.4855,586.0415,584.9902,583.6028,582.1896,580.6984,579.0778,577.2773,575.2195,572.8179,570.0102,566.735,562.9323,558.5723,553.7444,548.5651,543.1474,537.6012,532.019,526.4864,521.0991,515.9512,511.1351,506.532,501.9677,497.4496,492.9847,488.5797,484.2368,479.957,475.7443,471.6028,467.5367
ARM,0.36222,0.36335,0.36451,0.36569,0.36689,0.36809,0.36929,0.37048,0.37165,0.3728,0.37406,0.37524,0.37629,0.37747,0.3787,0.37986,0.38208,0.38362,0.38488,0.3867,0.38827,0.39066,0.39312,0.39632,0.40062,0.40542,0.41142,0.41673,0.42262,0.42753,0.43233,0.43898,0.44281,0.44774,0.45808,0.46798,0.47163,0.48341,0.48963,0.49276,0.49962,0.52347,0.53658,0.56179,0.56345,0.60348,0.61044,0.63525,0.65955,0.67794,0.70981,0.73406,0.72397,0.70739,0.72058,0.67234,0.69685,0.71181,0.71409,0.72911,0.73559,0.73458,0.7586,0.7797,0.80526,0.84377,0.88867,0.89111,0.78821,0.82052,0.82336,0.83481,0.86808,0.89503,0.91918,0.9415,0.99044,1.0496,1.0642,1.1185,1.3158,1.4205,1.4209,1.4461,1.5419,1.6016,1.6891,1.7279,1.7843,1.8028,1.8904,1.8449,1.7631,1.7579,1.9538,1.6945,1.8133,1.9967,2.1156,2.2891,2.4693,2.6121,2.7993,2.9889,3.2246,3.581,3.9787,4.442,4.9447,5.3868,5.8785,6.3807,7.1036,7.8309,8.4697,9.1524,9.8348,10.5605,11.1527,11.773,12.0442,12.979,13.8098,14.627,15.4896,16.437,17.1417,17.8154,18.6675,19.0654,19.5646,20.0645,20.5277,21.0779,21.3887,22.3496,22.0786,23.6214,25.897,26.0743,25.9566,24.3446,28.934,13.3996,13.2646,14.0969,10.6776,10.904,9.4562,7.4859,6.072,6.1206,5.9108,6.4129,6.825,7.6766,8.0107,8.826,9.5409,8.4695,8.5031,9.3504,10.4292,10.3439,10.4658,11.2202,11.5894,11.2487,11.3259,11.7144,12.1059,12.4953,12.8745,13.2505,13.6301,14.0195,14.4203,14.8335,15.2641,15.7162,16.1934,16.7045,17.2513,17.8259,18.4189,19.0201,19.616,20.1986,20.7642,21.3086,21.8266,22.3281,22.8254,23.3165,23.7984,24.2675,24.7141,25.1311,25.5187,25.8769,26.2055,26.3047,26.3933,26.4729,26.5451,26.6116,26.6587,26.6754,26.6672,26.639,26.5955,26.5659,26.5611,26.5598,26.5432,26.4948,26.4046,26.2689,26.0821,25.8399,25.5388,25.2068,24.8723,24.5342,24.1914,23.8435,23.4843,23.1072,22.7118,22.2975,21.8639,21.4207,20.9801,20.5459,20.1213,19.7089,19.3081,18.9163,18.5334,18.1592,17.7935,17.4375,17.0921,16.757,16.4317,16.1156,15.8075,15.506,15.2104,14.9201,14.6342
AUS,20.6583,20.7349,20.8331,20.9515,21.0891,21.2446,21.4168,21.6044,21.8063,22.0212,22.636,23.1979,23.2394,23.5723,23.6757,24.1927,24.8935,25.5023,25.6258,25.8612,26.183,26.7366,27.2547,28.0345,28.6632,29.2033,29.9874,30.8176,31.3066,32.5838,34.1856,34.1011,34.9707,36.0753,36.8082,37.8036,38.3118,39.0535,40.2851,40.6901,43.6328,42.8454,41.9546,40.9389,40.6739,40.4221,40.0229,40.32,40.9177,41.1924,45.6781,47.4352,48.3318,49.4413,51.2852,53.4551,57.4521,60.2747,63.1497,62.4487,66.4119,69.1428,71.597,74.0771,76.9925,75.2281,73.5817,75.7859,78.6136,78.0999,82.5798,80.6136,82.2655,83.2118,85.7931,87.324,87.3347,88.7181,86.7842,84.5854,83.3915,81.2878,82.4343,84.0951,85.6659,88.6488,90.9552,93.2772,92.9326,97.636,95.2803,101.4338,104.3508,104.0909,104.7668,104.9281,109.2295,113.4931,115.6333,116.5733,134.8641,140.7371,143.9022,145.4508,156.1497,161.5294,166.5968,170.9284,176.8715,185.7768,193.0391,198.4301,207.0452,216.455,228.9466,244.2342,242.1379,255.5876,265.6344,279.3028,286.0533,293.5362,307.3013,315.9109,318.1183,323.4188,325.0747,333.5397,339.9855,345.7814,361.0651,365.5691,372.5214,366.6628,380.2625,393.915,390.454,403.3681,409.1781,437.4701,423.1711,424.2326,428.5787,429.1679,429.2794,437.9366,445.5559,457.6026,471.375,476.9807,487.9023,495.3852,499.2842,500.9888,518.8514,524.7326,529.4055,536.1612,540.0882,543.9627,540.3462,541.371,543.7739,533.5425,528.081,538.3126,549.9258,557.2955,556.8654,561.2103,566.1206,572.7096,581.6997,592.8265,605.8067,620.3431,635.987,652.2632,668.8217,685.3076,701.3615,717.4653,734.3205,751.8949,770.1585,789.0845,808.6247,828.7007,849.2419,870.1783,891.4395,913.2485,935.7591,958.8043,982.2256,1005.8715,1029.7534,1053.9484,1078.4084,1103.0851,1127.9298,1151.2189,1175.7661,1201.2765,1227.4477,1253.9702,1280.5065,1306.6383,1331.9305,1355.9477,1378.2553,1399.2756,1419.7492,1439.7202,1459.2338,1478.3353,1497.1159,1515.595,1533.7167,1551.4312,1568.695,1586.4173,1605.1021,1624.1048,1642.7823,1660.4937,1676.6842,1690.8507,1702.4312,1710.8644,1715.5894,1718.2972,1721.0039,1723.6381,1726.1282,1728.4033,1730.3537,1731.888,1732.9618,1733.5296,1733.5446,1733.0634,1732.1969,1730.9775,1729.4352,1727.5977,1725.4571,1722.9952,1720.2221,1717.1475,1713.7806
AUT,5.0194,5.0441,5.5483,5.991,5.9657,6.524,7.0914,7.7722,10.2147,8.8432,9.1624,9.4305,9.4388,8.9898,8.2142,8.5328,6.7831,8.1681,9.3944,9.8581,10.8012,13.6777,13.6042,14.4058,12.8736,11.6279,11.9428,11.1987,11.229,12.9573,28.0703,14.5639,14.9202,16.168,15.9278,16.5905,15.9706,16.9325,16.6941,17.6982,17.4641,19.7394,19.6505,23.1763,23.9211,26.4097,27.5716,29.4715,31.0466,31.5174,34.4067,35.0728,32.4249,32.36,33.7478,35.0162,40.3708,48.6275,65.5469,49.4484,64.3002,54.8874,57.4264,66.5845,55.5331,41.5632,15.891,10.4339,10.3933,10.1528,21.5162,26.3305,25.7191,25.0811,27.5208,26.6225,26.4494,28.1127,29.5021,32.6273,27.5887,26.9147,24.2407,23.4963,23.2398,23.6301,23.5109,25.3538,16.3174,17.0516,18.1908,18.9767,19.7064,21.0514,21.4194,16.9231,25.0043,30.0842,37.2536,39.6947,34.4269,37.0851,36.3031,36.4724,39.8692,45.0552,44.8881,46.5628,46.122,46.5913,50.0071,51.6118,54.2559,57.774,60.1437,60.1471,61.9289,63.3848,66.2524,68.925,74.1125,76.0272,81.175,85.5035,83.5414,79.3802,84.0947,81.6772,83.4622,88.403,78.6688,81.6752,78.6266,77.2549,81.1803,80.6373,79.3257,82.6397,79.3421,79.4709,80.4576,83.9334,77.1334,77.3347,77.5754,81.0456,84.4512,84.2258,83.5248,81.5883,81.9584,85.9521,87.8089,93.4656,92.8841,94.2608,91.923,89.113,88.2875,81.4958,86.0418,83.8026,81.2778,81.7035,78.006,80.1987,80.8729,83.5135,80.0305,80.3686,80.8307,81.594,82.7441,84.2326,86.0101,88.027,90.2169,92.5152,94.8729,97.2392,99.5623,101.8947,104.3328,106.888,109.5706,112.3898,115.3416,118.41,121.5857,124.8593,128.2208,131.6824,135.2589,138.9437,142.7302,146.6113,150.5897,154.6722,158.8582,163.1472,167.5385,171.7546,176.222,180.881,185.6706,190.5285,195.3893,200.1909,204.8743,209.3791,213.6441,217.7262,221.727,225.651,229.5023,233.2855,236.9946,240.627,244.1917,247.6976,251.1534,254.7078,258.4344,262.2291,265.9865,269.6006,272.9769,276.0232,278.636,280.7113,282.145,283.2106,284.2445,285.2375,286.1796,287.0611,287.8663,288.5834,289.2078,289.7343,290.1574,290.4762,290.7026,290.8499,290.9304,290.9557,290.9233,290.8245,290.6616,290.4364,290.1508
