code,KYOTOGHGAR4_IPCMAGELV_TOTAL_NET_HISTCR_PRIMAPHIST21
entity,KYOTOGHGAR4
category,IPCMAGELV
name_category,AgricultureExcludingLivestock
type,NET
class,TOTAL
source,PRIMAPHIST21
descr,Result of CH4+N2O_IPCMAGELV_TOTAL_NET_HISTCR_PRIMAPHIST21X+CO2_IPCMAGELV_TOTAL_NET_HISTCR_PRIMAPHIST21X - regarding information just missing in one of the tables as zero | built by Johannes Guetschow
note,calculated by the function combine_tables_varying_in_one_sheet_as by CC and JN from PRIMAP | built by Johannes Guetschow
scenario,HISTCR
datatype,CountryYearMatrix
tablekind,usr
family,emi
subsource,Summary1.As2; Table10s3; Table3.D; Table3s1; Table3s2
unit,MtCO2eq
gwp,AR4
iso3,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ABW,3.486e-06,3.5591e-06,3.6303e-06,3.6984e-06,3.7623e-06,3.8208e-06,3.8727e-06,3.9168e-06,3.9521e-06,3.9772e-06,3.9911e-06,3.998e-06,4.003e-06,4.0067e-06,4.0095e-06,4.0119e-06,4.0143e-06,4.0173e-06,4.0212e-06,4.0266e-06,4.0339e-06,4.1017e-06,4.2726e-06,4.5227e-06,4.828e-06,5.1648e-06,5.5092e-06,5.8372e-06,6.1252e-06,6.3491e-06,6.4851e-06,6.5621e-06,6.6266e-06,6.681e-06,6.7278e-06,6.7698e-06,6.8092e-06,6.8487e-06,6.8908e-06,6.9381e-06,1.0468e-05,1.0616e-05,1.0931e-05,1.1396e-05,1.1996e-05,1.2712e-05,1.3529e-05,1.4429e-05,1.5397e-05,1.6413e-05,1.7463e-05,1.8928e-05,2.1078e-05,2.373e-05,2.67e-05,2.9805e-05,3.2863e-05,3.5689e-05,3.8101e-05,3.9915e-05,4.0948e-05,4.1514e-05,4.2047e-05,4.2541e-05,4.2993e-05,4.3396e-05,4.3748e-05,4.4044e-05,4.4278e-05,4.4446e-05,4.4543e-05,4.4476e-05,4.4189e-05,4.3736e-05,4.3172e-05,4.2551e-05,4.1928e-05,4.1356e-05,4.0891e-05,4.0587e-05,4.0498e-05,4.0768e-05,4.1461e-05,4.2509e-05,4.3844e-05,4.5398e-05,4.7104e-05,4.8895e-05,5.0702e-05,5.2458e-05,5.4095e-05,5.7606e-05,6.4511e-05,7.4035e-05,8.5403e-05,9.7838e-05,0.00011057,0.00012281,0.0001338,0.00014275,0.00014889,0.00015494,0.00016371,0.00017456,0.00018686,0.00019997,0.00021328,0.00022613,0.0002379,0.00024796,0.00025568,0.00026598,0.00028307,0.00030523,0.00033073,0.00035784,0.00038484,0.00040999,0.00043157,0.00044784,0.00043672,0.00043786,0.00043729,0.000439,0.0004407,0.00044241,0.00044127,0.00044241,0.000439,0.00043843,0.00044127,0.00044867,0.00045321,0.00045321,0.00045776,0.0004572,0.00045151,0.00046345,0.000468,0.00046971,0.0012516,0,0,3.576e-06,6.258e-06,4.172e-06,2.682e-06,6.854e-06,7.748e-06,8.046e-06,1.1622e-05,1.192e-05,1.6688e-05,1.49e-05,2.1754e-05,2.1754e-05,2.1754e-05,2.1754e-05,2.1754e-05,2.1754e-05,2.1754e-05,2.1754e-05,2.1754e-05,2.6329e-05,2.7398e-05,2.8466e-05,2.9535e-05,3.0603e-05
AFG,0.385,0.40981,0.43414,0.45791,0.48105,0.50348,0.52512,0.54589,0.56572,0.58452,0.60221,0.61908,0.63545,0.65137,0.66686,0.68195,0.69667,0.71104,0.7251,0.73888,0.7524,0.7695,0.79299,0.82127,0.8528,0.886,0.9193,0.95114,0.97995,1.0042,1.0222,1.036,1.0485,1.06,1.0706,1.0805,1.0898,1.0986,1.1073,1.1158,1.1436,1.1443,1.1454,1.1467,1.1483,1.1501,1.1521,1.1543,1.1566,1.159,1.1615,1.1644,1.1679,1.1719,1.1764,1.1812,1.1863,1.1915,1.1968,1.2021,1.2072,1.2121,1.2166,1.2209,1.2254,1.2301,1.2354,1.2413,1.2482,1.2561,1.2654,1.282,1.3101,1.3476,1.3922,1.4417,1.4938,1.5463,1.5969,1.6434,1.6837,1.7188,1.752,1.7836,1.8143,1.8445,1.8747,1.9054,1.937,1.9702,2.0054,2.0594,2.1441,2.2525,2.3776,2.5124,2.6499,2.7829,2.9046,3.0077,3.0869,3.1579,3.2425,3.3365,3.436,3.5375,3.6359,3.7291,3.8101,3.8761,3.923,3.8947,3.87,3.9207,4.0223,4.0975,4.1834,4.2123,4.3562,4.337,4.3493,4.3078,3.6067,3.8682,4.1405,4.4217,4.5263,4.462,4.4049,4.2732,4.2568,4.1385,4.1692,3.9123,3.7414,3.472,3.0708,3.3248,3.4892,3.4361,3.3943,3.468,3.4142,3.4653,3.2492,3.3293,3.5645,3.8751,4.1761,4.2793,3.7145,3.288,3.8665,4.1984,4.1679,4.1846,3.9889,3.9433,4.3135,4.5625,5.0563,5.0806,5.1144,5.1608,5.5099,4.8228,5.0899,5.2863
AGO,3.0087,3.1034,3.1969,3.289,3.3797,3.4687,3.5558,3.641,3.724,3.8047,3.8829,3.9594,4.0348,4.1094,4.1831,4.2562,4.3286,4.4005,4.472,4.5431,4.6139,4.6935,4.7882,4.8945,5.0088,5.1274,5.2467,5.3632,5.4731,5.5729,5.659,5.7357,5.8103,5.883,5.9543,6.0246,6.0943,6.1637,6.2334,6.3037,6.397,6.4169,6.4388,6.4624,6.4877,6.5146,6.5429,6.5725,6.6033,6.6352,6.668,6.7023,6.7388,6.7773,6.8179,6.8605,6.9051,6.9516,7.0001,7.0505,7.1027,7.1668,7.2506,7.3506,7.4635,7.5859,7.7142,7.8452,7.9754,8.1014,8.2197,8.3491,8.5045,8.6774,8.8591,9.0409,9.2142,9.3704,9.5008,9.5967,9.6496,9.6614,9.6445,9.6064,9.5542,9.4953,9.4368,9.3861,9.3505,9.3371,9.3533,9.6692,10.47,11.6362,13.048,14.5856,16.1292,17.5592,18.7558,19.5992,19.9698,19.926,19.6459,19.1891,18.6153,17.9842,17.3553,16.7883,16.3428,16.0784,16.0548,16.1197,16.127,16.1664,16.2445,16.343,16.3872,16.4922,16.5001,16.5591,29.9891,12.6068,14.3188,16.0119,12.6441,16.816,13.8451,17.2785,18.5283,27.32,20.6935,16.5152,19.8661,19.4707,12.4168,12.8961,12.0675,20.754,11.1421,14.0451,28.697,28.7398,28.7907,28.7542,28.8213,28.7142,24.0198,23.4233,25.9545,23.7856,24.4778,26.8561,29.2894,33.5257,33.4183,33.3435,29.7182,32.932,30.569,30.5695,32.0971,33.0864,31.1242,32.288,30.6415,32.1945,31.9229,31.2434
ALB,0.025154,0.025678,0.026188,0.026676,0.027134,0.027554,0.027927,0.028244,0.028497,0.028679,0.02878,0.02883,0.028868,0.028896,0.028918,0.028937,0.028956,0.028979,0.02901,0.029051,0.029105,0.029593,0.030818,0.03261,0.034798,0.037211,0.039678,0.042029,0.044092,0.045698,0.046674,0.047229,0.047694,0.048087,0.048426,0.04873,0.049016,0.049303,0.049609,0.049951,0.055434,0.051923,0.048558,0.045391,0.042476,0.039865,0.037613,0.035772,0.034395,0.033536,0.033247,0.033313,0.033479,0.033741,0.034097,0.034543,0.035074,0.035689,0.036383,0.037152,0.037994,0.039894,0.043665,0.049045,0.055772,0.063585,0.072222,0.08142,0.090919,0.10046,0.10977,0.12065,0.13442,0.15013,0.16683,0.18357,0.19941,0.21338,0.22454,0.23194,0.23462,0.2315,0.22299,0.21012,0.19487,0.1784,0.16298,0.14954,0.13763,0.13004,0.12977,0.13801,0.16405,0.19759,0.23912,0.28827,0.3427,0.39528,0.43409,0.46869,0.47816,0.48799,0.49537,0.50255,0.50958,0.5167,0.52364,0.53584,0.53731,0.54498,0.55659,0.61713,0.62057,0.60654,0.61281,0.64941,0.66016,0.69221,0.71926,0.68475,0.72752,0.76225,0.76225,0.79888,0.81253,0.81583,0.92434,0.97892,1.1755,1.191,1.1997,1.2428,1.2403,1.2767,1.2944,1.2717,1.2992,1.2752,1.3369,1.4408,1.3627,0.94303,0.88131,0.94643,1.1457,1.1355,0.98596,0.92516,0.98999,0.91447,0.96836,0.93468,1.1014,1.0978,1.0805,1.0604,1.0146,0.99513,0.9389,0.95249,0.93871,0.97065,0.97407,0.9569,0.97085,1.0114,1.0478,1.0126
AND,0.00012657,0.00012741,0.00012836,0.00012943,0.00013059,0.00013184,0.00013317,0.00013455,0.00013599,0.00013746,0.00013896,0.00014051,0.00014216,0.00014391,0.00014575,0.00014769,0.00014973,0.00015187,0.00015411,0.00015645,0.0001589,0.00016187,0.00016568,0.00017014,0.00017508,0.00018033,0.00018572,0.00019106,0.00019618,0.00020092,0.00020509,0.0002089,0.00021267,0.00021644,0.00022021,0.00022401,0.00022785,0.00023175,0.00023572,0.0002398,0.00023495,0.00024041,0.0002456,0.00025046,0.00025493,0.00025894,0.00026242,0.00026531,0.00026754,0.00026904,0.00026975,0.00026981,0.00026947,0.00026881,0.00026792,0.00026689,0.00026581,0.00026478,0.00026387,0.00026318,0.00026281,0.00026228,0.00026124,0.00025985,0.00025832,0.00025683,0.00025558,0.00025475,0.00025454,0.00025514,0.00025674,0.00026219,0.00027325,0.00028854,0.00030664,0.00032614,0.00034563,0.00036371,0.00037896,0.00038999,0.00039538,0.00039626,0.00039499,0.00039203,0.00038782,0.00038282,0.0003775,0.00037229,0.00036766,0.00036407,0.00036195,0.00036578,0.00037832,0.00039746,0.00042109,0.00044713,0.00047346,0.00049798,0.0005186,0.0005332,0.00053968,0.00054212,0.00054588,0.0005508,0.00055674,0.00056352,0.000571,0.00057901,0.00058741,0.00059603,0.00060473,0.00061787,0.00063876,0.00066561,0.00069662,0.00073,0.00076397,0.00079671,0.00082646,0.0008514,0.00096813,0.001039,0.0011249,0.0012172,0.0012306,0.0012777,0.001344,0.001429,0.0015511,0.0016644,0.0017293,0.0018506,0.0019675,0.0020841,0.0022059,0.0024,0.0026125,0.002686,0.0028321,0.0030046,0.0030926,0.0032011,0.0031112,0.0031638,0.0031443,0.0029657,0.0030923,0.003053,0.0030301,0.0030547,0.0029202,0.0030337,0.0031164,0.0031828,0.0033576,0.0034765,0.0034785,0.0036228,0.0037354,0.003726,0.003942,0.0035989,0.0037856,0.0039381,0.0040494,0.0039859,0.0040305,0.0040772
ANNEXI,68.2843,69.4503,70.6125,71.7378,72.8417,73.8536,74.7769,75.5784,76.2607,76.7878,77.179,77.4757,77.7514,78.0346,78.3232,78.6122,78.8833,79.2204,79.5559,79.9339,80.3261,81.719,84.7721,89.037,94.0143,99.6731,105.4592,110.8924,115.7338,119.6621,122.2855,123.86,125.2979,126.6199,127.7321,128.7699,129.7694,130.8321,132.0843,133.2245,135.5432,137.8963,140.0298,142.1,144.0697,146.0073,147.7062,149.261,150.6001,151.7725,152.574,153.0401,153.2348,153.622,153.6529,153.8945,154.1126,154.9137,155.0348,155.6383,156.4897,157.9849,160.9016,164.6319,167.5391,171.4833,176.2954,180.6136,183.836,185.2313,188.9412,190.0185,191.4361,192.9094,193.9461,194.5742,195.1493,196.2148,196.6329,197.7717,197.5662,197.2608,196.4549,196.4345,196.4782,196.204,196.2746,196.3641,195.6617,195.8262,197.6055,203.1391,217.7561,239.9619,265.84,291.2932,321.9696,350.601,374.8449,392.3311,402.7115,408.2251,413.4804,419.1154,425.0346,431.943,438.7585,445.2568,451.3664,457.8923,464.6497,492.2506,510.4819,523.8423,532.8843,551.9965,575.1699,597.4084,611.6513,621.3793,631.354,648.2184,664.5853,690.93,696.2603,733.9184,741.9482,737.4014,754.0348,763.3917,777.327,772.281,768.2963,775.8002,797.1103,796.4112,789.6161,783.0562,772.8271,773.9443,765.8238,731.267,707.7898,697.7211,663.2767,660.3826,660.1991,656.3894,667.3058,643.7088,643.3564,642.2633,638.5345,634.0104,666.4057,636.4255,640.0175,649.9068,650.368,650.8448,657.1458,657.5915,641.5382,669.7249,672.9317,686.5704,686.8413,691.6004
ANT,8.4869e-05,8.6648e-05,8.8381e-05,9.004e-05,9.1595e-05,9.3019e-05,9.4282e-05,9.5357e-05,9.6215e-05,9.6828e-05,9.7166e-05,9.7332e-05,9.7454e-05,9.7544e-05,9.7612e-05,9.767e-05,9.773e-05,9.7802e-05,9.7898e-05,9.8029e-05,9.8207e-05,9.9859e-05,0.00010402,0.00011011,0.00011754,0.00012574,0.00013412,0.00014211,0.00014912,0.00015457,0.00015788,0.00015976,0.00016133,0.00016265,0.00016379,0.00016481,0.00016577,0.00016674,0.00016776,0.00016891,0.00025485,0.00025844,0.00026611,0.00027744,0.00029204,0.00030949,0.00032937,0.00035129,0.00037484,0.00039959,0.00042516,0.00046081,0.00051315,0.00057771,0.00065002,0.00072562,0.00080006,0.00086887,0.00092759,0.00097175,0.0009969,0.0010107,0.0010237,0.0010357,0.0010467,0.0010565,0.0010651,0.0010723,0.001078,0.0010821,0.0010844,0.0010828,0.0010758,0.0010648,0.001051,0.0010359,0.0010208,0.0010068,0.00099552,0.00098811,0.00098594,0.00099252,0.0010094,0.0010349,0.0010674,0.0011052,0.0011468,0.0011904,0.0012344,0.0012771,0.001317,0.0014024,0.0015706,0.0018024,0.0020792,0.0023819,0.0026918,0.0029899,0.0032574,0.0034753,0.0036249,0.0037722,0.0039856,0.0042497,0.0045491,0.0048685,0.0051923,0.0055052,0.0057918,0.0060368,0.0062245,0.0057216,0.00596,0.0060494,0.0060494,0.0059302,0.0060196,0.0062878,0.0063176,0.0058408,0.0055726,0.005662,0.005662,0.0056322,0.005513,0.0050362,0.005066,0.005066,0.0050362,0.0050958,0.0052448,0.0053044,0.0054236,0.0052746,0.0051554,0.0038144,0.0034568,0.0035164,0.003427,0.0033972,0.0035164,0.003278,0.0032184,0.0030992,0.003129,0.0030396,0.0031886,0.0030098,0.0031588,0.0029204,0.0032482,0.0031588,0.0033972,0.003427,0.0034866,0.0034568,0.0034866,0.003576,0.0036356,0.0036356,0.0037548,0.003725,0.003725,0.0037548,0.0037846,0.0037846,0.0037548,0.0037846
AOSIS,0.50983,0.52723,0.54591,0.56577,0.58672,0.60865,0.63148,0.6551,0.6794,0.70431,0.72971,0.7559,0.78323,0.81174,0.84143,0.87233,0.90446,0.93783,0.97247,1.0084,1.0456,1.0884,1.1396,1.1977,1.2609,1.3274,1.3956,1.4637,1.5299,1.5926,1.65,1.7042,1.7584,1.813,1.868,1.9236,1.9799,2.0372,2.0956,2.1553,2.2615,2.2743,2.2922,2.3146,2.3412,2.3714,2.4048,2.4409,2.4792,2.5193,2.5607,2.6121,2.6799,2.7601,2.8486,2.9416,3.0349,3.1246,3.2067,3.2775,3.3328,3.3831,3.4402,3.5019,3.5675,3.6347,3.7026,3.7696,3.8351,3.892,3.9466,4.0065,4.0813,4.1707,4.2697,4.3693,4.4636,4.5522,4.64,4.7028,4.7409,4.7555,4.7706,4.7873,4.7994,4.8061,4.8175,4.8415,4.8664,4.8991,4.9433,5.0827,5.4347,5.9222,6.5214,7.1731,7.8299,8.4619,9.0043,9.4189,9.6392,9.8066,10.0326,10.2919,10.574,10.9053,11.2153,11.6864,12.0744,12.2951,12.4673,12.0101,12.5215,12.3607,13.6859,13.4565,14.1095,14.2249,14.4319,14.4581,14.5917,13.9932,13.6862,14.1716,14.4889,15.0146,15.046,16.0133,15.5481,15.7444,15.9284,16.1289,16.4441,15.6422,16.4413,15.9673,16.3819,16.092,15.6537,16.5334,15.402,15.296,15.0756,13.9686,13.8249,14.2955,14.8112,15.6188,15.5052,15.3636,15.4078,15.8233,15.3627,15.0255,14.8363,13.9133,13.9615,13.5673,13.462,13.4936,13.3957,13.6388,13.6115,13.784,14.0681,14.1827,13.7148,14.0413
ARE,0.01296,0.013231,0.013496,0.013749,0.013987,0.014204,0.014397,0.014561,0.014692,0.014786,0.014837,0.014863,0.014881,0.014895,0.014906,0.014914,0.014924,0.014935,0.014949,0.014969,0.014996,0.015249,0.015884,0.016814,0.017949,0.019201,0.020481,0.021701,0.022771,0.023603,0.024109,0.024395,0.024635,0.024837,0.025011,0.025167,0.025314,0.025461,0.025617,0.025793,0.027009,0.027051,0.02711,0.027186,0.027276,0.027378,0.027492,0.027615,0.027746,0.027882,0.028023,0.028182,0.028372,0.028587,0.028824,0.029076,0.02934,0.029611,0.029885,0.030156,0.03042,0.030663,0.030883,0.031093,0.031302,0.031524,0.03177,0.032052,0.032382,0.032771,0.033231,0.034093,0.035594,0.037611,0.040021,0.042698,0.04552,0.048362,0.0511,0.053611,0.05577,0.05765,0.059424,0.061116,0.062754,0.064361,0.065962,0.067584,0.069252,0.07099,0.072823,0.075701,0.080291,0.086195,0.093019,0.10037,0.10784,0.11505,0.12159,0.12706,0.13109,0.13469,0.13901,0.14383,0.14891,0.15403,0.15895,0.16344,0.16727,0.17021,0.17204,0.20913,0.21306,0.21924,0.22655,0.23231,0.23933,0.25305,0.27331,0.29312,0.31497,0.33674,0.36289,0.39603,0.39297,0.3308,0.24559,0.27975,0.34582,0.39998,0.45075,0.48324,0.52303,0.57619,0.60271,0.65958,0.65626,0.72787,0.76903,0.98338,1.0726,1.273,1.4688,1.557,1.749,1.8762,1.9812,2.0325,2.1033,2.2263,2.243,2.1108,2.2454,2.1631,2.0006,1.9446,1.7235,1.5516,1.409,1.2064,0.95101,0.7242,0.49471,0.31281,0.11016,0.11628,0.11728,0.11887
ARG,0.56931,0.58651,0.60492,0.62439,0.64474,0.66581,0.68745,0.70949,0.73175,0.75409,0.77634,0.79901,0.82276,0.84764,0.87369,0.90097,0.9295,0.95934,0.99053,1.0231,1.0572,1.1001,1.1572,1.2256,1.3022,1.3838,1.4676,1.5504,1.6292,1.7009,1.7625,1.8177,1.8723,1.9266,1.981,2.0357,2.0953,2.1515,2.2047,2.28,2.7157,2.735,2.7925,2.8638,2.9574,3.0627,3.1763,3.2954,3.4326,3.582,3.7083,3.9117,4.2003,4.5472,4.9517,5.359,5.8005,6.1689,6.5111,6.7188,6.9172,7.019,7.0879,7.1739,7.2132,7.2416,7.2591,7.2539,7.2995,7.3543,7.4184,7.4241,7.462,7.4812,7.5223,7.5175,7.5069,7.5381,7.5174,7.5227,7.5216,7.5532,7.6289,7.7354,7.8873,8.0378,8.2334,8.4517,8.6402,8.8625,9.0335,9.4442,10.321,11.5555,13.0111,14.603,16.2397,17.8293,19.3024,20.4188,21.4977,22.3832,23.5417,24.9265,26.5484,28.2981,30.1098,31.8372,33.3001,34.7052,35.713,36.4492,36.2061,35.0039,36.7861,38.8305,40.0438,41.7805,41.4732,40.0461,41.307,39.8598,42.1267,42.4547,42.1366,43.2752,45.2784,44.6494,44.5541,44.4752,43.7169,42.5096,42.814,43.0664,42.687,42.1829,41.8635,41.9663,41.4541,41.166,42.4548,42.9828,42.9984,44.5259,41.9024,41.3002,42.9165,41.2924,41.673,41.8028,48.6768,53.7227,49.1189,52.8277,48.7158,49.4244,51.2817,51.5696,47.4295,48.4386,38.7119,37.3845,36.9639,40.8698,41.4368,40.4738,43.7956,45.2595
