code,KYOTOGHGAR4_IPCMAG_TOTAL_NET_HISTCR_PRIMAPHIST21
entity,KYOTOGHGAR4
category,IPCMAG
name_category,Agriculture
type,NET
class,TOTAL
source,PRIMAPHIST21
descr,Result of CH4+N2O_IPCMAG_TOTAL_NET_HISTCR_PRIMAPHIST21X+CO2_IPCMAG_TOTAL_NET_HISTCR_PRIMAPHIST21X - regarding information just missing in one of the tables as zero | built by Johannes Guetschow
note,calculated by the function combine_tables_varying_in_one_sheet_as by CC and JN from PRIMAP | built by Johannes Guetschow
scenario,HISTCR
datatype,CountryYearMatrix
tablekind,usr
family,emi
subsource,Summary1.As2; Table10s3; Table3.D; Table3s1; Table3s2
unit,MtCO2eq
gwp,AR4
iso3,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ABW,5.7929e-06,5.9459e-06,6.1051e-06,6.2685e-06,6.4345e-06,6.6013e-06,6.7671e-06,6.93e-06,7.0884e-06,7.2404e-06,7.3843e-06,7.526e-06,7.6731e-06,7.8261e-06,7.9856e-06,8.1522e-06,8.3264e-06,8.509e-06,8.7003e-06,8.9011e-06,9.1119e-06,9.4174e-06,9.8787e-06,1.0461e-05,1.1131e-05,1.1852e-05,1.2592e-05,1.3314e-05,1.3985e-05,1.457e-05,1.5034e-05,1.542e-05,1.5793e-05,1.6158e-05,1.6519e-05,1.6878e-05,1.7239e-05,1.7606e-05,1.7983e-05,1.8372e-05,2.338e-05,2.4052e-05,2.5828e-05,2.86e-05,3.2259e-05,3.6696e-05,4.1801e-05,4.7467e-05,5.3584e-05,6.0044e-05,6.6737e-05,7.6279e-05,9.0525e-05,0.00010823,0.00012815,0.00014903,0.00016964,0.00018872,0.00020503,0.00021732,0.00022435,0.00022822,0.00023184,0.00023516,0.00023817,0.00024082,0.00024308,0.00024492,0.0002463,0.00024719,0.00024755,0.00024668,0.00024417,0.00024044,0.00023588,0.0002309,0.00022593,0.00022136,0.0002176,0.00021507,0.00021417,0.00021587,0.00022052,0.00022764,0.00023675,0.00024736,0.00025898,0.00027112,0.0002833,0.00029503,0.00030582,0.00031841,0.00033532,0.00035576,0.00037892,0.00040401,0.00043025,0.00045682,0.00048294,0.00050781,0.00053064,0.00056403,0.00061793,0.00068754,0.00076808,0.00085474,0.00094275,0.0010273,0.0011036,0.0011668,0.0012123,0.0012511,0.0012966,0.0013469,0.0014001,0.0014542,0.0015074,0.0015579,0.0016037,0.0016429,0.001674,0.0016764,0.0016733,0.0016767,0.0016792,0.0016825,0.0016826,0.0016862,0.0016795,0.0016822,0.0016855,0.0016957,0.0017011,0.0017011,0.0017056,0.001703,0.0016908,0.0017219,0.0017215,0.001722,0.0025027,0,0,1.2218e-05,2.086e-05,1.49e-05,1.3112e-05,2.6522e-05,2.9204e-05,2.9502e-05,3.7846e-05,3.8144e-05,4.47e-05,4.7382e-05,5.5726e-05,5.5726e-05,5.5726e-05,5.5726e-05,5.5726e-05,5.5726e-05,5.5726e-05,5.5726e-05,5.5726e-05,6.434e-05,6.6313e-05,6.8286e-05,7.0259e-05,7.2232e-05
AFG,0.67774,0.73905,0.79923,0.85822,0.91591,0.97224,1.0271,1.0804,1.1321,1.1821,1.2303,1.277,1.3225,1.3669,1.4101,1.4523,1.4935,1.5336,1.5727,1.6109,1.6481,1.6883,1.7345,1.785,1.8382,1.8924,1.946,1.9975,2.045,2.0871,2.1221,2.1519,2.1797,2.2057,2.23,2.2529,2.2744,2.2948,2.3142,2.3328,2.3864,2.3879,2.3906,2.3944,2.3993,2.4049,2.4113,2.4183,2.4257,2.4335,2.4414,2.4507,2.4621,2.4755,2.4904,2.5066,2.5236,2.5411,2.5588,2.5764,2.5935,2.6093,2.6237,2.6374,2.6514,2.6662,2.6828,2.7017,2.7239,2.7501,2.781,2.8432,2.9561,3.1098,3.2942,3.4995,3.7155,3.9325,4.1404,4.3292,4.4889,4.6258,4.754,4.8754,4.992,5.1059,5.2191,5.3337,5.4515,5.5747,5.7053,5.8579,6.0421,6.2516,6.4802,6.7218,6.9702,7.2194,7.4631,7.6949,7.9104,8.1471,8.439,8.7689,9.1192,9.4734,9.8132,10.1231,10.3827,10.5762,10.6861,10.3169,10.4175,10.7495,10.94,11.1935,11.5862,11.7004,12.0769,11.993,12.1079,12.0001,9.8094,10.4231,11.171,11.964,12.2329,11.9719,11.9028,11.6121,11.6261,11.5839,11.6073,10.9438,9.9015,8.8943,7.3537,7.9423,8.331,8.2276,8.156,8.4765,8.4832,8.5633,8.538,8.975,9.9854,10.9606,11.7606,12.799,10.9939,9.3166,11.6,12.0852,11.8315,12.1188,12.0748,12.1314,13.4483,13.8596,15.8493,15.9059,15.793,15.7391,16.2268,15.1511,15.3532,15.2837
AGO,3.0611,3.1576,3.2528,3.3467,3.439,3.5296,3.6184,3.7052,3.7898,3.872,3.9518,4.0298,4.1068,4.1828,4.2581,4.3326,4.4065,4.4798,4.5527,4.6252,4.6975,4.7785,4.8747,4.9826,5.0984,5.2186,5.3396,5.4576,5.569,5.6703,5.7578,5.8359,5.9118,5.9859,6.0585,6.1301,6.2011,6.2719,6.3429,6.4145,6.5111,6.5329,6.5567,6.5824,6.6098,6.6389,6.6695,6.7014,6.7346,6.769,6.8043,6.841,6.8798,6.9205,6.9634,7.0085,7.0558,7.1054,7.1574,7.2118,7.2687,7.3404,7.436,7.5513,7.6823,7.8247,7.9743,8.1268,8.2782,8.4242,8.5606,8.708,8.8836,9.0778,9.2809,9.4835,9.6758,9.8484,9.9917,10.0961,10.152,10.1617,10.1393,10.093,10.0309,9.9611,9.8918,9.8312,9.7873,9.7684,9.7826,10.1331,11.0282,12.3333,13.9136,15.6347,17.3619,18.9605,20.296,21.2338,21.6392,21.5777,21.2493,20.7214,20.0611,19.3357,18.6126,17.9591,17.4424,17.1297,17.0885,17.405,17.5027,17.6039,17.8122,18.0366,18.1662,18.4361,18.4526,18.6838,32.2935,15.0927,16.8818,18.6289,15.3152,19.5409,16.4134,19.9004,21.246,30.1423,23.6077,19.4805,22.8823,22.5367,15.5339,16.063,15.2841,23.8933,14.2037,17.0329,31.6815,31.7642,31.8659,31.7365,31.7106,31.6012,27.1933,26.8264,29.6651,27.5041,28.3509,30.7447,33.1597,37.3671,37.2123,37.4731,33.9601,37.2919,35.049,35.1483,36.8351,37.9345,36.1125,37.4244,35.9329,37.6597,37.3851,36.7733
ALB,0.14466,0.14525,0.14583,0.14641,0.14696,0.14748,0.14796,0.14839,0.14877,0.14907,0.14929,0.14947,0.14965,0.14983,0.15001,0.15019,0.15039,0.1506,0.15083,0.15108,0.15136,0.15213,0.15372,0.15596,0.15864,0.16158,0.16459,0.16748,0.17006,0.17214,0.17352,0.17445,0.17528,0.17604,0.17674,0.17742,0.17808,0.17875,0.17944,0.18019,0.19517,0.18264,0.1706,0.15923,0.14875,0.13933,0.13119,0.12452,0.11951,0.11637,0.11528,0.11546,0.11593,0.11671,0.11777,0.11911,0.12072,0.1226,0.12472,0.12709,0.12969,0.13632,0.15008,0.16994,0.19488,0.22384,0.25581,0.28974,0.32462,0.35939,0.39303,0.43165,0.47992,0.5346,0.59247,0.65029,0.70484,0.75289,0.79121,0.81658,0.82576,0.81467,0.78456,0.73985,0.68595,0.6274,0.56991,0.51782,0.47407,0.44487,0.43664,0.45296,0.50116,0.56781,0.65031,0.74517,0.84692,0.94532,1.0253,1.0934,1.1256,1.1508,1.1721,1.192,1.2106,1.2282,1.2449,1.2662,1.2763,1.2922,1.3119,1.3673,1.3769,1.358,1.3696,1.4608,1.4692,1.5102,1.4778,1.4328,1.4692,1.4802,1.4629,1.5157,1.5599,1.5741,1.7304,1.8226,2.0787,2.1349,2.172,2.2377,2.2438,2.2971,2.3157,2.2531,2.3242,2.3785,2.4981,2.6258,2.5001,2.0429,1.9225,2.0773,2.3911,2.4681,2.3978,2.3279,2.4139,2.4244,2.9371,2.8511,2.9614,2.9727,2.9393,2.8456,2.7635,2.6301,2.4749,2.3964,2.3911,2.4115,2.4417,2.4297,2.4613,2.5084,2.5358,2.4661
AND,0.00065731,0.00065867,0.00066076,0.00066355,0.00066703,0.00067114,0.00067587,0.00068119,0.00068706,0.00069345,0.00070033,0.00070774,0.00071571,0.00072423,0.00073328,0.00074286,0.00075295,0.00076353,0.00077461,0.00078616,0.00079817,0.00081121,0.00082571,0.00084139,0.00085801,0.00087531,0.00089302,0.0009109,0.00092868,0.0009461,0.00096292,0.0009794,0.00099599,0.0010127,0.0010295,0.0010465,0.0010637,0.0010809,0.0010984,0.0011161,0.00097557,0.0010875,0.0011923,0.0012889,0.0013762,0.001453,0.0015184,0.0015712,0.0016104,0.0016348,0.0016433,0.0016352,0.0016126,0.0015792,0.0015385,0.0014941,0.0014497,0.0014089,0.0013752,0.0013522,0.0013437,0.0013442,0.0013461,0.0013494,0.001354,0.0013599,0.0013671,0.0013755,0.0013852,0.001396,0.001408,0.0014255,0.0014518,0.0014848,0.0015227,0.0015636,0.0016055,0.0016466,0.0016849,0.0017185,0.0017456,0.0017697,0.0017952,0.0018211,0.0018465,0.0018704,0.0018919,0.00191,0.0019238,0.0019323,0.0019345,0.0019382,0.0019504,0.0019692,0.0019924,0.0020179,0.0020439,0.0020682,0.0020887,0.0021035,0.0021105,0.0021205,0.0021437,0.0021769,0.002217,0.002261,0.0023057,0.0023481,0.002385,0.0024134,0.0024302,0.0024459,0.0024718,0.0025055,0.0025448,0.0025873,0.0026308,0.0026728,0.0027112,0.0027436,0.00298,0.003161,0.0033526,0.0035992,0.0037846,0.0039541,0.0041101,0.0042666,0.0044881,0.0047275,0.0049193,0.0051569,0.0053924,0.0056492,0.00592,0.006197,0.0065739,0.00663,0.0068362,0.0071455,0.0074211,0.0075268,0.0073284,0.0072718,0.0072153,0.0069973,0.0071768,0.0071221,0.0069833,0.0070465,0.0069542,0.0073258,0.0076225,0.0078933,0.0083132,0.0087086,0.0088749,0.0091743,0.0093629,0.0093411,0.0095215,0.0091304,0.0093758,0.0094762,0.0096981,0.0093788,0.0095182,0.0094685
ANNEXI,345.697,347.1019,348.7475,350.5931,352.6467,354.8299,357.1385,359.5316,362.0044,364.513,367.0692,369.7149,372.5262,375.5263,378.708,382.0612,385.5627,389.2909,393.1734,397.2491,401.4845,406.9513,414.3688,423.2457,433.0401,443.6781,454.5628,465.1713,475.2219,484.3503,492.1223,498.8325,505.4592,512.0216,518.4235,524.7985,531.181,537.6702,544.3907,551.0392,538.5447,553.5434,567.6996,581.0121,593.286,604.4321,614.0863,622.1856,628.5007,632.923,635.0907,635.1758,633.7152,631.5196,628.3868,625.2308,622.1639,620.1396,618.2415,617.9788,619.4638,624.3962,634.1338,647.33,661.6094,678.0931,695.8733,712.8495,727.6809,738.8974,749.9021,756.7922,764.0378,771.2938,778.0074,784.1464,790.0059,796.0691,801.1377,806.5195,810.0891,812.7212,813.8327,814.9296,815.5107,815.4143,815.5233,815.7319,815.4495,816.5552,820.017,828.8231,848.7517,877.9288,912.0588,946.6652,987.0167,1025.4659,1059.2909,1085.7424,1104.093,1118.8163,1136.4969,1157.0048,1179.4772,1203.8514,1228.2778,1251.7644,1273.4722,1293.4387,1310.7114,1344.5826,1383.1216,1405.6637,1411.1518,1436.051,1464.0065,1502.1698,1521.6591,1532.3253,1544.0876,1576.769,1606.8597,1647.2525,1679.1262,1729.9919,1727.2498,1710.8414,1719.7258,1724.1573,1746.637,1742.7573,1742.8933,1740.8029,1767.913,1758.1348,1741.3648,1718.4786,1698.0156,1697.5441,1682.6815,1629.8919,1582.1005,1557.4695,1516.3151,1500.5976,1484.2533,1460.6207,1459.4688,1423.8293,1419.1823,1416.412,1407.2216,1398.5248,1421.3349,1392.7122,1393.4741,1409.3856,1400.3809,1393.5492,1391.3655,1392.0728,1380.8902,1407.5123,1412.1409,1429.8902,1434.9689,1451.5385
ANT,9.863e-05,0.00010113,0.00010369,0.0001063,0.00010892,0.00011152,0.00011407,0.00011653,0.00011888,0.00012109,0.00012312,0.00012508,0.00012711,0.0001292,0.00013138,0.00013366,0.00013603,0.00013853,0.00014114,0.0001439,0.0001468,0.00015133,0.00015857,0.00016791,0.00017875,0.00019048,0.00020248,0.00021417,0.00022493,0.00023415,0.00024123,0.0002469,0.00025234,0.0002576,0.00026276,0.00026787,0.000273,0.0002782,0.00028355,0.00028911,0.00037734,0.00038731,0.00041321,0.00045349,0.00050656,0.00057086,0.00064481,0.00072683,0.00081536,0.00090883,0.0010057,0.0011435,0.0013491,0.0016045,0.0018917,0.0021929,0.0024899,0.002765,0.0030001,0.0031773,0.0032785,0.0033343,0.0033863,0.0034343,0.0034777,0.003516,0.0035487,0.0035753,0.0035954,0.0036084,0.0036138,0.0036017,0.003566,0.0035127,0.0034476,0.0033766,0.0033055,0.0032403,0.0031867,0.0031506,0.0031379,0.0031624,0.0032295,0.0033321,0.0034634,0.0036162,0.0037836,0.0039586,0.0041342,0.0043034,0.0044592,0.0046501,0.0049192,0.0052512,0.0056307,0.0060426,0.0064717,0.0069026,0.0073201,0.007709,0.0080539,0.0085416,0.0093231,0.01033,0.011493,0.012744,0.014014,0.015234,0.016337,0.017253,0.017913,0.016267,0.016808,0.016962,0.016962,0.016703,0.016955,0.01755,0.01766,0.01651,0.015925,0.016181,0.016224,0.016074,0.015747,0.0137,0.013797,0.013797,0.01365,0.013784,0.014125,0.014268,0.014439,0.013741,0.013267,0.0095645,0.0088119,0.0090169,0.00871,0.0086177,0.0087369,0.0083162,0.0081316,0.0077724,0.0075422,0.0074578,0.007607,0.0074209,0.0078472,0.0073188,0.0078241,0.0078647,0.0084979,0.0083702,0.0086948,0.008635,0.0086748,0.0089165,0.0090386,0.0090436,0.0091928,0.009168,0.0092455,0.0092878,0.0093351,0.0093176,0.0093053,0.0093526
AOSIS,0.67027,0.69278,0.7167,0.74194,0.76837,0.79591,0.82445,0.85388,0.88409,0.91499,0.94647,0.97881,1.0124,1.0473,1.0834,1.1208,1.1595,1.1996,1.241,1.2838,1.3279,1.3777,1.4364,1.5021,1.5731,1.6475,1.7237,1.7997,1.8739,1.9444,2.0094,2.0712,2.133,2.1951,2.2576,2.3207,2.3846,2.4495,2.5154,2.5827,2.7153,2.7271,2.755,2.7975,2.8532,2.9205,2.9979,3.0839,3.1771,3.2758,3.3787,3.5178,3.7163,3.9591,4.2313,4.5178,4.8036,5.0738,5.3132,5.5072,5.6407,5.7447,5.8581,5.9774,6.1006,6.2242,6.3459,6.4629,6.5733,6.6687,6.7541,6.8328,6.9128,6.9969,7.083,7.1652,7.2407,7.3119,7.387,7.4446,7.4881,7.5276,7.5919,7.6776,7.7747,7.8778,7.9932,8.1247,8.2563,8.3907,8.5278,8.7644,9.2328,9.8529,10.5983,11.407,12.229,13.0316,13.7474,14.3354,14.7263,15.162,15.8298,16.6641,17.6142,18.6666,19.7105,20.8882,21.9155,22.668,23.2242,21.5853,22.8501,22.9456,24.7272,24.9162,25.7886,26.0614,26.4372,26.319,26.3325,25.6119,25.3107,25.7883,26.2794,26.8687,27.0831,27.9178,27.311,27.4114,27.7387,27.7848,28.3625,27.8201,28.6284,28.1696,28.5404,28.2503,27.7576,28.8591,27.5902,27.8087,28.2727,27.2394,27.3658,28.0314,28.8866,30.1078,30.5172,30.2693,30.7206,31.6332,31.5743,31.6252,31.9926,30.8517,31.2333,31.8706,32.0818,32.5188,32.8945,33.3528,33.3076,33.5482,33.8769,34.1157,34.0585,34.1125
ARE,0.051863,0.053445,0.055005,0.05654,0.058045,0.059516,0.06095,0.062342,0.063688,0.064984,0.066226,0.06743,0.068616,0.069786,0.070942,0.072087,0.073222,0.074349,0.075471,0.076589,0.077707,0.079044,0.080762,0.082772,0.084982,0.087304,0.089649,0.091925,0.094044,0.095915,0.097449,0.098756,0.10001,0.10122,0.1024,0.10356,0.1047,0.10584,0.10699,0.10815,0.11038,0.11048,0.11065,0.11089,0.11119,0.11156,0.11196,0.11241,0.11288,0.11337,0.11388,0.11447,0.11519,0.11603,0.11697,0.11798,0.11905,0.12014,0.12125,0.12234,0.12341,0.12439,0.12527,0.12611,0.12696,0.12786,0.12886,0.13002,0.13138,0.13299,0.1349,0.13883,0.14603,0.15585,0.16766,0.18082,0.19466,0.20856,0.22187,0.23394,0.24414,0.25286,0.26101,0.26873,0.27614,0.28337,0.29055,0.2978,0.30526,0.31304,0.32129,0.33076,0.34194,0.3545,0.36812,0.38247,0.39723,0.41207,0.42667,0.4407,0.45383,0.46855,0.48679,0.50744,0.52936,0.55145,0.57257,0.5916,0.60742,0.61891,0.62495,0.65887,0.66644,0.68344,0.70507,0.72108,0.74209,0.76565,0.79836,0.83303,0.86694,0.90372,0.92623,1.0046,0.94943,0.79803,0.55438,0.65685,0.79366,0.85661,0.98088,1.0556,1.1483,1.2659,1.3522,1.4567,1.5211,1.6495,1.7486,2.0196,2.1767,2.4493,2.7157,2.8882,3.2233,3.4771,3.7816,3.9509,4.1305,4.4425,4.5708,4.3797,4.4842,4.4261,4.1694,4.207,3.7805,3.4428,3.2389,3.1297,2.4411,2.0349,1.6469,1.4039,1.0975,1.1369,1.1513,1.17
ARG,0.64497,0.66607,0.68901,0.71362,0.73974,0.76716,0.79574,0.82527,0.8556,0.88654,0.91791,0.95025,0.98425,1.0199,1.0574,1.0966,1.1376,1.1805,1.2253,1.272,1.3207,1.3791,1.453,1.539,1.634,1.7348,1.8383,1.9411,2.0402,2.1323,2.2143,2.29,2.3654,2.441,2.5171,2.5938,2.6758,2.755,2.8315,2.9305,3.3801,3.4338,3.5897,3.8171,4.1183,4.4762,4.8814,5.3247,5.8124,6.3323,6.8429,7.5975,8.7125,10.0886,11.6522,13.2757,14.9179,16.3985,17.6918,18.6167,19.2257,19.5537,19.8336,20.1133,20.3273,20.5091,20.6567,20.7563,20.8794,20.9823,21.0631,21.0122,20.8955,20.6867,20.4509,20.1448,19.8329,19.5872,19.3384,19.1891,19.1312,19.2595,19.6061,20.1287,20.8131,21.5835,22.4578,23.3847,24.283,25.1872,25.9836,26.9639,28.3876,30.1654,32.1798,34.3654,36.6497,38.96,41.2461,43.2871,45.4212,48.1431,52.3654,57.7545,64.0339,70.8075,77.7223,84.3451,90.2086,95.2323,98.7898,99.9571,99.4674,94.5984,99.4083,107.192,111.1532,115.8967,115.3275,109.742,111.3263,111.639,116.8262,120.4065,119.8044,122.613,126.4434,128.904,124.3081,123.1411,121.1457,118.1589,116.3296,117.9253,118.2754,117.15,115.1479,113.1695,114.0378,114.0478,115.4245,116.755,117.7769,120.249,118.6603,116.3442,117.0584,113.5829,112.9501,112.9092,124.2233,130.9488,130.6489,139.2245,137.5947,138.8343,142.3036,143.0467,135.7417,132.7292,98.2307,98.2724,101.0189,106.4491,107.9846,106.9529,111.7373,114.1081
