code,KYOTOGHGAR4_IPCMAG_TOTAL_NET_HISTORY_UNFCCC2019BI
entity,KYOTOGHGAR4
category,IPCMAG
name_category,Agriculture
type,NET
class,TOTAL
descr,Result of N2O_CAT4_TOTAL_NET_HISTORY_UNFCCC2019BTX+CH4_CAT4_TOTAL_NET_HISTORY_UNFCCC2019BTX - regarding information just missing in one of the tables as zero
note,calculated by the function combine_tables_varying_in_one_sheet_as by CC and JN from PRIMAP
source,UNFCCC2019BI
scenario,HISTORY
datatype,CountryYearMatrix
tablekind,usr
family,emi
subsource,UNFCCC_2019B.csv
unit,MtCO2eq
gwp,AR4
iso3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
ALB,1.0474,1.0097,0.95319,1.0369,1.1202,1.2037,1.2869,1.2869,1.3142,1.3974,1.8476,1.7973,1.7426,1.7561,1.7426,1.6697,1.6361,1.5271,1.4333,1.3455,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ARE,NaN,NaN,NaN,NaN,1.21,NaN,NaN,NaN,NaN,NaN,4.5628,NaN,NaN,NaN,NaN,4.1994,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0856,NaN,NaN
ARG,118.9027,NaN,NaN,NaN,127.0646,NaN,NaN,128.0288,NaN,NaN,133.728,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,126.9831,NaN,126.1888,NaN,NaN,NaN,NaN
ARM,1.1581,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.3315,NaN,NaN,NaN,NaN,NaN,1.7257,NaN,NaN,NaN,1.484,NaN,NaN,NaN,NaN,NaN,NaN
AZE,6.6409,4.9402,5.0079,4.6418,4.1191,4.0539,4.226,4.5597,4.8963,5.5883,5.8644,6.1156,6.4281,6.6246,6.8503,7.0481,7.3045,7.6301,7.8485,7.9177,7.9045,7.7426,7.6548,7.3713,NaN,NaN,NaN
BGD,NaN,NaN,NaN,NaN,32.4614,NaN,NaN,NaN,NaN,NaN,NaN,42.1274,NaN,NaN,NaN,47.3008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BIH,4.8498,4.2702,3.7354,1.3093,1.4806,1.7218,1.9619,2.0764,2.1115,2.2265,2.1434,2.3141,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.888,2.565,NaN,NaN
BOL,10.3293,NaN,NaN,NaN,11.6792,NaN,NaN,NaN,12.7878,NaN,13.58,NaN,12.3872,NaN,13.5938,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BRA,320.0949,329.6199,336.335,338.4325,346.3592,352.8227,338.611,345.3796,349.592,354.0311,365.6246,378.2315,391.946,414.5592,430.0108,436.7756,436.3679,425.4156,432.4069,439.4083,451.0698,463.8352,459.1403,465.382,470.32,474.3284,NaN
CAF,NaN,NaN,NaN,NaN,16.9421,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37.5114,37.5114,37.5114,11.25,11.25,11.25,5.794,5.794,NaN,NaN,NaN,NaN,NaN,NaN
CHL,11.868,NaN,NaN,NaN,13.1123,NaN,NaN,NaN,NaN,NaN,13.6442,NaN,NaN,NaN,NaN,NaN,14.2872,NaN,NaN,NaN,12.758,NaN,NaN,12.3039,NaN,NaN,11.3282
CHN,NaN,NaN,NaN,NaN,664.426,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,908.749,NaN,NaN,NaN,NaN,NaN,NaN,1011.7,NaN,NaN,NaN,NaN
COL,60.5777,NaN,NaN,NaN,66.9321,NaN,NaN,NaN,NaN,NaN,70.2534,NaN,NaN,NaN,74.0904,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CRI,3.2549,NaN,NaN,NaN,NaN,NaN,5.6167,NaN,NaN,NaN,4.9038,NaN,NaN,NaN,NaN,4.9083,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CUB,9.6433,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.7836,NaN,7.3108,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DMA,NaN,NaN,NaN,NaN,0.015298,NaN,NaN,NaN,NaN,NaN,0.049666,0.046674,0.044707,0.046495,0.037347,0.043545,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DOM,2.5345,NaN,NaN,NaN,2.8076,NaN,NaN,NaN,5.6158,NaN,6.1556,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.026,NaN,NaN,NaN,NaN,NaN,NaN
EARTH,907.4044,641.0616,647.9027,654.6351,2173.7949,597.6293,552.5446,686.6288,635.7667,577.7835,1689.364,647.9546,677.4784,688.3879,808.2913,1786.4742,758.5547,680.3897,744.9228,707.8156,1603.2154,726.5802,1949.4201,761.8823,526.1821,476.5687,11.3282
EGY,19.9299,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.451,NaN,NaN,NaN,NaN,40.7713,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ETH,41.611,43.578,41.653,41.528,39.8275,38.8329,40.9192,46.2872,46.675,46.1252,43.3697,45.6619,53.5229,51.9263,54.0904,50.5303,59.1981,60.0041,68.4744,70.6173,73.9767,69.2943,74.7253,75.1916,NaN,NaN,NaN
GEO,NaN,3.546,3.2957,2.5039,2.3739,2.3757,2.5193,NaN,NaN,NaN,3.0504,3.297,3.44,3.515,3.3761,3.708,3.368,2.8747,2.7768,2.8238,2.6131,2.5633,2.7227,2.9647,NaN,NaN,NaN
