code,KYOTOGHGAR4_IPCMLULUCF_TOTAL_NET_HISTCR_PRIMAPHIST20
entity,KYOTOGHGAR4
category,IPCMLULUCF
name_category,LULUCF
type,NET
class,TOTAL
source,PRIMAPHIST20
descr,Result of CH4+N2O_IPCMLULUCF_TOTAL_NET_HISTCR_PRIMAPHIST20X+CO2_IPCMLULUCF_TOTAL_NET_HISTCR_PRIMAPHIST20X - regarding information just missing in one of the tables as zero | built by Johannes Guetschow
note,calculated by the function combine_tables_varying_in_one_sheet_as by CC and JN from PRIMAP | built by Johannes Guetschow
scenario,HISTCR
datatype,CountryYearMatrix
tablekind,usr
family,emi
subsource,Summary1.As2; Table10s2; Table10s3; Table10s4; Table4
unit,MtCO2eq
gwp,AR4
iso3,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
ABW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001184,-0.001184,-0.001184,-0.001184,-0.001184,-0.001184,-0.001184,-0.001184,-0.001184,-0.001184,-0.001184,-0.0007885,-0.0007885,-0.0007885,-0.0007885,-0.0007885,0.0040045,0.0040045,0.0040045,0.0040045,0.0040045,0.0002825,0.0002825,0.0002825,0.0002825,0.0002825,0.0002825
AFG,0.080067,0.080065,0.080062,0.080058,0.080054,0.080048,0.080048,0.080048,0.080048,0.080048,0.080047,0.17497,0.19283,0.20916,0.21731,0.22458,0.23118,0.23725,0.24288,0.24815,0.25313,0.25786,0.26237,0.26668,0.27082,0.27481,0.27793,0.28101,0.28405,0.28673,0.28938,0.29202,0.29465,0.29726,0.29987,0.30248,0.30503,0.30754,0.31,0.31241,0.31479,0.31711,0.3194,0.32164,0.32384,0.326,0.32813,0.33021,0.33225,0.33425,0.33622,0.3837,0.39327,0.40202,0.40684,0.41115,0.41482,0.41813,0.42113,0.42386,0.42634,0.42918,0.4313,0.43329,0.43514,0.43687,0.43774,0.43851,0.43918,0.43961,0.43996,0.44023,0.44044,0.44058,0.44065,0.44067,0.60335,0.63972,0.67232,0.68053,0.68679,0.69851,0.70911,0.71884,0.7279,0.73643,0.74449,0.75217,0.75951,0.76657,0.77337,0.7795,0.78543,0.79119,0.79572,0.8001,0.80425,0.80827,0.81218,0.81597,0.81966,0.6542,0.62097,0.58691,0.54496,0.50311,0.49017,0.47764,0.46557,0.45401,0.44294,0.43217,0.42174,0.41162,0.40177,0.39217,0.4131,0.41674,0.41945,0.41512,0.41038,0.41119,0.41207,0.41296,0.41384,0.41469,0.41545,0.41611,0.41666,0.4171,0.41743,0.32572,0.31745,0.3153,0.34544,0.37868,0.38942,0.40163,0.41491,0.429,0.44388,0.44388,0.44388,0.44388,0.44388,0.44388,0.44388,0.4438,0.44398,0.44375,0.44436,0.4439,0.44367,0.44367,0.44367,0.44367,0.44451,0.44367,0.44458,0.44367,0.44367,0.44367,0.44367,0.44382,0.44388,0.44389,0.44385
AGO,0.48735,0.64403,0.73821,0.74196,0.8085,0.75366,0.8031,0.81551,0.70656,0.61421,0.52191,0.42962,0.52269,0.70271,0.96615,1.3188,1.4666,1.6145,1.6602,1.5741,1.488,1.4043,1.3205,1.4794,1.7149,1.8482,1.9816,2.0293,2.0771,2.1247,2.0509,1.9875,1.924,1.8478,2.0144,2.1809,2.3473,2.4199,2.371,2.2989,2.3839,2.2628,2.143,1.9411,1.7772,1.8931,1.9057,2.107,2.3093,2.3857,2.3492,2.3107,2.6409,3.3601,4.3171,5.5501,7.033,8.5805,10.1335,11.6147,12.9499,14.277,15.6718,16.9689,18.224,19.4669,20.7033,22.1739,23.4955,24.8109,26.1549,27.2772,28.3415,29.3853,30.2478,31.0857,31.8915,32.6671,33.6897,34.7053,35.6193,36.6273,37.5948,38.7585,39.8411,41.4797,42.4627,43.5805,44.6887,46.0051,47.2869,48.437,49.7144,51.0322,52.3644,53.6887,55.1599,56.509,58.672,60.8455,63.1358,65.4656,63.6927,65.4731,67.237,69.1844,71.1114,73.0916,74.7471,76.455,78.1268,79.5026,80.159,83.2228,84.4286,86.0934,85.7353,86.4722,84.3049,88.2946,84.0819,85.5915,87.3443,89.2184,91.0376,85.117,92.3998,82.8994,86.1374,86.4664,82.5647,94.1638,102.1368,109.2468,114.3282,109.1946,107.1632,107.096,112.3006,109.1877,111.6526,111.6526,111.6526,111.6526,111.6526,111.6526,114.6584,109.0868,120.4265,112.9609,112.0353,91.5763,110.0543,113.5145,124.4658,126.0466,98.9577,119.5138,102.1398,103.0656,107.728,136.7934,103.3409,118.1841,97.2063,111.2976,109.3072
AIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.015504,-0.015504,-0.015504,-0.015504,-0.015504,-0.015504,-0.015504,-0.015504,-0.015504,-0.015504,-0.015504,-0.010326,-0.010326,-0.010326,-0.010326,-0.010326,0.05244,0.05244,0.05244,0.05244,0.05244,0.0036989,0.0036989,0.0036989,0.0036989,0.0036989,0.0036989
ALB,2.1093,2.1085,2.1077,2.1069,2.1061,2.1053,2.1044,2.1036,2.1028,2.102,2.1011,2.102,2.1042,2.1068,2.1097,2.113,2.1168,2.1208,2.1251,2.1298,2.1346,1.9814,1.9567,1.9331,1.9105,1.8887,1.8708,1.8543,1.8389,1.8245,1.8111,1.7984,1.7865,1.7754,1.7649,1.7551,1.7597,1.7645,1.7697,1.7751,1.7808,1.7864,1.7921,1.7977,1.8032,1.8086,1.8139,1.8191,1.8241,1.8289,1.8335,1.8403,1.8477,1.8556,1.864,1.8728,1.882,1.8915,1.9013,1.9114,1.9216,1.932,1.9424,1.9528,1.9632,1.9735,1.9856,1.9975,2.0091,2.0205,2.0316,2.044,2.0561,2.0679,2.0793,2.0902,2.0808,2.0679,2.0517,2.0325,2.0101,1.9848,1.9567,1.9259,1.8924,1.8564,1.8195,1.7815,1.7425,1.7027,1.6621,1.6214,1.5805,1.5396,1.4987,1.4579,1.4172,1.3767,1.3363,1.2962,1.2563,1.2247,1.1973,1.1741,1.1547,1.1391,1.1271,1.1186,1.1135,1.1115,1.1127,1.0362,1.0257,1.0174,1.011,1.0063,1.003,1.0007,0.99958,0.99938,0.97822,0.88932,0.81618,0.75666,0.67818,0.59314,0.49988,0.43713,0.35073,0.24678,0.19582,0.18427,0.1208,0.12653,0.08144,0.082114,0.064468,0.066757,0.072973,0.10162,3.5027,3.5432,2.025,1.5198,1.8072,1.5265,1.4446,1.3349,1.0965,0.90794,3.3792,2.5079,2.056,1.7218,1.789,1.7155,1.6389,1.8131,1.1835,0.91117,-0.2108,-0.33618,-0.24888,-0.35748,-0.3577,-0.32278,-0.31901
AND,-0.001807,-0.0018092,-0.0018113,-0.0018135,-0.0018157,-0.001818,-0.0018202,-0.0018225,-0.0018247,-0.001827,-0.0018293,-0.0018269,-0.0018209,-0.0018138,-0.0018056,-0.0017965,-0.0017862,-0.0017751,-0.0017632,-0.0017504,-0.0017369,-0.0021595,-0.0022277,-0.0022927,-0.0023551,-0.0024154,-0.0024645,-0.0025102,-0.0025527,-0.0025924,-0.0026293,-0.0026644,-0.0026972,-0.0027279,-0.0027567,-0.0027837,-0.0027712,-0.0027577,-0.0027435,-0.0027285,-0.0027129,-0.0026973,-0.0026818,-0.0026663,-0.0026511,-0.0026362,-0.0026215,-0.0026073,-0.0025934,-0.0025801,-0.0025676,-0.0025488,-0.0025285,-0.0025066,-0.0024835,-0.0024592,-0.0024339,-0.0024076,-0.0023804,-0.0023526,-0.0023241,-0.0022953,-0.0022663,-0.0022372,-0.0022081,-0.002179,-0.0021451,-0.002112,-0.0020795,-0.0020478,-0.002017,-0.0019826,-0.0019492,-0.0019167,-0.0018853,-0.0018549,-0.0018811,-0.0019166,-0.0019611,-0.0020143,-0.0020759,-0.0021456,-0.0022231,-0.002308,-0.0024002,-0.0024994,-0.0026012,-0.0027058,-0.0028131,-0.0029227,-0.0030346,-0.003147,-0.0032595,-0.0033722,-0.0034849,-0.0035974,-0.0037096,-0.0038214,-0.0039326,-0.0040433,-0.0041531,-0.0042405,-0.0043164,-0.0043812,-0.0044353,-0.0044792,-0.0045132,-0.0045376,-0.0045528,-0.0045589,-0.0045564,-0.004768,-0.0047973,-0.0048208,-0.004839,-0.0048523,-0.0048621,-0.0048687,-0.0048724,-0.0048734,-0.0050099,-0.0051942,-0.0053901,-0.0055969,-0.005814,-0.006041,-0.0062611,-0.0064929,-0.006736,-0.00699,-0.0071454,-0.0072422,-0.0073227,-0.0073876,-0.0074378,-0.0074737,-0.0074952,-0.007503,-0.0074975,-0.0074793,-0.12931,-0.12946,-0.12961,-0.12976,-0.12991,-0.13007,-0.13027,-0.13047,-0.13067,-0.13087,-0.13108,-0.13136,-0.13165,-0.13194,-0.13223,-0.13251,-0.13304,-0.13357,-0.1341,-0.13463,-0.13516,-0.12808,-0.12803,-0.12729,-0.02175,-0.02175,-0.074705
ANNEXI,1021.6326,1026.8187,1265.8617,1295.5798,1324.7225,1352.8595,1379.4944,1405.2362,1429.59,1453.1894,1476.0345,1508.6716,1294.5085,1296.4257,1297.2394,1298.4447,1300.0428,1294.9246,1290.7822,1286.9082,1283.2522,1278.3734,1577.2745,1602.7364,1624.3167,1644.4107,1665.5806,1686.2854,1707.019,1726.9471,1746.2297,1761.0432,1558.9991,1553.1208,1548.4978,1544.5557,1541.9764,1531.0032,1520.0914,1509.4505,1499.1034,1486.1654,1534.0047,1537.2934,1544.7317,1552.2651,1552.7069,1557.713,1555.6147,1553.4994,1551.4051,1558.4337,1442.4614,1424.8996,1402.7298,1381.9467,1367.7505,1352.2608,1344.5664,1336.8762,1328.6612,1323.4472,1240.9379,1247.058,1245.0273,1242.5817,1238.9452,1234.8565,1229.1822,1231.325,1218.2927,1204.8882,1114.7206,1089.9919,1064.5508,1033.6164,1037.3454,1168.3364,1166.5228,1250.3653,1519.6566,1500.8016,1119.9974,1087.7961,1048.6999,1026.744,981.9517,870.0574,857.0628,827.7074,760.6985,690.5253,709.7572,631.0456,589.8808,532.3582,496.8553,519.769,463.535,429.7448,418.2551,936.0444,871.4137,872.5173,949.2695,983.1215,1087.8359,1151.9216,1351.9585,965.086,960.165,880.1965,875.9154,842.7878,822.0751,794.6118,876.4964,853.5124,818.7305,824.385,704.5745,395.1591,355.5155,195.901,152.0249,153.198,210.0777,185.9156,154.9335,152.6351,131.8874,128.7532,126.3223,106.0746,74.1885,91.8033,93.1943,92.5461,113.6909,109.1705,-1032.5694,-1092.5151,-1172.3577,-1245.2501,-1383.152,-1412.0718,-1547.5624,-1625.5223,-1659.7502,-1692.7752,-1691.6541,-1782.2923,-1761.7866,-1774.325,-1750.0369,-1732.101,-1759.6792,-1713.2258,-1805.0081,-1896.7753,-1924.1172,-1963.9009,-1966.8035,-1941.1751,-1965.3729,-1875.8353,-1908.1373
ANT,-3.3376e-18,-5.8698e-05,-0.0001174,-0.00017609,-0.00023479,-0.00029349,-0.00035219,-0.00041088,-0.00046958,-0.00052828,-0.00058698,-0.00064567,-0.00070437,-0.00076307,-0.00082177,-0.00088047,-0.00093916,-0.00099786,-0.0010566,-0.0011153,-0.001174,-0.0012327,-0.0012913,-0.00135,-0.0014087,-0.0014674,-0.0015261,-0.0015848,-0.0016435,-0.0017022,-0.0017609,-0.0018196,-0.0018783,-0.001937,-0.0019957,-0.0020544,-0.0021131,-0.0021718,-0.0022305,-0.0022892,-0.0023479,-0.0024066,-0.0024653,-0.002524,-0.0025827,-0.0026414,-0.0027001,-0.0027588,-0.0028175,-0.0028762,-0.0029349,-0.0029936,-0.0030523,-0.003111,-0.0031697,-0.0032284,-0.0032871,-0.0033458,-0.0034045,-0.0034632,-0.0035219,-0.0035806,-0.0036393,-0.003698,-0.0037567,-0.0038154,-0.003874,-0.0039327,-0.0039914,-0.0040501,-0.0041088,-0.0041675,-0.0042262,-0.0042849,-0.0043436,-0.0044023,-0.004461,-0.0045197,-0.0045784,-0.0046371,-0.0046958,-0.0047545,-0.0048132,-0.0048719,-0.0049306,-0.0049893,-0.005048,-0.0051067,-0.0051654,-0.0052241,-0.0052828,-0.0053415,-0.0054002,-0.0054589,-0.0055176,-0.0055763,-0.005635,-0.0056937,-0.0057524,-0.0058111,-0.0058698,-0.0059285,-0.0059872,-0.0060459,-0.0061046,-0.0061633,-0.006222,-0.0062807,-0.0063394,-0.006398,-0.0064567,-0.0065154,-0.0065741,-0.0066328,-0.0066915,-0.0067502,-0.0068089,-0.0068676,-0.0069263,-0.006985,-0.0070437,-0.0071024,-0.0071611,-0.0072198,-0.0072785,-0.0073372,-0.0073959,-0.0074546,-0.0075133,-0.007572,-0.0076307,-0.0076894,-0.0077481,-0.0078068,-0.0078655,-0.0079242,-0.0079829,-0.0080416,-0.0081003,-0.008159,-0.0033264,-0.0033264,-0.0033264,-0.0033264,-0.0033264,-0.0033264,-0.0033264,-0.0033264,-0.0033264,-0.0033264,-0.0033264,-0.0022154,-0.0022154,-0.0022154,-0.0022154,-0.0022154,0.011251,0.011251,0.011251,0.011251,0.011251,0.0007936,0.0007936,0.0007936,0.0007936,0.0007936,0.0007936
AOSIS,5.862,5.8242,5.7929,5.7649,5.7409,5.7193,5.7012,5.6855,5.6711,5.6589,5.6037,5.7217,5.7679,5.7996,5.8254,5.8501,5.8137,5.7787,5.7448,5.7117,5.7251,6.4303,6.6258,6.7954,6.8711,6.9311,7.0019,7.1078,7.2063,7.299,7.3859,11.4829,12.6449,13.5887,14.3779,15.0542,15.4621,15.762,16.0141,16.2257,16.4115,14.3459,13.9525,13.6552,13.4306,13.2622,13.1553,13.0805,13.029,12.9944,12.9725,20.8263,23.1015,24.9641,26.533,27.8903,28.581,29.1238,29.5781,29.964,30.2656,22.4043,20.1665,18.2047,16.6128,15.224,14.7451,14.3423,14.0161,13.748,13.4965,19.215,20.8335,22.151,23.2581,24.2212,24.488,24.7152,24.8929,25.0305,25.1951,26.7255,27.1622,27.5095,27.7879,28.0178,28.3623,28.6487,28.904,29.1369,29.3507,29.212,29.1828,29.1706,29.1782,29.1847,30.0215,30.5462,31.0735,31.5976,32.1264,42.6071,45.8607,48.2724,50.1219,51.71,52.683,53.4904,54.1332,54.7113,55.2184,69.9189,74.2942,77.8544,80.6858,83.1807,84.4879,85.6232,86.2597,87.0611,88.0873,76.9678,76.2118,73.0137,71.7328,70.948,71.7533,72.3963,71.6198,72.474,72.6441,72.8451,107.3253,109.8486,113.7101,118.683,123.6752,127.858,125.2556,126.0656,-2.1792,-2.137,-2.084,-2.0301,-3.3713,-6.1456,-19.9805,93.5452,-22.2982,-22.3497,-22.3787,-16.2635,3.5152,-22.2881,7.7142,42.1396,129.1477,121.029,130.1923,127.9664,129.1292,56.7936,60.8337,64.3211,72.3473,65.9037,65.2244
ARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1917,-1.1917,-1.1917,-1.1917,-4.227,-5.1333,-6.0397,-6.946,-7.8523,-8.7587,-9.665,-10.3766,-11.0882,-11.7998,-12.5114,-13.223,-0.21267,-0.21267,-0.21267,-0.21267,-0.21267,-0.21267,-0.21267,-0.21267,-0.21267,-0.21267,-0.21267
