code,KYOTOGHGAR4_IPCMLULUCF_TOTAL_NET_HISTCR_PRIMAPHIST21
entity,KYOTOGHGAR4
category,IPCMLULUCF
name_category,LULUCF
type,NET
class,TOTAL
source,PRIMAPHIST21
descr,Result of CH4+N2O_IPCMLULUCF_TOTAL_NET_HISTCR_PRIMAPHIST21X+CO2_IPCMLULUCF_TOTAL_NET_HISTCR_PRIMAPHIST21X - regarding information just missing in one of the tables as zero | built by Johannes Guetschow
note,calculated by the function combine_tables_varying_in_one_sheet_as by CC and JN from PRIMAP | built by Johannes Guetschow
scenario,HISTCR
datatype,CountryYearMatrix
tablekind,usr
family,emi
subsource,Summary1.As2; Table10s2; Table10s3; Table10s4; Table4
unit,MtCO2eq
gwp,AR4
iso3,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ABW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,0.080067,0.080065,0.080062,0.080058,0.080054,0.080048,0.080048,0.080048,0.080048,0.080048,0.080047,0.17497,0.19283,0.20916,0.21731,0.22458,0.23118,0.23725,0.24288,0.24815,0.25313,0.25786,0.26237,0.26668,0.27082,0.27481,0.27793,0.28101,0.28405,0.28673,0.28938,0.29202,0.29465,0.29726,0.29987,0.30248,0.30503,0.30754,0.31,0.31241,0.31479,0.31711,0.3194,0.32164,0.32384,0.326,0.32813,0.33021,0.33225,0.33425,0.33622,0.3837,0.39327,0.40202,0.40684,0.41115,0.41482,0.41813,0.42113,0.42386,0.42634,0.42918,0.4313,0.43329,0.43514,0.43687,0.43774,0.43851,0.43918,0.43961,0.43996,0.44023,0.44044,0.44058,0.44065,0.44067,0.60335,0.63972,0.67232,0.68053,0.68679,0.69851,0.70911,0.71884,0.7279,0.73643,0.74449,0.75217,0.75951,0.76657,0.77337,0.7795,0.78543,0.79119,0.79572,0.8001,0.80425,0.80827,0.81218,0.81597,0.81966,0.6542,0.62097,0.58691,0.54496,0.50311,0.49017,0.47764,0.46557,0.45401,0.44294,0.43217,0.42174,0.41162,0.40177,0.39217,0.4131,0.41674,0.41945,0.41512,0.41038,0.41119,0.41207,0.41296,0.41384,0.41469,0.41545,0.41611,0.41666,0.4171,0.41743,0.32572,0.31745,0.3153,0.34544,0.37868,0.38942,0.40163,0.41491,0.429,0.44369,0.44369,0.44369,0.44369,0.44369,0.44369,0.44388,0.4438,0.44398,0.44375,0.44436,0.44367,0.44367,0.44367,0.44367,0.44367,0.44389,0.44367,0.44367,0.44389,0.44367,0.44367,0.44367,0.44367,0.44367,0.44367,0.44367,0.44368
AGO,0.48735,0.64403,0.73821,0.74196,0.8085,0.75366,0.8031,0.81551,0.70656,0.61421,0.52191,0.42962,0.52269,0.70271,0.96615,1.3188,1.4666,1.6145,1.6602,1.5741,1.488,1.4043,1.3205,1.4794,1.7149,1.8482,1.9816,2.0293,2.0771,2.1247,2.0509,1.9875,1.924,1.8478,2.0144,2.1809,2.3473,2.4199,2.371,2.2989,2.3839,2.2628,2.143,1.9411,1.7772,1.8931,1.9057,2.107,2.3093,2.3857,2.3492,2.3107,2.6409,3.3601,4.3171,5.5501,7.033,8.5805,10.1335,11.6147,12.9499,14.277,15.6718,16.9689,18.224,19.4669,20.7033,22.1739,23.4955,24.8109,26.1549,27.2772,28.3415,29.3853,30.2478,31.0857,31.8915,32.6671,33.6897,34.7053,35.6193,36.6273,37.5948,38.7585,39.8411,41.4797,42.4627,43.5805,44.6887,46.0051,47.2869,48.437,49.7144,51.0322,52.3644,53.6887,55.1599,56.509,58.672,60.8455,63.1358,65.4656,63.6927,65.4731,67.237,69.1844,71.1114,73.0916,74.7471,76.455,78.1268,79.5026,80.159,83.2228,84.4286,86.0934,85.7353,86.4722,84.3049,88.2946,84.0819,85.5915,87.3443,89.2184,91.0376,85.117,92.3998,82.8994,86.1374,86.4664,82.5647,94.1638,102.1368,109.2468,114.3282,109.1946,107.1632,107.096,112.3006,109.1877,106.8952,106.8952,106.8952,106.8952,106.8952,106.8952,114.9023,109.3307,120.6705,113.2048,112.2792,90.1086,106.9117,113.8324,123.9109,122.423,96.3681,118.7897,95.8801,98.9703,100.6642,132.8209,98.9821,112.5915,94.1205,114.5209,89.2471,102.0391
AIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.036667,0,-0.036667,0,-0.036667,0,0,-0.036667,0,0,-0.036667,0,0,0.036667,0.073333,0.036667,0.036667,0.073333,0,0,0,0,0,0,0
ALB,2.1093,2.1085,2.1077,2.1069,2.1061,2.1053,2.1044,2.1036,2.1028,2.102,2.1011,2.102,2.1042,2.1068,2.1097,2.113,2.1168,2.1208,2.1251,2.1298,2.1346,1.9814,1.9567,1.9331,1.9105,1.8887,1.8708,1.8543,1.8389,1.8245,1.8111,1.7984,1.7865,1.7754,1.7649,1.7551,1.7597,1.7645,1.7697,1.7751,1.7808,1.7864,1.7921,1.7977,1.8032,1.8086,1.8139,1.8191,1.8241,1.8289,1.8335,1.8403,1.8477,1.8556,1.864,1.8728,1.882,1.8915,1.9013,1.9114,1.9216,1.932,1.9424,1.9528,1.9632,1.9735,1.9856,1.9975,2.0091,2.0205,2.0316,2.044,2.0561,2.0679,2.0793,2.0902,2.0808,2.0679,2.0517,2.0325,2.0101,1.9848,1.9567,1.9259,1.8924,1.8564,1.8195,1.7815,1.7425,1.7027,1.6621,1.6214,1.5805,1.5396,1.4987,1.4579,1.4172,1.3767,1.3363,1.2962,1.2563,1.2247,1.1973,1.1741,1.1547,1.1391,1.1271,1.1186,1.1135,1.1115,1.1127,1.0362,1.0257,1.0174,1.011,1.0063,1.003,1.0007,0.99958,0.99938,0.97822,0.88932,0.81618,0.75666,0.67818,0.59314,0.49988,0.43713,0.35073,0.24678,0.19582,0.18427,0.1208,0.12653,0.08144,0.082114,0.064468,0.066757,0.072973,0.10162,3.4999,3.5405,2.0222,1.517,1.8044,1.5237,1.4446,1.3349,1.0965,0.90794,3.3792,2.5122,2.056,1.7285,1.789,1.7156,1.6383,1.8306,1.1841,0.9167,-0.2479,-0.29545,-0.29278,-0.39572,-0.39678,-0.37865,-0.39495,-0.36801
AND,-0.001807,-0.0018092,-0.0018113,-0.0018135,-0.0018157,-0.001818,-0.0018202,-0.0018225,-0.0018247,-0.001827,-0.0018293,-0.0018269,-0.0018209,-0.0018138,-0.0018056,-0.0017965,-0.0017862,-0.0017751,-0.0017632,-0.0017504,-0.0017369,-0.0021595,-0.0022277,-0.0022927,-0.0023551,-0.0024154,-0.0024645,-0.0025102,-0.0025527,-0.0025924,-0.0026293,-0.0026644,-0.0026972,-0.0027279,-0.0027567,-0.0027837,-0.0027712,-0.0027577,-0.0027435,-0.0027285,-0.0027129,-0.0026973,-0.0026818,-0.0026663,-0.0026511,-0.0026362,-0.0026215,-0.0026073,-0.0025934,-0.0025801,-0.0025676,-0.0025488,-0.0025285,-0.0025066,-0.0024835,-0.0024592,-0.0024339,-0.0024076,-0.0023804,-0.0023526,-0.0023241,-0.0022953,-0.0022663,-0.0022372,-0.0022081,-0.002179,-0.0021451,-0.002112,-0.0020795,-0.0020478,-0.002017,-0.0019826,-0.0019492,-0.0019167,-0.0018853,-0.0018549,-0.0018811,-0.0019166,-0.0019611,-0.0020143,-0.0020759,-0.0021456,-0.0022231,-0.002308,-0.0024002,-0.0024994,-0.0026012,-0.0027058,-0.0028131,-0.0029227,-0.0030346,-0.003147,-0.0032595,-0.0033722,-0.0034849,-0.0035974,-0.0037096,-0.0038214,-0.0039326,-0.0040433,-0.0041531,-0.0042405,-0.0043164,-0.0043812,-0.0044353,-0.0044792,-0.0045132,-0.0045376,-0.0045528,-0.0045589,-0.0045564,-0.004768,-0.0047973,-0.0048208,-0.004839,-0.0048523,-0.0048621,-0.0048687,-0.0048724,-0.0048734,-0.0050099,-0.0051942,-0.0053901,-0.0055969,-0.005814,-0.006041,-0.0062611,-0.0064929,-0.006736,-0.00699,-0.0071454,-0.0072422,-0.0073227,-0.0073876,-0.0074378,-0.0074737,-0.0074952,-0.007503,-0.0074975,-0.0074793,-0.13001,-0.13015,-0.13029,-0.13044,-0.13058,-0.13072,-0.12739,-0.12406,-0.12074,-0.11741,-0.11408,-0.11451,-0.11494,-0.11537,-0.11579,-0.11622,-0.1203,-0.12437,-0.12845,-0.13253,-0.13661,-0.13576,-0.13587,-0.13526,-0.13527,-0.13538,-0.13545,-0.1356
ANNEXI,1022.63,1027.8449,1266.9167,1296.6637,1325.8351,1354.001,1380.6646,1406.4352,1430.8179,1454.4461,1477.32,1509.9859,1295.8516,1297.7976,1298.6402,1299.8743,1301.5012,1296.4117,1292.2982,1288.453,1284.8258,1279.9758,1578.9058,1604.3965,1626.0056,1646.1284,1667.3271,1688.0607,1708.8231,1728.78,1748.0915,1762.9338,1560.9185,1555.069,1550.4748,1546.5615,1544.011,1533.0666,1522.1836,1511.5716,1501.2533,1488.344,1536.2121,1539.5297,1546.9968,1554.559,1555.0296,1560.0645,1557.9951,1555.9086,1553.8431,1560.9006,1444.9575,1427.4249,1405.2842,1384.5298,1370.3618,1354.8997,1347.2319,1339.5673,1331.3766,1326.1843,1243.693,1249.8284,1247.8113,1245.3786,1241.7551,1237.6805,1232.0223,1234.1843,1221.175,1207.7963,1117.6551,1092.9532,1067.5395,1036.6327,1040.3899,1171.4092,1169.6241,1253.4953,1522.8153,1503.9884,1123.2111,1091.0359,1051.965,1030.0339,985.2662,873.3964,860.4264,831.096,764.1126,693.9652,713.2229,634.5369,593.3978,535.901,500.4242,523.3642,467.1569,433.3938,421.9318,939.754,875.1651,876.3177,953.1243,987.0341,1091.8082,1155.9536,1356.0485,969.2305,964.3588,884.4329,880.1887,847.0935,826.4101,798.9744,880.8864,857.9309,823.18,828.8692,705.5259,396.126,356.5001,196.9051,153.0502,154.2458,211.1491,187.0113,156.054,153.7807,133.0578,129.9724,127.5974,107.4107,75.5883,93.2599,94.6148,94.073,117.9569,115.3772,-1241.5734,-1308.7559,-1331.6324,-1320.2743,-1472.0323,-1531.6881,-1680.0898,-1732.5553,-1852.9438,-1865.1468,-1836.2302,-1879.5481,-1878.3388,-1796.1272,-1795.5431,-1815.6847,-1830.9434,-1765.9928,-1825.0254,-1933.9385,-1959,-1960.8667,-1952.5418,-1926.0493,-1828.0025,-1871.33,-1882.0061,-1814.9366
ANT,-1.929e-18,-3.3916e-05,-6.7832e-05,-0.00010175,-0.00013566,-0.00016958,-0.00020349,-0.00023741,-0.00027133,-0.00030524,-0.00033916,-0.00037307,-0.00040699,-0.0004409,-0.00047482,-0.00050874,-0.00054265,-0.00057657,-0.00061048,-0.0006444,-0.00067832,-0.00071223,-0.00074615,-0.00078006,-0.00081398,-0.00084789,-0.00088181,-0.00091573,-0.00094964,-0.00098356,-0.0010175,-0.0010514,-0.0010853,-0.0011192,-0.0011531,-0.0011871,-0.001221,-0.0012549,-0.0012888,-0.0013227,-0.0013566,-0.0013905,-0.0014245,-0.0014584,-0.0014923,-0.0015262,-0.0015601,-0.001594,-0.001628,-0.0016619,-0.0016958,-0.0017297,-0.0017636,-0.0017975,-0.0018315,-0.0018654,-0.0018993,-0.0019332,-0.0019671,-0.002001,-0.0020349,-0.0020689,-0.0021028,-0.0021367,-0.0021706,-0.0022045,-0.0022384,-0.0022724,-0.0023063,-0.0023402,-0.0023741,-0.002408,-0.0024419,-0.0024759,-0.0025098,-0.0025437,-0.0025776,-0.0026115,-0.0026454,-0.0026793,-0.0027133,-0.0027472,-0.0027811,-0.002815,-0.0028489,-0.0028828,-0.0029168,-0.0029507,-0.0029846,-0.0030185,-0.0030524,-0.0030863,-0.0031202,-0.0031542,-0.0031881,-0.003222,-0.0032559,-0.0032898,-0.0033237,-0.0033577,-0.0033916,-0.0034255,-0.0034594,-0.0034933,-0.0035272,-0.0035612,-0.0035951,-0.003629,-0.0036629,-0.0036968,-0.0037307,-0.0037646,-0.0037986,-0.0038325,-0.0038664,-0.0039003,-0.0039342,-0.0039681,-0.0040021,-0.004036,-0.0040699,-0.0041038,-0.0041377,-0.0041716,-0.0042056,-0.0042395,-0.0042734,-0.0043073,-0.0043412,-0.0043751,-0.004409,-0.004443,-0.0044769,-0.0045108,-0.0045447,-0.0045786,-0.0046125,-0.0046465,-0.0046804,-0.0047143,0,0,0,0,0,0,0,0,-0.036667,0,0,0,0,0,0,0,0,0.036667,0,0,0,0.0091667,0.0091667,0.0091667,0.0091667,0.0091667,0.0091667,0.0091667
AOSIS,6.0886,6.0515,6.021,5.9938,5.9706,5.9497,5.9324,5.9174,5.9039,5.8924,5.838,5.9568,6.0037,6.0362,6.0628,6.0882,6.0527,6.0184,5.9853,5.953,5.9672,6.6731,6.8694,7.0398,7.1163,7.177,7.2486,7.3552,7.4546,7.548,7.6357,11.7335,12.8963,13.8408,14.6308,15.3079,15.7165,16.0173,16.2701,16.4825,16.6694,14.6044,14.2117,13.9152,13.6912,13.5236,13.4174,13.3434,13.2926,13.2588,13.2377,21.0923,23.3684,25.2319,26.8016,28.1598,28.8511,29.3944,29.849,30.2349,30.5363,22.6741,20.4345,18.4703,16.8756,15.4838,15.0019,14.5964,14.268,13.9983,13.7463,19.4648,21.0836,22.4014,23.509,24.4726,24.74,24.9678,25.1461,25.2844,25.4496,26.9804,27.4172,27.7643,28.0424,28.2718,28.6157,28.9015,29.1562,29.3883,29.6015,29.4622,29.4323,29.4193,29.4261,29.4319,30.268,30.792,31.3188,31.8426,32.3712,42.8533,46.1108,48.5284,50.3854,51.9819,52.9638,53.7803,54.4316,55.0174,55.5307,70.2365,74.6174,78.183,81.0198,83.52,84.8324,85.9726,86.6137,87.4192,88.4509,77.3352,76.5836,73.3904,72.1148,71.3356,72.1467,72.7958,72.0255,72.8859,73.0622,73.268,107.7548,110.286,114.1562,119.1378,124.1384,128.3284,125.7315,126.5447,-10.0231,-9.9824,-10.126,-9.8521,-11.2761,-14.1493,-33.6365,80.0358,-35.9909,-35.8591,-36.0348,-29.3829,-1.7082,-26.9379,8.8614,44.2346,128.0926,114.4056,123.8258,122.3645,145.2262,56.18,58.1436,62.251,76.3266,150.3041,67.3145,87.6066
ARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.21,-1.21,-1.1733,-1.21,-4.227,-5.1333,-6.0397,-6.946,-7.8523,-8.7587,-9.665,-10.3766,-11.0882,-11.7998,-12.5114,-13.223,-12.6909,-12.1589,-11.6268,-11.0947,-10.5627,-10.0306,-9.4985,-8.9664,-8.4344,-0.22,-0.22,-4.4602
