code,KYOTOGHGAR4_IPCMLULUCF_TOTAL_NET_HISTORY_CRF2018
entity,KYOTOGHGAR4
category,IPCMLULUCF
name_category,LULUCF
type,NET
class,TOTAL
source,CRF2018
descr,Result of CH4+N2O_IPCMLULUCF_TOTAL_NET_HISTORY_CRF2018+CO2_IPCMLULUCF_TOTAL_NET_HISTORY_CRF2018 - regarding information just missing in one of the tables as zero
note,calculated by the function combine_tables_varying_in_one_sheet_as by CC and JN from PRIMAP
scenario,HISTORY
datatype,CountryYearMatrix
tablekind,usr
family,emi
subsource,Summary1.As2; Table10s2; Table10s3; Table10s4; Table4
unit,MtCO2eq
gwp,AR4
iso3,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
AUS,NaN,NaN,NaN,NaN,156.7002,131.928,91.8217,69.9372,66.7443,54.6079,50.0654,53.5561,47.0541,61.9479,61.6737,74.6988,71.3577,73.1148,60.6852,82.2979,87.9714,82.1248,50.2522,36.202,22.73,9.8596,-18.9521,-19.1841,-6.371,-20.3459,-24.1209
AUT,NaN,NaN,NaN,NaN,-11.9819,-16.6847,-11.6631,-11.9619,-11.8393,-13.2612,-10.644,-19.1238,-17.2218,-19.4967,-16.3641,-19.2022,-14.1661,-4.7887,-9.1175,-10.5974,-5.1159,-5.5097,-4.2757,-4.5444,-5.878,-6.1057,-5.4756,-4.5243,-4.7255,-4.4454,-4.2084
BEL,NaN,NaN,NaN,NaN,-2.4337,-2.4576,-2.4431,-2.4049,-2.3734,-2.3502,-1.8279,-2.3114,-2.3179,-2.2513,-1.8899,-1.7801,-3.2906,-3.2151,-3.1234,-2.9864,-3.0396,-2.7581,-2.5055,-2.5975,-1.5365,-1.3121,-1.0902,-1.2098,-1.2016,-1.1822,-1.1495
BGR,NaN,NaN,-15.2343,-15.0569,-14.8704,-14.4917,-13.2329,-12.6745,-12.8827,-13.5333,-11.122,-10.8751,-10.5883,-12.1534,-9.4276,-6.3682,-7.6741,-8.3394,-9.072,-8.8946,-9.6547,-8.3414,-9.4192,-8.6559,-9.1212,-5.0744,-5.1138,-5.8457,-6.5985,-6.33,-6.5364
BLR,NaN,NaN,NaN,NaN,-21.105,-24.4173,-22.4234,-18.0621,-27.8413,-28.9095,-27.9965,-26.1855,-25.1393,-32.0836,-33.2428,-32.0799,-28.909,-25.1669,-26.8335,-29.1442,-32.3969,-33.0678,-32.7183,-38.44,-40.1264,-37.5773,-32.0281,-35.1216,-30.108,-27.4096,-21.9029
CAN,NaN,NaN,NaN,NaN,-67.6946,-74.1016,-65.5337,-59.6958,-61.0463,-48.9463,-56.9512,-58.6168,-65.6804,-54.9552,-41.1307,-57.2614,-43.1832,-48.9446,-25.7532,-20.5018,-28.3906,-31.3787,-36.7789,-49.0755,-31.8983,-32.005,-34.4699,-31.6932,-32.9168,-26.387,-27.8062
CHE,NaN,NaN,NaN,NaN,-0.73019,-4.2353,-3.8477,-4.1969,-2.4197,-3.9642,-5.3034,-3.6282,-2.2098,-2.1521,4.7589,-0.86743,-2.5934,-2.2591,-2.9906,-2.5582,0.42113,-0.22016,-1.1211,-2.0351,-1.5457,-1.3217,-1.6639,-1.2731,-1.3078,-1.4071,-1.8704
CYP,NaN,NaN,NaN,NaN,-0.26771,-0.26331,-0.26996,-0.28512,-0.26831,-0.28823,-0.29486,-0.26435,-0.18925,-0.36663,0.062023,-0.19181,-0.34099,-0.35367,-0.3478,-0.37643,-0.45131,-0.207,-0.50726,-0.53614,-0.48242,-0.55534,-0.53608,-0.57222,-0.57057,-0.56694,0.083094
CZE,NaN,NaN,NaN,NaN,-6.5628,-9.5592,-10.3773,-10.0162,-7.7761,-8.201,-8.3238,-7.6469,-7.6319,-7.9963,-8.7487,-9.0675,-8.6943,-7.225,-7.6303,-7.5381,-5.4339,-3.2659,-6.371,-7.7854,-6.002,-7.2382,-7.0657,-6.3588,-6.3067,-6.532,-5.3371
DEU,NaN,NaN,NaN,NaN,-31.3117,-28.8041,-29.3726,-29.2812,-32.5467,-33.0549,-33.1315,-34.1624,-34.536,-35.607,-37.9604,-38.5763,-4.2372,-6.2491,-9.3616,-12.0595,-12.4439,-11.8666,-18.7654,-18.0295,-16.3686,-15.7333,-14.4757,-14.2875,-14.8912,-14.3755,-14.4792
DNK,NaN,NaN,NaN,NaN,4.7889,4.3177,5.2576,4.0264,3.4722,3.4876,2.9056,3.3312,3.3204,3.6143,3.5267,4.2149,5.2445,4.9091,4.6547,4.5965,5.0098,2.3888,-2.1708,2.1552,-0.79932,-2.3752,-0.13965,1.2093,0.27597,4.2228,5.4144
EARTH,-6.9027,-7.4074,-38.7711,-60.9258,-1038.9105,-1095.1178,-1168.8512,-1235.4688,-1366.6962,-1389.4942,-1528.6324,-1609.3332,-1647.4877,-1684.3592,-1688.3752,-1779.4333,-1759.5954,-1772.9225,-1749.0993,-1730.7258,-1757.7771,-1710.9648,-1802.3276,-1894.2388,-1921.3656,-1960.5848,-1962.7504,-1936.6864,-1959.1892,-1867.3858,-1897.9479
ESP,NaN,NaN,NaN,NaN,-39.3495,-38.3021,-36.0478,-35.2848,-35.3356,-36.5441,-37.3583,-38.2212,-38.9594,-41.7821,-42.9707,-43.2418,-42.9517,-41.3376,-40.8673,-41.3712,-44.4875,-40.3118,-39.8135,-39.5107,-40.4501,-38.902,-36.1629,-38.5625,-41.5426,-42.0071,-40.7447
EST,NaN,NaN,NaN,NaN,-1.5437,-1.5761,-1.0838,-2.0441,-1.4818,-1.819,-1.8486,-2.1566,-2.8635,-2.966,-3.3712,-1.6345,-2.2248,-2.5976,-2.6509,-2.8837,-2.7569,-3.1627,-2.8815,-2.8798,-1.9865,-2.1198,-2.0449,-1.507,-1.6657,-2.2557,-2.7244
EU28,-6.9027,-7.4074,-38.7711,-60.9258,-259.7967,-283.0273,-251.9618,-252.7052,-265.1993,-284.612,-313.1355,-310.7467,-326.8166,-337.2709,-315.3301,-337.2719,-316.1592,-293.8319,-326.3198,-322.5179,-335.2935,-299.2723,-333.9349,-335.6722,-326.7896,-315.8205,-315.7959,-321.9377,-319.9742,-317.6361,-301.4771
