code,KYOTOGHGAR4_IPCMLULUCF_TOTAL_NET_HISTORY_CRF2019
entity,KYOTOGHGAR4
category,IPCMLULUCF
name_category,LULUCF
type,NET
class,TOTAL
source,CRF2019
descr,Result of CH4+N2O_IPCMLULUCF_TOTAL_NET_HISTORY_CRF2019+CO2_IPCMLULUCF_TOTAL_NET_HISTORY_CRF2019 - regarding information just missing in one of the tables as zero
note,calculated by the function combine_tables_varying_in_one_sheet_as by CC and JN from PRIMAP
scenario,HISTORY
datatype,CountryYearMatrix
tablekind,usr
family,emi
subsource,Summary1.As2; Table10s2; Table10s3; Table10s4; Table4
unit,MtCO2eq
gwp,AR4
iso3,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
AUS,NaN,NaN,NaN,NaN,184.5885,161.5884,96.2612,77.6895,68.7437,47.6813,47.0906,45.8831,34.1409,42.5303,51.1351,72.3503,65.7203,74.3749,66.0307,88.7865,85.0507,93.8895,78.6503,69.7068,48.6802,29.3794,18.1101,7.3038,8.0993,-3.5378,-16.3412,-19.4311
AUT,NaN,NaN,NaN,NaN,-11.9884,-16.69,-11.6625,-11.9571,-11.8301,-13.1432,-10.5588,-19.0751,-17.2074,-19.5163,-16.4187,-19.2654,-14.2621,-4.8691,-9.1882,-10.6593,-5.1692,-5.4966,-4.2618,-4.5321,-5.8637,-6.0909,-5.4669,-4.5171,-4.724,-4.5511,-4.3788,-4.906
BEL,NaN,NaN,NaN,NaN,-3.3135,-2.8409,-2.6544,-2.6617,-2.404,-2.6299,-2.5788,-2.3583,-2.9062,-2.1456,-1.7748,-1.6418,-1.6955,-1.6478,-1.5545,-1.5366,-1.5202,-1.3105,-1.0547,-1.0699,-0.331,-0.15939,-0.25073,-0.32211,-0.28427,-0.29571,-0.28551,-0.25942
BGR,NaN,NaN,-12.6902,-12.4919,-12.2171,-11.6937,-11.4408,-10.5942,-10.4541,-10.4965,-12.8418,-12.8056,-12.8076,-12.6733,-12.1881,-11.6514,-11.7598,-11.8938,-11.9001,-11.981,-10.0015,-9.7418,-10.6087,-9.9907,-9.8275,-6.4885,-6.8003,-7.3751,-8.0344,-7.9199,-8.2754,-8.0318
BLR,NaN,NaN,NaN,NaN,-21.105,-24.4173,-22.4234,-18.0621,-27.8413,-28.9095,-27.9965,-26.1855,-25.1393,-32.0836,-33.2428,-32.0799,-28.909,-25.1669,-26.8335,-29.1442,-32.3969,-33.0678,-32.7183,-38.44,-40.1264,-37.5773,-32.0281,-35.1216,-30.108,-27.4096,-21.9029,-13.3007
CAN,NaN,NaN,NaN,NaN,-68.2413,-74.8058,-66.7104,-60.027,-61.9362,-49.187,-57.408,-59.0509,-66.182,-55.5594,-41.9058,-57.9555,-43.923,-49.8994,-26.7039,-21.2669,-29.6341,-31.856,-37.265,-49.3663,-32.4075,-32.8176,-35.5166,-32.545,-31.8291,-25.1384,-25.4113,-23.7227
CHE,NaN,NaN,NaN,NaN,-2.4844,-6.2895,-5.0221,-4.3684,-3.1903,-3.835,-6.4619,-4.2307,-3.0473,-3.5139,5.5692,-1.0425,-2.7838,-3.726,-3.3343,-2.4908,-1.6028,-0.48391,-2.3207,-3.1218,-2.6191,-1.4202,-1.8664,-2.0688,-0.65915,-2.1859,-2.1153,-1.5976
CYP,NaN,NaN,NaN,NaN,-0.25119,-0.24748,-0.25507,-0.27155,-0.25602,-0.27701,-0.28456,-0.25478,-0.18035,-0.35872,0.068985,-0.18644,-0.33746,-0.35198,-0.34727,-0.37701,-0.45223,-0.20826,-0.51205,-0.54159,-0.48852,-0.565,-0.5447,-0.57974,-0.57702,-0.57248,0.075761,-0.53401
CZE,NaN,NaN,NaN,NaN,-5.2259,-8.4237,-9.2671,-8.8651,-6.5274,-6.9957,-7.1748,-6.5162,-6.6014,-7.0381,-7.8875,-8.228,-7.8599,-6.3464,-6.521,-7.0369,-4.8271,-2.5637,-5.8334,-6.9067,-5.5389,-6.8515,-6.6905,-5.9753,-5.92,-5.0823,-5.158,-2.1349
DEU,NaN,NaN,NaN,NaN,-31.3117,-28.8041,-29.3726,-29.2812,-32.5467,-33.0549,-33.1315,-34.1624,-34.536,-35.607,-37.9604,-38.5763,-4.2372,-6.2491,-9.3616,-12.0595,-12.4439,-11.8666,-18.7654,-18.0295,-16.3686,-15.7333,-14.4757,-14.2875,-14.8912,-14.3754,-13.9095,-15.1852
DNK,NaN,NaN,NaN,NaN,4.9382,4.4634,5.3995,4.1647,3.6069,3.6185,3.0329,3.4549,3.4404,3.7307,3.6007,4.2271,5.1967,4.8433,4.5747,4.4505,4.7801,2.2549,-2.3545,1.9552,-1.0162,-2.6195,-0.73462,0.39439,0.06622,3.6334,4.5034,2.9718
EARTH,-7.2173,-7.7087,-36.2857,-56.7227,-1257.3254,-1327.6901,-1353.757,-1345.6316,-1498.779,-1558.5925,-1709.2373,-1760.1473,-1884.0786,-1893.333,-1862.9592,-1899.5178,-1892.4416,-1802.2013,-1803.4089,-1822.9665,-1836.8959,-1772.8359,-1832.0597,-1937.8649,-1966.2912,-1969.3926,-1961.4088,-1937.4227,-1837.4536,-1882.9512,-1889.9871,-1822.0178
ESP,NaN,NaN,NaN,NaN,-35.8754,-35.0876,-34.3594,-34.6692,-32.6816,-34.5776,-35.3189,-34.8084,-35.1744,-38.341,-39.523,-40.5863,-39.0835,-38.6754,-38.8153,-38.2008,-40.276,-39.5164,-37.6583,-35.1546,-37.4195,-37.4148,-35.4599,-34.4158,-36.4573,-38.7268,-38.2292,-38.3278
EST,NaN,NaN,NaN,NaN,-1.4895,-1.3682,-0.86167,-1.8766,-1.3675,-1.6956,-1.7665,-2.0279,-2.7348,-2.8842,-3.3916,-1.6636,-2.4224,-2.7762,-2.8396,-2.9317,-3.1895,-3.559,-3.3821,-3.2451,-2.1448,-2.5162,-2.6238,-1.654,-1.8318,-2.3822,-2.7452,-1.7927
EU28,-7.2173,-7.7087,-36.2857,-56.7227,-244.6673,-268.3856,-238.3345,-236.4452,-246.0541,-269.9337,-305.9462,-299.4455,-310.0901,-319.2741,-296.6995,-327.8685,-304.7077,-283.6089,-317.0078,-307.7266,-316.6113,-285.5751,-321.4728,-321.2701,-314.6112,-302.6262,-300.9133,-306.4444,-293.4962,-298.763,-285.5101,-257.7499
FIN,NaN,NaN,NaN,NaN,-14.7716,-27.1864,-21.0827,-21.2224,-14.5469,-14.0479,-21.3566,-17.2825,-15.5369,-17.8276,-18.885,-20.7645,-21.8415,-22.3242,-23.4886,-24.4275,-30.5481,-22.5653,-21.2854,-33.7492,-22.1495,-22.262,-24.7811,-19.0042,-21.7648,-20.0666,-18.526,-20.3777
FRA,NaN,NaN,NaN,NaN,-21.8361,-21.5786,-19.2487,-22.0479,-19.6117,-21.5553,-27.9187,-28.1917,-30.172,-33.3901,-16.4586,-28.5187,-36.7034,-41.0487,-43.5855,-44.3746,-46.9799,-47.6169,-48.6035,-44.516,-39.2692,-34.2002,-36.5078,-40.4137,-32.52,-35.4903,-33.2576,-31.6078
GBR,NaN,NaN,NaN,NaN,0.25546,-0.30914,-1.0959,-1.5262,-1.6777,-1.7113,-2.557,-3.1482,-3.8518,-3.4441,-3.8746,-4.6166,-5.5467,-5.8718,-6.6714,-7.1148,-7.6722,-8.2838,-8.7947,-8.7917,-9.1098,-9.5748,-9.0038,-9.3422,-9.5647,-9.7119,-9.7989,-9.8927
GRC,NaN,NaN,NaN,NaN,-2.1079,-2.3051,-2.3888,-2.8488,-2.5865,-2.8724,-2.2951,-1.9463,-1.7583,-2.5389,-1.9413,-2.4121,-2.7719,-2.5044,-2.4611,-3.2829,-3.301,-1.4634,-2.9554,-3.0368,-3.0431,-3.1313,-3.0861,-1.5822,-0.12578,-3.7192,-3.4733,-3.2091
HRV,NaN,NaN,NaN,NaN,-6.6546,-7.8664,-7.9773,-8.2247,-8.5065,-9.0632,-8.7056,-8.1754,-7.8904,-8.5832,-6.9667,-7.8771,-8.1531,-7.2933,-7.5671,-7.7671,-7.5325,-6.7666,-7.2059,-7.1522,-7.1163,-6.0197,-5.6466,-6.402,-6.4486,-5.4345,-5.5436,-4.7666
HUN,-2.3675,-2.8418,-3.074,-2.0252,-2.5188,-1.8979,-2.5667,-4.9539,-5.7584,-5.4714,-1.7492,-2.0726,-3.3463,-1.1435,-0.4068,-1.99,-1.3716,-3.88,-2.9664,-5.3515,-3.1042,-3.4403,-5.0677,-3.6235,-4.0122,-3.6307,-4.3784,-3.3751,-4.8639,-5.3578,-4.3025,-5.439
IRL,NaN,NaN,NaN,NaN,4.768,4.5509,4.3195,3.9437,4.412,4.914,4.8484,4.0037,3.9691,3.9396,5.6598,5.7569,6.0025,6.38,4.9007,5.6615,6.0523,5.0346,4.7406,4.3478,5.3217,4.456,4.1764,4.7228,3.965,4.7334,3.7665,5.9973
ISL,NaN,NaN,NaN,NaN,9.4071,9.4035,9.3922,9.3914,9.3671,9.3609,9.359,9.3582,9.3611,9.3711,9.3869,9.399,9.4232,9.4166,9.4197,9.4272,9.481,9.5084,9.5259,9.4998,9.4719,9.4421,9.4321,9.4141,9.3906,9.3633,9.3453,9.3208
ITA,NaN,NaN,NaN,NaN,-3.2835,-17.3646,-15.225,-1.1409,-14.0243,-21.9185,-22.5261,-13.12,-10.15,-19.2235,-16.229,-24.1716,-29.3682,-21.6027,-27.4416,-28.3766,-29.2339,-5.912,-25.0195,-27.2301,-34.6736,-29.0985,-21.8086,-36.9524,-37.4316,-39.608,-36.558,-18.3789
JPN,NaN,NaN,NaN,NaN,-62.4752,-70.5176,-73.6019,-76.6164,-76.3193,-77.2697,-81.8959,-84.2973,-85.7283,-86.0524,-87.9074,-88.4388,-89.8983,-100.1071,-96.5314,-91.3395,-85.9139,-80.9794,-70.7044,-66.9916,-70.5466,-69.8663,-72.8713,-66.1601,-64.5298,-59.5738,-54.5203,-57.4578
KAZ,NaN,NaN,NaN,NaN,-15.7514,-18.9337,-22.1242,-25.3569,-26.746,-26.904,-29.1473,-27.5917,-31.1346,-28.1862,-26.729,-19.9697,-14.1028,-6.0741,-7.8656,-7.2818,-5.9524,-6.8432,-7.032,-3.9221,-7.2846,-8.5258,-8.8669,-11.3733,-9.4505,-11.6212,-7.9806,-7.0789
