code,KYOTOGHGAR4_IPCMLULUCF_TOTAL_NET_HISTORY_EDGAR42COMPI
entity,KYOTOGHGAR4
category,IPCMLULUCF
name_category,LULUCF
type,NET
class,TOTAL
descr,Result of N2O+CH4_CAT5_TOTAL_NET_HISTORY_EDGAR42COMPX+CO2_CAT5_TOTAL_NET_HISTORY_EDGAR42COMPX - regarding information just missing in one of the tables as zero; interpolation of NaN values by 'perform_interpolation_on_table'; downscaled using POP_DEMOGR_TOTAL_NET_HISTORY_UN2017P
note,calculated by the function combine_tables_varying_in_one_sheet_as by CC and JN from PRIMAP
source,EDGAR42COMPI
scenario,HISTORY
datatype,CountryYearMatrix
tablekind,usr
family,emi
subsource,v4.2_FT2010_CH4_tot_2000_2010.xls; v4.2_FT2010_CO2_excl_short-cycle_org_C_2000.csv; v4.2_FT2010_CO2_excl_short-cycle_org_C_2001.csv; v4.2_FT2010_CO2_excl_short-cycle_org_C_2002.csv; v4.2_FT2010_CO2_excl_short-cycle_org_C_2003.csv; v4.2_FT2010_CO2_excl_short-cycle_org_C_2004.csv; v4.2_FT2010_CO2_excl_short-cycle_org_C_2005.csv; v4.2_FT2010_CO2_excl_short-cycle_org_C_2006.csv; v4.2_FT2010_CO2_excl_short-cycle_org_C_2007.csv; v4.2_FT2010_CO2_excl_short-cycle_org_C_2008.csv; v4.2_FT2010_CO2_excl_short-cycle_org_C_2009.csv; v4.2_FT2010_CO2_excl_short-cycle_org_C_2010.csv; v4.2_FT2010_N2O_tot_2000_2010_fixed.xls
unit,MtCO2eq
gwp,AR4
iso3,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AFG,0,0.008,0.016,0.024,0.032,0.04,0.048,0.056,0.064,0.072,0.08,0.088,0.096,0.104,0.112,0.12,0.128,0.136,0.144,0.152,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16172,0.16232,0.16089,0.16108,0.16172,0.16,0.16031,0.16,0.16054,0.16049
AGO,179.5353,171.403,163.2674,155.1248,146.978,138.8283,119.406,110.9309,99.3825,89.1457,68.83,52.8848,42.6311,34.1297,20.7981,7.4642,7.4954,7.5533,7.6096,7.6251,7.6605,7.4853,7.4449,7.2438,6.9194,6.8306,6.7441,7.0788,6.1113,5.5331,6.3926,6.7398,7.4467,7.9243,5.9873,5.6686,9.5477,6.0787,7.5765,7.8306,7.7346
ALB,0.040217,0.048784,0.077287,0.12336,0.15423,0.18211,0.19928,0.25121,0.28357,0.30236,0.33834,0.39251,0.38886,0.44877,0.45248,0.4968,0.51758,0.55331,0.58817,0.64085,0.66449,0.6531,0.63996,0.63916,0.66054,0.62958,0.61632,0.61876,0.64431,0.61614,1.1124,0.60168,0.58057,0.63805,0.5846,0.57547,0.56828,0.56443,0.56118,0.55716,0.55424
ARE,0,0.00015,0.0003,0.00045,0.0006,0.00075,0.0009,0.00105,0.0012,0.00135,0.0015,0.00165,0.0018,0.00195,0.0021,0.00225,0.0024,0.00255,0.0027,0.00285,0.003,0.0029833,0.0029667,0.00295,0.0029333,0.0029167,0.0029,0.0028833,0.0028667,0.00285,0.0028333,0.0028167,0.0028,0.0027833,0.0027667,0.00275,0.0027333,0.0027167,0.0027,0.0026833,0.0026667
ARG,23.977,13.3934,18.6892,13.756,15.6225,19.0439,23.6317,15.3635,20.7362,22.3149,23.9842,20.2804,21.8591,22.3063,14.7216,16.5459,18.7208,25.2876,18.8866,18.959,23.5818,21.3475,23.5937,26.7606,14.6198,17.9346,19.3685,19.7335,14.5257,18.965,13.0554,15.9957,12.6638,16.5952,12.0005,12.2112,11.3463,6.1938,8.9065,5.9859,4.2809
ARM,0.0014938,0.0067959,0.016081,0.018894,0.023698,0.029498,0.036294,0.041596,0.046898,0.052698,0.058498,0.064796,0.070596,0.075898,0.082196,0.088494,0.09529,0.10109,0.10689,0.11269,0.11998,0.1196,0.12121,0.12332,0.12444,0.12505,0.13314,0.12977,0.1337,0.13195,0.1395,0.13783,0.14078,0.14487,0.14881,0.1481,0.15265,0.14583,0.145,0.15225,0.15384
AUS,20.356,14.8027,30.7983,15.4724,19.7043,25.9069,39.9555,40.3166,25.023,41.0562,47.3069,22.1793,40.1553,26.8039,27.158,49.0319,35.7031,24.3108,24.609,26.9089,33.1248,40.9611,33.1021,27.1871,48.7309,27.1748,27.1076,32.9861,22.631,19.3426,54.9994,58.5026,85.6856,64.2338,33.8215,26.8803,19.5892,50.7886,16.5634,41.3568,13.6195
AUT,0.087816,0.05405,0.063816,0.11195,0.12689,0.13529,0.1203,0.18122,0.19942,0.18797,0.21406,0.27988,0.21945,0.29778,0.2534,0.29773,0.29063,0.31617,0.33982,0.40237,0.40153,0.38302,0.3607,0.36532,0.41838,0.35714,0.33455,0.34625,0.33926,0.33092,0.35562,0.28852,0.28884,0.29529,0.29123,0.29189,0.2902,0.28968,0.28857,0.28857,0.28857
AZE,0.001523,0.0047653,0.012069,0.012773,0.015508,0.019258,0.024023,0.027265,0.030508,0.034258,0.038008,0.042265,0.046015,0.049258,0.053515,0.057773,0.062538,0.066288,0.070038,0.073788,0.079061,0.077031,0.077031,0.077538,0.077031,0.076015,0.082615,0.077538,0.087031,0.083966,0.092133,0.10455,0.091077,0.088963,0.09585,0.08737,0.075,0.07561,0.075,0.075,0.075
BDI,0,0.003315,0.00663,0.009945,0.01326,0.016575,0.01989,0.023205,0.02652,0.029835,0.03315,0.036465,0.03978,0.043095,0.04641,0.049725,0.05304,0.056355,0.05967,0.062985,0.0663,0.076375,0.086479,0.096611,0.10677,0.11696,0.12718,0.13742,0.1477,0.158,0.16833,0.17869,0.18908,0.19949,0.20994,0.22041,0.23091,0.24144,0.252,0.26222,0.27244
