code,N2OAR4_IPC1_TOTAL_NET_HISTORY_UNFCCC2019BI
entity,N2O
category,IPC1
name_category,Energy
type,NET
class,TOTAL
descr,GHG data submitted to the UNFCCC by Parties: non-AnnexI Parties only. See http://unfccc.int/di/DetailedByParty.do
note,Read in by JG and RG
source,UNFCCC2019BI
scenario,HISTORY
datatype,CountryYearMatrix
tablekind,usr
family,emi
subsource,UNFCCC_2019B.csv
unit,MtCO2eq
gwp,AR4
iso3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
ALB,0.0298,0.0149,0.03278,0.0298,0.0298,0.03576,0.02682,0.02384,0.02086,0.02384,0.02384,0.02682,0.02682,0.02682,0.02682,0.02384,0.02682,0.02682,0.0298,0.0298,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ARE,NaN,NaN,NaN,NaN,1.5496,NaN,NaN,NaN,NaN,NaN,3.278,NaN,NaN,NaN,NaN,3.576,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.09536,NaN,NaN
ARG,0.56883,NaN,NaN,NaN,0.69418,NaN,NaN,0.86094,NaN,NaN,0.96942,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.611,NaN,1.7597,NaN,NaN,NaN,NaN
ARM,0.063772,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0149,NaN,NaN,NaN,NaN,NaN,0.018476,NaN,NaN,NaN,0.027714,NaN,NaN,NaN,NaN,NaN,NaN
AZE,NaN,0.0596,0.06556,0.0596,0.05066,0.05066,0.0447,0.0447,0.0447,0.04172,NaN,0.03278,0.0298,0.03576,0.03874,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.13794,NaN,NaN,NaN
BGD,NaN,NaN,NaN,NaN,0.01788,NaN,NaN,NaN,NaN,NaN,NaN,0.12218,NaN,NaN,NaN,0.14304,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BIH,0.1341,0.32482,0.03278,0.0149,0.0149,0.01192,0.03278,0.03874,0.04768,0.05364,0.0596,0.11026,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BOL,0.06556,NaN,NaN,NaN,0.08046,NaN,NaN,NaN,0.08344,NaN,0.08046,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BRA,3.7608,3.7786,3.7608,3.7369,4.1422,4.5445,5.1703,5.8736,6.3534,6.6186,6.6782,7.0835,7.6467,8.1831,8.6927,8.9907,9.0801,9.5211,9.9741,9.7595,11.0558,12.072,13.1329,13.7587,14.6258,14.0775,NaN
CHL,0.3278,NaN,NaN,NaN,0.3874,NaN,NaN,NaN,NaN,NaN,0.596,NaN,NaN,NaN,NaN,NaN,0.37848,NaN,NaN,NaN,0.745,NaN,NaN,1.043,NaN,NaN,1.1026
CHN,NaN,NaN,NaN,NaN,14.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,39.932,NaN,NaN,NaN,NaN,NaN,NaN,67.05,NaN,NaN,NaN,NaN
COL,0.41124,NaN,NaN,NaN,0.49468,NaN,NaN,NaN,NaN,NaN,0.30098,NaN,NaN,NaN,0.29502,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CRI,0.03576,NaN,NaN,NaN,NaN,NaN,0.0298,NaN,NaN,NaN,0.051852,NaN,NaN,NaN,NaN,0.092916,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CUB,0.36058,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.21158,NaN,0.1788,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DMA,NaN,NaN,NaN,NaN,0.00019854,NaN,NaN,NaN,NaN,NaN,0.0003874,0.00052746,0.00040826,0.00040826,0.00061686,0.00037846,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DOM,0.066752,NaN,NaN,NaN,0.096016,NaN,NaN,NaN,0.12605,NaN,0.28727,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.77408,NaN,NaN,NaN,NaN,NaN,NaN
EARTH,15.1793,8.9296,9.0078,9.0511,33.8119,8.9679,9.3965,13.3245,12.9717,13.1685,38.554,14.1696,15.1585,15.5944,16.8337,59.319,15.4978,15.3625,16.6223,15.8826,39.4129,19.5138,91.9389,24.7958,18.8818,14.2627,1.1026
EGY,3.2846,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.17314,NaN,NaN,NaN,NaN,0.059302,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ETH,0.596,0.596,0.894,0.894,0.934,1.04,1.0464,3.4829,3.5185,3.5818,3.6348,3.6894,3.7395,3.7906,3.8431,1.4306,1.5221,1.5177,1.5756,1.6191,1.6854,2.1994,1.9268,1.7056,NaN,NaN,NaN
GEO,0.087314,0.076586,0.034866,0.020562,0.012218,0.014304,0.025926,0.028608,NaN,NaN,0.007152,0.00745,0.00745,0.00745,0.003874,0.005066,0.02459,0.027406,0.045546,0.028016,0.027416,0.030396,0.048276,0.036654,NaN,NaN,NaN
