code,N2OAR4_IPC2_TOTAL_NET_HISTCR_PRIMAPHIST21
entity,N2O
category,IPC2
name_category,IndustrialProcessesAndProductUse
type,NET
class,TOTAL
source,PRIMAPHIST21
descr,Result of N2O_IPC2H+IPC2G+IPC2D+IPC2C_TOTAL_NET_HISTCR_PRIMAPHIST21X+N2O_IPC2B_TOTAL_NET_HISTCR_PRIMAPHIST21X - regarding information just missing in one of the tables as zero | built by Johannes Guetschow
note,calculated by the function combine_tables_varying_in_one_sheet_as by CC and JN from PRIMAP | built by Johannes Guetschow
scenario,HISTCR
datatype,CountryYearMatrix
tablekind,usr
family,emi
subsource,Summary1.As1; Table10s4; Table2(I)s1; Table2(I)s2
unit,MtCO2eq
gwp,AR4
iso3,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ABW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.249e-10,4.7331e-10,1.0058e-09,1.6829e-09,2.4652e-09,3.3132e-09,4.1875e-09,5.0486e-09,5.8572e-09,6.5738e-09,7.1803e-09,7.7078e-09,8.1901e-09,8.6612e-09,9.1548e-09,9.7049e-09,1.0345e-08,1.111e-08,1.2033e-08,1.3148e-08,1.569e-08,2.0617e-08,2.7545e-08,3.609e-08,4.5868e-08,5.6495e-08,6.7587e-08,7.8761e-08,8.9631e-08,9.9815e-08,1.0953e-07,1.1932e-07,1.2926e-07,1.3945e-07,1.4995e-07,1.6086e-07,1.7226e-07,1.8424e-07,1.9688e-07,1.937e-07,1.9489e-07,1.9608e-07,1.9757e-07,1.9847e-07,1.9877e-07,1.9847e-07,1.9787e-07,1.9698e-07,1.9668e-07,1.9698e-07,1.9847e-07,2.0115e-07,2.0383e-07,2.0592e-07,2.0651e-07,2.0532e-07,2.0264e-07,2.0026e-07,1.9996e-07,2.0383e-07,2.1188e-07,2.238e-07,2.3751e-07,2.5151e-07,2.6343e-07,2.7267e-07,2.8012e-07,2.8608e-07,2.9174e-07,2.977e-07,3.0396e-07,3.0992e-07,3.1886e-07,3.2482e-07,3.278e-07,3.3078e-07,3.3078e-07,3.3078e-07,3.3376e-07,3.3376e-07,3.3376e-07,3.3674e-07,3.4795e-07,3.5151e-07,3.5508e-07,3.5865e-07,3.6221e-07
AFG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2502e-06,8.5274e-06,1.8122e-05,3.0323e-05,4.442e-05,5.9705e-05,7.5466e-05,9.0993e-05,0.00010558,0.00011851,0.00013121,0.00014521,0.00015995,0.00017487,0.00018944,0.00020308,0.00021524,0.00022538,0.00023292,0.00023733,0.00023963,0.00024134,0.0002426,0.00024357,0.00024442,0.0002453,0.00024637,0.00024778,0.00024969,0.00025226,0.00026969,0.00031579,0.00039019,0.0004925,0.00062234,0.00077934,0.0009631,0.0011732,0.0014094,0.0009983,0.0010251,0.0010519,0.0010788,0.0011056,0.0011294,0.0011533,0.0011711,0.001186,0.001192,0.001186,0.0011682,0.0011384,0.0011026,0.0010698,0.001043,0.0010281,0.0010192,0.0010221,0.001043,0.0010847,0.0011473,0.0012337,0.0013321,0.0014244,0.0015049,0.0015705,0.0016181,0.0016628,0.0017105,0.0017701,0.0018446,0.0019281,0.0020204,0.0021098,0.0021903,0.0022618,0.0023244,0.002381,0.0024436,0.0025121,0.0025866,0.0026701,0.0027477,0.0028211,0.0028944,0.0029677,0.003041
AGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001583,0.00059994,0.001275,0.0021336,0.0031258,0.0042017,0.0053114,0.0064051,0.0074327,0.0083444,0.009234,0.010205,0.011224,0.012254,0.013262,0.014213,0.015071,0.015802,0.01637,0.016742,0.016971,0.017144,0.017277,0.017382,0.017477,0.017574,0.01769,0.017839,0.018035,0.018293,0.018843,0.019906,0.021488,0.023596,0.026235,0.029411,0.033131,0.037399,0.042222,0.037846,0.03874,0.039634,0.040528,0.04172,0.042614,0.043806,0.044998,0.046488,0.04768,0.049468,0.050958,0.053044,0.054832,0.05662,0.058408,0.060196,0.061686,0.063474,0.064964,0.066752,0.068838,0.071222,0.073606,0.07599,0.078374,0.080758,0.082844,0.085228,0.087612,0.090592,0.093572,0.09685,0.10013,0.104,0.10758,0.11145,0.11533,0.1192,0.12337,0.12754,0.13172,0.13619,0.13812,0.1418,0.14548,0.14916,0.15284
AIA,1.6138e-09,1.6476e-09,1.6805e-09,1.7121e-09,1.7417e-09,1.7687e-09,1.7928e-09,1.8132e-09,1.8295e-09,1.8412e-09,1.8476e-09,1.8507e-09,1.8531e-09,1.8548e-09,1.8561e-09,1.8572e-09,1.8583e-09,1.8597e-09,1.8615e-09,1.864e-09,1.8674e-09,1.8988e-09,1.9779e-09,2.0937e-09,2.235e-09,2.3909e-09,2.5503e-09,2.7022e-09,2.8355e-09,2.9391e-09,3.0021e-09,3.0378e-09,3.0676e-09,3.0928e-09,3.1145e-09,3.1339e-09,3.1521e-09,3.1704e-09,3.1899e-09,3.2118e-09,3.2372e-09,3.2647e-09,3.2925e-09,3.3209e-09,3.3504e-09,3.3812e-09,3.4138e-09,3.4487e-09,3.4861e-09,3.5265e-09,3.5703e-09,3.6209e-09,3.6807e-09,3.7479e-09,3.821e-09,3.8984e-09,3.9784e-09,4.0594e-09,4.1399e-09,4.2181e-09,4.2926e-09,4.3644e-09,4.4359e-09,4.5072e-09,4.5785e-09,4.6498e-09,4.7212e-09,4.7928e-09,4.8649e-09,4.9374e-09,5.0105e-09,5.0852e-09,5.1619e-09,5.2401e-09,5.3188e-09,5.3973e-09,5.4749e-09,5.5509e-09,5.6246e-09,5.695e-09,5.7617e-09,5.8204e-09,5.8698e-09,5.9133e-09,5.954e-09,5.9954e-09,6.0406e-09,6.093e-09,6.1558e-09,6.2323e-09,6.3258e-09,6.5432e-09,6.9603e-09,7.534e-09,8.2211e-09,8.9782e-09,9.7622e-09,1.053e-08,1.1238e-08,1.1843e-08,1.2303e-08,1.2644e-08,1.2932e-08,1.3181e-08,1.3405e-08,1.3618e-08,1.3833e-08,1.4066e-08,1.4329e-08,1.4636e-08,1.5003e-08,1.5493e-08,1.6142e-08,1.6912e-08,1.7768e-08,1.8675e-08,1.9598e-08,2.05e-08,2.1347e-08,2.2102e-08,2.0979e-08,2.1158e-08,2.1337e-08,2.1486e-08,2.1635e-08,2.1724e-08,2.1843e-08,2.1933e-08,2.1992e-08,2.2022e-08,2.1963e-08,2.1814e-08,2.1605e-08,2.1426e-08,2.1486e-08,2.1843e-08,2.2559e-08,2.3602e-08,2.4823e-08,2.6105e-08,2.7327e-08,2.8399e-08,2.9442e-08,3.0396e-08,3.129e-08,3.2184e-08,3.3078e-08,3.3674e-08,3.4568e-08,3.5462e-08,3.6356e-08,3.725e-08,3.8442e-08,3.9336e-08,4.0528e-08,4.1422e-08,4.2316e-08,4.321e-08,4.3806e-08,4.4402e-08,4.4998e-08,4.5892e-08,4.619e-08,4.7842e-08,4.8704e-08,4.9566e-08,5.0428e-08,5.129e-08
ALB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0073e-06,2.6554e-05,5.6427e-05,9.4414e-05,0.0001383,0.00018588,0.00023493,0.00028324,0.00032861,0.00036881,0.00040321,0.00043376,0.00046212,0.00048992,0.00051882,0.00055047,0.00058653,0.00062864,0.00067845,0.00073761,0.00083244,0.000983,0.0011816,0.0014206,0.0016923,0.001989,0.002303,0.0026266,0.0029521,0.0032719,0.0036098,0.0039887,0.0043996,0.0048335,0.0052811,0.0057336,0.0061818,0.0066166,0.007029,0.0070626,0.0072116,0.0073904,0.0075692,0.007748,0.007897,0.0080758,0.0082546,0.0084334,0.0086122,0.008791,0.0089698,0.0091486,0.0093274,0.0095062,0.0097446,0.009983,0.010251,0.01049,0.010668,0.010758,0.010758,0.010639,0.01046,0.010311,0.010192,0.010132,0.010132,0.010192,0.010221,0.010251,0.010251,0.010251,0.010221,0.010192,0.010102,0.010013,0.0098638,0.0097446,0.0096254,0.0095062,0.0094764,0.0094466,0.0094335,0.0093681,0.0093026,0.0092372,0.0091717
AND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0403e-05,7.7315e-05,0.0001643,0.0002749,0.00040268,0.00054121,0.00068403,0.0008247,0.00095678,0.0010738,0.0011746,0.001265,0.0013496,0.0014326,0.0015187,0.0016121,0.0017172,0.0018386,0.0019806,0.0021477,0.0023971,0.0027705,0.0032486,0.0038122,0.004442,0.0051188,0.0058234,0.0065365,0.0072388,0.0079112,0.0086001,0.0093521,0.010149,0.010971,0.0118,0.012617,0.013403,0.01414,0.014808,0.013421,0.014898,0.016047,0.017847,0.019534,0.018629,0.018105,0.018954,0.019059,0.018972,0.01901,0.019096,0.019604,0.021488,0.023215,0.024045,0.024349,0.023966,0.024281,0.024158,0.019753,0.019973,0.021098,0.02236,0.023255,0.024424,0.025685,0.025021,0.011729,0.0072164,0.0071939,0.0067553,0.0063161,0.0066225,0.0059152,0.0057316,0.0045962,0.0041448,0.0038885,0.0036432,0.0035276,0.003165,0.0031223,0.0018886,0.0014283,0.00096796,0.00050764,0.00019949
ANNEXI,1.478e-06,1.509e-06,1.5392e-06,1.5681e-06,1.5951e-06,1.6199e-06,1.6419e-06,1.6607e-06,1.6756e-06,1.6863e-06,1.6922e-06,1.6951e-06,1.6972e-06,1.6987e-06,1.6999e-06,1.7009e-06,1.702e-06,1.7032e-06,1.7049e-06,1.7072e-06,1.7103e-06,1.7391e-06,1.8115e-06,1.9175e-06,2.047e-06,2.1898e-06,2.3358e-06,2.4749e-06,2.5969e-06,2.6919e-06,2.7495e-06,2.7822e-06,2.8095e-06,2.8326e-06,2.8525e-06,2.8702e-06,2.887e-06,2.9037e-06,2.9216e-06,2.9416e-06,2.9649e-06,2.9901e-06,3.0155e-06,3.0416e-06,3.0685e-06,3.0967e-06,3.1266e-06,3.1585e-06,3.1928e-06,3.2298e-06,3.2699e-06,3.3163e-06,3.3711e-06,3.4326e-06,3.4996e-06,3.5704e-06,3.6437e-06,3.7179e-06,3.7916e-06,3.8633e-06,3.9314e-06,3.9972e-06,4.0627e-06,4.1281e-06,4.1933e-06,4.2586e-06,4.324e-06,4.3896e-06,4.4556e-06,4.522e-06,4.589e-06,4.6574e-06,4.7277e-06,4.7992e-06,4.8713e-06,4.9432e-06,5.0144e-06,5.084e-06,5.1514e-06,5.2159e-06,5.277e-06,0.48815,1.8498,3.9309,6.5773,9.6348,12.9493,16.3667,19.7329,22.8937,25.6951,28.1255,30.3386,32.4275,34.4855,36.6058,38.8816,41.4061,44.2727,47.5744,51.4045,56.9717,65.1689,75.6154,87.931,101.735,116.6471,132.2867,148.2734,164.2267,179.7662,196.5676,216.0271,237.3454,259.7231,282.3609,304.4594,325.2191,343.8407,359.5248,324.3523,327.4742,331.1379,346.5053,361.1552,336.7027,345.8724,343.848,346.3146,350.2349,322.6153,308.1957,273.9753,278.0418,281.3346,266.7522,248.9351,241.958,229.135,225.8374,190.7329,183.3371,177.1483,171.8148,177.9121,181.1725,187.3217,175.2331,142.8276,113.6354,118.3739,111.1698,106.807,106.5793,108.2534,110.2999,101.4877,105.5524,85.2583,71.6501,64.9261,65.8693,58.4702,52.7855,53.8055,52.5057,53.1206,52.4566
ANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1985e-11,8.331e-11,1.7703e-10,2.9621e-10,4.3391e-10,5.8317e-10,7.3706e-10,8.8864e-10,1.031e-09,1.1571e-09,1.2639e-09,1.3567e-09,1.4416e-09,1.5245e-09,1.6114e-09,1.7082e-09,1.8209e-09,1.9555e-09,2.118e-09,2.3142e-09,2.7617e-09,3.629e-09,4.8484e-09,6.3525e-09,8.0736e-09,9.9441e-09,1.1896e-08,1.3863e-08,1.5777e-08,1.7569e-08,1.928e-08,2.1003e-08,2.2753e-08,2.4545e-08,2.6393e-08,2.8314e-08,3.0321e-08,3.2429e-08,3.4654e-08,3.3972e-08,3.4568e-08,3.5164e-08,3.5462e-08,3.576e-08,3.6058e-08,3.6356e-08,3.6356e-08,3.6356e-08,3.6356e-08,3.6654e-08,3.6952e-08,3.7548e-08,3.8144e-08,3.874e-08,3.9336e-08,3.9932e-08,4.0528e-08,4.0826e-08,4.172e-08,4.2614e-08,4.4104e-08,4.5594e-08,4.7382e-08,4.8574e-08,4.9468e-08,4.9766e-08,4.9468e-08,4.8872e-08,4.7978e-08,4.7084e-08,4.619e-08,4.5594e-08,4.4998e-08,4.5594e-08,4.7084e-08,5.0362e-08,5.4534e-08,5.9302e-08,6.4368e-08,6.854e-08,7.2116e-08,7.5096e-08,7.0896e-08,7.2943e-08,7.4991e-08,7.7039e-08,7.9086e-08
AOSIS,1.6695e-08,1.7045e-08,1.7386e-08,1.7712e-08,1.8018e-08,1.8298e-08,1.8546e-08,1.8758e-08,1.8927e-08,1.9047e-08,1.9114e-08,1.9146e-08,1.917e-08,1.9188e-08,1.9201e-08,1.9213e-08,1.9225e-08,1.9239e-08,1.9258e-08,1.9283e-08,1.9318e-08,1.9643e-08,2.0462e-08,2.1659e-08,2.3121e-08,2.4734e-08,2.6383e-08,2.7955e-08,2.9333e-08,3.0406e-08,3.1057e-08,3.1426e-08,3.1735e-08,3.1995e-08,3.222e-08,3.242e-08,3.2609e-08,3.2799e-08,3.3e-08,3.3226e-08,3.3489e-08,3.3774e-08,3.4062e-08,3.4356e-08,3.466e-08,3.4979e-08,3.5317e-08,3.5677e-08,3.6064e-08,3.6482e-08,3.6935e-08,3.7459e-08,3.8077e-08,3.8773e-08,3.9529e-08,4.0329e-08,4.1157e-08,4.1995e-08,4.2827e-08,4.3637e-08,4.4407e-08,4.515e-08,4.589e-08,4.6628e-08,4.7365e-08,4.8102e-08,4.8841e-08,4.9583e-08,5.0328e-08,5.1078e-08,5.1834e-08,5.2607e-08,5.3401e-08,5.4209e-08,5.5023e-08,5.5836e-08,5.6639e-08,5.7425e-08,5.8187e-08,5.8916e-08,5.9605e-08,0.0004818,0.0018256,0.0038794,0.0064909,0.0095082,0.012779,0.016151,0.019473,0.022591,0.025355,0.027709,0.02978,0.031689,0.033558,0.035508,0.037659,0.040134,0.043054,0.046538,0.05071,0.060136,0.078359,0.10396,0.13554,0.17166,0.21092,0.2519,0.29318,0.33335,0.371,0.40708,0.44366,0.48098,0.5193,0.55886,0.59993,0.64274,0.68756,0.73462,0.78715,0.81865,0.8591,0.93986,1.0027,0.95807,0.96721,0.7883,1.5361,2.2123,1.8767,1.9978,1.1295,0.87901,1.6403,1.533,1.4615,1.2288,1.1215,1.0187,1.0009,0.81395,0.71217,0.63586,1.0397,1.413,1.7831,2.5799,3.288,2.7455,5.422,6.6901,0.60955,0.78332,0.74826,0.74838,0.75561,0.75597,0.75526,0.74472,0.74401,0.7442,0.74439,0.015314,0.015473,0.015632,0.015791,0.01595
ARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6392e-06,3.2739e-05,6.9574e-05,0.00011642,0.00017054,0.00022922,0.00028973,0.00034935,0.00040534,0.00045498,0.00050374,0.00055748,0.00061407,0.00067139,0.0007273,0.00077967,0.00082637,0.00086528,0.00089426,0.00091118,0.00092002,0.00092655,0.00093139,0.00093514,0.0009384,0.00094177,0.00094587,0.00095129,0.00095863,0.00096851,0.0010354,0.0012124,0.001498,0.0018908,0.0023893,0.0029921,0.0036976,0.0045044,0.0054111,0.010549,0.012337,0.014513,0.017135,0.020234,0.02378,0.027863,0.032482,0.036952,0.041422,0.045594,0.048872,0.051852,0.054534,0.057216,0.060494,0.06407,0.067944,0.072414,0.076586,0.081056,0.085824,0.090294,0.09536,0.10013,0.10519,0.11056,0.11622,0.12248,0.12903,0.13648,0.14423,0.15198,0.16241,0.1782,0.20085,0.23155,0.26909,0.30992,0.34568,0.3725,0.39038,0.4023,0.41514,0.43747,0.4598,0.48214,0.50447
