code,N2OAR4_IPC2_TOTAL_NET_HISTORY_UNFCCC2019BI
entity,N2O
category,IPC2
name_category,IndustrialProcessesAndProductUse
type,NET
class,TOTAL
descr,Result of N2O_CAT2_TOTAL_NET_HISTORY_UNFCCC2019BT+N2O_CAT3_TOTAL_NET_HISTORY_UNFCCC2019BT - regarding information just missing in one of the tables as zero
note,calculated by the function combine_tables by Julia_dot_Nabel_at_pik_minus_potsdam_dot_de
source,UNFCCC2019BI
scenario,HISTORY
datatype,CountryYearMatrix
tablekind,usr
family,emi
subsource,UNFCCC_2019B.csv
unit,MtCO2eq
gwp,AR4
iso3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
ARG,0.12185,NaN,NaN,NaN,0.12985,NaN,NaN,0.14203,NaN,NaN,0.13973,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.11849,NaN,0.13973,NaN,NaN,NaN,NaN
BRA,3.5253,4.3389,4.0528,5.1494,5.2061,5.5339,4.3717,3.9247,5.9809,5.966,6.2848,5.1643,6.3891,5.9302,8.1712,7.2176,7.7838,1.2993,1.1026,0.58408,0.6407,0.65262,0.55428,0.53938,0.60196,0.55428,NaN
CHL,0.298,NaN,NaN,NaN,0.298,NaN,NaN,NaN,NaN,NaN,0.5066,NaN,NaN,NaN,NaN,NaN,0.1997,NaN,NaN,NaN,0.5066,NaN,NaN,0.5364,NaN,NaN,0.447
CHN,NaN,NaN,NaN,NaN,4.47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.6774,NaN,NaN,NaN,NaN,NaN,NaN,75.99,NaN,NaN,NaN,NaN
COL,0.0596,NaN,NaN,NaN,0.0745,NaN,NaN,NaN,NaN,NaN,0.3278,NaN,NaN,NaN,0.4023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CUB,0.98936,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0447,NaN,0.01788,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EARTH,10.1475,7.9351,9.0136,9.8772,22.4579,11.0008,11.1711,10.6657,12.9082,13.5275,25.7569,13.8615,14.9936,18.2405,23.8614,56.966,20.7298,5.452,4.4492,4.046,7.5316,4.1225,80.3494,3.065,1.7638,1.3097,0.447
EGY,0.298,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.8473,NaN,NaN,NaN,NaN,4.8473,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GEO,0.48067,0.49915,0.2831,0.21665,0.12576,0.15794,0.25092,0.27714,NaN,NaN,0.46002,0.30244,0.30256,0.30286,0.45531,0.54218,0.54833,0.61985,0.39635,0.73011,0.765,0.78652,0.77916,0.79251,NaN,NaN,NaN
IDN,0.00298,0.00298,0.00298,0.01788,0.00298,NaN,NaN,NaN,NaN,NaN,0.12814,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IND,NaN,NaN,NaN,NaN,2.682,NaN,NaN,NaN,NaN,NaN,3.8144,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4168,NaN,NaN,NaN,NaN,NaN,NaN
ISR,NaN,NaN,NaN,NaN,NaN,NaN,0.51679,NaN,NaN,NaN,0.48554,NaN,NaN,0.76058,0.83272,0.83333,0.78932,0.86389,0.81949,0.6702,0.74384,0.51261,0.80576,0.77284,0.81378,0.75539,NaN
KOR,0.15496,0.37846,2.3363,2.3482,2.5777,3.0664,3.4747,4.178,4.7978,5.7276,6.5202,6.8927,6.6484,9.8638,12.1435,10.3138,9.5509,0.87612,0.27118,0.22648,0.19966,0.30396,0.20264,0.25628,0.34568,NaN,NaN
LCA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0004172,NaN,NaN,NaN,NaN,0.000596,NaN,NaN,NaN,NaN,0.0020264,NaN,NaN,NaN,NaN,NaN,NaN
MDA,2.98e-05,2.98e-05,2.98e-05,2.98e-05,2.98e-05,NaN,5.96e-07,8.94e-07,1.49e-06,1.2814e-05,1.192e-05,NaN,1.192e-05,1.192e-05,2.98e-05,2.98e-05,2.98e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MEX,0.52746,0.62956,0.32685,0.40766,0.44629,0.84197,1.0581,0.81783,0.74381,0.61811,0.26807,0.2236,0.11583,0.10762,0.10678,0.11239,0.12762,0.12705,0.13421,0.14246,0.14877,0.15334,0.1613,0.16754,NaN,NaN,NaN
PRK,2.086,NaN,NaN,NaN,2.98,NaN,NaN,NaN,NaN,NaN,0.298,NaN,0.298,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TKM,NaN,NaN,NaN,NaN,0.33573,NaN,NaN,NaN,NaN,NaN,0.38582,NaN,NaN,NaN,0.3854,NaN,NaN,NaN,NaN,NaN,0.26671,NaN,NaN,NaN,NaN,NaN,NaN
URY,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.005662,NaN,NaN,NaN,0.005364,NaN,NaN,NaN,NaN,NaN,0.003576,NaN,0.00298,NaN,0.002384,NaN,NaN
UZB,1.6032,2.086,2.0115,1.7373,1.3261,1.4006,1.4989,1.3261,1.3857,1.2158,1.2367,1.2784,1.2218,1.2754,1.3589,1.4215,1.49,1.6658,1.7254,1.6926,1.7195,1.7135,1.7135,NaN,NaN,NaN,NaN
ZWE,NaN,NaN,NaN,NaN,1.8029,NaN,NaN,NaN,NaN,NaN,0.00298,NaN,NaN,NaN,NaN,NaN,0.24019,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
