code,N2OAR4_IPC4_TOTAL_NET_HISTORY_UNFCCC2019BI
entity,N2O
category,IPC4
name_category,Waste
type,NET
class,TOTAL
descr,GHG data submitted to the UNFCCC by Parties: non-AnnexI Parties only. See http://unfccc.int/di/DetailedByParty.do
note,Read in by JG and RG
source,UNFCCC2019BI
scenario,HISTORY
datatype,CountryYearMatrix
tablekind,usr
family,emi
subsource,UNFCCC_2019B.csv
unit,MtCO2eq
gwp,AR4
iso3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
ALB,0.04172,0.04172,0.04172,0.04172,0.04172,0.04172,0.04172,0.04172,0.04172,0.04172,0.08046,0.08046,0.08046,0.08046,0.08344,0.08344,0.08344,0.08344,0.08344,0.08344,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ARE,NaN,NaN,NaN,NaN,0.0596,NaN,NaN,NaN,NaN,NaN,0.0894,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2384,NaN,NaN
ARG,0.73801,NaN,NaN,NaN,0.82716,NaN,NaN,0.92748,NaN,NaN,0.92643,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0132,NaN,1.0132,NaN,NaN,NaN,NaN
ARM,0.050958,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.05364,NaN,NaN,NaN,NaN,NaN,0.059898,NaN,NaN,NaN,0.060196,NaN,NaN,NaN,NaN,NaN,NaN
AZE,0.21456,0.06258,0.06258,0.06258,0.06556,0.06556,0.06556,0.06556,0.06556,0.06556,NaN,0.08046,0.08344,0.08344,0.08642,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.28012,0.013827,NaN,NaN,NaN
BOL,0.08642,NaN,NaN,NaN,0.10728,NaN,NaN,NaN,0.11622,NaN,0.12814,NaN,0.14304,NaN,0.14304,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BRA,1.2933,1.3201,1.3499,1.3797,1.4095,1.4393,1.4691,1.5258,1.5883,1.6509,1.6926,1.7254,1.8118,1.9012,1.934,1.9698,2.0026,2.0353,2.0741,2.1098,2.1486,2.1665,2.1843,2.2648,2.2827,2.3035,NaN
CAF,NaN,NaN,NaN,NaN,2.384,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.070626,0.072414,0.073904,0.075692,0.077182,0.078672,0.08046,0.082248,NaN,NaN,NaN,NaN,NaN,NaN
CHL,0.1788,NaN,NaN,NaN,0.2086,NaN,NaN,NaN,NaN,NaN,0.2384,NaN,NaN,NaN,NaN,NaN,0.093635,NaN,NaN,NaN,0.3278,NaN,NaN,0.3278,NaN,NaN,0.3576
COL,0.5662,NaN,NaN,NaN,0.596,NaN,NaN,NaN,NaN,NaN,0.66156,NaN,NaN,NaN,0.74202,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CUB,0.13708,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1434,NaN,0.16748,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DMA,NaN,NaN,NaN,NaN,0.00298,NaN,NaN,NaN,NaN,NaN,0.00447,0.00447,0.00447,0.00447,0.004172,0.00447,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DOM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.11324,NaN,0.11622,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.07152,NaN,NaN,NaN,NaN,NaN,NaN
EARTH,7.8877,5.101,5.2483,5.4736,14.6017,6.9978,6.2298,7.3217,6.9373,6.8024,18.3803,7.334,7.9854,7.8839,8.7996,9.0479,8.3323,7.8658,8.5747,8.3193,38.9559,8.8056,12.614,9.9404,4.382,2.5529,0.3576
ETH,0.298,0.298,0.298,0.298,0.69357,0.71657,0.73917,0.76149,0.78382,0.8066,0.83015,0.85455,0.69299,0.87009,0.8953,0.92081,0.94661,0.76649,0.99924,1.0262,1.0537,1.0816,1.1101,1.139,NaN,NaN,NaN
GEO,0.030754,NaN,NaN,NaN,NaN,NaN,NaN,0.019668,NaN,NaN,0.08344,0.08344,NaN,NaN,NaN,NaN,0.04768,0.04768,0.04768,0.04768,0.09834,0.09834,0.10132,0.10132,NaN,NaN,NaN
GHA,0.09834,0.10132,0.1043,0.11026,0.11324,0.11622,0.1192,0.12218,0.12814,0.13708,0.1341,0.13708,0.14602,0.149,0.149,0.16092,0.16092,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GTM,0.13827,NaN,NaN,NaN,0.14632,NaN,NaN,NaN,NaN,NaN,0.17135,NaN,NaN,NaN,NaN,0.18357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IND,NaN,NaN,NaN,NaN,2.086,NaN,NaN,NaN,NaN,NaN,3.9425,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.0137,NaN,NaN,NaN,NaN,NaN,NaN
ISR,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.17792,NaN,NaN,0.20124,0.21023,0.21208,0.22184,0.21757,0.22147,0.22816,0.23121,0.2368,0.23727,0.24752,0.25412,0.24935,NaN
KEN,NaN,NaN,NaN,NaN,NaN,0.447,NaN,NaN,NaN,NaN,0.48276,NaN,NaN,NaN,NaN,0.64666,NaN,NaN,NaN,NaN,0.63772,NaN,NaN,NaN,NaN,NaN,NaN
KGZ,0.088208,0.080013,0.080073,0.079506,0.070805,0.076765,0.074977,0.069732,0.07301,0.075066,0.072474,0.073636,0.078255,0.080192,0.081712,0.084692,0.08499,0.083082,0.086629,0.090532,0.090801,NaN,NaN,NaN,NaN,NaN,NaN
KOR,0.95956,0.91188,0.94466,0.94466,0.95956,1.0013,1.0251,1.049,1.046,1.0907,1.1562,1.1652,1.192,1.2009,1.198,1.3023,1.2129,1.2486,1.2754,1.2903,1.4066,1.4304,1.4691,1.5496,1.5436,NaN,NaN
LBN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.07748,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.14006,0.14304,0.14084,NaN,NaN,NaN
LCA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0028012,NaN,NaN,NaN,NaN,0.0030992,NaN,NaN,NaN,NaN,0.0036356,NaN,NaN,NaN,NaN,NaN,NaN
MAR,NaN,NaN,NaN,NaN,0.298,NaN,NaN,NaN,NaN,NaN,0.47084,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.4446,NaN,0.8046,NaN,NaN,NaN,NaN
MDA,0.10153,0.092082,0.085019,0.079775,0.07742,0.078404,0.077212,0.078612,0.079417,0.077689,0.079506,0.080669,0.082784,0.079894,0.082159,0.086003,0.084364,0.080222,0.080818,0.078374,0.08189,0.080341,0.081771,0.082099,NaN,NaN,NaN
MEX,1.2991,1.3496,1.397,1.441,1.5623,1.5863,1.6085,1.6609,1.6986,1.7494,1.8176,1.8697,1.9022,1.9083,1.9294,1.9554,2.0089,2.0528,2.0727,2.0809,2.137,2.2,2.2184,2.1157,NaN,NaN,NaN
MHL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0011562,NaN,NaN,NaN,NaN,0.0010013,NaN,NaN,NaN,NaN,0.0011175,NaN,NaN,NaN,NaN,NaN,NaN
MKD,0.051511,0.05179,0.052222,0.052476,0.049196,0.049936,0.050368,0.050723,0.051003,0.051231,0.05146,0.051689,0.05137,0.042402,0.042402,0.042402,0.042402,0.045382,0.042411,0.042459,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MUS,NaN,NaN,NaN,NaN,NaN,0.21516,NaN,NaN,NaN,NaN,0.02834,0.025747,0.027923,0.024496,0.019668,0.024943,0.02086,NaN,NaN,NaN,NaN,NaN,NaN,0.02086,NaN,NaN,NaN
