code,N2OAR4_IPC5_TOTAL_NET_HISTCR_PRIMAPHIST21
entity,N2O
category,IPC5
name_category,Other
type,NET
class,TOTAL
source,PRIMAPHIST21
descr,Data read in by JG. LJ | built by Johannes Guetschow
note,Renamed as composite source from N2O_IPC5_TOTAL_NET_HISTORY_CRF2019! | Renamed as composite source from N2O_IPC5_TOTAL_NET_PMHTHISTCR_TEMPSRC1! | Renamed as composite source from N2O_IPC5_TOTAL_NET_PMHTHISTCR_TEMPSRC2! | Add the countries {MDA} from N2O_IPC5_TOTAL_NET_HISTORY_BUR2IPCC2006I || Renamed as composite source from N2O_IPC5_TOTAL_NET_PMHTHISTCR_TEMPSRC3! | Renamed as composite source from N2O_IPC5_TOTAL_NET_PMHTHISTCR_TEMPSRC4! | Renamed as composite source from N2O_IPC5_TOTAL_NET_PMHTHISTCR_TEMPSRC5! | Renamed as composite source from N2O_IPC5_TOTAL_NET_PMHTHISTCR_TEMPSRC6! | Add the countries {ABW.AFG.AGO.AIA.ALB.AND.ANT.ARE.ARG.ARM.ATG.AUS.AUT.AZE.BDI.BEL.BEN.BFA.BGD.BGR.BHR.BHS.BIH.BLR.BLZ.BOL.BRA.BRB.BRN.BTN.BWA.CAF.CAN.CHL.CHN.CIV.CMR.COD.COG.COK.COL.COM.CPV.CRI.CUB.CYP.CZE.DEU.DJI.DMA.DNK.DOM.DZA.ECU.EGY.ERI.ESP.EST.ETH.FIN.FJI.FRA.GAB.GBR.GEO.GHA.GIN.GMB.GNB.GNQ.GRC.GRD.GTM.GUY.HKG.HND.HRV.HTI.HUN.IDN.IND.IRL.IRN.IRQ.ISL.ISR.ITA.JAM.JOR.JPN.KAZ.KEN.KGZ.KHM.KIR.KNA.KOR.KWT.LAO.LBN.LBR.LBY.LCA.LIE.LKA.LSO.LTU.LUX.LVA.MAC.MAR.MCO.MDG.MDV.MEX.MKD.MLI.MLT.MMR.MNE.MNG.MOZ.MRT.MUS.MWI.MYS.NAM.NER.NGA.NIC.NLD.NOR.NPL.OMN.PAK.PAN.PER.PHL.PLW.PNG.POL.PRK.PRT.PRY.QAT.ROU.RUS.RWA.SAU.SDN.SEN.SGP.SHN.SLB.SLE.SLV.SMR.SOM.SRB.SSD.STP.SUR.SVK.SVN.SWE.SWZ.SYC.SYR.TCA.TCD.TGO.THA.TJK.TKM.TLS.TON.TTO.TUN.TUR.TWN.TZA.UGA.UKR.URY.USA.UZB.VAT.VCT.VEN.VGB.VNM.VUT.WSM.YEM.ZAF.ZMB.ZWE} from N2O_IPC5_TOTAL_NET_HISTORY_EDGAR432I || Pad values of country CHE... || Pad values of country MDA... || Pad values of country NZL... || Renamed as composite source from N2O_IPC5_TOTAL_NET_PMHTHISTCR_TEMPSRC7! | Add the countries {FSM.NIU.NRU.TKL.TUV} from N2O_IPC5_TOTAL_NET_HISTORY_EDGAR42COMPI ||  | built by Johannes Guetschow
scenario,HISTCR
datatype,CountryYearMatrix
tablekind,csg
family,emi
subsource,Table10s4
unit,MtCO2eq
gwp,AR4
iso3,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ABW,3.7862e-20,2.3014e-06,4.6027e-06,6.9041e-06,9.2054e-06,1.1507e-05,1.3808e-05,1.611e-05,1.8411e-05,2.0712e-05,2.3014e-05,2.5315e-05,2.7616e-05,2.9918e-05,3.2219e-05,3.452e-05,3.6822e-05,3.9123e-05,4.1425e-05,4.3726e-05,4.6027e-05,4.8329e-05,5.063e-05,5.2931e-05,5.5233e-05,5.7534e-05,5.9835e-05,6.2137e-05,6.4438e-05,6.6739e-05,6.9041e-05,7.1342e-05,7.3644e-05,7.5945e-05,7.8246e-05,8.0548e-05,8.2849e-05,8.515e-05,8.7452e-05,8.9753e-05,9.2054e-05,9.4356e-05,9.6657e-05,9.8959e-05,0.00010126,0.00010356,0.00010586,0.00010816,0.00011047,0.00011277,0.00011507,0.00011737,0.00011967,0.00012197,0.00012427,0.00012657,0.00012888,0.00013118,0.00013348,0.00013578,0.00013808,0.00014038,0.00014268,0.00014499,0.00014729,0.00014959,0.00015189,0.00015419,0.00015649,0.00015879,0.0001611,0.0001634,0.0001657,0.000168,0.0001703,0.0001726,0.0001749,0.0001772,0.00017951,0.00018181,0.00018411,0.00018641,0.00018871,0.00019101,0.00019331,0.00019562,0.00019792,0.00020022,0.00020252,0.00020482,0.00020712,0.00020942,0.00021173,0.00021403,0.00021633,0.00021863,0.00022093,0.00022323,0.00022553,0.00022783,0.00023014,0.00023244,0.00023474,0.00023704,0.00023934,0.00024164,0.00024394,0.00024625,0.00024855,0.00025085,0.00025315,0.00025545,0.00025775,0.00026005,0.00026236,0.00026466,0.00026696,0.00026926,0.00027156,0.00027386,0.00027386,0.00027327,0.00027386,0.00028876,0.00030485,0.00034717,0.0006851,0.0007009,0.001614,0.0017075,0.001937,0.0021456,0.0023214,0.0023512,0.0024913,0.0025986,0.001931,0.0027088,0.0025658,0.0026582,0.0027148,0.0027416,0.002977,0.0032452,0.0032661,0.0034032,0.00076824,0.00086152,0.0012161,0.0012924,0.0016628,0.0016599,0.0015407,0.0015198,0.0014572,0.0014125,0.0014006,0.0015049,0.0015019,0.0015675,0.0016748,0.001633,0.0016479,0.0016429,0.0016592,0.0016754,0.0016917,0.001708
AFG,2.0193e-18,0.00012291,0.00024581,0.00036872,0.00049162,0.00061453,0.00073743,0.00086034,0.00098324,0.0011061,0.0012291,0.001352,0.0014749,0.0015978,0.0017207,0.0018436,0.0019665,0.0020894,0.0022123,0.0023352,0.0024581,0.002581,0.0027039,0.0028268,0.0029497,0.0030726,0.0031955,0.0033184,0.0034413,0.0035642,0.0036872,0.0038101,0.003933,0.0040559,0.0041788,0.0043017,0.0044246,0.0045475,0.0046704,0.0047933,0.0049162,0.0050391,0.005162,0.0052849,0.0054078,0.0055307,0.0056536,0.0057765,0.0058994,0.0060223,0.0061453,0.0062682,0.0063911,0.006514,0.0066369,0.0067598,0.0068827,0.0070056,0.0071285,0.0072514,0.0073743,0.0074972,0.0076201,0.007743,0.0078659,0.0079888,0.0081117,0.0082346,0.0083575,0.0084804,0.0086034,0.0087263,0.0088492,0.0089721,0.009095,0.0092179,0.0093408,0.0094637,0.0095866,0.0097095,0.0098324,0.0099553,0.010078,0.010201,0.010324,0.010447,0.01057,0.010693,0.010816,0.010939,0.011061,0.011184,0.011307,0.01143,0.011553,0.011676,0.011799,0.011922,0.012045,0.012168,0.012291,0.012413,0.012536,0.012659,0.012782,0.012905,0.013028,0.013151,0.013274,0.013397,0.01352,0.013642,0.013765,0.013888,0.014011,0.014134,0.014257,0.01438,0.014503,0.014626,0.012963,0.013112,0.01341,0.013619,0.01496,0.015734,0.015109,0.017671,0.035343,0.028817,0.025062,0.027654,0.027088,0.027535,0.027565,0.024645,0.023214,0.024853,0.023453,0.022439,0.023184,0.022946,0.021098,0.021903,0.02378,0.032303,0.034002,0.032035,0.031558,0.031439,0.037667,0.035522,0.037816,0.041124,0.044938,0.047114,0.050809,0.045564,0.058617,0.073636,0.088983,0.097118,0.10314,0.094469,0.099402,0.10434,0.10927,0.1142
AGO,1.0856e-17,0.0006518,0.0013036,0.0019554,0.0026072,0.003259,0.0039108,0.0045626,0.0052144,0.0058662,0.006518,0.0071698,0.0078216,0.0084733,0.0091251,0.0097769,0.010429,0.011081,0.011732,0.012384,0.013036,0.013688,0.01434,0.014991,0.015643,0.016295,0.016947,0.017598,0.01825,0.018902,0.019554,0.020206,0.020857,0.021509,0.022161,0.022813,0.023465,0.024116,0.024768,0.02542,0.026072,0.026724,0.027375,0.028027,0.028679,0.029331,0.029983,0.030634,0.031286,0.031938,0.03259,0.033242,0.033893,0.034545,0.035197,0.035849,0.036501,0.037152,0.037804,0.038456,0.039108,0.03976,0.040411,0.041063,0.041715,0.042367,0.043019,0.04367,0.044322,0.044974,0.045626,0.046278,0.046929,0.047581,0.048233,0.048885,0.049536,0.050188,0.05084,0.051492,0.052144,0.052795,0.053447,0.054099,0.054751,0.055403,0.056054,0.056706,0.057358,0.05801,0.058662,0.059313,0.059965,0.060617,0.061269,0.061921,0.062572,0.063224,0.063876,0.064528,0.06518,0.065831,0.066483,0.067135,0.067787,0.068439,0.06909,0.069742,0.070394,0.071046,0.071698,0.072349,0.073001,0.073653,0.074305,0.074957,0.075608,0.07626,0.076912,0.077564,0.078821,0.078761,0.089698,0.08642,0.084632,0.082546,0.08344,0.077271,0.089102,0.088506,0.088804,0.088208,0.089102,0.090294,0.084751,0.092976,0.094168,0.09536,0.10162,0.104,0.10728,0.11056,0.11145,0.11682,0.12039,0.11682,0.1195,0.12427,0.12158,0.13499,0.13917,0.14632,0.15496,0.17612,0.17671,0.17224,0.19161,0.20771,0.23274,0.25956,0.28101,0.28519,0.29085,0.29975,0.31247,0.32518,0.33789,0.35061
AIA,5.8687e-21,3.5858e-07,7.1715e-07,1.0757e-06,1.4343e-06,1.7929e-06,2.1515e-06,2.51e-06,2.8686e-06,3.2272e-06,3.5858e-06,3.9443e-06,4.3029e-06,4.6615e-06,5.0201e-06,5.3786e-06,5.7372e-06,6.0958e-06,6.4544e-06,6.8129e-06,7.1715e-06,7.5301e-06,7.8887e-06,8.2472e-06,8.6058e-06,8.9644e-06,9.323e-06,9.6815e-06,1.004e-05,1.0399e-05,1.0757e-05,1.1116e-05,1.1474e-05,1.1833e-05,1.2192e-05,1.255e-05,1.2909e-05,1.3267e-05,1.3626e-05,1.3984e-05,1.4343e-05,1.4702e-05,1.506e-05,1.5419e-05,1.5777e-05,1.6136e-05,1.6494e-05,1.6853e-05,1.7212e-05,1.757e-05,1.7929e-05,1.8287e-05,1.8646e-05,1.9004e-05,1.9363e-05,1.9722e-05,2.008e-05,2.0439e-05,2.0797e-05,2.1156e-05,2.1515e-05,2.1873e-05,2.2232e-05,2.259e-05,2.2949e-05,2.3307e-05,2.3666e-05,2.4025e-05,2.4383e-05,2.4742e-05,2.51e-05,2.5459e-05,2.5817e-05,2.6176e-05,2.6535e-05,2.6893e-05,2.7252e-05,2.761e-05,2.7969e-05,2.8327e-05,2.8686e-05,2.9045e-05,2.9403e-05,2.9762e-05,3.012e-05,3.0479e-05,3.0837e-05,3.1196e-05,3.1555e-05,3.1913e-05,3.2272e-05,3.263e-05,3.2989e-05,3.3348e-05,3.3706e-05,3.4065e-05,3.4423e-05,3.4782e-05,3.514e-05,3.5499e-05,3.5858e-05,3.6216e-05,3.6575e-05,3.6933e-05,3.7292e-05,3.765e-05,3.8009e-05,3.8368e-05,3.8726e-05,3.9085e-05,3.9443e-05,3.9802e-05,4.016e-05,4.0519e-05,4.0878e-05,4.1236e-05,4.1595e-05,4.1953e-05,4.2312e-05,4.267e-05,4.6965e-05,4.6667e-05,4.8365e-05,4.6697e-05,5.0064e-05,5.4653e-05,5.0004e-05,5.1435e-05,5.8795e-05,6.0107e-05,7.9179e-05,0.00011574,0.00012096,0.00010433,9.986e-05,6.6365e-05,5.8676e-05,9.232e-05,8.5496e-05,8.946e-05,8.7999e-05,0.00010934,0.00011378,0.00013184,0.00017239,0.00022365,0.00021632,0.00017704,0.00014656,0.00013356,0.00016968,0.00016426,0.00010555,0.00012319,0.00010886,0.0001057,0.00010129,8.9728e-05,0.000111,0.00014888,0.00017928,0.0001912,0.00019155,0.00015485,0.00015696,0.00015906,0.00016116,0.00016327
ALB,4.911e-18,0.00029841,0.00059683,0.00089524,0.0011937,0.0014921,0.0017905,0.0020889,0.0023873,0.0026857,0.0029841,0.0032825,0.003581,0.0038794,0.0041778,0.0044762,0.0047746,0.005073,0.0053714,0.0056698,0.0059683,0.0062667,0.0065651,0.0068635,0.0071619,0.0074603,0.0077587,0.0080571,0.0083556,0.008654,0.0089524,0.0092508,0.0095492,0.0098476,0.010146,0.010444,0.010743,0.011041,0.01134,0.011638,0.011937,0.012235,0.012533,0.012832,0.01313,0.013429,0.013727,0.014025,0.014324,0.014622,0.014921,0.015219,0.015517,0.015816,0.016114,0.016413,0.016711,0.01701,0.017308,0.017606,0.017905,0.018203,0.018502,0.0188,0.019098,0.019397,0.019695,0.019994,0.020292,0.02059,0.020889,0.021187,0.021486,0.021784,0.022083,0.022381,0.022679,0.022978,0.023276,0.023575,0.023873,0.024171,0.02447,0.024768,0.025067,0.025365,0.025663,0.025962,0.02626,0.026559,0.026857,0.027156,0.027454,0.027752,0.028051,0.028349,0.028648,0.028946,0.029244,0.029543,0.029841,0.03014,0.030438,0.030736,0.031035,0.031333,0.031632,0.03193,0.032229,0.032527,0.032825,0.033124,0.033422,0.033721,0.034019,0.034317,0.034616,0.034914,0.035213,0.035511,0.036207,0.036177,0.04026,0.0343,0.035313,0.034717,0.037429,0.038859,0.042644,0.048842,0.052746,0.039962,0.041899,0.045415,0.051494,0.048306,0.047352,0.048574,0.048634,0.048008,0.038144,0.027952,0.018983,0.018476,0.019817,0.018416,0.01791,0.014572,0.018297,0.032244,0.032512,0.03284,0.036445,0.035936,0.040349,0.039068,0.034032,0.033233,0.035203,0.028316,0.027401,0.029618,0.028092,0.032059,0.032037,0.032015,0.031992,0.03197
AND,1.6558e-19,1.016e-05,2.0319e-05,3.0479e-05,4.0638e-05,5.0798e-05,6.0957e-05,7.1117e-05,8.1276e-05,9.1436e-05,0.0001016,0.00011176,0.00012191,0.00013207,0.00014223,0.00015239,0.00016255,0.00017271,0.00018287,0.00019303,0.00020319,0.00021335,0.00022351,0.00023367,0.00024383,0.00025399,0.00026415,0.00027431,0.00028447,0.00029463,0.00030479,0.00031495,0.00032511,0.00033527,0.00034542,0.00035558,0.00036574,0.0003759,0.00038606,0.00039622,0.00040638,0.00041654,0.0004267,0.00043686,0.00044702,0.00045718,0.00046734,0.0004775,0.00048766,0.00049782,0.00050798,0.00051814,0.0005283,0.00053846,0.00054862,0.00055878,0.00056893,0.00057909,0.00058925,0.00059941,0.00060957,0.00061973,0.00062989,0.00064005,0.00065021,0.00066037,0.00067053,0.00068069,0.00069085,0.00070101,0.00071117,0.00072133,0.00073149,0.00074165,0.00075181,0.00076197,0.00077213,0.00078229,0.00079245,0.0008026,0.00081276,0.00082292,0.00083308,0.00084324,0.0008534,0.00086356,0.00087372,0.00088388,0.00089404,0.0009042,0.00091436,0.00092452,0.00093468,0.00094484,0.000955,0.00096516,0.00097532,0.00098548,0.00099564,0.0010058,0.001016,0.0010261,0.0010363,0.0010464,0.0010566,0.0010668,0.0010769,0.0010871,0.0010972,0.0011074,0.0011176,0.0011277,0.0011379,0.001148,0.0011582,0.0011683,0.0011785,0.0011887,0.0011988,0.001209,0.0011131,0.0011854,0.0012815,0.0014298,0.00147,0.001464,0.0016133,0.0016121,0.0017446,0.0017902,0.0017918,0.001719,0.001748,0.0017739,0.0017881,0.0018285,0.0018774,0.0019518,0.0020287,0.0020904,0.0021513,0.0022849,0.0022918,0.002258,0.002221,0.0022348,0.0021854,0.002062,0.0020502,0.001898,0.0018137,0.0018292,0.0018039,0.0018452,0.001866,0.0018872,0.0018698,0.0018476,0.0018139,0.0017284,0.0017273,0.0016315,0.0015679,0.0016471,0.0016265,0.0016059,0.0015853,0.0015646
ANNEXI,8.9873e-15,0.55049,1.101,1.6515,2.202,2.7525,3.3029,3.8534,4.4039,4.9544,5.5049,6.0554,6.6059,7.1564,7.7069,8.2574,8.8078,9.3583,9.9088,10.4593,11.0098,11.5603,12.1108,12.6613,13.2118,13.7623,14.3127,14.8632,15.4137,15.9642,16.5147,17.0652,17.6157,18.1662,18.7167,19.2672,19.8176,20.3681,20.9186,21.4691,22.0196,22.5701,23.1206,23.6711,24.2216,24.7721,25.3225,25.873,26.4235,26.974,27.5245,28.075,28.6255,29.176,29.7265,30.277,30.8274,31.3779,31.9284,32.4789,33.0294,33.5799,34.1304,34.6809,35.2314,35.7819,36.3323,36.8828,37.4333,37.9838,38.5343,39.0848,39.6353,40.1858,40.7363,41.2868,41.8372,42.3877,42.9382,43.4887,44.0392,44.5897,45.1402,45.6907,46.2412,46.7917,47.3421,47.8926,48.4431,48.9936,49.5441,50.0946,50.6451,51.1956,51.7461,52.2966,52.8471,53.3975,53.948,54.4985,55.049,55.5995,56.15,56.7005,57.251,57.8015,58.352,58.9024,59.4529,60.0034,60.5539,61.1044,61.6549,62.2054,62.7559,63.3064,63.8569,64.4073,64.9578,65.5083,62.9103,62.4649,65.0944,68.159,67.4469,66.3839,68.6027,70.0527,71.1954,71.6951,69.6139,67.8878,65.9302,65.367,66.6665,66.5235,67.1193,71.7103,69.9864,70.5059,69.3427,67.5663,66.4017,64.9725,62.5767,61.1247,61.0239,59.8296,59.6026,59.0038,58.2877,56.9405,55.8525,56.096,55.2435,54.4027,53.5191,53.279,50.5414,46.8698,47.6668,48.0323,48.5017,46.1546,45.2252,44.2959,43.3665,42.4372
ANT,1.9127e-17,0.0011776,0.0023552,0.0035328,0.0047104,0.005888,0.0070656,0.0082432,0.0094208,0.010598,0.011776,0.012954,0.014131,0.015309,0.016486,0.017664,0.018842,0.020019,0.021197,0.022374,0.023552,0.02473,0.025907,0.027085,0.028263,0.02944,0.030618,0.031795,0.032973,0.034151,0.035328,0.036506,0.037683,0.038861,0.040039,0.041216,0.042394,0.043571,0.044749,0.045927,0.047104,0.048282,0.049459,0.050637,0.051815,0.052992,0.05417,0.055347,0.056525,0.057703,0.05888,0.060058,0.061235,0.062413,0.063591,0.064768,0.065946,0.067123,0.068301,0.069479,0.070656,0.071834,0.073011,0.074189,0.075367,0.076544,0.077722,0.0789,0.080077,0.081255,0.082432,0.08361,0.084788,0.085965,0.087143,0.08832,0.089498,0.090676,0.091853,0.093031,0.094208,0.095386,0.096564,0.097741,0.098919,0.1001,0.10127,0.10245,0.10363,0.10481,0.10598,0.10716,0.10834,0.10952,0.11069,0.11187,0.11305,0.11423,0.11541,0.11658,0.11776,0.11894,0.12012,0.12129,0.12247,0.12365,0.12483,0.126,0.12718,0.12836,0.12954,0.13071,0.13189,0.13307,0.13425,0.13542,0.1366,0.13778,0.13896,0.14013,0.1285,0.12766,0.12377,0.13441,0.12026,0.087254,0.092377,0.09387,0.088145,0.084274,0.083583,0.075144,0.067566,0.063304,0.061808,0.039679,0.036994,0.034839,0.03146,0.026674,0.024034,0.025264,0.026406,0.021422,0.025548,0.025676,0.024889,0.040862,0.041494,0.040316,0.040641,0.040677,0.039479,0.039509,0.040126,0.041348,0.041377,0.044414,0.04442,0.039551,0.034061,0.043788,0.043487,0.041644,0.041727,0.04181,0.041893,0.041976
AOSIS,9.2937e-17,0.0057114,0.011423,0.017134,0.022846,0.028557,0.034268,0.03998,0.045691,0.051403,0.057114,0.062825,0.068537,0.074248,0.07996,0.085671,0.091382,0.097094,0.10281,0.10852,0.11423,0.11994,0.12565,0.13136,0.13707,0.14279,0.1485,0.15421,0.15992,0.16563,0.17134,0.17705,0.18276,0.18848,0.19419,0.1999,0.20561,0.21132,0.21703,0.22274,0.22846,0.23417,0.23988,0.24559,0.2513,0.25701,0.26272,0.26844,0.27415,0.27986,0.28557,0.29128,0.29699,0.3027,0.30842,0.31413,0.31984,0.32555,0.33126,0.33697,0.34268,0.3484,0.35411,0.35982,0.36553,0.37124,0.37695,0.38266,0.38838,0.39409,0.3998,0.40551,0.41122,0.41693,0.42264,0.42836,0.43407,0.43978,0.44549,0.4512,0.45691,0.46262,0.46833,0.47405,0.47976,0.48547,0.49118,0.49689,0.5026,0.50831,0.51403,0.51974,0.52545,0.53116,0.53687,0.54258,0.54829,0.55401,0.55972,0.56543,0.57114,0.57685,0.58256,0.58827,0.59399,0.5997,0.60541,0.61112,0.61683,0.62254,0.62825,0.63397,0.63968,0.64539,0.6511,0.65681,0.66252,0.66823,0.67395,0.67966,0.69362,0.69515,0.70162,0.75543,0.74477,0.7367,0.75582,0.81625,0.86304,0.87437,0.87139,0.88018,0.88333,0.8942,0.93072,0.87461,0.88039,0.91696,0.94943,0.98893,1.0251,0.98656,0.99865,0.96868,0.98254,1.0591,1.1223,1.1857,1.1961,1.2338,1.2856,1.2935,1.2996,1.267,1.1962,1.2099,1.2099,1.2363,1.2412,1.2402,1.2405,1.2905,1.3007,1.2611,1.2626,1.2641,1.2655,1.267
ARE,2.1324e-18,0.00013146,0.00026292,0.00039439,0.00052585,0.00065731,0.00078877,0.00092023,0.0010517,0.0011832,0.0013146,0.0014461,0.0015775,0.001709,0.0018405,0.0019719,0.0021034,0.0022349,0.0023663,0.0024978,0.0026292,0.0027607,0.0028922,0.0030236,0.0031551,0.0032866,0.003418,0.0035495,0.0036809,0.0038124,0.0039439,0.0040753,0.0042068,0.0043382,0.0044697,0.0046012,0.0047326,0.0048641,0.0049956,0.005127,0.0052585,0.0053899,0.0055214,0.0056529,0.0057843,0.0059158,0.0060473,0.0061787,0.0063102,0.0064416,0.0065731,0.0067046,0.006836,0.0069675,0.007099,0.0072304,0.0073619,0.0074933,0.0076248,0.0077563,0.0078877,0.0080192,0.0081506,0.0082821,0.0084136,0.008545,0.0086765,0.008808,0.0089394,0.0090709,0.0092023,0.0093338,0.0094653,0.0095967,0.0097282,0.0098597,0.0099911,0.010123,0.010254,0.010386,0.010517,0.010648,0.01078,0.010911,0.011043,0.011174,0.011306,0.011437,0.011569,0.0117,0.011832,0.011963,0.012095,0.012226,0.012357,0.012489,0.01262,0.012752,0.012883,0.013015,0.013146,0.013278,0.013409,0.013541,0.013672,0.013804,0.013935,0.014066,0.014198,0.014329,0.014461,0.014592,0.014724,0.014855,0.014987,0.015118,0.01525,0.015381,0.015513,0.015644,0.015644,0.015615,0.017405,0.022834,0.026746,0.041181,0.053181,0.071913,0.079998,0.096853,0.16127,0.19353,0.21215,0.20864,0.24663,0.25998,0.28057,0.30718,0.31344,0.34634,0.34631,0.38481,0.37643,0.39428,0.41792,0.43618,0.47203,0.45734,0.46068,0.46631,0.47918,0.47099,0.53133,0.56182,0.57466,0.57666,0.59216,0.61939,0.67673,0.69738,0.71597,0.72623,0.78937,0.78217,0.80545,0.82873,0.85202,0.8753
