code,N2OAR4_IPCM0EL_TOTAL_NET_HISTCR_PRIMAPHIST21
entity,N2O
category,IPCM0EL
name_category,NatTotalExclLULUCF
type,NET
class,TOTAL
source,PRIMAPHIST21
descr,Result of N2O_IPC5+IPC4+IPCMAG+IPC2_TOTAL_NET_HISTCR_PRIMAPHIST21X+N2O_IPC1_TOTAL_NET_HISTCR_PRIMAPHIST21X - regarding information just missing in one of the tables as zero | built by Johannes Guetschow
note,calculated by the function combine_tables_varying_in_one_sheet_as by CC and JN from PRIMAP | built by Johannes Guetschow
scenario,HISTCR
datatype,CountryYearMatrix
tablekind,usr
family,emi
subsource,Summary1.As1; Summary1.As2; Table1.A(a)s1; Table1.B.2; Table10s4; Table1s1; Table2(I)s1; Table2(I)s2; Table3.D; Table3s1; Table3s2; Table5; v432_N2O_1970_2012__v4.3.2_EM_N2O_final.csv
unit,MtCO2eq
gwp,AR4
iso3,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ABW,4.8867e-05,5.2193e-05,5.5492e-05,5.8749e-05,6.1945e-05,6.5067e-05,6.8096e-05,7.1016e-05,7.3811e-05,7.6465e-05,7.8962e-05,8.1359e-05,8.373e-05,8.6083e-05,8.8424e-05,9.0759e-05,9.3094e-05,9.5437e-05,9.7794e-05,0.00010017,0.00010257,0.00010583,0.00011052,0.00011633,0.00012291,0.00012993,0.00013706,0.00014396,0.0001503,0.00015574,0.00015995,0.00016333,0.00016653,0.0001696,0.00017256,0.00017545,0.0001783,0.00018116,0.00018405,0.00018701,0.00019752,0.00020136,0.00020552,0.00020997,0.0002147,0.00021969,0.00022492,0.00023036,0.000236,0.00024182,0.0002478,0.00025463,0.0002628,0.00027197,0.00028182,0.00029201,0.00030221,0.0003121,0.00032134,0.00032959,0.00033654,0.00034267,0.00034871,0.00035466,0.00036052,0.00036629,0.00037198,0.00037759,0.00038312,0.00038857,0.00039395,0.00039912,0.00040398,0.0004086,0.00041308,0.00041747,0.00042188,0.00042636,0.000431,0.00043588,0.00044108,0.0004467,0.00045279,0.00045935,0.00046633,0.00047373,0.00048152,0.00048969,0.00049821,0.00050707,0.00051624,0.00053091,0.00055494,0.00058631,0.00062301,0.00066303,0.00070433,0.00074492,0.00078276,0.00081585,0.00084217,0.00086754,0.00089836,0.00093352,0.00097191,0.0010124,0.0010539,0.0010952,0.0011353,0.0011731,0.0012073,0.0012454,0.001294,0.0013509,0.001414,0.0014811,0.0015502,0.001619,0.0016855,0.0017476,0.0017555,0.0017602,0.0017702,0.0017757,0.0017939,0.001866,0.002435,0.0025522,0.0042271,0.0045326,0.0049483,0.005074,0.0054034,0.0058211,0.0063451,0.006216,0.0050899,0.0063902,0.0062564,0.0064362,0.0073335,0.0059797,0.0065516,0.0066293,0.0068499,0.0072763,0.0023661,0.0025983,0.0034136,0.0039485,0.0071178,0.0076606,0.0072012,0.0071968,0.0069459,0.0068139,0.0065261,0.0076502,0.0077624,0.0079124,0.0095126,0.0095032,0.0095378,0.0098568,0.010183,0.010509,0.010836,0.011162
AFG,0.24171,0.2469,0.25196,0.2568,0.26135,0.26553,0.26925,0.27244,0.275,0.27687,0.27796,0.27855,0.27903,0.2794,0.27972,0.28001,0.2803,0.28063,0.28103,0.28152,0.28215,0.28698,0.29895,0.31641,0.33771,0.36118,0.38518,0.40805,0.42814,0.44378,0.45334,0.4588,0.46339,0.46729,0.47066,0.47369,0.47655,0.47941,0.48245,0.48585,0.50837,0.50933,0.51061,0.51219,0.51404,0.51613,0.51843,0.5209,0.52351,0.52625,0.52907,0.53225,0.536,0.54025,0.5449,0.54985,0.55503,0.56033,0.56568,0.57098,0.57613,0.5809,0.58525,0.5894,0.59355,0.59793,0.60275,0.60823,0.61458,0.62203,0.63078,0.6469,0.67475,0.71208,0.75661,0.80605,0.85814,0.91059,0.96114,1.0075,1.0474,1.0822,1.1151,1.1465,1.1769,1.2068,1.2366,1.2668,1.2978,1.3301,1.3643,1.4178,1.5033,1.6132,1.7402,1.8771,2.0163,2.1505,2.2725,2.3747,2.4498,2.517,2.5973,2.6867,2.7809,2.8757,2.9669,3.0503,3.1217,3.177,3.2119,3.2039,3.1758,3.231,3.2999,3.3781,3.4637,3.5541,3.7125,3.7004,3.7194,3.6815,2.8745,3.1826,3.4626,3.7496,3.8566,3.7859,3.7543,3.6353,3.6751,3.6424,3.6905,3.4701,3.288,3.0392,2.5944,2.8169,2.9336,2.918,2.8774,2.9578,2.9063,2.9491,2.7852,2.9262,3.1643,3.4744,3.7633,4.0327,3.5094,3.1019,3.6137,3.8186,3.7249,3.8792,3.7186,3.647,3.9744,4.2457,4.7148,4.8007,4.8412,4.8856,5.2023,4.7449,5.1823,5.4246
AGO,0.54456,0.55663,0.5684,0.57969,0.59032,0.60011,0.60887,0.61642,0.62258,0.62716,0.62998,0.6317,0.63313,0.63436,0.63545,0.63648,0.63751,0.63862,0.63989,0.64138,0.64317,0.65443,0.68177,0.72149,0.76984,0.8231,0.87754,0.92944,0.97507,1.0107,1.0326,1.0453,1.056,1.0652,1.0731,1.0803,1.0871,1.094,1.1012,1.1092,1.1669,1.1786,1.1909,1.2037,1.217,1.2308,1.2451,1.2598,1.275,1.2905,1.3065,1.3223,1.3376,1.3529,1.3686,1.3853,1.4034,1.4232,1.4454,1.4704,1.4985,1.5395,1.6002,1.6773,1.7671,1.8663,1.9712,2.0785,2.1845,2.2858,2.379,2.4743,2.5812,2.6948,2.8099,2.9218,3.0252,3.1154,3.1871,3.2356,3.2557,3.2473,3.2173,3.1711,3.1141,3.0519,2.9899,2.9337,2.8886,2.8602,2.854,3.1385,3.8998,5.0197,6.38,7.8625,9.349,10.7211,11.8609,12.6499,12.97,12.8773,12.5465,12.0372,11.4089,10.7214,10.0341,9.4067,8.8988,8.57,8.4799,8.9651,9.0209,9.0608,9.1473,9.236,9.2964,9.4091,9.4276,9.543,16.539,7.591,8.5234,9.4145,7.7059,9.8763,8.2666,10.1256,10.8398,15.4474,12.0503,9.8879,11.6437,11.4739,7.8345,8.159,7.7198,12.2283,7.2304,8.7377,16.3245,16.3665,16.4205,16.3806,16.3396,16.3411,14.0603,13.8357,15.2565,14.1584,14.5799,15.816,17.128,19.3642,19.3412,19.4005,17.6285,19.389,18.2632,18.3747,19.323,19.9165,18.9733,19.7044,18.9981,19.9245,19.7863,19.4872
AIA,4.0756e-06,4.5196e-06,4.9614e-06,5.3996e-06,5.8329e-06,6.2598e-06,6.6791e-06,7.0893e-06,7.4891e-06,7.8771e-06,8.2519e-06,8.6185e-06,8.9829e-06,9.3458e-06,9.7076e-06,1.0069e-05,1.043e-05,1.0792e-05,1.1156e-05,1.1521e-05,1.1888e-05,1.2326e-05,1.2884e-05,1.3535e-05,1.425e-05,1.5003e-05,1.5764e-05,1.6506e-05,1.7201e-05,1.7822e-05,1.8339e-05,1.8788e-05,1.9222e-05,1.9644e-05,2.0057e-05,2.0465e-05,2.087e-05,2.1274e-05,2.1682e-05,2.2096e-05,2.2519e-05,2.2947e-05,2.3376e-05,2.3806e-05,2.4239e-05,2.4675e-05,2.5116e-05,2.5563e-05,2.6016e-05,2.6476e-05,2.6946e-05,2.7432e-05,2.7942e-05,2.847e-05,2.9013e-05,2.9567e-05,3.0128e-05,3.0691e-05,3.1253e-05,3.1809e-05,3.2356e-05,3.2895e-05,3.3435e-05,3.3973e-05,3.4512e-05,3.5051e-05,3.5589e-05,3.6129e-05,3.667e-05,3.7211e-05,3.7754e-05,3.8302e-05,3.8854e-05,3.941e-05,3.9967e-05,4.0524e-05,4.1079e-05,4.1629e-05,4.2174e-05,4.271e-05,4.3237e-05,4.3744e-05,4.4228e-05,4.4696e-05,4.5157e-05,4.562e-05,4.6093e-05,4.6584e-05,4.7101e-05,4.7653e-05,4.8248e-05,4.9155e-05,5.0567e-05,5.2375e-05,5.4469e-05,5.6739e-05,5.9078e-05,6.1376e-05,6.3523e-05,6.541e-05,6.6929e-05,6.8148e-05,6.9234e-05,7.0222e-05,7.1146e-05,7.2042e-05,7.2945e-05,7.3891e-05,7.4914e-05,7.605e-05,7.7333e-05,7.8931e-05,8.0927e-05,8.323e-05,8.5752e-05,8.8401e-05,9.109e-05,9.3727e-05,9.6224e-05,9.8489e-05,0.0001104,0.00010992,0.00011165,0.00011111,0.00011447,0.00012004,0.00011071,0.00011152,0.00012959,0.00013006,0.00016173,0.00021809,0.00022609,0.00019079,0.00017867,0.00013232,0.00012301,0.00016696,0.00014759,0.00015388,0.00015443,0.00018688,0.00019158,0.00021401,0.00028523,0.00037584,0.00037069,0.00031651,0.00026655,0.00024842,0.00030387,0.00030664,0.0002091,0.00025351,0.00024202,0.00024836,0.00024205,0.00023626,0.00029219,0.00038885,0.0004513,0.00047935,0.00047988,0.00042874,0.0004436,0.00045845,0.00047331,0.00048816
ALB,0.02992,0.030846,0.031755,0.032638,0.033485,0.034285,0.035029,0.035706,0.036307,0.036822,0.037239,0.037596,0.037938,0.038268,0.03859,0.038909,0.039229,0.039552,0.039885,0.040229,0.04059,0.041471,0.043236,0.045681,0.0486,0.051789,0.055043,0.058157,0.060927,0.063147,0.064613,0.065572,0.066424,0.067189,0.06789,0.068548,0.069185,0.069823,0.070482,0.071186,0.077694,0.074114,0.070697,0.067505,0.064596,0.062031,0.059869,0.05817,0.056994,0.056401,0.05645,0.056907,0.057492,0.058197,0.059017,0.059942,0.060966,0.062081,0.06328,0.064555,0.065899,0.068411,0.072999,0.079373,0.087243,0.09632,0.10631,0.11693,0.12788,0.13888,0.14964,0.16214,0.17786,0.19574,0.21474,0.23377,0.2518,0.26776,0.28058,0.28922,0.29262,0.28954,0.28047,0.26692,0.25038,0.23235,0.21433,0.19783,0.18433,0.17534,0.17236,0.1831,0.2115,0.25342,0.30473,0.36127,0.4189,0.47348,0.52086,0.55691,0.57748,0.58827,0.59791,0.60658,0.61449,0.62183,0.62881,0.63562,0.64245,0.64952,0.65702,0.71816,0.72169,0.7135,0.72328,0.76513,0.77477,0.80977,0.83243,0.80008,0.83416,0.86213,0.86474,0.89112,0.91073,0.91633,1.0215,1.0772,1.2508,1.28,1.2998,1.3258,1.3297,1.371,1.394,1.3627,1.3965,1.3939,1.4588,1.5483,1.4671,1.1026,1.0592,1.1265,1.3624,1.3636,1.208,1.1339,1.1726,1.1355,1.2308,1.1941,1.342,1.3548,1.3192,1.316,1.2594,1.2353,1.1854,1.1762,1.1678,1.2048,1.2081,1.2016,1.2193,1.2607,1.2972,1.2619
AND,0.00025797,0.00027354,0.00028897,0.00030417,0.00031906,0.00033354,0.00034754,0.00036097,0.00037374,0.00038576,0.00039695,0.00040761,0.00041814,0.00042858,0.00043894,0.00044928,0.00045962,0.00047,0.00048045,0.00049101,0.00050171,0.00051689,0.00053969,0.00056836,0.00060111,0.0006362,0.00067184,0.00070628,0.00073774,0.00076447,0.0007847,0.00080056,0.00081548,0.00082967,0.0008433,0.00085656,0.00086964,0.00088272,0.000896,0.00090965,0.00096607,0.0010005,0.0010356,0.0010714,0.0011077,0.0011443,0.0011811,0.0012179,0.0012546,0.0012911,0.0013272,0.0013648,0.0014055,0.0014485,0.0014928,0.0015376,0.001582,0.0016253,0.0016665,0.0017048,0.0017393,0.0017704,0.0017992,0.0018264,0.0018524,0.0018778,0.0019031,0.001929,0.0019559,0.0019844,0.002015,0.0020501,0.0020906,0.0021348,0.0021811,0.002228,0.0022737,0.0023167,0.0023553,0.0023879,0.002413,0.0024539,0.0025309,0.0026374,0.002767,0.0029131,0.0030692,0.0032287,0.0033852,0.0035321,0.0036628,0.0037842,0.0039081,0.004036,0.0041694,0.0043097,0.0044584,0.0046169,0.0047868,0.0049694,0.0051663,0.0054437,0.0058533,0.0063747,0.0069876,0.0076714,0.0084058,0.0091703,0.0099446,0.010708,0.011441,0.0122,0.013042,0.013943,0.014879,0.015825,0.016757,0.017652,0.018485,0.019232,0.017853,0.019514,0.021035,0.023354,0.025139,0.024317,0.02418,0.025209,0.025738,0.025909,0.026038,0.026115,0.026847,0.029008,0.030965,0.032107,0.032669,0.032578,0.033271,0.033559,0.029461,0.030259,0.031361,0.032594,0.033472,0.034818,0.03647,0.035817,0.022952,0.018435,0.018544,0.017901,0.017342,0.01773,0.017067,0.016882,0.015788,0.015483,0.015606,0.015321,0.015462,0.014771,0.014599,0.013133,0.012462,0.011994,0.01156,0.011375
ANNEXI,67.9829,69.9584,71.897,73.7759,75.5722,77.2631,78.8258,80.2375,81.4753,82.5163,83.3379,84.0215,84.6698,85.2921,85.8972,86.4944,87.0925,87.7007,88.328,88.9835,89.6762,91.5502,95.4333,100.8601,107.3654,114.4837,121.7496,128.698,134.8633,139.7802,142.9834,145.0357,146.843,148.4545,149.9194,151.2872,152.6069,153.928,155.2997,156.7712,161.28,164.7927,168.249,171.6193,174.8737,177.9826,180.9161,183.6446,186.1383,188.3674,190.3023,192.0396,193.7092,195.331,196.9249,198.5107,200.1083,201.7375,203.4183,205.1704,207.0138,209.5107,213.047,217.3784,222.2605,227.4488,232.6991,237.767,242.408,246.3778,249.432,251.9633,254.5083,257.0384,259.5249,261.9394,264.2531,266.4375,268.464,270.304,271.9288,273.5248,275.306,277.2862,279.4788,281.8975,284.5558,287.4672,290.6454,294.1039,297.8562,307.7714,328.0856,356.3637,390.1701,427.0695,464.6267,500.4062,531.9728,556.8909,572.7254,584.9047,600.1772,618.0871,638.1786,659.996,683.0836,706.9855,731.246,755.4093,779.0197,826.9074,866.0695,902.4455,934.9348,979.4543,1026.2976,1072.0066,1104.9262,1132.9519,1106.5828,1130.0574,1159.7422,1210.8337,1230.3013,1244.0934,1269.6689,1270.4842,1293.5576,1310.4549,1291.535,1268.2234,1232.0033,1249.6811,1273.4817,1258.2643,1236.8813,1233.1352,1209.8182,1210.8606,1161.3924,1121.9064,1092.0098,1082.0049,1054.8553,1057.5863,1066.57,1051.6627,1030.8358,973.2281,975.968,968.1637,954.4264,953.343,984.1399,951.9813,948.5253,956.6122,932.7623,906.8015,904.6436,905.7125,876.1008,897.7574,898.0372,907.8661,905.445,910.5241
ANT,0.0010674,0.0022674,0.0034668,0.0046652,0.0058624,0.0070579,0.0082514,0.0094425,0.010631,0.011816,0.012998,0.014178,0.015357,0.016536,0.017714,0.018892,0.020071,0.021249,0.022428,0.023607,0.024787,0.025986,0.027216,0.02847,0.029741,0.031022,0.032305,0.033583,0.034848,0.036095,0.037314,0.038515,0.039712,0.040907,0.042099,0.043289,0.044479,0.045668,0.046859,0.048051,0.049625,0.050893,0.052174,0.053466,0.054769,0.056081,0.057403,0.058733,0.060069,0.061412,0.06276,0.064131,0.065536,0.066969,0.068419,0.069879,0.071341,0.072797,0.074237,0.075654,0.077039,0.078403,0.079761,0.081115,0.082464,0.08381,0.085153,0.086494,0.087834,0.089174,0.090513,0.091847,0.093171,0.094488,0.095801,0.097114,0.098431,0.099754,0.10109,0.10243,0.10379,0.10518,0.10658,0.10799,0.10943,0.11088,0.11234,0.11382,0.11531,0.11682,0.11833,0.1199,0.12155,0.12329,0.12509,0.12694,0.12884,0.13076,0.1327,0.13464,0.13658,0.13872,0.14127,0.14413,0.14723,0.15049,0.15384,0.15719,0.16047,0.1636,0.16651,0.16844,0.17072,0.17266,0.17444,0.1762,0.17841,0.18112,0.18406,0.18714,0.17108,0.17037,0.16571,0.17978,0.162,0.11944,0.12655,0.1284,0.12044,0.11612,0.11438,0.10425,0.094149,0.088305,0.086648,0.057701,0.053952,0.051311,0.046755,0.040432,0.036694,0.038184,0.03973,0.03217,0.037965,0.038144,0.03764,0.063125,0.064509,0.062943,0.0639,0.064362,0.060676,0.061535,0.063763,0.065901,0.06584,0.070482,0.071057,0.061032,0.054278,0.069402,0.069065,0.066186,0.066375,0.066534,0.066664,0.066853
AOSIS,0.30881,0.32099,0.33301,0.34475,0.35612,0.36701,0.37732,0.38695,0.39578,0.40372,0.41066,0.41698,0.42313,0.42917,0.43513,0.44105,0.44698,0.45296,0.45902,0.4652,0.47156,0.48329,0.50413,0.532,0.56476,0.6003,0.63652,0.67129,0.70251,0.72805,0.74581,0.75835,0.76977,0.7803,0.79016,0.79959,0.80879,0.818,0.82744,0.83734,0.95879,0.9693,0.98495,1.0053,1.0298,1.058,1.0896,1.1238,1.1605,1.1989,1.2387,1.289,1.3563,1.4364,1.5253,1.6188,1.7126,1.8027,1.8848,1.9548,2.0086,2.0566,2.1112,2.1707,2.2337,2.2984,2.3635,2.4272,2.488,2.5443,2.5946,2.6391,2.6797,2.7168,2.751,2.7827,2.8126,2.8411,2.8688,2.8962,2.9237,2.9566,2.9982,3.047,3.1012,3.1592,3.2192,3.2795,3.3385,3.3945,3.4457,3.6089,3.9703,4.4823,5.0975,5.7683,6.4472,7.0867,7.6394,8.0576,8.2939,8.4609,8.6934,8.9776,9.2998,9.646,10.0024,10.3553,10.6906,10.9947,11.2536,10.8488,11.396,11.7048,12.1197,12.4425,12.9724,13.3722,13.5768,13.6492,13.6162,13.3935,13.4559,13.7684,13.9123,13.9769,14.4013,14.6013,15.3439,16.44,16.0944,16.4536,15.5445,15.1092,16.3262,16.072,16.2586,16.0875,15.8705,16.4738,15.9476,15.5141,15.3477,14.5918,14.825,15.826,16.6932,18.3466,19.2808,18.7179,21.7707,23.4453,17.4588,17.268,17.4112,17.1359,17.4746,17.5037,17.4435,17.222,17.385,17.6706,17.5102,16.9403,17.1863,17.4435,17.499,17.7229
ARE,0.023356,0.023977,0.024586,0.025173,0.025733,0.026256,0.026735,0.027163,0.02753,0.02783,0.028055,0.028232,0.028397,0.028553,0.028703,0.028851,0.028999,0.02915,0.029308,0.029475,0.029656,0.030242,0.031518,0.033325,0.035502,0.03789,0.040329,0.042658,0.044719,0.04635,0.047393,0.048041,0.048604,0.0491,0.049546,0.049958,0.050354,0.05075,0.051163,0.051611,0.053233,0.053602,0.053994,0.054408,0.054846,0.055309,0.055795,0.056307,0.056844,0.057407,0.057996,0.058651,0.059398,0.060221,0.061105,0.062035,0.062994,0.063966,0.064937,0.065889,0.066809,0.067691,0.068549,0.069395,0.070241,0.071099,0.071981,0.072898,0.073863,0.074886,0.075981,0.077485,0.079644,0.08233,0.085415,0.088771,0.09227,0.095785,0.099186,0.10235,0.10514,0.10774,0.11041,0.11315,0.11597,0.11885,0.12181,0.12483,0.12792,0.13108,0.13431,0.13924,0.14708,0.15717,0.16887,0.18152,0.19448,0.2071,0.21873,0.22871,0.2364,0.24308,0.25039,0.25814,0.26618,0.27434,0.28247,0.29039,0.29795,0.30498,0.31132,0.35359,0.36344,0.37635,0.39121,0.40536,0.42163,0.45065,0.48186,0.51619,0.47414,0.525,0.57856,0.67863,0.70987,0.71243,0.7242,0.8437,0.98954,1.0969,1.5131,1.6878,1.8583,1.9462,2.1899,2.2597,2.3013,2.4827,2.5863,2.9183,3.067,3.4015,3.6195,3.8308,4.1497,4.6395,5.1331,5.3494,5.6292,6.0076,6.5596,6.5918,7.0953,7.2143,6.9601,6.8311,6.1697,5.613,5.2117,4.6756,4.0544,3.4361,2.8583,2.2616,1.685,1.9426,1.7336,1.7658
