code,N2OAR4_IPCM0EL_TOTAL_NET_HISTORY_UNFCCC2019BI
entity,N2O
category,IPCM0EL
name_category,NatTotalExclLULUCF
type,NET
class,TOTAL
descr,GHG data submitted to the UNFCCC by Parties: non-AnnexI Parties only. See http://unfccc.int/di/DetailedByParty.do
note,Read in by JG and RG
source,UNFCCC2019BI
scenario,HISTORY
datatype,CountryYearMatrix
tablekind,usr
family,emi
subsource,UNFCCC_2019B.csv
unit,MtCO2eq
gwp,AR4
iso3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
ALB,0.09238,0.13112,0.1043,0.09238,0.09238,0.0894,0.08046,0.0745,0.07152,0.0745,0.1074,0.11038,0.11039,0.11038,0.11336,0.11052,0.11336,0.11333,0.1163,0.11628,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ARE,NaN,NaN,NaN,NaN,1.6092,NaN,NaN,NaN,NaN,NaN,5.9302,NaN,NaN,NaN,NaN,5.9004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4324,NaN,NaN
ARG,49.8176,NaN,NaN,NaN,54.4952,NaN,NaN,59.6862,NaN,NaN,64.8907,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72.2687,NaN,70.3226,NaN,NaN,NaN,NaN
ARM,0.16301,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4622,NaN,NaN,NaN,NaN,NaN,0.65649,NaN,NaN,NaN,0.46533,NaN,NaN,NaN,NaN,NaN,NaN
AZE,3.6267,1.8506,2.0502,1.636,1.3738,1.2456,1.2576,1.4572,1.6628,2.2559,2.2529,2.4496,2.5956,2.6701,2.7684,2.7416,2.7625,2.9651,2.9085,3.0694,3.0158,2.9681,3.2899,2.66,NaN,NaN,NaN
BGD,NaN,NaN,NaN,NaN,4.2862,NaN,NaN,NaN,NaN,NaN,NaN,15.7791,NaN,NaN,NaN,18.3747,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BIH,3.0068,2.5002,1.5347,0.71818,0.8195,0.89996,1.0519,1.0966,1.1235,1.2129,1.186,1.4036,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.788,1.49,NaN,NaN
BOL,0.55428,NaN,NaN,NaN,0.82546,NaN,NaN,NaN,0.82248,NaN,0.8791,NaN,1.1784,NaN,1.3332,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BRA,99.0343,102.2051,104.5235,106.6661,110.4895,112.8854,106.0671,109.5061,114.4171,115.469,120.7228,123.2647,129.7611,138.9038,143.9161,146.0111,147.9093,145.5939,146.6726,147.7067,154.5249,162.2163,162.2193,166.5999,170.5305,169.0763,NaN
CAF,NaN,NaN,NaN,NaN,24.6506,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5112,2.513,2.5145,0.075692,0.077182,0.078672,0.08046,0.082248,NaN,NaN,NaN,NaN,NaN,NaN
CHL,5.5726,NaN,NaN,NaN,6.1388,NaN,NaN,NaN,NaN,NaN,6.6752,NaN,NaN,NaN,NaN,NaN,7.6605,NaN,NaN,NaN,7.0924,NaN,NaN,6.9136,NaN,NaN,6.6454
CHN,NaN,NaN,NaN,NaN,253.896,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,378.8474,NaN,NaN,NaN,NaN,NaN,NaN,613.88,NaN,NaN,NaN,NaN
COL,23.683,NaN,NaN,NaN,27.2408,NaN,NaN,NaN,NaN,NaN,32.032,NaN,NaN,NaN,33.0452,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CRI,0.17768,NaN,NaN,NaN,NaN,NaN,2.4525,NaN,NaN,NaN,2.4658,NaN,NaN,NaN,NaN,2.4919,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CUB,6.1746,NaN,4.1809,NaN,3.0783,NaN,3.4181,NaN,3.4687,NaN,3.2962,NaN,2.921,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DMA,NaN,NaN,NaN,NaN,0.012566,NaN,NaN,NaN,NaN,NaN,0.035036,0.032184,0.030098,0.031886,0.022648,0.028906,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DOM,0.80579,NaN,NaN,NaN,0.74864,NaN,NaN,NaN,2.7103,NaN,3.0569,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.3488,NaN,NaN,NaN,NaN,NaN,NaN
EARTH,320.2114,199.1221,210.0314,207.5713,718.8404,214.5212,202.3122,264.5415,246.2116,225.2565,637.6668,251.9638,256.7912,259.3664,300.3818,727.7289,292.1289,249.2083,273.5881,264.1502,613.1849,278.4959,1014.2836,289.4916,198.069,171.4984,6.6454
EGY,9.93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.4994,NaN,NaN,NaN,NaN,27.8139,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ETH,2.98,4.172,4.47,4.47,11.6652,10.5986,11.3923,15.3108,15.5819,15.7093,15.1223,15.4263,17.5671,17.2396,18.8049,10.502,18.2352,12.8699,21.103,21.7974,22.7321,19.9489,23.3017,23.19,NaN,NaN,NaN
