code,N2OAR4_IPCM0EL_TOTAL_NET_SSP1BLIMAGE_PMSSPBIE
entity,N2O
scenario,SSP1BLIMAGE
datatype,CountryYearMatrix
note,Scenario based on RCPSSP IAM scenario dowscaled to country level using GDP data from SSP scenarios. For methodology see Guetschow et al. 2017
type,NET
class,TOTAL
tablekind,raw
descr,SSPV2IB. SSP1BLIMAGE downscaled using SSPV2MIDH. SSP1BLIMAGE. and historic shares from PRIMAPHIST21. NON COMMERCIAL USE ALLOWED ONLY
source,PMSSPBIE
category,IPCM0EL
name_category,NatTotalExclLULUCF
family,emi
subsource,NaN
unit,MtCO2eq
gwp,AR4
iso3,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
ABW,4.8867e-05,5.2193e-05,5.5492e-05,5.8749e-05,6.1945e-05,6.5067e-05,6.8096e-05,7.1016e-05,7.3811e-05,7.6465e-05,7.8962e-05,8.1359e-05,8.373e-05,8.6083e-05,8.8424e-05,9.0759e-05,9.3094e-05,9.5437e-05,9.7794e-05,0.00010017,0.00010257,0.00010583,0.00011052,0.00011633,0.00012291,0.00012993,0.00013706,0.00014396,0.0001503,0.00015574,0.00015995,0.00016333,0.00016653,0.0001696,0.00017256,0.00017545,0.0001783,0.00018116,0.00018405,0.00018701,0.00019752,0.00020136,0.00020552,0.00020997,0.0002147,0.00021969,0.00022492,0.00023036,0.000236,0.00024182,0.0002478,0.00025463,0.0002628,0.00027197,0.00028182,0.00029201,0.00030221,0.0003121,0.00032134,0.00032959,0.00033654,0.00034267,0.00034871,0.00035466,0.00036052,0.00036629,0.00037198,0.00037759,0.00038312,0.00038857,0.00039395,0.00039912,0.00040398,0.0004086,0.00041308,0.00041747,0.00042188,0.00042636,0.000431,0.00043588,0.00044108,0.0004467,0.00045279,0.00045935,0.00046633,0.00047373,0.00048152,0.00048969,0.00049821,0.00050707,0.00051624,0.00053091,0.00055494,0.00058631,0.00062301,0.00066303,0.00070433,0.00074492,0.00078276,0.00081585,0.00084217,0.00086754,0.00089836,0.00093352,0.00097191,0.0010124,0.0010539,0.0010952,0.0011353,0.0011731,0.0012073,0.0012454,0.001294,0.0013509,0.001414,0.0014811,0.0015502,0.001619,0.0016855,0.0017476,0.0017555,0.0017602,0.0017702,0.0017757,0.0017939,0.001866,0.002435,0.0025522,0.0042271,0.0045326,0.0049483,0.005074,0.0054034,0.0058211,0.0063451,0.006216,0.0050899,0.0063902,0.0062564,0.0064362,0.0073335,0.0059797,0.0065516,0.0066293,0.0068499,0.0072763,0.0023661,0.0025983,0.0034136,0.0039485,0.0071178,0.0076606,0.0072012,0.0071968,0.0069459,0.0068139,0.0065261,0.0076502,0.0077624,0.0079124,0.0095126,0.0095032,0.0095378,0.0098568,0.010183,0.010509,0.010836,0.011162,0.011455,0.01286,0.014379,0.016028,0.017802,0.019708,0.021751,0.023937,0.026297,0.02886,0.031626,0.034592,0.037757,0.041213,0.045051,0.049274,0.053872,0.05883,0.064155,0.069833,0.075801,0.08198,0.088272,0.09477,0.10164,0.10888,0.11648,0.12444,0.13281,0.1416,0.15081,0.16039,0.17033,0.17969,0.18935,0.1993,0.20953,0.22003,0.23087,0.2421,0.25371,0.26572,0.27814,0.29121,0.30515,0.31993,0.33554,0.35193,0.36908,0.38696,0.40547,0.42449,0.44389,0.46394,0.48498,0.50691,0.52962,0.55298,0.577,0.60159,0.62647,0.65136,0.67594,0.7005,0.72545,0.75066,0.77599,0.80127,0.82635,0.85101,0.87502,0.89816,0.92016,0.94143,0.96251,0.98334,1.0039,1.0241,1.0439,1.0633,1.0823,1.1009,1.1191
AFG,0.24171,0.2469,0.25196,0.2568,0.26135,0.26553,0.26925,0.27244,0.275,0.27687,0.27796,0.27855,0.27903,0.2794,0.27972,0.28001,0.2803,0.28063,0.28103,0.28152,0.28215,0.28698,0.29895,0.31641,0.33771,0.36118,0.38518,0.40805,0.42814,0.44378,0.45334,0.4588,0.46339,0.46729,0.47066,0.47369,0.47655,0.47941,0.48245,0.48585,0.50837,0.50933,0.51061,0.51219,0.51404,0.51613,0.51843,0.5209,0.52351,0.52625,0.52907,0.53225,0.536,0.54025,0.5449,0.54985,0.55503,0.56033,0.56568,0.57098,0.57613,0.5809,0.58525,0.5894,0.59355,0.59793,0.60275,0.60823,0.61458,0.62203,0.63078,0.6469,0.67475,0.71208,0.75661,0.80605,0.85814,0.91059,0.96114,1.0075,1.0474,1.0822,1.1151,1.1465,1.1769,1.2068,1.2366,1.2668,1.2978,1.3301,1.3643,1.4178,1.5033,1.6132,1.7402,1.8771,2.0163,2.1505,2.2725,2.3747,2.4498,2.517,2.5973,2.6867,2.7809,2.8757,2.9669,3.0503,3.1217,3.177,3.2119,3.2039,3.1758,3.231,3.2999,3.3781,3.4637,3.5541,3.7125,3.7004,3.7194,3.6815,2.8745,3.1826,3.4626,3.7496,3.8566,3.7859,3.7543,3.6353,3.6751,3.6424,3.6905,3.4701,3.288,3.0392,2.5944,2.8169,2.9336,2.918,2.8774,2.9578,2.9063,2.9491,2.7852,2.9262,3.1643,3.4744,3.7633,4.0327,3.5094,3.1019,3.6137,3.8186,3.7249,3.8792,3.7186,3.647,3.9744,4.2457,4.7148,4.8007,4.8412,4.8856,5.2023,4.7449,5.1823,5.4246,5.4934,5.3445,5.229,5.1452,5.0839,5.0424,5.0181,5.0086,5.0148,5.0373,5.0733,5.1204,5.1764,5.2442,5.3264,5.421,5.5266,5.6425,5.7726,5.9186,6.0779,6.2485,6.4292,6.623,6.832,7.0536,7.2864,7.529,7.7843,8.0533,8.333,8.621,8.9153,9.2302,9.553,9.8802,10.2088,10.5366,10.8661,11.2,11.5372,11.8772,12.22,12.5657,12.9126,13.259,13.6033,13.9447,14.2851,14.6249,14.9613,15.2918,15.6139,15.931,16.245,16.5525,16.8503,17.1355,17.4113,17.6823,17.9484,18.2099,18.4674,18.7228,18.9759,19.2249,19.4677,19.7027,19.9298,20.1493,20.3599,20.5603,20.7495,20.9282,21.0982,21.2595,21.4123,21.5572,21.6937,21.8217,21.9422,22.0563,22.1648
AGO,0.54456,0.55663,0.5684,0.57969,0.59032,0.60011,0.60887,0.61642,0.62258,0.62716,0.62998,0.6317,0.63313,0.63436,0.63545,0.63648,0.63751,0.63862,0.63989,0.64138,0.64317,0.65443,0.68177,0.72149,0.76984,0.8231,0.87754,0.92944,0.97507,1.0107,1.0326,1.0453,1.056,1.0652,1.0731,1.0803,1.0871,1.094,1.1012,1.1092,1.1669,1.1786,1.1909,1.2037,1.217,1.2308,1.2451,1.2598,1.275,1.2905,1.3065,1.3223,1.3376,1.3529,1.3686,1.3853,1.4034,1.4232,1.4454,1.4704,1.4985,1.5395,1.6002,1.6773,1.7671,1.8663,1.9712,2.0785,2.1845,2.2858,2.379,2.4743,2.5812,2.6948,2.8099,2.9218,3.0252,3.1154,3.1871,3.2356,3.2557,3.2473,3.2173,3.1711,3.1141,3.0519,2.9899,2.9337,2.8886,2.8602,2.854,3.1385,3.8998,5.0197,6.38,7.8625,9.349,10.7211,11.8609,12.6499,12.97,12.8773,12.5465,12.0372,11.4089,10.7214,10.0341,9.4067,8.8988,8.57,8.4799,8.9651,9.0209,9.0608,9.1473,9.236,9.2964,9.4091,9.4276,9.543,16.539,7.591,8.5234,9.4145,7.7059,9.8763,8.2666,10.1256,10.8398,15.4474,12.0503,9.8879,11.6437,11.4739,7.8345,8.159,7.7198,12.2283,7.2304,8.7377,16.3245,16.3665,16.4205,16.3806,16.3396,16.3411,14.0603,13.8357,15.2565,14.1584,14.5799,15.816,17.128,19.3642,19.3412,19.4005,17.6285,19.389,18.2632,18.3747,19.323,19.9165,18.9733,19.7044,18.9981,19.9245,19.7863,19.4872,22.5338,22.3728,22.0297,21.5269,20.9353,20.2933,19.6308,18.9701,18.2781,17.5302,16.7516,15.9609,15.1712,14.3709,13.5705,12.8027,12.089,11.4426,10.846,10.2823,9.7571,9.2725,8.8287,8.4224,8.0499,7.709,7.397,7.1112,6.8502,6.6121,6.3938,6.1925,6.0057,5.9442,5.8955,5.8579,5.8297,5.8095,5.7965,5.7902,5.7893,5.7928,5.7998,5.8132,5.8354,5.8644,5.8984,5.9355,5.9742,6.013,6.0501,6.084,6.1131,6.1398,6.1669,6.1939,6.2202,6.2452,6.2686,6.2905,6.3104,6.3277,6.3423,6.3552,6.368,6.3806,6.3926,6.4041,6.4148,6.4244,6.4327,6.4396,6.4446,6.4463,6.4436,6.4367,6.4262,6.4123,6.3955,6.3761,6.3543,6.3307,6.3056
ALB,0.02992,0.030846,0.031755,0.032638,0.033485,0.034285,0.035029,0.035706,0.036307,0.036822,0.037239,0.037596,0.037938,0.038268,0.03859,0.038909,0.039229,0.039552,0.039885,0.040229,0.04059,0.041471,0.043236,0.045681,0.0486,0.051789,0.055043,0.058157,0.060927,0.063147,0.064613,0.065572,0.066424,0.067189,0.06789,0.068548,0.069185,0.069823,0.070482,0.071186,0.077694,0.074114,0.070697,0.067505,0.064596,0.062031,0.059869,0.05817,0.056994,0.056401,0.05645,0.056907,0.057492,0.058197,0.059017,0.059942,0.060966,0.062081,0.06328,0.064555,0.065899,0.068411,0.072999,0.079373,0.087243,0.09632,0.10631,0.11693,0.12788,0.13888,0.14964,0.16214,0.17786,0.19574,0.21474,0.23377,0.2518,0.26776,0.28058,0.28922,0.29262,0.28954,0.28047,0.26692,0.25038,0.23235,0.21433,0.19783,0.18433,0.17534,0.17236,0.1831,0.2115,0.25342,0.30473,0.36127,0.4189,0.47348,0.52086,0.55691,0.57748,0.58827,0.59791,0.60658,0.61449,0.62183,0.62881,0.63562,0.64245,0.64952,0.65702,0.71816,0.72169,0.7135,0.72328,0.76513,0.77477,0.80977,0.83243,0.80008,0.83416,0.86213,0.86474,0.89112,0.91073,0.91633,1.0215,1.0772,1.2508,1.28,1.2998,1.3258,1.3297,1.371,1.394,1.3627,1.3965,1.3939,1.4588,1.5483,1.4671,1.1026,1.0592,1.1265,1.3624,1.3636,1.208,1.1339,1.1726,1.1355,1.2308,1.1941,1.342,1.3548,1.3192,1.316,1.2594,1.2353,1.1854,1.1762,1.1678,1.2048,1.2081,1.2016,1.2193,1.2607,1.2972,1.2619,1.2671,1.2593,1.2532,1.249,1.2462,1.2444,1.2434,1.2426,1.2426,1.2435,1.2452,1.2473,1.2497,1.2527,1.2561,1.2599,1.2636,1.2669,1.2701,1.2732,1.2759,1.2781,1.2795,1.2805,1.2812,1.2812,1.2804,1.2785,1.2758,1.2724,1.2682,1.2632,1.2574,1.2486,1.2392,1.2291,1.2184,1.2069,1.1949,1.1824,1.1693,1.1556,1.1413,1.1263,1.1108,1.0947,1.0782,1.0612,1.0439,1.0264,1.0088,0.99139,0.97412,0.9571,0.94029,0.92361,0.90699,0.89035,0.87386,0.85762,0.84148,0.82533,0.80904,0.79293,0.77723,0.76172,0.74618,0.73043,0.71471,0.69939,0.68443,0.66979,0.65544,0.64115,0.62681,0.61257,0.59858,0.58495,0.57155,0.55821,0.54499,0.53194,0.51911
ANNEXI,67.9813,69.9568,71.8953,73.7742,75.5704,77.2613,78.824,80.2356,81.4734,82.5144,83.3359,84.0195,84.6678,85.2901,85.8952,86.4923,87.0904,87.6986,88.3259,88.9814,89.6741,91.548,95.431,100.8577,107.3628,114.4809,121.7467,128.6949,134.86,139.7769,142.98,145.0323,146.8395,148.4509,149.9158,151.2835,152.6033,153.9243,155.2959,156.7674,161.2765,164.7888,168.2448,171.6147,174.8689,177.9775,180.9108,183.6391,186.1326,188.3617,190.2964,192.0337,193.7034,195.3252,196.9192,198.505,200.1027,201.732,203.4128,205.165,207.0084,209.5052,213.0414,217.3728,222.2548,227.4431,232.6934,237.7612,242.4021,246.3718,249.426,251.9572,254.5021,257.0321,259.5185,261.9328,264.2464,266.4307,268.4571,270.297,271.9217,273.5175,275.2986,277.2786,279.471,281.8894,284.5474,287.4586,290.6366,294.0949,297.8471,307.7618,328.0752,356.3519,390.1569,427.0547,464.6102,500.3882,531.9534,556.8705,572.7044,584.8833,600.1553,618.0645,638.1553,659.9718,683.0584,706.9594,731.2189,755.3812,778.9907,826.8769,866.0382,902.413,934.9009,979.419,1026.2605,1071.968,1104.8863,1132.9109,1106.5442,1130.0177,1159.7011,1210.7901,1230.2569,1244.0497,1269.6252,1270.4394,1293.5121,1310.4082,1291.4884,1268.1772,1231.9571,1249.6331,1273.4321,1258.2145,1236.8313,1233.0863,1209.7701,1210.8129,1161.3485,1121.862,1091.9664,1081.9616,1054.8114,1057.5418,1066.5241,1051.6168,1030.7967,973.1912,975.932,968.1276,954.3907,953.3078,984.1053,951.9468,948.4912,956.5773,932.7268,906.7663,904.6081,905.6775,876.0654,897.7235,898.004,907.8332,905.4125,910.4923,894.4911,894.6609,894.6139,894.3928,894.0904,893.729,893.3237,892.8842,892.3725,891.7217,890.8953,889.8586,888.5788,887.2097,885.9102,884.6565,883.4239,882.1872,880.9188,879.6004,878.2192,876.7603,875.2067,873.4969,871.6007,869.5461,867.3589,865.0634,862.6668,860.1781,857.6222,855.0228,852.4025,848.6064,844.6246,840.493,836.2475,831.9231,827.554,823.1654,818.7797,814.4198,810.1091,805.7608,801.2929,796.7363,792.1222,787.4814,782.8461,778.2496,773.7238,769.3006,765.012,760.8365,756.7254,752.6687,748.6569,744.6803,740.7368,736.8261,732.9418,729.0776,725.2272,721.4312,717.7188,714.0661,710.4491,706.8442,703.2272,699.5746,695.8624,692.0668,688.164,684.1386,679.9957,675.7426,671.3865,666.9349,662.3897,657.7547,653.0396,648.2538,643.4072
AOSIS,0.30381,0.31466,0.32535,0.33576,0.34581,0.35539,0.36439,0.37272,0.38027,0.38695,0.39264,0.39772,0.40263,0.40744,0.41216,0.41685,0.42154,0.42628,0.43111,0.43606,0.44117,0.45157,0.47094,0.49721,0.52831,0.56214,0.59663,0.6297,0.65928,0.68327,0.69961,0.7108,0.7209,0.73012,0.73869,0.74682,0.75474,0.76266,0.77081,0.77941,0.89842,0.90777,0.92222,0.94128,0.9645,0.99141,1.0215,1.0544,1.0895,1.1265,1.1648,1.2134,1.2789,1.3572,1.4442,1.5356,1.6274,1.7155,1.7957,1.8639,1.916,1.9624,2.0153,2.0733,2.1347,2.1979,2.2613,2.3234,2.3827,2.4374,2.4861,2.5291,2.5681,2.6037,2.6363,2.6665,2.6949,2.7218,2.748,2.7739,2.7999,2.8313,2.8714,2.9186,2.9712,3.0275,3.0859,3.1445,3.2018,3.256,3.3054,3.4662,3.8244,4.3324,4.9431,5.6091,6.2832,6.9179,7.4661,7.8804,8.1134,8.2773,8.5063,8.7866,9.1046,9.4465,9.7985,10.1468,10.4777,10.7775,11.0324,10.6201,11.1632,11.4691,11.8815,12.2019,12.7265,13.1184,13.3182,13.3837,13.361,13.1373,13.2034,13.4979,13.6586,13.7594,14.1682,14.3602,15.106,16.2043,15.8567,16.2201,15.3142,14.8902,16.1071,15.8759,16.0645,15.8912,15.671,16.2839,15.7699,15.3276,15.1589,14.4052,14.634,15.625,16.4693,18.0794,19.033,18.4605,21.4948,23.1721,17.217,16.9957,17.1646,16.877,17.2217,17.2365,17.1746,16.9375,17.1165,17.3977,17.2245,16.6489,16.9092,17.1613,17.219,17.4416,16.372,16.3512,16.3789,16.4514,16.5479,16.666,16.8034,16.9577,17.1324,17.3296,17.5447,17.7739,18.014,18.2882,18.6136,18.9794,19.3747,19.7891,20.2165,20.6492,21.074,21.4779,21.8477,22.2026,22.5671,22.9369,23.308,23.6772,24.0465,24.4171,24.7858,25.1498,25.5066,25.7954,26.0742,26.3421,26.5987,26.8441,27.0812,27.3137,27.5433,27.7722,28.0028,28.2481,28.5168,28.8045,29.1069,29.4197,29.7386,30.0584,30.3734,30.6778,30.9658,31.2497,31.543,31.8418,32.142,32.4398,32.7323,33.0163,33.2877,33.5422,33.7759,34.0004,34.2271,34.4514,34.6686,34.8741,35.0633,35.2313,35.3735,35.4852,35.5615,35.6135,35.6562,35.6919,35.7225,35.7501,35.7721,35.7854,35.7915,35.7919,35.788
ARE,0.023356,0.023977,0.024586,0.025173,0.025733,0.026256,0.026735,0.027163,0.02753,0.02783,0.028055,0.028232,0.028397,0.028553,0.028703,0.028851,0.028999,0.02915,0.029308,0.029475,0.029656,0.030242,0.031518,0.033325,0.035502,0.03789,0.040329,0.042658,0.044719,0.04635,0.047393,0.048041,0.048604,0.0491,0.049546,0.049958,0.050354,0.05075,0.051163,0.051611,0.053233,0.053602,0.053994,0.054408,0.054846,0.055309,0.055795,0.056307,0.056844,0.057407,0.057996,0.058651,0.059398,0.060221,0.061105,0.062035,0.062994,0.063966,0.064937,0.065889,0.066809,0.067691,0.068549,0.069395,0.070241,0.071099,0.071981,0.072898,0.073863,0.074886,0.075981,0.077485,0.079644,0.08233,0.085415,0.088771,0.09227,0.095785,0.099186,0.10235,0.10514,0.10774,0.11041,0.11315,0.11597,0.11885,0.12181,0.12483,0.12792,0.13108,0.13431,0.13924,0.14708,0.15717,0.16887,0.18152,0.19448,0.2071,0.21873,0.22871,0.2364,0.24308,0.25039,0.25814,0.26618,0.27434,0.28247,0.29039,0.29795,0.30498,0.31132,0.35359,0.36344,0.37635,0.39121,0.40536,0.42163,0.45065,0.48186,0.51619,0.47414,0.525,0.57856,0.67863,0.70987,0.71243,0.7242,0.8437,0.98954,1.0969,1.5131,1.6878,1.8583,1.9462,2.1899,2.2597,2.3013,2.4827,2.5863,2.9183,3.067,3.4015,3.6195,3.8308,4.1497,4.6395,5.1331,5.3494,5.6292,6.0076,6.5596,6.5918,7.0953,7.2143,6.9601,6.8311,6.1697,5.613,5.2117,4.6756,4.0544,3.4361,2.8583,2.2616,1.685,1.9426,1.7336,1.7658,1.0949,1.128,1.1643,1.2038,1.2432,1.2824,1.321,1.3585,1.3933,1.4236,1.4491,1.4694,1.484,1.4927,1.4967,1.4972,1.4954,1.4918,1.4854,1.4755,1.4626,1.4474,1.43,1.4103,1.3883,1.3649,1.3409,1.3164,1.2911,1.2647,1.2384,1.213,1.189,1.1811,1.1735,1.1668,1.1616,1.1583,1.1564,1.1553,1.155,1.1555,1.1565,1.1585,1.1619,1.1664,1.172,1.1783,1.185,1.1918,1.1982,1.204,1.2085,1.2125,1.2166,1.2209,1.2252,1.2294,1.2336,1.238,1.2423,1.2465,1.2503,1.254,1.2579,1.2622,1.267,1.2724,1.2779,1.2833,1.2885,1.2938,1.2994,1.3046,1.3089,1.3126,1.3157,1.3184,1.3205,1.3218,1.3225,1.3225,1.3221
ARG,0.50319,0.51999,0.53652,0.55261,0.56808,0.58278,0.59653,0.60916,0.6205,0.63038,0.63865,0.64589,0.65287,0.65965,0.66631,0.67291,0.67952,0.6862,0.69303,0.70006,0.70737,0.72342,0.75434,0.79669,0.84702,0.90189,0.95785,1.0115,1.0593,1.0978,1.1237,1.1411,1.1567,1.1708,1.1838,1.1961,1.208,1.22,1.2323,1.2454,1.7257,1.7534,1.8034,1.8736,1.9617,2.0654,2.1826,2.311,2.4484,2.5926,2.7413,2.9453,3.2406,3.603,4.0078,4.4309,4.8476,5.2336,5.5646,5.816,5.9635,6.0488,6.1296,6.2052,6.2751,6.3386,6.3952,6.4443,6.4853,6.5175,6.5405,6.5415,6.5133,6.4631,6.3982,6.3257,6.2529,6.1871,6.1354,6.1052,6.1037,6.15,6.2524,6.4021,6.59,6.8072,7.0449,7.294,7.5457,7.791,8.021,8.5017,9.436,10.7205,12.2517,13.9262,15.6405,17.291,18.7745,19.9874,20.8262,21.6547,22.849,24.324,25.9949,27.7769,29.5849,31.3341,32.9397,34.3166,35.38,36.4229,35.8593,34.7851,36.4456,38.5112,39.9702,41.5425,40.9464,39.5055,40.3626,40.2086,41.7328,42.9592,42.563,43.4925,45.0578,45.0273,44.084,43.9491,43.3887,42.9215,42.6302,43.0859,43.021,42.6911,41.977,41.6632,41.5628,41.0441,41.6498,42.2885,42.3879,43.8473,41.6208,41.0371,42.6513,41.2431,41.673,41.8109,48.0973,52.5749,48.3684,51.9403,48.4434,49.206,51.075,51.4989,47.7584,48.4798,39.4174,38.3879,38.0468,41.611,42.1619,41.7178,44.7654,46.1536,39.8552,39.936,40.0428,40.1651,40.2709,40.3597,40.4313,40.4861,40.5244,40.5514,40.5749,40.6022,40.6402,40.7487,40.9626,41.2502,41.5802,41.9209,42.2408,42.5104,42.7013,42.785,42.7338,42.5948,42.4375,42.2672,42.0884,41.9047,41.7135,41.5112,41.2994,41.0795,40.8526,40.4723,40.0805,39.6838,39.2885,38.9002,38.5208,38.1521,37.7995,37.4676,37.1613,36.9052,36.7147,36.5796,36.49,36.4363,36.411,36.405,36.4064,36.404,36.3868,36.3754,36.3931,36.4334,36.4902,36.5573,36.6273,36.6921,36.7448,36.7788,36.7876,36.7889,36.8007,36.8167,36.8309,36.837,36.8287,36.7992,36.7422,36.6515,36.5211,36.3709,36.2237,36.078,35.932,35.7842,35.6375,35.4949,35.3547,35.2153,35.0752
ARM,0.017211,0.017961,0.018701,0.019427,0.020132,0.02081,0.021455,0.022062,0.022625,0.023139,0.023597,0.024019,0.024433,0.024841,0.025244,0.025645,0.026046,0.02645,0.026859,0.027274,0.0277,0.028424,0.029657,0.03128,0.033177,0.035229,0.037318,0.039327,0.041138,0.042633,0.043693,0.044463,0.04517,0.045828,0.046449,0.047045,0.047629,0.048213,0.04881,0.049433,0.050557,0.051481,0.052394,0.053289,0.054161,0.055002,0.055806,0.056567,0.057278,0.057933,0.058524,0.059085,0.05965,0.06022,0.060795,0.061375,0.061959,0.062549,0.063143,0.063743,0.064347,0.065317,0.066914,0.068995,0.071416,0.074033,0.076703,0.079281,0.081623,0.083587,0.085027,0.086176,0.087355,0.088548,0.089743,0.090926,0.092082,0.0932,0.094263,0.09526,0.096176,0.096897,0.097366,0.09766,0.097851,0.098015,0.098225,0.098557,0.099084,0.099881,0.10102,0.10314,0.10663,0.1112,0.11658,0.12249,0.12865,0.13477,0.14058,0.14579,0.15014,0.1543,0.15908,0.16431,0.16985,0.17556,0.18127,0.18684,0.19212,0.19695,0.2012,0.20991,0.22171,0.22791,0.20024,0.21406,0.22581,0.2279,0.22354,0.22339,0.22851,0.24431,0.25761,0.26455,0.27975,0.29731,0.28955,0.29956,0.31439,0.3236,0.33201,0.33339,0.33549,0.34181,0.34504,0.34708,0.34922,0.354,0.35083,0.34815,0.36163,0.38225,0.42112,0.32375,0.31343,0.33547,0.36615,0.38228,0.40587,0.44371,0.4859,0.46381,0.51641,0.49429,0.50806,0.49394,0.68151,0.5889,0.54487,0.54111,0.49702,0.51953,0.59323,0.644,0.62295,0.67571,0.94464,0.75331,0.72545,0.72545,0.72582,0.72692,0.72895,0.73185,0.7355,0.73974,0.74414,0.74814,0.7514,0.75357,0.75429,0.75441,0.75498,0.75591,0.7571,0.75848,0.76001,0.76167,0.76347,0.76541,0.76749,0.76928,0.77039,0.7709,0.7709,0.77045,0.76971,0.76872,0.76745,0.76588,0.76399,0.76246,0.75994,0.75658,0.75253,0.74796,0.74295,0.73772,0.73264,0.72808,0.72439,0.7214,0.71867,0.71609,0.71359,0.71108,0.70857,0.70614,0.70388,0.70183,0.70005,0.69844,0.6969,0.69551,0.69435,0.6935,0.6929,0.6924,0.692,0.69165,0.69136,0.69122,0.69131,0.69155,0.69185,0.69215,0.6924,0.69251,0.69235,0.69177,0.69065,0.68886,0.68638,0.68316,0.67919,0.67444,0.6692,0.66375,0.65807,0.6521,0.64583
AUS,1.9916,2.0429,2.0932,2.1418,2.1879,2.231,2.2703,2.3051,2.3349,2.3589,2.3765,2.39,2.4025,2.4142,2.4255,2.4365,2.4475,2.4588,2.4707,2.4834,2.4972,2.5457,2.6529,2.8054,2.9895,3.1915,3.3979,3.595,3.7691,3.9066,3.994,4.0476,4.0941,4.1348,4.1712,4.2048,4.237,4.2692,4.3029,4.3395,4.8071,4.6302,4.4786,4.3513,4.2471,4.1648,4.1033,4.0616,4.0385,4.0329,4.0436,4.0937,4.1988,4.3468,4.5253,4.7223,4.9254,5.1225,5.3013,5.4497,5.5553,5.6308,5.698,5.7584,5.8136,5.8652,5.9148,5.964,6.0143,6.0674,6.1249,6.1918,6.2697,6.3545,6.4422,6.529,6.6108,6.6836,6.7435,6.7866,6.8087,6.8189,6.8292,6.8402,6.8527,6.8674,6.8852,6.9066,6.9324,6.9635,7.0004,7.1305,7.4175,7.8265,8.3223,8.8702,9.4351,9.9821,10.4763,10.8827,11.1663,11.3844,11.6166,11.8614,12.1173,12.3829,12.6566,12.9371,13.2227,13.5122,13.8039,13.7634,14.1641,14.469,14.8978,15.1801,15.063,15.4354,15.9267,16.3561,15.5178,14.502,18.1035,14.7998,16.2471,17.9468,20.7746,20.3682,16.8618,20.028,21.2305,15.727,19.5218,16.2965,16.485,21.4802,18.4517,15.8957,16.0606,17.0839,17.5026,17.1053,16.9533,17.4639,17.9515,17.2721,18.5226,19.2084,19.4442,19.8957,20.8136,21.1568,21.6893,20.4358,22.1351,22.2244,22.1898,20.6942,21.0042,21.3582,21.2029,21.9587,22.3433,21.1362,21.5726,21.0723,21.1038,22.7855,22.3865,22.4858,22.581,22.6695,22.746,22.8133,22.874,22.9306,22.9823,23.0294,23.0761,23.1265,23.1842,23.2486,23.3161,23.3868,23.4606,23.5374,23.6154,23.6934,23.7717,23.8508,23.931,24.0144,24.1005,24.1861,24.268,24.3436,24.4131,24.4783,24.5389,24.5944,24.6446,24.6475,24.6435,24.6345,24.6224,24.6087,24.5944,24.5783,24.5593,24.5361,24.5076,24.4718,24.4284,24.3786,24.3238,24.2656,24.2058,24.1451,24.0835,24.021,23.9579,23.8943,23.8293,23.7618,23.6909,23.6156,23.5361,23.4532,23.3666,23.2763,23.1821,23.085,22.9861,22.8853,22.7824,22.6772,22.5691,22.4578,22.3433,22.2258,22.1052,21.9819,21.8562,21.7286,21.5993,21.4688,21.337,21.2038,21.0691,20.9331,20.7957
