code,N2OAR4_IPCM0EL_TOTAL_NET_SSP2BLMESGB_PMSSPBIE
entity,N2O
scenario,SSP2BLMESGB
datatype,CountryYearMatrix
note,Scenario based on RCPSSP IAM scenario dowscaled to country level using GDP data from SSP scenarios. For methodology see Guetschow et al. 2017
type,NET
class,TOTAL
tablekind,raw
descr,SSPV2IB. SSP2BLMESGB downscaled using SSPV2MIDH. SSP2BLMESGB. and historic shares from PRIMAPHIST21. NON COMMERCIAL USE ALLOWED ONLY
source,PMSSPBIE
category,IPCM0EL
name_category,NatTotalExclLULUCF
family,emi
subsource,NaN
unit,MtCO2eq
gwp,AR4
iso3,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
AFG,0.24171,0.2469,0.25196,0.2568,0.26135,0.26553,0.26925,0.27244,0.275,0.27687,0.27796,0.27855,0.27903,0.2794,0.27972,0.28001,0.2803,0.28063,0.28103,0.28152,0.28215,0.28698,0.29895,0.31641,0.33771,0.36118,0.38518,0.40805,0.42814,0.44378,0.45334,0.4588,0.46339,0.46729,0.47066,0.47369,0.47655,0.47941,0.48245,0.48585,0.50837,0.50933,0.51061,0.51219,0.51404,0.51613,0.51843,0.5209,0.52351,0.52625,0.52907,0.53225,0.536,0.54025,0.5449,0.54985,0.55503,0.56033,0.56568,0.57098,0.57613,0.5809,0.58525,0.5894,0.59355,0.59793,0.60275,0.60823,0.61458,0.62203,0.63078,0.6469,0.67475,0.71208,0.75661,0.80605,0.85814,0.91059,0.96114,1.0075,1.0474,1.0822,1.1151,1.1465,1.1769,1.2068,1.2366,1.2668,1.2978,1.3301,1.3643,1.4178,1.5033,1.6132,1.7402,1.8771,2.0163,2.1505,2.2725,2.3747,2.4498,2.517,2.5973,2.6867,2.7809,2.8757,2.9669,3.0503,3.1217,3.177,3.2119,3.2039,3.1758,3.231,3.2999,3.3781,3.4637,3.5541,3.7125,3.7004,3.7194,3.6815,2.8745,3.1826,3.4626,3.7496,3.8566,3.7859,3.7543,3.6353,3.6751,3.6424,3.6905,3.4701,3.288,3.0392,2.5944,2.8169,2.9336,2.918,2.8774,2.9578,2.9063,2.9491,2.7852,2.9262,3.1643,3.4744,3.7633,4.0327,3.5094,3.1019,3.6137,3.8186,3.7249,3.8792,3.7186,3.647,3.9744,4.2457,4.7148,4.8007,4.8412,4.8856,5.2023,4.7449,5.1823,5.4246,5.549,5.4599,5.4093,5.3949,5.406,5.4398,5.4942,5.567,5.6565,5.7605,5.8765,6.0022,6.1355,6.2787,6.4346,6.6016,6.7784,6.9637,7.1595,7.3677,7.5871,7.8163,8.0543,8.3037,8.5669,8.843,9.1311,9.4308,9.7442,10.0721,10.412,10.7618,11.1192,11.5228,11.944,12.3792,12.825,13.2782,13.742,14.2204,14.7116,15.2142,15.7268,16.2519,16.7915,17.344,17.9082,18.4832,19.0728,19.6807,20.3059,20.948,21.6065,22.2841,22.9812,23.6953,24.4241,25.1657,25.9258,26.7104,27.5183,28.3491,29.2029,30.0885,31.0111,31.9653,32.9461,33.9483,34.9744,36.0264,37.0984,38.1846,39.2793,40.3883,41.5197,42.6705,43.8381,45.0204,46.2217,47.4462,48.691,49.9533,51.2308
AGO,0.54456,0.55663,0.5684,0.57969,0.59032,0.60011,0.60887,0.61642,0.62258,0.62716,0.62998,0.6317,0.63313,0.63436,0.63545,0.63648,0.63751,0.63862,0.63989,0.64138,0.64317,0.65443,0.68177,0.72149,0.76984,0.8231,0.87754,0.92944,0.97507,1.0107,1.0326,1.0453,1.056,1.0652,1.0731,1.0803,1.0871,1.094,1.1012,1.1092,1.1669,1.1786,1.1909,1.2037,1.217,1.2308,1.2451,1.2598,1.275,1.2905,1.3065,1.3223,1.3376,1.3529,1.3686,1.3853,1.4034,1.4232,1.4454,1.4704,1.4985,1.5395,1.6002,1.6773,1.7671,1.8663,1.9712,2.0785,2.1845,2.2858,2.379,2.4743,2.5812,2.6948,2.8099,2.9218,3.0252,3.1154,3.1871,3.2356,3.2557,3.2473,3.2173,3.1711,3.1141,3.0519,2.9899,2.9337,2.8886,2.8602,2.854,3.1385,3.8998,5.0197,6.38,7.8625,9.349,10.7211,11.8609,12.6499,12.97,12.8773,12.5465,12.0372,11.4089,10.7214,10.0341,9.4067,8.8988,8.57,8.4799,8.9651,9.0209,9.0608,9.1473,9.236,9.2964,9.4091,9.4276,9.543,16.539,7.591,8.5234,9.4145,7.7059,9.8763,8.2666,10.1256,10.8398,15.4474,12.0503,9.8879,11.6437,11.4739,7.8345,8.159,7.7198,12.2283,7.2304,8.7377,16.3245,16.3665,16.4205,16.3806,16.3396,16.3411,14.0603,13.8357,15.2565,14.1584,14.5799,15.816,17.128,19.3642,19.3412,19.4005,17.6285,19.389,18.2632,18.3747,19.323,19.9165,18.9733,19.7044,18.9981,19.9245,19.7863,19.4872,22.4187,22.1379,21.6737,21.0612,20.3748,19.6424,18.8861,18.1227,17.3568,16.587,15.8167,15.0479,14.2819,13.5179,12.7679,12.0482,11.3712,10.7461,10.166,9.6206,9.1104,8.6351,8.1936,7.7877,7.4163,7.0738,6.7552,6.4563,6.1782,5.9209,5.6796,5.4502,5.2292,5.1791,5.1363,5.0996,5.0676,5.0391,5.0146,4.9948,4.9788,4.9662,4.9561,4.9484,4.9428,4.9392,4.9373,4.9369,4.9384,4.9421,4.9477,4.9553,4.9649,4.9765,4.99,5.0051,5.0215,5.0388,5.057,5.0758,5.0949,5.1141,5.1331,5.1515,5.1693,5.1869,5.2045,5.2223,5.2407,5.2599,5.2803,5.3021,5.3258,5.3514,5.3787,5.4078,5.4388,5.4715,5.5058,5.5415,5.5787,5.6173,5.6573
ALB,0.02992,0.030846,0.031755,0.032638,0.033485,0.034285,0.035029,0.035706,0.036307,0.036822,0.037239,0.037596,0.037938,0.038268,0.03859,0.038909,0.039229,0.039552,0.039885,0.040229,0.04059,0.041471,0.043236,0.045681,0.0486,0.051789,0.055043,0.058157,0.060927,0.063147,0.064613,0.065572,0.066424,0.067189,0.06789,0.068548,0.069185,0.069823,0.070482,0.071186,0.077694,0.074114,0.070697,0.067505,0.064596,0.062031,0.059869,0.05817,0.056994,0.056401,0.05645,0.056907,0.057492,0.058197,0.059017,0.059942,0.060966,0.062081,0.06328,0.064555,0.065899,0.068411,0.072999,0.079373,0.087243,0.09632,0.10631,0.11693,0.12788,0.13888,0.14964,0.16214,0.17786,0.19574,0.21474,0.23377,0.2518,0.26776,0.28058,0.28922,0.29262,0.28954,0.28047,0.26692,0.25038,0.23235,0.21433,0.19783,0.18433,0.17534,0.17236,0.1831,0.2115,0.25342,0.30473,0.36127,0.4189,0.47348,0.52086,0.55691,0.57748,0.58827,0.59791,0.60658,0.61449,0.62183,0.62881,0.63562,0.64245,0.64952,0.65702,0.71816,0.72169,0.7135,0.72328,0.76513,0.77477,0.80977,0.83243,0.80008,0.83416,0.86213,0.86474,0.89112,0.91073,0.91633,1.0215,1.0772,1.2508,1.28,1.2998,1.3258,1.3297,1.371,1.394,1.3627,1.3965,1.3939,1.4588,1.5483,1.4671,1.1026,1.0592,1.1265,1.3624,1.3636,1.208,1.1339,1.1726,1.1355,1.2308,1.1941,1.342,1.3548,1.3192,1.316,1.2594,1.2353,1.1854,1.1762,1.1678,1.2048,1.2081,1.2016,1.2193,1.2607,1.2972,1.2619,1.2761,1.2771,1.2791,1.2824,1.2871,1.2925,1.2983,1.3042,1.3103,1.3167,1.3233,1.3299,1.3363,1.3426,1.349,1.3554,1.3618,1.3683,1.3748,1.3811,1.3871,1.3927,1.3978,1.4027,1.4075,1.4121,1.4163,1.4199,1.4228,1.4251,1.4268,1.4279,1.4281,1.4266,1.425,1.4231,1.4208,1.418,1.4147,1.4107,1.4059,1.4002,1.3934,1.3858,1.378,1.3699,1.3616,1.3532,1.3446,1.3358,1.3269,1.3181,1.3095,1.3016,1.2945,1.2881,1.2822,1.2766,1.2711,1.2658,1.2605,1.255,1.2493,1.2436,1.2383,1.2332,1.2284,1.2236,1.2187,1.2137,1.2085,1.203,1.1972,1.1912,1.1851,1.179,1.1729,1.167,1.1612,1.1554,1.1497,1.144,1.1384
ANNEXI,67.9813,69.9568,71.8953,73.7742,75.5704,77.2613,78.824,80.2356,81.4734,82.5144,83.3359,84.0195,84.6678,85.2901,85.8952,86.4923,87.0904,87.6986,88.3259,88.9814,89.6741,91.548,95.431,100.8577,107.3628,114.4809,121.7467,128.6949,134.86,139.7769,142.98,145.0323,146.8395,148.4509,149.9158,151.2835,152.6033,153.9243,155.2959,156.7674,161.2765,164.7888,168.2448,171.6147,174.8689,177.9775,180.9108,183.6391,186.1326,188.3617,190.2964,192.0337,193.7034,195.3252,196.9192,198.505,200.1027,201.732,203.4128,205.165,207.0084,209.5052,213.0414,217.3728,222.2548,227.4431,232.6934,237.7612,242.4021,246.3718,249.426,251.9572,254.5021,257.0321,259.5185,261.9328,264.2464,266.4307,268.4571,270.297,271.9217,273.5175,275.2986,277.2786,279.471,281.8894,284.5474,287.4586,290.6366,294.0949,297.8471,307.7618,328.0752,356.3519,390.1569,427.0547,464.6102,500.3882,531.9534,556.8705,572.7044,584.8833,600.1553,618.0645,638.1553,659.9718,683.0584,706.9594,731.2189,755.3812,778.9907,826.8769,866.0382,902.413,934.9009,979.419,1026.2605,1071.968,1104.8863,1132.9109,1106.5442,1130.0177,1159.7011,1210.7901,1230.2569,1244.0497,1269.6252,1270.4394,1293.5121,1310.4082,1291.4884,1268.1772,1231.9571,1249.6331,1273.4321,1258.2145,1236.8313,1233.0863,1209.7701,1210.8129,1161.3485,1121.862,1091.9664,1081.9616,1054.8114,1057.5418,1066.5241,1051.6168,1030.7967,973.1912,975.932,968.1276,954.3907,953.3078,984.1053,951.9468,948.4912,956.5773,932.7268,906.7663,904.6081,905.6775,876.0654,897.7235,898.004,907.8332,905.4125,910.4923,899.6886,905.0439,910.1114,914.9612,919.7737,924.5991,929.4781,934.443,939.4747,944.5252,949.5801,954.626,959.6509,964.7509,969.9874,975.2975,980.6187,985.8885,991.0402,996.0102,1000.7403,1005.1718,1009.2457,1013.116,1016.9519,1020.7167,1024.3737,1027.8854,1031.195,1034.2467,1037.0052,1039.435,1041.5007,1043.8783,1046.3089,1048.7237,1051.0544,1053.2324,1055.1949,1056.8703,1058.1778,1059.0367,1059.3673,1059.3838,1059.3607,1059.3094,1059.2411,1059.1669,1059.0967,1059.0399,1059.0067,1059.0076,1059.0527,1059.4785,1060.5504,1062.172,1064.2468,1066.6784,1069.3697,1072.2249,1075.149,1078.0475,1080.8254,1083.7694,1087.1554,1090.8728,1094.811,1098.8595,1102.9071,1106.8424,1110.5543,1113.9316,1116.8633,1119.5019,1122.068,1124.5527,1126.9472,1129.2424,1131.4308,1133.5052,1135.4579,1137.281,1138.9669
AOSIS,0.30365,0.31449,0.32516,0.33557,0.34561,0.35518,0.36418,0.3725,0.38005,0.38671,0.3924,0.39747,0.40238,0.40718,0.4119,0.41659,0.42127,0.42601,0.43083,0.43577,0.44088,0.45127,0.47063,0.49689,0.52796,0.56177,0.59624,0.62929,0.65885,0.68283,0.69915,0.71034,0.72043,0.72964,0.7382,0.74633,0.75424,0.76216,0.7703,0.77889,0.89781,0.90715,0.92158,0.94063,0.96383,0.99071,1.0208,1.0536,1.0888,1.1257,1.1639,1.2125,1.278,1.3562,1.4431,1.5344,1.6262,1.7142,1.7943,1.8625,1.9145,1.9609,2.0138,2.0718,2.1331,2.1963,2.2597,2.3218,2.381,2.4358,2.4845,2.5275,2.5665,2.602,2.6346,2.6649,2.6932,2.7202,2.7463,2.7722,2.7983,2.8296,2.8697,2.9169,2.9694,3.0257,3.084,3.1426,3.1998,3.2539,3.3033,3.4641,3.822,4.3298,4.9402,5.6059,6.2796,6.914,7.4619,7.8759,8.1088,8.2725,8.5013,8.7814,9.099,9.4406,9.7922,10.1402,10.4709,10.7704,11.025,10.6128,11.1562,11.4616,11.8739,12.1941,12.7185,13.1105,13.31,13.3756,13.3524,13.1286,13.195,13.4892,13.6502,13.7515,14.1595,14.3509,15.096,16.1943,15.8465,16.2099,15.3039,14.8801,16.0972,15.8661,16.0548,15.8817,15.6617,16.2744,15.7597,15.3173,15.1485,14.3949,14.6228,15.6135,16.4577,18.0672,19.0206,18.4475,21.4755,23.1532,17.198,16.977,17.1456,16.857,17.2011,17.2154,17.1535,16.916,17.0925,17.373,17.1997,16.6233,16.8829,17.1345,17.1914,17.4133,16.4522,16.5448,16.6946,16.9009,17.1433,17.4171,17.7177,18.0411,18.385,18.7457,19.1172,19.4939,19.8702,20.2503,20.6406,21.0398,21.4466,21.8597,22.2797,22.7066,23.1382,23.5724,24.0073,24.4484,24.9,25.3581,25.8191,26.2797,26.7397,27.199,27.654,28.1015,28.5383,28.9779,29.419,29.8578,30.2909,30.7151,31.1308,31.5396,31.9397,32.3296,32.7076,33.0756,33.4365,33.7906,34.1387,34.4815,34.8209,35.1584,35.494,35.8281,36.1609,36.4931,36.8244,37.1541,37.4817,37.8067,38.1306,38.4543,38.7774,39.0993,39.4197,39.7412,40.0656,40.3911,40.716,41.0389,41.3584,41.6732,41.9818,42.2828,42.5748,42.8587,43.1367,43.4095,43.6777,43.9419,44.2023,44.459,44.712,44.9613,45.2071
ARE,0.023356,0.023977,0.024586,0.025173,0.025733,0.026256,0.026735,0.027163,0.02753,0.02783,0.028055,0.028232,0.028397,0.028553,0.028703,0.028851,0.028999,0.02915,0.029308,0.029475,0.029656,0.030242,0.031518,0.033325,0.035502,0.03789,0.040329,0.042658,0.044719,0.04635,0.047393,0.048041,0.048604,0.0491,0.049546,0.049958,0.050354,0.05075,0.051163,0.051611,0.053233,0.053602,0.053994,0.054408,0.054846,0.055309,0.055795,0.056307,0.056844,0.057407,0.057996,0.058651,0.059398,0.060221,0.061105,0.062035,0.062994,0.063966,0.064937,0.065889,0.066809,0.067691,0.068549,0.069395,0.070241,0.071099,0.071981,0.072898,0.073863,0.074886,0.075981,0.077485,0.079644,0.08233,0.085415,0.088771,0.09227,0.095785,0.099186,0.10235,0.10514,0.10774,0.11041,0.11315,0.11597,0.11885,0.12181,0.12483,0.12792,0.13108,0.13431,0.13924,0.14708,0.15717,0.16887,0.18152,0.19448,0.2071,0.21873,0.22871,0.2364,0.24308,0.25039,0.25814,0.26618,0.27434,0.28247,0.29039,0.29795,0.30498,0.31132,0.35359,0.36344,0.37635,0.39121,0.40536,0.42163,0.45065,0.48186,0.51619,0.47414,0.525,0.57856,0.67863,0.70987,0.71243,0.7242,0.8437,0.98954,1.0969,1.5131,1.6878,1.8583,1.9462,2.1899,2.2597,2.3013,2.4827,2.5863,2.9183,3.067,3.4015,3.6195,3.8308,4.1497,4.6395,5.1331,5.3494,5.6292,6.0076,6.5596,6.5918,7.0953,7.2143,6.9601,6.8311,6.1697,5.613,5.2117,4.6756,4.0544,3.4361,2.8583,2.2616,1.685,1.9426,1.7336,1.7658,1.0913,1.1202,1.1517,1.1851,1.217,1.2476,1.2771,1.3055,1.3326,1.3576,1.3803,1.4007,1.4183,1.4332,1.4456,1.4555,1.4629,1.468,1.4705,1.4701,1.4669,1.461,1.4525,1.4412,1.4272,1.411,1.3929,1.373,1.351,1.3266,1.3005,1.2734,1.2457,1.2467,1.2464,1.2454,1.2443,1.2437,1.2434,1.243,1.2425,1.2419,1.2411,1.2399,1.238,1.2357,1.2333,1.2308,1.2283,1.2255,1.2227,1.22,1.2175,1.215,1.2124,1.2099,1.2075,1.2053,1.2032,1.2009,1.1986,1.1962,1.1939,1.1914,1.1886,1.1857,1.1829,1.1804,1.1781,1.176,1.1742,1.1729,1.172,1.1717,1.1717,1.1723,1.1731,1.1743,1.1759,1.1778,1.18,1.1825,1.1852
ARG,0.50319,0.51999,0.53652,0.55261,0.56808,0.58278,0.59653,0.60916,0.6205,0.63038,0.63865,0.64589,0.65287,0.65965,0.66631,0.67291,0.67952,0.6862,0.69303,0.70006,0.70737,0.72342,0.75434,0.79669,0.84702,0.90189,0.95785,1.0115,1.0593,1.0978,1.1237,1.1411,1.1567,1.1708,1.1838,1.1961,1.208,1.22,1.2323,1.2454,1.7257,1.7534,1.8034,1.8736,1.9617,2.0654,2.1826,2.311,2.4484,2.5926,2.7413,2.9453,3.2406,3.603,4.0078,4.4309,4.8476,5.2336,5.5646,5.816,5.9635,6.0488,6.1296,6.2052,6.2751,6.3386,6.3952,6.4443,6.4853,6.5175,6.5405,6.5415,6.5133,6.4631,6.3982,6.3257,6.2529,6.1871,6.1354,6.1052,6.1037,6.15,6.2524,6.4021,6.59,6.8072,7.0449,7.294,7.5457,7.791,8.021,8.5017,9.436,10.7205,12.2517,13.9262,15.6405,17.291,18.7745,19.9874,20.8262,21.6547,22.849,24.324,25.9949,27.7769,29.5849,31.3341,32.9397,34.3166,35.38,36.4229,35.8593,34.7851,36.4456,38.5112,39.9702,41.5425,40.9464,39.5055,40.3626,40.2086,41.7328,42.9592,42.563,43.4925,45.0578,45.0273,44.084,43.9491,43.3887,42.9215,42.6302,43.0859,43.021,42.6911,41.977,41.6632,41.5628,41.0441,41.6498,42.2885,42.3879,43.8473,41.6208,41.0371,42.6513,41.2431,41.673,41.8109,48.0973,52.5749,48.3684,51.9403,48.4434,49.206,51.075,51.4989,47.7584,48.4798,39.4174,38.3879,38.0468,41.611,42.1619,41.7178,44.7654,46.1536,40.0452,40.3323,40.6617,41.0346,41.4289,41.8416,42.2692,42.7082,43.1509,43.5881,44.0138,44.422,44.8066,45.1824,45.5595,45.9259,46.2704,46.5824,46.8597,47.1059,47.3202,47.5015,47.6485,47.7656,47.8613,47.9401,48.0059,48.0623,48.1056,48.1288,48.1296,48.1058,48.0555,47.9432,47.8248,47.6993,47.5657,47.4229,47.2686,47.1007,46.9185,46.7215,46.5087,46.2858,46.059,45.8287,45.5955,45.3597,45.1235,44.8883,44.6536,44.4192,44.1848,43.9516,43.7217,43.4964,43.2766,43.0631,42.8534,42.6443,42.4358,42.2276,42.0195,41.8123,41.6075,41.4052,41.2057,41.0092,40.8157,40.6247,40.4354,40.2471,40.0593,39.8721,39.6863,39.5015,39.3176,39.1344,38.9517,38.7696,38.5882,38.4074,38.2272
ARM,0.017211,0.017961,0.018701,0.019427,0.020132,0.02081,0.021455,0.022062,0.022625,0.023139,0.023597,0.024019,0.024433,0.024841,0.025244,0.025645,0.026046,0.02645,0.026859,0.027274,0.0277,0.028424,0.029657,0.03128,0.033177,0.035229,0.037318,0.039327,0.041138,0.042633,0.043693,0.044463,0.04517,0.045828,0.046449,0.047045,0.047629,0.048213,0.04881,0.049433,0.050557,0.051481,0.052394,0.053289,0.054161,0.055002,0.055806,0.056567,0.057278,0.057933,0.058524,0.059085,0.05965,0.06022,0.060795,0.061375,0.061959,0.062549,0.063143,0.063743,0.064347,0.065317,0.066914,0.068995,0.071416,0.074033,0.076703,0.079281,0.081623,0.083587,0.085027,0.086176,0.087355,0.088548,0.089743,0.090926,0.092082,0.0932,0.094263,0.09526,0.096176,0.096897,0.097366,0.09766,0.097851,0.098015,0.098225,0.098557,0.099084,0.099881,0.10102,0.10314,0.10663,0.1112,0.11658,0.12249,0.12865,0.13477,0.14058,0.14579,0.15014,0.1543,0.15908,0.16431,0.16985,0.17556,0.18127,0.18684,0.19212,0.19695,0.2012,0.20991,0.22171,0.22791,0.20024,0.21406,0.22581,0.2279,0.22354,0.22339,0.22851,0.24431,0.25761,0.26455,0.27975,0.29731,0.28955,0.29956,0.31439,0.3236,0.33201,0.33339,0.33549,0.34181,0.34504,0.34708,0.34922,0.354,0.35083,0.34815,0.36163,0.38225,0.42112,0.32375,0.31343,0.33547,0.36615,0.38228,0.40587,0.44371,0.4859,0.46381,0.51641,0.49429,0.50806,0.49394,0.68151,0.5889,0.54487,0.54111,0.49702,0.51953,0.59323,0.644,0.62295,0.67571,0.94464,0.75331,0.72077,0.71598,0.7114,0.70674,0.7019,0.69724,0.69301,0.68944,0.68635,0.6834,0.68052,0.67767,0.67477,0.67194,0.66928,0.66673,0.66423,0.66173,0.65912,0.65633,0.6533,0.64998,0.64634,0.64257,0.63886,0.63511,0.63124,0.62714,0.62276,0.61802,0.61275,0.60682,0.60009,0.6003,0.60028,0.60005,0.59964,0.59908,0.59826,0.59716,0.59598,0.59493,0.59416,0.59371,0.59343,0.59323,0.59301,0.59269,0.59225,0.59177,0.59131,0.59095,0.59075,0.59085,0.59137,0.59231,0.59368,0.59546,0.59758,0.59992,0.60241,0.60496,0.60751,0.61031,0.61361,0.61725,0.62112,0.62506,0.62896,0.63268,0.63607,0.63896,0.6412,0.64309,0.64502,0.647,0.64904,0.65115,0.65332,0.65551,0.6577,0.65987,0.66201
AUS,1.9916,2.0429,2.0932,2.1418,2.1879,2.231,2.2703,2.3051,2.3349,2.3589,2.3765,2.39,2.4025,2.4142,2.4255,2.4365,2.4475,2.4588,2.4707,2.4834,2.4972,2.5457,2.6529,2.8054,2.9895,3.1915,3.3979,3.595,3.7691,3.9066,3.994,4.0476,4.0941,4.1348,4.1712,4.2048,4.237,4.2692,4.3029,4.3395,4.8071,4.6302,4.4786,4.3513,4.2471,4.1648,4.1033,4.0616,4.0385,4.0329,4.0436,4.0937,4.1988,4.3468,4.5253,4.7223,4.9254,5.1225,5.3013,5.4497,5.5553,5.6308,5.698,5.7584,5.8136,5.8652,5.9148,5.964,6.0143,6.0674,6.1249,6.1918,6.2697,6.3545,6.4422,6.529,6.6108,6.6836,6.7435,6.7866,6.8087,6.8189,6.8292,6.8402,6.8527,6.8674,6.8852,6.9066,6.9324,6.9635,7.0004,7.1305,7.4175,7.8265,8.3223,8.8702,9.4351,9.9821,10.4763,10.8827,11.1663,11.3844,11.6166,11.8614,12.1173,12.3829,12.6566,12.9371,13.2227,13.5122,13.8039,13.7634,14.1641,14.469,14.8978,15.1801,15.063,15.4354,15.9267,16.3561,15.5178,14.502,18.1035,14.7998,16.2471,17.9468,20.7746,20.3682,16.8618,20.028,21.2305,15.727,19.5218,16.2965,16.485,21.4802,18.4517,15.8957,16.0606,17.0839,17.5026,17.1053,16.9533,17.4639,17.9515,17.2721,18.5226,19.2084,19.4442,19.8957,20.8136,21.1568,21.6893,20.4358,22.1351,22.2244,22.1898,20.6942,21.0042,21.3582,21.2029,21.9587,22.3433,21.1362,21.5726,21.0723,21.1038,22.7855,22.5629,22.8401,23.1116,23.3807,23.6476,23.9116,24.1721,24.4284,24.6794,24.926,25.1704,25.4146,25.6605,25.9087,26.1587,26.4111,26.6664,26.9247,27.1827,27.4371,27.6883,27.9367,28.1823,28.4311,28.6855,28.9411,29.1932,29.4376,29.6735,29.9019,30.1214,30.3305,30.528,30.6938,30.8578,31.02,31.1805,31.3392,31.4946,31.6426,31.7792,31.9006,32.0029,32.0932,32.1813,32.2683,32.3549,32.4419,32.5308,32.6213,32.712,32.8017,32.8891,32.9854,33.1,33.2292,33.3693,33.5165,33.6682,33.8223,33.9758,34.1253,34.2678,34.4116,34.5655,34.7267,34.8927,35.0607,35.2275,35.3897,35.5447,35.6897,35.8219,35.9449,36.0638,36.1787,36.2898,36.3971,36.5006,36.5996,36.6942,36.7841,36.8692
AUT,0.1902,0.19684,0.20339,0.20976,0.21591,0.22176,0.22725,0.23232,0.2369,0.24094,0.24435,0.24739,0.25032,0.25318,0.25599,0.25878,0.26158,0.2644,0.26727,0.27023,0.27329,0.27965,0.29163,0.30793,0.32725,0.34829,0.36974,0.3903,0.40867,0.42354,0.43362,0.44048,0.44666,0.45229,0.45751,0.46245,0.46727,0.47208,0.47704,0.48228,0.44962,0.49477,0.53742,0.57716,0.61358,0.64628,0.67484,0.69885,0.7179,0.73158,0.73948,0.74149,0.73858,0.73198,0.72291,0.7126,0.70226,0.69313,0.68642,0.68336,0.68518,0.69006,0.69536,0.70107,0.70716,0.71362,0.72043,0.72757,0.73504,0.7428,0.75085,0.76008,0.77117,0.78375,0.79744,0.81188,0.82668,0.84147,0.85589,0.86956,0.8821,0.89837,0.92235,0.95236,0.98674,1.0238,1.0619,1.0994,1.1346,1.1658,1.1913,1.2482,1.3652,1.5278,1.7216,1.9325,2.146,2.3477,2.5233,2.6586,2.739,2.8,2.884,2.9877,3.1077,3.2406,3.3829,3.5314,3.6826,3.833,3.9794,4.1945,4.4261,4.5669,4.7003,4.9428,5.1287,5.3828,5.5994,5.7569,5.335,5.5689,5.6423,5.8953,6.0271,5.8667,6.0098,5.974,6.0807,6.1273,6.0892,5.9162,5.6571,5.5577,5.6155,5.303,5.0841,4.8352,4.9985,4.6087,4.6233,4.6756,4.4677,4.4981,4.4387,4.5344,4.5747,4.5821,4.633,4.6068,4.5789,4.4636,4.4703,4.4717,3.8872,3.8906,3.8791,3.8861,4.0594,3.8203,3.6266,3.7137,3.6738,3.6792,3.7603,3.7586,3.8412,3.7632,3.7677,3.7997,3.8348,3.8727,3.9116,3.9517,3.9935,4.0373,4.0827,4.1294,4.1777,4.2281,4.2809,4.3364,4.3944,4.4547,4.5172,4.5819,4.6487,4.7172,4.7867,4.8566,4.9261,4.9962,5.0679,5.1403,5.2126,5.284,5.3544,5.4239,5.4921,5.5586,5.6231,5.6805,5.7379,5.7947,5.8504,5.9044,5.9559,6.0046,6.0501,6.0922,6.1306,6.1664,6.2013,6.2355,6.2692,6.3025,6.3354,6.3679,6.4,6.4322,6.4645,6.4992,6.538,6.5798,6.6236,6.6686,6.7141,6.7599,6.8054,6.85,6.8931,6.9365,6.9819,7.0286,7.0759,7.1233,7.1701,7.2157,7.2594,7.3007,7.339,7.3749,7.4095,7.4429,7.4751,7.5061,7.536,7.5646,7.5919,7.6179,7.6424
