code,N2OAR4_IPCM0EL_TOTAL_NET_SSP4BLGCAM4_PMSSPBIE
entity,N2O
scenario,SSP4BLGCAM4
datatype,CountryYearMatrix
note,Scenario based on RCPSSP IAM scenario dowscaled to country level using GDP data from SSP scenarios. For methodology see Guetschow et al. 2017
type,NET
class,TOTAL
tablekind,raw
descr,SSPV2IB. SSP4BLGCAM4 downscaled using SSPV2MIDH. SSP4BLGCAM4. and historic shares from PRIMAPHIST21. NON COMMERCIAL USE ALLOWED ONLY
source,PMSSPBIE
category,IPCM0EL
name_category,NatTotalExclLULUCF
family,emi
subsource,NaN
unit,MtCO2eq
gwp,AR4
iso3,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
ABW,4.8867e-05,5.2193e-05,5.5492e-05,5.8749e-05,6.1945e-05,6.5067e-05,6.8096e-05,7.1016e-05,7.3811e-05,7.6465e-05,7.8962e-05,8.1359e-05,8.373e-05,8.6083e-05,8.8424e-05,9.0759e-05,9.3094e-05,9.5437e-05,9.7794e-05,0.00010017,0.00010257,0.00010583,0.00011052,0.00011633,0.00012291,0.00012993,0.00013706,0.00014396,0.0001503,0.00015574,0.00015995,0.00016333,0.00016653,0.0001696,0.00017256,0.00017545,0.0001783,0.00018116,0.00018405,0.00018701,0.00019752,0.00020136,0.00020552,0.00020997,0.0002147,0.00021969,0.00022492,0.00023036,0.000236,0.00024182,0.0002478,0.00025463,0.0002628,0.00027197,0.00028182,0.00029201,0.00030221,0.0003121,0.00032134,0.00032959,0.00033654,0.00034267,0.00034871,0.00035466,0.00036052,0.00036629,0.00037198,0.00037759,0.00038312,0.00038857,0.00039395,0.00039912,0.00040398,0.0004086,0.00041308,0.00041747,0.00042188,0.00042636,0.000431,0.00043588,0.00044108,0.0004467,0.00045279,0.00045935,0.00046633,0.00047373,0.00048152,0.00048969,0.00049821,0.00050707,0.00051624,0.00053091,0.00055494,0.00058631,0.00062301,0.00066303,0.00070433,0.00074492,0.00078276,0.00081585,0.00084217,0.00086754,0.00089836,0.00093352,0.00097191,0.0010124,0.0010539,0.0010952,0.0011353,0.0011731,0.0012073,0.0012454,0.001294,0.0013509,0.001414,0.0014811,0.0015502,0.001619,0.0016855,0.0017476,0.0017555,0.0017602,0.0017702,0.0017757,0.0017939,0.001866,0.002435,0.0025522,0.0042271,0.0045326,0.0049483,0.005074,0.0054034,0.0058211,0.0063451,0.006216,0.0050899,0.0063902,0.0062564,0.0064362,0.0073335,0.0059797,0.0065516,0.0066293,0.0068499,0.0072763,0.0023661,0.0025983,0.0034136,0.0039485,0.0071178,0.0076606,0.0072012,0.0071968,0.0069459,0.0068139,0.0065261,0.0076502,0.0077624,0.0079124,0.0095126,0.0095032,0.0095378,0.0098568,0.010183,0.010509,0.010836,0.011162,0.010994,0.011928,0.012972,0.014156,0.015478,0.016941,0.018546,0.02029,0.0222,0.024302,0.026597,0.029082,0.031754,0.034656,0.037835,0.041286,0.045002,0.048975,0.053246,0.057858,0.062799,0.068056,0.073616,0.079543,0.085907,0.092697,0.0999,0.1075,0.11552,0.124,0.13289,0.14212,0.15163,0.16042,0.16959,0.17911,0.18898,0.19916,0.20969,0.22062,0.23192,0.24357,0.25555,0.26783,0.28039,0.29319,0.3062,0.31941,0.33286,0.34661,0.36062,0.37487,0.38934,0.40399,0.41879,0.4337,0.44869,0.46372,0.47888,0.49419,0.50956,0.52489,0.54011,0.55517,0.57008,0.58485,0.59946,0.6139,0.62822,0.64242,0.65648,0.67036,0.68405,0.69752,0.7108,0.72384,0.73662,0.74913,0.76135,0.7733,0.78498,0.79638,0.80752
AFG,0.24171,0.2469,0.25196,0.2568,0.26135,0.26553,0.26925,0.27244,0.275,0.27687,0.27796,0.27855,0.27903,0.2794,0.27972,0.28001,0.2803,0.28063,0.28103,0.28152,0.28215,0.28698,0.29895,0.31641,0.33771,0.36118,0.38518,0.40805,0.42814,0.44378,0.45334,0.4588,0.46339,0.46729,0.47066,0.47369,0.47655,0.47941,0.48245,0.48585,0.50837,0.50933,0.51061,0.51219,0.51404,0.51613,0.51843,0.5209,0.52351,0.52625,0.52907,0.53225,0.536,0.54025,0.5449,0.54985,0.55503,0.56033,0.56568,0.57098,0.57613,0.5809,0.58525,0.5894,0.59355,0.59793,0.60275,0.60823,0.61458,0.62203,0.63078,0.6469,0.67475,0.71208,0.75661,0.80605,0.85814,0.91059,0.96114,1.0075,1.0474,1.0822,1.1151,1.1465,1.1769,1.2068,1.2366,1.2668,1.2978,1.3301,1.3643,1.4178,1.5033,1.6132,1.7402,1.8771,2.0163,2.1505,2.2725,2.3747,2.4498,2.517,2.5973,2.6867,2.7809,2.8757,2.9669,3.0503,3.1217,3.177,3.2119,3.2039,3.1758,3.231,3.2999,3.3781,3.4637,3.5541,3.7125,3.7004,3.7194,3.6815,2.8745,3.1826,3.4626,3.7496,3.8566,3.7859,3.7543,3.6353,3.6751,3.6424,3.6905,3.4701,3.288,3.0392,2.5944,2.8169,2.9336,2.918,2.8774,2.9578,2.9063,2.9491,2.7852,2.9262,3.1643,3.4744,3.7633,4.0327,3.5094,3.1019,3.6137,3.8186,3.7249,3.8792,3.7186,3.647,3.9744,4.2457,4.7148,4.8007,4.8412,4.8856,5.2023,4.7449,5.1823,5.4246,5.5548,5.4665,5.4109,5.3839,5.3741,5.3798,5.3994,5.4312,5.473,5.5227,5.5796,5.6428,5.7116,5.7851,5.8637,5.9484,6.0403,6.1401,6.2474,6.3614,6.4816,6.6078,6.7398,6.879,7.0267,7.1826,7.3464,7.5179,7.696,7.8791,8.066,8.2556,8.4467,8.6435,8.8469,9.0555,9.2683,9.484,9.7018,9.9219,10.1453,10.3733,10.6068,10.8426,11.0776,11.3133,11.5512,11.7931,12.0393,12.2889,12.5416,12.797,13.0552,13.3174,13.5831,13.8493,14.1132,14.3717,14.6267,14.8815,15.1367,15.3927,15.6503,15.9092,16.168,16.4258,16.6815,16.9343,17.1848,17.4343,17.6828,17.9303,18.1766,18.4214,18.6643,18.9058,19.146,19.3855,19.6241,19.8616,20.098,20.3333,20.5677
AGO,0.54456,0.55663,0.5684,0.57969,0.59032,0.60011,0.60887,0.61642,0.62258,0.62716,0.62998,0.6317,0.63313,0.63436,0.63545,0.63648,0.63751,0.63862,0.63989,0.64138,0.64317,0.65443,0.68177,0.72149,0.76984,0.8231,0.87754,0.92944,0.97507,1.0107,1.0326,1.0453,1.056,1.0652,1.0731,1.0803,1.0871,1.094,1.1012,1.1092,1.1669,1.1786,1.1909,1.2037,1.217,1.2308,1.2451,1.2598,1.275,1.2905,1.3065,1.3223,1.3376,1.3529,1.3686,1.3853,1.4034,1.4232,1.4454,1.4704,1.4985,1.5395,1.6002,1.6773,1.7671,1.8663,1.9712,2.0785,2.1845,2.2858,2.379,2.4743,2.5812,2.6948,2.8099,2.9218,3.0252,3.1154,3.1871,3.2356,3.2557,3.2473,3.2173,3.1711,3.1141,3.0519,2.9899,2.9337,2.8886,2.8602,2.854,3.1385,3.8998,5.0197,6.38,7.8625,9.349,10.7211,11.8609,12.6499,12.97,12.8773,12.5465,12.0372,11.4089,10.7214,10.0341,9.4067,8.8988,8.57,8.4799,8.9651,9.0209,9.0608,9.1473,9.236,9.2964,9.4091,9.4276,9.543,16.539,7.591,8.5234,9.4145,7.7059,9.8763,8.2666,10.1256,10.8398,15.4474,12.0503,9.8879,11.6437,11.4739,7.8345,8.159,7.7198,12.2283,7.2304,8.7377,16.3245,16.3665,16.4205,16.3806,16.3396,16.3411,14.0603,13.8357,15.2565,14.1584,14.5799,15.816,17.128,19.3642,19.3412,19.4005,17.6285,19.389,18.2632,18.3747,19.323,19.9165,18.9733,19.7044,18.9981,19.9245,19.7863,19.4872,22.8443,23.0405,23.1134,23.0783,22.9846,22.8568,22.715,22.5757,22.4349,22.2779,22.1021,21.9041,21.6801,21.4299,21.165,20.8982,20.6421,20.4085,20.1864,19.9674,19.7659,19.5947,19.4655,19.3831,19.3432,19.3437,19.3828,19.4585,19.5836,19.7643,19.9895,20.2489,20.5328,20.9576,21.4351,21.9572,22.5162,23.1048,23.7328,24.4109,25.1331,25.894,26.6886,27.5275,28.4205,29.361,30.3429,31.3602,32.4182,33.5218,34.6644,35.8396,37.041,38.2792,39.5638,40.8875,42.2431,43.624,45.0344,46.4783,47.949,49.4397,50.9439,52.467,54.0146,55.5812,57.1617,58.7512,60.3522,61.9701,63.6042,65.2542,66.9197,68.6039,70.3072,72.0254,73.7543,75.4903,77.2345,78.9897,80.7547,82.5286,84.3103
ALB,0.02992,0.030846,0.031755,0.032638,0.033485,0.034285,0.035029,0.035706,0.036307,0.036822,0.037239,0.037596,0.037938,0.038268,0.03859,0.038909,0.039229,0.039552,0.039885,0.040229,0.04059,0.041471,0.043236,0.045681,0.0486,0.051789,0.055043,0.058157,0.060927,0.063147,0.064613,0.065572,0.066424,0.067189,0.06789,0.068548,0.069185,0.069823,0.070482,0.071186,0.077694,0.074114,0.070697,0.067505,0.064596,0.062031,0.059869,0.05817,0.056994,0.056401,0.05645,0.056907,0.057492,0.058197,0.059017,0.059942,0.060966,0.062081,0.06328,0.064555,0.065899,0.068411,0.072999,0.079373,0.087243,0.09632,0.10631,0.11693,0.12788,0.13888,0.14964,0.16214,0.17786,0.19574,0.21474,0.23377,0.2518,0.26776,0.28058,0.28922,0.29262,0.28954,0.28047,0.26692,0.25038,0.23235,0.21433,0.19783,0.18433,0.17534,0.17236,0.1831,0.2115,0.25342,0.30473,0.36127,0.4189,0.47348,0.52086,0.55691,0.57748,0.58827,0.59791,0.60658,0.61449,0.62183,0.62881,0.63562,0.64245,0.64952,0.65702,0.71816,0.72169,0.7135,0.72328,0.76513,0.77477,0.80977,0.83243,0.80008,0.83416,0.86213,0.86474,0.89112,0.91073,0.91633,1.0215,1.0772,1.2508,1.28,1.2998,1.3258,1.3297,1.371,1.394,1.3627,1.3965,1.3939,1.4588,1.5483,1.4671,1.1026,1.0592,1.1265,1.3624,1.3636,1.208,1.1339,1.1726,1.1355,1.2308,1.1941,1.342,1.3548,1.3192,1.316,1.2594,1.2353,1.1854,1.1762,1.1678,1.2048,1.2081,1.2016,1.2193,1.2607,1.2972,1.2619,1.2821,1.2924,1.3037,1.3166,1.3316,1.348,1.3655,1.3835,1.4018,1.4201,1.4378,1.4545,1.4696,1.4832,1.4961,1.5085,1.5208,1.5333,1.5461,1.559,1.5721,1.5853,1.5987,1.6124,1.6263,1.6401,1.6538,1.6671,1.6801,1.6928,1.7051,1.7171,1.7285,1.7303,1.7317,1.7328,1.7334,1.7336,1.7333,1.7327,1.7316,1.7298,1.7272,1.724,1.7204,1.7164,1.7118,1.7067,1.701,1.6946,1.6878,1.6805,1.6728,1.6651,1.6575,1.6498,1.6417,1.6332,1.6243,1.615,1.6053,1.5951,1.5842,1.5729,1.5614,1.5498,1.538,1.5261,1.5139,1.5018,1.4896,1.4773,1.4651,1.4528,1.4404,1.4281,1.4159,1.4037,1.3918,1.38,1.3683,1.3568,1.3454
ANNEXI,67.9813,69.9568,71.8953,73.7742,75.5704,77.2613,78.824,80.2356,81.4734,82.5144,83.3359,84.0195,84.6678,85.2901,85.8952,86.4923,87.0904,87.6986,88.3259,88.9814,89.6741,91.548,95.431,100.8577,107.3628,114.4809,121.7467,128.6949,134.86,139.7769,142.98,145.0323,146.8395,148.4509,149.9158,151.2835,152.6033,153.9243,155.2959,156.7674,161.2765,164.7888,168.2448,171.6147,174.8689,177.9775,180.9108,183.6391,186.1326,188.3617,190.2964,192.0337,193.7034,195.3252,196.9192,198.505,200.1027,201.732,203.4128,205.165,207.0084,209.5052,213.0414,217.3728,222.2548,227.4431,232.6934,237.7612,242.4021,246.3718,249.426,251.9572,254.5021,257.0321,259.5185,261.9328,264.2464,266.4307,268.4571,270.297,271.9217,273.5175,275.2986,277.2786,279.471,281.8894,284.5474,287.4586,290.6366,294.0949,297.8471,307.7618,328.0752,356.3519,390.1569,427.0547,464.6102,500.3882,531.9534,556.8705,572.7044,584.8833,600.1553,618.0645,638.1553,659.9718,683.0584,706.9594,731.2189,755.3812,778.9907,826.8769,866.0382,902.413,934.9009,979.419,1026.2605,1071.968,1104.8863,1132.9109,1106.5442,1130.0177,1159.7011,1210.7901,1230.2569,1244.0497,1269.6252,1270.4394,1293.5121,1310.4082,1291.4884,1268.1772,1231.9571,1249.6331,1273.4321,1258.2145,1236.8313,1233.0863,1209.7701,1210.8129,1161.3485,1121.862,1091.9664,1081.9616,1054.8114,1057.5418,1066.5241,1051.6168,1030.7967,973.1912,975.932,968.1276,954.3907,953.3078,984.1053,951.9468,948.4912,956.5773,932.7268,906.7663,904.6081,905.6775,876.0654,897.7235,898.004,907.8332,905.4125,910.4923,905.3874,916.3937,927.7023,939.6906,952.6202,966.3217,980.6119,995.295,1010.1314,1024.8552,1039.2175,1052.9633,1065.8317,1078.0472,1090.0252,1101.787,1113.3553,1124.7542,1136.0113,1147.1597,1158.2332,1169.266,1180.2933,1191.3175,1202.3197,1213.3026,1224.2666,1235.2108,1246.0993,1256.9025,1267.6257,1278.2727,1288.8462,1292.7275,1296.5004,1300.169,1303.737,1307.2078,1310.5856,1313.8609,1317.0162,1320.0351,1322.9016,1325.6892,1328.4599,1331.1813,1333.8202,1336.3436,1338.7132,1340.8904,1342.841,1344.5307,1345.9247,1347.1642,1348.3918,1349.5753,1350.6824,1351.6811,1352.5432,1353.2417,1353.7463,1354.027,1354.0535,1353.9242,1353.7597,1353.5633,1353.3387,1353.0893,1352.819,1352.5319,1352.2319,1351.923,1351.6093,1351.2682,1350.8754,1350.4323,1349.9402,1349.4006,1348.8218,1348.2134,1347.5788,1346.9213,1346.2444
AOSIS,0.30381,0.31466,0.32535,0.33576,0.34581,0.35539,0.36439,0.37272,0.38027,0.38695,0.39264,0.39772,0.40263,0.40744,0.41216,0.41685,0.42154,0.42628,0.43111,0.43606,0.44117,0.45157,0.47094,0.49721,0.52831,0.56214,0.59663,0.6297,0.65928,0.68327,0.69961,0.7108,0.7209,0.73012,0.73869,0.74682,0.75474,0.76266,0.77081,0.77941,0.89842,0.90777,0.92222,0.94128,0.9645,0.99141,1.0215,1.0544,1.0895,1.1265,1.1648,1.2134,1.2789,1.3572,1.4442,1.5356,1.6274,1.7155,1.7957,1.8639,1.916,1.9624,2.0153,2.0733,2.1347,2.1979,2.2613,2.3234,2.3827,2.4374,2.4861,2.5291,2.5681,2.6037,2.6363,2.6665,2.6949,2.7218,2.748,2.7739,2.7999,2.8313,2.8714,2.9186,2.9712,3.0275,3.0859,3.1445,3.2018,3.256,3.3054,3.4662,3.8244,4.3324,4.9431,5.6091,6.2832,6.9179,7.4661,7.8804,8.1134,8.2773,8.5063,8.7866,9.1046,9.4465,9.7985,10.1468,10.4777,10.7775,11.0324,10.6201,11.1632,11.4691,11.8815,12.2019,12.7265,13.1184,13.3182,13.3837,13.361,13.1373,13.2034,13.4979,13.6586,13.7594,14.1682,14.3602,15.106,16.2043,15.8567,16.2201,15.3142,14.8902,16.1071,15.8759,16.0645,15.8912,15.671,16.2839,15.7699,15.3276,15.1589,14.4052,14.634,15.625,16.4693,18.0794,19.033,18.4605,21.4948,23.1721,17.217,16.9957,17.1646,16.877,17.2217,17.2365,17.1746,16.9375,17.1165,17.3977,17.2245,16.6489,16.9092,17.1613,17.219,17.4416,16.4726,16.5542,16.6862,16.8653,17.07,17.2971,17.5436,17.8058,18.0812,18.3654,18.6529,18.938,19.2154,19.4854,19.7538,20.0242,20.2997,20.5832,20.8723,21.1631,21.4557,21.7503,22.0469,22.3518,22.669,22.9945,23.3242,23.6543,23.9814,24.302,24.6122,24.9077,25.1846,25.3482,25.5114,25.6733,25.8333,25.9906,26.1438,26.2931,26.4397,26.5848,26.7294,26.8669,26.9918,27.1067,27.2141,27.3164,27.4142,27.5071,27.5967,27.6846,27.7725,27.8575,27.9359,28.0075,28.0722,28.1299,28.1817,28.229,28.2725,28.3129,28.351,28.3849,28.4123,28.4338,28.4496,28.4601,28.466,28.4681,28.4671,28.4635,28.4581,28.4499,28.4381,28.4233,28.4064,28.3878,28.3675,28.3448,28.3198,28.2927,28.2637
ARE,0.023356,0.023977,0.024586,0.025173,0.025733,0.026256,0.026735,0.027163,0.02753,0.02783,0.028055,0.028232,0.028397,0.028553,0.028703,0.028851,0.028999,0.02915,0.029308,0.029475,0.029656,0.030242,0.031518,0.033325,0.035502,0.03789,0.040329,0.042658,0.044719,0.04635,0.047393,0.048041,0.048604,0.0491,0.049546,0.049958,0.050354,0.05075,0.051163,0.051611,0.053233,0.053602,0.053994,0.054408,0.054846,0.055309,0.055795,0.056307,0.056844,0.057407,0.057996,0.058651,0.059398,0.060221,0.061105,0.062035,0.062994,0.063966,0.064937,0.065889,0.066809,0.067691,0.068549,0.069395,0.070241,0.071099,0.071981,0.072898,0.073863,0.074886,0.075981,0.077485,0.079644,0.08233,0.085415,0.088771,0.09227,0.095785,0.099186,0.10235,0.10514,0.10774,0.11041,0.11315,0.11597,0.11885,0.12181,0.12483,0.12792,0.13108,0.13431,0.13924,0.14708,0.15717,0.16887,0.18152,0.19448,0.2071,0.21873,0.22871,0.2364,0.24308,0.25039,0.25814,0.26618,0.27434,0.28247,0.29039,0.29795,0.30498,0.31132,0.35359,0.36344,0.37635,0.39121,0.40536,0.42163,0.45065,0.48186,0.51619,0.47414,0.525,0.57856,0.67863,0.70987,0.71243,0.7242,0.8437,0.98954,1.0969,1.5131,1.6878,1.8583,1.9462,2.1899,2.2597,2.3013,2.4827,2.5863,2.9183,3.067,3.4015,3.6195,3.8308,4.1497,4.6395,5.1331,5.3494,5.6292,6.0076,6.5596,6.5918,7.0953,7.2143,6.9601,6.8311,6.1697,5.613,5.2117,4.6756,4.0544,3.4361,2.8583,2.2616,1.685,1.9426,1.7336,1.7658,1.3148,1.5693,1.8328,2.1083,2.392,2.6855,2.9902,3.3076,3.6382,3.9816,4.3379,4.7069,5.0879,5.4839,5.8964,6.3219,6.7563,7.1955,7.6408,8.0951,8.5551,9.0174,9.4781,9.9387,10.4016,10.864,11.3233,11.7762,12.2218,12.6616,13.0958,13.5246,13.9484,14.3756,14.7952,15.2114,15.6284,16.0507,16.4801,16.9137,17.3491,17.7833,18.2136,18.6414,19.0695,19.4964,19.9209,20.3412,20.7572,21.1677,21.5696,21.96,22.3355,22.6989,23.0543,23.4008,23.7371,24.0623,24.3777,24.6838,24.9774,25.2555,25.5148,25.76,25.9961,26.2198,26.4281,26.6176,26.7935,26.9635,27.1282,27.2883,27.4444,27.5866,27.7078,27.8129,27.9067,27.9943,28.0702,28.1268,28.1667,28.1923,28.2059
ARG,0.50319,0.51999,0.53652,0.55261,0.56808,0.58278,0.59653,0.60916,0.6205,0.63038,0.63865,0.64589,0.65287,0.65965,0.66631,0.67291,0.67952,0.6862,0.69303,0.70006,0.70737,0.72342,0.75434,0.79669,0.84702,0.90189,0.95785,1.0115,1.0593,1.0978,1.1237,1.1411,1.1567,1.1708,1.1838,1.1961,1.208,1.22,1.2323,1.2454,1.7257,1.7534,1.8034,1.8736,1.9617,2.0654,2.1826,2.311,2.4484,2.5926,2.7413,2.9453,3.2406,3.603,4.0078,4.4309,4.8476,5.2336,5.5646,5.816,5.9635,6.0488,6.1296,6.2052,6.2751,6.3386,6.3952,6.4443,6.4853,6.5175,6.5405,6.5415,6.5133,6.4631,6.3982,6.3257,6.2529,6.1871,6.1354,6.1052,6.1037,6.15,6.2524,6.4021,6.59,6.8072,7.0449,7.294,7.5457,7.791,8.021,8.5017,9.436,10.7205,12.2517,13.9262,15.6405,17.291,18.7745,19.9874,20.8262,21.6547,22.849,24.324,25.9949,27.7769,29.5849,31.3341,32.9397,34.3166,35.38,36.4229,35.8593,34.7851,36.4456,38.5112,39.9702,41.5425,40.9464,39.5055,40.3626,40.2086,41.7328,42.9592,42.563,43.4925,45.0578,45.0273,44.084,43.9491,43.3887,42.9215,42.6302,43.0859,43.021,42.6911,41.977,41.6632,41.5628,41.0441,41.6498,42.2885,42.3879,43.8473,41.6208,41.0371,42.6513,41.2431,41.673,41.8109,48.0973,52.5749,48.3684,51.9403,48.4434,49.206,51.075,51.4989,47.7584,48.4798,39.4174,38.3879,38.0468,41.611,42.1619,41.7178,44.7654,46.1536,40.1513,40.55,41.0004,41.5056,42.0413,42.6011,43.1789,43.7679,44.3609,44.9499,45.5275,46.0865,46.6193,47.1418,47.6663,48.1804,48.6721,49.1299,49.5528,49.9453,50.3048,50.6287,50.9143,51.1733,51.4207,51.6581,51.8868,52.1074,52.3122,52.4871,52.6226,52.7095,52.739,52.4643,52.1873,51.908,51.6261,51.3415,51.0535,50.7623,50.4684,50.1724,49.8747,49.5641,49.2308,48.8774,48.5063,48.1199,47.7239,47.3228,46.9173,46.5082,46.0964,45.6742,45.2367,44.7892,44.3367,43.8838,43.4306,42.9764,42.5241,42.0764,41.636,41.1992,40.7615,40.3243,39.8888,39.4565,39.0282,38.6042,38.1852,37.7716,37.364,36.9619,36.5637,36.1689,35.7768,35.3866,34.9984,34.6126,34.2291,33.8483,33.47
ARM,0.017211,0.017961,0.018701,0.019427,0.020132,0.02081,0.021455,0.022062,0.022625,0.023139,0.023597,0.024019,0.024433,0.024841,0.025244,0.025645,0.026046,0.02645,0.026859,0.027274,0.0277,0.028424,0.029657,0.03128,0.033177,0.035229,0.037318,0.039327,0.041138,0.042633,0.043693,0.044463,0.04517,0.045828,0.046449,0.047045,0.047629,0.048213,0.04881,0.049433,0.050557,0.051481,0.052394,0.053289,0.054161,0.055002,0.055806,0.056567,0.057278,0.057933,0.058524,0.059085,0.05965,0.06022,0.060795,0.061375,0.061959,0.062549,0.063143,0.063743,0.064347,0.065317,0.066914,0.068995,0.071416,0.074033,0.076703,0.079281,0.081623,0.083587,0.085027,0.086176,0.087355,0.088548,0.089743,0.090926,0.092082,0.0932,0.094263,0.09526,0.096176,0.096897,0.097366,0.09766,0.097851,0.098015,0.098225,0.098557,0.099084,0.099881,0.10102,0.10314,0.10663,0.1112,0.11658,0.12249,0.12865,0.13477,0.14058,0.14579,0.15014,0.1543,0.15908,0.16431,0.16985,0.17556,0.18127,0.18684,0.19212,0.19695,0.2012,0.20991,0.22171,0.22791,0.20024,0.21406,0.22581,0.2279,0.22354,0.22339,0.22851,0.24431,0.25761,0.26455,0.27975,0.29731,0.28955,0.29956,0.31439,0.3236,0.33201,0.33339,0.33549,0.34181,0.34504,0.34708,0.34922,0.354,0.35083,0.34815,0.36163,0.38225,0.42112,0.32375,0.31343,0.33547,0.36615,0.38228,0.40587,0.44371,0.4859,0.46381,0.51641,0.49429,0.50806,0.49394,0.68151,0.5889,0.54487,0.54111,0.49702,0.51953,0.59323,0.644,0.62295,0.67571,0.94464,0.75331,0.71061,0.70337,0.69637,0.68924,0.68183,0.67455,0.66774,0.66167,0.6563,0.6514,0.64696,0.64292,0.63928,0.63604,0.63327,0.63094,0.62902,0.62747,0.62606,0.62463,0.6232,0.62175,0.62029,0.61882,0.61743,0.61624,0.61532,0.61477,0.61446,0.6142,0.614,0.61382,0.61367,0.61337,0.61273,0.6118,0.61063,0.60925,0.60759,0.60566,0.60364,0.60175,0.60016,0.59888,0.59774,0.5966,0.59534,0.59385,0.59212,0.59025,0.58832,0.58635,0.58441,0.58241,0.58032,0.5782,0.57613,0.5742,0.57238,0.57062,0.56894,0.56734,0.56582,0.56436,0.56294,0.56155,0.56024,0.559,0.55783,0.55671,0.55565,0.55464,0.55369,0.55276,0.55184,0.55097,0.55019,0.54955,0.54898,0.54842,0.54788,0.54737,0.54691
AUS,1.9916,2.0429,2.0932,2.1418,2.1879,2.231,2.2703,2.3051,2.3349,2.3589,2.3765,2.39,2.4025,2.4142,2.4255,2.4365,2.4475,2.4588,2.4707,2.4834,2.4972,2.5457,2.6529,2.8054,2.9895,3.1915,3.3979,3.595,3.7691,3.9066,3.994,4.0476,4.0941,4.1348,4.1712,4.2048,4.237,4.2692,4.3029,4.3395,4.8071,4.6302,4.4786,4.3513,4.2471,4.1648,4.1033,4.0616,4.0385,4.0329,4.0436,4.0937,4.1988,4.3468,4.5253,4.7223,4.9254,5.1225,5.3013,5.4497,5.5553,5.6308,5.698,5.7584,5.8136,5.8652,5.9148,5.964,6.0143,6.0674,6.1249,6.1918,6.2697,6.3545,6.4422,6.529,6.6108,6.6836,6.7435,6.7866,6.8087,6.8189,6.8292,6.8402,6.8527,6.8674,6.8852,6.9066,6.9324,6.9635,7.0004,7.1305,7.4175,7.8265,8.3223,8.8702,9.4351,9.9821,10.4763,10.8827,11.1663,11.3844,11.6166,11.8614,12.1173,12.3829,12.6566,12.9371,13.2227,13.5122,13.8039,13.7634,14.1641,14.469,14.8978,15.1801,15.063,15.4354,15.9267,16.3561,15.5178,14.502,18.1035,14.7998,16.2471,17.9468,20.7746,20.3682,16.8618,20.028,21.2305,15.727,19.5218,16.2965,16.485,21.4802,18.4517,15.8957,16.0606,17.0839,17.5026,17.1053,16.9533,17.4639,17.9515,17.2721,18.5226,19.2084,19.4442,19.8957,20.8136,21.1568,21.6893,20.4358,22.1351,22.2244,22.1898,20.6942,21.0042,21.3582,21.2029,21.9587,22.3433,21.1362,21.5726,21.0723,21.1038,22.7855,22.6391,23.066,23.5064,23.9706,24.4609,24.9738,25.5053,26.051,26.6015,27.1483,27.6883,28.218,28.7334,29.2403,29.7479,30.2572,30.7696,31.2865,31.8078,32.334,32.8683,33.4139,33.9742,34.552,35.1441,35.7449,36.3494,36.9522,37.5539,38.1571,38.7594,39.3586,39.9523,40.3268,40.6937,41.0559,41.4159,41.7761,42.1374,42.4976,42.8546,43.2063,43.5509,43.8904,44.228,44.5638,44.8975,45.2293,45.559,45.884,46.2008,46.5058,46.7958,47.077,47.3558,47.6292,47.8943,48.1482,48.3901,48.6202,48.8366,49.0373,49.2205,49.3905,49.5528,49.7072,49.8536,49.9919,50.1226,50.2465,50.3635,50.4737,50.5771,50.6731,50.7613,50.842,50.9156,50.9824,51.0431,51.0984,51.1484,51.1931,51.2325
