code,N2OAR4_IPCMAG_TOTAL_NET_HISTORY_UNFCCC2019BI
entity,N2O
category,IPCMAG
name_category,Agriculture
type,NET
class,TOTAL
descr,GHG data submitted to the UNFCCC by Parties: non-AnnexI Parties only. See http://unfccc.int/di/DetailedByParty.do
note,Read in by JG and RG
source,UNFCCC2019BI
scenario,HISTORY
datatype,CountryYearMatrix
tablekind,usr
family,emi
subsource,UNFCCC_2019B.csv
unit,MtCO2eq
gwp,AR4
iso3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
ALB,0.00894,0.00894,0.00894,0.00894,0.00894,0.00894,0.00894,0.00894,0.00894,0.00894,0.0030992,0.0030992,0.0031081,0.0030992,0.0030992,0.0032393,0.0030992,0.0030694,0.0030605,0.0030396,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ARE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5628,NaN,NaN,NaN,NaN,2.3244,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.098644,NaN,NaN
ARG,48.3889,NaN,NaN,NaN,52.844,NaN,NaN,57.7557,NaN,NaN,62.8551,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69.526,NaN,67.41,NaN,NaN,NaN,NaN
ARM,0.048276,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.39366,NaN,NaN,NaN,NaN,NaN,0.57812,NaN,NaN,NaN,0.37742,NaN,NaN,NaN,NaN,NaN,NaN
AZE,3.4121,1.7284,1.9221,1.5138,1.2576,1.1294,1.1473,1.347,1.5526,2.1486,2.2529,2.3363,2.4823,2.5509,2.6433,2.7416,2.7625,2.9651,2.9085,3.0694,3.0158,2.9681,3.0098,2.5082,NaN,NaN,NaN
BGD,NaN,NaN,NaN,NaN,4.2683,NaN,NaN,NaN,NaN,NaN,NaN,14.5096,NaN,NaN,NaN,16.9085,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BIH,2.6671,2.1754,1.5019,0.70328,0.8046,0.88804,1.0192,1.0579,1.0758,1.1592,1.1264,1.2933,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.788,1.49,NaN,NaN
BOL,0.4023,NaN,NaN,NaN,0.63772,NaN,NaN,NaN,0.62282,NaN,0.6705,NaN,1.0353,NaN,1.1902,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BRA,90.4549,92.7674,95.36,96.4,99.7317,101.3677,95.056,98.1821,100.4945,101.2336,106.0671,109.2915,113.9135,122.8892,125.1183,127.8331,129.0429,132.7381,133.5219,135.2533,140.6798,147.3252,146.3478,150.037,153.02,152.1409,NaN
CAF,NaN,NaN,NaN,NaN,10.0486,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4406,2.4406,2.4406,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CHL,4.768,NaN,NaN,NaN,5.2448,NaN,NaN,NaN,NaN,NaN,5.3342,NaN,NaN,NaN,NaN,NaN,6.9887,NaN,NaN,NaN,5.513,NaN,NaN,5.0064,NaN,NaN,4.7382
CHN,NaN,NaN,NaN,NaN,234.526,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,279.524,NaN,NaN,NaN,NaN,NaN,NaN,439.55,NaN,NaN,NaN,NaN
COL,22.6459,NaN,NaN,NaN,26.0756,NaN,NaN,NaN,NaN,NaN,30.7417,NaN,NaN,NaN,31.6059,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CRI,0.14192,NaN,NaN,NaN,NaN,NaN,2.2743,NaN,NaN,NaN,2.414,NaN,NaN,NaN,NaN,2.399,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CUB,4.6875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.8966,NaN,2.5568,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DMA,NaN,NaN,NaN,NaN,0.009387,NaN,NaN,NaN,NaN,NaN,0.030178,0.027187,0.02522,0.027008,0.017859,0.024058,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DOM,0.73904,NaN,NaN,NaN,0.65262,NaN,NaN,NaN,2.471,NaN,2.6534,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5032,NaN,NaN,NaN,NaN,NaN,NaN
EARTH,286.1327,177.0909,182.5599,183.1573,631.8912,187.3485,171.9453,233.2295,209.9257,191.7433,551.9432,215.2719,218.424,217.3441,250.5763,573.0865,246.4643,220.0666,243.6357,235.8219,527.2011,246.054,798.0913,251.6905,173.0414,153.3732,4.7382
EGY,6.3474,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.476,NaN,NaN,NaN,NaN,22.9043,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ETH,2.086,3.278,3.278,3.278,10.0377,8.842,9.6067,11.0664,11.2795,11.3209,10.6573,10.8824,13.1346,12.5789,14.0666,8.1505,15.7665,10.5856,18.5281,19.1522,19.993,16.6679,20.2648,20.3455,NaN,NaN,NaN
