code,NF3AR4_IPCM0EL_TOTAL_NET_HISTCR_PRIMAPHIST21
entity,NF3
category,IPCM0EL
name_category,NatTotalExclLULUCF
type,NET
class,TOTAL
source,PRIMAPHIST21
descr,Data read in by JG. LJ | built by Johannes Guetschow
note,calculated by the function combine_tables_varying_in_one_sheet_as by CC and JN from PRIMAP | built by Johannes Guetschow
scenario,HISTCR
datatype,CountryYearMatrix
tablekind,usr
family,emi
subsource,Table2(II); Summary1.As1
unit,MtCO2eq
gwp,AR4
iso3,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ANNEXI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5031e-18,0.0021615,0.004323,0.0064844,0.0086459,0.010807,0.012969,0.01513,0.017292,0.019453,0.021615,0.023776,0.025938,0.028099,0.030261,0.032422,0.034584,0.036745,0.038872,0.041291,0.04397,0.046813,0.051031,0.056681,0.061717,0.065915,0.069351,0.074537,0.07973,0.0855,0.14515,0.14648,0.1503,0.17772,0.22139,0.38518,0.37849,0.36976,0.38502,0.51338,0.59303,0.60518,1.071,1.1061,1.1908,2.1265,2.2647,2.3689,2.2987,1.9903,2.3051,2.5669,2.2333,2.2461,1.7773,1.2856,1.3646,1.2208
AOSIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.408e-20,8.3806e-06,1.6761e-05,2.5142e-05,3.3522e-05,4.1903e-05,5.0284e-05,5.8664e-05,6.7045e-05,7.5426e-05,8.3806e-05,9.2187e-05,0.00010057,0.00010895,0.00011733,0.00012571,0.00013409,0.00014247,0.00015085,0.00015923,0.00016761,0.00017599,0.00018437,0.00019275,0.00020113,0.00020952,0.0002179,0.00022628,0.00023466,0.00024304,0.00025142,0.0002598,0.00026818,0.00027656,0.00028494,0.00029332,0.0003017,0.00031008,0.00031846,0.00032684,0.00033522,0.00034361,0.00027348,0.0022446,0.0022498,0.0018008,0.0028672,0.0033737,0.0038801,0.0044625,0.0051324,0.003904,0.0041296,0.0043553,0.004581,0.0048066,0.0050323,0.005258
AUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6406e-06,9.2811e-06,1.3922e-05,1.8562e-05,2.3203e-05,2.7843e-05,3.2484e-05,3.7124e-05,4.1765e-05,4.6406e-05,5.1046e-05,5.5687e-05,6.0327e-05,6.4968e-05,6.9608e-05,7.4249e-05,7.8889e-05,8.353e-05,8.8171e-05,9.2811e-05,9.7452e-05,0.00010209,0.00010673,0.00011137,0.00011601,0.00012065,0.0001253,0.00012994,0.00013458,0.00013458,0.00024468,0.00039149,0.00056277,0.00075852,0.0064397,0.0079258,0.015526,0.0094306,0.0082367,0.010509,0.010509,0.010509,0.021555,0.02654,0.028156,0.032732,0.059392,0.053471,0.0045408,0.004116,0.0041022,0.0085639,0.0097524,0.010563,0.013459,0.0061404,0.012006
BASIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2052e-20,5.7611e-05,0.00011522,0.00017283,0.00023044,0.00028805,0.00034566,0.00040327,0.00046089,0.0005185,0.00057611,0.00063372,0.00069133,0.00074894,0.00080655,0.00086416,0.00092177,0.00097938,0.001037,0.0010946,0.0011522,0.0012098,0.0012674,0.001325,0.0013827,0.0014403,0.0014979,0.0015555,0.0016131,0.0016707,0.0017283,0.0017859,0.0018435,0.0019012,0.0019588,0.0020164,0.002074,0.0021316,0.0021892,0.0022468,0.00077142,0.0017487,0.011155,0.013091,0.01715,0.019773,0.019144,0.022021,0.024897,0.028162,0.03187,0.026649,0.028164,0.029679,0.031194,0.032709,0.034224,0.03574
BEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5292e-19,2.6813e-05,5.3626e-05,8.0439e-05,0.00010725,0.00013406,0.00016088,0.00018769,0.0002145,0.00024132,0.00026813,0.00029494,0.00032176,0.00034857,0.00037538,0.00040219,0.00042901,0.00045582,0.00048263,0.00050945,0.00053626,0.00056307,0.00058989,0.0006167,0.00064351,0.00067032,0.00069714,0.00072395,0.00075076,0.00077758,0.00080439,0.0008312,0.00085802,0.00088483,0.00091164,0.00093845,0.00096527,0.00099208,0.0010189,0.0010457,0.0010725,0.0010993,0.0011261,0.001153,0.0011798,0.0012066,0.0012334,0.0012602,0.0006708,0.0005676,0.0013244,0.0024751,0.001118,0.0012418,0.00068972,0.00084968,0.00071466,0.00062711
CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1487e-05,2.2974e-05,3.4461e-05,4.5948e-05,5.7435e-05,6.8922e-05,8.0409e-05,9.1896e-05,0.00010338,0.00011487,0.00012636,0.00013784,0.00014933,0.00016082,0.00017231,0.00018379,0.00019528,0.00020677,0.00021825,0.00022974,0.00024123,0.00025272,0.0002642,0.00027569,0.00028718,0.00029866,0.00031015,0.00032164,0.00033312,0.00032445,0.00031578,0.00030711,0.00029844,0.00028977,0.0002811,0.00027243,0.00026376,0.00025509,0.00024642,0.00023775,0.00022908,0.00022041,0.00021174,0.00020307,0.0001944,0.00018573,0.00017706,0.00016839,0.00015972,0.00015104,0.00015104,0.00015104,0.00015104,0.00012008,0.00012008,0.00012008,0.00012008
CHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9674e-19,0.00010802,0.00021604,0.00032406,0.00043208,0.0005401,0.00064812,0.00075614,0.00086415,0.00097217,0.0010802,0.0011882,0.0012962,0.0014043,0.0015123,0.0016203,0.0017283,0.0018363,0.0019443,0.0020524,0.0021604,0.0022684,0.0023764,0.0024844,0.0025925,0.0027005,0.0028085,0.0029165,0.0030245,0.0031326,0.0032406,0.0033486,0.0034566,0.0035646,0.0036727,0.0037807,0.0038887,0.0039967,0.0041047,0.0042128,0.0043208,0.0044288,0.0045368,0.0046448,0.0047529,0.0048609,0.0049689,0.0050769,8.2227e-05,0.0050984,0.0084533,0.0062183,0.00036163,9.4784e-05,0.00040359,0.0004869,0.00051195,0.00053571
CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2052e-20,9.933e-06,1.9866e-05,2.9799e-05,3.9732e-05,4.9665e-05,5.9598e-05,6.9531e-05,7.9464e-05,8.9397e-05,9.933e-05,0.00010926,0.0001192,0.00012913,0.00013906,0.000149,0.00015893,0.00016886,0.00017879,0.00018873,0.00019866,0.00020859,0.00021853,0.00022846,0.00023839,0.00024833,0.00025826,0.00026819,0.00027812,0.00028806,0.00029799,0.00030792,0.00031786,0.00032779,0.00033772,0.00034766,0.00035759,0.00036752,0.00037745,0.00038739,0.00039732,0.00039732,0.0003612,0.00026316,0.00018576,0.0074304,0.0050816,0.0061221,0.0071626,0.00838,0.0098043,0.0069894,0.0074127,0.0078359,0.0082591,0.0086823,0.0091056,0.0095288
CZE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5638e-06,5.1276e-06,7.6915e-06,1.0255e-05,1.2819e-05,1.5383e-05,1.7947e-05,2.0511e-05,2.3074e-05,2.5638e-05,2.8202e-05,3.0766e-05,3.333e-05,3.5893e-05,3.8457e-05,4.1021e-05,4.3585e-05,4.6149e-05,4.8713e-05,5.1276e-05,5.384e-05,5.6404e-05,5.8968e-05,6.1532e-05,6.4095e-05,6.6659e-05,6.9223e-05,7.1787e-05,7.4351e-05,7.6915e-05,7.9478e-05,8.2042e-05,8.4606e-05,8.717e-05,8.9734e-05,9.2298e-05,9.4861e-05,9.7425e-05,9.7425e-05,0.0001299,0.00016238,0.00032475,9.7425e-05,9.7425e-05,0.00019485,0.00015805,0.00015526,0.00015248,0.00014974,0.00014706,0.00059151,0.0008889,0.0014085,0.0023726,0.0021503,0.0021503,0.0027451
DEU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9634e-07,5.9268e-07,8.8902e-07,1.1854e-06,1.4817e-06,1.778e-06,2.0744e-06,2.3707e-06,2.6671e-06,2.9634e-06,3.2598e-06,3.5561e-06,3.8524e-06,4.1488e-06,4.4451e-06,4.7415e-06,5.0378e-06,5.3341e-06,5.6305e-06,5.6305e-06,6.432e-06,7.2335e-06,1.3645e-05,1.7653e-05,1.8387e-05,2.4516e-05,3.0645e-05,4.2903e-05,4.9033e-05,0.00046756,0.00046756,0.00046756,0.00046756,0.00046756,0.00035949,0.00049075,0.00053361,0.00051539,0.00045432,0.00060593,0.00053147,0.00083041,0.0013169,0.0015505,0.0023439,0.001892,0.003956,0.020812,0.02408,0.053664,0.0516,0.025456,0.006192,0.005504,0.0032258,0.0030251,0.02213
