code,PFCSAR4_IPCM0EL_TOTAL_NET_HISTORY_UNFCCC2019BI
entity,PFCSAR4
category,IPCM0EL
name_category,NatTotalExclLULUCF
type,NET
class,TOTAL
descr,GHG data submitted to the UNFCCC by Parties: non-AnnexI Parties only. See http://unfccc.int/di/DetailedByParty.do
note,Read in by JG and RG
source,UNFCCC2019BI
scenario,HISTORY
datatype,CountryYearMatrix
tablekind,usr
family,emi
subsource,UNFCCC_2019B.csv
unit,MtCO2eq
gwp,AR4
iso3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
ARG,1.8114,NaN,NaN,NaN,0.58776,NaN,NaN,0.53506,NaN,NaN,0.37501,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.20125,NaN,0.21099,NaN,NaN,NaN
BRA,2.5372,2.8222,2.9939,2.8095,2.7104,2.5667,2.5007,1.6813,1.8833,1.6676,1.2189,0.95472,1.1337,1.1398,1.0334,1.0362,1.0212,0.98231,0.95746,0.6829,0.63575,0.52351,0.54251,0.47188,0.34482,0.27537
EARTH,7.9851,7.1923,5.6945,4.5455,4.014,3.1904,5.7842,6.868,6.0986,6.2176,7.9548,6.2251,6.2987,5.625,5.9302,5.9591,6.0244,6.1738,5.0001,3.5989,5.2662,3.58,4.432,3.1405,3.1358,0.27537
GHA,0.62905,0.62905,0.7038,0.7038,0.5543,0.47955,0.47955,0.5543,0.1495,0.1495,0.07475,0.07475,0.07475,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
KOR,NaN,NaN,0.000322,0.001863,0.037277,0.072691,0.67551,1.935,1.8965,2.1605,2.5746,2.2819,2.2625,2.6069,3.1902,3.2163,3.3639,3.4251,3.2117,2.3542,2.6043,2.3826,2.6081,2.6686,2.7909,NaN
MEX,0.44749,0.32792,0.28988,0.17704,0.12429,0.07153,0.42189,0.4558,0.46264,0.53343,0.58122,0.35375,0.26789,0.17173,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MNE,2.5599,3.4132,1.7066,0.8533,NaN,NaN,1.7066,1.7066,1.7066,1.7066,2.5599,2.5599,2.5599,1.7066,1.7066,1.7066,1.6393,1.7664,0.83087,0.56178,0.68885,0.6739,NaN,NaN,NaN,NaN
SGP,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.57047,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1361,NaN,1.0705,NaN,NaN,NaN
