code,POP_DEMOGR_TOTAL_NET_HISTORY_PMHSOCIOECO21
entity,POP
category,DEMOGR
name_category,Demography
type,NET
class,TOTAL
note,Read in by JGRenamed as composite source from POP_DEMOGR_TOTAL_NET_HISTORY_UN2019PT! | Renamed as composite source from POP_DEMOGR_TOTAL_NET_PMHSOCIOECO21_TEMPSRC1! | Add the countries {ANT} from POP_DEMOGR_TOTAL_NET_HISTORY_HYDE32PT || Pad values of country ABW... || Pad values of country AFG... || Pad values of country AGO... || Pad values of country AIA... || Pad values of country ALB... || Pad values of country AND... || Pad values of country ARE... || Pad values of country ARG... || Pad values of country ARM... || Pad values of country ASM... || Pad values of country ATG... || Pad values of country AUS... || Pad values of country AUT... || Pad values of country AZE... || Pad values of country BDI... || Pad values of country BEL... || Pad values of country BEN... || Pad values of country BES... || Pad values of country BFA... || Pad values of country BGD... || Pad values of country BGR... || Pad values of country BHR... || Pad values of country BHS... || Pad values of country BIH... || Pad values of country BLR... || Pad values of country BLZ... || Pad values of country BOL... || Pad values of country BRA... || Pad values of country BRB... || Pad values of country BRN... || Pad values of country BTN... || Pad values of country BWA... || Pad values of country CAF... || Pad values of country CAN... || Pad values of country CHE... || Pad values of country CHL... || Pad values of country CHN... || Pad values of country CIV... || Pad values of country CMR... || Pad values of country COD... || Pad values of country COG... || Pad values of country COL... || Pad values of country COM... || Pad values of country CPV... || Pad values of country CRI... || Pad values of country CUB... || Pad values of country CUW... || Pad values of country CYP... || Pad values of country CZE... || Pad values of country DEU... || Pad values of country DJI... || Pad values of country DMA... || Pad values of country DNK... || Pad values of country DOM... || Pad values of country DZA... || Pad values of country ECU... || Pad values of country EGY... || Pad values of country ERI... || Pad values of country ESH... || Pad values of country ESP... || Pad values of country EST... || Pad values of country ETH... || Pad values of country FIN... || Pad values of country FJI... || Pad values of country FLK... || Pad values of country FRA... || Pad values of country FRO... || Pad values of country GAB... || Pad values of country GBR... || Pad values of country GEO... || Pad values of country GHA... || Pad values of country GIN... || Pad values of country GLP... || Pad values of country GMB... || Pad values of country GNB... || Pad values of country GNQ... || Pad values of country GRC... || Pad values of country GRD... || Pad values of country GRL... || Pad values of country GTM... || Pad values of country GUF... || Pad values of country GUY... || Pad values of country HKG... || Pad values of country HND... || Pad values of country HRV... || Pad values of country HTI... || Pad values of country HUN... || Pad values of country IDN... || Pad values of country IND... || Pad values of country IRL... || Pad values of country IRN... || Pad values of country IRQ... || Pad values of country ISL... || Pad values of country ISR... || Pad values of country ITA... || Pad values of country JAM... || Pad values of country JOR... || Pad values of country JPN... || Pad values of country KAZ... || Pad values of country KEN... || Pad values of country KGZ... || Pad values of country KHM... || Pad values of country KNA... || Pad values of country KOR... || Pad values of country KWT... || Pad values of country LAO... || Pad values of country LBN... || Pad values of country LBR... || Pad values of country LBY... || Pad values of country LCA... || Pad values of country LIE... || Pad values of country LKA... || Pad values of country LSO... || Pad values of country LTU... || Pad values of country LUX... || Pad values of country LVA... || Pad values of country MAR... || Pad values of country MDA... || Pad values of country MDG... || Pad values of country MEX... || Pad values of country MKD... || Pad values of country MLI... || Pad values of country MLT... || Pad values of country MMR... || Pad values of country MNE... || Pad values of country MNG... || Pad values of country MOZ... || Pad values of country MRT... || Pad values of country MSR... || Pad values of country MTQ... || Pad values of country MUS... || Pad values of country MWI... || Pad values of country MYS... || Pad values of country MYT... || Pad values of country NAM... || Pad values of country NCL... || Pad values of country NER... || Pad values of country NGA... || Pad values of country NIC... || Pad values of country NLD... || Pad values of country NOR... || Pad values of country NPL... || Pad values of country NZL... || Pad values of country OMN... || Pad values of country PAK... || Pad values of country PAN... || Pad values of country PER... || Pad values of country PHL... || Pad values of country PNG... || Pad values of country POL... || Pad values of country PRI... || Pad values of country PRK... || Pad values of country PRT... || Pad values of country PRY... || Pad values of country QAT... || Pad values of country REU... || Pad values of country ROU... || Pad values of country RUS... || Pad values of country RWA... || Pad values of country SAU... || Pad values of country SDN... || Pad values of country SEN... || Pad values of country SGP... || Pad values of country SLB... || Pad values of country SLE... || Pad values of country SLV... || Pad values of country SOM... || Pad values of country SPM... || Pad values of country SRB... || Pad values of country SSD... || Pad values of country STP... || Pad values of country SUR... || Pad values of country SVK... || Pad values of country SVN... || Pad values of country SWE... || Pad values of country SWZ... || Pad values of country SXM... || Pad values of country SYR... || Pad values of country TCA... || Pad values of country TCD... || Pad values of country TGO... || Pad values of country THA... || Pad values of country TJK... || Pad values of country TKM... || Pad values of country TLS... || Pad values of country TON... || Pad values of country TTO... || Pad values of country TUN... || Pad values of country TUR... || Pad values of country TWN... || Pad values of country TZA... || Pad values of country UGA... || Pad values of country UKR... || Pad values of country URY... || Pad values of country USA... || Pad values of country UZB... || Pad values of country VCT... || Pad values of country VEN... || Pad values of country VIR... || Pad values of country VNM... || Pad values of country VUT... || Pad values of country WSM... || Pad values of country YEM... || Pad values of country ZAF... || Pad values of country ZMB... || Pad values of country ZWE... ||  | built by Johannes Guetschow | calculated the values for ANT from {BES.CUW.SXM}
source,PMHSOCIOECO21
descr,Medium-fertility variant; interpolation of NaN values by 'perform_interpolation_on_table' Extrapolated with growthrates from POP_DEMOGR_TOTAL_NET_HISTORY_PMHSOCIOECO21 | built by Johannes Guetschow
scenario,HISTORY
datatype,CountryYearMatrix
tablekind,csg
family,pop
subsource,WPP2019_TotalPopulationBySex_bulkplus.csv
unit,Pers
iso3,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ABW,2720.1429,2737.8983,2762.1506,2792.1505,2827.1491,2866.3972,2909.1458,2954.6458,3002.148,3050.9034,3100.1629,3149.9106,3201.3362,3255.4983,3313.4558,3376.2676,3444.9925,3520.6893,3604.4168,3697.234,3800.1997,3940.3506,4135.7528,4374.0088,4642.7213,4929.4928,5221.9259,5507.6232,5774.1872,6009.2205,6200.3258,6354.9222,6491.5757,6614.6085,6728.343,6837.1015,6945.2063,7056.9797,7176.744,7308.8216,7457.5348,7645.9,7883.2474,8153.3697,8440.0594,8727.1092,8998.3119,9237.4601,9428.3465,9554.7637,9600.5044,9598.1211,9591.2304,9580.2211,9565.482,9547.4019,9526.3698,9502.7742,9477.0042,9449.4485,9420.4959,9373.6223,9297.4239,9199.9699,9089.3296,8973.5721,8860.7668,8758.9829,8676.2896,8620.7562,8600.4518,8670.1042,8870.0855,9186.9321,9607.1803,10117.3667,10704.0274,11353.6989,12052.9175,12788.2197,13546.1417,14542.6726,15940.684,17647.0357,19568.5878,21612.2003,23684.7331,25693.0462,27543.9996,29144.4533,30401.2672,31387.8906,32257.02,33034.3865,33745.7211,34416.7549,35073.2191,35740.8446,36445.3625,37212.504,38068,38267,38964,40148,41760,43724,45933,48241,50497,52531,54211,55438,56225,56695,57032,57360,57715,58055,58386,58726,59063,59440,59840,60243,60528,60657,60586,60366,60103,59980,60096,60567,61345,62201,62836,63026,62644,61833,61079,61032,62149,64622,68235,72504,76700,80324,83200,85451,87277,89005,90853,92898,94992,97017,98737,100031,100834,101222,101358,101455,101669,102046,102560,103159,103774,104341,104872,105366
AFG,3590854.3479,3610317.5484,3629887.8668,3649565.4662,3669350.5098,3689243.1606,3709243.5817,3729351.9363,3749568.3875,3769893.0984,3790326.232,3810636.9703,3830698.2484,3850665.8594,3870695.5965,3890943.2528,3911564.6214,3932715.4955,3954551.6681,3977228.9324,4000903.0816,4025654.5665,4051416.346,4078122.9758,4105709.0112,4134109.0077,4163257.5208,4193089.106,4223538.3188,4254539.7145,4286027.8487,4318369.6966,4351872.8945,4386382.9895,4421745.529,4457806.0602,4494410.1302,4531403.2864,4568631.0759,4605939.046,4643172.7438,4680473.0817,4718083.8237,4756004.7947,4794235.8198,4832776.7238,4871627.3317,4910787.4684,4950256.959,4990035.6284,5030123.3016,5070090.2816,5109703.7568,5149258.8792,5189050.8012,5229374.675,5270525.653,5312798.8873,5356489.5302,5401892.7341,5449303.6511,5499537.872,5552851.8741,5608702.1397,5666545.1512,5725837.3909,5786035.3413,5846595.4845,5906974.3031,5966628.2793,6025013.8954,6082583.8861,6140153.4184,6197722.6236,6255291.6328,6312860.5774,6370429.5885,6427998.7975,6485568.3355,6543138.3338,6600708.9235,6658280.2951,6715852.4179,6773425.0924,6830998.1187,6888571.2972,6946144.4281,7003717.3118,7061289.7485,7118861.5385,7176432.482,7231851.3604,7283923.2593,7334082.4354,7383763.1456,7434399.6465,7487426.195,7544277.0479,7606386.4618,7675188.6936,7752118,7840156,7935997,8039694,8151317,8270991,8398875,8535163,8680101,8833946,8996973,9169410,9351441,9543205,9744781,9956320,10174836,10399926,10637063,10893776,11173642,11475445,11791215,12108963,12412950,12689160,12943093,13171306,13341198,13411056,13356511,13171673,12882528,12537730,12204292,11938208,11736179,11604534,11618005,11868877,12412308,13299017,14485546,15816603,17075727,18110657,18853437,19357126,19737765,20170844,20779953,21606988,22600770,23680871,24726684,25654277,26433049,27100536,27722276,28394813,29185507,30117413,31161376,32269589,33370794,34413603,35383032,36296113
AGO,1560610.5118,1565624.6391,1570702.2291,1575845.4655,1581056.5321,1586337.6126,1591690.8907,1597118.5501,1602622.7745,1608205.7478,1613869.6535,1619613.7008,1625437.7693,1631345.0486,1637338.7283,1643421.9979,1649598.047,1655870.0652,1662241.242,1668714.767,1675293.8298,1681977.3369,1688765.1568,1695661.9214,1702672.2629,1709800.8135,1717052.2052,1724431.0702,1731942.0407,1739589.7486,1747378.8263,1755307.1425,1763374.4879,1771588.3772,1779956.3253,1788485.8468,1797184.4565,1806059.6691,1815118.9995,1824369.9623,1833820.0723,1843465.5609,1853306.0159,1863353.9868,1873622.023,1884122.6739,1894868.4889,1905872.0176,1917145.8092,1928702.4133,1940554.3792,1952693.6666,1965119.6338,1977855.928,1990926.1964,2004354.0863,2018163.2449,2032377.3194,2047019.9572,2062114.8054,2077685.5113,2093711.1824,2110189.563,2127172.2557,2144710.8631,2162856.9877,2181662.2322,2201178.1992,2221456.4913,2242548.711,2264506.461,2287257.3399,2310790.1038,2335248.0911,2360774.6404,2387513.09,2415606.7785,2445199.0444,2476433.2262,2509452.6623,2544400.6912,2580827.1556,2618615.4198,2658409.1048,2700851.8316,2746587.2213,2796258.8949,2850510.4735,2909985.578,2975327.8295,3047180.849,3139760.7108,3262507.3904,3408900.3605,3572419.0939,3746543.0635,3924751.7419,4100524.602,4267341.1165,4418680.7583,4548023,4616510,4713099,4823291,4935939,5043247,5140915,5228010,5306534,5380714,5454933,5531472,5608539,5679458,5735044,5770570,5781214,5774243,5771652,5803254,5890365,6040777,6248552,6496962,6761380,7024000,7279509,7533735,7790707,8058067,8341289,8640446,8952950,9278096,9614754,9961997,10320111,10689250,11068050,11454777,11848386,12248901,12657366,13075049,13503747,13945206,14400719,14871570,15359601,15866869,16395473,16945753,17519417,18121479,18758145,19433602,20149901,20905363,21695634,22514281,23356246,24220661,25107931,26015781,26941779,27884381,28842489,29816766
AIA,3069.6297,3067.7714,3062.5496,3054.4942,3044.1349,3032.0013,3018.6234,3004.5309,2990.2535,2976.3209,2963.263,2948.9859,2931.7439,2912.5894,2892.5746,2872.752,2854.1737,2837.8922,2824.9597,2816.4285,2813.3509,2819.3632,2836.2604,2862.3329,2895.8712,2935.1657,2978.507,3024.1855,3070.4917,3115.7159,3158.1488,3201.0918,3248.264,3298.5817,3350.9614,3404.3195,3457.5725,3509.6367,3559.4288,3605.8649,3647.8617,3686.928,3725.1643,3762.3747,3798.3634,3832.9344,3865.8919,3897.0399,3926.1826,3953.1241,3977.6684,4001.1335,4024.6506,4047.7439,4069.9376,4090.7559,4109.723,4126.3631,4140.2003,4150.7589,4157.563,4161.7164,4164.8237,4167.1601,4169.0007,4170.6208,4172.2957,4174.3005,4176.9105,4180.4009,4185.0469,4206.1108,4255.0188,4326.2919,4414.4511,4514.0174,4619.512,4725.4557,4826.3697,4916.7749,4991.1923,5058.6053,5129.9224,5202.5525,5273.9049,5341.3885,5402.4123,5454.3855,5494.7171,5520.816,5530.0914,5518.5529,5487.2339,5441.0797,5385.0353,5324.0457,5263.0562,5207.0118,5160.8575,5129.5386,5118,5317,5483,5609,5708,5783,5851,5898,5939,5984,6032,6089,6144,6211,6287,6361,6438,6520,6602,6680,6771,6858,6948,7028,7102,7159,7206,7255,7284,7292,7285,7247,7190,7153,7173,7293,7518,7842,8213,8582,8899,9135,9332,9493,9664,9866,10117,10388,10684,10971,11252,11515,11761,12001,12233,12453,12661,12868,13063,13258,13438,13620,13795,13954,14112,14279,14429,14584
ALB,519823.9396,523936.2552,528569.8495,533632.7322,539032.9129,544678.4012,550477.2068,556337.3394,562166.8084,567873.6237,573365.7947,578677.3359,583922.5414,589129.8408,594327.6637,599544.4397,604808.5983,610148.569,615592.7814,621169.6652,626907.6498,632843.1713,638971.0786,645257.4205,651668.2459,658169.6036,664727.5424,671308.1112,677877.3588,684401.3339,690846.0855,697186.816,703444.9574,709655.9033,715855.0473,722077.7827,728359.5032,734735.6022,741241.4732,747912.5098,754784.1054,761902.6407,769262.5071,776821.1145,784535.873,792364.1925,800263.4829,808191.1542,816104.6163,823961.2793,831718.5529,839495.8462,847403.6647,855386.0637,863387.0985,871350.8243,879221.2964,886942.57,894458.7005,901713.743,908651.7529,915377.9304,922017.6973,928545.4408,934935.5483,941162.407,947200.4044,953023.9276,958607.364,963925.101,968951.5257,973529.2967,977614.1392,981350.0412,984880.9906,988350.9751,991903.9827,995684.0013,999835.0188,1004501.0229,1009826.0017,1016019.1762,1023141.2321,1031113.3543,1039856.7276,1049292.5367,1059341.9666,1069926.202,1080966.4276,1092383.8284,1104099.5891,1116078.2992,1128455.6855,1141409.6387,1155118.0493,1169758.8082,1185509.8061,1202548.9335,1221054.0811,1241203.1397,1263174,1287500,1316093,1348112,1382898,1419994,1459120,1500181,1543255,1588513,1636090,1685936,1737686,1790573,1843634,1896171,1947830,1998740,2049210,2099729,2150707,2202189,2254056,2306290,2358846,2411732,2464983,2518685,2572850,2627505,2682690,2737026,2790275,2844871,2904140,2969672,3044212,3124894,3200977,3257925,3286073,3280395,3245886,3195199,3146519,3112936,3098700,3099752,3110682,3122697,3129243,3129704,3126187,3118023,3104892,3086810,3063021,3033998,3002678,2973048,2948023,2928592,2914096,2903790,2896305,2890513,2886438,2884169
AND,3709.7737,3728.8482,3748.0228,3767.2975,3786.6723,3806.1473,3825.7224,3845.3976,3865.173,3885.0485,3905.0241,3925.1026,3945.2864,3965.5757,3985.9704,4006.4705,4027.076,4047.7869,4068.6032,4089.5248,4110.5519,4131.6872,4152.9333,4174.2905,4195.7586,4217.3376,4239.0276,4260.8285,4282.7404,4304.7632,4326.897,4349.1446,4371.5091,4393.9904,4416.5884,4439.3033,4462.1349,4485.0833,4508.1485,4531.3304,4554.6292,4578.0477,4601.5892,4625.2536,4649.0409,4672.9512,4696.9844,4721.1405,4745.4195,4769.8215,4794.3464,4818.9976,4843.7781,4868.688,4893.7273,4918.8961,4944.1942,4969.6217,4995.1787,5020.865,5046.6807,5072.6292,5098.7139,5124.9347,5151.2918,5177.7851,5204.4146,5231.1803,5258.0823,5285.1204,5312.2948,5339.6089,5367.0665,5394.6674,5422.4117,5450.2993,5478.3304,5506.5049,5534.8227,5563.284,5591.8886,5620.6404,5649.5432,5678.5969,5707.8015,5737.1571,5766.6636,5796.3211,5826.1295,5856.0888,5886.1991,5913.9782,5938.049,5960.069,5981.6954,6004.5855,6030.3968,6060.7865,6097.4121,6141.9308,6196,6689,7247,7865,8525,9232,9989,10779,11615,12498,13411,14375,15370,16412,17469,18549,19647,20758,21890,23058,24276,25559,26892,28232,29520,30705,31777,32771,33737,34818,36067,37500,39114,40867,42706,44600,46517,48455,50434,52448,54509,56671,58888,60971,62677,63850,64360,64327,64142,64370,65390,67341,70049,73182,76244,78867,80993,82684,83862,84463,84449,83747,82427,80774,79213,78011,77297,77001
ANNEXI,332400105.6378,335148833.1761,338147178.655,341343765.7762,344687218.2412,348126159.7519,351609214.0098,355085004.7166,358502155.574,361809290.2837,364955032.5474,367937775.7267,370816253.8434,373629601.5888,376416953.6544,379217444.7319,382070209.5125,385014382.6879,388089098.9496,391333492.9889,394786699.4974,398542942.0184,402634063.3205,407005626.9336,411603196.3873,416372335.2113,421258606.9353,426207575.089,431164803.2022,436075854.8045,440886293.4256,445650843.1485,450458693.4949,455307106.1532,460193342.8114,465114665.1578,470068334.8806,475051613.6679,480061763.208,485096045.189,490151721.2992,495222683.4473,500318490.775,505459905.8195,510667691.1181,515962609.2081,521365422.6266,526896893.911,532577785.5984,538428860.2263,544470880.3317,551199452.7749,558895600.4909,567258210.1296,575986168.3409,584778361.7746,593333677.0807,601351000.909,608529219.9093,614567220.7316,619163890.0257,622522716.2044,625171016.289,627293419.8424,629074556.4273,630699055.6067,632351546.9434,634216660.0001,636479024.3398,639323269.5253,642934025.1194,647503601.9934,652979315.9818,659178304.0918,665917703.3308,673014650.7062,680286283.2254,687549737.8957,694622151.7245,701320661.7192,707462404.8871,713592569.3701,720263629.6772,727303652.3659,734540703.9939,741802851.1189,748918160.2987,755714698.0908,762020531.053,767663725.7429,772472348.7183,776746141.7507,780969782.8886,785216808.8759,789560756.4567,794075162.3753,798833563.3756,803909496.2018,809376497.5981,815308104.3084,821778698,831232677,841227206,851586543,862168981,872867126,883609597,894359212,905108439,915872077,926663853,937472517,948240273,958853729,969169484,979090954,988555223,997599898,1006353288,1015002990,1023682114,1032438922,1041225272,1049961679,1058526083,1066832425,1074863548,1082657843,1090252778,1097705881,1105062816,1112320662,1119473949,1126561989,1133632728,1140714183,1147828094,1154948629,1161996290,1168860926,1175461705,1181785837,1187854583,1193665323,1199224337,1204546804,1209632761,1214510651,1219263092,1223997345,1228799512,1233688481,1238670776,1243800765,1249136989,1254712972,1260551410,1266621735,1272834415,1279064069,1285210414,1291223628,1297094571,1302810849,1308373410,1313770455,1319006661,1324036741
ANT,13291.6035,13409.5998,13604.7929,13860.6521,14160.6463,14488.2447,14826.9164,15160.1305,15471.3561,15744.0625,15961.7186,16133.6699,16283.9786,16418.1885,16541.8435,16660.4875,16779.6646,16904.9185,17041.7932,17195.8326,17372.5806,17587.279,17844.9477,18135.7977,18450.0397,18777.8849,19109.544,19435.2281,19745.1481,20029.5149,20278.5395,20497.7517,20701.3589,20892.5881,21074.6663,21250.8207,21424.2783,21598.2661,21776.0112,21960.7407,22155.6816,22360.7873,22572.7771,22790.0267,23010.9118,23233.8083,23457.092,23679.1385,23898.3236,24113.0231,24321.6128,24531.7709,24749.5,24970.6622,25191.1196,25406.7343,25613.3684,25806.8841,25983.1435,26138.0087,26267.3418,26370.6824,26454.1104,26523.2988,26583.9206,26641.6488,26702.1563,26771.1161,26854.2011,26957.0844,27085.4387,27287.3501,27599.7659,28011.6518,28511.9736,29089.6968,29733.7871,30433.2102,31176.9317,31953.9173,32753.1326,33592.2476,34508.1695,35518.72,36641.7207,37894.9932,39296.3593,40863.6404,42614.6583,44567.2345,46739.1908,50052.4288,55138.4767,61579.5955,68958.0463,76856.0899,84855.9875,92540.0001,99490.3887,105289.4143,108800,113526,117509,120942,123963,126694,129216,131570,133801,135890,137848,139695,141481,143290,145270,147471,149921,152621,155439,158215,160857,163369,165759,167887,169610,170842,171474,171610,171507,171657,172306,173566,175321,177402,179558,181525,183266,184804,186170,187390,188501,189516,190415,190973,190940,190149,188569,186357,183789,181258,179097,177322,175965,175362,175954,177967,181590,186648,192579,198660,204300,209366,213900,217882,221368,224385,226880,228842
AOSIS,6434596.6024,6480723.7542,6530177.5245,6581987.8162,6635184.5321,6688797.5753,6741856.8488,6793392.2553,6842433.6979,6888011.0795,6929154.303,6969340.1934,7012396.7617,7057880.6898,7105348.6595,7154357.3527,7204463.4513,7255223.6371,7306194.592,7356932.9979,7406995.5367,7457769.6014,7510744.2977,7565628.8761,7622132.5869,7679964.6806,7738834.4076,7798451.0184,7858523.7634,7918761.8931,7978874.6579,8040052.8435,8103505.7113,8168970.2254,8236183.3499,8304882.0488,8374803.2861,8445684.0258,8517261.2321,8589271.869,8661452.9005,8733718.4067,8806404.6616,8879881.9207,8954520.4392,9030690.4726,9108762.276,9189106.105,9272092.2147,9358090.8606,9447472.2979,9544408.6693,9652056.4572,9769262.4276,9894873.3459,10027735.9778,10166697.089,10310603.4451,10458301.8117,10608638.9546,10760461.6392,10919214.6449,11089976.6721,11271045.3681,11460718.3804,11657293.3567,11859067.9442,12064339.7906,12271406.5433,12478565.8498,12684115.3575,12895553.5911,13119288.9939,13351984.0918,13590301.4103,13830903.4753,14070452.8123,14305611.9473,14533043.4057,14749409.7135,14951373.3962,15140086.4522,15320996.286,15497208.5324,15671828.8264,15847962.8028,16028716.0964,16217194.3421,16416503.1749,16629748.2295,16860035.1408,17126409.6422,17440766.776,17795486.1402,18182947.3332,18595529.9529,19025613.5977,19465577.8656,19907802.3547,20344666.6633,20762726,21215373,21686537,22171546,22667033,23171361,23684446,24207839,24744343,25297610,25870635,26464370,27076210,27699679,28325907,28948134,29563227,30172117,30777613,31384395,31995608,32613378,33235373,33854890,34462692,35053026,35622535,36175777,36724597,37285614,37870648,38484526,39123759,39782091,40449332,41118243,41786139,42455667,43131072,43818773,44522816,45244086,45978759,46720417,47460234,48191444,48914216,49629314,50331802,51015847,51678762,52315549,52930809,53543785,54180618,54859149,55586888,56356192,57151100,57948047,58729390,59490209,60234193,60962656,61679796,62388387,63087649,63775361
ARE,44723.9273,44947.8528,45172.5095,45398.0758,45624.7299,45852.6501,46082.0148,46313.0023,46545.7908,46780.5587,47017.4843,47256.7622,47498.3459,47742.0527,47987.6996,48235.1036,48484.0818,48734.4514,48986.0294,49238.6328,49492.0788,49746.5535,50002.3649,50259.5129,50517.9971,50777.8173,51038.9734,51301.465,51565.2921,51830.4542,52096.9514,52364.8186,52634.0913,52904.7697,53176.8537,53450.3435,53725.2392,54001.5408,54279.2484,54558.3621,54838.8819,55120.8447,55404.2872,55689.2094,55975.6116,56263.4938,56552.8562,56843.699,57136.0222,57429.826,57725.1105,58027.6382,58340.6277,58660.2632,58982.729,59304.2093,59620.8884,59928.9504,60224.5797,60503.9604,60763.2768,61003.6571,61230.4548,61446.1922,61653.3918,61854.5758,62052.2668,62248.987,62447.2588,62649.6046,62858.5467,63071.9956,63286.18,63501.0999,63716.7552,63933.1457,64150.2715,64368.1325,64586.7285,64806.0596,65026.1256,65246.9401,65468.5164,65690.854,65913.9523,66137.8106,66362.4285,66587.8053,66813.9404,67040.8333,67268.4833,67480.5987,67668.1346,67841.9615,68012.9496,68191.9691,68389.8905,68617.584,68885.9199,69205.7684,69588,67475,69242,72771,76528,79578,81625,82968,84424,87189,92418,100796,112118,125130,138039,149857,159976,169771,182627,203106,234514,277471,330974,394624,467451,548301,637922,735344,835508,931749,1019509,1096610,1164806,1228459,1293971,1366164,1446380,1533536,1627066,1725681,1828432,1937153,2052891,2173139,2294385,2415090,2539126,2671362,2813214,2966034,3134062,3302719,3478777,3711932,4068570,4588225,5300174,6168838,7089487,7917372,8549988,8946777,9141596,9197910,9214175,9262900,9360980,9487203
