code,SF6AR4_IPC2_TOTAL_NET_HISTCR_PRIMAPHIST21
entity,SF6
category,IPC2
name_category,IndustrialProcessesAndProductUse
type,NET
class,TOTAL
source,PRIMAPHIST21
descr,Data read in by JG. LJ; interpolation of NaN values by 'perform_interpolation_on_table' Extrapolated with growthrates from SF6_IPC2_TOTAL_NET_HISTORY_RCPI | built by Johannes Guetschow
note,Renamed as composite source from SF6_IPC2_TOTAL_NET_HISTORY_CRF2019! | Renamed as composite source from SF6_IPC2_TOTAL_NET_PMHTHISTCR_TEMPSRC1! | Add the countries {AND} from SF6_IPC2_TOTAL_NET_HISTORY_BUR3IPCC2006I || Renamed as composite source from SF6_IPC2_TOTAL_NET_PMHTHISTCR_TEMPSRC2! | Add the countries {ARG.COL.MEX.MNE} from SF6_IPC2_TOTAL_NET_HISTORY_BUR2IPCC2006I || Renamed as composite source from SF6_IPC2_TOTAL_NET_PMHTHISTCR_TEMPSRC3! | Renamed as composite source from SF6_IPC2_TOTAL_NET_PMHTHISTCR_TEMPSRC4! | Add the countries {BRA.CHL.KOR.MDA.MYS.SGP.URY} from SF6_IPC2_TOTAL_NET_HISTORY_UNFCCC2019BI || Renamed as composite source from SF6_IPC2_TOTAL_NET_PMHTHISTCR_TEMPSRC5! | Add the countries {ARE.CHN.DZA.EGY.GRD.HKG.IDN.IND.IRN.IRQ.ISR.KWT.LBY.NGA.PAK.PHL.SAU.SMR.THA.TWN.VAT.VEN.ZAF} from SF6_IPC2_TOTAL_NET_HISTORY_EDGAR42COMPI || Pad values of country ARG... || Pad values of country AUS... || Pad values of country AUT... || Pad values of country BEL... || Pad values of country BRA... || Pad values of country CAN... || Pad values of country CHE... || Pad values of country CHL... || Pad values of country COL... || Pad values of country CZE... || Pad values of country DEU... || Pad values of country DNK... || Pad values of country ESP... || Pad values of country EST... || Pad values of country FIN... || Pad values of country FRA... || Pad values of country GBR... || Pad values of country GRC... || Pad values of country HUN... || Pad values of country IRL... || Pad values of country ISL... || Pad values of country ITA... || Pad values of country JPN... || Pad values of country KOR... || Pad values of country LIE... || Pad values of country MCO... || Pad values of country MEX... || Pad values of country MYS... || Pad values of country NLD... || Pad values of country NOR... || Pad values of country NZL... || Pad values of country POL... || Pad values of country PRT... || Pad values of country ROU... || Pad values of country RUS... || Pad values of country SGP... || Pad values of country SVN... || Pad values of country SWE... || Pad values of country TUR... || Pad values of country UKR... || Pad values of country USA... ||  | built by Johannes Guetschow
scenario,HISTCR
datatype,CountryYearMatrix
tablekind,csg
family,emi
subsource,Table2(I)s1; Table2(II); Summary1.As1
unit,MtCO2eq
gwp,AR4
iso3,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
AND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0024822,0.0024166,0.0024625,0.0024605,0.0024605,0.0021899,0.0021899
ANNEXI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083272,0.31557,0.67062,1.1221,1.6439,2.2095,2.7928,3.3675,3.9073,4.3859,4.8252,5.2646,5.7042,6.1438,6.5836,7.0236,7.4637,7.9041,8.3446,8.7854,9.1947,9.555,9.8872,10.2126,10.5523,10.9274,11.359,11.8683,12.4764,13.2034,14.8694,15.4025,17.271,17.444,19.8326,23.8916,26.6799,28.6687,33.7786,35.2847,36.3011,39.4599,39.139,43.5496,45.8567,49.0343,51.1439,55.3401,57.5873,59.8492,60.7054,60.0544,60.0261,59.3411,60.4431,60.362,54.8248,50.5452,43.9294,39.3006,36.0885,33.5327,32.0129,30.3866,28.4089,26.9293,23.7517,21.4859,17.8286,18.0264,18.2422,21.7056,20.7184,16.3556,16.3362,17.0802,17.2196
AOSIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.006e-05,3.8122e-05,8.1014e-05,0.00013556,0.00019859,0.00026692,0.00033739,0.00040681,0.00047202,0.00052984,0.00058291,0.00063599,0.00068909,0.0007422,0.00079533,0.00084848,0.00090165,0.00095485,0.0010081,0.0010613,0.0011108,0.0011543,0.0011944,0.0012337,0.0012748,0.0013201,0.0013722,0.0014337,0.0015072,0.0015196,0.0060851,0.010372,0.017064,0.022893,0.036445,0.05044,0.06098,0.070544,0.086629,0.10127,0.094864,0.094892,0.093803,0.11239,0.12786,0.13057,0.13421,0.12955,0.13901,0.16175,0.19904,0.19207,0.17863,0.15666,0.15017,0.13553,0.12417,0.12281,0.13943,0.082072,0.12244,0.15323,0.18731,0.11873,0.099452,0.10944,0.1088,0.1067,0.085352,0.084588,0.086089,0.087595,0.084128,0.080526,0.076925,0.073324,0.069723
ARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0062449,0.019558,0.046525,0.079091,0.15232,0.17881,0.21563,0.25693,0.32769,0.40059,0.35515,0.33513,0.31113,0.34833,0.36538,0.38229,0.40047,0.39448,0.43618,0.43512,0.47673,0.50173,0.47523,0.44707,0.41012,0.46068,0.48338,0.4902,0.55966,0.62968,0.65589,0.68105,0.70329,0.73242,0.75954,0.80825,0.85315,0.89806,0.91596,0.95069,0.98541,1.0201,1.0549,1.0896,1.1243,1.159,1.1938
ARG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8813e-08,7.1295e-08,1.5151e-07,2.5352e-07,3.7139e-07,4.9918e-07,6.3097e-07,7.608e-07,8.8275e-07,9.9088e-07,1.0901e-06,1.1894e-06,1.2887e-06,1.388e-06,1.4874e-06,1.5868e-06,1.6862e-06,1.7857e-06,1.8852e-06,1.9848e-06,2.0773e-06,2.1587e-06,2.2338e-06,2.3073e-06,2.384e-06,2.4688e-06,2.5663e-06,2.6813e-06,2.8187e-06,2.8002e-06,2.126e-05,1.5018e-05,4.196e-05,3.8556e-05,5.5843e-05,8.9987e-05,0.0001227,0.00015597,0.00020131,0.0002299,0.00050928,0.00061095,0.00070092,0.00084077,0.00096566,0.00097047,0.0009747,0.00095506,0.00093809,0.0010475,0.00091979,0.00091156,0.00097841,0.0010672,0.0010242,0.00108,0.0011887,0.0011438,0.0011021,0.0011951,0.0011612,0.0012305,0.0013393,0.0014432,0.0015909,0.0016607,0.0017307,0.0016596,0.0014016,0.0016511,0.0017795,0.001689,0.0017982,0.0018201,0.0019004,0.001945,0.0019896
AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.007e-05,0.00030344,0.00064484,0.001079,0.0015807,0.0021246,0.0026855,0.0032381,0.0037571,0.0042173,0.0046397,0.0050622,0.0054849,0.0059076,0.0063305,0.0067535,0.0071768,0.0076002,0.0080238,0.0084477,0.0088412,0.0091876,0.0095071,0.00982,0.010147,0.010507,0.010922,0.011412,0.011997,0.012686,0.020842,0.018704,0.030098,0.023458,0.040904,0.061145,0.079827,0.10376,0.13998,0.15986,0.17002,0.18864,0.19494,0.20641,0.22894,0.24723,0.25608,0.25037,0.24931,0.22056,0.23934,0.25811,0.27687,0.29561,0.31621,0.2891,0.26677,0.24021,0.21129,0.21243,0.2188,0.2251,0.22911,0.23066,0.19622,0.18607,0.17513,0.16332,0.14699,0.14274,0.14079,0.1475,0.14183,0.15517,0.17094,0.18585,0.17622
AUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00016146,0.00061186,0.0013003,0.0021757,0.0031873,0.0042841,0.005415,0.0065293,0.0075759,0.0085039,0.0093556,0.010208,0.01106,0.011912,0.012765,0.013618,0.014471,0.015325,0.016179,0.017034,0.017828,0.018526,0.01917,0.019801,0.02046,0.021187,0.022024,0.023011,0.02419,0.022211,0.030968,0.030866,0.03928,0.028667,0.047181,0.060922,0.07106,0.084022,0.098856,0.089591,0.092013,0.096092,0.104,0.080851,0.12085,0.16464,0.18956,0.20907,0.22517,0.47061,0.61414,0.65627,0.744,0.92617,1.1001,1.1769,1.0864,0.86988,0.67637,0.57453,0.62933,0.6133,0.54944,0.48401,0.49363,0.45346,0.36701,0.37343,0.34168,0.33587,0.30735,0.31188,0.30487,0.31313,0.30955,0.39284,0.39903
BASIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6527e-05,6.263e-05,0.0001331,0.00022271,0.00032625,0.00043852,0.00055429,0.00066834,0.00077547,0.00087046,0.00095765,0.0010449,0.0011321,0.0012193,0.0013066,0.0013939,0.0014813,0.0015687,0.0016561,0.0017436,0.0018249,0.0018963,0.0019623,0.0020269,0.0020943,0.0021687,0.0022544,0.0023555,0.0024761,0.002515,0.082936,0.13666,0.22156,0.26736,0.39188,0.58238,0.73694,0.87005,1.0998,1.2935,1.4171,1.517,1.7221,2.1032,2.7464,2.8863,3.0507,2.9883,3.0235,3.0137,3.2412,3.5047,3.3851,3.2769,3.2724,3.6264,3.5223,3.2093,4.3077,4.4608,4.7359,6.1142,7.5922,7.7097,8.2433,9.0586,9.8805,10.459,10.5096,10.9127,11.8603,12.5511,13.2419,13.9327,14.6235,15.3,15.9587
BEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00041966,0.0015904,0.0033797,0.0056553,0.0082847,0.011135,0.014075,0.016971,0.019692,0.022104,0.024318,0.026532,0.028747,0.030963,0.033179,0.035397,0.037615,0.039834,0.042054,0.044276,0.046339,0.048154,0.049829,0.051469,0.053181,0.055071,0.057246,0.059813,0.062877,0.068118,0.097473,0.091553,0.11937,0.11785,0.15762,0.21061,0.26342,0.32307,0.41235,0.48406,0.56567,0.69323,0.74542,0.88717,0.95337,1.1026,1.2916,1.3538,1.4119,1.622,1.5398,1.6996,1.6355,1.9777,2.1397,2.0596,0.53885,0.29595,0.15366,0.14406,0.13922,0.11617,0.10193,0.090198,0.090688,0.07655,0.078863,0.086883,0.093309,0.10203,0.11209,0.11043,0.11575,0.095218,0.091363,0.094665,0.092028
BGR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9571e-06,1.1207e-05,2.3815e-05,3.985e-05,5.8377e-05,7.8465e-05,9.9179e-05,0.00011959,0.00013876,0.00015575,0.00017135,0.00018696,0.00020257,0.00021818,0.0002338,0.00024942,0.00026505,0.00028069,0.00029633,0.00031199,0.00032652,0.00033932,0.00035112,0.00036267,0.00037473,0.00038805,0.00040338,0.00042147,0.00044306,0.00046891,0.00051844,0.00060608,0.00072512,0.00086885,0.0010305,0.0012035,0.0013809,0.0015562,0.0017226,0.0018734,0.0020266,0.0021994,0.0023834,0.0025702,0.0027515,0.002919,0.0030642,0.0033,0.0034914,0.0036939,0.0039082,0.0041348,0.0043747,0.0046284,0.0048968,0.0051808,0.0054813,0.0057993,0.0061356,0.0064915,0.006868,0.0072663,0.0076878,0.0081337,0.008165,0.0084834,0.0088143,0.009158,0.0095152,0.01876,0.016967,0.016096,0.020419,0.016878,0.018066,0.018747,0.017514
