,bl,tars_calc,calc,tars_orig,orig,calc_vs_orig
CHN,16532.5427,11608.119866898767,-29.786239917597385,12497.889007757294,-24.404314360202477,-5.381925557394908
IND,3965.4359999999997,6258.0545371633825,57.815043217527204,4882.139735471113,23.11735041168521,34.697692805841996
IDN,1251.9683,1061.16833108,-15.240000000000009,1063.3755098,-15.06370330622589,-0.17629669377411972
KOR,682.8945,430.22353499999997,-37.0,430.3898614835098,-36.975643897628444,-0.02435610237155572
NGA,531.9424,292.56832,-44.99999999999999,321.27693163345805,-39.60306009946603,-5.396939900533965
PAK,487.7207,390.17656000000005,-20.0,440.59792,-9.661837194935558,-10.338162805064442
VNM,429.1816,321.8862000000001,-24.99999999999997,321.886225,-24.999994174959966,-5.825040005902338e-06
IRQ,411.2944,372.9069226666666,-9.333333333333343,379.6582121633464,-7.691859611182068,-1.6414737221512752
MYS,393.986,524.3328201598626,33.08412485719356,528.6395828715554,34.17725068189108,-1.0931258246975233
VEN,315.8072,252.64576,-20.0,261.65706828870356,-17.146579213930664,-2.8534207860693357
UZB,288.0084,715.9257457067081,148.57807817643794,659.3497810841209,128.93421896171114,19.643859214726803
PHL,257.1967,77.15901000000002,-70.0,145.8217647041933,-43.30340758485887,-26.696592415141133
COL,224.1487,156.90409,-30.0,156.90411999999995,-29.999986616027684,-1.3383972316205472e-05
BGD,220.5498,187.46733,-15.0,199.5106004494256,-9.539432613665667,-5.460567386334333
PER,166.476,116.5332,-30.0,117.48203999999998,-29.430043970302037,-0.5699560296979627
TZA,131.0895,104.8716,-20.0,125.04728,-4.609232623512938,-15.390767376487062
OMN,122.5506,120.09958799999998,-2.000000000000014,120.15466320072592,-1.9550592157640097,-0.04494078423600456
COD,108.8342,144.74948600000002,33.00000000000003,134.1896812283179,23.29734699967281,9.702653000327217
AGO,105.8888,52.9444,-50.0,53.16389999999999,-49.79270706628086,-0.20729293371913826
KEN,91.1146,63.78021999999999,-30.0,63.98442999999999,-29.775875655493195,-0.22412434450680507
ECU,87.777,69.431607,-20.89999999999999,69.61966842321544,-20.685750910585412,-0.21424908941457943
TTO,86.5422,73.56087,-15.0,73.9880247192964,-14.506420313677708,-0.4935796863222919
YEM,73.9779,63.620993999999996,-14.000000000000014,64.22159790888612,-13.188130632410335,-0.8118693675896793
TCD,71.3566,50.5918294,-29.099999999999994,50.652177601346814,-29.01542730266462,-0.08457269733537487
ZMB,56.8007,30.104371,-47.0,31.31049393271205,-44.87657030157718,-2.123429698422818
TUN,55.7418,51.75342228862225,-7.155093146216572,52.16102228862225,-6.423864517072914,-0.7312286291436578
LKA,55.1854,45.196842600000004,-18.099999999999994,46.19569834,-16.290000000000006,-1.809999999999988
GIN,53.9145,37.74014999999999,-30.0,51.77539502688567,-3.9675875193395598,-26.03241248066044
CMR,53.5011,42.087532,-21.33333333333333,42.247149785880936,-21.03498846588026,-0.29834486745306776
GTM,51.3162,39.7187388,-22.60000000000001,40.152252,-21.75521180445942,-0.8447881955405876
URY,43.4035,49.76348034303089,14.653150881912495,50.18903870668663,15.633621036751947,-0.9804701548394519
