2017_MtCO2eq_AR4,CO2_IPCM0EL,CH4_IPCM0EL,N2O_IPCM0EL,HFCSAR4_IPCM0EL,PFCSAR4_IPCM0EL,SF6_IPCM0EL,NF3_IPCM0EL,FGASESAR4_IPCM0EL,KYOTOGHGAR4_IPCM0EL,KYOTOGHGAR4_IPC1,KYOTOGHGAR4_IPC2,KYOTOGHGAR4_IPCMAG,KYOTOGHGAR4_IPC4,KYOTOGHGAR4_IPC5,CO2_IPC1,CO2_IPC2,CO2_IPCMAG,CO2_IPC4,CO2_IPC5,CH4_IPC1,CH4_IPC2,CH4_IPCMAG,CH4_IPC4,CH4_IPC5,N2O_IPC1,N2O_IPC2,N2O_IPCMAG,N2O_IPC4,N2O_IPC5,HFCSAR4_IPC2,PFCSAR4_IPC2,SF6_IPC2,NF3_IPC2,FGASESAR4_IPC2
ABW,0.002748937527233617,0.0004737027442911137,0.0003586738385701327,,,,,,0.0021511100150691607,0.0026397903295638835,0.0014290785511279712,1.1872304913944431e-06,0.001671372823586845,0.0010143120277837682,0.002846259946504975,0.0019508293583928357,,,,0.00039646204962774184,,0.0,0.0017845332998234278,,0.0028842565742914546,1.9274921485861478e-07,3.0989438889128432e-06,0.0007680947551727878,0.0010144054109809048,,,,,
AFG,0.0384293954886956,0.1854886144502106,0.1743112439264954,,,,,,0.07139481673916617,0.040141243756489246,0.00599449637228102,0.25120825480846787,0.2546168688830239,0.067818755019266,0.041723640030436944,0.008089450569039619,0.0018526260076693684,,,0.02404597166915708,,0.28879311141459796,0.26230717743953946,,0.030683426028143196,0.0016182611258249294,0.2110252423634346,0.22098560457128866,0.06782499879040944,,,,,
AGO,0.10941992457249351,0.522459659382434,0.62619143764414,0.006202457272494245,,,,0.005504594833619426,0.21091644190972705,0.16142020050914294,0.027734753103482775,0.604418859081782,0.31261957194195233,0.20821307966116331,0.1179704115454788,0.031489425778073524,,,,0.628845625421727,,0.5162490408564835,0.3282629110713419,,0.15805041152377458,0.08133345296648543,0.7829732801619697,0.2038750932914039,0.2082322489133577,0.006202457272494245,,,,0.005504594833619426
AIA,0.00042166510226386285,7.276390673507389e-05,1.5686276745779964e-05,,,,,,0.00032743042395228335,0.00043052860471010145,1.8827374528474848e-08,,0.0002298770150872353,9.695944073551279e-05,0.0004669099258965434,2.4121774681200976e-08,,,,7.03006600308527e-05,,,0.00025514793190938175,,0.00011236442383625099,2.7293855029122207e-08,,,9.69683673599838e-05,,,,,
ALB,0.017629579566253127,0.031560338363657424,0.040549231042075834,0.020255121726720168,,,,0.01797613969961288,0.021490743304695345,0.014231676759591149,0.03535927246011325,0.04053368472183847,0.06995806365368976,0.018985688248388213,0.015099541295915281,0.04252889296117479,0.02004882540225687,0.011341030117809403,,0.004918128327333735,0.0036435653836663535,0.03773373803746615,0.07061127325821884,,0.014058956462442426,0.004880698969986356,0.04629624474645378,0.0743640645207563,0.018987436176264357,0.020255121726720168,,,,0.01797613969961288
AND,0.0015242604592058655,0.00016293647924364049,0.0003655182685661404,0.0015227466101652724,,0.003979632872342302,,0.001574311679728298,0.0012192701429803718,0.0014266497260892665,0.0013572321187289532,0.00015562758760339303,0.0003555271843162154,0.0009291525753340069,0.0015312935916597652,0.0013685552022833188,0.0013595933233200013,0.01305376017325713,,0.0002601838797392042,0.0003723781250872369,0.00014834021767073902,0.0,,0.0018554571104892029,0.00010615814271319144,8.152360695691917e-05,0.0017287287978428585,0.0009292381182791122,0.0015227466101652724,,0.003979632872342302,,0.001574311679728298
ANT,0.020736985962663754,0.0008374292564551544,0.0021482191479957964,,,,,,0.015728076972618847,0.02072952201466148,0.0024763897484345984,0.00015372261454501705,0.0006585507656532956,0.024927846415838086,0.022619517811891685,0.00338050964396334,,,,0.0017341902715592296,,0.0001468770215358938,0.0007133531793848997,,0.007102635305690559,4.2085432225251685e-08,0.00017515434047064428,0.0001912576564328405,0.02493014141178832,,,,,
ARE,0.5872941739476372,0.5924440833590014,0.05674128867112886,,1.0258691250768743,2.1694532732098453,,0.17536456065243455,0.5450211831116928,0.6142310951171481,0.5961765077646489,0.019230530442622365,0.8691443510815661,0.519805221264129,0.5748317594631357,0.7446143710121437,0.007675787579648365,,,1.0970337337021963,0.1349444268514995,0.029289006059216468,0.9463940648415168,,0.003182315444599897,0.2684525452630392,0.004569131744506837,0.19911685382226676,0.5198530774189613,,1.0258691250768743,2.1694532732098453,,0.17536456065243455
ARG,0.5756272420889947,1.199425568508478,1.483075512975316,0.09221458967975552,0.3898372451759215,0.0036156343042203962,,0.10251142512427865,0.7306877907323422,0.559057303071133,0.406980150522249,1.8755207613673477,1.0664047526134866,0.6225429149448034,0.5823096186197669,0.5185993716151885,0.4730486360802456,0.12405305290059403,,0.3017049031246322,0.46282184465539905,1.9766553484046205,1.1311607937649155,,0.6351694366338547,0.0654435229378329,1.8192266182288273,0.5468513512494562,0.622600229702156,0.09221458967975552,0.3898372451759215,0.0036156343042203962,,0.10251142512427865
ARM,0.01851708796671495,0.03677450414534475,0.024206467419214,0.10988019352294413,0.0,,,0.09751714828666112,0.02360701583073997,0.020304315567873887,0.027594895056112633,0.033505501117338195,0.047806810627169814,0.018055704269752747,0.019285070873509846,0.007840023277036494,0.08240619964837409,,,0.03207951830204203,,0.03594167115231284,0.0486503890960508,,0.011893991313016243,0.00563704048203337,0.026288166996517554,0.04801918045069003,0.01805736657814018,0.10988019352294413,0.0,,,0.09751714828666112
ATA,1.1634530758308134e-05,,,,,,,,8.666140191440579e-06,1.1690063258087145e-05,,,,,1.2882920272599138e-05,,,,,,,,,,,,,,,,,,,
ATG,0.001787582792879396,0.000466769540980069,0.0006461398984024574,0.0018847974497715203,,,,0.0016727316043660834,0.0014871830254425463,0.0016227485980531582,0.0019839991906933853,0.00038551460814675864,0.0010187357243164755,0.004338381198929473,0.001756262686651077,0.0022022274339377136,,,,0.00022514925855308298,,0.00042195789488679925,0.0010678644018092488,,0.001230491615684406,1.6463053090971995e-07,0.00035674836802908637,0.0006848329301586605,0.004338780614391043,0.0018847974497715203,,,,0.0016727316043660834
AUS,1.1784869046372395,1.284965669752867,0.7321772754649488,1.4051861680745645,0.39274459797144623,0.320238780201909,,1.2856471603304835,1.1695648111248542,1.2332943132970242,0.7910483948003277,1.1999193542164126,0.7186323967911703,1.0614644721666904,1.231396778452015,0.6368155906275338,1.7324553447968862,0.11517472781001853,0.0,1.2637282332419815,0.48396247960870875,1.5263281707433645,0.7500358542610668,0.0,1.1298011930932634,0.8951788444139087,0.659713979674006,0.4954756232351659,1.0615621964796658,1.4051861680745645,0.39274459797144623,0.320238780201909,,1.2856471603304835
