2017_MtCO2eq_AR4,CO2_IPCM0EL,CH4_IPCM0EL,N2O_IPCM0EL,HFCS_IPCM0EL,PFCS_IPCM0EL,SF6_IPCM0EL,NF3_IPCM0EL,FGASES_IPCM0EL,KYOTOGHG_IPCM0EL,KYOTOGHG_IPC1,KYOTOGHG_IPC2,KYOTOGHG_IPCMAG,KYOTOGHG_IPC4,KYOTOGHG_IPC5,CO2_IPC1,CO2_IPC2,CO2_IPCMAG,CO2_IPC4,CO2_IPC5,CH4_IPC1,CH4_IPC2,CH4_IPCMAG,CH4_IPC4,CH4_IPC5,N2O_IPC1,N2O_IPC2,N2O_IPCMAG,N2O_IPC4,N2O_IPC5,HFCS_IPC2,PFCS_IPC2,SF6_IPC2,NF3_IPC2,FGASES_IPC2
ABW,0.002047583910636613,8.015350712735263e-05,2.3425063403123877e-05,,,,,,0.0021511100150691607,0.0019569434798553083,0.0001329532894386941,1.5158924742290305e-07,5.753432298841077e-05,3.584483810476221e-06,0.0019146348184857528,0.0001329532894386941,,,,2.480806974451956e-05,,0.0,5.534543738283308e-05,,1.7499542303077268e-05,7.601498132275127e-10,1.5158924742290305e-07,2.1884658767942643e-06,3.584483810476221e-06,,,,,
AFG,0.028624663572231538,0.03138584937401348,0.01138430379292114,,,,,,0.07139481673916617,0.02975772142309577,0.000557693634540955,0.032075044036402475,0.00876477645554619,0.00023966513533746163,0.028066844019055553,0.0005513137570328473,6.422270115233799e-06,,,0.0015046437428331567,,0.02174614826941136,0.008135183280403996,,0.0001861644059577952,6.3819761520247e-06,0.010322599835239688,0.0006296351480205362,0.00023966513533746163,,,,,
AGO,0.08150293516607408,0.08840348623002423,0.040896693742103175,0.00011350305761463462,,,,0.00011350305761463462,0.21091644190972705,0.11966488601975127,0.0025802826961244226,0.07717406235818806,0.010761426278313797,0.0007358055437886814,0.07935686189640606,0.0021460732696680232,,,,0.03934915371760366,,0.038873601005979586,0.010180731506440981,,0.0009589333650590748,0.00032075673629577614,0.03830025148781677,0.0005808836498253591,0.0007358055437886814,0.00011350305761463462,,,,0.00011350305761463462
AIA,0.0003140830486392689,1.2312114268689019e-05,1.024474014591377e-06,,,,,,0.00032743042395228335,0.0003191617669187492,1.751591172563096e-09,,7.913146753970513e-06,3.4264559235155304e-07,0.0003140830486392689,1.6439517260529526e-09,,,,4.398967514718505e-06,,,7.913146753970513e-06,,6.817444764831384e-07,1.0763944651014365e-10,,,3.4264559235155304e-07,,,,,
ALB,0.01313163471833244,0.005340209311556084,0.0026482787590397794,0.0003706624886453806,,,,0.0003706624886453806,0.021490743304695345,0.01055030270024945,0.00328962434011796,0.005175465764060544,0.0024081938949188897,6.70936460309864e-05,0.010157226694569007,0.0028984371139629444,6.950079060394673e-05,6.353434594751588e-06,,0.0003077451440095042,1.1610537607188902e-06,0.002841353999416719,0.002189934927536263,,8.52993820121815e-05,1.9248132414838852e-05,0.0022646466509864695,0.00021187908987451952,6.70936460309864e-05,0.0003706624886453806,,,,0.0003706624886453806
AND,0.0011353663591730887,2.756988513947665e-05,2.3872074557474833e-05,2.786579393179348e-05,,4.595820314146298e-06,,3.246182411033149e-05,0.0012192701429803718,0.001057611602043028,0.00012626910856260116,1.987100992944619e-05,1.2238451867197384e-05,3.283538272758253e-06,0.0010300773938501427,9.327003160948168e-05,4.71313450911446e-06,7.31293459366829e-06,,1.628064991600198e-05,1.1866152436296632e-07,1.117003224898108e-05,0.0,,1.1257545700325845e-05,4.186584750303872e-07,3.987843171350652e-06,4.925517273529092e-06,3.283538272758253e-06,2.786579393179348e-05,,4.595820314146298e-06,,3.246182411033149e-05
ANT,0.015446229094546857,0.0001416983386414192,0.0001403006417926035,,,,,,0.015728076972618847,0.01536732008326237,0.00023038912922369997,1.9627777099449595e-05,2.266955159295324e-05,8.809267706589571e-05,0.015215797992444815,0.00023038912922369997,,,,0.00010851458102359133,,1.1059853443331199e-05,2.212390417449668e-05,,4.3093554194566e-05,1.6597335283098502e-10,8.567923656118397e-06,5.449338795247397e-07,8.809267706589571e-05,,,,,
ARE,0.43745413981669057,0.10024529439688203,0.0037057854288869503,,0.0011107702524642002,0.002505361108282501,,0.003615963469233331,0.5450211831116928,0.4553450792103146,0.055464850221718376,0.0024554133830545543,0.02991889727593217,0.0018369430206732062,0.38668038834295665,0.05074709869598621,2.6608706225426236e-05,,,0.06864538334332021,4.300121386221181e-05,0.0022054648925231035,0.029351423960737342,,1.930794376647736e-05,0.0010587028968799409,0.00022350557717547867,0.0005673264101206304,0.0018369430206732062,,0.0011107702524642002,0.002505361108282501,,0.003615963469233331
ARG,0.4287638652202028,0.20295040932904462,0.09685997189414246,0.001687498587333621,0.00042210025105449784,4.1754619375430264e-06,,0.0021137541533440573,0.7306877907323422,0.4144433487228103,0.03786310395987637,0.23947226996147639,0.036709269534232446,0.0022000084183385377,0.3917106279479511,0.03534368193734903,0.0016398593704145283,6.949659331611244e-05,,0.018878771085422096,0.00014748220127705882,0.14884233239975767,0.03508177117648987,,0.003853739825045366,0.0002580912289299565,0.08899005720486503,0.001558096203402729,0.0022000084183385377,0.001687498587333621,0.00042210025105449784,4.1754619375430264e-06,,0.0021137541533440573
ARM,0.013792707552231744,0.006222479214322011,0.0015809294492212193,0.0020107736963299655,0.0,,,0.0020107736963299655,0.02360701583073997,0.015052103766907845,0.0025672711038381506,0.004278085625091204,0.001645672614065008,6.380716965674416e-05,0.012972767373804895,0.0005343147413040081,0.00028566741000118456,,,0.0020073319203058547,,0.0027064111955445755,0.001508841030667438,,7.21639697347982e-05,2.223093501427085e-05,0.0012859230737887585,0.00013681689289015005,6.380716965674416e-05,0.0020107736963299655,0.0,,,0.0020107736963299655
