add_info,iso3,tar_type_used,tar_type_reclass,tar_type_main,condi,rge,ndc_value_exclLU,ndc_value_inclLU,ndc_strengthen_tar,int_ref,refyr,taryr,tar_emi_exclLU,tar_emi_inclLU,gwp,scenario,emi_bl_exclLU_refyr,emi_bl_exclLU_taryr,emi_bl_onlyLU_refyr,emi_bl_onlyLU_taryr,pc_cov_set_to_100,pc_cov_exclLU_refyr,pc_cov_exclLU_taryr,pop_refyr,pop_taryr,gdp_refyr,gdp_taryr,CO2,CH4,N2O,HFCS,PFCS,SF6,NF3,energy,ippu,agriculture,waste,other,lulucf,lulucf_tar_2030_fyson2019
,,,,,,,,,,,,,MtCO2eq,MtCO2eq,,,MtCO2eq (AR4),MtCO2eq (AR4),MtCO2eq (AR4),MtCO2eq (AR4),,%,%,Pers,Pers,2011GKD,2011GKD,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,MtCO2eq
,AFG,ABS,ABS,RBU,conditional,best,40.3 MtCO2eq_SAR,51.807700 MtCO2eq_SAR,,,2025,2025,43.3744957885103,55.76012073107705,AR4,SSP2BLMESGB,44.85218844341937,44.85218844341937,12.38562494256675,12.38562494256675,,1.0,1.0,44151174.0039,44151174.0039,105793775068.2023,105793775068.2023,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,
,AFG,ABS,ABS,RBU,conditional,best,42.7 MtCO2eq_SAR,54.794710 MtCO2eq_SAR,,,2030,2030,45.95759231189553,58.97501037537577,AR4,SSP2BLMESGB,52.67314817919682,52.67314817919682,13.017418063480234,13.017418063480234,,1.0,1.0,49679872.7912,49679872.7912,138920279794.4122,138920279794.4122,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,
,AFG,ABU,ABS,RBU,conditional,best,-1.372950 MtCO2eq_SAR,-1.372940 MtCO2eq_SAR,,,2025,2025,43.37449578851031,55.76012073107704,AR4,SSP2BLMESGB,44.85218844341937,44.85218844341937,12.38562494256675,12.38562494256675,,1.0,1.0,44151174.0039,44151174.0039,105793775068.2023,105793775068.2023,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,
,AFG,ABU,ABS,RBU,conditional,best,-6.239540 MtCO2eq_SAR,-6.239540 MtCO2eq_SAR,,,2030,2030,45.95759231189554,58.975010375375774,AR4,SSP2BLMESGB,52.67314817919682,52.67314817919682,13.017418063480234,13.017418063480234,,1.0,1.0,49679872.7912,49679872.7912,138920279794.4122,138920279794.4122,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,
,AFG,RBU,ABS,RBU,conditional,best,-3.3%,-2.6%,,,2025,2025,43.37206622478653,55.749630237950484,AR4,SSP2BLMESGB,44.85218844341937,44.85218844341937,12.38562494256675,12.38562494256675,Yes (not lulucf),1.0,1.0,44151174.0039,44151174.0039,105793775068.2023,105793775068.2023,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,
,AFG,RBU,ABS,RBU,conditional,best,-13.6%,-10.2%,,,2030,2030,45.50960002682606,58.99012848592399,AR4,SSP2BLMESGB,52.67314817919682,52.67314817919682,13.017418063480234,13.017418063480234,Yes (not lulucf),1.0,1.0,49679872.7912,49679872.7912,138920279794.4122,138920279794.4122,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,
,AGO,ABS,ABS,RBU,unconditional,best,,124.656 MtCO2eq_AR4,,,2025,2025,84.36160000000002,124.656,AR4,SSP2BLMESGB,115.5246,115.5246,40.29439999999998,40.29439999999998,,0.9976455231180196,0.9976455231180196,36403790.8049,36403790.8049,230660693908.933,230660693908.933,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,
,AGO,ABS,ABS,RBU,unconditional,best,,125.612 MtCO2eq_AR4,,,2030,2030,38.2508,125.612,AR4,SSP2BLMESGB,105.8888,105.8888,87.3612,87.3612,,0.9958541413256172,0.9958541413256172,40616535.3582,40616535.3582,252364110722.9748,252364110722.9748,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,
,AGO,ABS,ABS,RBU,conditional,best,,113.748 MtCO2eq_AR4,,,2025,2025,73.45360000000002,113.748,AR4,SSP2BLMESGB,115.5246,115.5246,40.29439999999998,40.29439999999998,,0.9976455231180196,0.9976455231180196,36403790.8049,36403790.8049,230660693908.933,230660693908.933,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,
