add_info,iso3,tar_type_used,tar_type_calc,tar_type_orig,condi,rge,ndc_value_exclLU,ndc_value_inclLU,ndc_strengthen_tar,int_ref,refyr,taryr,tar_emi_exclLU,tar_emi_inclLU,gwp,scenario,emi_bl_exclLU_refyr,emi_bl_exclLU_taryr,emi_bl_LU_refyr,emi_bl_LU_taryr,pc_cov_set_to_100,pc_cov_exclLU_refyr,pc_cov_exclLU_taryr,pop_refyr,pop_taryr,gdp_refyr,gdp_taryr,CO2,CH4,N2O,HFCS,PFCS,SF6,NF3,energy,ippu,agriculture,waste,other,lulucf,lulucf_tar_2030_fyson2019,emi_bl_onlyLU_refyr,emi_bl_onlyLU_taryr
,,,,,,,,,,,,,MtCO2eq,MtCO2eq,,,MtCO2eq (AR4),MtCO2eq (AR4),MtCO2eq (AR4),MtCO2eq (AR4),,%,%,Pers,Pers,2011GKD,2011GKD,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,MtCO2eq,,
,AFG,ABS,ABS,RBU,conditional,best,40.3 MtCO2eq_SAR,51.807700 MtCO2eq_SAR,,,2025,2025,43.3744957885103,55.76012073107705,AR4,SSP3BLAIMCGE,42.7284,42.7284,0.0,0.0,,0.999997659636214,0.999997659636214,45916217.8591,45916217.8591,106585087100.6285,106585087100.6285,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,,12.38562494256675,12.38562494256675
,AFG,ABS,ABS,RBU,conditional,best,42.7 MtCO2eq_SAR,54.794710 MtCO2eq_SAR,,,2030,2030,45.95759231189553,58.97501037537577,AR4,SSP3BLAIMCGE,50.5032,50.5032,0.0,0.0,,1.0,1.0,53064536.7573,53064536.7573,137244257049.953,137244257049.953,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,,13.017418063480234,13.017418063480234
,AFG,ABU,ABS,RBU,conditional,best,-1.372950 MtCO2eq_SAR,-1.372940 MtCO2eq_SAR,,,2025,2025,43.37449578851031,55.76012073107704,AR4,SSP3BLAIMCGE,42.7284,42.7284,0.0,0.0,,0.999997659636214,0.999997659636214,45916217.8591,45916217.8591,106585087100.6285,106585087100.6285,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,,12.38562494256675,12.38562494256675
,AFG,ABU,ABS,RBU,conditional,best,-6.239540 MtCO2eq_SAR,-6.239540 MtCO2eq_SAR,,,2030,2030,45.95759231189554,58.975010375375774,AR4,SSP3BLAIMCGE,50.5032,50.5032,0.0,0.0,,1.0,1.0,53064536.7573,53064536.7573,137244257049.953,137244257049.953,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,,13.017418063480234,13.017418063480234
,AFG,RBU,ABS,RBU,conditional,best,-3.3%,-2.6%,,,2025,2025,41.3183628,53.68106029406001,AR4,SSP3BLAIMCGE,42.7284,42.7284,0.0,0.0,Yes (not lulucf),1.0,1.0,45916217.8591,45916217.8591,106585087100.6285,106585087100.6285,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,,12.38562494256675,12.38562494256675
,AFG,RBU,ABS,RBU,conditional,best,-13.6%,-10.2%,,,2030,2030,43.6347648,57.04151502100525,AR4,SSP3BLAIMCGE,50.5032,50.5032,0.0,0.0,Yes (not lulucf),1.0,1.0,53064536.7573,53064536.7573,137244257049.953,137244257049.953,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,,13.017418063480234,13.017418063480234
,AGO,ABS,ABS,RBU,unconditional,best,,124.656 MtCO2eq_AR4,,,2025,2025,98.27470000000002,124.656,AR4,SSP3BLAIMCGE,129.4377,129.4377,106.13527142857141,106.13527142857141,,0.998670402826997,0.998670402826997,37244379.644,37244379.644,228212175102.8201,228212175102.8201,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,,26.38129999999998,26.38129999999998
,AGO,ABS,ABS,RBU,unconditional,best,,125.612 MtCO2eq_AR4,,,2030,2030,60.75149999999999,125.612,AR4,SSP3BLAIMCGE,128.3895,128.3895,106.13527142857141,106.13527142857141,,0.997921169566047,0.997921169566047,42329731.4406,42329731.4406,248597497801.9677,248597497801.9677,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,,64.8605,64.8605
,AGO,ABS,ABS,RBU,conditional,best,,113.748 MtCO2eq_AR4,,,2025,2025,87.36670000000002,113.748,AR4,SSP3BLAIMCGE,129.4377,129.4377,106.13527142857141,106.13527142857141,,0.998670402826997,0.998670402826997,37244379.644,37244379.644,228212175102.8201,228212175102.8201,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,,26.38129999999998,26.38129999999998
,AGO,ABS,ABS,RBU,conditional,best,,96.625 MtCO2eq_AR4,,,2030,2030,31.764499999999998,96.625,AR4,SSP3BLAIMCGE,128.3895,128.3895,106.13527142857141,106.13527142857141,,0.997921169566047,0.997921169566047,42329731.4406,42329731.4406,248597497801.9677,248597497801.9677,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,,64.8605,64.8605
,AGO,ABU,ABS,RBU,unconditional,best,,-31.163 MtCO2eq_AR4,,,2025,2025,98.27470000000001,124.65599999999999,AR4,SSP3BLAIMCGE,129.4377,129.4377,106.13527142857141,106.13527142857141,,0.998670402826997,0.998670402826997,37244379.644,37244379.644,228212175102.8201,228212175102.8201,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,,26.38129999999998,26.38129999999998
,AGO,ABU,ABS,RBU,unconditional,best,,-67.638 MtCO2eq_AR4,,,2030,2030,60.75149999999999,125.612,AR4,SSP3BLAIMCGE,128.3895,128.3895,106.13527142857141,106.13527142857141,,0.997921169566047,0.997921169566047,42329731.4406,42329731.4406,248597497801.9677,248597497801.9677,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,,64.8605,64.8605
,AGO,ABU,ABS,RBU,conditional,best,,-42.071 MtCO2eq_AR4,,,2025,2025,87.36670000000001,113.74799999999999,AR4,SSP3BLAIMCGE,129.4377,129.4377,106.13527142857141,106.13527142857141,,0.998670402826997,0.998670402826997,37244379.644,37244379.644,228212175102.8201,228212175102.8201,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,,26.38129999999998,26.38129999999998
,AGO,ABU,ABS,RBU,conditional,best,,-96.625 MtCO2eq_AR4,,,2030,2030,31.764499999999998,96.625,AR4,SSP3BLAIMCGE,128.3895,128.3895,106.13527142857141,106.13527142857141,,0.997921169566047,0.997921169566047,42329731.4406,42329731.4406,248597497801.9677,248597497801.9677,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,,64.8605,64.8605
,AGO,RBU,ABS,RBU,unconditional,best,,-20%,,,2025,2025,98.27390000000001,124.6552,AR4,SSP3BLAIMCGE,129.4377,129.4377,106.13527142857141,106.13527142857141,Yes (not lulucf),1.0,1.0,37244379.644,37244379.644,228212175102.8201,228212175102.8201,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,,26.38129999999998,26.38129999999998
,AGO,RBU,ABS,RBU,unconditional,best,,-35%,,,2030,2030,60.75200000000001,125.61250000000001,AR4,SSP3BLAIMCGE,128.3895,128.3895,106.13527142857141,106.13527142857141,Yes (not lulucf),1.0,1.0,42329731.4406,42329731.4406,248597497801.9677,248597497801.9677,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,,64.8605,64.8605
,AGO,RBU,ABS,RBU,conditional,best,,-27%,,,2025,2025,87.36657000000001,113.74786999999999,AR4,SSP3BLAIMCGE,129.4377,129.4377,106.13527142857141,106.13527142857141,Yes (not lulucf),1.0,1.0,37244379.644,37244379.644,228212175102.8201,228212175102.8201,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,,26.38129999999998,26.38129999999998
,AGO,RBU,ABS,RBU,conditional,best,,-50%,,,2030,2030,31.764499999999998,96.625,AR4,SSP3BLAIMCGE,128.3895,128.3895,106.13527142857141,106.13527142857141,Yes (not lulucf),1.0,1.0,42329731.4406,42329731.4406,248597497801.9677,248597497801.9677,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,,64.8605,64.8605
,ALB,AEI,ABS,RBU,unconditional,best,2 tCO2eq/cap,,,,2050,2050,6.2181404026,5.874965102599999,AR4,SSP3BLAIMCGE,18.4285,18.4285,-0.3431753,-0.3431753,,0.6797300722468266,0.6797300722468266,3109070.2013,3109070.2013,58437767928.5894,58437767928.5894,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,,-0.3431753,-0.3431753
,ALB,ABS,ABS,RBU,unconditional,best,5.449 MtCO2eq_SAR,,,,2030,2030,5.659169203743952,5.315993903743951,AR4,SSP3BLAIMCGE,13.6091,13.6091,-0.3431753,-0.3431753,,0.649482442960851,0.649482442960851,3026209.383,3026209.383,44865232601.1507,44865232601.1507,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,,-0.3431753,-0.3431753
,ALB,ABU,ABS,RBU,unconditional,best,-0.708 MtCO2eq_SAR,,,,2030,2030,5.659169203743953,5.315993903743952,AR4,SSP3BLAIMCGE,13.6091,13.6091,-0.3431753,-0.3431753,,0.649482442960851,0.649482442960851,3026209.383,3026209.383,44865232601.1507,44865232601.1507,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,,-0.3431753,-0.3431753
,ALB,RBU,ABS,RBU,unconditional,best,-11.5%,,,,2030,2030,12.0440535,11.7008782,AR4,SSP3BLAIMCGE,13.6091,13.6091,-0.3431753,-0.3431753,Yes (not lulucf),1.0,1.0,3026209.383,3026209.383,44865232601.1507,44865232601.1507,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,,-0.3431753,-0.3431753
,AND,ABS,ABS,ABU,unconditional,best,0.336820 MtCO2eq_SAR,,,,2030,2030,0.3387152731380653,0.3177627017094939,AR4,SSP3BLAIMCGE,0.5786016666666667,0.5786016666666667,-0.020952571428571428,-0.020952571428571428,,0.961337569691558,0.961337569691558,79120.5,79120.5,,,YES,YES,YES,NO,NO,YES,NO,YES,YES,NO,YES,NO,NO,,-0.020952571428571428,-0.020952571428571428
,AND,ABU,ABS,ABU,unconditional,best,-0.19373 MtCO2eq_SAR,,,,2030,2030,0.33871527313806526,0.31776270170949383,AR4,SSP3BLAIMCGE,0.5786016666666667,0.5786016666666667,-0.020952571428571428,-0.020952571428571428,,0.961337569691558,0.961337569691558,79120.5,79120.5,,,YES,YES,YES,NO,NO,YES,NO,YES,YES,NO,YES,NO,NO,,-0.020952571428571428,-0.020952571428571428
,AND,RBU,ABS,ABU,unconditional,best,-37%,,,,2030,2030,0.36451905,0.3435664785714286,AR4,SSP3BLAIMCGE,0.5786016666666667,0.5786016666666667,-0.020952571428571428,-0.020952571428571428,Yes (not lulucf),1.0,1.0,79120.5,79120.5,,,YES,YES,YES,NO,NO,YES,NO,YES,YES,NO,YES,NO,NO,,-0.020952571428571428,-0.020952571428571428
,ARG,ABS,ABS,ABS,unconditional,best,,483 MtCO2eq_SAR,,,2030,2030,309.48791542015596,502.7103197437126,AR4,SSP3BLAIMCGE,422.936,422.936,104.45050571428571,104.45050571428571,,1.0,1.0,49695803.0143,49695803.0143,1095280163867.138,1095280163867.138,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,,193.22240432355665,193.22240432355665
,ARG,ABS,ABS,ABS,conditional,best,,369 MtCO2eq_SAR,,,2030,2030,190.83579026325486,384.0581945868115,AR4,SSP3BLAIMCGE,422.936,422.936,104.45050571428571,104.45050571428571,,1.0,1.0,49695803.0143,49695803.0143,1095280163867.138,1095280163867.138,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,,193.22240432355665,193.22240432355665
