add_info,iso3,tar_type_used,tar_type_calc,tar_type_orig,condi,rge,ndc_value_exclLU,ndc_value_inclLU,ndc_strengthen_tar,int_ref,refyr,taryr,tar_emi_exclLU,tar_emi_inclLU,gwp,scenario,emi_bl_exclLU_refyr,emi_bl_exclLU_taryr,emi_bl_LU_refyr,emi_bl_LU_taryr,pc_cov_set_to_100,pc_cov_exclLU_refyr,pc_cov_exclLU_taryr,pop_refyr,pop_taryr,gdp_refyr,gdp_taryr,CO2,CH4,N2O,HFCS,PFCS,SF6,NF3,energy,ippu,agriculture,waste,other,lulucf,lulucf_tar_2030_fyson2019,emi_bl_onlyLU_refyr,emi_bl_onlyLU_taryr
,,,,,,,,,,,,,MtCO2eq,MtCO2eq,,,MtCO2eq (AR4),MtCO2eq (AR4),MtCO2eq (AR4),MtCO2eq (AR4),,%,%,Pers,Pers,2011GKD,2011GKD,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,MtCO2eq,,
,AFG,ABS,ABS,RBU,conditional,best,40.3 MtCO2eq_SAR,51.807700 MtCO2eq_SAR,,,2025,2025,43.37449579,55.76012073,AR4,SSP5BLREMMP,37.0227,37.0227,0,0,,1,1,42230076.38,42230076.38,1.12E+11,1.12E+11,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,,12.38562494,12.38562494
,AFG,ABS,ABS,RBU,conditional,best,42.7 MtCO2eq_SAR,54.794710 MtCO2eq_SAR,,,2030,2030,45.95759231,58.97501038,AR4,SSP5BLREMMP,41.9954,41.9954,0,0,,1,1,45682068.17,45682068.17,1.61E+11,1.61E+11,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,,13.01741806,13.01741806
,AFG,ABU,ABS,RBU,conditional,best,-1.372950 MtCO2eq_SAR,-1.372940 MtCO2eq_SAR,,,2025,2025,43.37449579,55.76012073,AR4,SSP5BLREMMP,37.0227,37.0227,0,0,,1,1,42230076.38,42230076.38,1.12E+11,1.12E+11,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,,12.38562494,12.38562494
,AFG,ABU,ABS,RBU,conditional,best,-6.239540 MtCO2eq_SAR,-6.239540 MtCO2eq_SAR,,,2030,2030,45.95759231,58.97501038,AR4,SSP5BLREMMP,41.9954,41.9954,0,0,,1,1,45682068.17,45682068.17,1.61E+11,1.61E+11,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,,13.01741806,13.01741806
,AFG,RBU,ABS,RBU,conditional,best,-3.30%,-2.60%,,,2025,2025,35.8009509,48.12370849,AR4,SSP5BLREMMP,37.0227,37.0227,0,0,Yes (not lulucf),1,1,42230076.38,42230076.38,1.12E+11,1.12E+11,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,,12.38562494,12.38562494
,AFG,RBU,ABS,RBU,conditional,best,-13.60%,-10.20%,,,2030,2030,36.2840256,49.40151062,AR4,SSP5BLREMMP,41.9954,41.9954,0,0,Yes (not lulucf),1,1,45682068.17,45682068.17,1.61E+11,1.61E+11,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,,13.01741806,13.01741806
,AGO,ABS,ABS,RBU,unconditional,best,,124.656 MtCO2eq_AR4,,,2025,2025,110.5262,124.656,AR4,SSP5BLREMMP,141.6892,141.6892,106.1352714,106.1352714,,0.998179113,0.998179113,35444356.83,35444356.83,2.52E+11,2.52E+11,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,,14.1298,14.1298
,AGO,ABS,ABS,RBU,unconditional,best,,125.612 MtCO2eq_AR4,,,2030,2030,80.116,125.612,AR4,SSP5BLREMMP,147.754,147.754,106.1352714,106.1352714,,0.996815653,0.996815653,38821196.29,38821196.29,3.07E+11,3.07E+11,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,,45.496,45.496
,AGO,ABS,ABS,RBU,conditional,best,,113.748 MtCO2eq_AR4,,,2025,2025,99.6182,113.748,AR4,SSP5BLREMMP,141.6892,141.6892,106.1352714,106.1352714,,0.998179113,0.998179113,35444356.83,35444356.83,2.52E+11,2.52E+11,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,,14.1298,14.1298
,AGO,ABS,ABS,RBU,conditional,best,,96.625 MtCO2eq_AR4,,,2030,2030,51.129,96.625,AR4,SSP5BLREMMP,147.754,147.754,106.1352714,106.1352714,,0.996815653,0.996815653,38821196.29,38821196.29,3.07E+11,3.07E+11,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,,45.496,45.496
,AGO,ABU,ABS,RBU,unconditional,best,,-31.163 MtCO2eq_AR4,,,2025,2025,110.5262,124.656,AR4,SSP5BLREMMP,141.6892,141.6892,106.1352714,106.1352714,,0.998179113,0.998179113,35444356.83,35444356.83,2.52E+11,2.52E+11,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,,14.1298,14.1298
,AGO,ABU,ABS,RBU,unconditional,best,,-67.638 MtCO2eq_AR4,,,2030,2030,80.116,125.612,AR4,SSP5BLREMMP,147.754,147.754,106.1352714,106.1352714,,0.996815653,0.996815653,38821196.29,38821196.29,3.07E+11,3.07E+11,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,,45.496,45.496
,AGO,ABU,ABS,RBU,conditional,best,,-42.071 MtCO2eq_AR4,,,2025,2025,99.6182,113.748,AR4,SSP5BLREMMP,141.6892,141.6892,106.1352714,106.1352714,,0.998179113,0.998179113,35444356.83,35444356.83,2.52E+11,2.52E+11,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,,14.1298,14.1298
,AGO,ABU,ABS,RBU,conditional,best,,-96.625 MtCO2eq_AR4,,,2030,2030,51.129,96.625,AR4,SSP5BLREMMP,147.754,147.754,106.1352714,106.1352714,,0.996815653,0.996815653,38821196.29,38821196.29,3.07E+11,3.07E+11,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,,45.496,45.496
