add_info,iso3,tar_type_used,tar_type_calc,tar_type_orig,condi,rge,ndc_value_exclLU,ndc_value_inclLU,ndc_strengthen_tar,int_ref,refyr,taryr,tar_emi_exclLU,tar_emi_inclLU,gwp,scenario,emi_bl_exclLU_refyr,emi_bl_exclLU_taryr,emi_bl_LU_refyr,emi_bl_LU_taryr,pc_cov_set_to_100,pc_cov_exclLU_refyr,pc_cov_exclLU_taryr,pop_refyr,pop_taryr,gdp_refyr,gdp_taryr,CO2,CH4,N2O,HFCS,PFCS,SF6,NF3,energy,ippu,agriculture,waste,other,lulucf,lulucf_tar_2030_fyson2019,emi_bl_onlyLU_refyr,emi_bl_onlyLU_taryr
,,,,,,,,,,,,,MtCO2eq,MtCO2eq,,,MtCO2eq (AR4),MtCO2eq (AR4),MtCO2eq (AR4),MtCO2eq (AR4),,%,%,Pers,Pers,2011GKD,2011GKD,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,MtCO2eq,,
,AFG,ABU,ABS,RBU,conditional,best,-1.372950 MtCO2eq_SAR,-1.372940 MtCO2eq_SAR,,,2025,2025,43.37449578851031,55.76012073107704,AR4,SSP4BLGCAM4,40.1317,40.1317,0.0,0.0,,1.0,1.0,45473473.4982,45473473.4982,105856661589.0819,105856661589.0819,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,,12.38562494256675,12.38562494256675
,AFG,ABU,ABS,RBU,conditional,best,-6.239540 MtCO2eq_SAR,-6.239540 MtCO2eq_SAR,,,2030,2030,45.95759231189554,58.975010375375774,AR4,SSP4BLGCAM4,44.6621,44.6621,0.0,0.0,,0.9999977609999999,0.9999977609999999,52248417.2106,52248417.2106,133877223107.4523,133877223107.4523,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,,13.017418063480234,13.017418063480234
,AFG,ABS,ABS,RBU,conditional,best,40.3 MtCO2eq_SAR,51.807700 MtCO2eq_SAR,,,2025,2025,43.3744957885103,55.76012073107705,AR4,SSP4BLGCAM4,40.1317,40.1317,0.0,0.0,,1.0,1.0,45473473.4982,45473473.4982,105856661589.0819,105856661589.0819,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,,12.38562494256675,12.38562494256675
,AFG,ABS,ABS,RBU,conditional,best,42.7 MtCO2eq_SAR,54.794710 MtCO2eq_SAR,,,2030,2030,45.95759231189553,58.97501037537577,AR4,SSP4BLGCAM4,44.6621,44.6621,0.0,0.0,,0.9999977609999999,0.9999977609999999,52248417.2106,52248417.2106,133877223107.4523,133877223107.4523,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,,13.017418063480234,13.017418063480234
,AFG,RBU,ABS,RBU,conditional,best,-3.3%,-2.6%,,,2025,2025,38.8073539,51.15187449406002,AR4,SSP4BLGCAM4,40.1317,40.1317,0.0,0.0,,1.0,1.0,45473473.4982,45473473.4982,105856661589.0819,105856661589.0819,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,,12.38562494256675,12.38562494256675
,AFG,RBU,ABS,RBU,conditional,best,-13.6%,-10.2%,,,2030,2030,38.5880679997881,51.79621742084633,AR4,SSP4BLGCAM4,44.6621,44.6621,0.0,0.0,,0.9999977609999999,0.9999977609999999,52248417.2106,52248417.2106,133877223107.4523,133877223107.4523,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,,13.017418063480234,13.017418063480234
,AGO,ABU,ABS,RBU,unconditional,best,,-31.163 MtCO2eq_AR4,,,2025,2025,93.7829,124.65599999999999,AR4,SSP4BLGCAM4,124.9459,124.9459,106.13527142857141,106.13527142857141,,0.996562512,0.996562512,37383848.0825,37383848.0825,232137964330.2542,232137964330.2542,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,,30.873099999999994,30.873099999999994
,AGO,ABU,ABS,RBU,unconditional,best,,-67.638 MtCO2eq_AR4,,,2030,2030,56.6867,125.612,AR4,SSP4BLGCAM4,124.3247,124.3247,106.13527142857141,106.13527142857141,,0.9932571729999999,0.9932571729999999,42562337.5837,42562337.5837,258183701708.7778,258183701708.7778,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,,68.9253,68.9253
,AGO,ABU,ABS,RBU,conditional,best,,-42.071 MtCO2eq_AR4,,,2025,2025,82.8749,113.74799999999999,AR4,SSP4BLGCAM4,124.9459,124.9459,106.13527142857141,106.13527142857141,,0.996562512,0.996562512,37383848.0825,37383848.0825,232137964330.2542,232137964330.2542,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,,30.873099999999994,30.873099999999994
,AGO,ABU,ABS,RBU,conditional,best,,-96.625 MtCO2eq_AR4,,,2030,2030,27.699700000000007,96.625,AR4,SSP4BLGCAM4,124.3247,124.3247,106.13527142857141,106.13527142857141,,0.9932571729999999,0.9932571729999999,42562337.5837,42562337.5837,258183701708.7778,258183701708.7778,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,,68.9253,68.9253
,AGO,ABS,ABS,RBU,unconditional,best,,124.656 MtCO2eq_AR4,,,2025,2025,93.78290000000001,124.656,AR4,SSP4BLGCAM4,124.9459,124.9459,106.13527142857141,106.13527142857141,,0.996562512,0.996562512,37383848.0825,37383848.0825,232137964330.2542,232137964330.2542,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,,30.873099999999994,30.873099999999994
,AGO,ABS,ABS,RBU,unconditional,best,,125.612 MtCO2eq_AR4,,,2030,2030,56.6867,125.612,AR4,SSP4BLGCAM4,124.3247,124.3247,106.13527142857141,106.13527142857141,,0.9932571729999999,0.9932571729999999,42562337.5837,42562337.5837,258183701708.7778,258183701708.7778,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,,68.9253,68.9253
,AGO,ABS,ABS,RBU,conditional,best,,113.748 MtCO2eq_AR4,,,2025,2025,82.87490000000001,113.748,AR4,SSP4BLGCAM4,124.9459,124.9459,106.13527142857141,106.13527142857141,,0.996562512,0.996562512,37383848.0825,37383848.0825,232137964330.2542,232137964330.2542,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,,30.873099999999994,30.873099999999994
