cat,IPCM0EL,,,,,,,,,,,,,,,,,,,,,,,,,,,
clss,COV,,,,,,,,,,,,,,,,,,,,,,,,,,,
ent,CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,
family,emi,,,,,,,,,,,,,,,,,,,,,,,,,,,
gwp,AR4,,,,,,,,,,,,,,,,,,,,,,,,,,,
note,"Part of emissions covered by an (I)NDC, based on per-country, per-main-sector and per-kyoto-GHG information from countries' (I)NDCs and their corresponding HISTCR_PRIMAPHIST21 emissions.",,,,,,,,,,,,,,,,,,,,,,,,,,,
scen,HISTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,
srce,PRIMAPHIST21,,,,,,,,,,,,,,,,,,,,,,,,,,,
tablename,CO2_IPCM0EL_COV_EMI_HISTORY_PRIMAPHIST21,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpe,EMI,,,,,,,,,,,,,,,,,,,,,,,,,,,
unit,MtCO2eq,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ABW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,2.85066,2.64437,1.59686,1.53077,1.4078301,1.3614051,1.29265,1.2081,1.15204,0.93467,0.93391,0.99606,1.2504,1.37945,1.12893,1.50769,1.82477,2.4325735,4.3642526,6.9335601,8.6361776,12.4107836,10.9863403,10.2123783,11.1601663,11.6575842,13.2301622,13.6395602
AGO,5.13491,5.11034,5.2102,5.79535,3.91242,11.00156,10.479,7.40072,7.32343,9.18621,9.57306,9.73053,12.66024,9.04978,18.77224,19.07831,22.17827,25.05575,25.56761,27.64907,28.94954,30.22859,33.27314,32.4605,34.5514,36.6726,38.0338,38.836
AIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALB,3.8352,5.53799,3.33155,3.24467,3.50211,3.44226,3.34946,3.46534,4.18529,4.52578,3.20162,3.65472,3.83872,4.10054,4.34277,4.24251,4.15024,4.49098,4.58142,4.97499,5.22985,5.9321,5.5358,5.6955,6.4381,5.8967,6.1264,6.221
AND,0.4304827,0.4377603,0.4460191,0.4558788,0.4597603,0.4869155,0.5166059,0.5281443,0.5551448,0.5778202,0.5899698,0.5901484,0.5969811,0.5987297,0.62495135,0.639761,0.60957123,0.6049515,0.6027317,0.5808379,0.5843672,0.5539967,0.5483081,0.5416993,0.5280574,0.529407,0.5359607,0.5387576
ANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARE,46.4287,50.8254,51.8308,58.5241,64.5659,63.5211,53.2886,55.2546,76.0907,74.1953,105.3636,101.1846,89.7901,117.2684,130.1653,139.4854,142.059,149.8363,168.4861,173.5481,161.3225,161.7792,167.5113,160.4703,190.8592,205.5003,212.589,208.4334
ARG,111.488811,118.959039,122.74669,123.134981,128.934912,124.278978,134.339354,138.464043,142.995985,144.280653,148.593304,137.957311,131.732556,139.866513,152.707272,160.381504,170.89082,184.252708,187.949449,181.513089,189.552319,199.026609,198.408359,203.143618,203.3095,206.178639,205.935972,204.305105
ARM,21.78101,20.33235,25.21374,10.06422,9.92576,11.00484,7.54857,7.83919,6.58985,4.66999,3.33028,3.39118,2.99142,3.35975,3.59897,4.26845,4.30745,5.07863,5.6979,4.60695,4.58851,5.3504,6.17276,5.95602,5.98335,6.58232,6.57365,6.4361
ATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATG,0.330564,0.316484,0.313676,0.322057,0.319522,0.327987,0.347445,0.363228,0.375298,0.387316,0.402955,0.407487,0.430265,0.464056,0.483077,0.491151,0.506483,0.53294,0.544666,0.57468,0.590035,0.580141,0.591913,0.592765,0.607763,0.619961,0.636728,0.634456
AUS,279.33537,280.8104,285.853142,290.193889,294.988573,306.397777,313.371167,321.824768,335.713985,345.113283,351.214563,358.698706,363.279157,370.775615,384.264665,387.584928,393.771904,401.525448,406.158493,409.454909,407.605906,405.443712,408.187059,399.238288,394.487185,403.748283,414.380125,418.275845
AUT,63.807703,67.196453,61.527682,61.910897,62.282272,65.443311,68.972423,69.003315,68.603048,66.94868,67.591159,71.625842,73.540789,79.182317,79.12611,80.78025,78.57282,75.819278,74.914546,68.624814,73.243392,71.217752,68.779372,69.236512,65.518712,67.760162,68.318222,70.958142
AZE,57.0584,52.9755,46.7431,39.39845,34.53802,36.8321,30.21003,29.19786,28.81925,28.15476,29.29076,29.18188,29.61771,31.43007,33.3718,36.2191,39.5618,30.2315,35.984927,30.46928,30.1339,31.69528,33.16794,36.4836761,38.7119,42.3222,41.9548,41.1696
BDI,0.209293,0.238634,0.216947,0.231315,0.234986,0.23865,0.246003,0.253381,0.2534,0.257407,0.275753,0.209815,0.213165,0.161889,0.19872,0.154803,0.187815,0.191186,0.194855,0.191181,0.213253,0.22406,0.2459852,0.238799549,0.403783432,0.42243,0.41665,0.4438
BEL,122.40727,125.09361,123.51471,122.52874,125.94575,127.18274,130.73745,125.21826,131.39528,125.44019,127.46181,126.87019,127.06608,128.56757,129.62933,126.43402,124.85685,121.66782,121.53109,108.60631,114.96713,105.38412,102.58452,102.72643,97.07988,100.9526,99.64672,98.8147
BEN,0.55933,0.66198,0.71717,0.88284,1.03675,1.04224,1.08988,1.1246,1.11975,1.4747,1.47871,1.69544,1.96337,2.23847,2.3925,2.2807,3.1393,3.72575,3.74454,4.00923,4.44803,4.56786,4.778355,5.1082049,5.6285871,5.7430693,6.1594516,6.4850338
BES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BFA,0.643502,0.689517,0.694722,0.692816,0.713837,0.694436,0.7769,0.88148,0.93595,0.99496,1.11174,1.072006,1.084013,1.160126,1.188983,1.213713,1.451045,1.739306,1.962945,1.967881,1.996073,2.24415,2.6526152,3.1018,2.91371,2.81132,3.01643,3.16614
BGD,13.6062,13.8115,15.5692,15.3483,16.6929,21.1815,23.1793,24.7541,24.6251,26.3525,28.9019,33.574,34.9564,37.1777,39.2441,41.3005,45.1917,46.1486,48.9078,51.4827,56.1917,59.2898,63.18,65.1031,69.5387,81.7278,82.8109,86.357
BGR,76.699822,61.356342,57.35088,58.90154,56.892115,58.114588,58.932945,56.549285,53.750785,47.25994,46.07923,49.593201,46.679106,51.110583,49.898208,50.97815,52.036593,56.196275,54.048696,45.806331,47.958308,53.3382905,48.630911,42.627811,45.103724,48.094771,45.257905,47.401639
BHR,12.3779,11.8282,10.8125,14.5525,14.6983,14.7424,15.553,17.2547,18.3146,17.9655,18.6224,13.9027,15.6887,16.4261,17.3355,19.033,18.6549,26.6704,29.5706,27.8911,28.6941,28.0242,26.0201,30.6631,30.6117,23.8103,23.291,23.1775
BHS,2.27431,2.11166,2.12515,2.03976,2.03505,2.03385,2.02876,1.73019,2.05109,2.04935,2.05129,1.95781,1.97061,1.91851,2.12918,2.15304,2.0806,2.11267,1.92373,2.07181,2.09139,2.30644,2.41813,3.25639,2.87327,2.92985,3.00694,2.99872
BIH,26.68272062,24.7031332,8.863780089,5.037650199,5.396290185,4.918480171,6.813650171,9.330610171,13.1115,13.121,14.28354,14.76086,15.58048,15.4717,16.47033,16.75254,17.88844,17.77003,19.71475,19.80881,20.20418,22.18268,20.5422,20.201581,22.545321,20.929062,21.822702,22.197843
BLR,105.0052,97.9195,91.0342,78.5068,65.17683,58.4714,59.7342,63.0228,59.8191,57.37763,55.82689,55.95631,56.08923,57.4855,62.9899,64.3838,69.1187,66.5177,68.6958,64.3802,68.4304,65.479,66.4187,68.33409,67.9168,63.66481,65.56677,67.575
BLZ,0.31169,0.35936,0.35569,0.37769,0.37402,0.37769,0.30802,0.3887,0.37036,0.34836,0.39606,0.44741,0.43274,0.43347,0.39302,0.42239,0.44376,0.47742,0.43704,0.58712,0.53545,0.6018,0.47714,0.51395,0.49565,0.62145,0.64831,0.64349
BOL,5.072786,5.35937,6.01192,6.595914,7.68402,8.21383,8.32765,8.52071,8.27723,7.200534,7.17641,6.42581,8.41747,9.01559,8.9605,9.96874,12.49787,10.050634,10.72825,11.28491,12.28856,13.003961,15.353951,15.2611077,16.4104994,15.066291,15.8255826,15.9875743
BRA,225.316,237.6672,239.4453,249.8082,260.6005,278.9846,300.1764,318.8141,329.7654,340.263,358.2426,362.1191,361.4187,362.5992,376.7002,383.6061,386.9208,406.2165,426.3743,404.2484,452.1081,472.8232,503.749,535.5419,555.7405,536.1956,503.61365,509.52624
BRB,1.083136,1.215187,0.987968,1.123444,0.760591,0.837633,0.859781,0.907304,1.15089,1.220197,1.197883,1.229485,1.234705,1.273499,1.2948,1.347623,1.364215,1.378566,1.624595,1.612991,1.472923,1.52846,1.4719352,1.447095549,1.26731,1.296339,1.331669,1.325237
BRN,6.1931,5.3094,5.2104,4.9684,4.6934,4.785,4.7484,4.9354,5.1627,3.806,4.5944,4.3927,4.257,4.477,4.8767,4.873,4.741,8.3161,8.9981,7.7551,8.0667,9.5518,9.5041,7.6341,8.9321,9.1323,10.3104,10.5969
BTN,0.149873,0.198059,0.228308,0.213605,0.228155,0.30136,0.34804,0.45012,0.45502,0.45949,0.46043,0.45545,0.50225,0.46222,0.39254,0.4769,0.47239,0.47546,0.53571,0.71682,0.83674,1.02856,1.11523,1.19884,1.29105,1.26266,1.36521,1.41087
BVT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWA,2.7024,2.6364,2.783,3.1974,3.0324,3.047,2.7574,2.8014,3.344,3.1607,3.7804,3.85,3.9784,3.828,3.8977,4.0957,4.1397,4.2314,4.5064,3.7584,4.5577,4.0224,4.048,5.0454,6.8494,7.0161,7.1793,7.6437
CAF,0.317683,0.327954,0.341653,0.352285,0.36622643,0.36616,0.36641,0.37598,0.37873,0.39023,0.39209,0.37336,0.37205,0.36238,0.37763,0.39402,0.40378,0.42362,0.42962,0.42875,0.45049,0.46753,0.48337,0.49027,0.48776,0.54747,0.56124,0.56426
CAN,466.73708,456.7836,470.74955,470.41871,485.70305,498.10812,513.57765,528.4894,536.93808,552.78397,575.20622,568.08691,574.26181,591.00509,589.96864,580.22347,574.55117,598.91105,579.8469,546.6748,560.69816,570.1814,573.67853,581.15287,581.17053,580.57237,567.88837,574.96339
CHE,44.169197,46.145067,46.020973,43.610288,42.681687,43.420042,44.10406,43.037633,44.616285,44.444407,43.614045,45.0784,43.46116,44.646226,45.229607,45.784096,45.369246,43.362342,44.708309,43.529437,45.044116,40.979598,42.24885,43.179446,39.2295171,38.7282769,39.1865706,38.1717476
CHL,33.702224,32.184154,33.469994,35.776536,38.77603,41.492047,47.169354,54.136252,54.597451,58.259278,55.3056,50.221548,52.092535,53.025766,57.117648,58.848286,61.905486,68.486769,69.367693,64.7197166,70.0377,76.8627,78.8457,80.99186,83.19539963,85.4925737,87.92877,86.81268
CHN,2517.8246,2647.5633,2768.5098,2943.9777,3155.9257,3411.836,3546.4688,3585.964,3420.2356,3426.4171,3555.9463,3635.8023,4009.8904,4723.6001,5427.4233,6088.1619,6725.8069,7234.4814,7747.4585,8155.1122,8926.6733,9823.254,10093.4759,10220.0387,10283.3583,10218.6858,10225.3365,10380.4189
CIV,5.14981,4.68639,4.23022,5.48459,4.83701,6.89357,8.21825,7.98659,7.29725,6.62183,7.16934,8.18442,8.05362,5.83807,7.96936,8.15021,7.35555,7.21019,7.24362,6.16624,7.4872,7.9002,10.0013,11.27184,11.64992,11.80181,12.61859,13.27508
CMR,4.2978,3.6829,6.36854,6.7623,12.102,12.5253,12.313,10.9078,10.9047,10.8217,10.9288,10.5622,10.0069,10.1956,10.6045,10.5082,10.76,12.7173,12.661,13.8914,13.1073,11.7043,11.9883,12.8461,12.99851,13.76822,14.30413,14.22474
COD,3.84387,2.84267,2.731303,2.522814,2.635619,3.02663,3.387025,3.0776425,2.70296,2.21427781,1.56212519,1.636343,1.69808,1.9327,1.8927,2.08099,2.15008,2.410923,2.514398,2.263804,2.50117,2.958441,2.888501,4.05953137,5.17882285,3.54241433,3.6183058,3.60159728
COG,1.194088,1.009134,1.28314,1.326831,2.155473,1.567821,1.725961,2.359994,0.802281,0.850578,1.063891,0.799797,0.615892,0.962829,1.001511,0.989985,1.125804,1.221083,1.316762,1.752381,1.99064,2.27,2.972446,3.08099,2.98,2.78992,2.97164,2.97586
COK,0.036667,0.036667,0.036667,0.040334,0.040334,0.040334,0.047667,0.047667,0.047667,0.047667,0.047667,0.033,0.029334,0.033,0.055001,0.062334,0.066001,0.066001,0.069667,0.069667,0.069667,0.069667,0.069667,0.069667,0.069667,0.072867,0.082793,0.085382
COL,47.0211,49.5522,53.3357,54.9354,55.3025,57.0432,57.2445,61.7198,61.1897,55.3953,57.8275,55.442,54.7289,56.5225,57.5787,60.8822,68.4594,68.1225,65.8232,71.6058,70.122,67.3083,71.513,79.90786,81.29799,81.8619,88.12233,84.35136
COM,0.0661848,0.0699617,0.0700757,0.0738581,0.0739856,0.0777735,0.0815758,0.0853755,0.0928493,0.0966575,0.1077947,0.1079457,0.1080985,0.1375817,0.1487681,0.1452481,0.1673959,0.1088843,0.1126924,0.1384605,0.1678997,0.1423234,0.1496684,0.1829696,0.1611138,0.1688281,0.1725423,0.1762566
CPV,0.095334,0.099001,0.10634,0.11,0.11367,0.121,0.14301,0.14669,0.15769,0.18336,0.21638,0.23472,0.27506,0.30808,0.33014,0.44014,0.47314,0.50613,0.46946,0.52445,0.55744,0.61611,0.50611,0.49882,0.48631,0.6977,0.74835,0.78795
CRI,2.84261,3.23769,3.68258,3.86398,5.15012,4.78914,4.71649,4.92533,5.19791,5.32745,5.27613,5.44885,5.90941,6.15821,6.35193,6.127,6.49902,7.21582,7.27217,7.09394,6.96367,7.10992,7.09922,6.928817,7.074552,8.471357,8.814892,8.753627
