cat,IPCM0EL,,,,,,,,,,,,,,,,,,,,,,,,,,,
clss,NOTCOV,,,,,,,,,,,,,,,,,,,,,,,,,,,
ent,CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,
family,emi,,,,,,,,,,,,,,,,,,,,,,,,,,,
gwp,AR4,,,,,,,,,,,,,,,,,,,,,,,,,,,
note,"Part of emissions not-covered by an (I)NDC, based on per-country, per-main-sector and per-kyoto-GHG information from countries' (I)NDCs and their corresponding HISTCR_PRIMAPHIST21 emissions.",,,,,,,,,,,,,,,,,,,,,,,,,,,
scen,HISTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,
srce,PRIMAPHIST21,,,,,,,,,,,,,,,,,,,,,,,,,,,
tablename,CO2_IPCM0EL_NOTCOV_EMI_HISTORY_PRIMAPHIST21,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpe,EMI,,,,,,,,,,,,,,,,,,,,,,,,,,,
unit,MtCO2eq,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ABW,1.675337,1.720869,1.502899,1.637166,1.657735,1.714527,1.737804,1.793746,1.845734,1.85735,2.430042,2.46025,2.490411,2.616182,2.67188,2.775277,2.772219,2.879445,2.715174,2.686482,2.566091,2.559693,1.409018,0.922251,0.934016,0.953251,0.979876,0.975672
AFG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIA,0.051801417,0.051801433,0.055501449,0.066602463,0.066602477,0.06660249,0.070302503,0.070302515,0.077702527,0.08140254,0.088802554,0.096202569,0.096202585,0.103470601,0.121660617,0.129020632,0.143680645,0.151010657,0.150950668,0.147030679,0.150690688,0.143360698,0.143360707,0.13602073,0.143320744,0.146310757,0.15051077,0.149660783
ALB,0.11624,0.03614,0.02443,0.0246,0.02076,0.01723,0.0099,0.00771,0.02869,0.01013,0.01091,0.01496,0.03613,0.02232,0.04542,0.02372,0.02968,0.02865,0.02192,0.03349,0.02926,0.02893,0.0286,0.0328258,0.0336552,0.0344846,0.035315,0.0361444
AND,0.0013735,0.0014416,0.0014507,0.0015173,0.0014887,0.0014337,0.0015174,0.0015002,0.0015011,0.0015436,0.0014602,0.0015623,0.0015903,0.0016732,0.0017303,0.0018547,0.00184,0.0019475,0.0019644,0.001914,0.0021313,0.0018113,0.0019415,0.0020853,0.0021254,0.0021656,0.0022057,0.0022458
ANT,5.477419,4.408962,3.640039,5.598632,5.366067,5.311181,4.974459,5.202926,0.371348,2.205928,5.705532,5.808869,5.603882,5.607984,5.881124,5.831493,6.075813,6.8299,6.57491,6.72387,4.66433,5.92191,7.1101,6.3573,7.04404,7.19189,7.39853,7.36008
ARE,0.0027,0.00417,0.00577,0.00609,0.00704,0.00775,0.00766,0.00777,0.00815,0.00838,0.00801,0.00805,0.00811,0.0082,0.00823,0.00761,0.00901,0.00706,0.00905,0.0131,0.0138,0.0103,0.0109,0.011518,0.011809,0.012099,0.012389,0.012679
ARG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARM,0.0409,0.0378,0.0238,0.0238,0.011,0.011,0.0128,0.0128,0.015,0.00968,0.011,0.00792,0.00704,0.0022,0.0246,0.0246,0.0359,0.0641,0.0612,0.0723,0.0777,0.1,0.123,0.10489,0.1127,0.12051,0.12831,0.13612
ATA,0.011,0.014667,0.014667,0.014667,0.014667,0.0036667,0.0036667,0.0036667,0.0036667,0.0036667,0.0036667,0.0036667,0.0036667,0.0036667,0.0073334,0.0073334,0.0073334,0.011,0.005308,0.005177,0.0050461,0.0049151,0.0047842,0.0046532,0.0045223,0.0043913,0.0042604,0.0041294
ATG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BDI,0.088316,0.090244,0.092013,0.093591,0.094889,0.096009,0.096832,0.097526,0.098255,0.099383,0.10108,0.10341,0.10622,0.10968,0.11348,0.11756,0.12159,0.1256,0.12967,0.13304,0.13642,0.15039,0.16606,0.18263,0.17407,0.18929,0.1923,0.19532
BEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEN,0.15635,0.16633,0.18554,0.24366,0.22667,0.27558,0.18688,0.12209,0.12316,0.12433,0.14637,0.14741,0.14857,0.14973,0.15091,0.1522,0.64072,0.65711,0.5755,0.56519,0.56058,0.61869,0.58966,0.61501,0.60519,0.76317,0.76445,0.76574
BES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BFA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BGD,0.958,1.11,1.12,1.16,1.27,1.49,1.57,1.38,1.39,1.61,1.57,1.68,1.65,1.71,1.85,1.82,1.87,2.07,1.89,1.81,1.94,1.71,1.71,1.9426,1.9664,1.9902,2.014,2.0379
BGR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BHR,1.27201711,1.24002064,1.4123235,1.72702574,1.69192744,1.73692866,1.67082944,1.86712987,1.78913,1.8929,1.7682,1.898,1.8664,1.7412,1.8808,2.312,2.57,2.495,2.5314,2.6917,2.7844,2.9213,2.8412,3.0612,3.1763,3.2387,3.3415,3.4039
BHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLZ,0.0035582,0.0036216,0.0037061,0.0037734,0.0035461,0.0036156,0.0036941,0.0038423,0.0042464,0.0043174,0.0048103,0.00455,0.0046186,0.0046911,0.0047562,0.0049753,0.0053034,0.0047776,0.0049197,0.0050259,0.0052741,0.0048126,0.0048864,0.00517803,0.00522557,0.00527312,0.00532076,0.005368309
BOL,0.35534,0.38333,0.39598,0.42857,0.50301,0.56684,0.58196,0.63351,0.69695,0.71881,0.65599,0.61977,0.64573,0.72405,0.80574,0.88637,1.0027,1.0458,1.1554,1.3041,1.3663,1.491,1.5169,1.7292,1.9564,2.032,2.1089,2.1108
BRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRN,0.017176,0.017631,0.018079,0.017931,0.018389,0.018869,0.144,0.14447,0.12658,0.12277,0.13792,0.13474,0.14258,0.13941,0.14419,0.15568,0.14522,0.1237,0.1468,0.13546,0.16141,0.16902,0.1912,0.196023,0.2038537,0.1895145,0.1938053,0.1980961
BTN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BVT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWA,0.06351969,0.05550115,0.09711264,0.09872073,0.130616,0.14979,0.096688,0.14993,0.14441,0.17459,0.14451,0.18461,0.20566,0.22268,0.19143,0.18639,0.16808,0.154133,0.139038,0.226974,0.20492,0.204281,0.212441,0.2443952,0.23726287,0.23073055,0.22419822,0.2176659
CAF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CIV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COD,0.36878,0.27737,0.25482,0.24789,0.26157,0.29993,0.30067,0.25634,0.26274,0.27807,0.2786,0.29358,0.3252,0.35901,0.38143,0.43408,0.43898,0.44498,0.40596,0.42678,0.43857,0.42241,0.39841,0.43438,0.39252,0.42386,0.35421,0.35875
COG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COK,8.81E-07,8.87E-07,8.95E-07,9.05E-07,9.13E-07,9.15E-07,9.12E-07,9.05E-07,8.96E-07,8.90E-07,8.91E-07,9.00E-07,9.15E-07,9.35E-07,9.54E-07,9.70E-07,9.83E-07,9.93E-07,1.00E-06,1.01E-06,1.01E-06,1.02E-06,1.03E-06,1.05E-06,1.06E-06,1.07E-06,1.08E-06,1.09E-06
COL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
