cat,IPC4,,,,,,,,,,,,,,,,,,,,,,,,,,,
clss,NOTCOV,,,,,,,,,,,,,,,,,,,,,,,,,,,
ent,KYOTOGHG,,,,,,,,,,,,,,,,,,,,,,,,,,,
family,emi,,,,,,,,,,,,,,,,,,,,,,,,,,,
gwp,AR4,,,,,,,,,,,,,,,,,,,,,,,,,,,
note,"Part of emissions not-covered by an (I)NDC, based on per-country, per-main-sector and per-kyoto-GHG information from countries' (I)NDCs and their corresponding HISTCR_PRIMAPHIST21 emissions.",,,,,,,,,,,,,,,,,,,,,,,,,,,
scen,HISTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,
srce,PRIMAPHIST21,,,,,,,,,,,,,,,,,,,,,,,,,,,
tablename,KYOTOGHG_IPC4_NOTCOV_EMI_HISTORY_PRIMAPHIST21,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpe,EMI,,,,,,,,,,,,,,,,,,,,,,,,,,,
unit,MtCO2eq,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ABW,0.01899654,0.01938652,0.0200724,0.0208515,0.02251122,0.02320486,0.02358688,0.02382698,0.02489986,0.02503382,0.02521264,0.02538754,0.02556044,0.02657044,0.02663042,0.02661938,0.02657636,0.02646532,0.0263263,0.0261553,0.0260113,0.0267413,0.0266633,0.0269626,0.0270752,0.0271887,0.0273012,0.0274148
AFG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIA,0.0020084,0.0020861,0.0021639,0.0022316,0.0022994,0.0023621,0.0024249,0.0024827,0.0025404,0.0025982,0.002666,0.0027388,0.0028141,0.0028945,0.0029699,0.0030402,0.0031055,0.0031633,0.0032187,0.0032665,0.0033143,0.0033594,0.003402,0.0035158,0.0035795,0.0036432,0.0037069,0.0037706
ALB,0.16146,0.16986,0.20135,0.23467,0.32248,0.36905,0.48738,0.54061,0.53771,0.62555,0.68563,0.68822,0.68704,0.69863,0.75271,0.75956,0.84312,0.85219,0.81276,0.96783,0.966046,0.967797,0.972494,1.0275998,1.0575682,1.0875466,1.117495,1.1474874
AND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANT,0.006328,0.00644742,0.00662143,0.00680484,0.00770401,0.00776568,0.00772295,0.00763421,0.00751946,0.00738803,0.00723808,0.00712527,0.00701555,0.00695299,0.00702626,0.00720663,0.00756504,0.00804507,0.00865088,0.0091461,0.0096536,0.0100611,0.0103816,0.00988957,0.01011762,0.01034617,0.01057391,0.01080166
ARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BDI,0.746792,0.765054,0.782748,0.793904,0.802792,0.816052,0.82588,0.835708,0.846488,0.856384,0.873636,0.894256,0.919098,0.947998,0.979698,1.011648,1.049398,1.087098,1.127698,1.168398,1.212098,1.256198,1.299998,1.302141,1.335461,1.368781,1.402101,1.435521
BEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEN,0.811368,0.84256,0.878002,0.917944,0.95503,0.989328,1.026606,1.062394,1.096854,1.13344,1.173508,1.217084,1.263458,1.308938,1.356918,1.40859,1.45955,1.51182,1.5648,1.61629,1.66927,1.72505,1.78005,1.81384,1.8632,1.91256,1.96192,2.01128
BES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BFA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BGD,2.29658,2.33378,2.40012,2.43974,2.52186,4.31342,6.1256,7.9487,9.7204,11.5588,13.3745,15.2451,15.7941,16.3378,16.8436,17.3639,17.6357,17.9522,18.3017,18.6182,18.9079,19.2633,19.5979,21.2365,21.8367,22.437,23.0372,23.6375
BGR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BHR,0.3514614,0.3541259,0.3648304,0.3732849,0.3784594,0.3916509,0.3950054,0.4184499,0.4095244,0.4340989,0.4311704,0.4577598,0.4668194,0.465729,0.4852684,0.504608,0.5247474,0.561927,0.596927,0.634427,0.656927,0.676927,0.684427,0.6995835,0.7204337,0.7412839,0.7621341,0.7829943
BHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLZ,0.0022916,0.0023363,0.0024198,0.0024525,0.0024645,0.0025688,0.0026999,0.002834,0.00298,0.0031886,0.0034866,0.0036952,0.0038442,0.0039336,0.0039634,0.0039336,0.0039336,0.0039932,0.0040826,0.0042018,0.0042912,0.0044104,0.0044104,0.0045813,0.0046677,0.0047541,0.0048405,0.0049269
BOL,0.19317,0.299093,0.40348,0.50947,0.61378,0.78069,0.94594,1.11451,1.28402,1.36531,1.45064,1.68157,1.91504,1.95001,1.99304,2.04183,1.98012,2.03444,2.08148,2.1332,2.18794,2.24215,2.29815,2.43809,2.50415,2.5703,2.63636,2.70252
BRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRN,0.0604771,0.0624872,0.064531,0.0667341,0.0690816,0.0718596,0.0737268,0.0758652,0.0777776,0.0801199,0.0820066,0.0842285,0.0867266,0.088621,0.0900185,0.0915963,0.0935604,0.0955135,0.0975021,0.0993269,0.101595,0.1035834,0.1054323,0.107336,0.1092763,0.1112068,0.1131473,0.1150877
BTN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BVT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWA,0.275412,0.28874,0.301586,0.314603,0.327996,0.342755,0.352435,0.362997,0.373434,0.383718,0.394923,0.401365,0.407758,0.414401,0.421671,0.429244,0.437381,0.448121,0.459446,0.469968,0.481215,0.492751,0.503651,0.506311,0.515275,0.524239,0.533202,0.542166
CAF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHN,192.2283,196.5766,201.2471,205.8042,210.4208,202.1694,192.5078,184.6508,176.176,167.4769,158.509,150.1552,141.8523,133.5451,125.486,117.2998,124.4173,130.2557,136.2203,139.0196,147.7294,154.3777,159.5449,135.052,133.9164,132.7806,131.645,130.5093
CIV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
